Unnamed: 0,contest,choice,precinct_id,vote,early_votes,polling_place_votes,late_early_votes,provisional_votes,party,office,candidate,precinct_designation,precinct,precinct_bs,votes_allowed,referendum_flag,county
35,0,0,4,1332,0,0,0,0,,Registered Voters,REGISTERED VOTERS,4,APACHE JCT SE,0,,,PINAL
36,0,0,4,1099,0,0,0,0,,Registered Voters,REGISTERED VOTERS,4,APACHE JCT NE,0,,,PINAL
37,0,0,4,1044,0,0,0,0,,Registered Voters,REGISTERED VOTERS,4,APACHE JCT EAST,0,,,PINAL
38,0,0,4,981,0,0,0,0,,Registered Voters,REGISTERED VOTERS,4,APACHE JCT CENTRAL,0,,,PINAL
39,0,0,4,1808,0,0,0,0,,Registered Voters,REGISTERED VOTERS,4,GOLD CANYON,0,,,PINAL
40,0,0,4,301,0,0,0,0,,Registered Voters,REGISTERED VOTERS,4,QUEEN VALLEY,0,,,PINAL
41,0,0,5,1033,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,SUPERIOR,0,,,PINAL
42,0,0,5,14,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,SUPERIOR WEST,0,,,PINAL
43,0,0,5,83,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,SUTTON SUMMIT,0,,,PINAL
44,0,0,5,141,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,CHUI CHU,0,,,PINAL
45,0,0,5,883,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,THUNDERBIRD FARMS,0,,,PINAL
46,0,0,5,1202,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,CASA GRANDE WEST,0,,,PINAL
47,0,0,5,957,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,APACHE JUNCTION NORTH,0,,,PINAL
48,0,0,5,1411,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,APACHE JUNCTION N. CENTRA,0,,,PINAL
49,0,0,5,1485,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,APACHE JUNCTION,0,,,PINAL
50,0,0,5,1262,0,0,0,0,,Registered Voters,REGISTERED VOTERS,5,APACHE JUNCTION SOUTH,0,,,PINAL
51,0,0,6,346,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,BLACKWATER,0,,,PINAL
52,0,0,6,326,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,SAN TAN,0,,,PINAL
53,0,0,6,394,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,CASA BLANCA,0,,,PINAL
54,0,0,6,1382,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,SUPERSTITION MOUNTAIN,0,,,PINAL
55,0,0,6,996,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,MOUNTAINBROOK VILLAGE,0,,,PINAL
56,0,0,6,611,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,HIDDEN VALLEY,0,,,PINAL
57,0,0,6,1875,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,SAN TAN PARK,0,,,PINAL
58,0,0,6,691,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,BELLA VISTA,0,,,PINAL
59,0,0,7,1708,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,COPPER BASIN,0,,,PINAL
60,0,0,7,1151,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,SCHNEPF,0,,,PINAL
61,0,0,7,547,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,PERALTA,0,,,PINAL
62,0,0,7,776,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,SANTA ROSA,0,,,PINAL
