county,precinct,office,district,candidate,party,votes
Kings,"=""67/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Kings,"=""67/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""67/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""68/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""68/43""",President,NYC,Absentee / Military,,7
Kings,"=""68/43""",President,NYC,Federal,,3
Kings,"=""68/43""",President,NYC,Special Presidential,,0
Kings,"=""68/43""",President,NYC,Affidavit,,2
Kings,"=""68/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,426
Kings,"=""68/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,57
Kings,"=""68/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
Kings,"=""68/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Kings,"=""68/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Kings,"=""68/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,"=""68/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""68/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""68/43""",President,NYC,Scattered,,2
Kings,"=""69/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""69/43""",President,NYC,Absentee / Military,,9
Kings,"=""69/43""",President,NYC,Federal,,0
Kings,"=""69/43""",President,NYC,Special Presidential,,0
Kings,"=""69/43""",President,NYC,Affidavit,,20
Kings,"=""69/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,375
Kings,"=""69/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,7
Kings,"=""69/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Kings,"=""69/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
Kings,"=""69/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,4
Kings,"=""69/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,"=""69/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,"=""69/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""69/43""",President,NYC,Scattered,,1
Kings,"=""70/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""70/43""",President,NYC,Absentee / Military,,23
Kings,"=""70/43""",President,NYC,Federal,,0
Kings,"=""70/43""",President,NYC,Special Presidential,,0
Kings,"=""70/43""",President,NYC,Affidavit,,13
Kings,"=""70/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,82
Kings,"=""70/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,2
Kings,"=""70/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Kings,"=""70/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Kings,"=""70/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,0
Kings,"=""70/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,"=""70/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""70/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""70/43""",President,NYC,Scattered,,1
Kings,"=""71/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""71/43""",President,NYC,Absentee / Military,,9
Kings,"=""71/43""",President,NYC,Federal,,2
Kings,"=""71/43""",President,NYC,Special Presidential,,0
Kings,"=""71/43""",President,NYC,Affidavit,,12
Kings,"=""71/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,483
