county,precinct,office,district,candidate,party,votes
Bronx,"=""4/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,228
Bronx,"=""4/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,337
Bronx,"=""4/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,171
Bronx,"=""5/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""5/87""",Justice of the Supreme Court,12,Absentee/Military,,4
Bronx,"=""5/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""5/87""",Justice of the Supreme Court,12,Special Presidential,,1
Bronx,"=""5/87""",Justice of the Supreme Court,12,Affidavit,,18
Bronx,"=""5/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,154
Bronx,"=""5/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,207
Bronx,"=""5/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,119
Bronx,"=""6/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""6/87""",Justice of the Supreme Court,12,Absentee/Military,,13
Bronx,"=""6/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""6/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""6/87""",Justice of the Supreme Court,12,Affidavit,,36
Bronx,"=""6/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,228
Bronx,"=""6/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,307
Bronx,"=""6/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,165
Bronx,"=""7/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""7/87""",Justice of the Supreme Court,12,Absentee/Military,,4
Bronx,"=""7/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""7/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""7/87""",Justice of the Supreme Court,12,Affidavit,,14
Bronx,"=""7/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,173
Bronx,"=""7/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,240
Bronx,"=""7/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,122
Bronx,"=""8/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""8/87""",Justice of the Supreme Court,12,Absentee/Military,,3
