county,precinct,ballot-style,office,district,party,candidate,votes
Dallas,1063,6059,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1551
Dallas,1064,6060,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,155
Dallas,1065,6061,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2789
Dallas,1067,6062,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,10
Dallas,1068,6063,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,41
Dallas,1069,6064,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,46
Dallas,1070,6065,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1599
Dallas,1071,6066,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2553
Dallas,1073,6067,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2454
Dallas,1074,6068,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1272
Dallas,1075,6069,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1645
Dallas,1076,6070,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1853
Dallas,1077,6071,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,0
Dallas,1078,6072,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1233
Dallas,1079,6073,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1604
Dallas,1080,6074,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,950
Dallas,1081,6075,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2663
Dallas,1082,6076,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,278
Dallas,1083,6077,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1496
Dallas,1084,6078,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2981
Dallas,1085,6079,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1161
Dallas,1086,6080,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,589
Dallas,1087,6081,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3084
Dallas,1088,6082,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1947
Dallas,1089,6083,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1971
Dallas,1090,6084,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2127
Dallas,1091,6085,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1963
Dallas,1092,6086,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3269
Dallas,1093,6087,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1562
Dallas,1094,6088,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1265
