precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_GALLEGO,gen_grn_BARAKA,gen_grn_STEIN,gen_ind_CASTLE,gen_ind_CUBBLER,gen_ind_FOX,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_LEE,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_MORROW,gen_ind_SOLTYSIK,gen_ind_STEFFES,gen_ind_STEIN,gen_ind_VALDIVIA,gen_lib_CORVALAN,gen_lib_JOHNSON,gen_rep_ARRINGTON,gen_rep_HURD,gen_rep_TRUMP,gen_unk_BARRIERE,gen_unk_CASE,gen_unk_CHRISTIE,gen_unk_CRUZ,gen_unk_ERSKINE,gen_unk_KUSHNER,gen_unk_LEAMER,gen_unk_LILLY,gen_unk_RODRIGUEZ,gen_unk_RUBIO,gen_unk_SANDERS,gen_unk_SCHULIN,gen_unk_WALKER
EL PASO70,0,932,0,0,13,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,37,0,0,235,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO71,0,822,0,0,16,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,24,0,0,216,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO72,0,504,0,0,12,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,23,0,0,112,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO73,0,439,0,0,8,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,17,0,0,115,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO74,0,829,0,0,21,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,39,0,0,130,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO75,0,584,0,0,8,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,20,0,0,215,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO76,0,506,0,0,8,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,17,0,0,121,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO77,0,887,0,0,20,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,38,0,0,196,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO78,0,546,0,0,4,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,21,0,0,129,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO79,0,269,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,46,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO8,0,664,0,0,13,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,61,0,0,953,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO80,0,611,0,0,17,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,18,0,0,76,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO81,0,150,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,32,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO82,0,825,0,0,21,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,23,0,0,142,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO83,0,516,0,0,13,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,11,0,0,83,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO84,0,872,0,0,22,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,22,0,0,112,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO85,0,677,0,0,7,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,23,0,0,97,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO86,0,223,0,0,9,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,31,0,0,164,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO87,0,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO88,0,173,0,0,9,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,30,0,0,181,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO89,0,1101,0,0,25,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,62,0,0,294,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO9,0,1068,0,0,20,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,86,0,0,722,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO90,0,689,0,0,21,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,27,0,0,338,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO91,0,368,0,0,6,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,12,0,0,141,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO92,0,1008,0,0,31,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,51,0,0,589,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO93,0,608,0,0,15,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,24,0,0,251,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO94,0,930,0,0,23,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,52,0,0,404,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO95,0,969,0,0,9,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,53,0,0,446,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO96,0,1085,0,0,15,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,50,0,0,617,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO97,0,698,0,0,14,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,41,0,0,302,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO98,0,678,0,0,16,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,34,0,0,447,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASO99,0,461,0,0,7,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,26,0,0,176,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
EL PASOTOTAL,0,147843,0,0,2945,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7607,0,0,55512,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH18 DU,1,23,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,170,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH19 DU,0,17,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4,0,0,141,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH20 DU,0,118,0,0,2,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0,13,0,0,576,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH21 DU,0,119,0,0,2,0,0.0,0.0,0,0,0.0,0.0,2,0.0,1.0,0.0,0.0,0,0.0,0,27,0,0,668,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH21 LV,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,24,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH23 DU,0,8,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,75,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH23 LV,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,6,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH24 HU,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH24 LV,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,22,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH25 DU,0,7,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,55,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH25 HU,0,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,9,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH25 LV,0,46,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,299,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH30 SA,0,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,23,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH41 HU,0,21,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,122,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH41 SA,0,8,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,112,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH44 HU,0,51,0,0,0,0,0.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0,0.0,0,11,0,0,516,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATH44 LV,0,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,33,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ERATHTOTALS,12,2160,0,0,68,0,0.0,2.0,0,0,0.0,2.0,59,0.0,1.0,1.0,0.0,0,0.0,0,378,0,0,11210,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FALLSTOTAL,0,1684,0,0,23,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,90,0,0,3441,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FANNINTOTAL,17,2132,0,0,46,0,0.0,0.0,0,0,0.0,1.0,31,0.0,0.0,0.0,0.0,0,0.0,0,269,0,0,9548,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE1 EAST LA GRANGE,0,104,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,14,0,0,471,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE1 NORTH LA GRANGE,0,383,0,0,7,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,39,0,0,997,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE1 WEST LA GRANGE,0,104,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,23,0,0,384,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE10 WARDA,0,61,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,334,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE11 WINCHESTER,0,50,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,10,0,0,244,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE12 PLUM,0,64,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,201,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE13 WEST POINT,0,85,0,0,4,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7,0,0,340,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE14 MULDOON,0,11,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4,0,0,141,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE15 CISTERN,0,34,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,183,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE16 FLATONIA,0,218,0,0,6,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,22,0,0,739,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE17 PRAHA,0,42,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,252,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE2 RUTERSVILLE,0,22,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7,0,0,92,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE20 HOSTYN,0,77,0,0,3,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,8,0,0,445,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE21 SWISS ALP,0,30,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,150,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE22 AMMANNSVILLE,0,28,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,95,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE23 HOLMAN,0,21,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,152,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE24 DUBINA,0,28,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,155,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE25 SCHULENBURG,0,319,0,0,5,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,21,0,0,"1,254",0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE26 MULLINS PRAIRIE,0,85,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,288,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE3 ELLINGER,0,42,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,232,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE4 FAYETTEVILLE,0,93,0,0,3,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,457,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE5 WILLOW SPRINGS,0,22,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,165,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE6 WARRENTON,0,69,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,256,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE7 ROUND TOP,0,74,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,350,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE8 CARMINE,0,41,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,8,0,0,218,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTE9 NECHANITZ,0,37,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,148,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FAYETTETOTAL,0,2144,0,0,45,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,209,0,0,8743,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FLOYDTOTAL,0,435,0,0,3,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,47,0,0,1474,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FOARD101,0,16,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,61,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FOARD201,0,27,0,0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7,0,0,118,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FOARD301,0,30,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4,0,0,107,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FOARD401,0,40,0,0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,97,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FOARDTOTAL,0,113,0,0,1,0,0.0,0.0,0,0,0.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0,14,0,0,383,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1001 A,0,438,0,0,5,0,0.0,0.0,0,0,0.0,0.0,5,0.0,0.0,0.0,0.0,0,0.0,0,40,0,0,811,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1002 B,0,326,0,0,3,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,27,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1003 C,0,1012,0,0,9,0,0.0,0.0,0,0,0.0,1.0,1,0.0,0.0,0.0,0.0,0,0.0,0,15,0,0,197,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1007 D,7,1999,0,0,28,0,0.0,0.0,0,0,0.0,0.0,15,0.0,0.0,0.0,0.0,0,0.0,0,129,0,0,2168,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1008 E,0,121,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,8,0,0,461,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1010 B,2,489,0,0,8,0,0.0,0.0,0,0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,0.0,0,51,0,0,1921,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1012 B,0,644,0,0,2,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0,40,0,0,617,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1013 B,1,739,0,0,10,0,0.0,0.0,0,0,0.0,0.0,6,0.0,0.0,0.0,0.0,0,0.0,0,55,0,0,862,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1015 B,0,196,0,0,3,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,17,0,0,579,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1018 D,0,159,0,0,6,0,0.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0,0.0,0,25,0,0,723,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1018 FA,2,49,0,0,3,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4,0,0,239,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1021 D,0,61,0,0,1,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,16,0,0,462,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1024 B,0,141,0,0,4,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,457,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1025 D,0,1304,0,0,20,0,0.0,0.0,0,1,0.0,0.0,10,0.0,0.0,0.0,0.0,0,0.0,0,94,0,0,1532,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1025 FA,0,8,0,0,1,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,28,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1037 B,2,698,0,0,14,0,0.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0,0.0,0,45,0,0,744,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1040 B,0,804,0,0,11,0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0,0.0,0,22,0,0,184,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1048 B,0,611,0,0,3,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,13,0,0,287,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1054 E,0,104,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,145,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1058 D,0,239,0,0,2,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,10,0,0,122,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1067 B,1,1133,0,0,14,0,0.0,0.0,0,0,0.0,0.0,6,0.0,0.0,0.0,0.0,0,0.0,0,48,0,0,638,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1068 D,0,35,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,8,0,0,258,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1072 B,0,16,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,50,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1073 A,0,255,0,0,1,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0,19,0,0,505,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1074 B,1,1172,0,0,19,0,0.0,0.0,0,0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0.0,0,52,0,0,906,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1076 B,2,2071,0,0,27,0,0.0,0.0,0,0,0.0,2.0,14,0.0,0.0,0.0,0.0,0,0.0,0,89,0,0,1040,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1085 B,1,844,0,0,14,0,0.0,0.0,1,0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,0.0,0,39,0,0,979,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1087 F,1,428,0,0,7,0,0.0,0.0,0,0,0.0,1.0,8,0.0,0.0,0.0,0.0,0,0.0,0,30,0,0,847,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1094 G,0,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1097 H,0,1415,0,0,11,0,0.0,0.0,0,0,0.0,1.0,15,0.0,0.0,0.0,0.0,0,0.0,0,121,0,0,1659,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1103 A,2,935,0,0,17,0,0.0,0.0,1,0,0.0,1.0,18,0.0,0.0,0.0,2.0,0,0.0,0,107,0,0,2163,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1109 H,0,264,0,0,1,0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0,0.0,0,16,0,0,285,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1114 I,0,3459,0,0,29,0,0.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0,0.0,0,49,0,0,257,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1118 H,0,1334,0,0,18,0,0.0,0.0,0,2,0.0,0.0,20,0.0,0.0,0.0,0.0,0,0.0,0,90,0,0,1781,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1120 F,1,652,0,0,11,0,0.0,0.0,0,0,0.0,1.0,9,0.0,0.0,0.0,0.0,0,0.0,0,94,0,0,1475,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1128 F,0,737,0,0,8,0,0.0,0.0,0,1,0.0,0.0,17,0.0,0.0,0.0,0.0,0,0.0,0,57,0,0,1558,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1134 G,1,1247,0,0,14,0,0.0,0.0,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0,0.0,0,40,0,0,495,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
FORT BEND1141 B,0,369,0,0,1,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,28,0,0,744,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
