precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_KENISTON,gen_ind_KOTLIKOFF,gen_ind_MALDONADO,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SCHOENKE,gen_ind_SOLTYSIK,gen_lib_JOHNSON,gen_rep_TRUMP
FOND DU LACTOWN OF ROSENDALE WARD 1,2,99,4,0,0,0,0,0,0,0,2,0,0,0,12,284
GREENTOWN OF MOUNT PLEASANT WARD 1,2,64,2,0,0,0,0,0,0,0,0,0,0,0,3,61
GREENTOWN OF MOUNT PLEASANT WARDS 2-3,0,87,4,0,0,0,0,0,0,0,0,0,0,0,7,97
IRONCITY OF HURLEY WARD 2,1,79,0,0,0,0,0,0,0,0,0,0,0,0,3,117
IRONCITY OF HURLEY WARD 3,0,43,1,0,0,0,0,0,0,0,0,0,0,0,6,76
IRONCITY OF HURLEY WARD 4,1,70,2,0,0,0,0,0,0,0,0,0,0,0,4,100
JEFFERSONCITY OF WATERTOWN WARD 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEFFERSONCITY OF WATERTOWN WARD 8,1,144,4,0,0,0,0,0,0,0,4,0,0,0,12,210
JEFFERSONTOWN OF KOSHKONONG WARDS 2-5,5,677,13,0,2,0,0,0,0,0,0,2,0,0,51,1079
KENOSHATOWN OF SOMERS WARD 1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,14
KENOSHATOWN OF SOMERS WARD 2,0,217,0,0,0,0,0,0,0,0,8,0,0,0,0,282
KENOSHAVILLAGE OF SOMERS WARD 12,3,142,1,0,0,0,0,0,0,0,1,0,0,0,13,288
LA CROSSETOWN OF SHELBY WARD 1-4,12,880,25,0,3,0,0,0,0,0,4,0,0,0,64,828
LA CROSSETOWN OF SHELBY WARD 5-6,2,647,6,0,0,0,0,0,0,0,0,0,0,0,33,471
"MANITOWOCCITY OF MANITOWOC WARDS 17-18,21,23-26",11,615,13,0,1,0,0,0,0,0,3,3,0,0,59,729
