precinct,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_MESSINA,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_COPELAND,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
FREMONT1,0,0,0,58,0,0,0,19,0,0,42,0,39,2,59,0,0,24,2,7,260,0,354
FREMONT10,0,5,0,132,0,0,0,7,0,2,43,0,51,3,44,1,1,49,1,8,354,0,461
FREMONT11,0,6,1,153,1,0,1,16,0,0,71,0,40,2,16,4,1,70,0,10,388,0,491
FREMONT12,0,3,0,75,0,0,0,5,0,1,32,1,28,2,29,2,1,57,2,3,220,0,316
FREMONT13,0,0,0,68,0,0,0,1,0,0,30,0,18,1,7,2,0,23,2,1,139,0,175
FREMONT2,0,6,1,150,0,0,2,10,0,1,63,0,37,2,23,10,0,86,0,14,313,0,448
FREMONT3,0,4,0,104,0,0,0,14,0,1,27,0,37,0,29,2,1,34,0,10,266,0,342
FREMONT4,3,5,0,92,2,0,0,9,0,0,50,0,38,0,39,3,0,36,1,9,279,0,367
FREMONT5,0,1,0,109,0,0,0,12,0,0,32,0,33,2,38,0,0,19,0,4,201,0,264
FREMONT6,2,5,0,134,0,0,0,19,0,1,37,0,34,2,31,3,0,35,1,7,266,0,345
FREMONT7,1,3,1,106,0,0,0,11,0,3,57,0,30,3,59,1,3,88,1,15,304,0,474
FREMONT8,1,1,1,144,1,0,0,14,0,2,60,0,55,2,42,7,0,80,2,16,336,0,485
FREMONT9,0,0,1,64,0,0,0,13,0,0,25,0,30,3,47,0,1,38,0,7,205,0,301
FREMONTABSENTEE,3,7,1,45,0,0,1,5,0,1,26,2,28,6,188,1,0,112,8,16,559,0,890
GEM01 CENTRAL,3,4,0,66,0,0,0,10,0,2,20,0,51,1,66,4,1,15,5,16,266,0,374
