precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HEWES,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_COOK,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
PIMA24,289,2,0,6,243,1,1,0,3,25,0,0,399,0,1,3,82,1,4,97,2,426,624,17,54,843,541,1043,624,843
PIMA25,937,4,5,24,385,1,0,1,13,39,7,0,358,7,3,4,277,1,3,287,2,761,1348,25,32,178,1356,1762,1348,178
PIMA26,225,2,1,2,182,2,2,0,3,11,2,0,135,2,1,5,41,0,0,56,0,197,1382,29,26,236,414,453,1382,236
PIMA27,401,5,2,6,336,3,0,1,5,20,1,2,188,2,1,2,42,0,5,38,2,235,0,0,0,0,753,543,0,0
PIMA28,336,1,2,5,284,0,1,3,5,11,1,0,69,2,0,0,16,0,1,25,0,100,802,18,18,148,628,230,802,148
PIMA29,553,2,1,8,432,4,1,3,12,21,1,0,293,1,1,3,139,0,1,131,2,388,1220,30,108,1299,1000,993,1220,1299
PIMA3,446,3,0,5,317,1,0,0,3,22,2,0,385,1,1,1,92,1,3,106,2,461,167,5,3,5,772,1080,167,5
PIMA30,686,8,8,14,482,10,1,2,10,24,1,0,294,3,2,7,66,1,6,93,0,484,1387,41,96,943,1208,991,1387,943
PIMA31,606,6,1,3,465,0,1,0,9,49,3,0,448,5,1,4,161,3,7,181,0,543,604,14,48,638,1081,1414,604,638
PIMA32,595,3,0,6,339,0,0,2,5,13,2,0,254,9,0,2,244,0,1,150,1,478,1618,61,133,1393,943,1159,1618,1393
PIMA33,631,6,6,15,630,6,2,4,10,19,7,1,213,2,3,4,56,2,2,66,3,319,1051,14,52,491,1294,707,1051,491
PIMA34,660,6,6,10,508,4,0,1,8,50,0,1,463,1,1,1,145,0,6,151,1,540,506,17,43,370,1194,1368,506,370
PIMA35,441,0,1,2,513,1,1,4,3,7,1,0,56,0,1,0,49,1,0,24,0,73,241,5,19,240,958,215,241,240
PIMA36,985,3,4,5,986,3,1,12,3,12,2,2,116,1,0,0,73,0,2,53,1,147,1432,51,96,796,1986,412,1432,796
PIMA37,586,2,4,2,391,6,0,1,8,36,4,0,327,3,2,1,97,1,8,110,1,509,603,25,23,128,991,1107,603,128
PIMA38,629,2,5,10,421,2,0,1,7,34,2,0,564,3,0,7,249,1,0,186,0,854,884,42,67,464,1069,1907,884,464
PIMA39,807,5,4,4,585,4,0,4,6,17,1,0,184,4,3,0,138,0,3,109,1,233,1095,21,90,1469,1409,699,1095,1469
PIMA4,417,4,2,7,315,5,0,1,11,33,1,0,345,3,1,4,72,0,7,108,0,514,597,23,17,59,750,1099,597,59
PIMA40,247,3,4,3,386,4,0,4,4,3,0,1,85,1,0,1,20,0,2,12,0,136,832,25,102,1107,647,265,832,1107
PIMA41,733,7,8,16,629,13,2,3,13,31,3,2,300,0,1,2,92,0,4,126,0,493,2007,53,127,1075,1406,1067,2007,1075
PIMA42,497,4,1,4,291,0,2,5,9,9,4,0,172,1,0,0,146,0,2,88,0,278,1775,79,105,385,797,709,1775,385
PIMA43,410,6,3,0,372,2,1,2,4,10,0,1,121,1,0,0,57,0,1,38,1,154,619,27,29,143,793,388,619,143
PIMA44,957,6,0,12,942,1,2,6,4,18,4,0,220,2,1,0,149,1,7,114,1,360,1092,63,50,204,1918,881,1092,204
PIMA45,690,5,2,8,467,5,0,1,7,30,6,0,302,2,1,1,131,0,4,166,0,380,1049,40,26,116,1177,1030,1049,116
PIMA46,298,6,1,2,495,2,3,10,1,5,0,0,57,3,1,2,18,0,1,18,0,66,311,7,29,461,804,172,311,461
PIMA47,298,3,4,10,223,2,0,1,3,22,1,0,197,2,1,1,61,0,6,54,1,285,1409,32,33,221,540,634,1409,221
PIMA48,494,6,4,17,376,4,0,1,9,32,2,0,698,2,0,2,154,1,8,222,2,883,954,23,44,375,901,2015,954,375
PIMA49,1092,4,2,10,621,3,0,1,5,20,5,0,381,2,1,3,306,0,4,226,1,552,429,16,61,612,1732,1506,429,612
PIMA5,212,1,3,4,199,1,0,0,3,15,2,0,204,0,0,0,65,0,3,35,1,215,722,52,130,1789,420,543,722,1789
PIMA50,372,6,3,8,353,2,0,0,4,27,2,1,257,0,0,2,63,1,4,87,1,297,1140,15,29,197,744,746,1140,197
PIMA51,754,6,9,17,559,7,0,0,11,43,7,1,290,5,2,2,134,1,3,164,1,481,863,7,28,146,1352,1145,863,146
PIMA52,566,2,8,2,434,5,1,2,4,7,0,0,74,1,0,2,14,0,1,20,0,127,1006,18,26,179,1017,250,1006,179
PIMA53,422,2,0,4,163,2,1,1,7,22,1,0,266,3,0,0,172,0,2,172,1,540,2196,44,77,529,593,1186,2196,529
PIMA54,864,2,3,5,443,2,0,0,8,30,3,0,412,6,2,1,342,2,3,260,0,621,1958,48,131,974,1319,1690,1958,974
PIMA55,360,2,2,4,281,1,0,0,8,23,1,0,182,3,0,1,63,0,1,71,0,312,600,24,42,326,650,665,600,326
PIMA56,300,3,1,1,253,1,0,0,5,19,0,0,314,2,0,2,70,0,0,95,4,322,1319,26,59,627,559,833,1319,627
PIMA57,365,4,1,5,216,5,0,1,1,17,1,0,251,1,1,0,57,0,3,75,4,319,1661,65,90,592,596,730,1661,592
PIMA58,712,7,4,10,470,7,0,5,10,33,2,0,466,4,0,2,181,0,1,167,1,660,1403,60,92,416,1210,1527,1403,416
PIMA59,662,4,1,8,960,5,1,6,7,17,0,0,147,1,0,0,43,0,3,44,1,203,913,10,27,263,1640,466,913,263
PIMA6,603,0,2,8,426,1,0,1,9,31,0,0,537,4,1,4,257,0,6,210,0,651,1217,44,192,1982,1040,1710,1217,1982
PIMA60,369,6,0,6,579,2,3,9,3,7,1,1,74,1,2,3,21,1,4,26,0,102,473,17,44,530,962,246,473,530
PIMA61,762,1,5,8,1064,2,0,9,8,17,3,2,169,2,2,1,100,0,5,52,0,237,958,9,55,641,1842,598,958,641
PIMA62,517,6,4,10,528,5,0,3,5,17,1,0,172,3,2,3,76,0,4,75,1,289,896,43,47,193,1070,648,896,193
PIMA63,545,2,2,8,677,1,1,10,2,8,1,1,105,1,0,1,56,0,2,30,1,171,888,14,42,203,1235,379,888,203
PIMA64,591,4,2,5,398,2,0,0,12,26,4,0,352,2,2,1,177,1,5,158,2,476,1064,28,50,139,1002,1218,1064,139
PIMA65,441,0,3,5,303,3,0,0,14,21,1,1,219,5,0,6,76,0,5,86,1,283,9,0,0,11,755,718,9,11
PIMA66,1051,3,1,10,576,7,1,2,12,23,4,1,390,7,1,0,293,2,6,238,1,593,1218,29,50,222,1648,1571,1218,222
PIMA67,776,5,2,4,723,6,1,6,7,25,2,1,315,1,1,4,193,1,6,131,0,469,1117,50,78,450,1516,1156,1117,450
PIMA68,329,3,0,9,309,8,0,0,4,28,5,1,436,3,0,4,98,0,4,126,0,674,1320,43,74,416,658,1383,1320,416
PIMA69,522,6,0,8,338,1,0,2,12,34,2,1,497,5,0,0,256,1,9,206,0,701,1785,51,132,1372,875,1724,1785,1372
PIMA7,318,5,2,2,253,1,0,1,9,20,2,1,277,0,0,1,83,1,1,98,0,337,35,2,7,43,581,830,35,43
PIMA70,602,4,0,10,489,3,1,3,12,43,7,1,376,2,0,4,150,0,4,154,2,530,630,34,70,925,1108,1285,630,925
PIMA71,342,1,2,4,223,3,0,0,3,10,1,0,227,2,0,0,123,0,1,83,0,377,114,1,4,9,575,827,114,9
PIMA72,612,4,6,3,432,3,0,2,7,27,1,0,286,5,1,2,135,0,4,120,0,364,1637,69,100,610,1060,952,1637,610
PIMA73,876,5,5,5,833,6,0,5,12,26,2,0,236,5,0,2,101,0,5,110,1,350,1691,50,71,353,1730,850,1691,353
PIMA74,918,4,4,7,558,5,0,3,7,27,2,0,324,3,3,1,284,0,5,236,2,655,787,15,41,804,1496,1549,787,804
