precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HEWES,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_COOK,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
PINALGOLD CANYON,232,0,3,5,137,3,0,2,5,18,0,0,194,0,1,0,82,1,0,76,0,405,53,1,4,98,380,782,53,98
PINALHIDDEN VALLEY,72,4,0,1,45,0,0,0,3,2,1,0,60,0,0,0,7,0,1,12,0,121,27,0,2,47,122,207,27,47
PINALIRONWOOD COMMON,208,2,1,1,95,2,0,0,3,5,1,0,106,0,0,0,52,0,1,51,0,211,69,1,6,91,309,430,69,91
PINALIRONWOOD CROSSING,200,4,2,3,114,1,0,0,5,24,1,0,341,0,1,1,48,0,1,85,1,440,96,2,15,237,324,948,96,237
PINALJOHNSON RANCH,160,2,0,2,109,1,0,0,1,7,0,0,161,2,1,1,55,0,2,38,0,306,71,2,5,127,274,574,71,127
PINALJOHNSON RANCH EAST,89,2,1,0,85,1,0,1,2,8,0,0,97,1,0,1,9,0,3,9,2,132,50,1,7,77,178,264,50,77
PINALKEARNY,201,7,8,4,145,11,0,1,3,5,0,0,44,0,0,4,19,0,1,7,0,99,39,0,4,52,376,182,39,52
PINALLINKS ESTATES,71,3,4,0,60,0,0,1,0,5,0,0,116,0,0,1,25,0,2,18,0,145,37,2,6,73,138,312,37,73
PINALMAMMOTH,209,7,3,3,85,1,0,0,1,1,0,0,19,0,0,0,4,0,0,2,0,27,40,0,1,15,308,54,40,15
PINALMARICOPA,132,0,2,2,91,0,0,0,2,13,0,0,88,0,0,0,26,0,1,23,1,157,69,2,7,80,227,311,69,80
PINALMARICOPA FIESTA,142,1,0,0,96,0,0,0,3,9,0,0,142,0,0,0,24,0,1,37,0,185,72,1,7,99,239,401,72,99
PINALMARICOPA MEADOWS,170,2,0,0,104,1,0,0,1,8,1,0,119,0,0,1,25,0,1,27,0,188,70,3,8,85,277,371,70,85
PINALMISSION VALLEY,127,3,2,4,66,0,0,1,3,7,0,0,100,1,1,1,23,0,2,35,0,187,52,1,5,81,202,360,52,81
PINALMOUNTAINBROOK VILLAGE,148,0,0,2,31,0,0,0,2,6,1,1,108,1,1,1,107,0,0,52,2,280,46,0,2,82,181,562,46,82
PINALORACLE,374,4,4,5,241,2,1,1,0,8,2,0,183,1,0,0,64,0,0,51,2,299,65,1,3,79,630,610,65,79
PINALPECAN CREEK NORTH,92,2,2,2,83,0,0,1,7,16,1,0,166,1,0,1,17,0,10,36,0,191,51,2,10,112,181,446,51,112
PINALPERALTA,68,0,0,0,41,0,1,1,0,5,0,0,45,1,0,0,37,0,0,12,0,149,24,1,2,46,109,249,24,46
PINALPICACHO,21,0,1,0,3,1,0,0,0,2,0,0,14,0,0,0,3,0,0,3,0,24,6,0,0,12,26,46,6,12
PINALPOSTON BUTTE,286,2,2,4,183,1,0,0,6,12,1,0,220,2,0,2,69,1,4,83,0,491,123,4,12,237,478,891,123,237
PINALPROVINCE,345,3,0,3,155,1,0,1,2,8,0,0,178,2,0,2,52,2,4,92,0,369,125,2,9,158,507,711,125,158
PINALQUAIL HOLLOW,93,3,1,5,79,0,0,0,3,17,2,0,172,1,0,4,21,0,1,37,0,266,54,1,9,133,181,524,54,133
PINALQUEEN CREEK,134,0,1,1,85,2,0,0,1,14,2,0,154,1,0,2,48,0,1,76,0,284,79,1,12,149,223,583,79,149
PINALQUEEN VALLEY,39,0,1,2,28,0,0,0,2,4,0,0,31,0,0,1,14,0,0,10,0,77,10,0,0,26,70,139,10,26
PINALRED ROCK,78,0,0,1,75,2,0,1,2,7,0,0,112,0,0,0,15,0,3,11,1,209,30,1,5,85,156,360,30,85
PINALSACATON,71,2,0,0,26,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,4,36,1,0,4,100,10,36,4
PINALSAN MANUEL,250,7,3,12,141,7,0,0,0,8,0,0,73,0,0,1,10,0,0,12,0,122,56,1,3,62,420,226,56,62
PINALSAN TAN,59,0,0,0,27,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,5,29,0,0,4,86,11,29,4
PINALSAN TAN HEIGHTS,80,2,1,0,103,0,0,0,0,6,0,0,120,0,0,0,26,0,2,22,2,197,55,2,8,100,186,375,55,100
PINALSAN TAN PARK,166,4,2,0,129,0,1,0,5,17,0,0,228,2,0,1,28,0,0,56,0,333,60,2,6,97,301,670,60,97
PINALSAN TAN RANCHES,50,2,0,0,40,1,0,0,2,4,0,0,74,0,0,1,17,0,0,11,0,144,28,0,3,69,93,253,28,69
PINALSANTA ROSA,96,2,0,0,70,1,0,1,1,7,0,0,55,1,1,0,17,0,0,30,0,125,44,1,4,54,169,237,44,54
PINALSCHNEPF,80,0,0,0,71,0,0,0,2,22,0,2,185,0,1,3,17,0,2,40,1,155,37,2,8,102,151,430,37,102
PINALSENITA,103,0,0,2,80,1,0,0,1,2,1,0,95,1,0,0,14,0,6,20,0,120,62,1,5,64,186,260,62,64
PINALSKYLINE RANCH,93,0,0,2,73,1,1,1,0,13,0,1,145,2,0,1,15,0,2,28,0,168,53,1,8,96,169,375,53,96
PINALSTANFIELD,34,2,0,0,15,0,0,0,2,0,0,0,25,0,0,0,4,0,0,2,0,29,11,0,0,15,51,62,11,15
PINALSUPERIOR,275,9,3,7,139,4,0,0,0,0,0,0,26,0,0,1,9,0,1,15,0,51,66,1,3,29,437,103,66,29
PINALSUPERIOR WEST,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,2,1,10,0,2
PINALSUPERSTITION MOUNTAIN,174,1,2,1,83,4,0,0,0,7,2,1,163,2,1,0,87,0,1,85,1,350,63,1,5,122,265,700,63,122
PINALSUTTON SUMMIT,6,0,0,2,4,0,0,0,0,0,0,0,10,0,0,0,2,0,0,2,0,14,2,0,0,7,12,28,2,7
PINALTHUNDERBIRD FARMS,75,3,3,3,45,1,0,1,6,6,0,0,113,2,0,2,6,0,0,9,0,176,29,0,4,69,130,320,29,69
PINALTOLTEC,136,3,0,1,79,2,0,0,1,1,1,0,90,1,0,1,59,0,3,52,0,222,58,2,4,83,221,431,58,83
PINALTOLTEC SOUTH,115,4,1,3,87,2,0,0,2,11,0,0,114,0,0,1,16,1,0,32,0,209,41,1,4,95,212,386,41,95
PINALWALKER BUTTE,108,0,0,1,101,2,0,0,0,10,1,0,138,1,0,0,19,0,0,27,0,206,63,2,7,106,212,402,63,106
YAVAPAI201,7187,69,52,140,6265,78,6,25,202,930,42,10,10809,58,31,89,3109,13,115,2995,26,16557,2321,76,270,4006,13791,34986,2321,4006
YAVAPAI217,1667,7,11,32,1579,10,3,9,29,114,3,0,1159,15,6,9,484,4,12,391,1,1961,33,3,4,57,3306,4188,33,57
YUMA1,3773,92,48,58,1908,29,1,0,54,130,8,4,1555,7,5,14,334,1,14,505,6,1966,415,9,20,174,5908,4603,415,174
YUMA2,1620,34,21,56,971,40,0,0,32,155,7,1,1972,9,2,13,458,2,18,540,2,3531,374,7,30,283,2742,6742,374,283
