county,precinct,office,district,candidate,party,votes,vtd
Allen,Carlyle Township,State House,9,"McMurray, Patrick",Libertarian,21,000010
Allen,Carlyle Township,State House,9,"Thompson, Kent L.",Republican,133,000010
Allen,Cottage Grove Township,State House,9,"McMurray, Patrick",Libertarian,17,000020
Allen,Cottage Grove Township,State House,9,"Thompson, Kent L.",Republican,111,000020
Allen,Deer Creek Township,State House,9,"McMurray, Patrick",Libertarian,13,000030
Allen,Deer Creek Township,State House,9,"Thompson, Kent L.",Republican,49,000030
Allen,East Elm,State House,9,"McMurray, Patrick",Libertarian,46,000040
Allen,East Elm,State House,9,"Thompson, Kent L.",Republican,225,000040
Allen,Geneva Township,State House,9,"McMurray, Patrick",Libertarian,13,000050
Allen,Geneva Township,State House,9,"Thompson, Kent L.",Republican,44,000050
Allen,Humboldt Township,State House,9,"McMurray, Patrick",Libertarian,19,00006A
Allen,Humboldt Township,State House,9,"Thompson, Kent L.",Republican,113,00006A
Allen,Humboldt Township Rural Enclave,State House,9,"McMurray, Patrick",Libertarian,0,00006B
Allen,Humboldt Township Rural Enclave,State House,9,"Thompson, Kent L.",Republican,0,00006B
Allen,Humboldt Township Split,State House,9,"McMurray, Patrick",Libertarian,0,00006C
Allen,Humboldt Township Split,State House,9,"Thompson, Kent L.",Republican,0,00006C
Allen,Humboldt Ward 1,State House,9,"McMurray, Patrick",Libertarian,90,000070
Allen,Humboldt Ward 1,State House,9,"Thompson, Kent L.",Republican,256,000070
Allen,Humboldt Ward 2,State House,9,"McMurray, Patrick",Libertarian,77,000080
Allen,Humboldt Ward 2,State House,9,"Thompson, Kent L.",Republican,327,000080
Allen,Iola Ward 1,State House,9,"McMurray, Patrick",Libertarian,89,000090
Allen,Iola Ward 1,State House,9,"Thompson, Kent L.",Republican,368,000090
Allen,Iola Ward 2,State House,9,"McMurray, Patrick",Libertarian,90,00010A
Allen,Iola Ward 2,State House,9,"Thompson, Kent L.",Republican,471,00010A
Allen,Iola Ward 2 Exclave,State House,9,"McMurray, Patrick",Libertarian,0,00010B
Allen,Iola Ward 2 Exclave,State House,9,"Thompson, Kent L.",Republican,0,00010B
Allen,Iola Ward 3,State House,9,"McMurray, Patrick",Libertarian,121,000110
Allen,Iola Ward 3,State House,9,"Thompson, Kent L.",Republican,381,000110
Allen,Iola Ward 4,State House,9,"McMurray, Patrick",Libertarian,117,000120
Allen,Iola Ward 4,State House,9,"Thompson, Kent L.",Republican,396,000120
Allen,Marmaton Township,State House,2,"Lusker, Adam J. Sr.",Democratic,253,000140
Allen,North Elsmore,State House,2,"Lusker, Adam J. Sr.",Democratic,52,000150
Allen,North Iola Part A,State House,9,"McMurray, Patrick",Libertarian,25,00016A
Allen,North Iola Part A,State House,9,"Thompson, Kent L.",Republican,110,00016A
Allen,North Iola Part A Rural Enclave,State House,9,"McMurray, Patrick",Libertarian,0,00016B
Allen,North Iola Part A Rural Enclave,State House,9,"Thompson, Kent L.",Republican,0,00016B
Allen,North Iola Part B,State House,9,"McMurray, Patrick",Libertarian,0,00016C
Allen,North Iola Part B,State House,9,"Thompson, Kent L.",Republican,0,00016C
Allen,Osage Township,State House,2,"Lusker, Adam J. Sr.",Democratic,81,000170
Allen,Salem Township,State House,9,"McMurray, Patrick",Libertarian,21,000180
Allen,Salem Township,State House,9,"Thompson, Kent L.",Republican,106,000180
Allen,South Elsmore,State House,2,"Lusker, Adam J. Sr.",Democratic,42,000190
Allen,South Iola,State House,9,"McMurray, Patrick",Libertarian,40,00020A
Allen,South Iola,State House,9,"Thompson, Kent L.",Republican,232,00020A
Allen,South Iola Enclave,State House,9,"McMurray, Patrick",Libertarian,0,00020B
Allen,South Iola Enclave,State House,9,"Thompson, Kent L.",Republican,0,00020B
Allen,West Elm,State House,9,"McMurray, Patrick",Libertarian,102,000210
Allen,West Elm,State House,9,"Thompson, Kent L.",Republican,397,000210
Allen,Logan Township S12,State House,9,"McMurray, Patrick",Libertarian,33,120020
Allen,Logan Township S12,State House,9,"Thompson, Kent L.",Republican,75,120020
Allen,Logan Township S15,State House,9,"McMurray, Patrick",Libertarian,0,120030
Allen,Logan Township S15,State House,9,"Thompson, Kent L.",Republican,0,120030
Allen,Carlyle Township,State Senate,12,"Johnston, Christopher B.",Democratic,20,000010
Allen,Carlyle Township,State Senate,12,"Tyson, Caryn",Republican,108,000010
Allen,Cottage Grove Township,State Senate,12,"Johnston, Christopher B.",Democratic,21,000020
Allen,Cottage Grove Township,State Senate,12,"Tyson, Caryn",Republican,104,000020
Allen,Deer Creek Township,State Senate,12,"Johnston, Christopher B.",Democratic,9,000030
Allen,Deer Creek Township,State Senate,12,"Tyson, Caryn",Republican,38,000030
Allen,East Elm,State Senate,12,"Johnston, Christopher B.",Democratic,54,000040
Allen,East Elm,State Senate,12,"Tyson, Caryn",Republican,174,000040
Allen,Geneva Township,State Senate,12,"Johnston, Christopher B.",Democratic,9,000050
Allen,Geneva Township,State Senate,12,"Tyson, Caryn",Republican,40,000050
Allen,Humboldt Township,State Senate,12,"Johnston, Christopher B.",Democratic,23,00006A
Allen,Humboldt Township,State Senate,12,"Tyson, Caryn",Republican,97,00006A
Allen,Humboldt Township Rural Enclave,State Senate,12,"Johnston, Christopher B.",Democratic,0,00006B
Allen,Humboldt Township Rural Enclave,State Senate,12,"Tyson, Caryn",Republican,0,00006B
Allen,Humboldt Township Split,State Senate,12,"Johnston, Christopher B.",Democratic,0,00006C
Allen,Humboldt Township Split,State Senate,12,"Tyson, Caryn",Republican,0,00006C
Allen,Humboldt Ward 1,State Senate,12,"Johnston, Christopher B.",Democratic,119,000070
Allen,Humboldt Ward 1,State Senate,12,"Tyson, Caryn",Republican,204,000070
Allen,Humboldt Ward 2,State Senate,12,"Johnston, Christopher B.",Democratic,104,000080
Allen,Humboldt Ward 2,State Senate,12,"Tyson, Caryn",Republican,258,000080
Allen,Iola Ward 1,State Senate,12,"Johnston, Christopher B.",Democratic,92,000090
Allen,Iola Ward 1,State Senate,12,"Tyson, Caryn",Republican,282,000090
Allen,Iola Ward 2,State Senate,12,"Johnston, Christopher B.",Democratic,98,00010A
Allen,Iola Ward 2,State Senate,12,"Tyson, Caryn",Republican,356,00010A
Allen,Iola Ward 2 Exclave,State Senate,12,"Johnston, Christopher B.",Democratic,0,00010B
Allen,Iola Ward 2 Exclave,State Senate,12,"Tyson, Caryn",Republican,0,00010B
Allen,Iola Ward 3,State Senate,12,"Johnston, Christopher B.",Democratic,118,000110
Allen,Iola Ward 3,State Senate,12,"Tyson, Caryn",Republican,271,000110
Allen,Iola Ward 4,State Senate,12,"Johnston, Christopher B.",Democratic,106,000120
Allen,Iola Ward 4,State Senate,12,"Tyson, Caryn",Republican,298,000120
Allen,Marmaton Township,State Senate,12,"Johnston, Christopher B.",Democratic,48,000140
Allen,Marmaton Township,State Senate,12,"Tyson, Caryn",Republican,198,000140
Allen,North Elsmore,State Senate,12,"Johnston, Christopher B.",Democratic,14,000150
Allen,North Elsmore,State Senate,12,"Tyson, Caryn",Republican,75,000150
Allen,North Iola Part A,State Senate,12,"Johnston, Christopher B.",Democratic,24,00016A
Allen,North Iola Part A,State Senate,12,"Tyson, Caryn",Republican,93,00016A
Allen,North Iola Part A Rural Enclave,State Senate,12,"Johnston, Christopher B.",Democratic,0,00016B
Allen,North Iola Part A Rural Enclave,State Senate,12,"Tyson, Caryn",Republican,0,00016B
Allen,North Iola Part B,State Senate,12,"Johnston, Christopher B.",Democratic,0,00016C
Allen,North Iola Part B,State Senate,12,"Tyson, Caryn",Republican,0,00016C
Allen,Osage Township,State Senate,12,"Johnston, Christopher B.",Democratic,21,000170
Allen,Osage Township,State Senate,12,"Tyson, Caryn",Republican,82,000170
Allen,Salem Township,State Senate,12,"Johnston, Christopher B.",Democratic,32,000180
Allen,Salem Township,State Senate,12,"Tyson, Caryn",Republican,86,000180
Allen,South Elsmore,State Senate,12,"Johnston, Christopher B.",Democratic,16,000190
Allen,South Elsmore,State Senate,12,"Tyson, Caryn",Republican,48,000190
Allen,South Iola,State Senate,12,"Johnston, Christopher B.",Democratic,47,00020A
Allen,South Iola,State Senate,12,"Tyson, Caryn",Republican,171,00020A
Allen,South Iola Enclave,State Senate,12,"Johnston, Christopher B.",Democratic,0,00020B
Allen,South Iola Enclave,State Senate,12,"Tyson, Caryn",Republican,0,00020B
Allen,West Elm,State Senate,12,"Johnston, Christopher B.",Democratic,86,000210
Allen,West Elm,State Senate,12,"Tyson, Caryn",Republican,304,000210
Allen,Logan Township S12,State Senate,12,"Johnston, Christopher B.",Democratic,18,120020
Allen,Logan Township S12,State Senate,12,"Tyson, Caryn",Republican,86,120020
Allen,Logan Township S15,State Senate,15,"Schmidt, Chuck",Democratic,0,120030
Allen,Logan Township S15,State Senate,15,"Goddard, Dan",Republican,0,120030
Allen,Carlyle Township,President,,"Stein, Jill",independent,3,000010
Allen,Carlyle Township,President,,"Basiago, Andrew D.",Write-ins,0,000010
Allen,Carlyle Township,President,,"Castle, Darrell L",Write-ins,0,000010
Allen,Carlyle Township,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,000010
Allen,Carlyle Township,President,,"Giordani, Rocky",Write-ins,0,000010
Allen,Carlyle Township,President,,"Hedges, James A",Write-ins,0,000010
Allen,Carlyle Township,President,,"Hoefling, Tom",Write-ins,0,000010
Allen,Carlyle Township,President,,"Kahn, Lynn",Write-ins,0,000010
Allen,Carlyle Township,President,,"La Riva, Gloria",Write-ins,0,000010
Allen,Carlyle Township,President,,"Levinson, Michael S.",Write-ins,0,000010
Allen,Carlyle Township,President,,"Maturen, Michael A",Write-ins,0,000010
Allen,Carlyle Township,President,,"McMullin, Evan",Write-ins,0,000010
Allen,Carlyle Township,President,,"Moorehead, Monica G.",Write-ins,0,000010
Allen,Carlyle Township,President,,"Perry, Darryl",Write-ins,0,000010
Allen,Carlyle Township,President,,"Schoenke, Marshall R.",Write-ins,0,000010
Allen,Carlyle Township,President,,"Schriner, Joe C",Write-ins,0,000010
Allen,Carlyle Township,President,,"Smith, Mike",Write-ins,0,000010
Allen,Carlyle Township,President,,"Sood, Ajay",Write-ins,0,000010
Allen,Carlyle Township,President,,"Sterling, Shawna",Write-ins,0,000010
Allen,Carlyle Township,President,,"Valdivia, Anthony J",Write-ins,0,000010
Allen,Carlyle Township,President,,"Vogel-Walcutt, J.J.",Write-ins,0,000010
Allen,Carlyle Township,President,,"Wysinger, Demetra Jefferson",Write-ins,0,000010
Allen,Carlyle Township,President,,"Clinton, Hillary Rodham",Democratic,35,000010
Allen,Carlyle Township,President,,"Johnson, Gary",Libertarian,4,000010
Allen,Carlyle Township,President,,"Trump, Donald J.",Republican,112,000010
Allen,Cottage Grove Township,President,,"Stein, Jill",independent,0,000020
Allen,Cottage Grove Township,President,,"Basiago, Andrew D.",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Castle, Darrell L",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Giordani, Rocky",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Hedges, James A",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Hoefling, Tom",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Kahn, Lynn",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"La Riva, Gloria",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Levinson, Michael S.",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Maturen, Michael A",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"McMullin, Evan",Write-ins,1,000020
Allen,Cottage Grove Township,President,,"Moorehead, Monica G.",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Perry, Darryl",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Schoenke, Marshall R.",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Schriner, Joe C",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Smith, Mike",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Sood, Ajay",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Sterling, Shawna",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Valdivia, Anthony J",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Vogel-Walcutt, J.J.",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Wysinger, Demetra Jefferson",Write-ins,0,000020
Allen,Cottage Grove Township,President,,"Clinton, Hillary Rodham",Democratic,19,000020
Allen,Cottage Grove Township,President,,"Johnson, Gary",Libertarian,0,000020
Allen,Cottage Grove Township,President,,"Trump, Donald J.",Republican,110,000020
Allen,Deer Creek Township,President,,"Stein, Jill",independent,1,000030
Allen,Deer Creek Township,President,,"Basiago, Andrew D.",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Castle, Darrell L",Write-ins,0,000030
Allen,Deer Creek Township,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Giordani, Rocky",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Hedges, James A",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Hoefling, Tom",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Kahn, Lynn",Write-ins,0,000030
Allen,Deer Creek Township,President,,"La Riva, Gloria",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Levinson, Michael S.",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Maturen, Michael A",Write-ins,0,000030
Allen,Deer Creek Township,President,,"McMullin, Evan",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Moorehead, Monica G.",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Perry, Darryl",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Schoenke, Marshall R.",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Schriner, Joe C",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Smith, Mike",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Sood, Ajay",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Sterling, Shawna",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Valdivia, Anthony J",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Vogel-Walcutt, J.J.",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Wysinger, Demetra Jefferson",Write-ins,0,000030
Allen,Deer Creek Township,President,,"Clinton, Hillary Rodham",Democratic,9,000030
Allen,Deer Creek Township,President,,"Johnson, Gary",Libertarian,1,000030
Allen,Deer Creek Township,President,,"Trump, Donald J.",Republican,46,000030
Allen,East Elm,President,,"Stein, Jill",independent,4,000040
Allen,East Elm,President,,"Basiago, Andrew D.",Write-ins,0,000040
Allen,East Elm,President,,"Castle, Darrell L",Write-ins,0,000040
Allen,East Elm,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,000040
Allen,East Elm,President,,"Giordani, Rocky",Write-ins,0,000040
Allen,East Elm,President,,"Hedges, James A",Write-ins,0,000040
Allen,East Elm,President,,"Hoefling, Tom",Write-ins,0,000040
Allen,East Elm,President,,"Kahn, Lynn",Write-ins,0,000040
Allen,East Elm,President,,"La Riva, Gloria",Write-ins,0,000040
Allen,East Elm,President,,"Levinson, Michael S.",Write-ins,0,000040
Allen,East Elm,President,,"Maturen, Michael A",Write-ins,0,000040
Allen,East Elm,President,,"McMullin, Evan",Write-ins,2,000040
Allen,East Elm,President,,"Moorehead, Monica G.",Write-ins,0,000040
Allen,East Elm,President,,"Perry, Darryl",Write-ins,0,000040
Allen,East Elm,President,,"Schoenke, Marshall R.",Write-ins,0,000040
Allen,East Elm,President,,"Schriner, Joe C",Write-ins,0,000040
Allen,East Elm,President,,"Smith, Mike",Write-ins,0,000040
Allen,East Elm,President,,"Sood, Ajay",Write-ins,0,000040
Allen,East Elm,President,,"Sterling, Shawna",Write-ins,0,000040
Allen,East Elm,President,,"Valdivia, Anthony J",Write-ins,0,000040
Allen,East Elm,President,,"Vogel-Walcutt, J.J.",Write-ins,0,000040
Allen,East Elm,President,,"Wysinger, Demetra Jefferson",Write-ins,0,000040
Allen,East Elm,President,,"Clinton, Hillary Rodham",Democratic,58,000040
Allen,East Elm,President,,"Johnson, Gary",Libertarian,13,000040
Allen,East Elm,President,,"Trump, Donald J.",Republican,197,000040
Allen,Geneva Township,President,,"Stein, Jill",independent,2,000050
Allen,Geneva Township,President,,"Basiago, Andrew D.",Write-ins,0,000050
Allen,Geneva Township,President,,"Castle, Darrell L",Write-ins,0,000050
Allen,Geneva Township,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,000050
Allen,Geneva Township,President,,"Giordani, Rocky",Write-ins,0,000050
Allen,Geneva Township,President,,"Hedges, James A",Write-ins,0,000050
Allen,Geneva Township,President,,"Hoefling, Tom",Write-ins,0,000050
Allen,Geneva Township,President,,"Kahn, Lynn",Write-ins,0,000050
Allen,Geneva Township,President,,"La Riva, Gloria",Write-ins,0,000050
Allen,Geneva Township,President,,"Levinson, Michael S.",Write-ins,0,000050
Allen,Geneva Township,President,,"Maturen, Michael A",Write-ins,0,000050
Allen,Geneva Township,President,,"McMullin, Evan",Write-ins,0,000050
Allen,Geneva Township,President,,"Moorehead, Monica G.",Write-ins,0,000050
Allen,Geneva Township,President,,"Perry, Darryl",Write-ins,0,000050
Allen,Geneva Township,President,,"Schoenke, Marshall R.",Write-ins,0,000050
Allen,Geneva Township,President,,"Schriner, Joe C",Write-ins,0,000050
Allen,Geneva Township,President,,"Smith, Mike",Write-ins,0,000050
Allen,Geneva Township,President,,"Sood, Ajay",Write-ins,0,000050
Allen,Geneva Township,President,,"Sterling, Shawna",Write-ins,0,000050
Allen,Geneva Township,President,,"Valdivia, Anthony J",Write-ins,0,000050
Allen,Geneva Township,President,,"Vogel-Walcutt, J.J.",Write-ins,0,000050
Allen,Geneva Township,President,,"Wysinger, Demetra Jefferson",Write-ins,0,000050
Allen,Geneva Township,President,,"Clinton, Hillary Rodham",Democratic,10,000050
Allen,Geneva Township,President,,"Johnson, Gary",Libertarian,2,000050
Allen,Geneva Township,President,,"Trump, Donald J.",Republican,44,000050
Allen,Humboldt Township,President,,"Stein, Jill",independent,3,00006A
Allen,Humboldt Township,President,,"Basiago, Andrew D.",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Castle, Darrell L",Write-ins,0,00006A
Allen,Humboldt Township,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Giordani, Rocky",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Hedges, James A",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Hoefling, Tom",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Kahn, Lynn",Write-ins,0,00006A
Allen,Humboldt Township,President,,"La Riva, Gloria",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Levinson, Michael S.",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Maturen, Michael A",Write-ins,0,00006A
Allen,Humboldt Township,President,,"McMullin, Evan",Write-ins,2,00006A
Allen,Humboldt Township,President,,"Moorehead, Monica G.",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Perry, Darryl",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Schoenke, Marshall R.",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Schriner, Joe C",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Smith, Mike",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Sood, Ajay",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Sterling, Shawna",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Valdivia, Anthony J",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Vogel-Walcutt, J.J.",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Wysinger, Demetra Jefferson",Write-ins,0,00006A
Allen,Humboldt Township,President,,"Clinton, Hillary Rodham",Democratic,27,00006A
Allen,Humboldt Township,President,,"Johnson, Gary",Libertarian,3,00006A
Allen,Humboldt Township,President,,"Trump, Donald J.",Republican,106,00006A
Allen,Humboldt Township Rural Enclave,President,,"Stein, Jill",independent,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Basiago, Andrew D.",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Castle, Darrell L",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Giordani, Rocky",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Hedges, James A",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Hoefling, Tom",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Kahn, Lynn",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"La Riva, Gloria",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Levinson, Michael S.",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Maturen, Michael A",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"McMullin, Evan",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Moorehead, Monica G.",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Perry, Darryl",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Schoenke, Marshall R.",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Schriner, Joe C",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Smith, Mike",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Sood, Ajay",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Sterling, Shawna",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Valdivia, Anthony J",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Vogel-Walcutt, J.J.",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Wysinger, Demetra Jefferson",Write-ins,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Clinton, Hillary Rodham",Democratic,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Johnson, Gary",Libertarian,0,00006B
Allen,Humboldt Township Rural Enclave,President,,"Trump, Donald J.",Republican,0,00006B
Allen,Humboldt Township Split,President,,"Stein, Jill",independent,0,00006C
Allen,Humboldt Township Split,President,,"Basiago, Andrew D.",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Castle, Darrell L",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Giordani, Rocky",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Hedges, James A",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Hoefling, Tom",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Kahn, Lynn",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"La Riva, Gloria",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Levinson, Michael S.",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Maturen, Michael A",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"McMullin, Evan",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Moorehead, Monica G.",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Perry, Darryl",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Schoenke, Marshall R.",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Schriner, Joe C",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Smith, Mike",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Sood, Ajay",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Sterling, Shawna",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Valdivia, Anthony J",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Vogel-Walcutt, J.J.",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Wysinger, Demetra Jefferson",Write-ins,0,00006C
Allen,Humboldt Township Split,President,,"Clinton, Hillary Rodham",Democratic,0,00006C
Allen,Humboldt Township Split,President,,"Johnson, Gary",Libertarian,0,00006C
Allen,Humboldt Township Split,President,,"Trump, Donald J.",Republican,0,00006C
Allen,Humboldt Ward 1,President,,"Stein, Jill",independent,13,000070
Allen,Humboldt Ward 1,President,,"Basiago, Andrew D.",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Castle, Darrell L",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Giordani, Rocky",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Hedges, James A",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Hoefling, Tom",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Kahn, Lynn",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"La Riva, Gloria",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Levinson, Michael S.",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Maturen, Michael A",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"McMullin, Evan",Write-ins,3,000070
Allen,Humboldt Ward 1,President,,"Moorehead, Monica G.",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Perry, Darryl",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Schoenke, Marshall R.",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Schriner, Joe C",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Smith, Mike",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Sood, Ajay",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Sterling, Shawna",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Valdivia, Anthony J",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Vogel-Walcutt, J.J.",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Wysinger, Demetra Jefferson",Write-ins,0,000070
Allen,Humboldt Ward 1,President,,"Clinton, Hillary Rodham",Democratic,114,000070
Allen,Humboldt Ward 1,President,,"Johnson, Gary",Libertarian,19,000070
Allen,Humboldt Ward 1,President,,"Trump, Donald J.",Republican,212,000070
Allen,Humboldt Ward 2,President,,"Stein, Jill",independent,13,000080
Allen,Humboldt Ward 2,President,,"Basiago, Andrew D.",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Castle, Darrell L",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"De La Fuente, ""Rocky"" Roque",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Giordani, Rocky",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Hedges, James A",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Hoefling, Tom",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Kahn, Lynn",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"La Riva, Gloria",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Levinson, Michael S.",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Maturen, Michael A",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"McMullin, Evan",Write-ins,2,000080
Allen,Humboldt Ward 2,President,,"Moorehead, Monica G.",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Perry, Darryl",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Schoenke, Marshall R.",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Schriner, Joe C",Write-ins,0,000080
Allen,Humboldt Ward 2,President,,"Smith, Mike",Write-ins,0,000080
