county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee,provisional,hand_count
Arkansas,ALMYRA,All Unopposed Candidates,,NON,For,90,68,20,2,0,0
Arkansas,ALMYRA,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,106,77,27,2,0,0
Arkansas,ALMYRA,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,34,22,10,2,0,0
Arkansas,ALMYRA,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,74,56,18,0,0,0
Arkansas,ALMYRA,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,27,18,7,2,0,0
Arkansas,ALMYRA,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,84,61,23,0,0,0
Arkansas,ALMYRA,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,41,30,9,2,0,0
Arkansas,ALMYRA,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,68,48,20,0,0,0
Arkansas,ALMYRA,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,58,40,16,2,0,0
Arkansas,ALMYRA,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,52,38,14,0,0,0
Arkansas,ALMYRA,U.S. House,1,LIB,Mark West,12,8,4,0,0,0
Arkansas,ALMYRA,U.S. House,1,REP,Congressman Rick Crawford,97,69,26,2,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,BFA,Evan McMullin/Nathan Johnson,2,2,0,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,CST,Darrell L. Castle/Scott N. Bradley,1,1,0,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,8,7,1,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,IND,Lynn S. Kahn/Kathleen Monahan,2,2,0,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,LIB,Gary Johnson/Bill Weld,3,1,2,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,REP,Donald J. Trump/Michael R. Pence,96,67,27,2,0,0
Arkansas,ALMYRA,U.S. Senate,,DEM,Conner Eldridge,25,20,5,0,0,0
Arkansas,ALMYRA,U.S. Senate,,LIB,Frank Gilbert,2,2,0,0,0,0
Arkansas,ALMYRA,U.S. Senate,,REP,Senator John Boozman,85,58,25,2,0,0
Arkansas,ARKANSAS,All Unopposed Candidates,,NON,For,28,13,14,1,0,0
Arkansas,ARKANSAS,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,36,16,19,1,0,0
Arkansas,ARKANSAS,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,7,3,3,1,0,0
Arkansas,ARKANSAS,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,32,15,17,0,0,0
Arkansas,ARKANSAS,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,10,4,6,0,0,0
Arkansas,ARKANSAS,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,29,14,14,1,0,0
Arkansas,ARKANSAS,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,12,5,7,0,0,0
Arkansas,ARKANSAS,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,27,13,13,1,0,0
Arkansas,ARKANSAS,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,18,10,8,0,0,0
Arkansas,ARKANSAS,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,21,8,12,1,0,0
Arkansas,ARKANSAS,U.S. House,1,LIB,Mark West,6,1,5,0,0,0
Arkansas,ARKANSAS,U.S. House,1,REP,Congressman Rick Crawford,31,15,15,1,0,0
Arkansas,ARKANSAS,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,15,5,10,0,0,0
Arkansas,ARKANSAS,U.S. President & Vice President,,LIB,Gary Johnson/Bill Weld,1,0,1,0,0,0
Arkansas,ARKANSAS,U.S. President & Vice President,,REP,Donald J. Trump/Michael R. Pence,24,13,10,1,0,0
Arkansas,ARKANSAS,U.S. Senate,,DEM,Conner Eldridge,20,8,11,1,0,0
Arkansas,ARKANSAS,U.S. Senate,,REP,Senator John Boozman,18,9,9,0,0,0
Arkansas,BARTON,All Unopposed Candidates,,NON,For,68,28,36,4,0,0
Arkansas,BARTON,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,69,26,39,4,0,0
Arkansas,BARTON,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,28,9,17,2,0,0
Arkansas,BARTON,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,54,24,28,2,0,0
Arkansas,BARTON,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,28,8,19,1,0,0
Arkansas,BARTON,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,55,25,26,4,0,0
Arkansas,BARTON,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,38,12,25,1,0,0
Arkansas,BARTON,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,45,21,20,4,0,0
Arkansas,BARTON,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,50,17,29,4,0,0
Arkansas,BARTON,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,33,16,16,1,0,0
Arkansas,BARTON,State Representative,14,DEM,State Representative Camille Bennett,18,9,9,0,0,0
Arkansas,BARTON,State Representative,14,REP,Roger D. Lynch,64,24,35,5,0,0
Arkansas,BARTON,U.S. House,1,LIB,Mark West,9,1,7,1,0,0
Arkansas,BARTON,U.S. House,1,REP,Congressman Rick Crawford,72,32,36,4,0,0
Arkansas,BARTON,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,7,2,5,0,0,0
Arkansas,BARTON,U.S. President & Vice President,,GRN,Jill Stein/Ajamu Baraka,1,1,0,0,0,0
Arkansas,BARTON,U.S. President & Vice President,,IND,Jim Hedges/Bill Bayes,1,1,0,0,0,0
Arkansas,BARTON,U.S. President & Vice President,,IND,Lynn S. Kahn/Kathleen Monahan,1,0,1,0,0,0
Arkansas,BARTON,U.S. President & Vice President,,LIB,Gary Johnson/Bill Weld,1,0,1,0,0,0
Arkansas,BARTON,U.S. President & Vice President,,REP,Donald J. Trump/Michael R. Pence,72,29,38,5,0,0
Arkansas,BARTON,U.S. Senate,,DEM,Conner Eldridge,12,5,7,0,0,0
Arkansas,BARTON,U.S. Senate,,LIB,Frank Gilbert,3,0,3,0,0,0
Arkansas,BARTON,U.S. Senate,,REP,Senator John Boozman,67,27,35,5,0,0
Arkansas,BAYOU METO,All Unopposed Candidates,,NON,For,61,11,50,0,0,0
Arkansas,BAYOU METO,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,76,14,62,0,0,0
Arkansas,BAYOU METO,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,25,1,24,0,0,0
Arkansas,BAYOU METO,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,53,13,40,0,0,0
Arkansas,BAYOU METO,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,16,1,15,0,0,0
Arkansas,BAYOU METO,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,62,13,49,0,0,0
Arkansas,BAYOU METO,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,31,5,26,0,0,0
Arkansas,BAYOU METO,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,46,9,37,0,0,0
Arkansas,BAYOU METO,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,58,8,50,0,0,0
Arkansas,BAYOU METO,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,19,6,13,0,0,0
Arkansas,BAYOU METO,U.S. House,1,LIB,Mark West,9,1,8,0,0,0
Arkansas,BAYOU METO,U.S. House,1,REP,Congressman Rick Crawford,68,13,55,0,0,0
Arkansas,BAYOU METO,U.S. President & Vice President,,BFA,Evan McMullin/Nathan Johnson,1,0,1,0,0,0
Arkansas,BAYOU METO,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,14,3,11,0,0,0
Arkansas,BAYOU METO,U.S. President & Vice President,,IND,Jim Hedges/Bill Bayes,1,1,0,0,0,0
Arkansas,BAYOU METO,U.S. President & Vice President,,LIB,Gary Johnson/Bill Weld,2,0,2,0,0,0
Arkansas,BAYOU METO,U.S. President & Vice President,,REP,Donald J. Trump/Michael R. Pence,60,10,50,0,0,0
Arkansas,BAYOU METO,U.S. Senate,,DEM,Conner Eldridge,22,5,17,0,0,0
Arkansas,BAYOU METO,U.S. Senate,,REP,Senator John Boozman,57,9,48,0,0,0
Arkansas,BREWER,All Unopposed Candidates,,NON,For,8,3,5,0,0,0
Arkansas,BREWER,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,14,4,10,0,0,0
Arkansas,BREWER,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,5,2,3,0,0,0
Arkansas,BREWER,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,10,2,8,0,0,0
Arkansas,BREWER,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,6,2,4,0,0,0
Arkansas,BREWER,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,9,2,7,0,0,0
Arkansas,BREWER,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,8,3,5,0,0,0
Arkansas,BREWER,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,6,0,6,0,0,0
Arkansas,BREWER,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,8,2,6,0,0,0
Arkansas,BREWER,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,7,2,5,0,0,0
Arkansas,BREWER,State Representative,14,DEM,State Representative Camille Bennett,3,2,1,0,0,0
Arkansas,BREWER,State Representative,14,REP,Roger D. Lynch,12,2,10,0,0,0
Arkansas,BREWER,U.S. House,1,LIB,Mark West,3,1,2,0,0,0
Arkansas,BREWER,U.S. House,1,REP,Congressman Rick Crawford,11,2,9,0,0,0
Arkansas,BREWER,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,2,1,1,0,0,0
Arkansas,BREWER,U.S. President & Vice President,,IND,Jim Hedges/Bill Bayes,1,0,1,0,0,0
Arkansas,BREWER,U.S. President & Vice President,,REP,Donald J. Trump/Michael R. Pence,12,3,9,0,0,0
Arkansas,BREWER,U.S. Senate,,DEM,Conner Eldridge,4,3,1,0,0,0
Arkansas,BREWER,U.S. Senate,,REP,Senator John Boozman,11,1,10,0,0,0
Arkansas,CHESTER,All Unopposed Candidates,,NON,For,59,29,29,1,0,0
Arkansas,CHESTER,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,84,40,43,1,0,0
Arkansas,CHESTER,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,21,12,8,1,0,0
Arkansas,CHESTER,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,69,32,36,1,0,0
Arkansas,CHESTER,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,17,11,5,1,0,0
Arkansas,CHESTER,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,76,34,41,1,0,0
Arkansas,CHESTER,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,28,14,13,1,0,0
Arkansas,CHESTER,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,63,31,31,1,0,0
Arkansas,CHESTER,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,55,25,28,2,0,0
Arkansas,CHESTER,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,36,20,16,0,0,0
Arkansas,CHESTER,U.S. House,1,LIB,Mark West,14,9,5,0,0,0
Arkansas,CHESTER,U.S. House,1,REP,Congressman Rick Crawford,74,34,39,1,0,0
Arkansas,CHESTER,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,15,10,5,0,0,0
Arkansas,CHESTER,U.S. President & Vice President,,GRN,Jill Stein/Ajamu Baraka,1,1,0,0,0,0
Arkansas,CHESTER,U.S. President & Vice President,,IND,Jim Hedges/Bill Bayes,2,2,0,0,0,0
Arkansas,CHESTER,U.S. President & Vice President,,LIB,Gary Johnson/Bill Weld,3,1,2,0,0,0
Arkansas,CHESTER,U.S. President & Vice President,,REP,Donald J. Trump/Michael R. Pence,72,31,39,2,0,0
Arkansas,CHESTER,U.S. Senate,,DEM,Conner Eldridge,24,10,13,1,0,0
Arkansas,CHESTER,U.S. Senate,,LIB,Frank Gilbert,1,1,0,0,0,0
Arkansas,CHESTER,U.S. Senate,,REP,Senator John Boozman,66,34,31,1,0,0
Arkansas,CROCKETT,All Unopposed Candidates,,NON,For,35,11,22,2,0,0
Arkansas,CROCKETT,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,42,12,28,2,0,0
Arkansas,CROCKETT,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,10,3,5,2,0,0
Arkansas,CROCKETT,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,34,11,23,0,0,0
Arkansas,CROCKETT,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,7,5,2,0,0,0
Arkansas,CROCKETT,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,36,9,25,2,0,0
Arkansas,CROCKETT,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,16,7,7,2,0,0
Arkansas,CROCKETT,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,26,6,20,0,0,0
Arkansas,CROCKETT,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,27,10,17,0,0,0
Arkansas,CROCKETT,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,16,4,10,2,0,0
Arkansas,CROCKETT,U.S. House,1,LIB,Mark West,9,1,7,1,0,0
Arkansas,CROCKETT,U.S. House,1,REP,Congressman Rick Crawford,34,13,20,1,0,0
Arkansas,CROCKETT,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,10,3,5,2,0,0
Arkansas,CROCKETT,U.S. President & Vice President,,IND,Jim Hedges/Bill Bayes,1,0,1,0,0,0
Arkansas,CROCKETT,U.S. President & Vice President,,REP,Donald J. Trump/Michael R. Pence,32,10,22,0,0,0
Arkansas,CROCKETT,U.S. Senate,,DEM,Conner Eldridge,12,4,6,2,0,0
Arkansas,CROCKETT,U.S. Senate,,REP,Senator John Boozman,32,10,22,0,0,0
Arkansas,DEWITT WARD 1,Alderman Ward 1 Position 1 Dewitt,,IND,Ada Marie Clark,101,39,62,0,0,0
Arkansas,DEWITT WARD 1,Alderman Ward 1 Position 1 Dewitt,,IND,Brent London,113,40,73,0,0,0
Arkansas,DEWITT WARD 1,Alderman Ward 2 Position 2 Dewitt,,IND,Perry L. Simpson,137,48,89,0,0,0
Arkansas,DEWITT WARD 1,Alderman Ward 2 Position 2 Dewitt,,IND,Vivian A. Meins,74,31,43,0,0,0
Arkansas,DEWITT WARD 1,All Unopposed Candidates,,NON,For,133,55,78,0,0,0
Arkansas,DEWITT WARD 1,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,206,78,128,0,0,0
Arkansas,DEWITT WARD 1,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,54,17,37,0,0,0
Arkansas,DEWITT WARD 1,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,152,61,91,0,0,0
Arkansas,DEWITT WARD 1,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,58,24,34,0,0,0
Arkansas,DEWITT WARD 1,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,148,53,95,0,0,0
Arkansas,DEWITT WARD 1,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,40,13,27,0,0,0
Arkansas,DEWITT WARD 1,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,164,63,101,0,0,0
Arkansas,DEWITT WARD 1,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,73,24,49,0,0,0
Arkansas,DEWITT WARD 1,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,136,56,80,0,0,0
Arkansas,DEWITT WARD 1,U.S. House,1,LIB,Mark West,118,44,74,0,0,0
Arkansas,DEWITT WARD 1,U.S. House,1,REP,Congressman Rick Crawford,77,28,49,0,0,0
Arkansas,DEWITT WARD 1,U.S. President & Vice President,,BFA,Evan McMullin/Nathan Johnson,7,5,2,0,0,0
Arkansas,DEWITT WARD 1,U.S. President & Vice President,,CST,Darrell L. Castle/Scott N. Bradley,2,1,1,0,0,0
Arkansas,DEWITT WARD 1,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,133,50,83,0,0,0
Arkansas,DEWITT WARD 1,U.S. President & Vice President,,GRN,Jill Stein/Ajamu Baraka,3,1,2,0,0,0
Arkansas,DEWITT WARD 1,U.S. President & Vice President,,IND,Jim Hedges/Bill Bayes,6,1,5,0,0,0
Arkansas,DEWITT WARD 1,U.S. President & Vice President,,LIB,Gary Johnson/Bill Weld,3,2,1,0,0,0
Arkansas,DEWITT WARD 1,U.S. President & Vice President,,REP,Donald J. Trump/Michael R. Pence,64,22,42,0,0,0
Arkansas,DEWITT WARD 1,U.S. Senate,,DEM,Conner Eldridge,138,55,83,0,0,0
Arkansas,DEWITT WARD 1,U.S. Senate,,LIB,Frank Gilbert,7,2,5,0,0,0
Arkansas,DEWITT WARD 1,U.S. Senate,,REP,Senator John Boozman,70,23,47,0,0,0
Arkansas,DEWITT WARD 2,Alderman Ward 1 Position 1 Dewitt,,IND,Ada Marie Clark,152,53,93,6,0,0
Arkansas,DEWITT WARD 2,Alderman Ward 1 Position 1 Dewitt,,IND,Brent London,144,43,101,0,0,0
Arkansas,DEWITT WARD 2,Alderman Ward 2 Position 2 Dewitt,,IND,Perry L. Simpson,224,82,140,2,0,0
Arkansas,DEWITT WARD 2,Alderman Ward 2 Position 2 Dewitt,,IND,Vivian A. Meins,85,16,64,5,0,0
Arkansas,DEWITT WARD 2,All Unopposed Candidates,,NON,For,220,72,142,6,0,0
Arkansas,DEWITT WARD 2,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,289,92,190,7,0,0
Arkansas,DEWITT WARD 2,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,85,25,60,0,0,0
Arkansas,DEWITT WARD 2,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,219,73,139,7,0,0
Arkansas,DEWITT WARD 2,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,85,29,55,1,0,0
Arkansas,DEWITT WARD 2,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,217,67,144,6,0,0
Arkansas,DEWITT WARD 2,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,99,29,67,3,0,0
Arkansas,DEWITT WARD 2,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,203,70,131,2,0,0
Arkansas,DEWITT WARD 2,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,179,46,128,5,0,0
Arkansas,DEWITT WARD 2,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,130,54,74,2,0,0
Arkansas,DEWITT WARD 2,U.S. House,1,LIB,Mark West,66,26,36,4,0,0
Arkansas,DEWITT WARD 2,U.S. House,1,REP,Congressman Rick Crawford,229,71,155,3,0,0
Arkansas,DEWITT WARD 2,U.S. President & Vice President,,BFA,Evan McMullin/Nathan Johnson,1,0,1,0,0,0
Arkansas,DEWITT WARD 2,U.S. President & Vice President,,CST,Darrell L. Castle/Scott N. Bradley,1,0,1,0,0,0
Arkansas,DEWITT WARD 2,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,73,22,47,4,0,0
Arkansas,DEWITT WARD 2,U.S. President & Vice President,,GRN,Jill Stein/Ajamu Baraka,1,1,0,0,0,0
Arkansas,DEWITT WARD 2,U.S. President & Vice President,,IND,Jim Hedges/Bill Bayes,6,2,4,0,0,0
Arkansas,DEWITT WARD 2,U.S. President & Vice President,,IND,Lynn S. Kahn/Kathleen Monahan,2,0,2,0,0,0
