county,precinct,office,district,candidate,party,votes
Queens,"=""6/23""",President,NYC,Special Presidential,,0
Queens,"=""6/23""",President,NYC,Affidavit,,13
Queens,"=""6/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,266
Queens,"=""6/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,433
Queens,"=""6/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,41
Queens,"=""6/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
Queens,"=""6/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Queens,"=""6/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
Queens,"=""6/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Queens,"=""6/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Queens,"=""6/23""",President,NYC,Scattered,,7
Queens,"=""7/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""7/23""",President,NYC,Absentee / Military,,41
Queens,"=""7/23""",President,NYC,Federal,,4
Queens,"=""7/23""",President,NYC,Special Presidential,,0
Queens,"=""7/23""",President,NYC,Affidavit,,8
Queens,"=""7/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,243
Queens,"=""7/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,473
Queens,"=""7/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,53
Queens,"=""7/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Queens,"=""7/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,14
Queens,"=""7/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,15
Queens,"=""7/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Queens,"=""7/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,"=""7/23""",President,NYC,Scattered,,5
Queens,"=""8/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""8/23""",President,NYC,Absentee / Military,,38
Queens,"=""8/23""",President,NYC,Federal,,6
Queens,"=""8/23""",President,NYC,Special Presidential,,0
Queens,"=""8/23""",President,NYC,Affidavit,,16
Queens,"=""8/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,232
Queens,"=""8/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,428
Queens,"=""8/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,44
Queens,"=""8/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Queens,"=""8/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,9
Queens,"=""8/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,13
Queens,"=""8/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Queens,"=""8/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,5
Queens,"=""8/23""",President,NYC,Scattered,,8
Queens,"=""9/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""9/23""",President,NYC,Absentee / Military,,74
Queens,"=""9/23""",President,NYC,Federal,,5
Queens,"=""9/23""",President,NYC,Special Presidential,,0
Queens,"=""9/23""",President,NYC,Affidavit,,21
Queens,"=""9/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,293
Queens,"=""9/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,434
Queens,"=""9/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,35
Queens,"=""9/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,14
Queens,"=""9/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
Queens,"=""9/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,14
Queens,"=""9/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Queens,"=""9/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,4
Queens,"=""9/23""",President,NYC,Scattered,,6
Queens,"=""10/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""10/23""",President,NYC,Absentee / Military,,36
Queens,"=""10/23""",President,NYC,Federal,,4
Queens,"=""10/23""",President,NYC,Special Presidential,,0
Queens,"=""10/23""",President,NYC,Affidavit,,13
Queens,"=""10/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,341
Queens,"=""10/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,377
Queens,"=""10/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,47
Queens,"=""10/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,10
Queens,"=""10/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
Queens,"=""10/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,17
Queens,"=""10/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,"=""10/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,4
Queens,"=""10/23""",President,NYC,Scattered,,8
Queens,"=""11/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""11/23""",President,NYC,Absentee / Military,,50
Queens,"=""11/23""",President,NYC,Federal,,1
Queens,"=""11/23""",President,NYC,Special Presidential,,0
Queens,"=""11/23""",President,NYC,Affidavit,,18
Queens,"=""11/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,292
Queens,"=""11/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,374
Queens,"=""11/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,40
