precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_NICOLL,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_O'MALLEY,gen_dem_SANDERS,gen_rep_BUSH,gen_rep_CARSON,gen_rep_CHRISTIE,gen_rep_CRUZ,gen_rep_FIORINA,gen_rep_GILMORE,gen_rep_GRAHAM,gen_rep_HUCKABEE,gen_rep_KASICH,gen_rep_NICOLL,gen_rep_PATAKI,gen_rep_PAUL,gen_rep_RUBIO,gen_rep_SANTORUM,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
ANDERSONAndersonville,64,1,39,2,55,3,170,0,0,0,4,24,0,0,1,120,0,304,64,1,39,2,55,3,170,0,0,0,4,24,0,0,1,120,0,304,683,104,787
ANDERSONBriceville,11,1,10,0,4,0,44,0,0,0,0,2,0,0,0,10,0,58,11,1,10,0,4,0,44,0,0,0,0,2,0,0,0,10,0,58,118,22,140
ANDERSONBull Run,106,5,102,7,79,1,196,1,1,0,1,31,0,0,3,162,1,316,106,5,102,7,79,1,196,1,1,0,1,31,0,0,3,162,1,316,799,213,1012
ANDERSONClaxton,94,3,58,5,40,2,187,2,0,0,2,23,0,0,1,118,1,282,94,3,58,5,40,2,187,2,0,0,2,23,0,0,1,118,1,282,663,155,818
ANDERSONClinton,159,2,94,10,77,0,154,2,0,0,4,44,0,0,3,201,1,326,159,2,94,10,77,0,154,2,0,0,4,44,0,0,3,201,1,326,822,255,1077
ANDERSONClinton High,87,2,39,2,23,0,98,2,0,0,4,23,0,1,1,98,0,191,87,2,39,2,23,0,98,2,0,0,4,23,0,1,1,98,0,191,443,128,571
ANDERSONClinton Middle,19,1,26,1,17,1,66,0,0,0,0,5,0,0,0,47,0,107,19,1,26,1,17,1,66,0,0,0,0,5,0,0,0,47,0,107,244,46,290
ANDERSONDutch Valley,23,1,21,1,10,1,30,1,0,0,0,3,0,0,1,28,0,75,23,1,21,1,10,1,30,1,0,0,0,3,0,0,1,28,0,75,150,45,195
ANDERSONEmory Valley,216,4,166,19,43,0,141,1,0,0,0,81,0,0,2,218,0,189,216,4,166,19,43,0,141,1,0,0,0,81,0,0,2,218,0,189,694,386,1080
ANDERSONFairview,25,1,27,2,21,0,78,0,0,0,1,6,0,0,0,53,0,128,25,1,27,2,21,0,78,0,0,0,1,6,0,0,0,53,0,128,289,53,342
ANDERSONGlen Alpine,74,4,63,6,34,0,159,0,0,1,0,22,0,1,2,92,1,285,74,4,63,6,34,0,159,0,0,1,0,22,0,1,2,92,1,285,603,141,744
ANDERSONGlenwood,124,3,158,5,33,0,98,1,0,0,1,22,0,0,0,105,1,159,124,3,158,5,33,0,98,1,0,0,1,22,0,0,0,105,1,159,425,285,710
ANDERSONHendrix Creek,188,4,137,9,40,0,108,2,1,0,2,77,0,0,1,211,1,157,188,4,137,9,40,0,108,2,1,0,2,77,0,0,1,211,1,157,609,329,938
ANDERSONHighland View,56,0,76,1,12,0,49,0,0,0,1,10,0,0,1,43,0,59,56,0,76,1,12,0,49,0,0,0,1,10,0,0,1,43,0,59,176,132,308
ANDERSONLake City CC,35,1,19,3,6,1,36,0,0,1,0,1,0,0,0,19,0,54,35,1,19,3,6,1,36,0,0,1,0,1,0,0,0,19,0,54,121,55,176
ANDERSONLake City MS,56,0,52,7,47,0,153,0,0,0,3,14,0,0,0,100,1,255,56,0,52,7,47,0,153,0,0,0,3,14,0,0,0,100,1,255,580,108,688
ANDERSONMarlow,16,3,22,2,26,0,65,0,0,0,2,8,0,0,0,30,0,106,16,3,22,2,26,0,65,0,0,0,2,8,0,0,0,30,0,106,239,41,280
ANDERSONNorris,113,1,101,3,22,1,51,0,0,0,0,30,0,0,1,68,0,120,113,1,101,3,22,1,51,0,0,0,0,30,0,0,1,68,0,120,296,215,511
ANDERSONNorth Clinton,67,0,53,2,29,0,79,0,0,0,1,7,0,0,0,74,1,215,67,0,53,2,29,0,79,0,0,0,1,7,0,0,0,74,1,215,408,120,528
ANDERSONNorwood,76,2,48,3,39,1,81,1,0,0,0,12,0,0,1,104,0,222,76,2,48,3,39,1,81,1,0,0,0,12,0,0,1,104,0,222,464,126,590
ANDERSONOak Ridge,144,3,68,1,18,0,26,0,0,0,0,14,0,0,1,44,0,65,144,3,68,1,18,0,26,0,0,0,0,14,0,0,1,44,0,65,169,215,384
ANDERSONPine Valley,160,4,166,5,33,0,102,0,0,0,0,18,0,1,4,110,0,140,160,4,166,5,33,0,102,0,0,0,0,18,0,1,4,110,0,140,413,330,743
ANDERSONRobertsville,117,1,82,9,36,1,50,1,0,1,0,16,0,0,0,46,0,78,117,1,82,9,36,1,50,1,0,1,0,16,0,0,0,46,0,78,238,200,438
ANDERSONRosedale,9,0,6,0,8,0,3,0,0,0,0,0,0,0,0,4,0,13,9,0,6,0,8,0,3,0,0,0,0,0,0,0,0,4,0,13,28,15,43
ANDERSONSouth Clinton,59,3,44,3,35,0,80,1,0,0,3,11,0,1,0,68,1,188,59,3,44,3,35,0,80,1,0,0,3,11,0,1,0,68,1,188,391,106,497
ANDERSONWest Hills,143,1,111,12,47,0,98,0,0,0,1,49,0,1,1,139,1,135,143,1,111,12,47,0,98,0,0,0,1,49,0,1,1,139,1,135,484,255,739
ANDERSONWoodland,87,0,57,2,28,0,48,0,0,1,0,10,0,0,0,28,0,72,87,0,57,2,28,0,48,0,0,1,0,10,0,0,0,28,0,72,189,144,333
BEDFORD1-1 Wartrace,82,0,41,0,45,0,168,0,0,0,1,11,0,0,2,54,0,262,82,0,41,0,45,0,168,0,0,0,1,11,0,0,2,54,0,262,543,123,666
BEDFORD1-2 Bell Buckle,63,1,48,1,43,0,97,0,1,1,3,32,0,0,3,77,0,193,63,1,48,1,43,0,97,0,1,1,3,32,0,0,3,77,0,193,451,112,563
BEDFORD2-3 Fair Haven,107,1,54,6,71,2,256,0,0,0,2,16,0,0,0,98,2,435,107,1,54,6,71,2,256,0,0,0,2,16,0,0,0,98,2,435,888,162,1050
BEDFORD3-3 Unionville,118,2,39,1,55,0,173,0,0,0,1,7,0,0,1,75,0,430,118,2,39,1,55,0,173,0,0,0,1,7,0,0,1,75,0,430,743,159,902
BEDFORD4-3 Bedford,125,6,56,5,43,1,209,2,1,0,2,27,0,0,0,96,0,449,125,6,56,5,43,1,209,2,1,0,2,27,0,0,0,96,0,449,835,187,1022
BEDFORD5-2 Flat Creek,99,0,70,8,49,2,204,1,0,0,1,20,0,0,0,117,1,339,99,0,70,8,49,2,204,1,0,0,1,20,0,0,0,117,1,339,742,169,911
BEDFORD5-5 Normandy,59,1,26,4,42,0,124,0,0,0,0,28,0,0,0,54,0,147,59,1,26,4,42,0,124,0,0,0,0,28,0,0,0,54,0,147,399,86,485
BEDFORD6-1 East Side,113,1,51,0,26,0,55,0,1,0,0,7,0,0,1,34,0,131,113,1,51,0,26,0,55,0,1,0,0,7,0,0,1,34,0,131,255,165,420
BEDFORD7-1 Deery Eakin,147,2,45,4,37,0,124,0,0,0,0,18,0,0,0,63,0,234,147,2,45,4,37,0,124,0,0,0,0,18,0,0,0,63,0,234,480,194,674
BEDFORD8-1 Thomas,163,2,35,4,31,0,96,0,0,0,2,11,0,0,0,70,1,191,163,2,35,4,31,0,96,0,0,0,2,11,0,0,0,70,1,191,406,200,606
BEDFORD9-2 Southside,132,2,61,6,33,0,149,0,2,1,1,23,0,0,1,83,0,273,132,2,61,6,33,0,149,0,2,1,1,23,0,0,1,83,0,273,572,195,767
BENTON1 Holladay,83,3,37,3,23,0,93,0,0,0,3,13,0,0,0,39,0,219,83,3,37,3,23,0,93,0,0,0,3,13,0,0,0,39,0,219,393,123,516
BENTON2 Camden Jr High,106,3,53,0,18,0,96,0,0,0,1,11,0,0,1,53,0,194,106,3,53,0,18,0,96,0,0,0,1,11,0,0,1,53,0,194,374,162,536
BENTON3 Camden City Hall,88,3,50,5,21,1,111,0,0,0,0,10,0,0,0,49,0,141,88,3,50,5,21,1,111,0,0,0,0,10,0,0,0,49,0,141,338,141,479
BENTON4 Camden Elementary,99,2,61,2,16,0,102,0,0,0,0,11,0,0,0,37,0,206,99,2,61,2,16,0,102,0,0,0,0,11,0,0,0,37,0,206,374,162,536
BENTON5 Library,101,0,39,3,25,0,71,0,1,1,0,12,0,0,1,43,0,168,101,0,39,3,25,0,71,0,1,1,0,12,0,0,1,43,0,168,325,140,465
BENTON6 Big Sandy,83,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131
BENTON6 Big Sandy-7,0,0,0,2,20,0,91,0,0,0,0,15,0,0,0,56,0,222,0,0,0,2,20,0,91,0,0,0,0,15,0,0,0,56,0,222,406,0,406
BENTON6 Big Sandy-8,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,4,12,0,12
BLEDSOE1-1 Dill,22,1,10,0,4,0,18,0,0,0,0,4,0,0,1,3,0,42,22,1,10,0,4,0,18,0,0,0,0,4,0,0,1,3,0,42,72,33,105
BLEDSOE1-2 Griffith,23,1,6,0,2,0,5,0,0,0,0,0,0,0,0,2,0,25,23,1,6,0,2,0,5,0,0,0,0,0,0,0,0,2,0,25,34,30,64
BLEDSOE1-3 Mt. Crest,35,2,22,1,18,0,52,0,0,0,1,1,0,0,0,43,0,65,35,2,22,1,18,0,52,0,0,0,1,1,0,0,0,43,0,65,181,59,240
BLEDSOE2-1 Cold Springs,49,2,29,0,12,0,33,0,0,0,3,11,0,0,0,23,2,124,49,2,29,0,12,0,33,0,0,0,3,11,0,0,0,23,2,124,208,80,288
BLEDSOE2-2 Luminary,9,1,10,0,13,0,35,0,0,0,0,1,0,0,0,14,0,75,9,1,10,0,13,0,35,0,0,0,0,1,0,0,0,14,0,75,138,20,158
BLEDSOE3-1 Brayton,9,1,9,3,20,1,46,0,0,0,0,7,0,0,0,33,0,89,9,1,9,3,20,1,46,0,0,0,0,7,0,0,0,33,0,89,199,19,218
BLEDSOE3-2 Rigsby,10,0,10,4,27,1,75,1,0,0,2,10,0,0,2,24,1,136,10,0,10,4,27,1,75,1,0,0,2,10,0,0,2,24,1,136,283,20,303
BLEDSOE4-1 Pikeville,80,2,43,6,17,0,55,0,1,0,2,5,0,0,1,34,0,116,80,2,43,6,17,0,55,0,1,0,2,5,0,0,1,34,0,116,237,125,362
BLEDSOE5-1 Bellview,16,2,26,2,15,0,53,0,0,1,1,6,0,0,0,30,1,111,16,2,26,2,15,0,53,0,0,1,1,6,0,0,0,30,1,111,220,44,264
BLEDSOE5-2 Nine Mile,20,0,5,1,3,0,46,0,0,1,0,1,0,0,0,21,0,64,20,0,5,1,3,0,46,0,0,1,0,1,0,0,0,21,0,64,137,25,162
BLEDSOE6-1 Lee Station,34,3,17,0,7,0,13,0,0,0,0,1,0,0,0,17,0,40,34,3,17,0,7,0,13,0,0,0,0,1,0,0,0,17,0,40,78,54,132
BLEDSOE6-2 Lusk,91,1,29,1,28,1,56,0,0,0,1,9,0,0,0,41,0,122,91,1,29,1,28,1,56,0,0,0,1,9,0,0,0,41,0,122,259,121,380
BLOUNTAlcoa,126,0,103,13,67,2,197,1,0,0,3,65,0,0,4,299,0,252,126,0,103,13,67,2,197,1,0,0,3,65,0,0,4,299,0,252,903,229,1132
BLOUNTBeech Grove,106,1,104,5,42,1,138,0,1,0,1,27,0,0,5,117,2,201,106,1,104,5,42,1,138,0,1,0,1,27,0,0,5,117,2,201,540,211,751
BLOUNTBig Springs,31,0,23,4,29,0,107,1,0,0,1,15,0,1,5,71,0,140,31,0,23,4,29,0,107,1,0,0,1,15,0,1,5,71,0,140,374,54,428
BLOUNTBoard of Education,140,0,105,26,65,0,164,0,1,0,1,67,0,0,2,267,0,309,140,0,105,26,65,0,164,0,1,0,1,67,0,0,2,267,0,309,902,245,1147
BLOUNTCarpenters,77,0,68,2,74,1,182,0,2,0,0,35,0,0,0,111,0,293,77,0,68,2,74,1,182,0,2,0,0,35,0,0,0,111,0,293,700,145,845
BLOUNTChilhowee View,77,0,46,9,49,1,141,0,0,0,2,20,0,0,2,110,2,254,77,0,46,9,49,1,141,0,0,0,2,20,0,0,2,110,2,254,590,123,713
BLOUNTEagleton MS Cafeteria,68,0,83,8,28,0,93,1,0,0,3,11,0,0,3,88,0,190,68,0,83,8,28,0,93,1,0,0,3,11,0,0,3,88,0,190,425,151,576
BLOUNTEagleton MS Gym,81,1,51,5,61,0,180,0,0,0,2,32,0,0,0,176,2,240,81,1,51,5,61,0,180,0,0,0,2,32,0,0,0,176,2,240,698,133,831
BLOUNTEverett,66,1,95,12,43,0,80,0,0,1,2,13,0,0,0,51,0,141,66,1,95,12,43,0,80,0,0,1,2,13,0,0,0,51,0,141,343,162,505
BLOUNTFairview,83,0,53,12,58,0,161,2,0,1,1,30,0,0,5,183,0,270,83,0,53,12,58,0,161,2,0,1,1,30,0,0,5,183,0,270,723,136,859
BLOUNTFriendsville,48,0,30,5,33,0,108,1,0,0,1,29,0,0,0,115,0,223,48,0,30,5,33,0,108,1,0,0,1,29,0,0,0,115,0,223,515,78,593
BLOUNTHappy Valley,9,0,3,2,4,0,10,0,0,0,0,2,0,0,0,6,0,19,9,0,3,2,4,0,10,0,0,0,0,2,0,0,0,6,0,19,43,12,55
BLOUNTHeritage,70,0,39,7,64,0,150,0,1,0,0,34,0,1,1,169,1,272,70,0,39,7,64,0,150,0,1,0,0,34,0,1,1,169,1,272,700,109,809
BLOUNTJohn Sevier,95,1,127,23,57,1,161,2,0,0,2,36,0,0,1,249,0,234,95,1,127,23,57,1,161,2,0,0,2,36,0,0,1,249,0,234,766,223,989
BLOUNTLanier,39,1,48,5,43,0,140,0,0,0,1,17,0,2,0,115,1,278,39,1,48,5,43,0,140,0,0,0,1,17,0,2,0,115,1,278,602,88,690
BLOUNTLouisville,83,1,56,7,50,0,117,0,1,0,2,38,0,0,1,190,2,263,83,1,56,7,50,0,117,0,1,0,2,38,0,0,1,190,2,263,671,140,811
BLOUNTMartin Luther King,174,0,36,3,13,0,34,2,0,0,0,5,0,0,0,18,0,72,174,0,36,3,13,0,34,2,0,0,0,5,0,0,0,18,0,72,147,210,357
BLOUNTMaryville College,71,0,92,6,39,2,57,1,0,0,1,45,0,0,1,121,1,97,71,0,92,6,39,2,57,1,0,0,1,45,0,0,1,121,1,97,371,163,534
BLOUNTMaryville HS,141,0,132,18,68,1,157,1,2,0,2,109,0,0,1,334,1,257,141,0,132,18,68,1,157,1,2,0,2,109,0,0,1,334,1,257,951,273,1224
BLOUNTMaryville Jr High,131,3,112,14,77,3,156,2,0,1,1,102,0,2,2,281,0,240,131,3,112,14,77,3,156,2,0,1,1,102,0,2,2,281,0,240,881,246,1127
BLOUNTMaryville Municipal,76,1,109,7,36,0,123,0,0,0,2,29,0,0,1,111,0,174,76,1,109,7,36,0,123,0,0,0,2,29,0,0,1,111,0,174,483,186,669
BLOUNTMentor,37,1,34,1,21,1,40,1,0,0,1,9,0,0,1,39,0,74,37,1,34,1,21,1,40,1,0,0,1,9,0,0,1,39,0,74,188,72,260
BLOUNTMiddlesettlements,22,0,20,0,25,0,44,0,0,0,2,13,0,0,0,41,0,80,22,0,20,0,25,0,44,0,0,0,2,13,0,0,0,41,0,80,205,42,247
BLOUNTMiser Station,69,0,53,4,33,0,105,0,0,0,2,38,0,0,0,138,0,187,69,0,53,4,33,0,105,0,0,0,2,38,0,0,0,138,0,187,507,122,629
BLOUNTMontvale,167,1,137,16,86,3,369,1,3,0,10,53,0,0,2,320,1,543,167,1,137,16,86,3,369,1,3,0,10,53,0,0,2,320,1,543,1407,305,1712
BLOUNTOak Street,68,0,52,7,46,2,138,1,0,0,2,39,0,0,3,149,0,217,68,0,52,7,46,2,138,1,0,0,2,39,0,0,3,149,0,217,604,120,724
BLOUNTOakview,57,2,56,11,90,0,186,2,0,0,2,31,0,0,0,148,2,311,57,2,56,11,90,0,186,2,0,0,2,31,0,0,0,148,2,311,783,115,898
BLOUNTPellissippi Campus,30,1,29,4,24,1,91,0,0,0,0,7,0,0,1,54,0,136,30,1,29,4,24,1,91,0,0,0,0,7,0,0,1,54,0,136,318,60,378
BLOUNTPorter,51,0,56,10,53,0,146,0,0,0,1,26,0,0,1,170,0,290,51,0,56,10,53,0,146,0,0,0,1,26,0,0,1,170,0,290,697,107,804
BLOUNTRockford,102,2,84,2,46,0,119,0,1,0,1,20,0,0,1,107,1,224,102,2,84,2,46,0,119,0,1,0,1,20,0,0,1,107,1,224,522,188,710
BLOUNTShooks Gap,50,0,55,7,65,1,170,1,0,0,3,36,0,0,0,137,0,254,50,0,55,7,65,1,170,1,0,0,3,36,0,0,0,137,0,254,674,105,779
BLOUNTTownsend,87,2,62,11,44,0,111,1,0,1,3,30,0,0,3,136,0,259,87,2,62,11,44,0,111,1,0,1,3,30,0,0,3,136,0,259,599,151,750
BLOUNTWalland,37,0,23,2,26,0,69,0,0,0,3,15,0,1,0,65,1,159,37,0,23,2,26,0,69,0,0,0,3,15,0,1,0,65,1,159,341,60,401
BLOUNTWilliam Blount HS,42,1,67,5,44,2,105,0,0,0,0,19,0,0,1,109,1,218,42,1,67,5,44,2,105,0,0,0,0,19,0,0,1,109,1,218,504,110,614
BLOUNTWm Blount Academy,126,4,123,11,127,4,373,1,0,0,3,73,0,1,1,273,0,641,126,4,123,11,127,4,373,1,0,0,3,73,0,1,1,273,0,641,1508,253,1761
BRADLEY1-1 McDonald,43,1,42,9,63,0,106,0,0,0,3,31,0,0,0,117,1,292,43,1,42,9,63,0,106,0,0,0,3,31,0,0,0,117,1,292,622,86,708
BRADLEY1-2 Prospect,102,3,104,22,155,2,356,1,1,0,3,110,0,0,1,501,1,540,102,3,104,22,155,2,356,1,1,0,3,110,0,0,1,501,1,540,1693,209,1902
BRADLEY1-3 Hopewell,54,1,52,6,124,0,246,1,0,0,3,62,0,0,1,235,0,379,54,1,52,6,124,0,246,1,0,0,3,62,0,0,1,235,0,379,1057,107,1164
BRADLEY2-1 E.L. Ross,172,2,127,28,192,3,353,2,0,1,7,102,0,0,4,529,1,602,172,2,127,28,192,3,353,2,0,1,7,102,0,0,4,529,1,602,1824,301,2125
BRADLEY2-2 Walker Valley,13,0,9,1,10,0,17,0,0,0,1,4,0,0,2,19,0,48,13,0,9,1,10,0,17,0,0,0,1,4,0,0,2,19,0,48,102,22,124
BRADLEY2-2 Walker Valley-4,112,0,70,10,88,0,264,4,0,1,5,64,0,0,3,269,0,416,112,0,70,10,88,0,264,4,0,1,5,64,0,0,3,269,0,416,1124,182,1306
BRADLEY3-1 Lee University,130,0,87,9,58,0,102,0,1,0,3,44,0,0,3,202,1,208,130,0,87,9,58,0,102,0,1,0,3,44,0,0,3,202,1,208,631,217,848
BRADLEY3-2 Senior Center,29,0,21,5,26,0,71,1,0,0,0,18,0,0,0,96,0,97,29,0,21,5,26,0,71,1,0,0,0,18,0,0,0,96,0,97,314,50,364
BRADLEY3-2 Senior Center-4,107,1,91,16,99,2,187,0,0,1,2,58,0,1,2,297,0,334,107,1,91,16,99,2,187,0,0,1,2,58,0,1,2,297,0,334,999,199,1198
BRADLEY4-1 Oak Grove,65,0,65,14,103,0,252,0,0,0,6,18,0,0,1,179,1,435,65,0,65,14,103,0,252,0,0,0,6,18,0,0,1,179,1,435,1009,130,1139
BRADLEY4-1 Oak Grove-4,3,0,4,0,1,0,3,0,0,0,0,2,0,0,0,10,0,22,3,0,4,0,1,0,3,0,0,0,0,2,0,0,0,10,0,22,38,7,45
BRADLEY4-2 Michigan Ave,125,0,96,5,119,0,347,0,0,0,1,46,0,1,1,278,1,506,125,0,96,5,119,0,347,0,0,0,1,46,0,1,1,278,1,506,1305,221,1526
BRADLEY4-2 Michigan Ave-4,2,0,1,0,4,0,12,0,0,0,0,2,0,0,0,6,0,19,2,0,1,0,4,0,12,0,0,0,0,2,0,0,0,6,0,19,43,3,46
BRADLEY5-1 Blythe/Bower,6,0,6,3,8,0,24,1,0,1,1,5,0,0,0,12,0,32,6,0,6,3,8,0,24,1,0,1,1,5,0,0,0,12,0,32,87,12,99
BRADLEY5-1 Blythe/Bower-4,95,0,85,10,77,0,187,1,0,1,5,19,0,0,1,138,0,294,95,0,85,10,77,0,187,1,0,1,5,19,0,0,1,138,0,294,733,180,913
BRADLEY5-2 Museum,85,0,40,3,29,0,56,0,0,1,3,5,0,0,0,34,0,141,85,0,40,3,29,0,56,0,0,1,3,5,0,0,0,34,0,141,272,125,397
BRADLEY6-1 Valley View,54,2,55,7,61,0,211,1,1,0,4,13,0,0,1,125,1,273,54,2,55,7,61,0,211,1,1,0,4,13,0,0,1,125,1,273,698,111,809
BRADLEY6-2 Blue Springs,48,1,17,6,89,0,154,0,0,0,3,21,0,0,1,93,1,222,48,1,17,6,89,0,154,0,0,0,3,21,0,0,1,93,1,222,590,66,656
BRADLEY6-2 Blue Springs-4,21,0,25,3,37,0,61,0,0,0,1,9,0,0,2,71,0,119,21,0,25,3,37,0,61,0,0,0,1,9,0,0,2,71,0,119,303,46,349
BRADLEY6-3 Waterville,14,0,19,3,25,1,43,0,0,0,1,6,0,0,0,56,0,92,14,0,19,3,25,1,43,0,0,0,1,6,0,0,0,56,0,92,227,33,260
BRADLEY6-3 Waterville-4,25,1,17,2,29,0,54,1,1,0,1,7,0,0,2,37,1,120,25,1,17,2,29,0,54,1,1,0,1,7,0,0,2,37,1,120,255,43,298
BRADLEY6-4 Black Fox,17,0,23,3,82,2,63,1,1,0,2,6,0,0,0,74,0,130,17,0,23,3,82,2,63,1,1,0,2,6,0,0,0,74,0,130,364,40,404
BRADLEY6-4 Black Fox-4,8,0,7,0,16,0,17,0,0,0,1,3,0,0,0,20,0,47,8,0,7,0,16,0,17,0,0,0,1,3,0,0,0,20,0,47,104,15,119
BRADLEY7-1 Stuart,183,1,134,19,138,1,281,5,0,1,11,75,0,0,3,383,2,469,183,1,134,19,138,1,281,5,0,1,11,75,0,0,3,383,2,469,1388,318,1706
BRADLEY7-2 Cleveland High,131,0,105,8,86,1,158,1,0,0,6,61,0,0,0,287,0,266,131,0,105,8,86,1,158,1,0,0,6,61,0,0,0,287,0,266,874,236,1110
CAMPBELL1-1 Alder Springs,15,0,5,0,5,0,29,1,0,0,0,9,0,0,0,23,0,72,15,0,5,0,5,0,29,1,0,0,0,9,0,0,0,23,0,72,139,20,159
CAMPBELL1-2 Demory,40,0,12,1,16,0,56,0,0,0,0,7,0,0,0,47,0,151,40,0,12,1,16,0,56,0,0,0,0,7,0,0,0,47,0,151,278,52,330
CAMPBELL1-3 Pinecrest,16,0,11,1,3,0,8,1,0,0,0,4,0,0,0,16,0,49,16,0,11,1,3,0,8,1,0,0,0,4,0,0,0,16,0,49,82,27,109
CAMPBELL1-4 Valley View,57,1,22,3,16,2,115,0,0,1,0,10,0,0,3,58,2,257,57,1,22,3,16,2,115,0,0,1,0,10,0,0,3,58,2,257,467,80,547
CAMPBELL1-5 Well Springs,16,0,1,0,6,0,23,0,0,0,0,9,0,0,0,16,0,60,16,0,1,0,6,0,23,0,0,0,0,9,0,0,0,16,0,60,114,17,131
CAMPBELL2-1 College Hill,19,2,6,0,7,0,17,0,0,0,0,4,0,0,0,10,0,37,19,2,6,0,7,0,17,0,0,0,0,4,0,0,0,10,0,37,75,27,102
CAMPBELL2-2 Davis Chapel,18,0,5,3,14,1,32,0,0,0,0,3,0,0,0,20,1,67,18,0,5,3,14,1,32,0,0,0,0,3,0,0,0,20,1,67,141,23,164
CAMPBELL2-3 East LaFollette,43,0,20,2,27,0,34,1,0,0,1,6,0,0,0,34,0,117,43,0,20,2,27,0,34,1,0,0,1,6,0,0,0,34,0,117,222,63,285
CAMPBELL2-4 LaFollette ES,45,1,15,1,15,0,52,0,0,0,1,10,0,0,0,69,0,141,45,1,15,1,15,0,52,0,0,0,1,10,0,0,0,69,0,141,289,61,350
CAMPBELL3-1 CCHS,27,1,21,2,15,0,30,0,0,0,0,7,0,0,0,54,0,120,27,1,21,2,15,0,30,0,0,0,0,7,0,0,0,54,0,120,228,49,277
CAMPBELL3-2 Jacksboro Sta,69,1,29,6,37,1,87,0,0,0,1,19,0,0,1,77,0,228,69,1,29,6,37,1,87,0,0,0,1,19,0,0,1,77,0,228,457,99,556
CAMPBELL3-3 West LaFollette,38,0,9,0,10,0,23,0,0,0,0,3,0,0,0,10,0,93,38,0,9,0,10,0,23,0,0,0,0,3,0,0,0,10,0,93,139,47,186
CAMPBELL4-1 Caryville,69,1,25,2,23,1,83,0,0,0,0,22,0,0,0,83,0,211,69,1,25,2,23,1,83,0,0,0,0,22,0,0,0,83,0,211,425,95,520
CAMPBELL4-2 Clinchmore,4,0,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,6,14,6,20
CAMPBELL4-3 Jacksboro,49,4,29,1,22,1,87,0,0,0,1,6,0,0,0,63,0,161,49,4,29,1,22,1,87,0,0,0,1,6,0,0,0,63,0,161,342,82,424
CAMPBELL4-4 Ridgewood,33,1,29,2,12,0,60,0,0,0,1,7,0,0,0,34,0,111,33,1,29,2,12,0,60,0,0,0,1,7,0,0,0,34,0,111,227,63,290
CAMPBELL5-1 Elk Valley,8,0,7,1,12,0,25,0,0,0,0,2,0,0,0,5,0,34,8,0,7,1,12,0,25,0,0,0,0,2,0,0,0,5,0,34,79,15,94
CAMPBELL5-2 Habersham,10,0,9,2,9,0,25,0,0,0,1,7,0,0,0,12,0,82,10,0,9,2,9,0,25,0,0,0,1,7,0,0,0,12,0,82,138,19,157
CAMPBELL5-3 Jellico,47,0,30,7,26,0,24,0,0,0,0,5,0,0,0,45,0,129,47,0,30,7,26,0,24,0,0,0,0,5,0,0,0,45,0,129,236,77,313
CAMPBELL5-4 Newcomb,13,0,7,1,13,0,8,0,0,0,1,3,0,0,0,22,0,47,13,0,7,1,13,0,8,0,0,0,1,3,0,0,0,22,0,47,95,20,115
CAMPBELL5-5 White Oak,20,0,9,0,0,0,6,0,0,0,0,3,0,0,0,8,0,27,20,0,9,0,0,0,6,0,0,0,0,3,0,0,0,8,0,27,44,29,73
CANNON1-1 Westside,83,3,39,3,47,3,191,2,0,0,3,18,0,0,0,49,1,309,83,3,39,3,47,3,191,2,0,0,3,18,0,0,0,49,1,309,626,125,751
CANNON2-1 Auburntown,31,0,18,0,11,0,54,0,0,0,0,12,0,0,0,24,0,86,31,0,18,0,11,0,54,0,0,0,0,12,0,0,0,24,0,86,187,49,236
CANNON2-2 Gassaway,19,0,13,1,3,0,18,0,0,0,1,1,0,0,0,1,1,52,19,0,13,1,3,0,18,0,0,0,1,1,0,0,0,1,1,52,78,32,110
CANNON2-3 Pleasant Ridge,23,0,18,1,3,0,52,0,0,0,0,0,0,0,1,17,0,68,23,0,18,1,3,0,52,0,0,0,0,0,0,0,1,17,0,68,142,41,183
CANNON2-4 Short Mountain,23,0,24,1,5,1,24,0,0,0,0,0,0,0,0,9,0,51,23,0,24,1,5,1,24,0,0,0,0,0,0,0,0,9,0,51,91,47,138
CANNON3-2 Woodland,75,3,24,5,33,3,129,1,0,0,0,8,0,0,0,33,0,216,75,3,24,5,33,3,129,1,0,0,0,8,0,0,0,33,0,216,428,102,530
