precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_NICOLL,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_O'MALLEY,gen_dem_SANDERS,gen_rep_BUSH,gen_rep_CARSON,gen_rep_CHRISTIE,gen_rep_CRUZ,gen_rep_FIORINA,gen_rep_GILMORE,gen_rep_GRAHAM,gen_rep_HUCKABEE,gen_rep_KASICH,gen_rep_NICOLL,gen_rep_PATAKI,gen_rep_PAUL,gen_rep_RUBIO,gen_rep_SANTORUM,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
FENTRESSArmathwaite,11,0,21,2,15,0,89,0,0,0,3,3,0,0,0,10,0,39,11,0,21,2,15,0,89,0,0,0,3,3,0,0,0,10,0,39,161,32,193
FENTRESSBanner Springs,21,0,23,0,22,3,54,0,0,0,1,7,0,0,0,22,0,161,21,0,23,0,22,3,54,0,0,0,1,7,0,0,0,22,0,161,270,44,314
FENTRESSClarkrange,46,2,20,2,15,0,108,0,0,0,4,12,0,0,0,29,0,149,46,2,20,2,15,0,108,0,0,0,4,12,0,0,0,29,0,149,319,68,387
FENTRESSCommunity Center,26,1,18,2,11,0,89,1,0,0,2,6,0,0,0,25,0,131,26,1,18,2,11,0,89,1,0,0,2,6,0,0,0,25,0,131,267,45,312
FENTRESSCourthouse,24,0,9,2,4,1,54,0,0,0,0,1,0,0,0,16,0,108,24,0,9,2,4,1,54,0,0,0,0,1,0,0,0,16,0,108,186,33,219
FENTRESSCrossroads,42,2,22,1,13,0,96,1,0,0,1,11,0,0,1,41,0,159,42,2,22,1,13,0,96,1,0,0,1,11,0,0,1,41,0,159,324,66,390
FENTRESSEast Jamestown,4,0,8,1,2,0,12,0,0,0,0,2,0,0,0,6,0,17,4,0,8,1,2,0,12,0,0,0,0,2,0,0,0,6,0,17,40,12,52
FENTRESSGrimsley,40,1,16,4,15,0,102,0,0,0,0,8,0,0,0,28,0,160,40,1,16,4,15,0,102,0,0,0,0,8,0,0,0,28,0,160,317,57,374
FENTRESSPall Mall,17,0,8,1,3,0,34,0,0,0,0,0,0,0,0,21,1,65,17,0,8,1,3,0,34,0,0,0,0,0,0,0,0,21,1,65,125,25,150
FENTRESSPine Haven,33,1,15,2,11,0,52,1,0,0,3,5,0,0,0,36,0,119,33,1,15,2,11,0,52,1,0,0,3,5,0,0,0,36,0,119,229,49,278
FENTRESSTinchtown,35,0,12,2,8,0,81,0,0,0,1,8,0,0,0,31,0,115,35,0,12,2,8,0,81,0,0,0,1,8,0,0,0,31,0,115,246,47,293
FENTRESSWest Fentress,18,0,3,0,7,0,28,0,0,0,2,1,0,0,0,18,0,55,18,0,3,0,7,0,28,0,0,0,2,1,0,0,0,18,0,55,111,21,132
FRANKLIN1-1 Annex,197,2,90,8,67,0,149,0,0,0,3,39,0,0,1,101,0,380,197,2,90,8,67,0,149,0,0,0,3,39,0,0,1,101,0,380,748,289,1037
FRANKLIN2-1 Clark Memorial,187,4,79,13,85,0,160,0,0,0,1,38,0,0,1,163,0,438,187,4,79,13,85,0,160,0,0,0,1,38,0,0,1,163,0,438,899,270,1169
FRANKLIN3-1 Broadview,57,1,32,3,21,3,81,0,0,0,1,11,0,0,0,72,0,163,57,1,32,3,21,3,81,0,0,0,1,11,0,0,0,72,0,163,355,90,445
FRANKLIN3-2 Huntland,64,0,15,3,35,0,63,0,0,0,2,4,0,0,1,41,0,162,64,0,15,3,35,0,63,0,0,0,2,4,0,0,1,41,0,162,311,79,390
FRANKLIN3-3 Walnut Grove,47,2,17,1,12,1,30,0,0,0,0,4,0,0,0,16,0,77,47,2,17,1,12,1,30,0,0,0,0,4,0,0,0,16,0,77,141,66,207
FRANKLIN4-1 Belvidere,29,0,14,0,20,0,45,0,0,0,0,9,0,0,1,16,0,97,29,0,14,0,20,0,45,0,0,0,0,9,0,0,1,16,0,97,188,43,231
FRANKLIN4-2 Cowan,96,2,51,4,46,0,89,0,0,0,2,15,0,0,0,44,0,214,96,2,51,4,46,0,89,0,0,0,2,15,0,0,0,44,0,214,414,149,563
FRANKLIN4-3 Liberty,28,1,9,0,25,0,77,1,0,0,0,7,0,0,1,24,0,114,28,1,9,0,25,0,77,1,0,0,0,7,0,0,1,24,0,114,249,38,287
FRANKLIN5-1 Keith Springs,12,1,5,0,6,0,22,0,0,0,0,2,0,0,0,5,0,49,12,1,5,0,6,0,22,0,0,0,0,2,0,0,0,5,0,49,84,18,102
FRANKLIN5-2 Sewanee,303,1,237,6,11,0,45,0,0,1,0,33,0,1,0,76,1,70,303,1,237,6,11,0,45,0,0,1,0,33,0,1,0,76,1,70,244,541,785
FRANKLIN5-3 Sherwood,12,0,1,0,0,0,11,0,0,0,0,2,0,0,0,3,0,39,12,0,1,0,0,0,11,0,0,0,0,2,0,0,0,3,0,39,55,13,68
FRANKLIN6-1 Alto/Oak Grove,85,1,43,0,12,0,46,0,0,0,0,9,0,0,0,33,0,152,85,1,43,0,12,0,46,0,0,0,0,9,0,0,0,33,0,152,252,129,381
FRANKLIN6-2 Capitol Hill,60,0,32,1,16,0,68,0,0,1,3,10,0,0,0,28,0,164,60,0,32,1,16,0,68,0,0,1,3,10,0,0,0,28,0,164,291,92,383
FRANKLIN6-3 UTSI,40,0,18,0,19,0,74,1,0,0,1,10,0,0,0,41,0,93,40,0,18,0,19,0,74,1,0,0,1,10,0,0,0,41,0,93,239,58,297
FRANKLIN7-1 North Lake,88,0,45,4,68,1,165,1,1,1,1,22,0,0,1,86,1,228,88,0,45,4,68,1,165,1,1,1,1,22,0,0,1,86,1,228,580,133,713
FRANKLIN7-2 CG/Winchester Springs,80,2,39,4,55,0,138,0,0,0,3,24,0,1,0,94,0,260,80,2,39,4,55,0,138,0,0,0,3,24,0,1,0,94,0,260,579,121,700
FRANKLIN8-1 Decherd,106,2,34,2,16,1,49,0,1,0,0,7,0,0,1,26,0,122,106,2,34,2,16,1,49,0,1,0,0,7,0,0,1,26,0,122,225,142,367
FRANKLIN8-2 Estill Springs,102,4,50,4,42,1,136,0,0,0,2,15,0,1,1,80,2,251,102,4,50,4,42,1,136,0,0,0,2,15,0,1,1,80,2,251,535,156,691
GIBSON1-1 Medina,47,0,46,4,121,2,319,0,0,0,1,39,0,0,1,119,0,341,47,0,46,4,121,2,319,0,0,0,1,39,0,0,1,119,0,341,947,93,1040
GIBSON1-2 Sitka,23,0,12,1,32,0,96,0,0,0,0,2,0,1,0,39,0,98,23,0,12,1,32,0,96,0,0,0,0,2,0,1,0,39,0,98,269,35,304
GIBSON10 Trenton,174,5,40,2,22,2,85,0,0,0,1,8,0,1,0,56,1,131,174,5,40,2,22,2,85,0,0,0,1,8,0,1,0,56,1,131,309,219,528
GIBSON11-2 Moore's Chapel,42,1,15,2,33,0,67,0,0,0,1,7,0,0,2,40,0,129,42,1,15,2,33,0,67,0,0,0,1,7,0,0,2,40,0,129,281,58,339
GIBSON11-4 Gann,8,0,11,2,30,0,60,0,0,0,0,7,0,0,1,33,0,83,8,0,11,2,30,0,60,0,0,0,0,7,0,0,1,33,0,83,216,19,235
GIBSON11-5 Skullbone,15,0,9,2,20,1,47,0,0,0,1,9,0,0,1,20,1,83,15,0,9,2,20,1,47,0,0,0,1,9,0,0,1,20,1,83,185,24,209
GIBSON12 Milan CPC,56,0,15,2,74,1,99,0,0,0,1,17,0,0,0,65,1,167,56,0,15,2,74,1,99,0,0,0,1,17,0,0,0,65,1,167,427,71,498
GIBSON13 Milan Polk Clark,143,0,15,2,14,1,18,0,0,0,0,2,0,0,0,10,0,32,143,0,15,2,14,1,18,0,0,0,0,2,0,0,0,10,0,32,79,158,237
GIBSON14 Milan 1stAssembly,67,1,14,0,16,0,54,0,0,0,0,7,0,0,1,22,0,79,67,1,14,0,16,0,54,0,0,0,0,7,0,0,1,22,0,79,179,82,261
GIBSON15 Milan Municipal,53,1,25,4,42,2,96,0,0,0,1,23,0,0,0,73,0,133,53,1,25,4,42,2,96,0,0,0,1,23,0,0,0,73,0,133,374,79,453
