precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_SANDERS,gen_rep_CARSON,gen_rep_CRUZ,gen_rep_KASICH,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Spokane6704,68,132,8,21,12,113,0,0,369,0,0,376,154,200,745
Spokane7000,88,106,11,35,27,252,0,0,0,0,300,647,325,194,947
Spokane7001,43,47,9,30,15,143,0,0,0,132,400,0,197,90,532
Spokane7002,30,47,10,26,12,138,0,0,119,383,0,0,186,77,502
Spokane7003,57,58,9,45,16,171,0,0,450,0,0,175,241,115,625
Spokane7004,58,59,11,37,6,259,0,0,0,0,166,635,313,117,801
Spokane7005,71,103,16,49,27,306,0,0,0,261,685,0,398,174,946
Spokane7006,67,58,10,40,13,200,0,0,224,549,0,0,263,125,773
Spokane7007,51,60,4,21,15,185,0,0,458,0,0,177,225,111,635
Spokane7008,73,74,9,36,21,251,0,0,0,0,196,645,317,147,841
Spokane7009,61,85,11,38,25,261,0,0,0,252,700,0,335,146,952
Spokane7010,39,59,11,20,8,153,0,0,133,374,0,0,192,98,507
Spokane7011,33,26,7,36,6,104,0,0,330,0,0,99,153,59,429
Spokane7012,63,56,7,25,18,203,0,0,0,0,224,466,253,119,690
Spokane7013,44,38,10,36,20,181,0,0,0,153,445,0,247,82,598
Spokane7014,71,55,12,19,9,153,0,0,203,426,0,0,193,126,629
Spokane7015,67,57,10,29,22,166,0,0,409,0,0,195,227,124,604
Spokane7016,80,101,25,40,23,201,0,0,0,0,344,629,289,181,973
Spokane7017,55,65,12,31,21,187,0,0,0,271,457,0,251,120,728
Spokane7018,78,79,22,25,30,190,0,0,323,508,0,0,267,157,831
Spokane7019,57,64,12,36,17,163,0,0,426,0,0,228,228,121,654
Spokane7020,85,44,9,29,19,173,0,0,0,0,299,438,230,129,737
Spokane7021,40,51,1,34,15,91,0,0,0,179,309,0,141,91,488
Spokane7022,60,77,8,18,16,123,0,0,276,315,0,0,165,137,591
Spokane7023,80,69,7,24,14,120,0,0,294,0,0,237,165,149,531
Spokane7024,100,81,10,27,33,269,0,0,0,0,363,575,339,181,938
Spokane7025,98,66,10,32,16,217,0,0,0,301,515,0,275,164,816
Spokane7026,75,63,13,18,34,139,0,0,289,385,0,0,204,138,674
Spokane7027,71,78,10,18,21,108,0,0,300,0,0,251,157,149,551
Spokane7028,101,78,22,26,27,202,0,0,0,0,358,562,277,179,920
Spokane7029,57,81,3,30,10,144,0,0,0,209,347,0,187,138,556
Spokane7030,94,64,17,27,25,157,0,0,302,441,0,0,226,158,743
Spokane7031,67,79,15,39,27,119,0,0,350,0,0,288,200,146,638
Spokane7032,101,121,7,26,24,145,0,0,0,0,383,371,202,222,754
Spokane7033,50,48,8,19,14,83,0,0,0,162,237,0,124,98,399
Spokane7034,32,48,6,10,3,95,0,0,178,238,0,0,114,80,416
Spokane7035,29,51,6,24,8,133,0,0,316,0,0,120,171,80,436
Spokane7036,94,56,17,22,30,117,0,0,0,0,217,288,186,150,505
Spokane7300,49,50,5,24,10,181,0,0,0,179,419,0,220,99,598
Spokane7301,51,46,14,23,8,134,0,0,156,346,0,0,179,97,502
Spokane7302,55,49,13,19,7,119,0,0,329,0,0,132,158,104,461
Spokane9000,58,66,8,39,9,193,0,0,0,0,181,462,249,124,643
Spokane9001,48,79,4,24,7,127,0,0,0,200,334,0,162,127,534
Spokane9002,21,45,6,39,9,123,0,0,107,331,0,0,177,66,438
Spokane9003,29,16,14,20,9,97,0,0,247,0,0,80,140,45,327
Spokane9004,34,34,6,38,18,176,0,0,0,0,137,436,238,68,573
Spokane9005,6,14,1,12,4,63,0,0,0,49,182,0,80,20,231
Spokane9006,40,47,16,27,16,216,0,0,159,580,0,0,275,87,739
Spokane9007,10,10,5,7,7,53,0,0,139,0,0,36,72,20,175
Spokane9008,6,6,1,4,1,41,0,0,0,0,14,91,47,12,105
Spokane9300,16,15,6,6,3,26,0,0,0,37,81,0,41,31,118
Spokane9400,4,4,0,0,0,0,0,0,10,36,0,0,0,8,46
Spokane9500,21,25,4,5,9,57,0,0,168,0,0,68,75,46,236
Spokane9600,5,10,0,7,0,29,0,0,0,0,24,66,36,15,90
Spokane9700,12,23,2,13,5,59,0,0,0,56,151,0,79,35,207
Stevens1,22,32,9,27,6,144,0,0,96,381,0,0,186,54,477
Stevens10,42,64,8,21,3,151,0,0,156,346,0,0,183,106,502
Stevens101,38,43,11,11,6,108,0,0,0,0,115,268,136,81,383
Stevens102,24,14,0,5,2,51,0,0,0,74,114,0,58,38,188
Stevens103,40,33,8,10,10,76,0,0,132,164,0,0,104,73,296
Stevens104,33,29,5,4,5,75,0,0,143,0,0,80,89,62,223
Stevens105,22,29,8,6,1,53,0,0,0,0,51,122,68,51,173
Stevens106,25,20,6,6,9,47,0,0,0,83,140,0,68,45,223
Stevens107,27,26,6,7,6,60,0,0,68,177,0,0,79,53,245
Stevens108,41,43,13,16,16,140,0,0,292,0,0,130,185,84,422
Stevens109,48,46,7,14,4,124,0,0,0,0,128,272,149,94,400
Stevens11,10,18,2,11,0,45,0,0,103,0,0,34,58,28,137
Stevens110,37,30,6,2,8,56,0,0,0,96,121,0,72,67,217
Stevens111,24,20,4,6,7,88,0,0,58,175,0,0,105,44,233
Stevens114,28,46,12,11,8,110,0,0,274,0,0,106,141,74,380
Stevens115,27,17,6,6,0,68,0,0,0,0,52,198,80,44,250
Stevens116,8,18,0,1,2,20,0,0,0,26,45,0,23,26,71
