precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Bernalillo572,42,45,0,4,9,0,2,53,145,171,68,87,316
Bernalillo573,102,105,8,5,44,7,22,158,380,486,244,207,866
Bernalillo58,20,20,0,1,4,0,0,9,93,52,14,40,145
Bernalillo59,139,112,0,1,5,0,2,47,582,228,55,251,810
Bernalillo6,158,145,4,1,20,3,14,108,508,377,150,303,885
Bernalillo60,109,125,1,1,7,0,3,42,510,264,54,234,774
Bernalillo601,80,49,6,4,12,0,16,87,275,321,125,129,596
Bernalillo602,120,89,5,3,17,0,37,208,509,770,270,209,1279
Bernalillo603,289,171,12,7,27,13,56,282,1097,982,397,460,2079
Bernalillo61,109,80,0,0,2,1,2,14,295,101,19,189,396
Bernalillo62,80,71,1,0,5,2,3,3,231,70,14,151,301
Bernalillo63,52,49,1,0,2,1,1,14,189,55,19,101,244
Bernalillo64,40,51,0,0,4,0,0,9,131,43,13,91,174
Bernalillo65,96,90,2,0,4,0,3,21,301,142,30,186,443
Bernalillo66,94,77,0,1,9,0,2,28,290,137,40,171,427
Bernalillo67,115,76,3,0,5,1,3,15,381,93,27,191,474
Bernalillo68,85,124,3,7,10,0,10,110,490,457,140,209,947
Bernalillo69,127,126,4,4,30,3,12,109,634,641,162,253,1275
Bernalillo7,192,133,4,1,8,4,9,81,574,389,107,325,963
Bernalillo70,151,134,3,4,15,2,15,76,639,479,115,285,1118
Bernalillo71,106,96,4,0,5,0,1,29,411,139,39,202,550
Bernalillo72,65,49,4,0,0,0,1,6,226,58,11,114,284
Bernalillo73,163,129,0,3,17,0,4,50,409,269,74,292,678
Bernalillo74,80,72,1,4,5,0,0,25,280,159,35,152,439
Bernalillo75,71,42,3,1,0,1,1,11,183,78,17,113,261
Bernalillo76,82,90,2,3,5,0,3,26,248,155,39,172,403
Bernalillo77,84,72,1,0,5,0,0,28,272,157,34,156,429
Bernalillo78,103,131,4,3,16,3,7,81,570,401,114,234,971
Bernalillo79,157,99,6,5,20,4,10,143,582,597,188,256,1179
Bernalillo8,47,49,1,0,3,0,2,20,170,110,26,96,280
Bernalillo80,106,126,3,8,17,4,7,95,555,509,134,232,1064
Bernalillo81,185,171,6,8,26,3,15,148,851,727,206,356,1578
Bernalillo82,109,98,8,5,20,2,15,101,406,395,151,207,801
Bernalillo83,196,166,4,9,20,5,15,139,729,562,192,362,1291
Bernalillo84,106,87,0,5,21,2,4,66,454,432,98,193,886
Bernalillo85,195,133,4,9,28,2,19,199,715,768,261,328,1483
Bernalillo86,83,72,1,3,6,0,2,49,276,209,61,155,485
Bernalillo87,71,98,1,2,8,0,4,53,350,307,68,169,657
Bernalillo88,54,52,1,2,6,1,3,41,257,148,54,106,405
Bernalillo89,33,44,0,0,7,2,1,40,199,185,50,77,384
Bernalillo9,70,73,1,6,4,2,4,45,250,192,62,143,442
Bernalillo90,106,89,0,0,8,2,3,34,405,200,47,195,605
Bernalillo91,163,115,4,3,19,0,1,84,371,321,111,278,692
Bernalillo92,97,92,2,4,15,1,6,56,307,229,84,189,536
Bernalillo93,130,97,0,0,7,0,2,19,464,180,28,227,644
Bernalillo94,38,34,0,0,1,0,1,10,133,43,12,72,176
Bernalillo95,52,40,0,0,0,0,0,4,222,31,4,92,253
Bernalillo96,92,65,5,3,8,0,0,45,289,195,61,157,484
Bernalillo97,121,129,8,3,13,5,4,60,400,329,93,250,729
Bernalillo98,98,83,0,1,2,0,1,21,377,154,25,181,531
Bernalillo99,118,116,0,0,8,1,5,57,370,274,71,234,644
Catron1,30,36,3,3,6,1,2,79,76,262,94,66,338
Catron2,20,35,1,7,13,2,4,117,74,339,144,55,413
Catron3,20,40,6,6,7,1,2,74,90,185,96,60,275
Catron4,20,5,0,1,9,1,1,63,43,163,75,25,206
Catron5,24,56,4,5,25,1,3,137,124,436,175,80,560
Catron6,2,11,1,0,8,0,2,36,20,79,47,13,99
Chaves1,11,13,6,3,10,1,0,94,62,314,114,24,376
Chaves10,16,13,3,3,16,0,9,195,71,505,226,29,576
Chaves101,27,30,2,2,19,0,8,165,189,537,196,57,726
Chaves102,35,25,3,9,18,0,3,108,142,376,141,60,518
Chaves103,10,8,0,2,9,0,3,38,41,137,52,18,178
Chaves104,0,2,0,1,9,0,1,33,1,74,44,2,75
Chaves11,30,26,10,13,30,0,18,173,125,565,244,56,690
Chaves12,5,13,6,3,13,1,2,100,32,284,125,18,316
Chaves13,29,26,2,2,12,1,1,58,137,258,76,55,395
Chaves14,27,25,4,5,11,2,3,44,134,244,69,52,378
Chaves15,20,12,1,3,2,2,6,53,74,152,67,32,226
Chaves16,17,12,2,5,14,0,3,66,77,180,90,29,257
Chaves2,28,13,1,5,7,0,4,85,91,276,102,41,367
Chaves21,60,29,10,9,34,2,18,211,181,583,284,89,764
Chaves22,41,40,1,4,8,2,2,86,144,314,103,81,458
Chaves23,21,14,1,0,9,2,1,48,92,180,61,35,272
Chaves24,11,6,0,1,5,0,1,28,68,101,35,17,169
Chaves25,22,20,1,1,7,0,2,22,80,135,33,42,215
Chaves3,33,27,5,3,18,3,3,77,104,306,109,60,410
Chaves31,16,27,1,4,3,0,2,50,126,213,60,43,339
Chaves32,14,16,1,2,2,0,0,14,70,97,19,30,167
Chaves33,17,26,1,2,1,0,2,38,106,157,44,43,263
Chaves34,15,19,1,1,2,0,1,16,84,79,21,34,163
Chaves35,25,12,4,2,10,1,3,31,93,170,51,37,263
Chaves36,23,16,4,3,18,3,5,119,100,390,152,39,490
Chaves4,34,21,3,6,16,0,4,72,110,257,101,55,367
Chaves41,40,26,1,4,23,1,6,149,149,526,184,66,675
Chaves42,15,23,1,4,5,0,0,18,86,95,28,38,181
Chaves43,26,14,1,0,5,0,1,21,117,95,28,40,212
Chaves44,0,3,0,0,2,0,0,13,3,17,15,3,20
Chaves45,0,0,0,0,0,0,0,2,0,15,2,0,15
Chaves46,0,0,0,2,1,0,2,22,9,79,27,0,88
Chaves47,0,0,0,0,0,0,0,2,0,6,2,0,6
Chaves5,33,33,9,13,47,2,13,269,194,777,353,66,971
Chaves51,15,8,2,0,3,0,0,2,68,57,7,23,125
Chaves52,26,20,0,2,10,0,1,49,127,188,62,46,315
Chaves6,18,24,4,8,7,2,4,67,106,296,92,42,402
Chaves61,25,10,0,1,1,0,0,5,95,42,7,35,137
Chaves62,28,15,0,0,0,0,0,10,140,75,10,43,215
Chaves63,65,29,1,0,6,0,5,23,285,172,35,94,457
Chaves7,35,13,4,3,18,1,14,141,106,411,181,48,517
Chaves71,16,9,3,7,10,1,6,63,58,243,90,25,301
Chaves72,25,20,3,4,11,0,1,74,194,266,93,45,460
Chaves73,10,10,0,1,10,0,1,34,55,165,46,20,220
Chaves81,14,15,1,0,1,1,0,16,60,96,19,29,156
Chaves82,20,28,5,3,12,0,0,35,100,174,55,48,274
Chaves83,13,14,3,2,5,0,0,46,53,154,56,27,207
Chaves84,34,17,2,5,10,0,3,53,123,254,73,51,377
Chaves85,21,7,1,1,5,0,3,53,84,183,63,28,267
Chaves9,35,20,5,6,16,2,19,175,124,530,223,55,654
Chaves90,22,11,0,1,8,0,1,33,89,123,43,33,212
Chaves91,37,23,0,10,9,0,10,63,170,303,92,60,473
Chaves92,18,15,2,2,4,0,1,34,65,155,43,33,220
Chaves93,37,29,3,2,19,0,4,94,159,323,122,66,482
Chaves94,23,25,0,2,2,0,2,28,181,168,34,48,349
Cibola1,2,7,0,0,3,0,0,42,10,98,45,9,108
Cibola10,77,77,1,3,9,0,0,34,149,166,47,154,315
Cibola11,127,127,2,2,5,1,10,48,231,239,68,254,470
Cibola12,45,62,2,0,5,1,1,19,105,125,28,107,230
Cibola13,64,55,0,0,2,0,2,15,108,113,19,119,221
Cibola14,43,78,0,2,14,0,2,59,100,273,77,121,373
Cibola15,143,137,3,5,13,2,1,78,252,396,102,280,648
Cibola16,57,57,1,1,8,0,2,36,119,156,48,114,275
Cibola17,148,79,2,1,3,1,0,8,430,54,15,227,484
Cibola18,33,34,0,1,0,0,1,2,96,44,4,67,140
Cibola19,19,26,1,2,2,0,0,19,46,103,24,45,149
Cibola2,52,46,1,0,6,0,1,2,96,65,10,98,161
Cibola20,45,34,0,2,4,1,2,15,193,55,24,79,248
Cibola21,19,19,0,0,2,0,1,3,108,31,6,38,139
Cibola22,34,27,4,0,4,1,1,5,121,21,15,61,142
Cibola23,12,3,0,0,1,0,1,1,39,5,3,15,44
Cibola24,40,23,1,3,1,0,0,4,122,24,9,63,146
Cibola25,30,15,1,0,6,0,0,3,76,25,10,45,101
Cibola3,20,19,0,0,1,0,0,9,24,38,10,39,62
Cibola4,22,39,0,1,14,0,3,51,52,208,69,61,260
Cibola5,256,210,4,4,22,3,3,45,639,186,81,466,825
Cibola6,8,13,0,2,3,0,0,17,30,53,22,21,83
Cibola7,75,104,3,0,7,1,2,53,137,229,66,179,366
Cibola8,98,73,4,0,8,1,1,34,186,153,48,171,339
Cibola9,124,136,2,2,8,0,6,75,272,335,93,260,607
Colfax1,99,121,4,7,18,1,18,149,403,561,197,220,964
Colfax10,9,7,0,4,3,0,0,18,18,73,25,16,91
Colfax11,18,25,1,3,2,0,0,11,50,57,17,43,107
Colfax12,25,35,0,1,1,0,1,12,68,66,15,60,134
Colfax13,20,18,0,1,2,0,0,9,40,33,12,38,73
Colfax14,36,28,2,0,3,0,4,23,59,80,32,64,139
Colfax15,54,48,1,4,2,3,1,35,96,163,46,102,259
Colfax16,97,77,1,5,4,0,3,51,191,241,64,174,432
Colfax17,59,33,0,1,3,0,1,13,104,76,18,92,180
Colfax18,27,13,0,0,0,0,0,8,45,33,8,40,78
Colfax19,30,8,0,0,0,1,0,3,50,20,4,38,70
Colfax2,63,45,2,2,7,2,2,27,141,117,42,108,258
Colfax20,68,35,0,0,4,0,1,11,118,82,16,103,200
Colfax21,82,68,0,3,9,1,2,20,167,170,35,150,337
Colfax22,70,57,1,2,12,2,9,71,146,274,97,127,420
Colfax3,31,25,0,4,13,0,7,18,95,110,42,56,205
Colfax4,39,33,2,1,10,0,0,25,97,143,38,72,240
Colfax5,81,45,4,7,13,2,10,49,170,181,85,126,351
Colfax7,41,22,1,1,4,0,2,17,71,105,25,63,176
Curry1,2,3,0,2,7,0,3,41,3,90,53,5,93
Curry10,7,19,3,1,9,0,6,76,40,256,95,26,296
Curry11,33,49,5,5,19,1,3,130,178,456,163,82,634
Curry12,29,39,1,1,12,1,2,69,152,302,86,68,454
Curry13,17,32,1,2,13,1,3,72,80,244,92,49,324
Curry14,11,24,2,3,12,2,6,70,79,295,95,35,374
Curry15,23,29,2,5,4,0,4,43,98,254,58,52,352
Curry16,0,2,0,0,0,0,3,3,0,32,6,2,32
Curry17,25,23,1,10,23,0,9,123,103,431,166,48,534
Curry18,62,47,9,22,35,4,11,321,234,1013,402,109,1247
Curry19,34,34,4,8,29,2,13,210,129,647,266,68,776
Curry2,6,5,0,2,9,0,2,57,8,129,70,11,137
Curry20,28,33,1,8,6,0,2,32,126,186,49,61,312
Curry21,17,37,4,5,5,1,5,63,135,229,83,54,364
Curry22,17,18,1,3,3,0,2,11,67,87,20,35,154
Curry23,17,20,5,6,11,0,9,148,49,328,179,37,377
Curry24,39,45,6,7,18,1,8,167,193,576,207,84,769
Curry25,29,9,1,0,5,0,0,9,105,53,15,38,158
Curry26,14,11,1,0,2,0,0,10,70,76,13,25,146
Curry27,7,7,0,0,0,0,1,13,44,51,14,14,95
Curry28,11,13,0,1,3,0,1,13,62,73,18,24,135
Curry29,12,9,0,2,2,0,0,17,71,103,21,21,174
Curry3,2,2,0,0,2,0,1,33,13,113,36,4,126
Curry30,6,9,2,0,12,0,2,49,28,220,65,15,248
Curry31,1,18,0,0,7,0,1,24,46,134,32,19,180
Curry32,10,23,3,1,9,1,3,80,50,211,97,33,261
Curry33,17,14,1,12,9,0,2,105,80,325,129,31,405
Curry34,0,8,3,2,3,0,0,39,4,89,47,8,93
Curry35,15,21,3,9,10,2,2,123,48,396,149,36,444
Curry36,2,5,1,1,8,0,2,43,21,137,55,7,158
Curry37,32,39,8,13,12,3,10,159,133,495,205,71,628
Curry4,8,26,3,9,27,0,1,98,30,340,138,34,370
Curry5,7,19,1,1,5,1,2,42,49,163,52,26,212
Curry6,22,10,0,0,5,1,0,5,100,47,11,32,147
Curry7,30,21,1,0,2,0,1,9,151,79,13,51,230
Curry8,42,21,1,1,13,1,3,39,175,193,58,63,368
Curry9,43,25,2,3,4,2,3,47,167,182,61,68,349
De Baca1,5,5,0,0,3,0,1,23,7,68,27,10,75
De Baca2,34,65,3,7,15,0,8,77,59,335,110,99,394
De Baca3,32,32,1,3,3,0,4,44,65,178,55,64,243
De Baca4,25,12,0,0,0,0,0,7,62,39,7,37,101
Dona Ana1,40,21,1,3,4,0,3,31,128,130,42,61,258
Dona Ana10,62,30,0,1,7,0,0,16,415,104,24,92,519
Dona Ana100,50,49,6,3,14,1,6,49,186,243,79,99,429
Dona Ana101,90,65,6,3,15,2,9,51,394,256,86,155,650
Dona Ana102,225,156,12,11,23,7,34,207,764,809,294,381,1573
Dona Ana103,65,75,0,5,8,0,5,41,278,195,59,140,473
Dona Ana104,73,53,0,2,5,2,3,38,202,136,50,126,338
Dona Ana105,144,123,3,4,20,1,8,72,667,545,108,267,1212
Dona Ana106,195,118,5,8,17,5,25,117,657,531,177,313,1188
Dona Ana107,82,57,4,4,6,1,1,126,264,387,142,139,651
Dona Ana108,124,105,5,2,8,0,11,93,433,316,119,229,749
Dona Ana109,139,165,5,8,30,2,11,101,670,570,157,304,1240
Dona Ana11,90,46,0,1,3,0,0,10,557,86,14,136,643
Dona Ana110,133,76,3,5,17,1,18,120,447,456,164,209,903
Dona Ana111,4,8,0,3,4,1,2,16,21,76,26,12,97
Dona Ana112,191,124,4,8,34,4,29,154,726,784,233,315,1510
Dona Ana113,78,82,2,1,5,2,10,57,274,251,77,160,525
Dona Ana114,118,81,3,3,7,1,12,91,369,375,117,199,744
Dona Ana115,45,35,4,4,16,2,16,61,148,273,103,80,421
Dona Ana116,87,58,6,3,14,3,9,57,340,285,92,145,625
Dona Ana117,81,72,5,5,12,0,8,35,461,297,65,153,758
Dona Ana118,71,65,0,4,10,1,6,58,340,297,79,136,637
Dona Ana119,42,36,2,3,6,0,4,30,254,169,45,78,423
Dona Ana12,123,88,1,1,3,0,1,20,789,180,26,211,969
Dona Ana120,5,7,0,1,2,2,0,4,42,33,9,12,75
Dona Ana13,279,111,0,1,1,0,1,2,1211,100,5,390,1311
Dona Ana14,145,88,3,2,24,0,8,113,669,713,150,233,1382
Dona Ana15,173,129,2,4,10,2,4,54,901,483,76,302,1384
Dona Ana16,80,27,0,1,2,1,1,31,315,147,36,107,462
Dona Ana17,109,62,4,1,9,0,3,25,355,203,42,171,558
Dona Ana18,143,70,3,3,11,0,6,42,410,169,65,213,579
Dona Ana19,108,96,1,1,11,0,6,106,378,458,125,204,836
Dona Ana2,40,32,0,2,6,0,2,26,161,104,36,72,265
Dona Ana20,85,69,2,3,12,1,3,59,332,251,80,154,583
Dona Ana21,106,63,6,3,7,3,24,118,300,390,161,169,690
Dona Ana22,113,99,4,1,13,1,10,53,491,393,82,212,884
Dona Ana23,73,57,0,2,2,0,1,26,264,123,31,130,387
Dona Ana24,61,56,1,1,4,0,9,29,280,170,44,117,450
Dona Ana25,54,49,1,1,6,0,4,22,200,98,34,103,298
Dona Ana26,117,85,5,7,15,4,10,83,399,360,124,202,759
Dona Ana27,62,43,1,1,6,0,1,13,247,93,22,105,340
Dona Ana28,112,61,1,1,7,1,5,7,358,97,22,173,455
Dona Ana29,41,28,0,2,0,0,0,8,134,47,10,69,181
Dona Ana3,27,17,1,1,1,0,1,21,133,103,25,44,236
Dona Ana30,54,64,1,2,3,1,3,18,199,94,28,118,293
Dona Ana31,69,65,5,4,3,3,0,16,250,131,31,134,381
Dona Ana32,19,14,0,0,1,0,0,0,77,14,1,33,91
Dona Ana33,75,64,0,1,6,0,3,30,247,116,40,139,363
Dona Ana34,104,69,3,1,8,0,4,25,420,187,41,173,607
Dona Ana35,33,53,2,1,0,0,2,5,192,52,10,86,244
Dona Ana36,29,25,0,1,1,0,0,5,127,49,7,54,176
Dona Ana37,82,76,0,1,5,0,3,20,247,79,29,158,326
Dona Ana38,64,45,0,5,0,0,3,15,338,149,23,109,487
Dona Ana39,55,52,3,2,3,0,6,18,225,123,32,107,348
Dona Ana4,131,65,1,1,4,0,2,17,364,129,25,196,493
Dona Ana40,56,73,3,6,5,2,9,36,279,195,61,129,474
Dona Ana41,48,37,2,1,0,0,0,10,157,53,13,85,210
Dona Ana42,35,23,0,0,0,1,0,11,133,40,12,58,173
Dona Ana43,44,37,2,2,3,0,0,8,184,61,15,81,245
Dona Ana44,52,62,0,0,3,0,6,15,227,83,24,114,310
Dona Ana45,48,56,2,0,3,0,1,11,208,83,17,104,291
Dona Ana46,36,40,2,2,3,0,2,17,173,84,26,76,257
Dona Ana47,56,46,0,3,6,0,2,12,247,98,23,102,345
Dona Ana48,61,56,2,0,4,0,4,14,307,126,24,117,433
Dona Ana49,44,51,3,2,4,3,5,33,198,113,50,95,311
Dona Ana5,60,60,0,6,14,1,2,50,315,235,73,120,550
Dona Ana50,32,25,1,1,3,0,3,6,128,49,14,57,177
Dona Ana51,58,54,0,3,9,0,5,17,220,112,34,112,332
Dona Ana52,63,110,4,3,9,2,4,29,373,168,51,173,541
Dona Ana53,32,76,4,0,8,1,6,10,253,111,29,108,364
Dona Ana54,6,35,0,0,5,0,0,2,131,50,7,41,181
Dona Ana55,62,85,6,5,4,1,10,34,308,200,60,147,508
Dona Ana56,159,141,4,8,10,1,14,39,459,296,76,300,755
Dona Ana57,69,74,5,1,9,1,7,33,258,166,56,143,424
Dona Ana58,1,28,1,0,1,0,1,2,154,79,5,29,233
Dona Ana59,159,89,5,5,29,3,15,119,576,599,176,248,1175
Dona Ana6,11,20,1,2,6,1,1,16,82,141,27,31,223
Dona Ana60,10,11,2,0,2,0,0,10,67,59,14,21,126
Dona Ana61,90,100,5,2,17,0,7,57,433,271,88,190,704
Dona Ana62,138,118,3,7,31,2,12,97,603,619,152,256,1222
Dona Ana63,81,54,0,6,14,3,10,94,279,319,127,135,598
Dona Ana64,26,28,1,1,3,0,3,30,120,124,38,54,244
Dona Ana65,27,25,1,0,1,0,0,19,213,85,21,52,298
Dona Ana66,88,99,0,3,15,1,9,89,541,423,117,187,964
Dona Ana67,143,152,2,7,18,1,15,102,692,486,145,295,1178
Dona Ana68,31,60,2,2,6,0,5,17,187,105,32,91,292
Dona Ana69,59,64,1,2,3,0,3,25,238,151,34,123,389
Dona Ana7,68,64,1,2,16,2,5,45,255,251,71,132,506
Dona Ana70,40,26,2,3,4,1,1,17,169,101,28,66,270
Dona Ana71,79,61,7,2,10,0,10,34,268,186,63,140,454
Dona Ana72,30,45,0,0,8,0,5,31,123,127,44,75,250
Dona Ana73,159,106,13,3,14,2,23,86,453,323,141,265,776
Dona Ana74,20,24,0,2,8,0,0,32,168,175,42,44,343
Dona Ana75,46,46,2,2,22,0,2,50,379,310,78,92,689
Dona Ana76,29,24,1,2,6,0,0,12,181,115,21,53,296
Dona Ana77,70,40,1,1,10,0,6,28,206,129,46,110,335
Dona Ana78,99,87,1,3,10,2,12,47,516,277,75,186,793
Dona Ana79,73,45,2,0,10,0,2,14,336,136,28,118,472
Dona Ana8,63,63,1,1,5,0,1,7,523,104,15,126,627
Dona Ana80,85,32,5,1,2,0,2,2,421,47,12,117,468
Dona Ana81,8,15,0,0,2,0,0,10,62,92,12,23,154
Dona Ana82,90,41,1,1,7,0,1,19,282,111,29,131,393
Dona Ana83,186,170,10,7,27,3,13,124,611,482,184,356,1093
Dona Ana84,75,80,3,5,14,1,4,43,224,238,70,155,462
Dona Ana85,68,61,3,4,16,0,8,50,263,228,81,129,491
Dona Ana86,151,109,2,7,19,3,18,101,477,473,150,260,950
Dona Ana87,108,81,12,6,18,5,14,129,293,505,184,189,798
Dona Ana88,42,30,0,3,3,0,2,19,115,72,27,72,187
Dona Ana89,93,67,4,5,16,1,8,66,261,228,100,160,489
Dona Ana9,19,18,0,0,0,0,0,9,156,47,9,37,203
Dona Ana90,79,58,2,5,8,1,1,33,251,179,50,137,430
Dona Ana91,63,53,0,2,7,0,3,29,228,140,41,116,368
Dona Ana92,20,11,0,0,3,1,0,2,90,24,6,31,114
Dona Ana93,23,15,0,0,1,0,0,3,104,26,4,38,130
Dona Ana94,22,51,0,0,3,0,2,5,195,68,10,73,263
Dona Ana95,10,1,0,0,0,0,0,11,47,51,11,11,98
Dona Ana96,74,44,1,3,14,0,10,41,275,248,69,118,523
Dona Ana97,199,53,0,0,0,0,1,2,701,82,3,252,783
Dona Ana98,53,40,1,2,8,2,7,30,184,221,50,93,405
Dona Ana99,86,90,4,8,24,2,9,79,337,385,126,176,722
Eddy1,36,32,2,6,31,0,1,119,91,443,159,68,534
Eddy10,70,18,0,1,3,0,1,15,234,126,20,88,360
Eddy11,38,26,0,1,2,0,0,13,140,84,16,64,224
Eddy12,21,8,1,0,2,0,0,7,53,43,10,29,96
Eddy13,69,34,0,0,2,1,2,27,216,183,32,103,399
Eddy14,22,10,0,0,2,0,1,13,117,90,16,32,207
Eddy15,55,33,0,1,8,0,1,32,151,158,42,88,309
Eddy16,48,42,1,9,10,0,5,49,160,294,74,90,454
Eddy17,68,50,3,5,15,0,8,51,190,340,82,118,530
Eddy18,37,48,3,4,17,0,4,78,132,327,106,85,459
Eddy19,35,48,2,6,10,1,7,110,120,293,136,83,413
Eddy2,98,62,1,2,23,0,2,74,266,337,102,160,603
Eddy20,26,37,1,7,6,1,3,55,98,255,73,63,353
Eddy21,24,27,3,2,4,0,2,35,74,152,46,51,226
Eddy23,42,24,2,1,8,0,1,41,146,217,53,66,363
Eddy25,26,23,1,1,4,0,0,51,69,169,57,49,238
Eddy26,37,44,1,2,11,0,0,55,123,263,69,81,386
Eddy27,74,58,6,11,23,1,20,132,214,499,193,132,713
Eddy28,49,44,3,6,25,1,17,126,147,527,178,93,674
Eddy29,1,1,0,1,1,0,0,9,1,27,11,2,28
Eddy3,26,19,1,9,5,0,6,59,76,240,80,45,316
Eddy30,1,6,1,0,4,0,0,11,8,47,16,7,55
Eddy32,115,63,2,0,6,1,2,58,325,375,69,178,700
Eddy33,74,44,1,5,9,1,7,130,217,530,153,118,747
Eddy34,61,52,5,9,18,0,8,150,218,642,190,113,860
Eddy35,36,29,1,3,12,0,5,94,111,344,115,65,455
Eddy36,29,47,2,5,12,0,5,123,93,443,147,76,536
Eddy37,23,30,4,6,19,1,11,133,106,448,174,53,554
Eddy38,5,4,0,2,3,0,1,20,16,82,26,9,98
Eddy39,13,17,3,0,7,1,2,75,45,222,88,30,267
Eddy4,56,47,4,7,42,1,4,235,135,774,293,103,909
Eddy40,1,3,0,0,6,1,2,26,5,106,35,4,111
Eddy41,14,19,5,8,9,1,4,121,48,325,148,33,373
Eddy42,0,1,0,0,0,0,0,8,2,31,8,1,33
Eddy44,58,41,4,2,16,0,12,80,206,494,114,99,700
Eddy45,22,40,6,4,13,2,10,120,106,300,155,62,406
Eddy5,38,42,6,21,25,2,6,247,95,772,307,80,867
Eddy6,18,48,4,5,17,0,6,141,104,575,173,66,679
Eddy7,57,68,12,10,31,1,7,297,182,870,358,125,1052
Eddy8,22,11,4,8,26,0,5,136,44,426,179,33,470
Eddy9,26,41,0,2,9,1,0,59,149,274,71,67,423
Grant1,21,52,3,2,10,0,2,80,63,273,97,73,336
Grant10,18,37,1,0,5,0,1,11,66,86,18,55,152
Grant11,108,109,1,7,22,2,7,113,269,490,152,217,759
Grant12,146,239,10,8,20,0,21,129,523,503,188,385,1026
Grant13,169,178,2,1,19,3,13,125,445,462,163,347,907
Grant14,94,140,2,4,11,2,4,43,298,183,66,234,481
Grant15,154,98,1,4,9,2,2,36,361,200,54,252,561
Grant16,95,77,1,3,14,1,2,42,276,200,63,172,476
Grant17,30,46,2,4,3,0,1,41,92,134,51,76,226
Grant18,53,100,1,0,1,0,4,19,211,86,25,153,297
Grant19,70,58,0,0,2,1,0,10,206,62,13,128,268
Grant2,32,79,0,1,15,1,1,51,133,204,69,111,337
Grant20,100,134,3,1,6,0,0,26,319,116,36,234,435
Grant21,21,44,0,0,0,0,1,2,88,21,3,65,109
Grant22,108,112,1,1,5,0,0,30,328,143,37,220,471
Grant23,17,33,1,1,2,0,1,24,56,73,29,50,129
Grant24,70,38,2,0,1,0,0,10,148,62,13,108,210
Grant25,129,34,0,1,2,0,0,4,230,54,7,163,284
Grant26,67,40,0,0,4,0,2,5,187,63,11,107,250
Grant27,102,42,0,0,0,0,0,6,181,42,6,144,223
Grant28,119,34,0,2,2,0,0,18,256,80,22,153,336
Grant29,53,42,2,1,5,0,5,23,147,114,36,95,261
Grant3,0,5,0,0,0,0,0,6,14,8,6,5,22
Grant30,32,54,1,2,9,0,3,60,113,241,75,86,354
Grant31,1,6,0,0,0,0,0,19,5,36,19,7,41
Grant32,42,20,0,0,0,0,0,3,106,23,3,62,129
Grant33,37,48,0,2,6,0,1,35,116,179,44,85,295
Grant34,98,40,1,1,1,0,1,6,218,72,10,138,290
Grant35,1,10,0,0,3,0,3,10,7,49,16,11,56
Grant4,10,9,0,2,3,1,2,21,30,46,29,19,76
Grant5,68,108,4,1,12,0,3,79,223,331,99,176,554
Grant6,2,5,0,0,1,0,0,19,10,42,20,7,52
Grant7,47,70,0,2,2,0,5,41,133,129,50,117,262
Grant8,119,108,5,2,10,2,5,93,324,416,117,227,740
Grant9,41,21,0,0,2,0,0,14,94,65,16,62,159
Guadalupe1,99,91,1,2,10,1,1,17,246,171,32,190,417
Guadalupe2,119,94,0,1,1,0,0,19,248,147,21,213,395
Guadalupe3,71,65,3,2,8,0,0,12,176,150,25,136,326
Guadalupe4,36,13,2,0,6,0,0,6,88,50,14,49,138
Guadalupe5,74,69,1,0,5,0,0,12,212,77,18,143,289
Harding1,20,14,3,5,9,1,2,55,41,142,75,34,183
Harding2,55,32,3,6,20,0,5,52,115,169,86,87,284
Hidalgo1,135,98,2,4,11,0,3,46,197,189,66,233,386
Hidalgo2,148,56,0,1,1,0,2,14,191,70,18,204,261
Hidalgo3,186,101,1,4,4,0,0,34,268,157,43,287,425
Hidalgo4,9,22,1,3,8,1,5,47,26,156,65,31,182
Hidalgo5,19,18,0,2,2,0,0,24,44,75,28,37,119
Hidalgo6,20,28,1,5,15,3,1,120,58,263,145,48,321
Lea10,26,20,4,3,17,1,2,162,106,470,189,46,576
Lea11,19,16,2,0,4,1,2,29,116,131,38,35,247
Lea12,12,9,0,3,6,0,3,37,68,149,49,21,217
Lea13,24,25,4,7,19,2,2,135,144,454,169,49,598
Lea14,23,22,4,7,15,1,6,58,108,279,91,45,387
Lea15,31,38,7,10,29,1,9,196,109,691,252,69,800
Lea16,6,16,1,4,8,2,0,20,60,111,35,22,171
Lea17,16,10,4,1,5,0,3,43,81,159,56,26,240
Lea18,2,3,1,3,5,0,1,59,29,209,69,5,238
Lea2,0,2,0,0,3,0,0,9,2,26,12,2,28
Lea20,26,29,1,7,31,2,3,211,121,890,255,55,1011
Lea21,4,5,0,1,8,0,0,48,21,185,57,9,206
Lea22,25,25,5,7,25,0,22,178,119,764,237,50,883
Lea23,24,23,0,5,16,2,7,153,135,541,183,47,676
Lea24,17,15,4,10,18,0,6,89,59,337,127,32,396
Lea25,12,10,8,2,12,1,13,95,58,288,131,22,346
Lea26,13,15,3,6,16,1,2,116,94,556,144,28,650
