Precinct,gen_dem_CLINTON,gen_gre_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
41005124,870,32,118,1062,255,270,98,115,296,2082,509,525
41005125,1206,36,186,1515,327,345,164,128,475,2943,767,672
41005130,1358,48,115,935,382,318,83,102,287,2456,472,700
41005131,1476,30,154,991,388,386,64,117,312,2651,493,774
41005132,1257,35,111,713,344,292,41,90,233,2116,364,636
41005133,2030,51,189,1042,580,597,87,175,348,3312,610,1177
41005134,1413,29,108,659,444,398,51,100,215,2209,366,842
41005135,1467,34,143,779,422,342,73,135,262,2423,470,764
41005151,1639,37,124,635,564,357,32,150,242,2435,424,921
41005152,1775,47,112,723,568,445,54,152,285,2657,491,1013
41005153,1584,33,135,627,430,324,27,165,208,2379,400,754
41005154,442,3,19,209,183,56,12,71,88,673,171,239
41005155,1861,31,132,866,507,409,40,193,321,2890,554,916
41005156,1881,33,121,924,534,430,59,207,309,2959,575,964
41005157,1424,29,82,628,446,303,47,135,233,2163,415,749
41005158,1117,20,114,545,285,243,37,84,182,1796,303,528
41005159,2327,55,115,888,678,541,78,165,309,3385,552,1219
41005160,217,9,21,116,63,35,12,30,36,363,78,98
410052,1400,80,160,1145,310,561,88,54,326,2785,468,871
41005201,1455,58,130,961,319,372,91,104,229,2604,424,691
41005202,1940,87,246,1423,402,572,117,148,405,3696,670,974
41005203,1013,13,65,956,402,175,84,195,449,2047,728,577
41005204,1077,31,178,848,243,283,69,107,271,2134,447,526
41005251,0,0,0,6,0,0,0,0,1,6,1,0
41005252,894,21,106,581,246,192,57,108,190,1602,355,438
41005280,790,18,70,371,214,242,29,55,116,1249,200,456
41005281,890,33,61,387,252,250,23,63,115,1371,201,502
41005282,236,14,21,131,65,63,7,17,51,402,75,128
41005283,292,6,22,126,98,60,10,33,70,446,113,158
410053,954,51,111,879,264,366,90,57,233,1995,380,630
4100531,927,36,121,783,237,321,68,42,194,1867,304,558
4100532,992,66,121,778,266,346,55,61,197,1957,313,612
41005320,594,15,58,414,182,153,52,92,149,1081,293,335
41005321,635,18,84,755,175,145,59,89,290,1492,438,320
41005322,464,13,61,507,147,113,45,67,195,1045,307,260
41005323,630,16,60,686,190,158,69,64,254,1392,387,348
4100533,980,20,111,782,271,338,59,77,216,1893,352,609
41005330,835,39,152,1603,229,279,171,110,454,2629,735,508
41005331,255,7,28,310,53,69,19,30,111,600,160,122
41005332,88,3,16,130,26,22,23,12,48,237,83,48
41005333,477,13,61,784,156,146,79,64,268,1335,411,302
41005350,472,31,101,1072,123,202,77,37,299,1676,413,325
41005351,748,49,147,1945,200,334,155,86,556,2889,797,534
41005352,475,32,90,1207,147,198,83,50,400,1804,533,345
41005360,784,42,95,1251,227,283,87,49,369,2172,505,510
41005361,10,2,2,27,1,7,1,0,3,41,4,8
41005362,431,18,49,753,137,147,41,28,249,1251,318,284
41005363,145,6,24,300,38,84,24,14,85,475,123,122
41005364,266,9,31,392,68,92,41,16,92,698,149,160
41005370,757,42,111,1268,211,328,81,53,393,2178,527,539
41005371,596,40,65,896,197,215,68,42,233,1597,343,412
41005372,283,18,39,494,91,96,38,18,130,834,186,187
41005373,1402,94,154,1257,385,544,78,82,385,2907,545,929
410054,19,0,0,25,2,3,3,0,4,44,7,5
41005400,479,22,65,692,160,188,78,60,220,1258,358,348
41005401,450,19,57,685,148,177,83,53,240,1211,376,325
41005402,454,22,67,762,148,174,87,54,301,1305,442,322
41005403,441,21,48,652,115,146,60,56,220,1162,336,261
41005404,776,38,131,1366,235,240,91,91,391,2311,573,475
41005405,283,10,47,668,90,83,53,33,208,1008,294,173
41005406,275,10,28,443,73,95,20,28,128,756,176,168
41005410,741,26,73,521,234,189,51,60,158,1361,269,423
41005411,1322,43,133,1074,353,327,101,93,295,2572,489,680
41005412,753,24,102,906,228,223,82,69,281,1785,432,451
