precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_dem_STEWART,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Pawtucket 2630,15,0,23,0,2,0,0,9,83,43,11,38,126
Pawtucket 2631,90,0,61,0,4,4,0,16,484,96,24,151,580
Portsmouth 2701,13,0,17,0,2,7,0,6,52,39,15,30,91
Portsmouth 2703,356,1,580,1,89,181,7,355,795,542,632,938,1337
Portsmouth 2706,153,0,145,0,38,101,3,150,345,305,292,298,650
Portsmouth 2707,405,1,518,0,114,282,10,397,1054,875,803,924,1929
Providence 2801,188,1,163,0,7,18,0,12,134,27,37,352,161
Providence 2805,1246,0,1041,1,29,203,2,123,1564,194,357,2288,1758
Providence 2808,660,1,839,1,12,75,0,73,1027,121,160,1501,1148
Providence 2814,161,0,189,0,14,13,0,28,410,93,55,350,503
Providence 2816,1158,1,1511,2,26,110,3,108,1699,256,247,2672,1955
Providence 2819,510,0,532,2,19,17,5,94,959,424,135,1044,1383
Providence 2823,475,1,389,0,19,7,0,26,1139,96,52,865,1235
Providence 2825,279,0,293,1,7,6,1,7,189,20,21,573,209
Providence 2827,714,1,512,1,8,6,3,19,1158,75,36,1228,1233
Providence 2832,557,1,353,0,7,4,0,22,1008,91,33,911,1099
Providence 2835,292,1,286,2,14,34,3,54,164,41,105,581,205
Providence 2839,200,1,131,1,1,11,1,24,420,65,37,333,485
Providence 2844,223,0,319,1,13,21,0,69,674,267,103,543,941
Providence 2847,376,0,454,2,12,5,1,30,372,42,48,832,414
Providence 2851,655,0,894,1,49,87,4,163,602,228,303,1550,830
Providence 2862,458,1,1088,3,13,18,0,48,923,170,79,1550,1093
Providence 2863,391,0,381,1,3,9,0,31,563,78,43,773,641
Providence 2868,221,0,145,0,3,3,1,6,831,38,13,366,869
Providence 2871,100,0,112,0,1,1,0,13,402,78,15,212,480
Providence 2872,12,0,19,0,0,2,0,4,46,12,6,31,58
Providence 2875,429,3,388,1,19,18,1,70,899,158,108,821,1057
Richmond 2901,283,1,599,2,112,179,8,510,872,1013,809,885,1885
Scituate 3002,96,1,197,0,35,78,0,316,658,1182,429,294,1840
Scituate 3003,208,1,443,1,86,150,4,608,734,1132,848,653,1866
Smithfield 3101,422,2,490,2,83,170,1,535,687,908,789,916,1595
Smithfield 3102,392,1,579,5,85,159,2,491,694,759,737,977,1453
South Kingstown 3202,495,1,689,2,51,188,6,298,934,520,543,1187,1454
South Kingstown 3206,678,2,1287,3,85,240,2,310,695,396,637,1970,1091
South Kingstown 3208,456,0,721,1,71,227,0,366,1128,723,664,1178,1851
Tiverton 3302,453,1,583,4,70,136,2,537,759,764,745,1041,1523
Tiverton 3303,132,0,128,0,14,21,1,86,449,415,122,260,864
Tiverton 3305,262,0,393,1,37,95,4,297,146,127,433,656,273
Warren 3401,122,0,194,1,13,20,1,66,655,442,100,317,1097
Warren 3403,433,0,613,0,55,124,3,317,1164,732,499,1046,1896
Warwick 3504,631,1,908,3,66,252,1,505,859,488,824,1543,1347
Warwick 3511,420,0,460,1,65,141,3,454,821,717,663,881,1538
Warwick 3512,383,1,653,1,56,88,5,406,517,501,555,1038,1018
Warwick 3513,324,1,494,3,40,102,1,424,723,714,567,822,1437
Warwick 3515,445,1,700,2,65,118,1,489,860,883,673,1148,1743
Warwick 3518,406,1,661,1,75,172,5,524,874,927,776,1069,1801
Warwick 3522,391,0,617,1,61,121,3,401,479,519,586,1009,998
Warwick 3524,378,3,718,2,86,130,6,468,555,562,690,1101,1117
Warwick 3530,586,1,677,2,82,295,4,645,868,776,1026,1266,1644
West Greenwich 3703,183,1,365,1,90,147,3,525,224,437,765,550,661
West Warwick 3801,163,0,250,1,22,43,4,192,521,522,261,414,1043
West Warwick 3802,161,0,213,2,25,26,2,163,360,336,216,376,696
West Warwick 3806,271,2,316,2,36,69,2,293,318,354,400,591,672
West Warwick 3807,193,0,303,0,28,49,1,206,914,839,284,496,1753
West Warwick 3809,271,0,315,0,41,91,3,360,624,610,495,586,1234
Westerly 3602,307,1,588,1,71,104,4,362,943,760,541,897,1703
Westerly 3605,540,1,632,0,85,317,4,601,867,801,1007,1173,1668
Woonsocket 3902,159,0,105,1,5,7,4,62,400,230,78,265,630
Woonsocket 3903,337,1,394,2,39,31,4,181,300,162,255,734,462
Woonsocket 3905,124,0,164,1,14,10,0,67,506,425,91,289,931
Woonsocket 3907,339,2,488,0,49,62,2,313,563,628,426,829,1191
Woonsocket 3909,363,0,523,2,36,66,2,394,700,782,498,888,1482
