precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_FUQUE,pri_dem_O'MAILEY,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CHRISTLE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KAISCH,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PATAKL,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_RUBLO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_amd_FUENTE,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
146 - New Lauderdale,54,0,0,0,0,18,0,4,16,0,0,217,0,0,1,0,6,0,0,1,49,0,0,280,0,3,188,3,24,0,981,574,72,1199
153 - Prospect,27,0,0,1,0,2,0,0,4,1,0,70,0,0,0,0,25,0,0,0,14,0,0,79,0,1,78,1,6,0,259,193,30,345
175 - West Dalewood,9,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,9,0,0,0,1,0,0,57,0,0,20,0,1,0,124,91,9,145
2 Amory Second,114,0,0,0,0,39,0,3,18,0,0,208,0,0,2,0,72,0,0,1,58,0,0,274,1,5,336,2,20,2,1227,636,153,1593
2 Becker,27,0,0,1,0,15,1,1,11,0,0,157,0,0,0,0,12,0,0,0,25,0,0,187,0,3,80,1,7,0,777,393,44,868
2 Early Grove,53,0,0,1,0,4,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0,0,27,0,1,130,0,0,0,104,53,58,235
2 Mt Pleasant,118,0,0,0,0,29,2,0,1,0,0,193,0,0,0,0,6,0,0,1,12,0,0,170,0,6,264,7,6,0,604,383,149,887
2 North Cayce,83,0,0,0,0,16,0,1,1,0,0,55,0,0,1,0,1,0,0,0,9,0,0,65,0,0,218,1,3,2,219,133,99,443
2 North Holly Springs,191,3,0,2,0,25,0,0,0,0,0,27,0,0,0,0,1,0,0,0,4,0,0,30,0,3,544,3,8,0,145,62,221,703
2 Parham,11,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,3,0,0,0,4,0,0,36,0,0,24,0,1,0,136,65,11,161
2 Sipsey,1,0,0,0,0,0,0,1,1,0,0,35,0,0,2,0,4,0,0,0,5,0,0,40,0,1,10,0,0,0,188,88,1,199
2 Slayden,109,0,0,0,0,12,1,1,2,0,0,85,0,0,0,0,9,0,0,0,9,0,0,88,0,6,212,2,3,0,290,194,122,513
2 Williams,4,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,29,1,0,9,0,0,0,69,41,7,79
202 - Two,25,0,0,0,0,10,0,1,5,0,0,16,0,0,1,0,17,1,0,0,1,0,0,43,0,0,66,1,4,0,140,85,35,211
204 - Four,126,0,0,1,0,16,0,0,1,0,0,17,0,0,0,0,5,0,0,0,1,0,0,10,1,0,344,1,4,0,58,34,143,408
206 - Six,313,0,0,4,0,54,1,2,4,0,0,30,0,0,0,0,14,0,0,0,10,0,0,34,0,4,1041,2,5,2,138,94,372,1192
21-Indianola #2 West,160,0,0,0,0,24,0,1,0,0,0,21,0,0,0,0,10,0,0,0,5,0,0,53,1,0,408,1,1,0,183,90,184,594
214 - Fourteen,112,0,0,0,0,10,0,1,0,0,0,8,0,0,1,0,1,0,0,0,4,0,0,16,0,0,329,1,0,0,45,31,122,375
237 - East Lauderdale,109,0,0,0,0,13,0,1,14,1,0,95,0,0,1,0,27,1,0,0,22,0,1,210,0,2,344,2,6,0,637,373,122,991
238 - Marion,92,1,0,0,0,11,0,0,9,0,0,77,0,0,1,0,26,0,0,1,24,0,0,83,1,1,306,1,13,0,335,221,104,657
240 - Kewanee,50,0,0,0,0,2,0,0,1,0,0,31,0,0,0,0,7,0,0,0,1,0,0,46,0,0,108,0,0,0,128,86,52,236
254 - Russell,90,0,0,0,0,14,0,1,13,1,0,125,0,0,1,0,25,0,0,0,1,0,0,154,0,3,255,2,6,1,514,321,104,781
262 - Toomsuba,54,1,0,0,0,10,1,2,1,0,0,33,0,0,0,0,6,0,0,0,6,0,0,64,0,0,154,2,3,0,166,112,66,325
3 Aberdeen Third,62,0,0,0,0,25,0,2,7,1,0,65,0,0,2,0,31,0,0,0,13,0,1,112,0,1,263,1,4,0,343,234,87,612
3 Athens,33,0,0,1,0,5,1,0,1,2,0,59,0,0,0,0,8,0,0,0,5,0,0,87,0,0,75,0,3,0,323,162,40,401
3 Cayce,124,0,0,0,0,12,0,0,0,0,0,68,0,0,0,0,5,0,0,0,4,0,0,59,0,2,259,0,2,0,252,136,136,515
3 Greenwood Springs,2,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,4,0,0,0,1,0,0,18,0,0,7,0,0,0,116,45,2,123
3 Lackey,30,0,0,0,0,11,0,1,7,0,0,87,0,0,2,0,15,0,0,0,11,0,0,158,0,0,105,2,8,1,575,281,41,691
303 - Three,226,0,0,1,0,47,1,0,5,0,0,46,0,0,0,0,13,0,0,0,6,0,0,56,1,0,678,3,4,1,199,126,275,886
31-Indianola #3 South,162,1,0,0,0,32,1,11,1,0,0,57,0,0,1,0,55,0,0,0,16,0,0,144,2,2,499,3,7,3,454,285,196,970
313 - Thirteen,199,0,0,0,0,59,1,4,9,1,0,174,0,0,1,0,57,0,0,1,44,0,0,206,2,15,616,6,17,2,703,497,259,1361
329 - Center Hill,46,0,0,0,0,16,0,1,18,1,0,237,0,2,2,0,42,0,0,1,35,0,0,277,0,4,130,6,12,1,1022,616,62,1175
33-Indianola #3 Northeast,59,0,0,0,0,26,0,0,1,0,0,21,0,0,1,0,16,0,0,0,3,0,0,74,0,0,195,0,0,0,227,116,85,422
331 - Collinsville,73,0,0,0,0,7,0,2,23,1,0,309,0,0,3,0,50,0,0,2,28,0,0,315,2,2,215,4,13,0,1146,733,80,1382
343 - Martin,11,0,0,2,0,1,0,4,20,0,0,180,0,0,0,0,30,0,0,0,19,0,0,201,0,6,29,0,3,1,800,454,14,839
361 - Suqualena,89,0,0,1,0,16,0,1,19,0,0,308,0,0,3,0,52,0,0,2,45,0,0,297,0,1,287,3,12,1,1152,727,106,1456
3rd District Tylertown,47,0,0,0,0,6,0,1,2,1,0,55,0,0,0,0,17,0,0,1,8,0,1,88,0,0,135,0,2,0,327,174,53,464
4 Darracott,9,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,0,6,0,0,48,0,0,23,0,1,0,113,77,10,137
4 Gibson,118,1,0,2,0,18,0,0,0,0,0,10,0,0,1,0,1,0,0,0,1,0,0,30,0,3,297,0,2,0,78,43,139,380
4 Laws Hill,57,0,0,1,0,3,1,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,34,0,0,105,1,1,0,94,52,62,201
4 North Aberdeen,261,0,0,1,0,35,0,0,2,0,0,73,0,0,2,0,15,0,0,0,6,0,0,152,1,1,714,4,7,3,407,250,297,1137
4 South Aberdeen,251,1,0,1,0,26,1,2,1,0,0,16,0,0,1,0,4,0,0,0,7,0,0,53,0,1,824,1,1,0,143,84,280,970
4 Victoria,134,1,0,1,0,8,0,0,0,0,0,28,0,0,0,0,3,0,0,0,0,0,0,33,1,3,264,0,1,0,108,64,144,377
4 Wall Hill,182,1,0,1,0,19,2,0,2,0,0,22,0,0,0,0,1,0,0,0,5,0,0,39,1,3,376,2,4,1,128,69,205,515
4 Warsaw,128,0,0,0,0,10,1,0,0,0,0,46,0,0,0,0,1,0,0,0,5,0,0,57,0,2,288,2,1,0,224,109,139,517
4 Watson,94,0,0,0,0,11,0,0,0,0,0,66,0,0,0,0,4,0,0,0,2,0,0,54,1,3,188,0,3,2,206,126,105,403
407 - Seven,153,1,0,0,0,29,0,4,2,0,0,47,0,0,1,0,10,0,0,0,9,0,0,40,1,1,496,2,7,0,152,113,183,659
408 - Eight,174,0,0,0,0,27,2,2,1,0,0,41,0,0,0,0,6,0,0,0,6,0,0,60,0,1,444,2,4,0,177,116,203,628
409 - Nine,101,0,0,0,0,16,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22,0,0,396,0,3,0,58,32,118,457
41-Fairview-Hale,3,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,3,0,0,0,3,0,0,29,0,0,15,0,1,0,86,46,7,102
411 - Eleven,201,0,0,1,0,31,1,2,1,0,0,23,0,0,1,0,18,0,0,1,6,0,0,44,0,2,636,1,3,0,143,96,234,785
412 - Twelve,335,1,0,1,0,52,2,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,15,0,3,972,0,2,1,51,30,391,1029
42-Boyer-Linn,70,0,0,1,0,6,0,0,1,0,0,23,0,0,0,0,6,0,0,0,6,0,0,75,1,0,150,0,1,1,176,111,77,329
43-Doddsville,31,0,0,0,0,1,1,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,7,0,0,105,0,1,0,24,16,33,130
430 School,96,0,0,1,0,6,0,0,0,0,0,9,0,0,0,0,1,0,0,0,3,0,0,28,1,1,168,0,0,0,89,41,103,259
44-Ruleville,256,1,0,1,0,25,2,1,1,0,0,10,0,0,0,0,9,0,0,0,3,0,0,26,0,2,781,1,0,0,87,50,285,871
45-Sunflower 4,160,0,0,0,0,14,0,1,1,0,0,6,0,0,1,0,4,0,0,0,2,0,0,28,0,0,400,2,1,0,105,43,174,508
450 - Pickard,40,0,0,0,0,7,0,1,8,0,0,79,1,0,2,0,7,0,0,1,6,0,0,116,1,0,112,4,2,0,307,221,47,426
4th District Tylertown,17,0,0,0,0,5,0,0,2,0,0,40,0,0,0,0,17,0,0,0,12,0,0,104,0,1,33,0,3,0,306,175,22,343
4th District West Tylertown,43,0,0,0,0,7,0,0,4,0,0,62,0,0,1,0,12,0,0,0,4,0,0,80,0,3,85,0,2,0,313,163,50,403
5 Amory Fifth,210,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,553,2,0,0,10,0,221,566
5 Bethlehem,22,1,0,0,0,0,0,0,0,0,0,73,0,0,1,0,4,0,0,0,4,0,0,63,0,3,45,0,0,0,257,145,23,305
5 Central Grove,87,0,0,0,0,7,2,1,0,0,0,27,0,0,0,0,6,0,0,0,4,0,0,27,0,1,210,1,2,0,104,65,96,318
5 Nettleton,106,1,0,0,0,7,0,2,2,0,0,78,0,0,0,0,7,0,0,0,5,0,0,117,0,2,312,0,10,0,429,211,114,753
5 Potts Camp,120,0,0,0,0,13,0,1,4,0,0,117,0,0,1,0,5,0,0,2,12,0,0,128,0,2,333,0,2,0,472,270,133,809
5 Waterford,97,1,0,1,0,8,2,0,0,0,0,72,0,0,0,0,3,0,0,0,3,0,0,94,1,4,217,2,6,0,278,172,109,508
5 Willis,185,0,0,0,0,23,0,0,0,0,0,13,0,0,0,0,6,0,0,0,2,0,0,46,0,1,509,1,5,0,140,67,208,656
5 Wren,55,0,0,2,0,8,1,0,5,1,0,105,0,0,0,0,20,1,0,2,14,0,0,200,0,2,161,1,6,0,679,348,66,849
51-Ruleville North,55,0,0,0,0,9,1,2,3,0,0,28,0,0,0,0,10,0,0,0,7,0,0,66,0,2,172,2,6,0,243,116,65,425
517 - Seventeen,57,0,0,0,0,16,2,1,2,1,0,75,0,0,2,0,21,0,0,0,10,0,0,111,0,1,165,1,4,0,334,223,75,505
52-Sunflower Plantation,6,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,1,0,0,47,0,0,15,0,0,0,125,62,7,140
525 - Alamucha,30,0,0,0,0,2,0,0,2,0,0,40,0,0,1,0,8,0,0,0,4,0,0,31,0,2,59,1,3,0,113,86,32,178
528 - Causeyville,11,0,0,0,0,2,0,5,2,0,0,78,0,0,1,0,9,0,0,0,5,0,1,116,0,0,31,1,2,0,331,217,13,365
53-Rome,21,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,28,0,1,73,0,0,0,62,34,32,136
530 - Clarkdale,20,0,0,0,0,10,0,2,17,2,0,223,1,0,1,0,54,0,0,0,24,0,0,215,0,3,76,2,11,0,1037,539,30,1129
54-Drew,218,1,0,0,0,17,1,2,1,0,0,30,0,0,1,0,6,0,0,0,2,0,0,97,0,0,695,0,4,0,286,139,237,985
544 - Meehan,28,0,0,0,0,8,0,0,3,0,0,109,0,0,0,0,10,0,0,0,12,0,0,102,0,3,89,1,9,0,347,236,36,449
549 - Odom,6,0,0,1,0,8,0,0,1,1,0,44,0,0,0,0,3,0,0,1,1,0,0,74,0,0,169,0,5,0,205,125,15,379
560 - South Nellieburg,18,0,0,0,0,5,0,3,5,0,0,65,0,0,0,0,4,0,0,0,9,0,0,105,1,1,87,1,1,3,284,191,23,378
563 - Valley,8,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,5,0,0,0,2,0,0,31,0,0,22,0,1,0,95,49,12,118
564 - Vimville,91,0,0,0,0,11,1,2,15,0,0,182,0,0,0,0,28,0,0,0,27,0,0,196,0,2,308,2,15,1,737,450,103,1065
567 - Zero,44,0,0,0,0,16,0,3,10,0,0,174,0,0,0,0,17,0,0,2,16,0,0,67,0,4,117,1,13,0,711,289,60,846
583 - Mt Gilead,21,0,0,0,0,6,0,1,2,0,0,91,0,0,0,0,6,0,0,0,13,0,0,92,0,2,96,0,7,1,331,205,27,437
ANTIOCH,2,0,0,0,0,1,0,0,3,2,0,55,0,0,0,0,8,0,0,0,6,0,1,130,1,0,15,2,1,1,346,205,3,366
Abbeville,272,2,0,1,0,33,0,0,4,0,0,69,0,0,0,0,22,0,0,0,7,0,0,121,0,2,558,0,12,1,410,223,308,983
Addie Voting Precinct,43,1,0,0,0,4,0,1,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,30,0,0,96,0,0,0,57,39,48,153
Advance,18,0,0,1,0,26,0,2,6,1,0,120,0,0,1,16,0,0,0,0,15,0,1,242,0,5,92,1,15,0,763,404,45,876
Ag-Complex,23,0,0,0,0,13,0,4,7,0,1,114,1,1,0,0,13,0,0,1,4,0,0,111,0,2,43,0,5,0,456,257,36,506
Agricola,7,1,0,1,0,10,0,3,4,0,1,195,0,0,0,0,20,0,0,0,11,0,0,196,1,2,34,2,4,0,776,430,19,819
Airbase,165,0,0,0,0,39,0,0,5,0,0,95,0,0,0,0,18,0,0,0,11,0,0,121,1,3,440,1,22,0,482,250,204,949
Airport Grocery,27,0,0,0,0,23,0,2,6,0,0,77,0,0,1,0,10,0,0,2,19,0,0,117,0,2,105,4,17,1,380,234,50,509
Alexander,195,1,0,0,0,25,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,435,2,1,0,17,6,221,456
Algoma Al,17,0,0,0,0,7,0,3,9,0,0,112,0,0,1,0,18,0,0,1,8,0,1,101,1,2,73,1,0,0,485,254,24,562
American Legion,478,3,0,2,2,72,3,4,12,0,0,348,1,0,2,0,84,0,0,0,43,4,0,385,2,10,1292,8,23,2,1584,883,560,2921
American Legion Post,405,0,0,0,0,64,0,0,0,0,0,50,0,0,1,0,27,0,0,1,8,0,0,58,0,6,897,1,13,1,212,145,469,1130
Amite River,93,0,0,0,0,5,1,3,0,0,0,23,0,0,1,0,1,0,0,0,1,0,0,44,0,0,185,1,2,0,131,73,99,319
Anchor 001,42,0,0,2,0,13,0,1,3,0,0,104,0,0,0,0,14,0,0,0,25,0,1,136,0,3,122,3,8,1,472,284,57,609
Anchor Lake/West Union Beat 5,13,0,0,0,0,10,1,0,5,0,0,142,0,0,1,0,15,0,0,0,17,0,0,199,0,0,66,3,13,0,654,379,24,736
Anguilla Fifth District,109,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,7,0,0,191,0,3,0,33,14,115,227
Anguilla Fourth District,82,0,0,0,0,8,0,0,0,0,0,19,0,0,0,0,6,0,0,0,4,0,0,46,0,1,169,0,1,0,132,75,90,303
Antioch,116,0,0,0,0,16,0,2,2,0,0,157,0,1,5,0,16,0,0,2,10,0,0,225,1,2,222,3,4,1,658,420,132,891
Arcola Technology Center,99,0,0,1,0,11,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,49,1,1,230,1,0,0,153,70,111,386
