precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_FUQUE,pri_dem_O'MAILEY,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CHRISTLE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KAISCH,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PATAKL,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_RUBLO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_amd_FUENTE,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Beat 2 Sub Durant,201,0,0,0,0,19,0,1,0,0,0,11,0,0,0,0,2,0,0,0,1,0,0,13,1,0,407,0,1,2,57,28,220,468
Beat 2 West,172,0,0,0,0,10,1,1,1,0,0,31,0,0,0,0,16,0,0,0,6,0,0,29,0,1,278,0,0,1,118,84,183,398
Beat 3 Goodman,268,1,0,0,0,16,1,0,1,0,0,14,0,0,0,0,3,0,0,0,3,0,0,16,0,1,469,2,4,0,67,37,286,543
Beat 3 Pickens,328,0,0,1,0,30,2,0,0,0,0,10,0,0,0,0,2,0,0,0,1,0,0,24,0,1,581,6,1,1,91,37,361,681
Beat 3/Eastwest Morton,177,0,0,0,0,32,1,2,4,0,0,121,0,1,0,0,15,0,0,0,15,0,0,191,0,5,338,1,10,1,647,349,210,1002
Beat 3/Northwest Forest,10,0,0,0,0,3,0,0,0,0,0,32,0,0,0,0,11,0,0,0,1,0,0,27,0,0,20,0,3,2,119,71,13,144
Beat 3/Pulaski,16,0,0,0,0,6,0,1,0,0,0,43,1,0,0,0,10,1,0,0,4,0,0,75,0,0,28,1,1,1,247,135,22,278
Beat 4 Lexington,549,1,0,1,0,25,1,0,1,0,0,17,0,0,1,0,11,0,0,0,0,0,0,43,1,3,1029,2,2,0,122,73,577,1159
Beat Four,30,0,0,2,0,7,1,1,4,0,0,116,0,0,0,0,2,0,0,2,3,0,1,166,0,0,81,0,4,0,514,295,40,599
Beat One North,128,1,0,0,3,45,1,7,3,0,0,122,0,0,1,0,39,0,0,1,0,25,1,160,1,4,297,5,26,0,592,359,178,925
Beat One South,72,0,0,0,0,10,0,1,3,0,0,31,0,0,1,0,6,0,0,0,0,4,2,79,0,3,140,2,4,1,223,127,82,373
Beat Two Water Valley,308,0,0,0,1,47,1,1,5,0,0,67,0,0,1,0,11,0,0,0,0,5,1,108,0,3,673,7,11,2,355,199,357,1051
Beaumont District 1 1030,116,0,0,1,0,12,1,0,1,0,0,19,0,0,0,0,2,0,0,0,0,0,0,26,1,0,302,0,2,0,91,48,130,396
Beaumont Senior Citizens 5120,18,0,0,0,0,6,0,3,0,0,0,25,0,0,0,0,4,0,0,1,3,0,0,51,0,0,50,0,4,0,132,87,24,186
Beauregard,63,0,0,2,0,17,0,1,3,1,0,76,0,0,1,0,8,0,0,0,9,0,0,137,0,1,132,0,4,1,382,236,82,520
Beaverdam,84,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,18,0,1,140,0,0,0,61,30,87,202
Beckham Bec,23,0,0,2,0,11,0,1,2,0,0,90,1,0,2,0,13,0,0,0,16,0,0,105,1,0,77,2,9,0,402,230,36,491
Beech Springs,54,0,0,0,0,13,0,0,2,0,0,98,0,0,0,0,27,0,0,1,21,0,1,82,0,3,149,1,4,0,311,232,67,468
Beechwood,91,0,0,1,0,26,0,1,4,1,0,179,0,2,1,0,111,0,0,0,50,0,0,313,1,6,286,6,28,2,927,662,118,1256
Belden,156,0,0,0,0,48,1,1,10,0,0,283,0,0,1,0,77,0,0,0,49,0,0,251,0,5,515,6,29,0,1114,672,205,1669
Bell Schoolhouse,80,0,0,0,0,6,0,1,2,0,0,38,0,0,0,0,11,0,0,1,7,0,0,34,0,1,220,0,2,0,104,94,86,327
Bellefontaine,3,0,0,1,0,0,0,1,3,0,0,45,0,1,0,0,13,0,0,0,3,0,1,51,0,1,30,0,2,0,202,118,4,235
Belmont,25,0,0,0,0,17,2,1,3,0,0,158,0,0,5,0,28,1,0,2,12,0,0,182,0,5,56,0,11,1,738,392,44,811
Benndale,50,0,0,0,0,12,1,0,0,0,0,94,0,1,2,0,5,0,0,0,8,0,0,97,0,1,120,0,3,3,418,207,63,545
Benoit,64,1,0,0,2,5,0,0,2,1,0,15,0,0,0,0,4,0,0,0,1,0,0,30,0,1,237,0,0,1,81,53,72,320
Benton,101,1,0,0,0,15,0,1,5,0,0,84,0,0,1,0,17,0,0,0,12,0,0,133,1,2,197,1,4,0,421,253,117,626
Berea,4,0,0,0,0,1,0,1,3,0,0,23,0,1,0,0,3,0,0,0,0,0,0,30,0,2,4,0,0,0,110,61,5,116
Berwick,127,0,0,2,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,28,0,0,244,2,0,0,109,47,133,355
Bethel,1,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,1,0,0,0,2,0,1,24,0,0,1,0,0,0,82,39,3,83
Bethel/Endville Be,10,0,0,1,0,16,0,0,7,0,0,114,0,0,3,0,22,0,0,0,10,0,1,102,1,0,74,4,13,0,428,259,27,520
Beulah,65,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,154,0,0,0,19,7,78,173
Bexley,22,0,0,0,0,6,0,0,2,0,0,76,0,0,0,0,3,0,0,0,6,0,0,85,0,0,71,1,5,0,355,172,28,432
Bible Church,202,0,0,1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,391,1,0,1,6,1,218,399
Big Black,9,0,0,0,0,2,0,0,1,0,0,60,0,0,1,0,2,0,0,0,1,0,0,57,0,1,13,0,0,0,200,122,11,214
Big Level,27,0,0,0,0,16,1,2,11,0,0,150,0,1,1,0,29,0,0,0,12,0,0,141,0,2,75,0,14,1,524,347,44,616
Big Point,17,0,0,0,0,17,0,4,14,2,0,300,0,1,1,0,29,0,0,1,35,0,0,442,0,5,85,3,18,0,1491,829,34,1602
Big Rock,34,0,0,1,0,12,0,0,0,0,0,20,0,0,0,0,2,0,0,0,1,0,0,27,0,0,71,0,0,0,76,50,47,147
Big Springs,29,0,0,0,0,1,0,1,0,0,0,27,0,0,0,0,8,0,0,0,3,0,0,42,0,0,47,0,1,1,134,81,30,183
Biggersville,28,1,0,0,0,15,0,0,10,0,0,106,0,0,0,0,20,0,0,0,10,0,0,141,1,3,134,0,11,1,605,287,44,755
Biloxi # 11,218,2,0,0,0,132,2,4,13,0,0,302,0,1,0,137,0,0,0,3,71,0,1,597,0,13,860,18,75,2,1753,1129,354,2721
Biloxi # 8,59,0,0,0,0,33,0,0,2,0,0,56,0,0,1,42,0,0,0,1,22,0,2,158,0,1,245,4,12,1,467,284,92,730
Biloxi 10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,462,6,31,1,733,2,0,1235
Biloxi Bay,94,3,0,0,0,35,0,2,8,0,0,73,0,0,0,17,0,0,0,0,22,0,0,192,0,1,347,9,21,1,518,314,132,897
Birmingham Ridge,26,0,0,0,0,13,0,1,10,2,0,264,0,0,1,0,62,0,0,0,33,0,1,199,1,2,104,5,18,0,873,573,39,1003
Bissell,170,0,0,0,0,70,1,8,33,6,0,891,1,1,4,0,224,0,0,1,121,0,1,607,0,19,726,8,52,2,2883,1898,241,3690
Black Hawk,46,0,0,0,0,3,0,0,1,1,0,26,0,0,0,0,4,0,0,0,3,0,0,72,0,0,67,1,1,1,198,107,49,268
Blackland,12,0,0,0,0,17,1,1,2,0,0,64,0,0,3,0,6,0,0,0,10,0,0,76,1,0,50,0,0,2,322,162,30,375
Blue Cane,97,0,0,1,0,14,1,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,18,0,0,225,1,0,3,61,32,113,290
Blue Mountain,83,0,0,0,0,15,0,2,3,0,1,88,0,0,0,0,8,0,0,0,10,0,0,143,0,4,269,1,7,0,449,255,98,730
Blue Springs,17,0,0,0,0,9,1,0,5,0,0,109,0,0,3,0,4,0,0,0,10,0,0,77,0,1,54,0,4,0,374,208,27,433
Bluff Springs,32,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,14,0,0,60,0,0,0,68,33,34,128
Blythe,6,0,0,0,0,4,0,0,2,0,0,56,0,0,0,0,4,1,0,1,4,0,0,55,1,0,24,0,1,0,178,123,10,204
Bobo,35,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,11,0,0,79,0,0,0,39,17,40,118
Bogue Chitto,89,0,0,0,0,16,1,2,5,0,0,46,0,0,1,0,7,0,0,1,6,0,0,61,0,2,197,2,0,1,193,129,106,395
Bond,2,0,0,0,0,1,0,1,0,0,0,43,0,0,1,0,3,0,0,0,1,0,0,27,0,2,9,0,3,0,121,76,3,135
Booneville/Ag-Ctr,31,0,0,1,0,24,2,2,9,0,0,165,0,0,0,0,22,0,0,0,17,0,0,192,0,3,119,2,10,0,830,407,58,964
Bounds,2,0,0,0,0,2,0,0,3,0,0,38,0,0,0,0,2,0,0,0,2,0,0,22,0,0,8,0,2,0,140,67,4,150
Bovina,86,1,0,0,0,14,1,0,4,0,0,147,0,0,2,0,19,0,0,0,22,0,0,232,0,3,199,1,6,0,733,426,102,942
Boyle,66,0,0,0,0,16,0,0,2,0,0,58,0,0,0,0,32,1,0,0,14,0,0,169,1,2,177,1,4,1,506,276,82,692
Brandon,206,0,0,1,0,56,0,1,9,1,0,201,1,0,2,0,69,0,0,1,43,0,0,228,0,5,648,4,23,2,854,556,263,1536
Brandon Central,74,1,0,1,0,21,1,3,12,0,1,262,0,1,2,0,66,1,0,0,46,0,1,277,1,8,231,2,12,0,1014,672,98,1268
Braxton,12,0,0,0,0,6,0,5,3,0,0,149,0,1,1,0,27,0,0,0,10,0,0,230,0,4,38,1,4,0,635,426,18,682
Brazil,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,26,0,0,0,17,6,16,43
Breland,142,0,0,0,0,56,0,4,18,0,0,336,0,0,2,0,121,0,0,3,66,0,0,427,3,9,509,6,52,0,1528,977,198,2107
Brewer,13,0,0,0,0,5,0,0,6,0,0,85,0,0,0,0,18,0,0,0,4,0,0,119,0,2,42,0,3,1,329,232,18,377
Briar Hill,80,0,0,0,0,11,0,0,1,0,0,106,0,0,0,0,13,0,0,0,9,0,0,146,0,4,196,0,6,0,430,275,91,636
Bridgeport,118,0,0,1,0,10,1,0,1,0,1,33,0,0,0,0,2,0,0,0,4,0,0,31,1,0,215,0,1,1,99,72,130,317
Bridgestown,93,0,0,0,0,40,0,2,12,1,0,427,0,0,2,0,53,0,0,3,50,0,0,411,1,4,295,4,32,0,1523,961,133,1859
Brooklyn,2,0,0,3,0,5,0,0,2,0,0,79,0,1,0,0,4,0,0,2,4,0,0,130,0,0,24,0,4,1,400,222,10,429
Brooksville,263,0,0,0,0,36,0,1,1,0,0,65,0,0,0,0,21,0,0,0,6,0,0,58,0,1,805,1,4,0,276,152,299,1087
Broome,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,4,0,0,0,4,0,0,56,1,2,3,1,1,0,161,92,2,169
Brownfield,3,0,0,0,0,1,1,0,1,0,0,25,0,0,0,0,3,0,0,1,1,0,0,37,0,0,9,0,0,0,118,68,5,127
Bruce #3,78,0,0,0,1,18,1,1,5,0,0,105,0,0,3,0,21,0,0,0,19,0,0,260,1,0,213,1,9,0,695,414,98,919
Brunswick,13,0,0,0,0,0,0,1,0,1,0,39,0,0,0,0,9,0,0,1,3,0,0,74,0,0,36,0,3,0,216,128,13,255
Buchanan Bu,7,0,0,0,0,6,1,4,6,0,0,83,0,0,0,0,3,0,0,0,5,0,1,75,0,1,34,1,5,0,400,177,14,441
Buck Branch Beat 2,10,0,0,0,0,6,1,1,1,0,0,103,0,0,1,0,10,1,0,0,13,0,0,129,1,4,42,0,9,0,505,259,17,561
Buckatunna,99,0,0,1,0,10,0,0,0,0,0,45,0,0,1,0,4,0,0,0,2,0,0,84,2,2,269,0,1,1,225,136,110,500
Bude,192,0,0,1,0,29,4,0,4,0,0,76,0,0,0,0,4,0,0,0,6,0,0,59,0,1,412,2,4,2,279,149,226,700
Buena Vista 002,151,0,0,2,0,26,0,0,0,0,0,23,0,0,1,0,1,0,0,0,3,0,0,33,0,3,377,1,2,1,105,61,179,489
Burger Center,165,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,398,0,0,0,5,0,188,406
Burgess,36,0,0,0,0,27,0,0,1,0,0,67,0,0,3,0,23,0,0,0,12,0,0,69,0,3,99,1,4,0,285,175,63,392
Burns,35,0,0,0,0,6,1,0,4,0,0,42,0,0,0,0,4,0,0,0,2,0,0,62,0,0,66,0,2,0,190,114,42,258
Burnside,84,0,0,0,0,13,0,0,2,0,0,25,0,0,1,0,6,0,0,0,5,0,0,49,0,2,231,0,0,0,152,88,97,385
Burnsville,24,1,0,3,0,9,0,1,4,0,0,100,0,0,0,0,10,0,0,0,17,0,0,186,0,1,46,3,12,1,670,318,37,733
Buster Brown Community Center,357,0,0,0,0,55,1,1,1,0,0,39,0,0,0,0,38,0,0,1,13,0,0,81,1,4,1267,4,18,1,326,174,413,1621
Byrdline Beat 2,3,0,0,0,0,1,0,0,1,0,0,36,0,0,0,0,3,0,0,0,5,0,0,55,0,0,6,0,1,0,157,100,4,164
Bywy,27,0,1,0,0,7,0,1,2,0,0,32,0,0,0,0,3,0,0,0,2,0,0,52,0,1,58,2,0,1,144,92,35,206
CALHOUN,13,0,0,0,0,10,0,3,14,0,0,316,1,0,2,0,27,0,0,1,19,0,0,416,1,2,78,4,9,0,1336,799,23,1430
CANNONSBURG,102,0,0,0,0,8,1,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,3,0,0,200,0,2,0,15,12,111,217
CENTERVILLE,0,0,0,0,0,3,0,0,0,0,0,20,1,0,0,0,1,0,0,0,2,0,0,63,0,0,9,0,1,0,150,87,3,160
CHAMBLISS RESTAURANT,232,1,0,1,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,502,1,1,1,15,6,269,522
CHURCH HILL,27,0,0,1,0,6,0,1,0,1,0,25,0,0,0,0,3,0,0,0,1,0,0,25,0,0,56,0,3,0,98,56,34,157
CITY HALL,198,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,494,0,0,0,9,2,220,504
CURRIE,93,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,5,0,0,158,0,1,1,18,15,101,178
Cadaretta,4,0,0,0,0,2,0,0,1,0,0,18,0,0,0,0,2,0,0,0,0,0,0,52,0,0,10,0,0,0,96,73,6,106
Cagle Crossing,9,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,15,0,0,16,0,0,0,34,20,11,50
Cains,36,0,0,0,0,6,0,0,4,0,0,53,1,0,1,0,5,0,0,0,5,0,0,53,0,3,56,2,0,0,187,122,42,248
Cairo,86,0,0,1,0,18,1,3,4,0,1,111,0,0,1,0,14,0,0,0,6,0,0,122,0,2,194,0,6,0,468,262,106,670
Caledonia,83,0,0,0,0,33,0,0,23,0,0,519,0,0,3,0,53,0,0,1,68,0,1,561,1,11,345,4,40,1,2164,1229,116,2566
Calvary,1,0,0,0,0,1,1,0,0,0,0,27,1,0,0,0,2,0,0,0,5,0,0,47,0,0,3,0,0,0,161,82,3,164
Camden,266,1,0,1,0,32,0,0,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,30,1,2,605,1,6,0,62,42,300,677
Cameron,46,1,0,0,0,5,1,0,0,0,0,28,0,0,0,0,7,0,0,0,0,0,0,23,0,0,80,0,0,0,87,58,53,167
Camp,74,0,0,2,0,64,1,3,5,0,0,45,0,0,0,0,48,0,0,1,21,0,0,57,0,0,289,6,29,1,213,180,141,538
Canton Fire Station #4,128,0,0,1,0,14,2,0,1,0,0,17,0,0,0,0,9,0,0,0,0,0,0,37,0,2,248,0,2,0,103,64,145,355
Caradine,216,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,2,0,0,0,4,0,0,15,0,4,544,0,0,0,88,40,235,636
Cardsville,2,0,0,0,0,4,0,0,0,0,0,24,0,0,0,0,1,0,0,0,4,0,0,39,0,0,8,0,1,0,140,68,6,149
Carley,18,8,0,3,0,4,0,4,3,0,0,174,0,0,0,0,14,0,0,8,5,0,3,225,0,2,48,1,9,0,683,436,33,743
Carmack,2,0,0,0,0,2,0,0,3,0,0,40,0,0,3,0,4,0,0,0,2,0,0,66,0,2,9,1,3,0,192,118,4,207
Carmichael,35,1,0,0,0,5,0,0,1,0,0,42,0,1,0,0,5,0,0,0,2,0,0,45,0,1,67,0,1,0,161,96,41,230
Carnes,4,0,0,0,0,4,0,5,2,0,0,163,0,0,1,0,7,0,0,0,10,0,0,186,0,0,21,0,6,1,617,374,8,645
Carolina,17,0,0,0,0,2,0,0,1,0,0,47,0,0,0,0,6,0,0,0,2,0,0,64,0,0,45,1,3,1,213,120,19,263
Carpenter,72,0,0,1,0,5,1,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,24,0,0,130,1,0,0,51,37,79,182
Carriere Beat 3,21,0,0,0,0,9,0,0,1,0,0,58,0,0,0,0,7,0,0,0,8,0,0,74,0,3,87,2,5,0,330,148,30,427
Carriere Beat 5,30,0,0,0,0,15,0,1,2,0,0,149,1,0,0,0,13,0,0,0,23,0,0,195,1,5,105,2,20,0,857,384,45,990
Carson 22,28,1,0,1,0,6,1,0,0,0,0,22,0,0,0,0,5,0,0,0,1,0,0,58,0,0,59,0,1,0,167,86,37,227
Carterville,3,0,0,1,0,1,0,0,1,0,0,27,0,0,0,0,2,0,0,0,4,0,0,21,0,0,3,0,4,0,114,55,5,121
Cary Second District,125,0,0,0,0,11,0,2,1,0,0,13,0,0,0,0,4,0,0,0,5,0,0,19,0,0,234,0,2,1,83,44,136,320
Cascilla,31,0,0,1,0,5,1,0,3,0,0,26,0,0,0,0,4,0,0,0,0,0,0,79,0,1,73,0,1,2,240,112,38,317
Caseyville,39,0,0,0,0,6,0,1,5,0,0,67,0,0,0,0,6,0,0,0,6,0,0,97,0,1,87,0,0,0,342,182,45,430
Castlewoods East,102,0,0,0,0,32,0,4,6,0,0,317,1,0,0,0,135,0,0,0,88,0,0,421,0,21,418,6,49,0,1627,972,134,2121
Castlewoods West,166,0,0,1,0,68,0,1,14,0,1,351,2,0,1,0,163,0,0,2,97,0,1,444,0,10,580,12,55,1,1780,1077,235,2438
Catahoula,2,0,0,0,0,4,1,1,0,0,0,26,0,0,0,0,7,0,0,0,3,0,0,31,0,0,8,0,4,1,115,68,7,128
Cato,98,0,0,0,0,11,2,4,4,0,0,151,0,0,1,0,20,0,0,0,21,0,0,203,1,1,197,2,10,0,655,404,111,866
Cedar Bluff,9,0,0,0,0,8,1,0,2,0,0,33,0,0,0,0,2,0,0,0,0,0,0,54,0,0,23,0,3,0,163,91,18,189
Cedar Grove,427,1,0,1,0,66,2,3,1,0,0,115,0,0,0,0,20,0,0,0,26,0,1,191,0,4,1016,2,17,1,572,357,497,1612
Cedar Grove Baptist,4,0,0,0,0,3,0,0,0,0,0,23,0,0,1,0,6,0,0,0,0,0,0,56,2,1,14,0,1,0,118,86,7,136
Cedar Hill,63,0,0,0,0,27,0,2,5,0,0,232,1,0,1,0,36,0,0,0,23,0,2,233,0,3,195,2,16,3,964,535,90,1183
Center,18,0,0,0,1,6,1,1,6,0,0,160,0,0,1,0,21,0,0,1,14,0,0,226,1,3,61,2,11,1,726,430,26,805
Center Grove/North Adaton,111,0,0,2,0,16,0,1,2,0,0,81,0,0,1,0,17,0,0,1,9,0,0,75,1,1,265,0,6,2,289,187,129,564
Center Ridge,16,0,0,0,0,12,1,2,4,0,0,133,1,0,0,0,26,0,0,0,31,0,2,201,0,0,67,1,10,0,720,400,29,798
Centerville,7,0,0,0,0,7,1,0,2,0,0,61,0,0,0,0,5,0,0,0,9,0,0,61,1,2,28,0,3,0,290,138,15,324
Central,5,0,0,2,0,5,0,0,0,0,0,54,0,1,1,0,3,0,0,0,4,0,0,39,0,1,20,0,1,0,204,102,12,226
Central Gwd,59,0,0,0,0,8,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,17,1,0,322,0,0,0,83,26,68,406
Central Maintenance,29,0,0,0,2,22,1,1,5,0,0,145,1,0,3,0,27,0,0,2,17,0,1,173,0,10,119,2,9,1,667,375,54,808
Central Starkville,220,0,0,0,0,56,1,1,2,0,1,31,1,0,0,0,24,0,0,2,13,0,1,18,0,6,770,6,22,3,189,94,277,996
Central-West Point,177,0,0,0,0,34,1,3,1,1,0,87,0,0,1,0,27,0,0,1,16,0,0,91,0,1,473,1,15,0,360,228,212,850
Centreville 1st 1020,182,0,0,2,0,9,0,0,1,0,0,17,0,0,0,0,5,0,0,0,1,0,0,11,1,4,387,0,1,0,74,35,193,467
Centreville 3rd 3010,236,0,0,0,0,9,2,0,1,0,0,56,0,0,1,0,4,0,0,0,9,0,0,92,0,4,462,0,3,0,293,163,247,762
Chalybeate,14,0,0,0,0,9,0,2,1,0,0,95,0,1,1,0,9,0,0,1,6,0,0,102,1,2,59,1,1,0,443,218,23,507
Chapman,5,0,0,3,0,7,1,0,1,0,0,81,0,0,2,0,8,0,0,0,9,0,0,104,0,1,27,0,2,0,416,205,16,446
Chapparal/Diamond,73,0,0,1,0,19,0,0,1,1,0,12,0,0,0,0,1,0,0,0,1,0,0,25,0,0,213,0,2,0,64,41,93,279
Charleston Beat #1,103,1,0,0,0,10,0,0,0,0,1,22,0,0,0,0,5,0,0,0,0,0,0,64,0,1,325,2,4,1,210,92,114,543
Charleston Beat #2,221,2,0,3,0,25,0,0,2,0,0,36,0,0,0,0,8,0,0,1,12,0,0,77,0,5,565,1,2,3,248,136,251,824
Charleston Beat #3,108,0,0,1,0,22,2,0,1,0,0,16,0,0,0,0,6,0,0,0,4,0,0,47,1,1,256,1,5,1,168,74,133,433
Cherry Creek Cc,16,0,0,1,0,2,0,1,4,0,0,117,0,0,0,0,10,0,0,0,4,0,0,106,0,4,51,1,8,0,442,242,19,506
Chester,23,0,0,0,0,1,0,1,7,0,1,36,0,0,0,0,6,0,0,0,7,0,0,65,1,0,74,0,0,0,180,123,24,255
Chicora,27,0,0,0,0,6,0,1,3,0,0,34,0,0,0,0,2,0,0,1,4,0,0,65,0,2,48,0,6,0,223,110,33,279
China Grove Church,150,0,0,1,0,35,0,4,11,0,0,255,0,0,1,0,252,1,0,3,67,0,0,404,2,5,443,7,36,0,1460,998,186,1953
Choctaw,52,0,0,0,0,8,1,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,1,13,0,0,125,1,1,0,27,22,61,154
City Hall,332,0,0,2,0,73,1,8,19,0,2,362,0,0,3,0,78,0,0,4,68,0,1,612,1,6,873,11,39,2,1932,1157,408,2864
Claiborne,131,1,0,0,0,11,0,0,1,0,0,50,0,0,0,0,2,0,0,0,3,0,0,50,1,0,249,0,0,0,166,106,143,416
Clara,10,6,0,2,0,11,0,2,11,1,0,277,1,1,1,0,24,1,0,0,19,0,1,1284,0,2,32,2,4,0,1197,1623,29,1237
Clarksdale Courthouse,107,2,0,4,0,34,4,0,3,0,0,22,1,0,0,0,8,0,0,1,2,0,0,67,0,4,401,0,7,0,228,104,151,640
Clarkson,0,0,0,0,0,0,0,0,2,0,0,63,0,1,0,0,4,0,0,0,0,0,0,83,1,2,10,0,1,0,268,153,0,282
Clarysville,0,0,0,0,0,0,0,0,1,0,0,44,0,0,1,0,3,0,0,0,4,0,0,35,0,0,3,0,3,0,125,88,0,131
Clay,15,0,0,0,0,16,0,0,3,1,0,131,0,0,1,0,13,0,0,1,19,0,0,135,0,4,47,2,11,0,608,304,31,672
Clear Branch,72,0,0,0,0,8,0,2,3,0,1,132,0,0,1,0,19,0,0,0,18,0,1,147,0,0,123,0,1,0,513,324,80,637
Clear Springs-Pineville,4,0,0,0,0,0,0,0,1,0,1,36,0,0,0,0,4,1,0,0,2,0,1,88,0,0,13,0,0,0,243,134,4,256
Cleary,56,1,0,0,0,19,0,1,5,0,4,271,0,0,0,0,52,0,0,0,41,0,2,392,0,4,137,2,13,0,1197,768,76,1353
Clem 41,44,1,0,0,0,12,1,0,0,0,0,30,0,0,0,0,2,0,0,0,2,0,0,24,0,1,87,0,2,0,85,58,58,175
Cleveland Courthouse,19,0,0,0,0,12,0,0,5,0,0,20,0,0,1,0,30,0,0,1,13,0,0,46,0,2,60,4,9,0,161,116,31,236
Cliftonville,127,2,0,0,0,9,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,6,0,1,458,1,1,1,34,15,138,496
Clinton 5,84,0,0,1,0,26,0,1,7,2,0,133,0,0,1,56,0,0,0,1,39,0,0,146,0,9,272,2,32,0,493,386,111,808
Clinton 6,250,0,0,0,0,70,3,3,1,0,0,160,0,0,0,38,0,0,0,2,28,0,1,131,0,6,617,7,29,0,468,364,323,1127
Clinton 7,195,0,0,0,0,55,3,4,6,0,0,237,0,0,1,71,0,0,0,0,48,0,0,180,0,15,478,4,30,0,809,547,253,1336
Coahoma,89,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,191,0,2,0,18,6,98,211
Cold Springs,74,0,0,0,0,13,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,32,0,1,156,0,2,0,89,48,87,248
Cold Springs 4020,43,1,0,3,0,4,0,0,0,0,0,12,0,0,0,0,9,0,0,0,1,0,0,29,0,1,89,1,0,0,91,51,51,182
Coldwater 3,348,0,0,2,0,38,1,0,2,0,0,113,0,0,0,0,2,0,0,0,7,0,0,100,2,10,828,2,8,0,429,224,389,1279
Cole's Point,14,0,0,0,0,10,0,0,0,0,0,59,0,0,1,0,9,0,0,0,6,0,0,105,1,2,33,1,2,1,296,180,24,336
Coleman,80,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,250,2,1,0,8,3,96,262
Coles Mill,26,0,0,0,0,10,0,0,0,0,0,44,0,0,0,0,14,0,0,0,7,0,1,155,0,2,51,5,8,0,410,221,36,476
College Hill,281,0,0,1,0,122,1,4,7,1,0,284,1,0,2,0,117,1,0,3,76,0,1,316,1,8,810,13,61,2,1319,813,405,2214
Collins,253,1,0,2,0,34,1,0,6,0,1,153,0,0,2,0,14,1,0,1,8,0,0,239,0,6,706,4,12,2,718,425,291,1448
Colonial Heights,169,0,0,0,0,76,0,2,7,0,0,77,1,0,3,0,40,0,0,1,25,0,0,147,1,4,591,7,14,1,426,303,245,1044
Colonial Hills,40,0,0,0,0,26,0,0,7,2,0,132,0,0,0,0,21,0,0,2,21,0,0,146,0,0,167,8,16,0,550,331,66,741
Como,321,0,0,0,0,37,1,0,6,0,1,84,0,0,1,0,8,0,0,0,8,0,1,82,1,2,847,2,8,1,305,191,359,1166
Conehatta,37,0,0,0,0,15,2,2,7,1,0,57,0,0,1,0,8,0,0,0,5,0,0,85,1,0,128,3,0,0,284,166,54,416
Conway,137,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,7,0,0,0,0,0,0,29,0,1,256,0,2,0,111,54,155,370
Corinth,2,1,0,0,0,3,0,1,1,0,0,68,0,0,1,0,2,0,0,0,6,0,0,47,1,0,8,0,1,0,241,126,6,251
