Precinct,gen_con_CASTLE,gen_rep_TRUMP,gen_lib_JOHNSON,gen_dem_CLINTON,gen_gre_STEIN,gen_ind_FUENTE,pri_dem_SANDERS,pri_dem_CLINTON,pri_dem_OMALLEY,pri_rep_CARSON,pri_rep_FIORINA,pri_rep_CHRISTIE,pri_rep_TRUMP,pri_rep_BUSH,pri_rep_GILMORE,pri_rep_KASICH,pri_rep_GRAHAM,pri_rep_RUBIO,pri_rep_HUCKABEE,pri_rep_PAUL,pri_rep_SANTORUM,pri_rep_CRUZ,gen_total,rep_pri_total,dem_pri_total
12009507 Precinct 507,18,1937,126,1177,46,5,211,200,14,9,0,0,380,13,0,39,1,149,1,1,0,145,3377,738,425
12009508 Precinct 508,1,934,64,561,17,3,86,156,8,1,0,0,278,8,0,45,1,161,0,2,0,75,1606,571,250
12009509 Precinct 509,2,268,17,274,11,0,76,79,4,3,0,0,55,3,0,7,0,37,1,0,0,27,582,133,159
12009510 Precinct 510,23,3183,145,2613,53,4,397,744,18,12,1,0,700,16,0,92,0,415,4,1,1,469,6159,1711,1159
12009511 Precinct 511,10,1382,76,554,14,0,118,152,8,8,0,1,352,12,0,51,0,222,0,1,0,157,2075,804,278
12009512 Precinct 512,5,1706,49,596,18,2,125,183,14,14,0,0,388,9,0,48,0,197,1,0,0,231,2412,888,322
12009513 Precinct 513,1,271,4,163,2,0,32,59,2,2,0,0,85,4,0,4,0,35,0,0,0,21,449,151,93
12009514 Precinct 514,0,0,0,0,0,0,48,54,5,1,0,0,101,4,0,5,0,32,0,0,0,39,0,182,107
12009515 Precinct 515,2,1548,65,961,22,3,155,223,5,3,0,1,439,7,0,65,0,262,1,2,1,124,2649,905,383
12009516 Precinct 516,14,2066,98,2070,47,3,276,514,12,10,1,1,420,7,0,28,0,187,2,1,0,184,4384,841,802
12009517 Precinct 517,6,1999,111,1943,38,8,230,543,12,10,0,1,402,15,0,29,0,195,0,1,1,222,4191,876,785
12009518 Precinct 518,10,1597,83,996,18,3,179,220,16,6,1,1,375,10,1,49,1,209,2,6,2,187,2742,850,415
12009519 Precinct 519,14,2074,93,2155,47,9,222,632,20,11,1,0,445,11,0,30,0,204,2,3,1,213,4467,921,874
12009520 Precinct 520,14,1602,96,1476,30,3,189,412,13,8,2,0,310,13,0,16,0,151,4,2,0,150,3274,656,614
12009521 Precinct 521,12,1781,112,1577,38,1,198,415,13,10,1,2,345,11,0,29,1,182,2,1,0,214,3583,798,626
12009522 Precinct 522,0,187,10,122,1,0,16,45,2,0,0,0,38,0,0,4,0,9,0,0,0,16,321,67,63
12009523 Precinct 523,3,352,19,284,10,0,66,72,2,3,0,1,79,4,0,9,0,57,0,0,0,53,688,206,140
12009524 Precinct 524,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2
12009525 Precinct 525,2,401,18,229,2,0,15,40,0,2,1,0,69,2,0,6,0,53,1,0,0,41,670,175,55
12009526 Precinct 526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12009527 Precinct 527,2,917,50,690,9,1,71,200,4,3,0,2,156,9,0,10,0,82,0,2,0,107,1690,371,275
12009528 Precinct 528,4,388,29,339,9,0,75,84,8,2,0,0,72,3,0,6,2,33,0,0,0,44,782,162,167
12009529 Precinct 529,7,674,45,488,19,0,121,100,5,2,0,0,152,13,0,23,0,93,2,0,0,76,1255,361,226
12009530 Precinct 530,2,410,19,245,2,1,51,66,0,1,0,0,95,4,0,10,0,42,0,0,0,40,690,192,117
12009531 Precinct 531,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
12009999 Precinct 999,2,373,33,238,8,3,27,42,0,6,0,1,69,10,0,14,0,62,0,0,0,36,684,198,69
12011A001 A001 1,2,1859,69,1224,24,2,160,296,9,8,0,0,551,3,0,67,1,154,1,4,0,86,3224,875,465
12011A002 A002 2,1,412,24,528,9,3,64,107,2,2,1,0,85,2,0,3,0,19,0,2,1,14,991,129,173
12011A003 A003 3,0,636,8,669,4,0,119,236,6,0,0,0,128,1,0,8,0,57,0,0,0,10,1333,204,361
12011A004 A004 4,3,467,26,582,10,0,66,109,5,2,0,0,98,0,0,4,0,40,0,0,0,13,1098,157,180
12011A005 A005 5,0,686,18,552,14,0,49,123,1,1,0,0,187,2,0,29,0,67,1,0,0,31,1293,318,173
12011A006 A006 6,1,446,32,1058,14,3,106,218,3,2,0,0,63,3,0,6,0,34,0,1,1,20,1575,130,327
12011A007 A007 7,1,571,16,672,12,0,68,128,3,0,0,0,151,3,0,17,0,63,1,0,0,24,1299,259,199
12011A008 A008 8,2,27,1,303,2,0,16,95,1,0,0,0,3,0,0,1,0,4,0,0,0,0,337,8,112
12011A009 A009 9,2,906,15,1236,6,2,189,435,7,0,2,1,218,6,0,12,0,40,0,1,1,24,2205,305,631
12011A010 A010 10,1,437,17,359,14,1,61,71,1,1,1,1,117,1,0,13,0,41,0,0,0,15,836,190,133
12011A011 A011 11,0,40,9,1321,3,0,67,493,3,2,0,0,3,1,0,1,0,1,0,0,0,2,1386,10,563
12011A012 A012 12,1,606,16,831,10,1,93,234,4,0,1,0,136,3,0,23,0,56,1,0,0,22,1489,242,331
12011A013 A013 13,0,1044,43,1219,18,3,128,236,9,1,1,0,233,6,0,40,0,97,0,0,0,48,2367,426,373
12011A014 A014 14,5,821,46,1341,19,1,122,287,3,2,0,0,138,5,0,7,0,68,0,0,1,54,2263,275,412
12011A015 A015 15,0,86,10,1234,6,1,56,320,1,3,0,0,7,2,0,1,0,9,0,0,1,3,1361,26,377
12011A016 A016 16,0,605,15,817,7,0,93,165,1,1,0,0,145,5,0,41,1,53,0,0,0,34,1471,280,259
12011A017 A017 17,1,144,4,154,1,0,15,40,0,0,1,0,33,0,0,3,0,9,0,0,0,6,310,52,55
12011A018 A018 18,0,136,3,766,1,0,46,174,2,1,0,0,20,2,0,0,0,16,0,0,0,7,917,46,222
12011A019 A019 19,0,545,14,674,15,0,91,129,1,2,0,0,127,0,0,19,0,49,0,0,0,31,1270,228,221
12011A020 A020 20,4,511,12,791,9,0,73,160,4,2,0,0,100,2,0,5,0,35,1,0,1,29,1343,175,237
12011A021 A021 21,3,238,18,889,16,0,69,133,1,2,0,0,26,1,0,3,0,12,0,0,0,21,1180,65,203
12011A022 A022 22,0,85,7,877,4,0,45,172,1,0,0,0,15,3,0,1,0,9,0,0,0,1,987,29,218
12011A023 A023 23,1,83,9,502,6,0,26,80,0,2,0,0,10,1,0,0,0,8,0,0,0,8,607,29,106
12011A024 A024 24,1,109,7,678,7,1,47,90,2,1,1,0,19,1,0,3,0,13,1,0,0,9,814,48,139
12011B001 B001 25,1,744,13,201,2,0,25,39,2,0,0,0,269,2,0,30,0,78,0,1,0,39,971,419,66
12011B002 B002 26,0,898,24,491,3,1,52,108,3,2,0,0,272,9,0,33,0,103,0,1,0,39,1437,459,163
12011B003 B003 27,1,642,12,328,1,0,50,74,3,2,0,0,185,4,0,30,0,76,0,0,0,33,1000,330,127
12011B004 B004 28,2,1323,32,583,3,0,75,137,5,1,0,0,435,5,0,55,0,147,0,0,1,81,1981,725,217
12011B005 B005 29,0,310,14,266,2,0,24,56,2,1,0,0,64,5,0,3,0,36,0,0,0,8,601,117,82
12011B006 B006 30,0,355,6,217,1,0,30,52,3,0,0,0,94,1,0,21,0,46,2,0,0,15,591,179,85
12011C001 C001 31,1,1279,27,988,9,1,120,248,6,5,0,1,372,4,0,31,0,124,2,1,0,54,2354,594,374
12011C002 C002 32,0,461,10,282,3,0,37,58,0,3,0,0,129,4,0,14,0,46,0,0,0,26,764,222,95
12011C003 C003 33,1,366,10,331,3,3,31,52,2,3,0,0,80,2,0,10,0,33,0,1,0,26,723,155,85
12011C004 C004 34,0,644,17,477,9,0,61,120,6,2,0,0,173,4,0,23,1,57,0,0,1,30,1168,291,187
12011C005 C005 35,1,37,7,1590,5,0,84,569,1,1,0,0,2,0,0,1,0,1,0,0,0,1,1662,6,654
12011C006 C006 36,3,113,15,2020,5,0,63,509,0,1,0,1,12,3,0,2,0,2,0,0,0,8,2177,29,572
12011C007 C007 37,1,217,9,156,4,0,33,28,5,0,0,0,52,1,0,3,0,17,1,0,0,27,394,101,66
12011C008 C008 38,1,477,16,370,1,0,37,94,2,1,1,0,134,3,0,15,0,38,0,0,0,10,870,202,133
12011C009 C009 39,0,74,4,193,3,0,6,29,0,0,0,0,21,1,0,2,0,0,0,0,0,1,277,25,35
12011C010 C010 40,2,784,30,818,15,1,106,165,8,2,0,0,173,4,0,19,0,66,0,0,0,36,1677,300,279
12011C011 C011 41,0,721,22,580,3,0,67,180,8,0,0,0,192,4,0,27,0,80,0,0,0,22,1345,325,255
12011C012 C012 42,0,632,9,539,6,0,62,144,1,2,0,0,177,3,0,28,2,52,0,0,0,24,1215,288,207
12011C013 C013 43,2,419,6,388,4,0,46,103,3,1,2,0,126,3,0,19,0,33,0,0,0,11,827,195,152
12011C014 C014 44,0,469,10,359,10,3,49,59,2,0,0,0,135,3,0,12,0,35,0,1,0,24,860,210,110
12011C015 C015 45,3,98,10,1513,12,0,45,336,0,1,0,0,13,0,0,0,0,5,0,1,0,0,1650,20,381
12011C016 C016 46,2,1252,40,952,14,0,114,220,4,1,1,0,333,12,0,28,0,83,1,0,0,64,2298,523,338
12011C017 C017 47,0,550,7,343,3,0,40,78,3,0,0,0,149,1,0,20,1,50,1,0,0,27,908,249,121
12011C018 C018 48,2,694,11,517,7,1,49,130,5,2,1,0,190,2,0,29,0,52,1,0,0,31,1247,308,184
12011C019 C019 49,2,680,21,413,10,0,60,109,3,1,0,1,177,4,0,22,1,67,0,0,0,34,1144,307,172
12011C020 C020 50,2,85,8,557,6,0,22,69,0,1,0,0,13,0,0,0,0,3,0,0,0,3,662,20,91
12011C021 C021 51,0,515,20,750,7,1,93,181,6,1,0,0,119,4,0,18,0,50,0,0,0,33,1307,225,280
12011C022 C022 52,0,738,29,413,4,1,61,87,1,3,0,0,222,5,0,15,0,60,0,0,0,35,1203,340,149
12011C023 C023 53,2,1415,43,2608,30,1,243,796,15,4,0,1,361,12,0,50,0,159,0,1,0,74,4155,662,1054
12011C024 C024 54,3,641,17,1196,10,0,118,382,4,0,0,1,142,2,0,24,0,61,0,3,0,34,1886,267,504
12011C025 C025 55,1,54,2,475,0,0,10,58,0,0,0,0,6,0,0,1,0,2,0,0,0,0,542,9,68
12011C026 C026 56,0,87,5,260,3,0,14,22,0,0,0,0,5,0,0,0,0,5,0,0,0,6,359,16,36
12011C027 C027 57,0,65,6,237,2,1,21,53,0,0,0,0,13,0,0,1,0,3,0,0,0,5,316,22,74
12011C028 C028 58,0,61,8,1815,9,1,82,554,2,0,0,0,8,0,0,0,0,4,0,0,0,2,1912,14,638
12011C029 C029 59,0,324,7,301,1,0,30,134,6,2,1,1,120,18,0,49,2,83,0,0,1,21,649,298,170
12011C030 C030 60,1,597,23,832,8,1,83,138,1,1,0,0,127,2,0,5,0,37,0,1,0,35,1478,208,222
12011C031 C031 61,1,536,24,944,12,3,79,180,7,0,0,0,108,1,0,8,0,44,0,2,0,15,1548,178,266
12011C032 C032 62,0,41,3,256,2,0,10,33,0,0,0,0,4,0,0,0,0,3,0,0,0,1,307,8,43
12011C033 C033 63,3,195,8,369,7,3,38,49,0,0,0,0,40,0,0,2,0,8,0,1,0,5,598,56,87
12011C034 C034 64,2,609,22,1082,10,1,74,152,3,3,0,0,123,1,0,11,0,40,0,1,0,27,1749,206,229
12011C035 C035 65,0,115,4,833,7,0,35,115,1,0,1,0,18,1,0,3,0,11,0,0,0,4,965,38,151
12011C036 C036 66,0,53,2,189,2,2,4,35,0,0,0,0,5,1,0,2,0,3,0,0,0,3,255,14,39
12011C037 C037 67,1,347,8,346,2,0,24,118,4,0,0,1,98,4,0,8,0,20,0,0,0,14,719,145,146
12011C038 C038 68,0,83,2,64,0,0,8,20,0,0,0,0,24,1,0,1,0,10,0,0,0,6,153,42,28
12011D001 D001 69,2,443,20,680,3,2,70,197,4,0,0,0,108,0,0,20,0,34,2,0,0,42,1168,206,271
12011D002 D002 70,2,338,13,820,10,0,79,205,6,0,0,0,73,3,0,11,0,22,1,0,0,15,1199,125,290
12011D003 D003 71,2,506,21,795,11,0,116,284,3,2,1,1,129,2,0,20,0,80,0,0,0,27,1363,262,403
12011D004 D004 72,2,303,14,706,3,0,86,241,5,1,0,0,67,2,0,9,0,31,0,0,1,21,1041,132,332
12011D005 D005 73,0,243,18,1309,13,2,102,340,5,0,0,0,48,1,0,9,0,25,0,0,0,18,1604,101,447
12011D006 D006 74,0,376,20,733,6,1,92,254,4,1,0,0,90,2,0,12,0,37,1,0,0,16,1155,159,350
12011D007 D007 75,1,82,7,698,3,1,42,209,1,0,0,0,14,1,0,1,0,10,0,0,0,2,796,28,252
12011D008 D008 76,1,395,22,756,2,0,91,193,8,2,1,0,94,5,0,13,0,38,0,1,0,18,1203,172,292
12011D009 D009 77,1,265,21,1673,23,2,152,480,6,0,1,0,40,2,0,11,0,17,1,0,0,9,2005,81,638
12011D010 D010 78,1,97,6,421,1,0,28,71,0,0,0,0,21,0,0,0,0,4,0,0,0,3,528,28,99
12011D011 D011 79,0,27,1,179,0,0,15,54,0,0,0,0,6,1,0,0,0,3,0,0,0,1,209,11,69
12011D012 D012 80,0,50,2,344,2,0,30,108,1,0,0,0,8,0,0,0,0,3,0,1,0,3,400,15,139
12011D013 D013 81,4,186,11,828,2,1,59,246,2,1,0,0,44,0,0,5,0,12,0,0,0,7,1037,69,307
12011D014 D014 82,0,331,13,632,5,0,60,125,0,0,0,0,68,3,0,5,0,35,0,0,0,18,997,129,185
12011D015 D015 83,1,516,21,902,8,1,115,212,7,0,0,0,85,3,0,25,0,56,1,2,0,24,1471,196,334
12011D016 D016 84,4,815,33,1401,14,1,171,276,8,0,0,0,131,2,0,13,0,85,1,0,0,43,2302,275,455
12011E001 E001 85,1,51,4,310,3,0,15,67,0,1,0,0,8,1,0,0,0,5,0,0,0,2,373,17,82
12011E002 E002 86,1,382,25,966,16,1,83,144,2,3,1,2,73,5,0,9,1,24,0,0,0,25,1408,143,229
12011E003 E003 87,0,705,24,770,13,1,97,136,6,2,0,0,159,4,0,22,0,80,0,0,0,48,1553,315,239
12011E004 E004 88,5,810,42,1772,23,1,153,319,2,1,0,0,182,1,0,12,0,85,0,0,1,42,2686,324,474
12011E005 E005 89,2,496,23,1167,9,1,127,212,2,1,0,0,115,4,0,7,0,39,0,0,0,31,1725,197,341
12011E006 E006 90,3,1313,49,1976,17,4,216,410,3,2,0,0,324,5,0,49,0,141,0,1,0,67,3422,589,629
12011E007 E007 91,8,988,53,1799,24,1,211,393,4,1,1,0,206,6,1,26,0,91,1,0,0,60,2920,393,608
12011E008 E008 92,5,710,34,1391,13,3,147,246,1,2,0,1,126,4,0,10,0,63,0,0,0,40,2187,246,394
12011E009 E009 93,0,489,23,691,3,2,80,153,6,0,0,0,138,3,0,13,0,60,0,0,0,21,1233,235,239
12011E010 E010 94,11,1087,43,1835,22,1,192,356,6,3,0,0,218,4,0,36,0,124,0,2,0,68,3041,455,554
12011E011 E011 95,0,862,21,1524,17,1,109,268,5,3,0,0,159,2,0,23,0,76,0,1,0,66,2452,330,382
12011E012 E012 96,4,302,16,780,16,1,76,99,1,0,0,0,50,0,0,5,0,32,0,0,0,18,1134,105,176
12011E013 E013 97,4,686,41,1115,11,2,142,242,1,1,0,0,144,3,0,23,0,78,0,1,0,46,1883,296,385
12011E014 E014 98,1,1227,33,1498,9,1,161,314,5,3,0,1,289,5,1,32,0,126,1,0,0,76,2794,534,480
12011E015 E015 99,0,520,15,619,8,0,87,177,1,1,0,0,92,0,0,17,0,53,0,0,0,33,1183,196,265
12011E016 E016 100,1,526,21,715,12,1,63,163,2,2,0,0,102,1,0,20,0,58,0,0,0,38,1294,221,228
12011E017 E017 101,3,849,27,1389,11,3,136,302,5,5,0,0,175,1,0,29,0,85,0,2,0,47,2314,344,443
12011E018 E018 102,3,408,8,435,3,0,53,101,4,0,1,0,102,2,0,16,1,59,0,0,0,35,868,216,158
12011E019 E019 103,2,416,20,913,7,0,84,175,2,1,1,0,80,1,0,16,0,44,0,0,0,30,1384,173,261
12011E020 E020 104,4,825,34,1688,18,3,151,355,4,1,1,1,164,3,0,15,0,75,0,0,0,43,2608,303,510
12011E021 E021 105,0,517,24,860,8,2,86,140,0,4,1,0,104,2,0,9,0,55,0,0,0,26,1436,201,226
12011E022 E022 106,1,954,35,1309,13,1,150,315,2,1,1,3,206,1,0,35,0,108,0,0,0,55,2358,410,467
12011E023 E023 107,2,619,24,855,12,0,100,199,2,0,0,0,140,0,0,26,0,81,0,0,0,17,1540,264,301
12011E024 E024 108,3,961,29,1656,12,1,146,343,1,1,0,0,195,2,0,30,0,105,0,0,0,38,2697,371,490
12011E025 E025 109,2,292,14,583,10,0,61,100,3,0,0,0,63,0,0,10,0,18,0,0,0,25,913,116,164
12011E026 E026 110,1,492,17,848,7,0,75,182,4,2,0,0,91,1,0,15,0,66,0,0,0,18,1383,193,261
12011E027 E027 111,1,887,44,1678,14,2,176,304,4,2,0,1,184,2,0,34,0,90,0,1,0,61,2664,375,484
12011E028 E028 112,3,348,19,929,8,1,83,229,4,3,0,0,57,2,0,8,0,32,0,1,0,18,1328,121,316
12011E029 E029 113,2,189,14,712,6,0,60,113,2,0,0,0,17,1,0,3,0,17,0,0,0,4,931,42,175
12011E030 E030 114,0,77,0,368,5,1,22,47,0,0,0,0,9,0,0,0,0,6,0,0,0,5,455,20,69
12011E031 E031 115,0,658,16,910,8,2,87,199,1,0,0,0,150,1,0,19,0,82,0,0,0,32,1615,284,287
12011E032 E032 116,4,618,25,1007,11,0,95,190,1,1,0,0,122,6,0,23,0,70,0,2,1,37,1688,262,286
12011E033 E033 117,2,585,25,911,5,1,85,197,2,0,0,0,136,2,0,14,0,44,0,0,1,30,1546,227,284
12011E034 E034 118,1,296,23,404,2,0,42,75,3,0,0,0,71,0,0,7,0,49,0,0,0,18,739,145,120
12011F001 F001 119,2,744,34,856,20,0,125,183,7,0,0,0,157,4,0,13,0,56,0,0,1,72,1679,303,315
12011F002 F002 120,1,337,12,737,6,0,70,180,0,1,0,0,73,0,0,10,0,27,0,2,0,20,1115,133,250
12011F003 F003 121,2,349,16,703,5,0,76,163,4,1,0,1,61,2,0,8,0,31,0,0,0,19,1087,123,243
12011F004 F004 122,1,1168,26,2438,14,3,263,1043,16,2,1,1,269,2,0,28,0,90,0,0,1,35,3698,429,1322
12011F005 F005 123,5,1180,52,1835,19,3,163,366,10,1,0,0,276,4,0,33,0,84,0,1,0,71,3126,470,539
12011F006 F006 124,3,537,23,1186,17,2,121,209,1,3,1,0,107,3,0,9,0,61,0,1,0,35,1796,220,331
12011F007 F007 125,4,664,26,1301,7,2,91,236,2,0,0,0,105,3,0,11,0,61,0,0,0,25,2024,205,329
12011F008 F008 126,1,551,24,1113,19,0,116,314,3,1,0,0,110,2,0,27,0,56,0,0,0,42,1733,238,433
12011F009 F009 127,1,440,22,1067,5,0,106,247,3,0,0,0,85,1,0,9,0,49,0,0,0,27,1555,171,356
12011F010 F010 128,1,671,42,1238,21,1,102,223,5,2,0,0,130,6,0,16,0,63,0,0,0,30,2002,247,330
12011F011 F011 129,0,429,13,500,11,1,55,93,2,2,0,0,102,2,0,4,0,40,2,0,0,18,960,170,150
12011F012 F012 130,6,1222,48,1677,6,3,179,318,9,5,0,0,238,2,0,20,0,80,0,2,0,48,3003,395,506
12011F013 F013 131,5,297,15,512,2,0,67,110,1,3,0,0,55,0,0,8,0,17,0,3,0,5,842,91,178
12011F014 F014 132,2,363,14,755,12,0,62,137,2,1,0,0,68,1,0,8,0,25,0,0,0,17,1163,120,201
12011G001 G001 133,1,335,22,1063,8,1,78,244,1,0,1,1,65,1,0,6,0,32,0,1,0,24,1449,131,323
12011G002 G002 134,2,865,30,1279,18,1,121,249,12,1,1,1,187,7,0,19,0,74,1,0,0,55,2222,346,382
12011G003 G003 135,4,616,25,1128,9,1,82,212,3,0,0,0,122,3,1,9,0,40,0,0,0,27,1810,202,297
12011G004 G004 136,2,735,25,1393,4,1,121,349,6,2,0,1,165,0,0,11,0,59,0,0,0,33,2190,271,476
12011G005 G005 137,1,389,14,919,4,0,78,171,1,2,0,0,76,0,0,4,0,38,0,0,0,22,1339,142,250
12011G006 G006 138,6,756,29,1454,14,3,141,312,3,2,0,0,149,2,0,11,0,50,2,1,1,31,2295,249,456
