Precinct,gen_con_CASTLE,gen_rep_TRUMP,gen_lib_JOHNSON,gen_dem_CLINTON,gen_gre_STEIN,gen_ind_FUENTE,pri_dem_SANDERS,pri_dem_CLINTON,pri_dem_OMALLEY,pri_rep_CARSON,pri_rep_FIORINA,pri_rep_CHRISTIE,pri_rep_TRUMP,pri_rep_BUSH,pri_rep_GILMORE,pri_rep_KASICH,pri_rep_GRAHAM,pri_rep_RUBIO,pri_rep_HUCKABEE,pri_rep_PAUL,pri_rep_SANTORUM,pri_rep_CRUZ,gen_total,rep_pri_total,dem_pri_total
12103254 254,1,648,28,447,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,0,0
12103255,0,0,0,0,0,0,95,172,6,3,2,0,240,18,0,38,1,102,0,2,0,91,0,497,273
12103255 255,0,853,30,624,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549,0,0
12103256,0,0,0,0,0,0,85,111,6,4,0,0,176,10,1,23,0,75,1,0,0,66,0,356,202
12103256 256,2,690,39,482,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,0,0
12103257,0,0,0,0,0,0,140,201,3,7,0,0,272,23,0,46,0,174,1,2,0,106,0,631,344
12103257 257,7,1149,59,783,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0
12103258,0,0,0,0,0,0,74,73,6,2,0,0,98,8,0,9,0,47,0,2,0,38,0,204,153
12103258 258,1,403,31,326,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0
12103259,0,0,0,0,0,0,361,482,28,18,1,0,429,36,0,50,0,181,0,5,1,171,0,892,871
12103259 259,15,2033,143,1907,58,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4282,0,0
12103260,0,0,0,0,0,0,124,148,5,6,1,0,112,22,0,11,0,51,2,0,0,49,0,254,277
12103260 260,3,525,42,505,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,0,0
12103261,0,0,0,0,0,0,104,164,7,4,0,0,156,18,0,25,2,70,0,1,0,61,0,337,275
12103261 261,3,722,47,636,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448,0,0
12103262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12103262 262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12103263,0,0,0,0,0,0,74,190,8,7,0,0,206,16,0,48,1,148,0,3,1,96,0,526,272
12103263 263,1,743,33,609,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422,0,0
12103264,0,0,0,0,0,0,12,18,1,1,1,0,22,1,0,1,0,10,0,0,0,5,0,41,31
12103264 264,0,110,9,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0
12103265,0,0,0,0,0,0,106,163,6,9,0,0,187,12,0,21,1,72,0,4,0,60,0,366,275
12103265 265,3,707,50,683,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,0,0
12103266,0,0,0,0,0,0,150,258,11,10,1,2,386,26,0,65,0,184,1,3,0,173,0,851,419
12103266 266,5,1422,63,910,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2479,0,0
12103267,0,0,0,0,0,0,23,59,2,2,0,0,35,2,0,13,0,22,0,4,0,20,0,98,84
12103267 267,0,225,21,153,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0
12103268,0,0,0,0,0,0,73,170,6,15,0,0,166,21,0,26,0,57,0,0,0,64,0,349,249
12103268 268,3,674,31,517,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,0,0
12103269,0,0,0,0,0,0,99,161,8,2,0,1,177,8,0,8,0,86,0,1,0,57,0,340,268
12103269 269,3,713,29,587,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,0,0
12103270,0,0,0,0,0,0,7,18,2,2,0,0,51,2,0,2,0,7,0,0,0,9,0,73,27
12103270 270,0,128,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0
12103271,0,0,0,0,0,0,2,6,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,7,8
12103271 271,0,29,4,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0
12103272,0,0,0,0,0,0,53,69,5,4,0,0,96,2,0,9,0,49,0,2,0,50,0,212,127
12103272 272,0,453,18,373,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0
12103273,0,0,0,0,0,0,23,64,2,1,0,2,57,3,0,2,0,32,0,0,0,35,0,132,89
12103273 273,0,259,8,202,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0
12103274,0,0,0,0,0,0,102,129,6,3,0,0,173,5,0,18,0,70,0,1,0,60,0,330,237
12103274 274,7,762,44,628,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,0
12103275,0,0,0,0,0,0,65,52,9,4,1,0,90,6,0,8,0,33,0,0,0,24,0,166,126
12103275 275,1,311,23,259,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0
12103301,0,0,0,0,0,0,60,151,4,7,0,2,192,15,0,32,0,85,0,0,0,49,0,382,215
12103301 301,0,584,6,385,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0
12103302,0,0,0,0,0,0,114,251,16,8,4,0,217,49,0,76,1,132,3,1,0,93,0,584,381
12103302 302,3,939,41,810,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,0,0
