Precinct,gen_aip_HOEFLING,gen_asp_MATUREN,gen_con_CASTLE,gen_dem_CLINTON,gen_gre_STEIN,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_psl_LARIVA,gen_ref_FUENTE,gen_rep_TRUMP,gen_sep_WHITE,gen_soc_SOLTYSIK,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
016-001,0,3,0,1198,45,0,7,121,0,0,0,1530,1,0,880,4,696,6,22,4,360,4,6,314,8,4,2,1052,2905,1782,1580
016-002,0,9,0,734,18,0,7,17,0,0,0,173,0,0,748,2,264,0,0,0,26,0,0,58,0,2,0,140,958,226,1014
016-003,0,14,0,1961,88,0,26,74,0,0,0,610,0,0,1928,4,1138,8,12,0,112,2,0,198,0,8,0,402,2773,742,3070
016-004,0,2,0,1367,25,0,2,28,0,0,0,300,0,0,1068,2,510,0,12,2,50,0,0,36,2,2,0,154,1724,258,1580
016-005,0,0,0,939,16,0,2,42,0,0,0,299,0,0,894,0,338,2,8,0,56,2,2,74,0,2,0,218,1298,364,1232
016-006,0,0,0,587,13,0,0,8,0,0,0,88,0,0,652,4,220,2,2,0,18,0,0,32,0,0,0,88,696,142,876
016-007,0,0,0,469,8,0,0,1,0,0,0,11,0,0,524,0,170,0,0,0,0,0,0,4,0,2,0,0,489,6,694
016-008,0,0,0,270,5,0,0,1,0,0,0,7,0,0,358,0,96,0,0,0,0,0,0,0,0,0,0,0,283,0,454
016-009,0,0,0,557,5,0,0,4,0,0,0,4,0,0,648,0,134,2,2,0,2,0,0,0,0,0,0,0,570,6,782
016-010,0,0,0,313,0,0,0,0,0,0,0,3,0,0,336,0,92,0,0,0,2,0,0,0,0,0,0,0,316,2,428
016-011,0,0,0,256,1,0,0,0,0,0,0,4,0,0,296,0,80,0,0,0,0,0,0,0,0,0,0,0,261,0,376
016-012,0,0,0,608,6,0,0,3,0,0,0,10,0,0,690,0,212,0,4,0,6,2,0,0,0,0,0,2,627,14,902
016-013,0,0,0,480,3,0,0,2,0,0,0,9,0,0,618,0,136,0,0,0,4,2,0,2,0,0,0,2,494,10,754
016-014,0,0,0,628,9,0,0,10,0,0,0,9,0,0,1130,0,280,0,0,0,4,0,0,4,0,0,0,2,656,10,1410
016-098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
016-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017-001,1,1,1,2408,79,0,18,152,0,0,0,2030,0,0,1672,8,1196,12,48,6,492,6,4,334,8,10,0,1348,4690,2268,2876
017-002,0,2,0,1526,34,0,2,18,0,0,0,122,0,0,1354,2,658,4,4,0,14,0,2,14,2,4,0,46,1704,90,2014
017-003,0,1,0,783,8,0,1,13,0,0,0,77,0,0,572,4,202,4,2,2,24,0,0,6,0,4,0,22,883,64,778
017-004,0,0,0,817,10,0,0,7,0,0,0,55,0,0,562,2,212,0,0,0,4,0,0,4,0,0,0,20,889,28,776
017-005,0,0,0,530,7,0,1,6,0,0,0,27,0,0,450,0,188,4,0,0,12,0,0,10,0,2,2,4,571,34,638
017-006,0,0,0,481,10,0,0,9,0,0,0,33,0,0,344,0,144,0,0,0,2,0,0,10,0,2,0,16,533,30,488
017-007,0,0,0,1224,23,0,4,5,0,0,0,56,0,0,1026,2,368,0,0,0,32,0,0,14,0,2,0,8,1312,56,1396
017-008,0,0,0,208,7,0,2,6,0,0,0,25,0,0,148,0,136,0,2,0,6,0,0,6,0,2,0,22,248,38,284
017-009,0,0,0,504,6,0,4,11,0,0,0,71,0,0,432,2,180,2,2,0,18,0,0,10,0,0,0,16,596,48,614
017-010,0,0,0,1339,26,0,0,9,0,0,0,81,0,0,1010,2,418,2,4,0,14,2,0,8,0,2,0,34,1455,66,1430
017-011,0,0,0,1089,11,0,0,10,0,0,0,55,0,0,968,4,170,2,2,0,6,0,0,6,0,0,0,14,1165,30,1142
017-012,0,0,0,906,26,0,1,14,0,0,0,65,0,0,640,0,236,0,0,0,20,0,0,12,0,2,0,26,1012,60,876
017-013,0,0,0,126,0,0,0,1,0,0,0,5,0,0,46,0,32,0,0,0,2,0,0,4,0,0,0,2,132,8,78
017-014,0,0,0,671,11,0,2,4,0,0,0,46,0,0,384,0,220,0,0,0,10,0,0,20,0,0,0,12,734,42,604
017-015,0,0,0,94,0,0,0,4,0,0,0,6,0,0,50,0,28,0,0,0,4,0,2,2,0,0,0,6,104,14,78
018-000,0,0,0,94,9,0,0,14,0,0,0,769,0,0,80,0,76,16,12,4,100,0,4,90,0,0,2,568,886,796,156
018-001,0,0,0,2366,57,0,15,153,0,0,0,2164,0,0,1856,14,916,8,46,0,580,4,2,468,6,16,0,1252,4755,2382,2786
018-002,0,0,2,1777,40,0,11,119,0,0,0,1944,0,0,1226,12,800,12,36,6,528,2,6,296,2,8,0,1312,3893,2208,2038
018-003,0,0,0,1374,32,0,10,78,0,0,0,1115,0,0,920,8,496,10,30,0,286,2,4,264,0,16,0,776,2609,1388,1424
