Precinct,gen_aip_HOEFLING,gen_asp_MATUREN,gen_con_CASTLE,gen_dem_CLINTON,gen_gre_STEIN,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_psl_LARIVA,gen_ref_FUENTE,gen_rep_TRUMP,gen_sep_WHITE,gen_soc_SOLTYSIK,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
018-004,0,0,0,634,11,0,1,15,0,0,0,71,0,0,424,0,130,0,2,0,18,0,0,8,0,0,0,30,732,58,554
018-005,0,0,0,535,5,0,0,3,0,0,0,12,0,0,362,0,140,0,0,0,0,0,0,2,0,0,0,2,555,4,502
018-006,0,0,0,1122,15,0,0,4,0,0,0,23,0,0,1110,0,256,0,0,0,6,0,0,2,0,0,0,10,1164,18,1366
018-007,0,0,0,996,13,0,0,9,0,0,0,15,0,0,866,0,224,2,0,0,2,0,0,6,0,2,0,4,1033,16,1090
018-008,0,0,0,568,13,0,0,2,0,0,0,10,0,0,546,2,128,0,0,0,2,0,0,0,0,0,0,2,593,4,676
018-009,0,0,0,772,11,0,2,7,0,0,0,18,0,0,752,0,220,0,0,0,6,0,0,0,0,0,0,6,810,12,972
018-010,0,0,0,396,8,0,0,2,0,0,0,10,0,0,420,2,92,0,0,0,0,0,0,0,0,2,0,4,416,6,514
018-011,0,0,0,732,7,0,0,3,0,0,0,24,0,0,548,2,120,2,0,0,12,0,0,2,0,0,0,8,766,24,670
018-012,0,0,0,29,1,0,0,2,0,0,0,4,0,0,44,0,24,0,0,0,0,0,0,4,0,0,0,0,36,4,68
018-013,0,0,0,304,5,0,0,1,0,0,0,4,0,0,178,0,34,0,0,0,0,0,0,0,0,0,0,0,314,0,212
018-014,0,0,0,51,1,0,0,1,0,0,0,2,0,0,148,0,34,0,0,0,2,0,0,2,0,0,0,0,55,4,182
018-015,0,0,0,26,1,0,0,1,0,0,0,0,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,28,0,30
018-016,0,0,0,14,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,20
018-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019-000,0,5,0,286,16,0,6,32,0,0,0,794,0,0,200,0,190,4,20,0,262,4,0,70,2,4,4,498,1139,868,390
019-001,0,0,2,1524,35,0,8,40,1,0,0,819,0,0,1240,12,654,0,18,2,192,0,0,116,2,2,2,438,2429,772,1906
019-002,0,0,1,1156,27,0,3,30,0,0,0,159,0,0,908,4,514,2,8,0,44,2,0,20,0,2,0,102,1376,180,1426
019-003,0,2,0,651,30,0,10,23,0,0,0,104,0,0,804,2,558,2,0,0,46,0,0,104,0,0,0,62,820,214,1364
019-004,0,0,0,487,3,0,1,7,0,0,0,58,0,0,368,0,152,0,2,0,8,0,0,8,0,0,2,18,556,38,520
019-005,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
019-098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020-000,0,0,0,265,18,0,3,37,0,0,0,1371,0,0,226,4,206,10,18,6,334,4,6,132,4,8,2,958,1694,1482,436
020-001,0,0,0,1671,41,0,6,70,0,0,0,995,0,0,1606,4,642,6,10,0,290,0,2,168,4,6,2,596,2783,1084,2252
020-002,0,0,0,443,8,0,0,12,0,0,0,37,0,0,378,4,150,0,2,0,12,0,0,8,2,0,0,10,500,34,532
020-003,0,0,0,1056,13,0,0,3,0,0,0,41,0,0,1200,2,292,0,0,0,6,0,0,4,0,0,0,8,1113,18,1494
020-004,0,0,0,699,9,0,0,5,0,0,0,61,0,0,714,4,198,0,0,0,12,0,0,8,0,2,0,16,774,38,916
020-005,0,0,1,1010,15,0,1,10,0,0,0,96,0,0,1112,2,316,2,0,0,18,2,0,26,2,2,0,32,1133,84,1430
020-006,0,0,0,1485,18,0,3,15,0,0,0,81,0,0,1566,4,470,0,6,2,22,2,0,18,0,0,0,30,1602,80,2040
020-007,0,0,0,974,15,0,1,7,0,0,0,46,0,0,1142,0,312,2,0,0,0,0,0,0,0,2,0,6,1043,10,1454
020-008,0,0,0,534,13,0,0,3,0,0,0,36,0,0,572,0,206,0,0,0,4,0,0,2,0,0,0,10,586,16,778
020-009,0,0,0,624,21,0,2,18,0,0,0,126,0,0,756,2,270,0,2,0,28,0,0,22,0,0,0,60,791,112,1028
020-010,0,0,0,412,7,0,2,7,0,0,0,61,0,0,352,0,146,2,0,0,32,0,2,12,0,0,0,24,489,72,498
020-011,0,0,0,1173,28,0,1,20,0,0,0,98,0,0,1168,0,328,0,6,0,28,2,0,6,0,0,0,38,1320,80,1496
020-012,0,0,0,490,11,0,0,4,0,0,0,19,0,0,420,0,132,0,0,0,6,0,0,2,0,2,0,4,524,14,552
020-013,0,0,0,236,4,0,0,3,0,0,0,13,0,0,122,0,60,0,0,0,2,0,0,6,0,0,0,6,256,14,182
020-014,0,0,0,97,2,0,0,0,0,0,0,5,0,0,66,0,36,0,0,0,0,0,0,0,0,0,0,6,104,6,102
020-015,0,0,0,184,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0
020-016,0,0,0,109,0,0,0,0,0,0,0,7,0,0,136,0,42,0,0,0,0,0,0,4,0,0,0,0,116,4,178
020-017,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,8
020-018,0,0,0,337,5,0,0,2,0,0,0,10,0,0,162,0,70,0,0,0,0,0,0,0,0,0,0,2,354,2,232
020-019,0,0,0,602,6,0,2,9,0,0,0,65,0,0,596,0,170,0,0,0,14,0,0,8,2,0,0,26,684,50,766
020-020,0,0,0,117,0,0,0,1,0,0,0,6,0,0,130,0,40,0,0,0,0,0,0,2,0,0,0,0,124,2,170
020-021,0,0,0,321,3,0,2,9,0,0,0,97,0,0,254,2,92,0,0,0,12,0,0,6,0,0,0,68,432,86,348
020-097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020-098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-000,0,0,0,83,3,0,0,13,0,0,0,407,0,0,78,0,88,2,8,2,100,0,0,24,0,0,0,304,506,440,166
021-001,0,0,1,1714,74,0,17,165,0,0,0,1343,0,0,1108,8,1290,16,38,6,392,8,8,382,20,22,4,980,3314,1876,2406
021-002,0,0,0,1967,67,1,17,172,0,0,0,1175,0,0,1416,12,1238,14,14,8,370,2,2,392,6,12,2,680,3399,1502,2666
021-003,0,3,2,2157,73,0,17,110,0,0,0,856,0,0,1800,12,1456,10,20,4,272,10,6,320,8,8,4,526,3218,1188,3268
021-004,0,2,2,1287,32,0,6,88,0,0,0,623,0,0,832,4,766,6,4,0,220,2,4,178,6,12,4,390,2040,826,1602
021-005,0,0,0,617,12,0,1,9,0,0,0,117,0,0,536,4,212,0,0,0,14,0,0,32,0,2,2,42,756,92,752
021-006,0,1,0,825,29,0,11,31,0,1,0,205,0,0,776,0,704,4,4,2,70,2,0,90,2,0,0,132,1103,306,1480
021-007,0,0,1,748,27,0,8,50,0,0,0,422,0,0,570,4,494,2,6,0,98,0,0,104,2,4,0,266,1256,482,1068
021-008,0,0,0,1012,19,0,0,8,0,0,0,41,0,0,464,0,270,0,0,0,10,0,0,10,0,0,0,10,1080,30,734
021-009,0,0,0,309,14,0,6,12,0,0,0,76,0,0,300,4,146,2,0,4,20,0,0,26,2,0,2,34,417,90,450
021-010,0,2,0,612,24,0,5,24,0,0,0,191,0,0,436,0,372,0,6,0,70,0,0,48,4,0,0,96,858,224,808
021-011,0,0,0,897,13,0,1,8,0,0,0,79,0,0,772,2,292,4,2,0,18,0,0,18,0,0,0,38,998,80,1066
021-012,0,0,0,166,3,0,4,6,0,0,0,54,0,0,188,0,124,0,0,0,26,0,0,28,0,0,0,32,233,86,312
021-013,0,0,0,978,19,0,2,17,0,0,0,79,0,0,872,0,436,2,8,0,18,0,0,30,0,0,0,36,1095,94,1308
021-014,0,0,0,490,14,0,6,9,0,0,0,105,0,0,432,0,238,4,2,0,38,0,0,18,0,0,2,42,624,106,670
021-015,0,0,0,377,16,0,6,13,0,0,0,105,0,0,302,2,264,0,0,0,40,0,0,42,0,0,0,26,517,108,568
021-016,0,0,0,602,14,0,1,5,0,0,0,69,0,0,626,0,210,0,4,0,14,0,0,16,0,0,0,26,691,60,836
021-017,0,0,0,1202,30,1,16,63,0,0,0,138,0,0,232,0,852,2,0,0,28,0,0,118,2,2,0,34,1450,186,1084
021-018,0,0,0,891,11,0,0,9,0,0,0,73,0,0,882,2,358,0,0,0,16,0,0,22,0,0,0,34,984,72,1242
021-019,0,0,0,6,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2
021-091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022-001,0,2,0,1042,37,0,5,123,0,0,0,1248,1,0,900,8,614,14,30,2,246,0,6,210,2,8,6,742,2458,1266,1522
022-002,0,0,4,930,19,0,5,75,0,0,0,663,0,0,818,8,548,4,14,0,108,4,2,160,2,0,0,404,1696,698,1374
023-000,0,0,3,502,28,0,3,84,0,0,0,2069,0,0,432,14,422,12,46,2,488,6,16,194,6,20,0,1494,2689,2284,868
023-001,0,1,1,1364,42,0,13,154,0,0,0,1302,0,0,932,6,820,8,26,0,374,2,4,368,10,8,2,754,2877,1556,1758
023-002,0,0,0,350,7,0,4,22,0,0,0,74,0,0,316,2,194,0,0,0,12,0,0,30,0,0,0,38,457,80,512
023-003,0,0,1,592,21,0,5,78,0,0,0,278,0,0,304,8,450,2,0,2,28,2,2,122,2,4,0,84,975,248,762
023-004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024-000,0,0,0,131,5,0,0,13,0,0,0,566,0,0,94,2,98,2,10,0,126,0,4,86,2,6,0,390,715,626,194
024-001,0,0,2,685,27,0,12,70,0,0,0,776,0,0,548,8,444,10,10,2,238,0,2,222,6,8,0,572,1572,1070,1000
024-002,0,0,0,478,17,0,6,40,0,0,0,378,0,0,350,0,304,2,14,2,84,2,0,170,4,6,0,192,919,476,654
024-003,0,0,0,753,17,0,6,66,0,0,0,344,0,0,696,2,350,2,0,0,92,0,2,164,4,4,2,218,1186,488,1048
024-004,0,0,0,796,19,0,11,83,0,0,0,391,0,0,590,8,550,0,0,0,54,2,2,158,4,4,0,162,1300,386,1148
024-005,0,0,0,1219,20,0,13,125,0,0,0,827,0,0,1000,10,752,4,2,0,136,2,0,254,0,8,0,368,2204,774,1762
024-006,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,9,6,0
025-001,0,0,2,1804,49,0,15,127,0,0,0,1086,0,0,1484,12,872,4,16,4,244,4,6,118,6,12,0,522,3083,936,2368
025-002,0,0,0,989,26,0,3,44,0,0,0,588,0,0,806,6,436,4,12,0,140,2,0,40,0,4,2,318,1650,522,1248
025-003,0,0,0,371,15,0,6,22,0,0,0,386,0,0,268,10,290,2,0,0,38,0,0,42,4,4,0,164,800,254,568
025-004,0,0,0,748,27,0,3,74,0,0,0,942,0,0,572,10,398,6,16,0,164,6,4,56,4,4,0,436,1794,696,980
025-005,0,0,0,653,11,0,0,5,0,0,0,117,0,0,566,0,220,0,0,0,8,2,0,2,0,0,0,48,786,60,786
025-006,0,0,0,386,4,0,0,1,0,0,0,4,0,0,384,0,120,0,0,0,0,0,0,0,0,0,0,2,395,2,504
025-007,0,0,0,180,3,0,0,3,0,0,0,14,0,0,152,0,52,0,0,0,6,0,0,2,0,0,0,6,200,14,204
025-008,0,0,0,833,9,0,0,8,0,0,0,20,0,0,790,0,240,0,0,2,0,0,0,2,0,0,0,6,870,10,1030
025-009,0,0,0,472,3,0,0,0,0,0,0,3,0,0,474,2,86,0,2,2,2,2,0,0,0,0,0,0,478,8,562
025-010,0,0,0,481,10,0,1,4,0,0,0,13,0,0,510,2,140,0,0,0,0,0,0,2,0,0,0,0,509,2,652
025-011,0,0,0,140,2,0,0,5,0,0,0,123,0,0,94,0,96,0,0,0,8,2,0,16,0,0,0,48,270,74,190
025-012,0,0,0,263,8,0,0,15,0,0,0,215,0,0,220,0,140,4,4,0,24,0,0,16,0,4,0,96,501,148,360
025-013,0,0,0,162,4,0,0,7,0,0,0,100,0,0,104,2,90,0,6,2,12,0,0,4,0,2,0,52,273,78,196
025-014,0,0,0,310,11,0,0,2,0,0,0,43,0,0,214,2,76,0,0,0,8,0,0,2,0,0,0,12,366,22,292
025-015,0,0,0,291,3,0,0,8,0,0,0,76,0,0,226,0,72,0,2,0,14,0,0,2,0,0,0,30,378,48,298
025-016,0,0,0,255,13,0,0,11,0,0,0,206,0,0,252,2,152,0,8,0,22,0,2,6,0,2,0,76,485,116,406
025-017,0,0,0,89,1,0,0,7,0,0,0,39,0,0,52,0,54,0,0,0,4,0,0,0,0,0,0,16,136,20,106
025-018,0,0,0,65,5,0,0,0,0,0,0,27,0,0,82,0,44,0,0,0,0,0,0,0,0,0,0,14,97,14,126
026-000,0,0,0,382,21,0,6,47,0,0,0,540,0,0,222,0,284,6,20,0,112,0,0,122,2,12,2,364,996,640,506
026-001,0,2,5,1226,47,0,18,155,0,0,0,2259,0,0,896,12,744,14,30,8,632,8,4,394,10,16,12,1364,3712,2492,1652
026-002,0,0,4,1399,42,0,11,134,0,0,0,1702,0,0,980,20,668,12,36,14,452,0,4,372,6,6,2,1004,3292,1908,1668
026-003,0,0,0,586,15,0,6,53,0,0,0,1162,0,0,478,4,390,4,2,2,256,0,4,150,2,4,0,734,1822,1158,872
026-004,0,0,0,173,7,0,1,18,0,0,0,168,0,0,140,2,150,2,2,0,12,2,0,10,0,0,0,62,367,90,292
026-005,0,0,0,115,3,0,0,7,0,0,0,74,0,0,112,6,96,2,0,0,20,0,0,0,0,0,0,38,199,60,214
026-006,0,0,0,204,3,0,1,14,0,0,0,157,0,0,160,6,128,0,0,0,10,0,0,18,0,0,0,80,379,108,294
026-007,0,0,0,248,10,0,0,32,0,0,0,155,0,0,132,0,146,0,0,4,26,0,0,46,0,0,0,56,445,132,278
026-008,0,0,0,356,6,0,2,30,0,0,0,196,0,0,286,4,182,2,4,0,30,0,0,70,0,2,0,98,590,206,472
026-009,0,0,0,553,20,1,8,78,0,0,0,353,0,0,472,14,516,2,2,4,44,0,2,144,4,16,2,182,1013,402,1002
026-010,0,0,0,459,12,0,0,35,0,1,0,176,0,0,368,2,354,2,2,6,16,2,0,50,0,0,0,50,683,128,724
026-011,0,0,0,151,11,0,0,18,0,0,0,87,0,0,128,2,126,2,0,0,8,0,0,4,0,0,0,30,267,44,256
026-012,0,0,0,195,1,0,0,1,0,0,0,11,0,0,160,0,50,0,0,0,0,0,0,0,0,0,0,0,208,0,210
026-013,0,0,0,121,3,0,0,6,0,0,0,216,0,0,86,8,118,2,0,0,16,0,0,14,0,0,0,78,346,110,212
026-014,0,0,0,141,6,0,0,10,0,0,0,152,0,0,116,0,78,0,8,2,8,0,0,4,0,2,0,72,309,96,194
026-015,0,0,0,463,8,0,0,3,0,0,0,19,0,0,516,2,156,0,6,0,8,0,0,2,0,0,0,4,493,20,674
026-016,0,0,0,351,3,0,0,2,0,0,0,6,0,0,390,0,148,0,0,0,0,0,0,0,0,0,0,0,362,0,538
026-017,0,0,0,182,3,0,1,1,0,0,0,4,0,0,162,0,82,0,2,0,2,0,0,2,0,0,0,0,191,6,244
026-018,0,0,0,369,7,0,0,2,0,0,0,14,0,0,474,0,110,0,2,0,4,0,0,2,0,0,0,12,392,20,584
026-019,0,0,0,492,8,0,1,5,0,0,0,18,0,0,600,2,174,0,0,0,2,0,0,0,0,0,0,4,524,6,776
026-020,0,0,0,249,2,0,1,2,0,0,0,5,0,0,258,2,78,0,0,0,0,0,0,0,0,0,0,4,259,4,338
026-021,0,0,0,326,4,0,0,3,0,0,0,9,0,0,300,2,78,0,0,0,0,0,0,0,0,0,0,0,342,0,380
026-022,0,0,0,234,2,0,0,2,0,0,0,10,0,0,264,0,116,0,0,0,2,0,0,0,0,0,0,8,248,10,380
026-023,0,0,0,366,11,0,0,6,0,0,0,23,0,0,352,0,156,0,2,0,2,0,0,4,0,0,0,10,406,18,508
026-024,0,0,0,563,12,0,0,2,0,0,0,18,0,0,656,2,188,0,2,0,0,0,0,2,0,0,0,4,595,8,846
026-025,0,0,0,434,13,0,0,2,0,0,0,25,0,0,304,2,188,0,0,0,2,0,0,2,0,0,0,4,474,8,494
026-026,0,0,0,437,14,0,3,13,0,0,0,52,0,0,448,0,220,0,2,0,12,2,0,4,0,0,0,30,519,50,668
026-027,0,0,0,357,4,0,0,4,0,0,0,49,0,0,416,0,160,0,0,0,6,0,0,6,0,0,0,22,414,34,576
026-028,0,0,0,250,5,0,0,5,0,0,0,16,0,0,340,0,106,0,0,0,4,0,0,2,0,0,0,10,276,16,446
026-029,0,0,0,1051,16,0,1,12,0,0,0,44,0,0,1086,4,442,2,2,0,8,0,0,6,0,0,0,24,1124,42,1532
026-030,0,0,0,286,3,0,1,9,0,0,0,60,0,0,288,0,190,0,0,0,12,0,0,14,0,2,0,22,359,50,478
026-031,0,0,0,173,8,0,2,11,0,0,0,119,0,0,188,4,120,0,2,0,26,0,0,20,0,0,0,62,313,110,312
026-032,0,0,0,583,10,0,0,5,0,0,0,35,0,0,656,4,198,0,0,0,6,0,0,2,0,0,0,10,633,18,858
026-033,0,0,0,490,4,0,0,3,0,0,0,21,0,0,548,0,214,0,2,0,6,0,0,2,0,0,0,0,518,10,762
027-001,0,0,0,997,26,0,8,61,0,0,0,817,0,0,950,2,628,12,14,4,278,2,0,324,2,22,4,706,1909,1368,1580
027-002,0,0,1,734,18,0,16,77,1,0,0,937,0,0,548,8,540,10,6,0,264,0,2,210,2,18,2,636,1784,1150,1096
027-003,0,0,0,192,6,0,0,11,0,0,0,29,0,0,182,8,178,0,2,0,0,0,0,12,4,0,0,10,238,28,368
027-004,0,0,0,180,13,0,0,9,0,0,0,52,0,0,164,0,134,4,0,0,10,0,0,24,2,0,0,26,254,66,298
027-005,0,0,0,708,26,0,3,27,0,0,0,181,0,0,656,2,550,2,2,0,44,0,0,12,2,2,2,78,945,144,1208
027-006,0,0,0,877,24,0,0,10,0,0,0,129,0,0,906,6,522,0,2,0,22,4,0,4,0,0,0,34,1040,66,1434
027-007,0,0,0,364,12,0,0,6,0,0,0,42,0,0,340,2,250,0,0,0,6,0,0,6,0,0,0,28,424,40,592
027-008,0,0,0,728,19,0,1,27,0,0,0,186,0,0,706,2,436,0,6,2,36,2,0,22,0,0,0,104,961,172,1144
027-009,0,0,0,453,13,0,1,10,0,1,0,152,0,0,450,12,314,0,6,0,34,0,0,22,0,0,0,66,630,128,776
027-010,0,0,0,205,4,0,4,13,0,0,0,151,0,0,180,4,160,0,2,0,26,0,0,26,2,0,0,64,377,120,344
027-011,0,0,0,680,21,0,0,45,0,0,0,393,0,0,554,2,556,2,6,2,66,0,2,52,4,2,0,174,1139,310,1112
027-012,0,0,0,149,4,0,0,5,0,0,0,107,0,0,142,2,126,0,0,0,6,0,0,12,0,0,2,50,265,70,270
027-013,0,0,0,819,23,0,1,24,0,0,0,144,0,0,688,6,392,2,0,0,20,0,0,24,0,6,0,62,1011,114,1086
027-014,0,0,0,657,29,0,1,36,0,0,0,283,0,0,680,8,622,2,2,2,46,0,0,22,2,2,0,160,1006,238,1310
027-015,0,0,0,664,11,0,1,5,0,0,0,64,0,0,704,0,322,0,8,0,16,0,0,4,0,0,0,24,745,52,1026
027-016,0,0,0,236,5,0,0,5,0,0,0,46,0,0,196,0,214,0,2,0,12,0,0,10,2,0,0,22,292,48,410
027-017,0,0,0,389,18,0,1,10,0,0,0,64,0,0,392,0,286,0,2,0,14,0,0,14,0,0,0,24,482,54,678
027-018,0,2,0,564,23,0,0,15,0,0,0,92,0,0,506,8,458,0,0,0,14,0,0,8,0,0,0,40,696,62,972
027-019,0,0,0,228,6,0,0,3,0,0,0,8,0,0,264,0,96,0,0,0,0,0,0,4,0,0,0,0,245,4,360
027-020,0,0,0,622,12,0,0,8,0,0,0,32,0,0,746,2,292,0,2,0,6,0,0,10,2,2,0,6,674,28,1040
027-021,0,0,0,771,20,0,0,10,0,0,0,25,0,0,886,0,376,0,0,0,0,0,0,8,0,0,0,8,826,16,1262
027-022,0,0,0,739,10,0,0,6,0,0,0,24,0,0,992,0,304,0,2,0,10,0,0,6,0,0,0,0,779,18,1296
027-023,0,0,0,202,3,0,0,1,0,0,0,8,0,0,292,2,90,0,0,0,2,0,0,0,0,0,0,4,214,6,384
027-024,0,0,0,158,2,0,0,6,0,0,0,5,0,0,164,0,72,0,0,0,0,0,0,2,0,0,0,2,171,4,236
027-025,0,0,0,332,5,0,0,0,0,0,0,17,0,0,404,2,162,0,0,0,2,0,0,0,0,0,0,4,354,6,568
027-026,0,0,0,185,7,0,0,4,0,0,0,13,0,0,246,0,140,0,0,0,4,0,0,2,0,0,0,4,209,10,386
027-027,0,0,0,374,7,0,0,3,0,0,0,7,0,0,470,0,194,0,0,0,0,0,0,0,0,0,0,0,391,0,664
027-028,0,0,0,323,9,0,0,0,0,0,0,7,0,0,364,0,134,0,0,0,0,0,0,0,0,0,0,0,339,0,498
027-029,0,0,0,281,6,0,0,4,0,0,0,6,0,0,308,0,108,0,0,0,0,0,0,2,0,0,0,0,297,2,416
027-030,0,0,0,406,3,0,0,2,0,0,0,7,0,0,534,0,168,0,0,0,4,0,0,4,0,0,0,0,418,8,702
027-031,0,0,0,681,9,0,0,10,0,0,1,29,0,0,758,0,328,0,0,0,2,0,0,0,0,0,0,12,730,14,1086
027-032,0,0,0,729,22,0,3,29,0,0,0,86,0,0,708,4,516,0,2,0,8,0,0,16,0,2,0,32,869,60,1228
027-033,0,0,0,675,28,0,5,11,0,0,0,49,0,0,734,0,438,0,2,2,12,2,2,12,0,0,0,24,768,56,1172
027-034,0,0,0,488,6,0,4,4,0,0,0,10,0,0,538,2,200,0,2,0,6,0,0,2,0,0,0,2,512,12,740
027-035,0,0,0,600,16,0,0,7,0,0,0,21,0,0,652,2,260,0,0,0,2,2,0,0,0,0,0,6,644,10,914
027-036,0,0,0,291,8,0,0,2,0,0,0,6,0,0,302,0,100,0,0,0,0,0,0,4,0,0,0,2,307,6,402
027-037,0,0,0,225,4,0,2,7,0,0,0,62,0,0,280,2,118,0,0,0,8,2,0,40,0,0,0,28,300,78,400
027-038,0,1,0,419,17,0,1,8,0,0,0,55,0,0,480,2,320,0,0,0,18,0,0,42,0,0,0,28,501,88,802
027-039,0,0,0,345,5,0,1,11,0,0,0,93,0,0,414,4,206,0,4,0,8,2,0,68,0,2,2,16,455,102,624
027-040,0,0,0,514,4,0,1,31,0,0,0,182,0,0,666,8,318,2,2,0,36,0,0,102,6,0,0,76,732,224,992
027-041,0,0,0,549,19,0,4,27,0,0,0,183,0,0,700,2,412,0,4,6,16,2,0,122,0,0,0,74,782,224,1114
027-042,0,2,0,573,12,0,0,44,0,0,0,150,0,0,742,8,380,6,0,4,30,0,0,96,0,4,2,62,781,204,1130
027-043,0,0,0,280,5,0,1,3,0,0,0,80,0,0,380,0,180,2,2,0,2,0,0,24,0,0,0,38,369,68,560
027-044,0,0,0,471,8,0,1,25,0,0,0,93,0,0,640,4,346,0,2,0,18,0,0,74,0,0,0,38,598,132,990
027-045,0,0,0,678,13,0,4,33,0,0,0,130,0,0,846,6,536,4,0,2,22,0,0,86,0,2,0,50,858,166,1388
027-046,0,0,0,364,5,0,1,11,0,0,0,67,0,0,508,4,210,2,0,0,12,0,0,32,0,0,0,34,448,80,722
027-047,0,0,0,394,10,0,1,13,0,0,0,134,0,0,278,6,362,0,0,0,4,4,0,20,0,0,0,46,552,74,646
027-048,0,2,0,285,9,0,0,11,0,0,0,20,0,0,412,2,162,0,0,0,6,0,0,4,0,0,0,10,327,20,576
027-049,0,0,0,839,23,0,3,34,0,0,0,199,0,0,1162,6,750,6,12,2,24,0,2,60,0,2,0,66,1098,174,1918
027-050,0,0,0,490,11,0,1,10,0,0,0,38,0,0,560,0,400,0,0,0,10,0,0,18,0,0,0,28,550,56,960
027-051,0,0,0,104,1,0,0,1,0,0,0,5,0,0,196,0,20,0,0,0,2,0,0,2,0,0,0,2,111,6,216
027-052,0,0,0,631,17,0,0,4,0,0,0,14,0,0,880,2,266,0,0,0,4,0,0,0,0,0,0,2,666,6,1148
027-053,0,0,0,490,5,0,0,1,0,0,0,10,0,0,544,0,150,0,0,0,0,0,0,2,0,0,0,0,506,2,694
027-054,0,0,0,153,4,0,0,3,0,0,0,5,0,0,130,0,40,0,0,0,0,2,0,0,0,0,0,2,165,4,170
027-055,0,0,0,260,3,0,0,1,0,0,0,2,0,0,282,0,52,0,0,0,0,0,2,0,0,0,0,0,266,2,334
027-056,0,0,0,301,4,0,0,2,0,0,0,6,0,0,318,0,74,2,0,0,0,0,0,0,0,0,0,0,313,2,392
027-057,0,0,0,453,8,0,0,1,0,0,0,2,0,0,576,0,122,0,0,0,0,0,0,4,0,2,0,0,464,6,698
027-058,0,0,0,165,1,0,0,1,0,0,0,5,0,0,216,0,48,0,0,0,0,0,0,4,0,0,0,0,172,4,264
027-059,0,0,0,203,3,0,0,0,0,0,0,5,0,0,262,0,80,0,0,0,0,0,0,0,0,0,0,2,211,2,342
027-060,0,0,0,308,3,0,0,9,0,0,0,87,0,0,444,0,162,0,0,0,10,2,0,8,0,0,2,10,407,32,606
027-061,0,0,0,169,3,0,2,5,0,0,0,32,0,0,210,4,62,0,0,0,6,0,0,0,0,0,0,0,211,6,276
