precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
FultonSS07B,41,0,22,0,1,7,1,16,1,1,1,13,0,0,0,33,0,23,180,152,97,63,332
FultonSS07C,43,0,26,0,1,9,0,19,0,0,0,24,0,0,0,54,0,40,246,234,147,69,480
FultonSS08A,97,0,59,0,1,7,0,26,0,0,0,15,0,0,0,62,0,67,502,266,178,156,768
FultonSS08B,39,0,14,0,1,4,0,31,1,0,0,31,0,1,0,74,0,37,210,210,180,53,420
FultonSS08C,48,0,30,0,1,2,0,10,1,0,0,8,0,0,0,34,0,27,230,133,83,78,363
FultonSS08D,111,0,52,0,0,7,0,18,0,0,0,22,0,0,0,63,0,50,431,280,160,163,711
FultonSS09A,244,0,66,0,10,21,0,81,0,1,0,154,0,1,0,434,0,251,969,1122,953,310,2091
FultonSS09B,260,1,106,0,7,21,1,91,1,0,1,187,0,1,0,495,1,219,1122,1266,1025,367,2388
FultonSS11A,249,0,194,1,6,14,1,73,1,0,0,76,0,1,0,326,0,146,1383,914,644,444,2297
FultonSS11B,87,0,69,1,1,4,0,25,0,0,0,22,0,0,0,54,0,35,489,224,141,157,713
FultonSS11C,24,0,12,0,0,0,0,3,0,0,0,1,0,0,0,4,0,5,117,33,13,36,150
FultonSS11D,27,0,13,0,1,2,0,10,0,0,0,11,0,0,0,35,0,21,103,130,80,40,233
FultonSS12,195,1,74,0,3,9,0,74,1,0,0,99,0,4,0,346,0,123,896,837,659,270,1733
FultonSS13A,103,0,90,0,4,12,2,51,1,0,0,59,0,0,0,189,0,62,487,462,380,193,949
FultonSS13B,45,0,20,0,1,3,0,22,0,0,0,23,0,0,0,67,0,35,303,237,151,65,540
FultonSS14,98,1,41,0,2,14,0,61,1,0,2,82,0,0,0,196,0,86,390,578,444,140,968
FultonSS15A,168,0,133,1,1,6,0,19,0,0,1,7,0,1,0,48,0,32,974,198,115,302,1172
FultonSS15B,102,1,108,0,0,8,0,35,0,0,0,19,0,0,0,65,0,63,608,308,190,211,916
FultonSS16,148,0,63,0,6,19,1,79,0,0,0,156,0,0,0,382,0,152,655,834,795,211,1489
FultonSS17,219,0,142,0,1,22,0,114,1,0,1,128,0,1,0,340,0,215,1089,1169,823,361,2258
FultonSS18A,45,0,20,0,2,5,0,38,0,0,0,30,0,0,0,100,1,48,226,247,224,65,473
FultonSS18B,23,0,7,0,1,0,0,9,0,0,0,6,0,0,0,20,0,29,78,98,65,30,176
FultonSS19A,218,1,170,1,0,4,0,38,1,0,1,40,0,1,0,122,0,79,1251,447,286,390,1698
FultonSS19B,168,0,108,0,2,5,0,35,2,0,1,54,0,0,0,128,0,61,909,334,288,276,1243
FultonSS20,146,1,83,0,2,5,0,37,1,0,0,36,0,1,0,119,0,53,742,393,254,230,1135
FultonSS22,190,0,125,0,6,16,2,63,1,0,0,73,0,0,0,220,0,133,983,655,514,315,1638
FultonSS25,94,0,55,0,2,10,0,69,0,0,0,76,0,2,0,215,0,137,453,622,511,149,1075
FultonSS26,259,0,210,1,2,4,0,42,0,0,0,19,1,3,0,74,0,46,1478,332,191,470,1810
FultonSS29A,206,4,132,0,4,4,0,91,0,0,1,82,0,1,0,217,0,124,966,681,524,342,1647
FultonSS31,105,0,38,0,3,4,0,21,0,0,0,41,0,0,0,110,0,86,382,333,265,143,715
FultonUC01A,483,0,125,0,0,7,0,13,0,0,0,5,0,0,0,6,0,9,1698,81,40,608,1779
FultonUC01B,42,0,13,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,204,3,3,55,207
FultonUC01E,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2,0,23,71
FultonUC02A,1222,3,293,2,4,22,0,22,0,0,1,5,0,0,0,11,0,41,3879,167,106,1520,4046
FultonUC02B,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,6,4,4,16
FultonUC031,323,2,66,0,1,16,1,50,1,0,1,9,0,0,0,41,0,60,1019,281,180,391,1300
FultonUC032,13,0,4,0,0,0,0,1,0,0,0,0,0,0,0,5,0,4,77,13,10,17,90
GilmerBIG CREEK,34,0,29,0,3,28,0,105,1,0,4,19,0,1,0,75,0,223,152,728,459,63,880
GilmerBOARDTOWN,28,0,31,0,1,31,2,115,1,0,2,10,0,1,0,100,0,237,136,738,500,59,874
GilmerCARTECAY,40,1,33,0,3,20,0,120,1,0,1,14,0,0,0,109,0,281,124,864,549,74,988
GilmerCHERRY LOG,56,1,14,1,1,17,0,58,0,0,0,17,0,0,0,67,0,146,129,458,306,72,587
GilmerEAST ELLIJAY,28,0,35,1,2,27,0,98,0,0,3,22,0,0,0,100,1,244,151,803,497,64,954
GilmerELLIJAY NORTH,26,0,35,2,6,24,0,108,0,1,1,19,0,1,0,82,0,250,154,763,492,63,917
GilmerELLIJAY NORTHEAST,55,0,31,0,2,25,1,127,0,0,1,28,0,2,0,119,0,283,207,951,588,86,1158
GilmerELLIJAY SOUTH,76,0,69,1,3,38,0,159,0,0,2,27,0,3,0,146,0,450,306,1372,828,146,1678
GilmerLEACHES,56,1,50,3,3,44,0,146,3,0,1,36,0,2,0,116,1,371,225,1235,723,110,1460
