precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
CarrollEMC (714BN),85,1,31,0,2,25,0,80,0,0,2,13,0,3,0,67,0,134,268,508,326,117,776
CarrollFAIRFIELD (1540),203,1,81,1,2,72,0,313,0,0,0,59,0,4,0,227,0,450,632,1740,1127,286,2372
CarrollHULETT (1542),48,0,37,2,4,46,1,229,0,0,1,17,0,2,0,111,0,307,191,1158,718,87,1349
CarrollKANSAS (1006),11,1,8,2,1,34,0,79,0,0,2,13,0,0,0,59,0,163,51,602,351,22,653
CarrollLOWELL (1163),23,0,24,0,3,29,0,132,0,0,1,20,0,0,0,71,1,190,107,770,447,47,877
CarrollMT ZION (1240),43,1,36,0,7,37,1,140,0,1,2,19,0,4,0,87,0,241,162,898,539,80,1060
CarrollNEW HOPE (716),44,1,31,0,2,22,1,55,0,0,1,9,0,2,0,36,0,106,225,436,234,76,661
CarrollOAK GROVE (715),60,0,31,0,2,29,0,134,0,0,1,9,0,2,0,96,1,213,191,705,487,91,896
CarrollOLD CAMP CHURCH (714BW),94,0,62,0,6,65,1,184,0,0,0,24,0,2,0,123,0,294,310,1070,699,156,1380
CarrollROOPVILLE (713),37,0,30,0,1,30,0,169,0,0,1,15,0,1,0,92,0,185,146,753,494,67,899
CarrollSANDHILL (1122),149,0,118,1,1,65,1,273,0,0,3,27,1,2,0,152,0,412,578,1634,937,268,2212
CarrollTABERNACLE CHURCH (714A6),98,0,69,1,5,36,0,87,0,0,0,25,0,0,0,109,0,141,321,535,403,168,856
CarrollTEMPLE CITY (650),129,0,76,0,3,35,0,188,0,0,3,5,0,2,0,93,0,295,530,1182,624,205,1712
CarrollTEMPLE COUNTY (649),107,0,53,0,2,54,0,213,0,0,1,15,0,0,0,112,1,454,375,1674,852,160,2049
CarrollTYUS (1533),44,0,37,1,4,39,2,161,0,0,1,27,0,3,0,97,0,199,165,882,533,82,1047
CarrollUNIVERSITY OF W. GA (714A4),70,0,134,0,6,23,1,76,0,0,0,52,0,1,0,194,0,155,896,701,508,204,1597
CarrollV R COUNTY NORTH (641),217,3,96,0,1,55,1,288,0,0,0,15,0,1,0,155,1,415,703,1898,932,316,2601
CarrollV R COUNTY SOUTH (640),68,0,44,1,2,50,0,182,0,0,2,12,0,1,0,121,0,337,299,1183,707,113,1482
CarrollVILLA RICA CITY (642),366,2,142,0,3,73,0,246,1,0,2,13,0,2,0,141,0,368,1403,1673,849,510,3076
CarrollWEST CARROLLTON (714A1),260,1,104,0,3,15,2,32,0,0,0,10,0,0,0,24,0,51,1053,325,137,365,1378
CarrollWHITESBURG (682),59,0,22,1,2,39,1,200,0,0,3,14,0,2,0,88,1,268,150,1007,618,82,1157
CatoosaBLACKSTOCK,34,0,41,1,3,25,0,97,0,0,0,15,0,0,0,80,0,220,143,854,440,76,997
CatoosaBOYNTON,133,1,134,2,4,166,3,381,0,0,4,81,1,1,0,377,0,586,660,2886,1604,270,3546
CatoosaCATOOSA KEITH,44,2,56,0,1,78,0,169,0,0,3,19,0,2,0,145,1,298,214,1246,716,102,1460
CatoosaCHAMBERS,73,1,45,1,3,93,0,193,1,0,1,44,0,0,0,156,0,293,258,1365,784,120,1623
CatoosaFORT OGLETHORPE,116,1,108,5,6,68,0,177,0,0,3,43,0,1,0,190,0,383,486,1765,871,230,2251
CatoosaGRAYSVILLE,101,1,99,1,3,99,1,261,0,0,2,35,0,2,0,230,1,402,442,1950,1036,202,2392
CatoosaLAKEVIEW,71,1,84,0,2,72,0,142,0,0,1,21,0,1,0,116,0,312,372,1421,667,156,1793
CatoosaPOPLAR SPRINGS,100,1,94,1,6,106,3,254,0,0,2,48,0,5,0,254,0,417,384,2123,1095,196,2507
CatoosaRINGGOLD,203,1,184,0,8,176,4,423,0,0,1,85,0,7,0,464,1,681,883,3412,1850,388,4295
CatoosaWESTSIDE,139,2,117,2,8,126,0,241,1,0,4,42,0,2,0,265,0,534,658,2334,1223,260,2992
CatoosaWOODSTATION,74,0,65,0,1,97,0,198,0,0,4,28,0,6,0,157,0,338,271,1520,829,139,1791
CharltonAmerican Legion,11,1,8,1,5,13,1,67,0,0,0,6,0,3,0,49,0,87,42,450,231,21,492
CharltonFolkston,215,2,32,1,3,17,0,78,1,1,1,9,0,0,0,64,0,135,780,644,309,250,1424
CharltonGA Bend,8,1,3,1,2,3,0,14,0,0,1,0,0,0,0,16,0,62,17,272,98,13,289
CharltonHomeland,16,1,6,1,4,12,1,50,0,0,1,4,0,1,0,21,0,76,59,423,170,24,482
CharltonRacepond,0,0,4,0,0,5,0,16,0,0,2,0,0,0,0,12,0,35,12,167,70,4,179
CharltonSt. George,5,2,9,0,2,12,0,36,0,0,1,0,0,0,0,14,0,68,32,393,133,16,425
CharltonWinokur,5,0,6,2,0,6,0,23,0,0,1,0,0,0,0,8,0,45,14,191,83,13,205
Chatham1-01 First Presbyterian Church,380,2,330,2,11,32,2,134,0,0,0,140,0,1,0,255,1,229,1285,917,805,714,2202
Chatham1-13 The Sanctuary,89,1,77,0,1,16,1,96,1,1,2,24,0,2,0,86,0,112,294,476,342,167,770
Chatham1-17 Islands Christian Church,142,0,97,2,8,46,0,218,1,0,1,92,0,2,0,323,0,313,628,1449,1004,241,2077
Chatham2-03 W. W. Law Center,194,2,124,0,0,5,0,12,0,0,0,10,0,0,0,23,0,21,675,108,71,320,783
Chatham3-01 Old Courthouse,49,0,37,0,0,5,0,7,0,0,0,21,0,1,0,41,0,32,168,123,107,86,291
Chatham3-02 Rose of Sharon,178,1,132,0,6,5,0,33,1,0,0,58,0,0,0,105,0,96,614,361,304,311,975
Chatham3-08 Jenkins High School,168,0,64,1,2,10,0,39,1,1,1,11,0,0,0,25,0,46,462,217,136,233,679
Chatham3-10 Bible Baptist Church,482,2,97,3,2,5,1,27,0,0,0,8,0,0,0,18,0,50,1227,200,111,584,1427
Chatham3-15 Eli Whitney Complex,110,0,16,0,3,6,0,36,0,0,1,25,0,0,0,73,0,64,253,265,208,126,518
Chatham4-14 Skidaway Island Methodist Church,116,0,33,0,5,18,0,106,0,0,0,184,1,0,0,273,1,229,405,871,817,149,1276
Chatham4-15 Skidaway Island State Park,119,0,38,0,9,12,0,77,1,0,0,158,1,1,0,276,0,226,435,942,761,157,1377
Chatham5-07 Elks Lodge,201,0,90,0,1,11,0,32,0,0,0,9,0,1,0,31,0,45,689,215,130,291,904
Chatham6-06 The Light,91,0,54,0,6,20,1,49,0,0,0,18,0,0,0,47,0,117,360,398,258,145,758
Chatham6-08 Savannah Commons,257,2,82,1,2,11,0,44,0,1,0,9,0,2,0,46,0,86,808,317,201,342,1125
Chatham7-06 Pooler City Hall,169,1,78,0,7,34,1,139,0,0,2,22,0,3,0,67,0,215,667,900,490,248,1567
Chatham8-01 Civic Center,40,0,50,0,1,2,0,2,0,0,0,7,0,0,0,20,0,20,277,70,52,90,347
Chatham8-12 Beach High School,155,0,27,0,0,2,0,9,0,0,0,4,0,0,0,10,0,16,434,104,41,182,538
ChattahoocheeChattahoochee Acvitity Center,182,1,40,1,4,14,0,89,0,0,0,8,0,1,0,30,0,175,594,751,321,224,1345
ChattoogaALPINE,35,0,23,3,3,13,0,45,0,0,0,7,0,0,0,33,0,133,93,451,234,61,544
ChattoogaCLOUDLAND,19,0,19,0,2,11,0,10,0,0,0,7,0,1,0,13,0,58,58,158,102,38,216
ChattoogaCOLDWATER,25,2,2,1,1,9,0,6,0,0,0,0,0,0,0,4,0,40,53,106,60,30,159
ChattoogaDIRTSELLER,6,0,5,0,0,6,0,10,0,0,0,0,0,0,0,11,0,33,16,106,60,11,122
ChattoogaDIRTTOWN,46,0,20,2,0,21,1,66,0,0,1,4,0,0,0,41,0,107,96,455,241,68,551
ChattoogaHAYWOOD,5,0,4,0,0,8,0,5,0,0,0,3,0,0,0,7,0,18,15,89,41,9,104
ChattoogaLYERLY,34,1,24,2,2,28,0,48,1,1,0,9,0,0,0,26,0,123,94,445,238,61,539
ChattoogaPENNVILLE,14,0,8,0,0,8,0,27,0,0,0,0,0,0,0,13,0,72,48,272,120,22,320
ChattoogaSEMINOLE,3,0,3,0,0,7,0,9,0,0,0,1,0,0,0,3,0,33,5,77,53,6,82
ChattoogaSUBLIGNA,14,1,15,1,0,24,0,32,0,0,0,3,0,2,0,29,0,88,30,295,178,31,325
ChattoogaSUMMERVILLE,252,3,90,3,8,72,0,177,1,0,5,26,0,2,0,187,0,527,759,2099,1005,348,2858
ChattoogaTELOGA,19,0,21,1,2,27,0,44,0,0,0,2,0,0,0,25,0,80,40,320,180,41,360
ChattoogaTRION,96,0,68,1,6,58,0,157,0,0,3,12,0,1,0,131,0,364,306,1589,732,165,1895
CherokeeAIR ACRES,97,1,101,0,5,46,1,212,0,0,0,34,0,3,0,231,0,260,491,1285,792,199,1776
CherokeeARNOLD MILL,126,2,126,0,0,73,2,441,3,1,1,70,0,1,0,394,0,471,618,2184,1457,254,2802
CherokeeAVERY,44,0,52,1,6,57,3,271,0,0,2,47,0,2,0,296,1,396,268,1661,1081,97,1929
CherokeeBALL GROUND,62,0,68,2,3,55,1,314,0,0,0,37,0,1,0,198,0,535,279,1941,1144,132,2220
CherokeeBASCOMB,140,1,153,1,7,60,2,338,1,0,4,62,0,3,0,367,1,415,664,1899,1260,295,2563
CherokeeBELLS,210,0,198,0,4,55,1,246,2,0,1,56,0,4,0,291,0,419,1068,1853,1079,408,2921
CherokeeBOOTH,120,0,85,1,3,38,0,295,0,0,1,103,0,0,0,451,1,425,701,1949,1317,206,2650
CherokeeBRADSHAW,123,1,88,1,5,86,2,391,1,0,1,84,0,5,0,478,0,546,557,2307,1599,213,2864
CherokeeBRIDGEMILL,145,1,107,1,3,67,2,308,3,1,3,105,0,0,0,461,1,615,707,2597,1569,254,3304
CherokeeCANTON,233,1,140,2,10,59,3,322,2,0,1,108,0,2,0,433,0,564,1004,2389,1504,376,3393
CherokeeCARMEL,145,0,151,1,4,38,3,237,1,0,1,37,0,4,0,235,1,297,750,1384,858,297,2134
CherokeeCLAYTON,57,1,34,0,2,51,1,286,1,0,1,31,0,1,0,212,0,427,317,1842,1013,92,2159
CherokeeCONNS CREEK,3,1,11,0,2,13,0,89,0,0,1,8,0,1,0,29,0,113,46,424,256,15,470
CherokeeDEER RUN,106,0,84,0,7,51,0,213,1,0,0,58,0,3,0,280,2,297,490,1407,912,190,1897
CherokeeDIXIE,174,2,160,3,4,69,2,344,4,0,4,53,0,5,0,322,0,435,964,2144,1242,339,3108
CherokeeFREEHOME,94,0,85,0,6,73,1,469,1,1,6,81,0,7,0,450,0,697,525,2851,1792,179,3376
CherokeeHICKORY FLAT,142,1,131,2,4,91,1,456,0,0,1,75,1,4,0,452,0,531,819,2600,1616,276,3419
CherokeeHIGHTOWER,67,1,46,0,5,63,1,317,0,0,2,50,0,5,0,259,0,448,280,1836,1150,114,2116
CherokeeHILLSIDE,106,0,94,0,1,54,3,249,2,0,0,90,0,2,0,390,0,403,498,1722,1194,200,2220
CherokeeHOLLY SPRINGS,43,0,75,0,3,27,2,208,1,0,3,23,0,4,0,155,0,285,292,1224,711,118,1516
CherokeeKELLOGG,133,0,154,0,3,80,3,364,1,0,3,53,0,5,0,278,0,510,758,2060,1300,287,2818
CherokeeLIBERTY,226,0,185,0,8,94,1,467,1,1,1,60,0,2,0,451,0,620,1236,3206,1706,411,4442
CherokeeLITTLE RIVER,289,0,165,0,5,80,0,371,0,2,1,115,0,4,0,572,0,580,1458,2791,1730,454,4249
CherokeeMACEDONIA,89,1,84,1,6,71,1,413,1,0,0,83,0,4,0,438,0,536,523,2437,1553,175,2960
CherokeeMOUNTAIN ROAD,97,0,98,0,2,58,0,266,1,0,4,49,0,3,0,266,1,363,432,1566,1013,195,1998
CherokeeNEESE,256,1,221,0,7,92,4,501,1,0,2,86,0,9,0,510,0,562,1286,2842,1774,478,4128
CherokeeOAK GROVE,104,1,112,3,1,68,1,257,0,0,0,34,0,1,0,210,1,399,458,1624,972,220,2082
CherokeeR M MOORE,33,0,41,0,3,48,2,312,0,0,4,29,0,3,0,202,0,455,227,1708,1058,74,1935
CherokeeR T JONES,49,0,68,0,1,34,0,162,1,0,1,28,1,2,0,153,0,199,362,889,582,117,1251
CherokeeROSECREEK,121,0,128,0,2,68,0,305,2,0,0,75,0,3,0,452,1,495,586,1922,1403,249,2508
CherokeeSALACOA,10,0,7,0,0,10,0,67,0,0,1,5,0,0,0,39,0,96,43,376,218,17,419
CherokeeSIXES,91,3,101,0,3,48,0,280,1,0,1,61,0,3,0,293,0,352,428,1551,1042,195,1979
CherokeeSUTALLEE,34,1,41,1,3,41,3,232,1,0,2,16,0,0,0,164,0,337,204,1305,799,77,1509
CherokeeTEASLEY,152,1,124,2,8,121,2,494,2,0,3,100,0,9,0,501,1,806,939,3464,2047,279,4403
CherokeeTOONIGH,139,1,182,1,8,104,3,479,0,0,2,58,0,2,0,479,0,642,913,2912,1777,323,3825
CherokeeUNION HILL,84,0,87,0,3,64,2,327,0,0,3,67,0,2,0,389,0,551,436,2062,1408,171,2498
CherokeeUNIVETER,105,1,110,1,5,69,1,433,2,0,1,76,0,5,0,384,0,583,502,2654,1559,217,3156
CherokeeVICTORIA,87,2,78,0,2,56,0,222,0,0,0,39,0,6,0,206,0,365,366,1441,896,167,1807
CherokeeWALESKA,83,1,59,1,2,36,1,180,0,0,1,60,0,1,0,214,1,345,353,1260,841,144,1613
CherokeeWILDCAT,74,0,107,0,3,57,1,283,2,0,2,24,0,2,0,197,0,352,387,1531,923,181,1918
CherokeeWOODLANDS,144,1,140,0,1,43,2,223,1,0,3,68,0,3,0,313,1,282,819,1411,940,285,2230
CherokeeWOODSTOCK,207,2,161,0,8,56,3,255,0,0,0,75,0,3,0,380,0,460,1177,2138,1240,370,3315
Clarke1A W'ville Train Depot,277,1,151,1,0,40,1,124,0,0,0,21,0,0,0,105,0,137,937,618,428,430,1555
Clarke1B Gaines School,343,2,234,1,4,47,1,131,1,1,2,42,0,4,0,136,0,142,1271,705,511,580,1976
Clarke1C Whit Davis School,219,1,277,0,6,16,0,73,1,0,3,43,0,2,0,126,0,89,905,500,359,497,1405
Clarke1D Whit Davis School,397,0,289,2,3,24,1,137,1,0,2,55,0,0,0,161,0,154,1192,711,538,688,1903
Clarke2A Judia J. Harris Sch,458,1,167,1,1,12,0,46,0,0,0,5,0,0,0,36,0,64,1559,325,164,627,1884
Clarke2B Howard Stroud School,499,3,352,3,1,14,0,17,1,1,1,12,0,3,0,54,0,27,2038,218,131,857,2256
Clarke3A Clarke Central High,253,1,232,0,0,7,0,10,0,0,1,5,0,0,0,31,1,14,1060,131,69,486,1191
Clarke3B Thomas N. Lay Park,337,0,562,0,1,13,1,36,0,0,0,40,0,2,0,153,0,45,2093,642,291,899,2735
Clarke4A Athens Transit Ctr,98,1,211,0,1,3,0,24,0,0,0,19,0,0,0,53,0,43,726,263,143,310,989
Clarke4B Memorial Park,271,1,617,0,0,27,0,64,1,0,1,59,0,3,0,245,0,86,1972,713,486,889,2685
Clarke5A Oglethorpe School,300,2,373,1,5,23,2,80,0,0,0,46,0,1,0,148,1,138,1262,581,444,676,1843
Clarke5B Whitehead Rd School,371,1,200,1,3,19,0,107,0,0,1,24,0,1,0,107,1,125,1198,500,388,573,1698
Clarke5C Chase Street School,254,0,547,0,0,7,0,14,0,0,0,20,0,0,0,56,0,29,1246,154,126,801,1400
Clarke5D ACC Fleet Mgt Bldg,327,0,140,2,3,14,0,67,1,1,0,14,0,0,0,82,0,74,1110,325,256,469,1435
Clarke6A Cleveland Rd School,280,1,127,1,2,39,1,164,2,1,1,36,0,1,0,160,0,160,947,845,567,409,1792
Clarke6B Ga Square Mall,434,0,248,2,2,42,0,136,0,0,0,57,0,3,0,188,0,186,1387,832,614,684,2219
Clarke6C Timothy Road School,276,0,213,0,7,29,1,123,0,0,1,54,0,2,0,210,1,151,1077,839,579,489,1916
Clarke6D Firestation #4,177,1,207,0,0,13,0,56,0,0,0,25,0,1,0,70,0,55,733,287,220,385,1020
Clarke7A Timothy Road School,281,0,202,1,3,20,0,73,0,1,0,50,1,0,0,191,1,129,1082,692,469,484,1774
Clarke7B Alps Elem. School,247,2,288,1,8,21,2,57,1,0,2,58,0,3,0,205,0,118,1222,704,475,538,1926
Clarke7C Firestation #3,234,0,297,2,2,11,1,60,0,0,0,81,0,4,0,222,0,120,1075,637,501,533,1712
Clarke8A Gaines School,288,3,345,1,6,19,2,85,2,2,0,48,0,1,0,135,1,121,1233,533,422,637,1766
Clarke8B Cedar Shls High Sch,238,0,203,0,3,21,2,50,0,2,2,33,0,0,0,98,0,74,866,372,285,441,1238
Clarke8C Firestation #7,248,0,396,1,3,18,0,88,0,0,2,31,0,7,0,142,0,82,1412,590,373,645,2002
ClayBluffton,26,1,9,0,0,5,0,10,0,0,0,2,0,0,0,12,1,33,78,150,63,36,228
ClayCourthouse,86,0,10,0,1,4,0,6,0,0,0,0,0,0,0,3,0,12,181,41,26,96,222
ClayDay's Cross Roads,53,2,7,2,2,4,1,28,0,0,0,6,0,0,0,17,0,71,117,170,129,64,287
ClayOld Head Start,68,0,9,0,1,6,0,10,0,0,0,4,0,0,0,11,0,42,162,126,74,77,288
ClayZetto,65,0,9,0,1,4,0,10,0,0,1,3,0,0,0,14,0,21,159,79,54,74,238
ClaytonELLENWOOD,1223,0,232,3,1,11,0,36,0,0,0,4,0,1,0,28,0,52,3174,219,133,1458,3393
ClaytonFOREST PARK 1,249,1,63,2,0,17,0,34,0,0,0,2,0,1,0,30,0,81,1014,267,165,315,1281
ClaytonFOREST PARK 2,274,1,70,0,1,15,0,25,0,0,0,8,0,0,0,9,0,51,955,184,109,345,1139
ClaytonFOREST PARK 3,252,1,67,1,2,4,0,20,2,0,0,1,0,0,0,12,0,69,880,222,110,321,1102
ClaytonFOREST PARK 4,176,2,49,0,2,7,0,40,0,0,1,9,0,0,0,39,0,76,573,282,174,227,855
ClaytonFOREST PARK 5,307,0,85,0,0,10,0,45,0,0,0,8,0,1,0,20,0,79,1263,265,163,392,1528
ClaytonFOREST PARK 6,150,0,35,0,1,5,0,31,0,0,0,4,0,0,0,22,0,69,460,209,132,185,669
ClaytonJONESBORO 1,696,1,130,1,1,6,0,31,0,0,0,3,0,0,0,23,0,64,2176,207,128,828,2383
ClaytonJONESBORO 10,314,0,66,0,2,6,0,18,0,1,0,4,0,0,0,18,0,34,1230,158,83,380,1388
ClaytonJONESBORO 11,621,1,135,1,3,25,0,92,0,0,0,17,0,1,0,84,0,116,1662,490,338,758,2152
ClaytonJONESBORO 12,424,1,86,1,0,3,0,11,0,0,0,2,0,0,0,11,0,22,1331,109,49,512,1440
ClaytonJONESBORO 13,346,0,72,0,0,9,0,30,0,0,1,10,0,0,0,25,0,47,950,182,122,418,1132
ClaytonJONESBORO 14,704,1,153,2,4,46,0,142,1,0,1,27,0,1,0,175,0,210,1781,857,607,860,2638
ClaytonJONESBORO 15,232,0,74,2,1,2,0,21,1,0,0,3,0,0,0,15,0,37,1052,129,80,308,1181
ClaytonJONESBORO 16,283,0,66,0,1,6,0,11,0,0,0,2,0,0,0,8,0,34,912,127,62,349,1039
ClaytonJONESBORO 17,682,2,143,0,0,12,0,25,0,0,0,2,0,0,0,10,0,30,2161,165,79,827,2326
ClaytonJONESBORO 18,410,2,117,0,1,11,2,29,1,0,0,8,0,0,0,28,0,46,1345,207,126,529,1552
ClaytonJONESBORO 2,663,0,134,1,1,4,0,11,1,0,0,1,0,0,0,13,0,12,2024,108,43,798,2132
ClaytonJONESBORO 3,622,2,119,0,2,13,1,56,0,0,0,6,0,0,0,49,0,107,1795,386,234,743,2181
ClaytonJONESBORO 4,231,1,58,1,0,6,0,16,0,0,0,4,1,2,0,15,0,56,811,172,100,291,983
ClaytonJONESBORO 5,226,1,90,0,0,14,0,50,0,0,0,11,0,0,0,33,0,80,825,271,188,317,1096
ClaytonJONESBORO 6,368,6,81,1,5,20,1,137,0,0,2,36,0,0,0,154,0,235,846,844,590,456,1690
ClaytonJONESBORO 7,421,1,97,0,2,10,0,55,0,0,1,8,0,0,0,77,0,88,1394,329,241,519,1723
ClaytonJONESBORO 8,397,1,89,2,0,6,0,12,0,0,3,0,0,0,0,9,0,29,1569,115,59,489,1684
ClaytonJONESBORO 9,124,1,40,0,1,7,0,25,0,0,0,3,0,1,0,2,0,25,472,132,64,165,604
ClaytonLAKE CITY,286,1,101,0,2,8,0,27,0,0,0,1,0,0,0,12,0,46,1178,154,96,388,1332
ClaytonLOVEJOY 1,643,0,131,0,0,14,0,47,0,1,0,4,0,1,0,32,0,69,1777,314,168,774,2091
ClaytonLOVEJOY 2,403,1,88,1,1,3,0,30,0,0,0,3,0,0,0,13,0,43,1421,197,93,493,1618
ClaytonLOVEJOY 3,762,0,175,2,5,18,1,79,0,1,0,7,0,1,0,80,0,127,2696,572,319,939,3268
ClaytonLOVEJOY 4,665,1,154,0,1,5,0,23,1,0,1,4,0,1,0,28,1,48,2023,232,113,820,2255
ClaytonLOVEJOY 5,431,0,87,0,1,7,0,18,1,0,0,4,0,0,0,22,0,30,1367,147,83,518,1514
ClaytonMORROW 1,397,0,88,1,1,7,0,23,0,0,0,3,0,1,0,18,0,44,1324,128,97,486,1452
ClaytonMORROW 2,207,1,57,0,4,11,0,51,1,0,1,7,0,0,0,41,0,101,678,338,217,265,1016
ClaytonMORROW 3,571,3,133,2,2,7,0,41,1,0,0,11,0,2,0,27,0,81,1833,338,172,709,2171
ClaytonMORROW 4,225,2,46,2,0,5,0,35,0,0,0,11,0,2,0,31,0,56,731,235,140,275,966
ClaytonMORROW 5,899,0,174,1,0,25,0,65,0,1,2,12,0,0,0,60,0,89,2425,410,254,1074,2835
ClaytonMORROW 6,439,2,106,0,1,16,2,31,2,0,0,6,0,0,0,34,0,68,1215,243,160,547,1458
ClaytonMORROW 7,222,0,72,0,1,2,0,26,0,0,0,3,0,1,0,15,0,46,762,164,94,294,926
ClaytonMORROW 8,552,1,130,0,0,6,0,22,1,0,1,2,0,0,0,20,0,30,1473,115,82,683,1588
ClaytonMORROW 9,223,2,55,0,0,6,1,17,0,0,0,3,0,0,0,14,0,37,614,114,78,280,728
ClaytonOAK 1,316,0,62,0,1,2,1,7,0,0,0,3,0,0,0,0,0,9,1089,36,23,378,1125
ClaytonOAK 2,188,0,38,0,1,2,0,2,0,0,0,1,0,1,0,1,0,9,694,41,17,226,735
ClaytonOAK 3,458,1,100,1,1,7,0,11,0,1,0,1,0,0,0,4,1,11,1696,67,37,560,1763
ClaytonOAK 4,449,1,104,0,0,5,1,10,0,0,0,3,0,1,0,10,0,11,1639,59,41,554,1698
ClaytonPANHANDLE 1,625,2,134,2,2,15,0,45,0,0,0,7,0,0,0,33,0,41,1555,218,143,763,1773
ClaytonPANHANDLE 2,432,5,94,0,2,33,1,72,0,0,0,14,0,1,0,60,0,132,1207,456,315,531,1663
ClaytonRIVERDALE 1,474,1,106,0,0,7,0,11,0,0,0,2,0,0,0,10,0,36,1241,107,66,581,1348
ClaytonRIVERDALE 10,266,1,53,0,0,1,0,6,0,0,0,0,0,0,0,3,0,10,1150,44,20,320,1194
ClaytonRIVERDALE 11,453,1,73,0,0,6,0,9,0,0,0,5,0,0,0,12,0,22,990,60,54,527,1050
ClaytonRIVERDALE 12,508,0,100,1,0,5,0,11,0,0,2,6,0,0,0,10,0,24,1526,115,58,609,1641
ClaytonRIVERDALE 2,498,1,100,2,1,5,0,11,0,0,0,4,0,0,0,11,0,19,1580,77,51,601,1657
ClaytonRIVERDALE 3,574,2,113,1,2,1,0,14,0,0,2,2,0,0,0,11,0,21,1687,87,53,690,1774
ClaytonRIVERDALE 4,536,1,89,0,0,3,1,24,1,0,2,2,0,0,0,26,0,52,1750,193,111,626,1943
ClaytonRIVERDALE 5,493,1,90,1,1,8,0,15,0,0,0,4,0,0,0,15,0,31,1416,108,74,585,1524
ClaytonRIVERDALE 6,279,1,85,1,0,2,1,19,0,0,0,7,0,0,0,15,0,62,1222,197,106,366,1419
ClaytonRIVERDALE 7,181,0,56,1,0,3,0,15,0,0,0,1,0,1,0,15,0,27,901,134,62,238,1035
ClaytonRIVERDALE 8,707,2,118,0,1,4,0,24,0,0,1,5,0,0,0,36,1,52,1474,162,124,827,1636
ClaytonRIVERDALE 9,394,0,94,1,0,7,0,15,1,0,0,2,0,0,0,14,0,31,1231,147,70,489,1378
ClinchArabia,2,0,2,0,1,5,0,6,0,0,0,1,0,0,0,6,0,19,7,59,38,4,66
ClinchArgyle,15,0,3,2,3,8,0,15,0,0,0,1,1,0,0,13,0,38,40,162,79,20,202
ClinchDupont,10,0,4,0,0,1,0,12,0,0,0,1,0,0,0,5,0,29,58,115,48,14,173
ClinchFargo,7,0,5,0,3,7,1,16,0,0,0,2,0,1,0,8,0,65,15,157,103,12,172
ClinchHomerville,133,1,24,2,9,64,1,115,0,1,1,7,0,3,0,79,1,263,566,1234,544,160,1800
CobbAcworth 1A,362,3,194,3,7,69,1,245,0,0,1,60,0,3,0,321,0,384,1368,1722,1091,562,3090
CobbAcworth 1B,240,1,144,1,6,74,1,276,0,0,4,28,0,7,0,252,0,426,1155,1610,1074,386,2765
CobbAcworth 1C,365,1,226,1,1,44,0,147,1,0,2,43,0,1,0,194,0,201,1538,1039,634,593,2577
CobbAddison 01,178,2,122,1,2,30,1,146,0,0,2,58,0,2,0,211,0,257,683,901,709,303,1584
CobbAustell 1A,595,0,174,4,0,14,1,86,0,0,1,8,0,0,0,61,0,139,2002,524,310,773,2526
CobbBaker 01,333,1,230,0,5,42,2,214,2,0,4,36,0,3,0,247,0,283,1470,1260,838,564,2730
CobbBells Ferry 02,206,3,157,0,3,38,1,200,1,0,0,44,0,2,0,190,0,274,797,1043,753,366,1840
CobbBells Ferry 03,292,0,309,1,3,74,1,371,2,0,3,69,0,3,0,374,2,459,1362,2110,1361,602,3472
CobbBig Shanty 01,109,1,174,0,2,37,1,124,2,0,0,45,0,1,0,186,0,241,667,890,639,284,1557
CobbBig Shanty 02,223,0,132,0,2,41,1,186,2,0,2,60,0,1,0,303,0,280,805,1186,878,355,1991
CobbBirney 01,198,0,103,0,6,13,0,111,1,0,1,19,0,0,0,88,0,171,904,558,410,301,1462
CobbBirney 02,442,0,183,0,3,29,0,144,1,0,1,58,0,0,0,173,1,205,1448,922,615,625,2370
CobbBlackwell 01,183,2,124,0,0,38,0,145,0,1,1,43,1,2,0,171,0,219,769,876,621,309,1645
CobbBryant 01,459,0,100,0,0,3,0,11,0,1,0,8,0,0,0,20,0,17,1197,74,60,559,1271
CobbBryant 02,659,1,205,0,0,7,1,25,0,0,2,7,0,1,0,18,0,25,2457,141,86,865,2598
CobbChalker 01,257,0,271,1,8,40,0,201,0,0,1,58,0,3,0,244,0,277,1474,1286,832,529,2760
CobbChattahoochee 01,355,0,334,1,3,15,0,88,0,0,0,44,0,3,0,191,0,109,2149,785,453,690,2934
CobbCheatham Hill 02,171,2,81,0,4,41,2,216,2,0,0,72,0,2,0,345,0,286,704,1301,970,254,2005
CobbCheatham Hill 03,337,2,172,1,10,49,3,267,0,0,1,73,0,3,0,382,0,362,1119,1509,1150,512,2628
CobbChestnut Ridge 01,179,0,137,1,8,32,2,229,0,0,2,126,1,0,0,497,1,325,812,1412,1223,317,2224
