,county,precinct,office,district,candidate,party,election_day,early_voting,provisional,votes
5267,Yavapai,234,PROPOSITION 205,,Overvote,,5,1,0,6
5268,Yavapai,234,PROPOSITION 205,,Undervote,,292,35,2,329
5269,Yavapai,234,PROPOSITION 205,,TotalVotes,,6013,847,24,6884
5270,Yavapai,234,PROPOSITION 206,,Overvote,,3,0,0,3
5271,Yavapai,234,PROPOSITION 206,,Undervote,,335,42,2,379
5272,Yavapai,234,PROPOSITION 206,,TotalVotes,,5972,841,24,6837
5273,Yavapai,235,President,,Overvote,,3,2,0,5
5274,Yavapai,235,President,,Undervote,,39,5,0,44
5275,Yavapai,235,President,,TotalVotes,,3061,549,11,3621
5276,Yavapai,235,U.S. Senate,,Overvote,,1,1,0,2
5277,Yavapai,235,U.S. Senate,,Undervote,,140,19,1,160
5278,Yavapai,235,U.S. Senate,,TotalVotes,,2962,536,10,3508
5279,Yavapai,235,U.S. REP IN CONGRESS - DIST. 4,,Overvote,,0,0,0,0
5280,Yavapai,235,U.S. REP IN CONGRESS - DIST. 4,,Undervote,,180,29,2,211
5281,Yavapai,235,U.S. REP IN CONGRESS - DIST. 4,,TotalVotes,,2923,527,9,3459
5282,Yavapai,235,STATE SENATOR - DIST. 1,,Overvote,,1,0,0,1
5283,Yavapai,235,STATE SENATOR - DIST. 1,,Undervote,,780,100,4,884
5284,Yavapai,235,STATE SENATOR - DIST. 1,,TotalVotes,,2321,456,7,2784
5285,Yavapai,235,STATE REP - DIST. 1,,Overvote,,2,2,0,4
5286,Yavapai,235,STATE REP - DIST. 1,,Undervote,,1179,280,9,1468
5287,Yavapai,235,STATE REP - DIST. 1,,TotalVotes,,5023,830,13,5866
5288,Yavapai,235,CORPORATION COMMISSIONER,,Overvote,,3,0,0,3
5289,Yavapai,235,CORPORATION COMMISSIONER,,Undervote,,2165,420,14,2599
5290,Yavapai,235,CORPORATION COMMISSIONER,,TotalVotes,,7138,1248,19,8405
5291,Yavapai,235,BOARD OF SUPERVISORS - DIST. 4,,Overvote,,0,0,0,0
5292,Yavapai,235,BOARD OF SUPERVISORS - DIST. 4,,Undervote,,989,150,4,1143
