county,precinct,office,district,party,candidate,votes
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Over Votes,0
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Richard C. Shelby,822
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Shadrack McGill,10
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Under Votes,113
Autauga,110 CENTRAL AL ELECTRIC,President,,DEM,Bernie Sanders,6
Autauga,110 CENTRAL AL ELECTRIC,President,,DEM,Hillary Clinton,120
Autauga,110 CENTRAL AL ELECTRIC,President,,DEM,Martin J. O'Malley,0
Autauga,110 CENTRAL AL ELECTRIC,President,,DEM,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,President,,DEM,"Roque ""Rocky"" De La Fuente",1
Autauga,110 CENTRAL AL ELECTRIC,President,,DEM,Uncommitted,1
Autauga,110 CENTRAL AL ELECTRIC,President,,DEM,Under Votes,2
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Ben Carson,10
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Carly Fiorina,0
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Chris Christie,0
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Donald J. Trump,46
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Jeb Bush,1
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,John R. Kasich,4
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Lindsey Graham,0
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Marco Rubio,8
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Mike Huckabee,0
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Rand Paul,0
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Rick Santorum,0
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Ted Cruz,16
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Uncommitted,0
Autauga,110 CENTRAL AL ELECTRIC,President,,REP,Under Votes,1
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,REP,Becky Gerritson,22
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,REP,Martha Roby,51
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,REP,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,REP,"Robert L. ""Bob"" Rogers",7
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,REP,Under Votes,6
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,DEM,Charles Nana,54
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,DEM,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,DEM,Ron Crumpton,26
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,DEM,Under Votes,50
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,REP,John Martin,2
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,REP,Jonathan McConnell,20
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,REP,Marcus Bowman,1
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,REP,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,REP,Richard C. Shelby,59
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,REP,Shadrack McGill,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,REP,Under Votes,4
Autauga,130 CHAMBER OF COMMERCE,President,,DEM,Bernie Sanders,51
Autauga,130 CHAMBER OF COMMERCE,President,,DEM,Hillary Clinton,334
Autauga,130 CHAMBER OF COMMERCE,President,,DEM,Martin J. O'Malley,0
Autauga,130 CHAMBER OF COMMERCE,President,,DEM,Over Votes,1
Autauga,130 CHAMBER OF COMMERCE,President,,DEM,"Roque ""Rocky"" De La Fuente",0
Autauga,130 CHAMBER OF COMMERCE,President,,DEM,Uncommitted,5
Autauga,130 CHAMBER OF COMMERCE,President,,DEM,Under Votes,1
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Ben Carson,115
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Carly Fiorina,0
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Chris Christie,0
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Donald J. Trump,299
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Jeb Bush,1
Autauga,130 CHAMBER OF COMMERCE,President,,REP,John R. Kasich,24
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Lindsey Graham,0
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Marco Rubio,76
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Mike Huckabee,2
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Over Votes,1
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Rand Paul,1
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Rick Santorum,0
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Ted Cruz,115
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Uncommitted,5
Autauga,130 CHAMBER OF COMMERCE,President,,REP,Under Votes,2
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,REP,Becky Gerritson,255
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,REP,Martha Roby,311
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,REP,Over Votes,0
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,REP,"Robert L. ""Bob"" Rogers",36
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,REP,Under Votes,39
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,DEM,Charles Nana,158
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,DEM,Over Votes,0
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,DEM,Ron Crumpton,132
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,DEM,Under Votes,102
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,REP,John Martin,18
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,REP,Jonathan McConnell,171
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,REP,Marcus Bowman,19
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,REP,Over Votes,0
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,REP,Richard C. Shelby,371
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,REP,Shadrack McGill,10
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,REP,Under Votes,52
Autauga,140 AUTAUGAVILLE VFD,President,,DEM,Bernie Sanders,15
Autauga,140 AUTAUGAVILLE VFD,President,,DEM,Hillary Clinton,223
Autauga,140 AUTAUGAVILLE VFD,President,,DEM,Martin J. O'Malley,0
Autauga,140 AUTAUGAVILLE VFD,President,,DEM,Over Votes,1
Autauga,140 AUTAUGAVILLE VFD,President,,DEM,"Roque ""Rocky"" De La Fuente",1
Autauga,140 AUTAUGAVILLE VFD,President,,DEM,Uncommitted,3
Autauga,140 AUTAUGAVILLE VFD,President,,DEM,Under Votes,3
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Ben Carson,30
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Carly Fiorina,0
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Chris Christie,0
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Donald J. Trump,103
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Jeb Bush,4
Autauga,140 AUTAUGAVILLE VFD,President,,REP,John R. Kasich,9
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Lindsey Graham,0
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Marco Rubio,25
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Mike Huckabee,0
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Rand Paul,0
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Rick Santorum,0
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Ted Cruz,49
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Uncommitted,1
Autauga,140 AUTAUGAVILLE VFD,President,,REP,Under Votes,2
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,REP,Becky Gerritson,64
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,REP,Martha Roby,132
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,REP,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,REP,"Robert L. ""Bob"" Rogers",9
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,REP,Under Votes,18
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,DEM,Charles Nana,93
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,DEM,Over Votes,1
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,DEM,Ron Crumpton,83
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,DEM,Under Votes,69
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,REP,John Martin,9
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,REP,Jonathan McConnell,42
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,REP,Marcus Bowman,3
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,REP,Over Votes,1
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,REP,Richard C. Shelby,152
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,REP,Shadrack McGill,0
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,REP,Under Votes,16
Autauga,150 PRATTMONT BAPTIST CH,President,,DEM,Bernie Sanders,29
Autauga,150 PRATTMONT BAPTIST CH,President,,DEM,Hillary Clinton,83
Autauga,150 PRATTMONT BAPTIST CH,President,,DEM,Martin J. O'Malley,1
Autauga,150 PRATTMONT BAPTIST CH,President,,DEM,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,President,,DEM,"Roque ""Rocky"" De La Fuente",0
