precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_WILLIAMS
DODGETOWN OF BURNETT WARD 1-2,40,0,0,72,0,1,2,135,0,0,0,32,0,2,0,98,0
DODGETOWN OF CALAMUS WARD 1-2,73,0,1,76,0,0,0,109,0,1,0,35,0,1,0,91,0
DODGETOWN OF CHESTER WARD 1-2,32,0,1,46,0,1,1,98,0,0,0,24,0,0,0,63,0
DODGETOWN OF EMMET WARD 1-2,72,0,0,64,0,2,1,242,0,0,0,59,0,4,0,134,0
DODGETOWN OF FOX LAKE WARD 1-4,79,0,0,77,3,0,0,183,0,0,0,45,1,3,1,150,0
DODGETOWN OF HUBBARD WARD 1-4,112,0,0,120,2,2,0,258,0,0,0,66,1,2,0,186,0
DODGETOWN OF HUBBARD WARD 5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DODGETOWN OF HUSTISFORD WARD 1-2,52,0,0,91,1,4,0,271,0,0,0,37,1,4,0,131,0
DODGETOWN OF LEBANON WARD 1-2,65,0,1,84,0,4,0,260,0,0,0,59,0,5,0,150,0
DODGETOWN OF LEROY WARD 1-2,40,0,1,51,0,1,0,163,0,0,0,35,1,1,0,100,0
DODGETOWN OF LOWELL WARD 1-4,47,0,0,82,1,0,0,139,0,0,1,43,0,2,1,110,0
DODGETOWN OF OAK GROVE WARD 1-2,58,0,0,85,0,1,0,137,1,0,0,37,0,1,0,94,0
DODGETOWN OF OAK GROVE WARD 3-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DODGETOWN OF PORTLAND WARD 1-2,68,0,0,103,0,1,0,137,0,0,1,38,0,2,0,68,0
DODGETOWN OF RUBICON WARD 1-3,78,0,0,121,1,2,1,485,1,0,0,80,1,8,0,184,0
"DODGETOWN OF THERESA WARD 1,3-7",13,0,0,25,0,1,0,99,0,0,0,11,1,1,0,35,0
DODGETOWN OF TRENTON WARD 1-2,58,0,0,76,0,2,0,180,0,0,2,70,0,1,0,122,0
"DODGETOWN OF WESTFORD WARD 1-2,4",79,0,0,114,1,0,1,141,0,0,1,48,0,1,1,151,0
DODGETOWN OF WILLIAMSTOWN WARD 1-3,35,0,0,57,0,1,0,153,0,0,0,27,1,2,0,68,0
DODGEVILLAGE OF HUSTISFORD WARD 1-2,53,0,0,73,2,5,2,140,0,0,0,19,0,2,0,101,0
DODGEVILLAGE OF RANDOLPH WARD 1-2,52,0,1,92,0,3,0,163,0,0,0,38,1,3,1,73,0
DODGEVILLAGE OF THERESA WARD 1-3,61,0,0,100,2,5,1,209,1,0,0,41,1,1,0,100,0
"DOORCITY OF STURGEON BAY WARDS 1-2,29",106,0,1,165,2,1,0,69,0,0,2,17,0,1,1,76,0
DOORCITY OF STURGEON BAY WARDS 11-12,102,0,1,128,0,1,1,98,1,0,1,20,1,1,0,86,0
DOORCITY OF STURGEON BAY WARDS 13-14,158,0,2,136,0,2,0,113,0,0,0,46,0,2,0,102,0
"DOORCITY OF STURGEON BAY WARDS 15-17,28",15,0,0,5,2,0,0,6,0,0,1,4,0,1,1,6,0
"DOORCITY OF STURGEON BAY WARDS 18-19,25-26,30",14,0,0,18,0,0,0,10,0,0,1,4,0,0,0,14,0
DOORCITY OF STURGEON BAY WARDS 20-21,3,0,0,16,0,0,0,11,0,0,0,3,0,1,0,12,0
DOORCITY OF STURGEON BAY WARDS 3-4,125,0,0,203,2,2,1,140,0,0,1,59,3,7,0,98,0
"DOORCITY OF STURGEON BAY WARDS 5-6,22-24",138,0,0,140,3,0,0,157,1,0,2,62,1,4,0,128,0
DOORCITY OF STURGEON BAY WARDS 7-8,93,0,0,109,2,0,1,77,0,0,1,32,0,3,0,80,0
"DOORCITY OF STURGEON BAY WARDS 9-10,27",117,0,1,161,1,0,0,120,0,0,2,27,1,4,0,112,0
DOORTOWN OF BAILEYS HARBOR WARD 1,74,0,0,73,0,1,0,60,0,0,0,18,0,1,0,53,0
DOORTOWN OF BAILEYS HARBOR WARD 2,89,0,0,108,0,0,0,81,0,0,0,28,0,2,0,62,0
DOORTOWN OF BRUSSELS WARD 1,23,0,0,40,1,0,0,42,0,0,0,8,0,0,0,48,0
DOORTOWN OF BRUSSELS WARD 2,68,0,0,58,2,1,0,89,1,0,0,9,0,6,0,80,0
DOORTOWN OF EGG HARBOR WARD 1,81,0,1,96,2,3,0,84,0,0,0,44,0,1,0,110,0
DOORTOWN OF EGG HARBOR WARD 2,52,0,0,44,0,2,0,43,0,0,1,20,0,3,0,36,0
DOORTOWN OF EGG HARBOR WARD 3,4,0,0,3,0,0,0,9,0,0,0,0,0,0,0,4,0
DOORTOWN OF FORESTVILLE WARD 1,32,0,0,58,0,1,0,69,0,0,0,17,0,2,1,55,0
DOORTOWN OF FORESTVILLE WARD 2,31,0,0,42,1,2,0,61,0,0,0,7,1,0,1,49,0
DOORTOWN OF GARDNER WARD 1,57,0,0,50,0,0,1,68,0,0,0,22,0,1,1,114,0
DOORTOWN OF GARDNER WARD 2,44,0,0,55,0,1,0,53,0,0,2,10,0,2,0,72,0
DOORTOWN OF JACKSONPORT WARD 1,49,0,0,60,1,0,0,64,0,0,0,23,0,2,0,53,0
DOORTOWN OF JACKSONPORT WARD 2,32,0,0,34,1,1,0,36,0,0,0,14,0,0,1,44,0
DOORTOWN OF LIBERTY GROVE WARD 1,96,0,1,117,2,3,0,85,0,0,0,24,0,2,0,83,0
DOORTOWN OF LIBERTY GROVE WARD 2,70,0,1,70,0,1,0,61,0,0,1,26,0,0,0,64,0
DOORTOWN OF LIBERTY GROVE WARD 3,122,0,0,109,0,1,0,57,0,0,0,41,0,4,0,56,0
DOORTOWN OF NASEWAUPEE WARD 1,69,0,0,97,0,2,0,109,0,0,0,34,2,1,0,105,0
DOORTOWN OF NASEWAUPEE WARD 2,32,0,0,67,0,1,0,53,0,0,0,13,0,1,0,56,0
DOORTOWN OF NASEWAUPEE WARD 3,43,0,0,64,0,0,0,77,0,0,2,15,1,2,0,90,0
DOORTOWN OF SEVASTOPOL WARD 2,21,0,0,23,0,0,0,41,0,0,0,33,0,2,0,38,0
"DOORTOWN OF SEVASTOPOL WARDS 1,5",163,0,0,157,0,1,0,190,0,0,0,57,0,6,0,136,0
DOORTOWN OF SEVASTOPOL WARDS 3-4,113,0,0,122,0,1,0,152,0,0,0,47,2,6,1,142,0
DOORTOWN OF STURGEON BAY WARD 1,34,0,0,46,0,0,0,57,0,0,0,21,0,2,0,47,0
DOORTOWN OF STURGEON BAY WARD 2,40,0,0,42,0,0,0,52,0,0,0,7,0,2,0,50,0
"DOUGLASCITY OF SUPERIOR WARD 1-3,7-8",474,0,3,595,3,9,1,203,1,0,1,114,3,12,1,405,0
"DOUGLASCITY OF SUPERIOR WARD 13-16,20-22",463,0,6,585,3,7,0,192,2,0,1,104,2,12,1,324,0
"DOUGLASCITY OF SUPERIOR WARD 17-19,30-32",247,0,1,420,1,4,1,113,1,0,0,18,0,5,0,168,0
DOUGLASCITY OF SUPERIOR WARD 23-29,418,0,4,505,2,4,1,202,0,0,1,95,1,10,0,405,0
"DOUGLASCITY OF SUPERIOR WARD 4-6,9-12",419,0,2,517,2,8,0,234,0,0,1,83,1,7,0,369,0
DUNNCITY OF MENOMONIE WARD 1,155,0,2,155,0,2,0,110,0,0,3,44,1,2,0,91,0
DUNNCITY OF MENOMONIE WARD 10,125,0,1,222,2,3,1,98,0,0,1,27,0,3,0,73,0
DUNNCITY OF MENOMONIE WARD 11,105,0,0,148,0,3,1,117,1,1,1,52,1,4,0,77,0
DUNNCITY OF MENOMONIE WARD 2,110,0,0,131,2,3,0,102,0,0,1,39,1,1,0,95,0
DUNNCITY OF MENOMONIE WARD 3,47,0,0,262,1,2,1,61,0,0,0,10,0,0,0,50,0
DUNNCITY OF MENOMONIE WARD 4,19,0,0,163,0,1,0,33,0,0,0,11,1,0,0,25,0
DUNNCITY OF MENOMONIE WARD 5,23,0,2,288,0,1,0,59,0,0,0,17,0,0,0,57,0
DUNNCITY OF MENOMONIE WARD 7,20,0,0,228,3,0,0,57,0,0,0,13,0,0,0,51,0
DUNNCITY OF MENOMONIE WARD 8,66,0,0,128,1,1,0,57,0,0,0,13,0,0,0,58,0
DUNNCITY OF MENOMONIE WARD 9,79,0,0,162,3,2,0,85,0,0,0,22,1,1,0,77,0
DUNNTOWN OF DUNN WARD 1-2,92,0,0,145,1,0,0,124,0,0,0,23,0,2,0,107,0
EAU CLAIRECITY OF ALTOONA WARD 1,73,0,0,110,2,0,1,75,0,0,1,26,0,4,0,69,0
EAU CLAIRECITY OF ALTOONA WARDS 2-3,67,0,0,134,2,0,0,88,0,0,0,21,1,1,0,65,0
EAU CLAIRECITY OF ALTOONA WARDS 4-5,119,0,0,154,0,3,0,85,0,0,1,35,0,2,0,93,0
EAU CLAIRECITY OF ALTOONA WARDS 6-11,316,0,0,430,3,3,1,328,0,0,2,114,3,7,2,265,0
FOND DU LACTOWN OF CALUMET WARDS 1-2,94,0,0,101,0,3,1,223,0,0,0,37,0,4,0,155,0
FOND DU LACTOWN OF ROSENDALE WARD 2,23,0,0,66,0,0,0,132,0,0,0,17,0,2,0,66,0
FORESTCITY OF CRANDON WARD 1,20,0,0,35,0,0,0,18,0,0,0,6,0,2,1,52,0
FORESTCITY OF CRANDON WARD 2,21,0,0,32,0,1,1,18,0,0,0,4,0,0,1,41,0
FORESTCITY OF CRANDON WARD 3,19,0,0,25,0,0,1,36,0,0,0,13,0,0,0,42,0
FORESTCITY OF CRANDON WARD 4,31,0,0,28,0,2,0,46,0,0,1,9,0,3,2,38,0
FORESTTOWN OF ARGONNE WARD 1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0
FORESTTOWN OF ARGONNE WARD 2,20,0,0,21,2,0,0,19,0,0,0,11,0,4,0,72,0
FORESTTOWN OF ARGONNE WARD 3,5,0,0,6,0,0,0,6,0,0,0,0,0,1,0,7,0
FORESTTOWN OF CRANDON WARD 1,31,0,0,37,0,0,0,27,0,0,1,5,0,2,0,68,0
FORESTTOWN OF CRANDON WARD 2,12,0,0,7,0,0,0,8,0,0,0,0,0,0,0,13,0
FORESTTOWN OF CRANDON WARD 3,3,0,0,2,0,1,0,4,0,0,0,0,0,0,0,6,0
FORESTTOWN OF LAONA WARD 1,42,0,0,32,1,0,0,17,0,0,1,6,0,2,0,46,0
FORESTTOWN OF LAONA WARD 2,34,0,0,18,0,2,0,15,0,0,0,8,1,0,0,47,0
FORESTTOWN OF LAONA WARD 3,17,0,0,29,0,0,0,22,0,0,0,2,0,1,0,64,0
FORESTTOWN OF LINCOLN WARD 1,54,0,1,27,0,0,0,71,0,0,0,18,0,1,0,70,0
FORESTTOWN OF LINCOLN WARD 2,7,0,0,6,0,0,0,5,0,0,0,2,0,0,0,7,0
FORESTTOWN OF LINCOLN WARD 3,14,0,1,38,0,0,0,10,0,0,0,4,0,1,0,39,1
FORESTTOWN OF WABENO WARD 1,24,0,0,39,0,0,0,23,0,0,0,3,1,2,0,49,0
FORESTTOWN OF WABENO WARD 2,5,0,0,5,0,2,0,3,0,0,0,1,0,1,1,10,0
FORESTTOWN OF WABENO WARD 3,9,0,0,9,0,1,0,14,0,0,0,0,0,0,0,7,0
FORESTTOWN OF WABENO WARD 4,18,0,0,55,0,0,0,32,0,0,0,3,0,1,0,26,0
FORESTTOWN OF WABENO WARD 5,5,0,0,3,0,0,0,4,0,0,0,2,0,0,0,5,0
GRANTCITY OF FENNIMORE WARDS 1-4,152,0,1,181,1,0,0,164,0,0,1,68,1,1,0,163,0
GRANTTOWN OF HAZEL GREEN WARDS 1-2,180,0,0,64,1,0,0,83,0,0,0,47,0,5,0,84,0
GRANTTOWN OF NORTH LANCASTER WARD 1-2,17,0,1,35,0,0,0,29,0,1,0,27,0,2,0,46,0
GREEN LAKECITY OF BERLIN WARDS 1-6,243,0,1,303,5,6,2,449,1,1,1,74,0,8,1,379,0
GREEN LAKETOWN OF BERLIN WARDS 1-3,60,0,2,61,1,2,0,180,0,0,0,38,2,1,0,164,0
GREENCITY OF BRODHEAD WARD 1,34,0,0,51,0,1,0,27,0,0,0,15,0,0,0,37,0
GREENCITY OF BRODHEAD WARD 2,20,0,0,56,1,1,0,34,0,0,1,22,1,0,0,41,0
GREENCITY OF BRODHEAD WARD 3,30,0,0,61,0,0,0,32,0,0,0,13,1,1,0,38,0
GREENCITY OF BRODHEAD WARD 4,22,0,0,55,0,1,0,15,0,0,2,14,0,0,0,43,0
GREENCITY OF BRODHEAD WARD 5,32,0,0,57,2,2,0,21,0,0,0,12,0,0,0,51,0
GREENCITY OF BRODHEAD WARD 6,22,0,0,49,0,1,0,20,0,0,0,17,1,1,0,43,0
GREENCITY OF MONROE WARD 1,79,0,0,96,1,4,0,71,1,0,0,52,1,2,0,70,0
GREENCITY OF MONROE WARD 2,84,0,0,132,1,2,0,71,0,0,0,43,0,2,0,77,0
GREENCITY OF MONROE WARD 3,93,0,0,145,2,1,0,77,0,0,1,97,0,3,0,103,0
GREENCITY OF MONROE WARD 4,77,0,0,132,1,0,0,66,0,0,0,30,1,0,0,64,0
GREENCITY OF MONROE WARD 5,82,0,0,106,1,6,0,70,0,0,0,47,2,1,0,77,0
GREENCITY OF MONROE WARD 6,74,0,1,90,1,0,0,52,0,0,0,25,1,1,0,72,0
GREENCITY OF MONROE WARD 7,76,0,0,131,0,2,0,42,1,0,0,32,0,3,0,70,0
GREENCITY OF MONROE WARD 8,105,0,0,134,0,1,0,90,0,1,2,53,0,1,0,92,0
GREENCITY OF MONROE WARD 9,76,0,0,75,1,0,0,31,0,0,1,21,0,1,1,57,0
GREENTOWN OF BROOKLYN WARD 1,71,0,0,114,0,0,0,63,0,0,0,38,0,1,0,64,0
GREENTOWN OF BROOKLYN WARD 2,20,0,0,25,0,1,0,19,0,0,0,12,0,0,0,12,0
GREENTOWN OF BROOKLYN WARD 3,25,0,0,28,0,0,0,12,0,0,1,9,1,1,0,9,0
GREENTOWN OF DECATUR WARD 3,33,0,0,45,0,1,0,43,1,0,1,26,1,2,0,46,0
GREENTOWN OF DECATUR WARDS 1-2,98,0,0,111,2,2,0,101,0,0,0,70,1,0,2,123,0
GREENTOWN OF EXETER WARD 1,64,0,0,102,0,1,0,56,0,0,0,23,1,2,0,38,0
GREENTOWN OF EXETER WARD 4,22,0,0,47,0,0,0,15,0,0,0,10,0,1,0,17,0
GREENTOWN OF EXETER WARDS 2-3,97,0,0,172,2,0,0,59,0,0,0,33,0,3,0,57,0
GREENTOWN OF MOUNT PLEASANT WARD 3,20,0,0,29,0,0,0,16,0,0,0,10,0,0,1,21,0
GREENTOWN OF MOUNT PLEASANT WARDS 1-2,37,0,1,58,0,2,1,25,1,0,0,19,0,0,0,32,0
GREENTOWN OF NEW GLARUS WARD 1,88,0,0,128,1,1,0,96,0,0,0,80,0,1,0,63,0
GREENTOWN OF NEW GLARUS WARD 2,40,0,0,53,0,1,0,41,0,0,0,24,0,0,0,29,0
GREENVILLAGE OF NEW GLARUS WARDS 1-2,103,0,1,191,2,1,0,54,0,0,0,42,1,1,0,51,0
GREENVILLAGE OF NEW GLARUS WARDS 3-4,121,0,0,199,0,1,0,72,0,0,0,31,1,0,0,58,0
IOWACITY OF MINERAL POINT WARD 1,71,0,0,98,1,1,0,42,0,0,1,29,0,0,0,46,0
IOWACITY OF MINERAL POINT WARD 2,66,0,0,79,2,1,0,43,0,0,0,28,0,0,0,36,0
IOWACITY OF MINERAL POINT WARD 3-4,81,0,0,91,1,0,0,24,0,0,0,29,0,1,0,35,0
IOWACITY OF MINERAL POINT WARD 5-6,92,0,0,94,0,2,0,32,0,0,0,15,1,2,0,36,0
IOWATOWN OF DODGEVILLE WARD 1-4,169,0,2,235,1,9,0,121,0,0,0,70,1,3,0,163,0
IRONCITY OF HURLEY WARDS 1-4,104,0,4,127,0,2,0,49,0,0,0,19,2,7,0,174,0
"JACKSONTOWN OF ALMA WARDS 1,4",12,0,0,30,0,0,1,24,0,0,0,7,0,0,0,43,0
"JACKSONTOWN OF ALMA WARDS 2-3,5",38,0,0,65,1,1,0,60,0,0,0,18,1,1,1,72,0
JEFFERSONCITY OF FORT ATKINSON WARD 8,102,0,0,135,5,1,1,105,0,0,3,32,3,8,0,100,0
JEFFERSONCITY OF FORT ATKINSON WARDS 1-2,213,0,0,329,3,3,1,236,0,0,2,94,3,5,1,186,0
JEFFERSONCITY OF FORT ATKINSON WARDS 3-4,214,0,0,280,3,1,0,193,0,0,0,95,1,3,0,175,0
JEFFERSONCITY OF FORT ATKINSON WARDS 5-6,161,0,1,218,3,1,0,179,0,0,1,61,1,3,0,102,0
"JEFFERSONCITY OF FORT ATKINSON WARDS 7,9",179,0,2,279,1,2,1,185,0,2,2,77,2,3,0,152,0
JEFFERSONCITY OF JEFFERSON WARD 10,49,0,0,89,0,0,0,63,0,0,0,25,0,1,0,41,0
JEFFERSONCITY OF JEFFERSON WARD 5,46,0,0,59,0,1,0,52,0,0,1,19,0,1,0,50,0
JEFFERSONCITY OF JEFFERSON WARDS 1-2,142,0,0,177,0,0,0,181,0,0,0,53,0,2,0,134,0
"JEFFERSONCITY OF JEFFERSON WARDS 3-4,11",94,0,0,163,1,1,0,143,0,0,0,52,0,1,0,112,0
JEFFERSONCITY OF JEFFERSON WARDS 6-7,75,0,1,79,1,0,0,79,0,0,0,40,0,1,0,53,0
JEFFERSONCITY OF JEFFERSON WARDS 8-9,65,0,1,93,2,0,1,53,0,0,0,20,2,3,0,58,0
JEFFERSONCITY OF LAKE MILLS WARD 3,101,0,0,143,0,1,0,108,1,0,1,53,1,1,0,57,0
JEFFERSONCITY OF LAKE MILLS WARD 4,59,0,0,118,1,0,0,84,1,0,0,14,2,1,0,47,0
"JEFFERSONCITY OF LAKE MILLS WARDS 1,5,8",135,0,1,266,1,3,0,147,1,0,0,57,3,6,1,124,0
"JEFFERSONCITY OF LAKE MILLS WARDS 2,6-7",141,0,1,258,1,4,0,213,0,0,0,85,1,5,0,130,0
"JEFFERSONCITY OF WATERTOWN WARDS 8,19",50,0,0,39,0,0,0,89,0,0,0,10,0,0,0,43,0
JEFFERSONTOWN OF AZTALAN WARD 1-2,105,0,0,145,0,0,1,156,0,0,0,51,2,0,0,131,0
JEFFERSONTOWN OF CONCORD WARD 1-3,94,0,2,140,3,4,0,398,0,0,0,51,1,6,0,185,0
JEFFERSONTOWN OF FARMINGTON WARD 1-2,73,0,0,108,2,3,0,243,0,0,0,40,0,4,0,168,0
JEFFERSONTOWN OF HEBRON WARD 1-2,53,0,0,104,1,0,1,153,0,0,0,33,0,2,0,105,0
JEFFERSONTOWN OF JEFFERSON WARD 1-3,119,0,0,175,2,1,2,304,1,0,2,63,1,1,1,209,0
JEFFERSONTOWN OF KOSHKONONG WARDS 1-6,226,0,0,309,0,2,1,402,1,0,1,155,3,7,1,367,0
JEFFERSONTOWN OF LAKE MILLS WARD 1-3,171,0,0,251,0,1,0,217,0,0,1,88,2,3,0,163,0
JEFFERSONTOWN OF MILFORD WARD 1-2,55,0,0,101,1,1,4,132,0,1,0,27,0,3,0,78,0
JEFFERSONTOWN OF SULLIVAN WARD 1-3,103,0,0,179,1,1,0,359,0,0,0,72,5,7,1,189,0
JEFFERSONTOWN OF WATERTOWN WARD 1-2,102,0,0,162,1,3,0,297,0,0,0,59,1,0,0,180,0
KENOSHATOWN OF SOMERS WARDS 1-2,83,0,1,96,2,0,0,99,0,0,0,19,0,4,1,120,0
KENOSHATOWN OF WHEATLAND WARDS 1-6,147,0,0,242,1,3,1,379,0,0,0,131,2,9,0,272,0
KENOSHAVILLAGE OF SOMERS WARDS 11-12,86,0,0,119,1,0,0,170,0,0,0,66,0,2,0,128,0
LA CROSSETOWN OF SHELBY WARDS 1-6,523,0,2,577,0,4,2,410,2,0,0,283,2,12,0,437,0
LAFAYETTECITY OF DARLINGTON WARD 3,37,0,1,33,0,2,0,36,0,0,1,20,0,1,0,29,0
LAFAYETTECITY OF DARLINGTON WARD 4,37,0,0,42,0,0,0,19,0,0,1,15,1,3,0,32,0
LAFAYETTECITY OF DARLINGTON WARD 5,34,0,0,59,1,0,0,34,0,0,0,26,1,1,0,33,0
LAFAYETTECITY OF DARLINGTON WARD 6,19,0,0,26,2,2,0,5,2,0,0,2,1,0,0,8,0
LAFAYETTECITY OF DARLINGTON WARDS 1-2,61,0,0,72,0,3,1,42,0,0,0,23,0,2,0,61,0
LAFAYETTECITY OF SHULLSBURG WARD 1,7,0,0,10,0,0,0,5,0,0,0,4,0,1,0,7,0
LAFAYETTECITY OF SHULLSBURG WARD 2,46,0,0,46,1,0,1,17,0,0,2,13,1,0,1,29,0
LAFAYETTECITY OF SHULLSBURG WARD 3,41,0,0,46,0,1,0,15,0,0,1,12,0,2,0,29,0
LAFAYETTETOWN OF ARGYLE WARD 1,14,0,0,26,0,0,0,8,0,0,0,3,0,0,0,13,0
LAFAYETTETOWN OF ARGYLE WARD 2,12,0,0,26,1,0,0,17,0,0,0,9,0,0,0,21,0
LAFAYETTETOWN OF ARGYLE WARD 3,6,0,0,12,1,0,0,8,0,0,0,3,0,1,0,10,0
LAFAYETTETOWN OF BELMONT WARD 1,33,0,0,29,2,0,0,38,0,0,0,22,0,0,0,32,0
LAFAYETTETOWN OF BELMONT WARD 2,6,0,0,6,0,0,0,5,0,0,0,7,1,0,0,11,0
LAFAYETTETOWN OF BENTON WARD 1,18,0,0,19,1,0,0,32,0,0,1,13,1,0,0,14,0
LAFAYETTETOWN OF BENTON WARD 2,13,0,0,5,0,0,0,13,0,0,0,1,0,0,0,11,0
LAFAYETTETOWN OF DARLINGTON WARD 1,31,0,0,26,0,3,0,27,0,0,0,23,0,1,0,47,0
LAFAYETTETOWN OF DARLINGTON WARD 2,29,0,1,55,0,0,0,30,0,0,2,17,1,0,0,50,0
LAFAYETTETOWN OF DARLINGTON WARD 3,12,0,0,6,0,1,0,15,0,0,1,11,0,2,0,16,0
LAFAYETTETOWN OF ELK GROVE WARD 1,25,0,0,8,1,2,0,22,0,0,0,15,0,0,0,33,0
LAFAYETTETOWN OF ELK GROVE WARD 2,6,0,0,3,0,0,0,16,0,0,0,5,0,0,0,2,0
LAFAYETTETOWN OF FAYETTE WARD 1,18,0,1,28,0,0,0,19,0,0,2,14,0,0,0,23,0
LAFAYETTETOWN OF FAYETTE WARD 2,11,0,0,13,0,1,0,8,0,0,0,5,0,0,0,12,0
LAFAYETTETOWN OF LAMONT WARD 1,15,0,0,26,0,0,0,23,0,0,0,12,0,1,0,13,0
LAFAYETTETOWN OF LAMONT WARD 2,7,0,0,6,0,0,0,3,0,0,0,2,0,0,0,9,0
LAFAYETTETOWN OF SEYMOUR WARD 1,13,0,0,16,0,1,0,34,0,0,0,3,0,1,0,20,0
LAFAYETTETOWN OF SEYMOUR WARD 2,2,0,0,10,0,0,0,5,0,0,0,6,0,0,0,6,0
LINCOLNCITY OF TOMAHAWK WARD 1-2,54,0,0,137,1,3,1,56,0,0,1,10,1,3,0,94,0
LINCOLNCITY OF TOMAHAWK WARD 3-4,76,0,0,119,0,3,0,75,1,0,0,31,0,2,0,137,0
LINCOLNCITY OF TOMAHAWK WARD 5-6,61,0,1,97,2,2,0,90,0,0,1,41,1,1,0,117,0
MANITOWOCCITY OF MANITOWOC WARD 1-2,190,3,1,294,1,4,0,262,1,0,2,28,0,2,0,234,0
MANITOWOCCITY OF MANITOWOC WARD 11-12,228,0,2,342,0,1,2,378,0,0,1,66,3,5,0,263,1
MANITOWOCCITY OF MANITOWOC WARD 13-14,222,0,4,195,2,5,0,216,1,0,3,44,1,6,0,184,0
MANITOWOCCITY OF MANITOWOC WARD 15-16,224,0,3,367,0,3,0,449,0,0,1,69,0,7,0,276,0
MANITOWOCCITY OF MANITOWOC WARD 17-18,198,0,1,203,2,4,0,269,0,0,1,54,0,9,0,231,1
MANITOWOCCITY OF MANITOWOC WARD 19-20,266,0,3,282,0,4,0,556,0,1,1,113,1,9,0,319,0
"MANITOWOCCITY OF MANITOWOC WARD 21,24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MANITOWOCCITY OF MANITOWOC WARD 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MANITOWOCCITY OF MANITOWOC WARD 23,25-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANITOWOCCITY OF MANITOWOC WARD 3-4,225,0,1,240,2,3,0,286,0,0,0,56,0,5,0,212,0
MANITOWOCCITY OF MANITOWOC WARD 5-6,191,0,1,332,1,4,0,227,0,0,0,44,0,5,0,174,0
MANITOWOCCITY OF MANITOWOC WARD 7-8,90,0,2,197,0,2,1,121,0,0,0,19,1,3,0,104,0
MANITOWOCCITY OF MANITOWOC WARD 9-10,198,0,2,254,2,6,0,279,1,1,0,52,0,5,0,226,0
MANITOWOCTOWN OF MEEME WARDS 1-2,76,0,1,93,0,4,0,218,1,0,1,25,0,4,0,116,0
MANITOWOCTOWN OF MEEME WARDS 3-4,15,0,0,18,0,0,0,36,0,0,0,2,1,0,0,20,0
"MARATHONCITY OF ABBOTSFORD WARDS 1,6",11,0,0,19,1,0,0,18,0,0,0,7,0,1,0,31,0
"MARATHONCITY OF MARSHFIELD WARD 12,20-21,24",64,0,0,76,0,0,0,70,0,0,0,15,0,1,0,59,0
MARATHONCITY OF SCHOFIELD WARD 1-4,130,0,0,205,0,2,0,177,0,0,0,26,3,2,1,240,0
MARATHONTOWN OF MOSINEE WARDS 1-3,147,0,2,183,1,0,0,250,1,0,1,41,0,2,0,304,0
"MARATHONVILLAGE OF DORCHESTER WARDS 2,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINETTETOWN OF ATHELSTANE WARD 1-2,49,0,0,47,1,0,0,44,0,0,0,6,1,0,0,108,0
MARINETTETOWN OF DUNBAR WARDS 1-2,44,0,0,31,0,3,1,70,0,0,0,10,0,1,0,79,0
MARINETTETOWN OF MIDDLE INLET WARD 1-2,59,0,1,66,0,1,1,69,0,0,2,14,0,1,0,98,0
MILWAUKEECITY OF CUDAHY WARD 10,126,0,1,147,0,0,0,146,1,0,0,34,2,2,0,95,0
MILWAUKEECITY OF CUDAHY WARD 11-12,184,0,3,178,1,0,1,209,1,0,0,50,0,4,0,151,0
MILWAUKEECITY OF CUDAHY WARD 13-14,283,0,1,224,1,1,0,226,1,0,0,57,0,7,0,172,0
MILWAUKEECITY OF CUDAHY WARD 15,130,0,0,123,1,0,1,208,0,0,0,43,0,2,0,139,0
"MILWAUKEECITY OF GLENDALE WARD 1,7",314,0,0,321,1,3,0,189,0,0,1,75,0,2,0,78,0
"MILWAUKEECITY OF GLENDALE WARD 3,9",302,0,1,293,0,2,0,263,1,0,0,113,1,6,0,109,0
"MILWAUKEECITY OF GLENDALE WARD 4,10",443,0,1,286,1,1,1,275,0,0,1,124,2,5,2,111,0
"MILWAUKEECITY OF GLENDALE WARD 6,12",284,0,0,283,1,1,0,156,0,0,0,47,0,1,0,70,0
"MILWAUKEECITY OF GLENDALE WARDS 2,8,8S",444,0,0,276,2,1,1,203,0,0,1,97,0,10,0,79,0
"MILWAUKEECITY OF GLENDALE WARDS 5,11,11S",392,0,0,337,2,1,1,264,0,0,0,105,3,9,0,85,0
"MILWAUKEEVILLAGE OF BAYSIDE WARDS 1,1S,3,3S",263,0,0,197,1,0,0,149,0,0,0,86,0,6,0,91,0
