precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
CHATHAM6-01 WHITE BLUFF PRES CHR,181,2,67,0,2,26,0,65,0,1,0,10,0,3,52,0,94
CHATHAM6-02 WINDSOR FOREST BAPTIST,244,0,98,0,6,31,0,163,1,1,0,78,0,1,212,0,207
CHATHAM6-03 CRUSADER COMM CTR,344,3,116,2,8,22,0,116,1,1,1,36,0,1,100,0,142
CHATHAM6-05 WINDSOR FOREST GOLDE,202,1,81,0,3,19,1,59,0,0,0,15,0,0,51,0,102
CHATHAM6-09 TRINITY LUTHERAN CH,315,5,165,2,7,38,0,128,1,0,2,51,0,2,139,0,251
CHATHAM6-10 GEORGETOWN ELEM,365,0,134,2,2,58,1,205,2,0,3,52,0,2,195,0,257
CHATHAM6-11 BAMBOO FARMS,379,1,106,1,1,23,0,121,1,0,0,18,0,0,67,0,154
CHATHAM7-01 GARDEN CITY SENIOR CTR,90,1,32,0,3,13,0,95,0,0,2,8,0,0,46,1,128
CHATHAM7-03 P B EDWARDS GYM,48,0,31,0,3,8,0,72,0,0,1,14,0,0,54,0,148
CHATHAM7-04 LAKE SHORE COMM CTR,400,1,137,0,2,15,2,99,1,2,1,8,0,3,72,0,116
CHATHAM7-05 WOODLAWN BAPT CH,87,0,46,0,0,11,0,55,0,0,2,12,0,0,27,0,75
CHATHAM7-07 ROTHWELL BAPT CH,323,1,157,0,8,56,2,378,0,1,4,73,0,1,237,0,461
CHATHAM7-08 BLOOMINGDALE COM CTR,49,2,33,1,2,31,1,216,3,1,2,10,0,1,79,1,289
CHATHAM7-09 SOUTHWEST BAPTIST CH,151,1,52,1,2,18,2,104,0,0,0,19,1,3,79,0,133
CHATHAM7-10 PROGRESSIVE REC CTR,297,1,104,0,1,21,0,101,1,0,0,22,0,1,72,0,132
CHATHAM7-11 SEVENTH DAY ADV CHR,242,1,129,1,1,27,4,123,0,0,2,31,0,0,103,1,132
CHATHAM7-12 CHRIST PRESBYTERIAN CHURCH,375,1,148,1,5,74,0,253,1,1,0,59,0,1,231,0,302
CHATHAM7-13 GARDEN CITY CITY HALL,188,0,63,1,1,35,0,169,0,0,1,60,0,1,251,0,247
CHATHAM7-14 COASTAL CATHEDRAL,700,3,177,0,5,51,0,185,1,0,2,40,0,1,184,0,211
CHATHAM8-02 BULL STREET BAPTIST,183,1,177,0,1,6,1,23,0,1,1,13,0,2,27,0,25
CHATHAM8-03 SILK HOPE BAPT CH,42,0,12,0,0,6,1,44,0,0,0,6,0,0,16,0,61
CHATHAM8-05 W BROAD ST YMCA,196,2,35,0,0,2,0,0,0,0,0,0,0,0,4,0,2
CHATHAM8-06 TOMPKINS REC CTR,171,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1
CHATHAM8-07 WOODVILLE-TOMPKINS,136,0,13,0,0,0,0,2,0,0,1,0,0,0,0,0,3
CHATHAM8-08 RESUR OF OUR LORD CH,358,2,38,1,0,1,0,3,0,0,0,0,0,0,0,0,5
CHATHAM8-09 MOSES JACKSON CTR,291,1,18,0,0,1,0,2,0,0,0,0,0,0,1,0,0
CHATHAM8-10 CARVER HEIGHTS COMM CTR,439,1,51,2,0,2,0,0,0,0,0,0,0,0,0,0,1
CHATHAM8-11 BUTLER ELEM SCHOOL,505,0,53,1,0,4,0,1,0,0,0,0,0,0,0,0,1
CHATHAM8-13 SAVANNAH CHRIST. SCH,20,0,15,0,0,4,0,38,0,0,0,4,0,1,18,0,79
CHATHAM8-15 GARDEN CITY REC CTR,228,0,23,1,0,4,0,8,0,0,0,0,0,0,2,0,21
CRAWFORD1B,143,0,21,0,0,12,0,17,0,0,0,1,0,0,17,0,64
CRAWFORD2,179,2,25,2,2,23,1,62,0,0,3,6,0,2,32,0,171
CRAWFORD3,45,1,32,2,2,35,1,97,0,0,1,13,0,0,69,0,191
FULTON01G,276,2,153,1,0,1,0,4,0,0,1,2,0,2,10,0,11
FULTON06H,303,0,150,0,0,8,0,24,1,0,0,56,0,1,164,0,69
FULTON06S,623,0,286,0,2,11,1,34,0,0,0,95,0,0,252,0,84
FULTONJC18A,163,0,92,1,2,26,1,146,2,0,0,102,0,3,363,0,218
FULTONSC13A,1216,1,326,1,0,12,0,18,0,0,0,8,0,1,26,0,42
FULTONSC13B,446,1,108,0,0,2,0,11,0,0,0,4,0,0,8,0,19
GWINNETT001 HARBINS A,337,0,121,2,1,73,0,390,0,0,2,47,0,6,286,0,467
GWINNETT002 ROCKBRIDGE A,477,0,160,0,4,23,1,99,1,0,0,14,0,1,85,0,114
GWINNETT003 DACULA,374,0,123,1,4,43,0,248,0,0,1,36,0,0,219,0,303
GWINNETT004 SUWANEE A,85,0,61,1,1,15,1,71,1,0,0,20,0,0,101,0,90
GWINNETT005 BAYCREEK A,227,0,83,0,4,52,1,201,1,0,0,39,0,2,250,0,216
GWINNETT006 GOODWINS A,282,1,171,2,1,21,2,167,2,2,0,41,0,0,208,1,234
GWINNETT007 DULUTH A,314,1,164,0,1,44,0,196,2,0,0,74,1,2,331,0,264
GWINNETT008 DUNCANS A,200,0,101,0,2,70,2,322,2,0,1,67,1,1,437,0,465
GWINNETT009 PUCKETTS A,191,0,101,1,4,86,2,361,4,0,3,43,0,3,348,0,458
GWINNETT010 CATES A,157,0,66,0,4,26,0,184,1,1,0,15,0,0,140,0,249
GWINNETT011 BERKSHIRE A,168,0,92,0,1,8,0,75,0,1,0,13,0,0,71,0,83
GWINNETT012 BERKSHIRE B,410,1,247,1,3,21,0,106,0,0,2,30,0,4,139,0,160
GWINNETT013 DUNCANS C,115,0,54,0,3,36,0,217,0,0,1,60,0,0,343,0,315
GWINNETT014 GARNERS A,208,3,167,0,6,71,3,262,1,1,4,76,0,2,344,0,298
GWINNETT015 LAWRENCEVILLE A,224,1,79,0,5,28,1,149,0,0,0,31,0,1,133,1,215
GWINNETT016 LAWRENCEVILLE B,451,0,160,0,5,29,0,145,0,0,3,27,0,1,163,0,228
GWINNETT017 MARTINS A,272,0,134,1,1,12,0,44,1,0,1,9,0,0,56,0,58
GWINNETT018 MARTINS B,227,1,123,0,2,31,1,93,1,1,0,22,0,2,87,0,135
GWINNETT019 MARTINS C,209,1,114,0,0,27,2,85,0,0,3,21,0,0,140,0,159
GWINNETT020 PINCKNEYVILLE A,251,1,115,0,1,14,1,28,0,0,1,6,0,1,41,0,40
GWINNETT021 PINCKNEYVILLE B,211,1,141,0,0,6,1,47,0,0,0,15,0,0,62,0,75
GWINNETT022 PINCKNEYVILLE C,148,2,83,1,0,21,0,97,0,0,0,59,1,1,174,0,174
GWINNETT023 PINCKNEYVILLE D,160,1,81,0,1,3,0,19,0,0,0,8,0,0,26,0,53
GWINNETT024 SUGAR HILL A,139,1,79,3,2,43,0,171,0,0,0,24,0,0,165,0,270
GWINNETT025 SUGAR HILL B,197,3,148,0,3,43,1,249,0,0,1,46,0,0,235,0,345
GWINNETT026 HOG MOUNTAIN A,285,3,175,2,3,40,1,195,1,0,0,30,0,2,201,0,200
GWINNETT027 HOG MOUNTAIN B,274,0,115,0,6,69,0,289,1,0,0,53,0,0,338,1,433
GWINNETT028 ROCKYCREEK A,306,0,158,1,3,72,1,363,0,0,0,55,0,2,314,0,409
GWINNETT029 CATES B,72,1,95,1,1,25,2,141,1,0,0,28,0,0,199,1,158
GWINNETT030 CATES C,262,0,82,0,0,31,0,146,0,0,1,19,0,2,118,0,145
GWINNETT031 HOG MOUNTAIN D,158,1,86,2,3,33,0,231,0,0,0,23,0,3,164,1,232
GWINNETT032 BERKSHIRE D,185,4,138,1,2,43,3,192,0,0,0,49,0,1,261,1,194
GWINNETT033 BERKSHIRE E,126,0,83,0,1,23,1,133,2,0,0,49,0,1,197,1,155
GWINNETT034 BERKSHIRE F,137,0,80,1,5,13,0,70,0,0,0,5,0,6,56,0,102
GWINNETT035 CATES D - 07,39,1,39,0,0,4,1,38,0,0,0,7,0,0,28,0,43
GWINNETT036 CATES E,199,0,159,1,6,46,1,203,0,0,1,54,0,2,276,1,227
GWINNETT037 PINCKNEYVILLE E,142,0,105,2,1,13,0,42,0,0,1,5,0,1,47,0,41
GWINNETT038 PINCKNEYVILLE F,94,1,65,1,1,14,0,46,0,0,0,9,0,2,41,0,57
GWINNETT039 DUNCANS D,190,0,109,3,1,95,2,406,2,0,0,105,0,4,485,0,582
GWINNETT040 PINCKNEYVILLE H,292,0,184,0,5,31,1,211,0,0,0,71,0,1,314,0,226
GWINNETT041 BAYCREEK B,591,1,194,1,2,32,0,221,2,0,1,21,0,2,163,0,264
GWINNETT042 LAWRENCEVILLE C,141,0,91,2,7,41,1,194,0,0,0,25,0,3,160,0,271
GWINNETT043 MARTINS D,164,0,88,0,0,1,0,15,0,0,0,5,0,1,33,0,38
GWINNETT044 ROCKBRIDGE B,414,1,169,0,2,16,0,111,0,0,0,23,0,0,115,0,142
GWINNETT045 GARNERS B,364,5,160,0,4,30,1,147,1,0,1,32,0,1,167,1,157
GWINNETT046 CATES F,88,2,65,0,5,24,0,144,0,0,1,24,0,0,153,1,197
GWINNETT047 CATES G,140,1,92,1,2,59,1,232,2,0,0,78,0,0,347,1,266
GWINNETT048 DULUTH B,173,1,140,2,3,38,3,164,1,0,1,35,0,2,209,1,246
GWINNETT049 GARNERS C,129,1,100,0,4,20,0,98,2,0,3,16,0,1,102,0,126
GWINNETT050 PINCKNEYVILLE I,182,1,102,1,0,12,1,46,1,0,1,10,0,0,52,0,72
GWINNETT051 PINCKNEYVILLE J,169,0,92,0,0,6,0,24,0,0,0,4,0,0,30,1,41
GWINNETT052 BERKSHIRE G,174,1,131,1,1,27,1,156,0,0,1,38,0,5,197,0,221
GWINNETT053 CATES H,324,0,119,4,4,26,0,155,2,0,4,8,1,4,86,0,167
GWINNETT054 SUGAR HILL C,164,0,121,0,1,62,2,294,1,0,3,53,0,2,304,1,365
GWINNETT055 SUGAR HILL D,188,1,111,2,3,51,1,201,1,0,2,31,0,3,191,0,337
GWINNETT056 DULUTH C,153,0,123,0,3,20,0,94,0,0,2,22,0,2,140,0,168
GWINNETT057 DULUTH D,290,0,195,0,4,30,2,132,0,0,2,35,2,2,185,0,209
GWINNETT058 PINCKNEYVILLE K,265,1,144,0,0,14,0,58,0,0,0,18,0,0,54,0,81
GWINNETT059 PINCKNEYVILLE N,259,1,157,1,1,16,1,42,0,0,0,14,0,2,69,0,64
GWINNETT060 LAWRENCEVILLE D,333,2,120,1,2,17,1,81,0,0,1,16,0,2,61,0,127
GWINNETT061 LAWRENCEVILLE E,138,0,67,0,0,36,0,139,2,0,1,51,0,0,157,1,214
GWINNETT062 PINCKNEYVILLE L,135,0,86,0,2,34,1,186,0,0,2,99,0,0,395,0,204
GWINNETT063 PINCKNEYVILLE M,127,0,80,0,1,33,1,172,4,0,0,102,0,1,395,0,171
GWINNETT064 GARNERS D,428,1,175,0,4,19,1,117,0,0,0,23,0,1,111,0,114
GWINNETT065 BERKSHIRE H,105,1,85,0,1,13,0,56,0,0,0,13,0,1,46,0,78
GWINNETT066 PINCKNEYVILLE O,271,0,155,0,0,18,1,33,0,0,0,11,0,1,77,1,79
GWINNETT067 PUCKETTS E,263,0,118,0,2,51,2,211,0,1,1,46,0,2,257,0,331
GWINNETT068 CATES I,256,0,145,0,7,34,0,232,0,0,2,52,1,4,277,2,240
GWINNETT069 CATES J,235,0,166,0,1,22,0,172,0,0,0,29,0,1,198,0,214
GWINNETT070 GOODWINS B,221,0,134,2,2,61,2,267,1,0,1,45,0,5,330,1,295
GWINNETT071 LAWRENCEVILLE F,399,2,117,0,3,34,0,123,0,0,0,12,0,0,88,0,103
GWINNETT072 MARTINS E,426,1,195,0,0,12,0,45,0,0,0,5,0,1,41,0,45
GWINNETT073 PINCKNEYVILLE P,169,0,90,0,2,29,0,109,0,0,1,56,0,0,185,0,146
GWINNETT074 PINCKNEYVILLE Q,178,1,94,0,1,4,0,14,0,0,0,4,0,1,26,0,30
GWINNETT075 ROCKBRIDGE C,775,0,237,0,0,33,0,99,0,0,3,22,0,2,119,0,153
GWINNETT076 ROCKBRIDGE D,461,1,148,0,4,32,0,146,0,0,2,24,0,0,125,0,138
GWINNETT077 GOODWINS C,376,0,199,3,0,31,0,184,1,0,1,46,0,0,183,0,232
GWINNETT078 BAYCREEK K,278,1,114,2,4,34,1,216,1,1,1,36,0,2,211,0,223
GWINNETT079 CATES K,118,1,121,0,6,39,1,196,4,0,3,39,0,0,276,1,209
GWINNETT080 BAYCREEK C,551,0,192,1,5,58,0,274,0,1,4,36,0,3,275,1,345
GWINNETT081 CATES L,364,0,146,0,6,34,0,244,0,0,0,35,0,6,201,0,255
GWINNETT082 DULUTH E,376,2,180,1,7,30,1,110,1,0,1,32,0,1,158,0,156
GWINNETT083 GOODWINS D,252,0,196,0,1,44,1,228,3,0,3,21,0,0,239,2,267
GWINNETT084 LAWRENCEVILLE G,258,1,108,1,0,19,0,90,2,0,0,13,0,1,76,0,91
GWINNETT085 LAWRENCEVILLE H,245,3,148,0,5,57,0,277,0,0,2,47,0,4,255,1,265
GWINNETT086 MARTINS F,189,0,116,0,0,10,1,51,0,0,2,11,0,1,40,0,76
GWINNETT087 PINCKNEYVILLE S,220,0,139,0,1,17,3,93,0,0,0,28,0,1,117,0,140
GWINNETT088 ROCKBRIDGE E,509,0,180,1,5,23,0,106,1,0,0,19,0,0,92,0,153
GWINNETT089 SUGAR HILL E,133,1,75,0,3,42,1,181,0,0,3,22,0,2,190,0,218
GWINNETT090 LAWRENCEVILLE I,219,1,122,0,3,26,0,137,0,0,3,38,0,3,144,0,128
GWINNETT091 BAYCREEK D,324,2,136,0,4,43,1,337,1,0,2,43,0,0,291,0,316
