precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
HANCOCKDEVEREUX 3C,28,1,10,0,0,6,1,10,0,0,1,4,0,0,13,0,15
HANCOCKLINTON A,190,1,27,0,0,7,0,5,0,0,2,0,0,0,3,0,25
HANCOCKLINTON B,109,1,10,0,0,2,0,1,0,0,0,1,0,0,2,0,10
HANCOCKMAYFIELD 3A,80,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,8
HANCOCKMAYFIELD 3B,143,3,10,2,0,2,1,2,0,0,0,3,0,0,6,0,17
HANCOCKSPARTA 4A,193,2,25,1,0,0,0,6,0,0,0,4,0,0,4,0,25
HANCOCKSPARTA 4B,89,0,6,2,0,3,2,6,0,0,0,0,0,1,6,0,26
LOWNDESDASHER CITY HALL,98,2,62,2,1,97,1,343,0,0,2,19,0,0,116,1,559
LOWNDESHAHIRA HISTORICAL SO,147,1,86,1,11,121,0,388,0,0,1,30,0,0,197,0,544
LOWNDESMILDRED HUNTER COMM,547,3,98,3,1,8,0,28,0,0,0,1,0,1,8,1,61
LOWNDESNAYLOR CITY HALL,88,0,35,2,0,25,0,71,0,0,0,2,0,0,21,0,166
LOWNDESNORTHSIDE BAPT GYM,1766,7,922,8,28,314,2,918,4,2,5,169,2,5,771,1,1470
LOWNDESRAINWATER CONF CTR,400,2,271,2,16,138,1,521,0,0,1,84,0,5,374,1,900
LOWNDESSOUTH LOWNDES REC,95,0,67,0,8,57,0,189,0,1,3,24,0,0,123,0,535
LOWNDESTRINITY PRESBYTERIAN-001,133,0,59,2,1,29,1,101,1,0,1,5,1,2,53,0,129
LOWNDESTRINITY PRESBYTERIAN-008,539,2,225,1,6,128,0,452,2,0,4,45,0,2,246,0,536
LUMPKINEAST,63,1,62,3,5,45,0,206,1,2,1,36,0,3,105,0,308
LUMPKINNORTH,79,0,78,0,2,70,1,222,0,0,3,47,0,2,130,0,337
LUMPKINNORTH EAST,43,0,53,1,5,53,1,187,1,0,2,33,0,3,103,0,289
LUMPKINSOUTH EAST,81,0,40,0,3,54,1,234,0,0,0,38,0,3,119,1,381
LUMPKINSOUTH WEST,101,0,96,3,2,68,1,301,0,0,2,28,0,4,183,0,408
LUMPKINWEST,89,0,113,1,3,62,1,332,1,0,0,48,0,1,186,1,471
RANDOLPHFOUNTAIN BRIDGE-5TH,8,1,1,0,0,2,0,10,0,0,0,1,0,0,4,0,15
RICHMOND606,172,1,34,0,1,17,0,77,0,0,1,6,0,0,26,0,144
SCREVENFOY'S STORE,45,0,2,0,0,2,0,6,0,0,0,1,0,0,4,0,12
SPALDINGGA EXP STATION,315,1,76,3,7,36,0,112,0,0,1,27,0,1,105,0,225
SPALDINGMEMORIAL DR PLAZA,50,1,31,1,6,42,2,97,0,0,2,39,0,1,165,1,196
SPALDINGSUN CITY,301,1,86,0,8,62,2,236,4,0,0,105,0,2,306,0,469
SUMTERANDERSONVILLE,28,0,7,0,0,16,0,29,0,0,1,2,0,0,14,0,62
TELFAIRLUMBER CITY,78,0,16,1,3,20,0,17,0,0,1,1,0,1,17,0,114
