precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_RIVA,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
BERNALILLO47,53,40,0,1,1,0,2,8,0,151,5,0,0,1,16,70,12,93,243
BERNALILLO471,52,75,4,3,4,0,16,58,2,186,6,0,3,1,51,165,85,127,414
BERNALILLO472,39,42,3,2,7,1,5,35,1,135,4,0,1,1,49,157,53,81,348
BERNALILLO473,58,45,2,1,10,0,4,33,2,182,7,2,0,3,48,101,50,103,345
BERNALILLO474,39,28,0,3,4,0,3,24,0,130,4,1,5,0,30,114,34,67,284
BERNALILLO475,52,85,3,2,9,1,4,36,0,267,5,0,4,1,70,167,55,137,514
BERNALILLO476,69,81,1,2,13,3,7,56,4,228,14,0,5,0,82,249,82,150,582
BERNALILLO477,104,81,0,4,9,3,3,33,1,381,11,2,3,2,76,165,52,185,641
BERNALILLO478,85,78,5,3,9,1,3,31,5,310,8,1,2,0,74,178,52,163,578
BERNALILLO48,118,113,3,0,11,0,2,26,1,434,5,1,1,2,80,156,42,231,680
BERNALILLO480,73,93,4,2,15,2,7,80,1,301,5,0,8,0,66,289,110,166,670
BERNALILLO481,26,33,1,1,2,1,5,17,0,151,8,0,2,2,41,87,27,59,291
BERNALILLO482,74,58,9,1,10,3,27,88,0,253,3,1,8,0,72,300,138,132,637
BERNALILLO483,77,73,3,9,13,1,10,65,4,335,12,1,5,0,94,336,101,150,787
BERNALILLO484,70,60,3,2,9,1,10,41,0,255,11,0,7,1,61,166,66,130,501
BERNALILLO485,83,53,3,3,17,4,13,71,1,282,3,0,10,0,76,279,111,136,651
BERNALILLO486,90,85,4,1,24,2,13,81,3,329,9,0,14,0,102,305,125,175,762
BERNALILLO487,91,50,3,3,6,1,6,52,0,270,3,0,3,0,58,241,71,141,575
BERNALILLO488,93,63,6,1,15,3,14,88,1,267,1,0,4,0,69,261,127,156,603
BERNALILLO489,94,62,1,3,21,2,8,64,2,313,3,0,14,0,93,305,99,156,730
BERNALILLO49,101,92,3,2,9,0,0,19,0,603,13,0,4,2,74,160,33,193,856
BERNALILLO490,61,49,6,2,14,4,9,71,1,213,6,0,6,1,67,307,106,110,601
BERNALILLO491,40,60,4,1,5,2,6,32,3,164,3,0,9,0,43,141,50,100,363
BERNALILLO492,45,55,5,6,7,1,4,37,0,154,4,0,1,0,37,136,60,100,332
BERNALILLO493,53,72,2,4,6,1,8,42,1,215,7,0,3,0,63,204,63,125,493
BERNALILLO494,46,58,4,1,16,0,15,34,1,188,6,0,6,0,54,156,70,104,411
BERNALILLO495,66,85,7,4,11,0,14,42,1,290,10,0,6,0,81,227,78,151,615
BERNALILLO496,46,60,8,1,14,3,10,40,0,164,9,0,8,0,51,174,76,106,406
BERNALILLO497,66,79,4,4,7,0,12,35,0,236,5,0,3,0,71,179,62,145,494
BERNALILLO498,78,84,3,3,9,0,12,37,3,316,8,0,9,1,63,196,64,162,596
BERNALILLO499,69,51,0,5,5,0,8,53,5,245,2,0,4,0,60,209,71,120,525
BERNALILLO5,95,94,4,1,3,0,7,33,1,302,3,0,3,0,35,183,48,189,527
BERNALILLO50,149,159,3,1,12,0,5,59,1,686,9,2,1,0,121,289,80,308,1109
BERNALILLO500,83,72,2,4,17,6,20,83,0,291,0,0,6,2,67,305,132,155,671
BERNALILLO502,78,98,3,4,6,2,3,36,1,282,11,0,9,2,87,198,54,176,590
BERNALILLO503,30,67,1,5,3,2,2,19,0,177,6,0,3,0,54,127,32,97,367
BERNALILLO504,37,52,2,6,6,1,4,25,0,175,9,0,1,1,61,117,44,89,364
BERNALILLO505,41,55,4,3,14,1,3,37,1,184,5,0,2,0,74,159,62,96,425
BERNALILLO506,36,59,1,2,6,2,6,36,4,172,10,0,1,0,53,134,53,95,374
BERNALILLO507,44,44,3,6,12,0,13,37,4,172,2,0,1,0,52,175,71,88,406
BERNALILLO508,36,50,2,4,5,0,3,31,0,158,5,0,1,0,46,144,45,86,354
BERNALILLO509,38,42,1,3,2,1,0,26,0,123,4,0,2,0,42,91,33,80,262
BERNALILLO51,105,51,3,1,3,1,1,14,1,364,2,0,1,2,37,85,23,156,492
BERNALILLO510,78,79,2,2,16,0,5,49,2,294,8,0,5,1,95,258,74,157,663
BERNALILLO511,66,62,1,2,14,2,5,61,1,232,2,0,0,0,82,259,85,128,576
BERNALILLO512,79,60,4,9,11,3,14,63,0,310,4,0,10,0,79,267,104,139,670
BERNALILLO513,90,92,7,4,19,3,23,90,5,368,4,1,13,2,95,352,146,182,840
BERNALILLO514,68,78,3,4,14,1,5,49,2,269,10,0,5,0,93,268,76,146,647
BERNALILLO515,47,44,3,2,11,2,13,46,2,195,0,1,5,0,57,215,77,91,475
BERNALILLO516,67,109,5,5,18,2,18,63,2,350,11,0,11,0,121,296,111,176,791
BERNALILLO517,29,48,4,6,10,2,16,55,2,173,5,0,9,0,64,223,93,77,476
BERNALILLO518,53,76,6,5,16,3,13,65,0,279,3,0,7,0,93,292,108,129,674
BERNALILLO519,26,33,2,3,4,1,2,27,1,125,4,0,3,0,52,137,39,59,322
BERNALILLO52,165,185,2,2,13,1,3,54,1,732,14,1,8,1,152,335,75,350,1244
BERNALILLO520,111,92,4,5,9,2,25,85,1,402,5,0,8,0,85,372,130,203,873
BERNALILLO521,57,86,3,5,13,3,11,68,1,279,10,0,9,0,82,260,103,143,641
BERNALILLO522,95,106,4,4,16,6,20,113,0,416,6,0,14,1,108,398,163,201,943
BERNALILLO523,76,88,4,5,9,2,18,52,0,233,7,0,3,0,73,223,90,164,539
BERNALILLO524,25,37,4,3,5,2,8,46,1,112,3,0,5,0,47,127,68,62,295
BERNALILLO525,51,75,1,4,13,1,6,46,0,282,13,0,3,1,87,222,71,126,608
BERNALILLO526,71,79,3,3,9,2,16,88,3,294,8,0,7,0,72,312,121,150,696
BERNALILLO527,21,23,4,0,9,1,8,36,0,82,0,1,1,0,32,135,58,44,251
BERNALILLO528,34,26,3,2,5,0,9,41,0,105,2,0,5,0,42,146,60,60,300
BERNALILLO529,91,92,2,7,23,3,11,96,2,414,12,0,5,1,106,374,142,183,914
BERNALILLO53,67,55,0,2,6,0,2,12,5,256,2,0,4,0,35,105,22,122,407
BERNALILLO530,78,107,11,2,10,2,14,62,0,363,7,0,5,2,72,274,101,185,723
BERNALILLO531,48,58,1,2,1,1,1,22,1,216,9,1,4,0,76,140,28,106,447
BERNALILLO532,44,76,5,2,12,1,9,36,4,227,6,0,3,2,68,177,65,120,487
BERNALILLO533,35,72,0,0,9,2,4,34,0,178,10,0,4,2,49,144,49,107,387
BERNALILLO534,65,71,5,4,9,2,2,62,2,250,6,0,7,2,94,239,84,136,600
BERNALILLO535,42,48,3,4,6,1,4,28,1,192,3,0,1,1,69,158,46,90,425
BERNALILLO536,32,36,0,1,3,0,4,20,1,140,3,0,1,0,44,124,28,68,313
BERNALILLO537,117,88,1,6,15,5,17,76,2,407,4,0,4,2,90,276,120,205,785
BERNALILLO538,95,64,7,2,8,1,21,70,2,356,5,0,11,0,52,258,109,159,684
BERNALILLO539,136,100,7,4,11,2,25,97,0,448,10,0,7,0,75,351,146,236,891
BERNALILLO54,125,138,2,3,13,2,9,64,3,631,14,1,17,1,135,346,93,263,1148
BERNALILLO540,80,66,4,3,16,4,13,68,0,310,10,1,8,0,80,292,108,146,701
BERNALILLO541,130,78,7,17,38,6,31,233,6,451,5,0,9,0,195,964,332,208,1630
BERNALILLO542,66,62,1,1,10,0,2,43,1,233,4,1,3,0,76,178,57,128,496
BERNALILLO543,39,51,2,1,8,0,5,35,0,170,3,0,1,0,58,124,51,90,356
BERNALILLO544,57,90,1,3,14,2,3,60,5,269,6,0,3,1,64,239,83,147,587
BERNALILLO545,66,68,1,3,9,4,14,41,2,245,11,0,6,0,48,205,72,134,517
BERNALILLO546,70,58,2,3,11,2,8,60,2,227,8,1,10,1,60,273,86,128,582
BERNALILLO547,45,55,3,1,6,1,4,42,1,251,2,0,3,0,61,169,57,100,487
BERNALILLO548,105,84,3,2,8,6,16,78,1,343,5,0,10,1,82,339,113,189,781
BERNALILLO549,77,85,3,6,15,1,18,64,2,296,12,0,6,0,86,277,107,162,679
BERNALILLO55,98,57,1,2,9,1,1,24,1,347,8,1,0,2,68,164,38,155,591
BERNALILLO550,81,65,0,1,11,0,8,49,5,251,6,0,6,0,58,196,69,146,522
BERNALILLO551,24,17,1,0,5,1,0,5,0,91,2,0,1,0,18,55,12,41,167
BERNALILLO552,85,104,3,7,24,3,5,79,3,358,9,0,6,0,88,367,121,189,831
BERNALILLO553,117,150,14,14,39,12,24,222,1,550,23,0,16,3,202,860,325,267,1655
BERNALILLO554,66,55,2,1,9,0,15,48,2,204,3,2,6,1,47,193,75,121,458
BERNALILLO555,41,60,4,3,14,0,7,51,6,190,11,0,1,0,48,196,79,101,452
BERNALILLO556,34,76,6,4,16,5,8,52,1,197,1,0,10,1,51,186,91,110,447
BERNALILLO557,123,200,5,10,66,6,38,267,1,588,29,1,25,3,222,1023,392,323,1892
BERNALILLO558,32,54,6,2,5,2,9,52,1,174,6,0,3,0,40,191,76,86,415
BERNALILLO559,100,147,1,10,17,0,14,108,3,476,9,0,3,0,145,471,150,247,1107
BERNALILLO56,105,82,1,1,4,0,1,38,2,369,5,1,3,0,68,224,45,187,672
BERNALILLO560,108,81,7,2,17,4,22,135,0,414,6,0,15,0,104,565,187,189,1104
BERNALILLO561,79,82,5,2,19,2,21,73,0,310,7,0,10,4,118,317,122,161,766
BERNALILLO562,161,112,7,3,18,4,35,90,1,549,6,0,7,2,107,346,157,273,1018
BERNALILLO563,105,71,5,6,24,4,21,101,1,329,7,0,17,0,107,398,161,176,859
BERNALILLO564,50,44,2,1,9,1,10,61,1,167,2,0,6,0,48,201,84,94,425
BERNALILLO565,66,45,5,0,8,1,11,84,2,227,4,1,7,0,49,248,109,111,538
BERNALILLO566,124,85,6,3,22,3,24,123,0,398,1,0,5,0,104,453,181,209,961
BERNALILLO567,13,7,2,1,2,2,5,10,0,44,1,0,0,0,11,55,22,20,111
BERNALILLO568,101,53,5,2,18,1,25,179,1,336,6,0,5,0,73,533,230,154,954
BERNALILLO569,196,100,9,4,30,5,36,148,0,581,3,0,9,0,126,465,232,296,1184
BERNALILLO57,131,75,2,4,10,2,8,88,0,463,6,1,6,0,83,381,114,206,940
BERNALILLO570,90,97,3,9,19,1,6,99,0,318,9,0,6,1,92,334,137,187,760
BERNALILLO571,95,125,2,8,22,0,10,80,3,367,14,0,5,0,117,421,122,220,927
BERNALILLO572,42,45,0,4,9,0,2,53,0,145,2,0,2,1,50,171,68,87,371
BERNALILLO573,102,105,8,5,44,7,22,158,5,380,7,0,7,1,78,486,244,207,964
BERNALILLO58,20,20,0,1,4,0,0,9,1,93,2,0,0,2,13,52,14,40,163
BERNALILLO59,139,112,0,1,5,0,2,47,1,582,9,2,1,1,120,228,55,251,944
BERNALILLO6,158,145,4,1,20,3,14,108,2,508,8,0,11,1,101,377,150,303,1008
BERNALILLO60,109,125,1,1,7,0,3,42,1,510,9,1,3,0,95,264,54,234,883
BERNALILLO601,80,49,6,4,12,0,16,87,1,275,4,1,6,0,87,321,125,129,695
BERNALILLO602,120,89,5,3,17,0,37,208,5,509,11,1,14,2,124,770,270,209,1436
BERNALILLO603,289,171,12,7,27,13,56,282,2,1097,21,2,28,1,214,982,397,460,2347
BERNALILLO61,109,80,0,0,2,1,2,14,0,295,5,0,0,0,34,101,19,189,435
BERNALILLO62,80,71,1,0,5,2,3,3,2,231,5,0,1,0,37,70,14,151,346
BERNALILLO63,52,49,1,0,2,1,1,14,0,189,2,1,0,2,20,55,19,101,269
BERNALILLO64,40,51,0,0,4,0,0,9,0,131,2,0,3,0,24,43,13,91,203
BERNALILLO65,96,90,2,0,4,0,3,21,0,301,4,0,0,4,35,142,30,186,486
BERNALILLO66,94,77,0,1,9,0,2,28,1,290,2,1,0,1,52,137,40,171,484
BERNALILLO67,115,76,3,0,5,1,3,15,2,381,9,0,2,3,40,93,27,191,530
BERNALILLO68,85,124,3,7,10,0,10,110,7,490,8,1,21,1,130,457,140,209,1115
BERNALILLO69,127,126,4,4,30,3,12,109,1,634,11,0,23,1,150,641,162,253,1461
BERNALILLO7,192,133,4,1,8,4,9,81,0,574,8,0,5,0,110,389,107,325,1086
BERNALILLO70,151,134,3,4,15,2,15,76,1,639,7,0,15,0,152,479,115,285,1293
BERNALILLO71,106,96,4,0,5,0,1,29,1,411,11,1,4,2,50,139,39,202,619
BERNALILLO72,65,49,4,0,0,0,1,6,0,226,7,0,0,0,23,58,11,114,314
BERNALILLO73,163,129,0,3,17,0,4,50,1,409,7,1,7,0,80,269,74,292,774
BERNALILLO74,80,72,1,4,5,0,0,25,0,280,5,0,1,1,26,159,35,152,472
BERNALILLO75,71,42,3,1,0,1,1,11,1,183,2,0,2,1,25,78,17,113,292
BERNALILLO76,82,90,2,3,5,0,3,26,1,248,11,0,1,0,34,155,39,172,450
BERNALILLO77,84,72,1,0,5,0,0,28,0,272,10,0,1,2,40,157,34,156,482
BERNALILLO78,103,131,4,3,16,3,7,81,2,570,8,1,12,0,101,401,114,234,1095
BERNALILLO79,157,99,6,5,20,4,10,143,1,582,8,0,8,1,138,597,188,256,1335
BERNALILLO8,47,49,1,0,3,0,2,20,0,170,2,0,1,0,42,110,26,96,325
BERNALILLO80,106,126,3,8,17,4,7,95,3,555,20,4,11,2,157,509,134,232,1261
BERNALILLO81,185,171,6,8,26,3,15,148,2,851,9,0,23,4,225,727,206,356,1841
BERNALILLO82,109,98,8,5,20,2,15,101,2,406,9,1,12,2,129,395,151,207,956
BERNALILLO83,196,166,4,9,20,5,15,139,3,729,21,0,11,0,142,562,192,362,1468
BERNALILLO84,106,87,0,5,21,2,4,66,1,454,16,1,8,2,111,432,98,193,1025
BERNALILLO85,195,133,4,9,28,2,19,199,3,715,24,1,9,2,162,768,261,328,1684
BERNALILLO86,83,72,1,3,6,0,2,49,0,276,1,0,5,2,70,209,61,155,563
BERNALILLO87,71,98,1,2,8,0,4,53,4,350,10,0,3,0,93,307,68,169,767
BERNALILLO88,54,52,1,2,6,1,3,41,0,257,3,1,3,1,50,148,54,106,463
BERNALILLO89,33,44,0,0,7,2,1,40,1,199,5,0,4,0,52,185,50,77,446
BERNALILLO9,70,73,1,6,4,2,4,45,0,250,3,0,4,2,66,192,62,143,517
BERNALILLO90,106,89,0,0,8,2,3,34,1,405,7,1,1,1,72,200,47,195,688
BERNALILLO91,163,115,4,3,19,0,1,84,2,371,3,0,3,1,59,321,111,278,760
BERNALILLO92,97,92,2,4,15,1,6,56,4,307,6,1,2,0,56,229,84,189,605
BERNALILLO93,130,97,0,0,7,0,2,19,0,464,6,0,3,3,106,180,28,227,762
BERNALILLO94,38,34,0,0,1,0,1,10,0,133,4,0,0,2,20,43,12,72,202
BERNALILLO95,52,40,0,0,0,0,0,4,0,222,3,3,0,0,39,31,4,92,298
BERNALILLO96,92,65,5,3,8,0,0,45,0,289,9,0,6,0,55,195,61,157,554
BERNALILLO97,121,129,8,3,13,5,4,60,1,400,7,0,4,3,101,329,93,250,845
BERNALILLO98,98,83,0,1,2,0,1,21,0,377,6,0,1,0,62,154,25,181,600
BERNALILLO99,118,116,0,0,8,1,5,57,0,370,5,1,3,3,58,274,71,234,714
CATRON1,30,36,3,3,6,1,2,79,0,76,4,0,3,0,28,262,94,66,373
CATRON2,20,35,1,7,13,2,4,117,3,74,6,0,3,0,22,339,144,55,447
CATRON3,20,40,6,6,7,1,2,74,1,90,3,0,1,0,17,185,96,60,297
CATRON4,20,5,0,1,9,1,1,63,0,43,0,0,1,0,6,163,75,25,213
CATRON5,24,56,4,5,25,1,3,137,7,124,8,1,2,0,31,436,175,80,609
CATRON6,2,11,1,0,8,0,2,36,1,20,2,0,1,0,7,79,47,13,110
CHAVES1,11,13,6,3,10,1,0,94,2,62,0,0,0,1,19,314,114,24,398
CHAVES10,16,13,3,3,16,0,9,195,1,71,1,0,1,0,30,505,226,29,609
CHAVES101,27,30,2,2,19,0,8,165,0,189,3,0,3,0,52,537,196,57,784
CHAVES102,35,25,3,9,18,0,3,108,0,142,1,0,3,1,68,376,141,60,591
CHAVES103,10,8,0,2,9,0,3,38,0,41,0,0,0,0,14,137,52,18,192
CHAVES104,0,2,0,1,9,0,1,33,0,1,1,0,0,0,2,74,44,2,78
CHAVES11,30,26,10,13,30,0,18,173,0,125,2,1,2,0,53,565,244,56,748
CHAVES12,5,13,6,3,13,1,2,100,1,32,4,0,3,0,25,284,125,18,349
CHAVES13,29,26,2,2,12,1,1,58,0,137,2,2,4,1,31,258,76,55,435
CHAVES14,27,25,4,5,11,2,3,44,0,134,1,0,7,0,45,244,69,52,431
CHAVES15,20,12,1,3,2,2,6,53,2,74,2,0,0,0,23,152,67,32,253
CHAVES16,17,12,2,5,14,0,3,66,0,77,1,0,0,1,21,180,90,29,280
CHAVES2,28,13,1,5,7,0,4,85,0,91,2,0,2,0,30,276,102,41,401
CHAVES21,60,29,10,9,34,2,18,211,1,181,5,1,1,0,52,583,284,89,824
CHAVES22,41,40,1,4,8,2,2,86,0,144,7,0,4,1,43,314,103,81,513
CHAVES23,21,14,1,0,9,2,1,48,0,92,1,0,1,0,30,180,61,35,304
CHAVES24,11,6,0,1,5,0,1,28,0,68,1,0,0,0,19,101,35,17,189
CHAVES25,22,20,1,1,7,0,2,22,0,80,4,0,2,0,21,135,33,42,242
CHAVES3,33,27,5,3,18,3,3,77,0,104,2,1,6,0,33,306,109,60,452
CHAVES31,16,27,1,4,3,0,2,50,2,126,1,0,3,0,49,213,60,43,394
CHAVES32,14,16,1,2,2,0,0,14,0,70,0,0,0,0,22,97,19,30,189
CHAVES33,17,26,1,2,1,0,2,38,1,106,2,0,1,1,30,157,44,43,298
CHAVES34,15,19,1,1,2,0,1,16,0,84,1,0,1,0,21,79,21,34,186
CHAVES35,25,12,4,2,10,1,3,31,1,93,3,0,2,0,33,170,51,37,302
CHAVES36,23,16,4,3,18,3,5,119,0,100,1,0,2,1,28,390,152,39,522
CHAVES4,34,21,3,6,16,0,4,72,1,110,3,0,5,0,32,257,101,55,408
CHAVES41,40,26,1,4,23,1,6,149,4,149,3,1,0,1,54,526,184,66,738
CHAVES42,15,23,1,4,5,0,0,18,0,86,1,0,0,0,22,95,28,38,204
CHAVES43,26,14,1,0,5,0,1,21,0,117,0,0,2,1,34,95,28,40,249
CHAVES44,0,3,0,0,2,0,0,13,0,3,0,0,0,0,0,17,15,3,20
CHAVES45,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,2,0,15
CHAVES46,0,0,0,2,1,0,2,22,1,9,0,0,2,0,6,79,27,0,97
CHAVES47,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,0,6
CHAVES5,33,33,9,13,47,2,13,269,1,194,2,1,10,0,60,777,353,66,1045
CHAVES51,15,8,2,0,3,0,0,2,0,68,0,0,2,0,20,57,7,23,147
CHAVES52,26,20,0,2,10,0,1,49,1,127,0,0,0,1,24,188,62,46,341
CHAVES6,18,24,4,8,7,2,4,67,1,106,6,2,0,3,22,296,92,42,436
CHAVES61,25,10,0,1,1,0,0,5,0,95,1,2,0,0,22,42,7,35,162
CHAVES62,28,15,0,0,0,0,0,10,0,140,0,0,0,2,18,75,10,43,235
CHAVES63,65,29,1,0,6,0,5,23,2,285,1,1,5,0,41,172,35,94,507
CHAVES7,35,13,4,3,18,1,14,141,0,106,2,0,3,0,35,411,181,48,557
CHAVES71,16,9,3,7,10,1,6,63,0,58,1,0,3,0,18,243,90,25,323
CHAVES72,25,20,3,4,11,0,1,74,4,194,3,0,0,1,50,266,93,45,518
CHAVES73,10,10,0,1,10,0,1,34,0,55,0,0,0,0,21,165,46,20,241
CHAVES81,14,15,1,0,1,1,0,16,0,60,1,0,2,0,14,96,19,29,173
CHAVES82,20,28,5,3,12,0,0,35,0,100,0,0,0,1,38,174,55,48,313
CHAVES83,13,14,3,2,5,0,0,46,0,53,2,0,0,0,16,154,56,27,225
CHAVES84,34,17,2,5,10,0,3,53,0,123,0,1,2,1,48,254,73,51,429
CHAVES85,21,7,1,1,5,0,3,53,1,84,1,0,1,0,14,183,63,28,284
CHAVES9,35,20,5,6,16,2,19,175,4,124,3,0,10,0,39,530,223,55,710
CHAVES90,22,11,0,1,8,0,1,33,0,89,1,0,2,0,26,123,43,33,241
CHAVES91,37,23,0,10,9,0,10,63,1,170,2,1,3,0,37,303,92,60,517
CHAVES92,18,15,2,2,4,0,1,34,0,65,0,0,0,3,23,155,43,33,246
CHAVES93,37,29,3,2,19,0,4,94,0,159,3,0,1,1,50,323,122,66,537
CHAVES94,23,25,0,2,2,0,2,28,0,181,2,0,1,0,31,168,34,48,383
CIBOLA1,2,7,0,0,3,0,0,42,0,10,0,0,0,0,6,98,45,9,114
CIBOLA10,77,77,1,3,9,0,0,34,2,149,1,1,4,0,56,166,47,154,379
CIBOLA11,127,127,2,2,5,1,10,48,0,231,2,0,1,0,64,239,68,254,537
CIBOLA12,45,62,2,0,5,1,1,19,0,105,2,0,1,0,29,125,28,107,262
CIBOLA13,64,55,0,0,2,0,2,15,0,108,0,1,3,2,24,113,19,119,251
CIBOLA14,43,78,0,2,14,0,2,59,1,100,3,1,0,1,33,273,77,121,412
CIBOLA15,143,137,3,5,13,2,1,78,1,252,2,0,4,0,68,396,102,280,723
CIBOLA16,57,57,1,1,8,0,2,36,0,119,2,0,1,0,24,156,48,114,302
CIBOLA17,148,79,2,1,3,1,0,8,0,430,11,0,1,3,83,54,15,227,582
CIBOLA18,33,34,0,1,0,0,1,2,0,96,0,0,0,0,9,44,4,67,149
CIBOLA19,19,26,1,2,2,0,0,19,0,46,3,0,0,0,14,103,24,45,166
CIBOLA2,52,46,1,0,6,0,1,2,0,96,1,0,1,1,28,65,10,98,192
CIBOLA20,45,34,0,2,4,1,2,15,0,193,5,0,1,0,48,55,24,79,302
CIBOLA21,19,19,0,0,2,0,1,3,1,108,1,0,1,0,33,31,6,38,175
CIBOLA22,34,27,4,0,4,1,1,5,2,121,2,0,0,0,31,21,15,61,177
CIBOLA23,12,3,0,0,1,0,1,1,0,39,0,0,0,1,13,5,3,15,58
CIBOLA24,40,23,1,3,1,0,0,4,0,122,5,0,0,2,33,24,9,63,186
CIBOLA25,30,15,1,0,6,0,0,3,0,76,1,0,1,0,25,25,10,45,128
CIBOLA3,20,19,0,0,1,0,0,9,0,24,1,0,0,0,13,38,10,39,76
CIBOLA4,22,39,0,1,14,0,3,51,0,52,1,0,10,1,12,208,69,61,284
CIBOLA5,256,210,4,4,22,3,3,45,5,639,16,1,7,9,136,186,81,466,999
CIBOLA6,8,13,0,2,3,0,0,17,1,30,2,0,1,0,5,53,22,21,92
CIBOLA7,75,104,3,0,7,1,2,53,0,137,7,0,1,0,58,229,66,179,432
CIBOLA8,98,73,4,0,8,1,1,34,0,186,1,1,4,0,50,153,48,171,395
CIBOLA9,124,136,2,2,8,0,6,75,3,272,4,0,1,0,75,335,93,260,690
COLFAX1,99,121,4,7,18,1,18,149,2,403,20,0,6,0,105,561,197,220,1097
COLFAX10,9,7,0,4,3,0,0,18,0,18,0,0,0,0,2,73,25,16,93
COLFAX11,18,25,1,3,2,0,0,11,0,50,2,0,1,0,17,57,17,43,127
COLFAX12,25,35,0,1,1,0,1,12,0,68,0,0,1,1,15,66,15,60,151
COLFAX13,20,18,0,1,2,0,0,9,0,40,0,0,4,0,9,33,12,38,86
COLFAX14,36,28,2,0,3,0,4,23,0,59,3,0,2,0,14,80,32,64,158
COLFAX15,54,48,1,4,2,3,1,35,1,96,1,0,2,0,25,163,46,102,288
COLFAX16,97,77,1,5,4,0,3,51,0,191,0,1,2,2,41,241,64,174,478
COLFAX17,59,33,0,1,3,0,1,13,1,104,0,1,0,0,17,76,18,92,199
COLFAX18,27,13,0,0,0,0,0,8,0,45,0,0,0,0,5,33,8,40,83
COLFAX19,30,8,0,0,0,1,0,3,1,50,0,0,1,0,8,20,4,38,80
COLFAX2,63,45,2,2,7,2,2,27,0,141,1,0,1,1,36,117,42,108,297
COLFAX20,68,35,0,0,4,0,1,11,1,118,3,0,2,0,39,82,16,103,245
COLFAX21,82,68,0,3,9,1,2,20,1,167,1,1,1,0,51,170,35,150,392
COLFAX22,70,57,1,2,12,2,9,71,3,146,2,1,1,0,34,274,97,127,461
COLFAX3,31,25,0,4,13,0,7,18,0,95,0,0,2,0,27,110,42,56,234
COLFAX4,39,33,2,1,10,0,0,25,0,97,2,0,2,0,20,143,38,72,264
COLFAX5,81,45,4,7,13,2,10,49,1,170,1,0,3,0,39,181,85,126,395
COLFAX7,41,22,1,1,4,0,2,17,1,71,1,2,0,1,23,105,25,63,204
CURRY1,2,3,0,2,7,0,3,41,0,3,1,0,0,0,3,90,53,5,97
CURRY10,7,19,3,1,9,0,6,76,1,40,2,0,1,0,13,256,95,26,313
CURRY11,33,49,5,5,19,1,3,130,1,178,4,0,4,0,72,456,163,82,715
CURRY12,29,39,1,1,12,1,2,69,0,152,3,1,3,0,42,302,86,68,503
CURRY13,17,32,1,2,13,1,3,72,0,80,2,0,1,0,38,244,92,49,365
CURRY14,11,24,2,3,12,2,6,70,3,79,1,0,4,0,27,295,95,35,409
CURRY15,23,29,2,5,4,0,4,43,3,98,3,0,7,1,43,254,58,52,409
CURRY16,0,2,0,0,0,0,3,3,0,0,0,0,0,0,3,32,6,2,35
CURRY17,25,23,1,10,23,0,9,123,1,103,2,0,1,0,34,431,166,48,572
CURRY18,62,47,9,22,35,4,11,321,2,234,5,0,32,1,50,1013,402,109,1337
CURRY19,34,34,4,8,29,2,13,210,4,129,1,0,6,0,52,647,266,68,839
CURRY2,6,5,0,2,9,0,2,57,0,8,0,0,1,0,4,129,70,11,142
CURRY20,28,33,1,8,6,0,2,32,1,126,4,0,1,2,41,186,49,61,361
CURRY21,17,37,4,5,5,1,5,63,1,135,4,1,2,0,42,229,83,54,414
CURRY22,17,18,1,3,3,0,2,11,0,67,6,0,0,0,22,87,20,35,182
CURRY23,17,20,5,6,11,0,9,148,2,49,1,0,6,0,23,328,179,37,409
CURRY24,39,45,6,7,18,1,8,167,1,193,2,1,5,1,46,576,207,84,825
CURRY25,29,9,1,0,5,0,0,9,1,105,0,2,2,0,14,53,15,38,177
CURRY26,14,11,1,0,2,0,0,10,0,70,4,0,0,0,14,76,13,25,164
CURRY27,7,7,0,0,0,0,1,13,1,44,0,0,0,1,5,51,14,14,102
CURRY28,11,13,0,1,3,0,1,13,1,62,0,1,0,0,20,73,18,24,157
CURRY29,12,9,0,2,2,0,0,17,0,71,2,0,1,1,15,103,21,21,193
CURRY3,2,2,0,0,2,0,1,33,0,13,0,0,1,0,7,113,36,4,134
CURRY30,6,9,2,0,12,0,2,49,1,28,1,0,0,0,16,220,65,15,266
CURRY31,1,18,0,0,7,0,1,24,0,46,2,0,1,0,20,134,32,19,203
CURRY32,10,23,3,1,9,1,3,80,0,50,3,0,1,0,27,211,97,33,292
CURRY33,17,14,1,12,9,0,2,105,3,80,4,0,2,1,23,325,129,31,438
CURRY34,0,8,3,2,3,0,0,39,0,4,0,0,0,0,3,89,47,8,96
CURRY35,15,21,3,9,10,2,2,123,3,48,3,0,1,0,23,396,149,36,474
CURRY36,2,5,1,1,8,0,2,43,0,21,0,0,2,0,12,137,55,7,172
CURRY37,32,39,8,13,12,3,10,159,3,133,5,0,11,0,33,495,205,71,680
