precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_RIVA,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
BERNALILLO171,110,105,3,1,15,1,10,86,2,498,8,0,6,2,112,381,116,215,1009
BERNALILLO18,126,104,4,1,8,0,6,36,0,415,6,0,2,0,53,217,55,230,693
BERNALILLO180,66,58,0,1,4,1,7,26,0,190,5,0,2,1,30,77,39,124,305
BERNALILLO181,213,156,0,3,5,2,8,37,0,591,12,0,2,0,63,164,55,369,832
BERNALILLO182,80,64,2,1,12,2,3,12,1,238,5,0,1,2,46,112,32,144,405
BERNALILLO183,159,178,2,3,9,1,4,42,0,479,11,0,0,0,76,184,61,337,750
BERNALILLO184,104,86,4,4,3,0,6,23,0,291,6,0,4,0,30,95,40,190,426
BERNALILLO185,222,176,5,0,14,1,12,42,2,626,15,0,3,0,56,201,74,398,903
BERNALILLO186,144,130,3,1,11,1,3,21,1,485,5,1,4,1,59,171,40,274,727
BERNALILLO187,145,108,1,1,4,0,3,28,0,416,11,0,4,1,47,118,37,253,597
BERNALILLO19,135,135,6,12,25,3,19,132,1,565,12,0,14,3,144,604,197,270,1343
BERNALILLO191,70,75,2,3,9,0,1,19,0,222,5,1,7,1,33,89,34,145,358
BERNALILLO192,80,92,0,1,3,0,0,19,0,288,7,0,1,2,36,74,23,172,408
BERNALILLO193,58,98,4,0,2,1,1,26,0,270,12,0,0,0,44,102,34,156,428
BERNALILLO194,83,78,0,3,2,0,3,20,1,303,6,0,1,0,40,119,28,161,470
BERNALILLO195,64,73,2,1,4,0,0,13,0,209,4,0,0,0,34,70,20,137,317
BERNALILLO196,39,37,4,1,5,0,3,10,0,176,6,0,0,1,30,68,23,76,281
BERNALILLO197,66,78,1,0,3,1,0,16,2,304,13,0,2,0,34,99,21,144,454
BERNALILLO2,65,66,3,2,13,1,8,57,0,288,3,0,11,0,52,270,84,131,624
BERNALILLO20,164,113,2,3,16,0,10,93,1,486,11,1,14,0,89,381,124,277,983
BERNALILLO21,191,161,5,5,23,3,12,110,6,653,13,0,11,0,134,506,158,352,1323
BERNALILLO211,38,35,1,1,2,0,0,8,0,173,7,0,1,2,26,40,12,73,249
BERNALILLO212,76,62,0,0,0,1,0,9,0,267,15,0,0,2,46,46,10,138,376
BERNALILLO214,49,109,3,0,2,0,1,7,1,280,11,0,1,2,24,45,13,158,364
BERNALILLO215,29,92,0,1,1,0,2,4,2,218,19,1,3,1,39,39,8,121,322
BERNALILLO216,81,71,1,0,3,0,5,16,0,279,4,1,2,0,50,76,25,152,412
BERNALILLO217,17,14,0,0,0,0,0,4,0,60,1,0,0,0,5,17,4,31,83
BERNALILLO22,81,86,3,5,12,3,11,80,2,317,10,0,12,0,93,278,114,167,712
BERNALILLO221,90,149,1,0,1,2,0,11,2,427,10,0,6,4,48,80,15,239,577
BERNALILLO223,27,95,0,0,1,0,1,1,1,208,18,1,0,5,31,19,3,122,283
BERNALILLO224,33,63,0,0,0,0,1,6,0,176,14,1,2,2,12,32,7,96,239
BERNALILLO225,23,33,0,2,0,0,0,2,0,91,6,1,0,0,10,17,4,56,125
BERNALILLO226,42,44,0,0,2,0,0,1,0,163,3,0,1,0,25,22,3,86,214
BERNALILLO23,140,114,1,5,18,1,8,66,4,453,11,0,1,0,107,353,99,254,929
BERNALILLO24,175,182,2,3,25,1,12,102,5,653,11,1,8,3,158,498,145,357,1337
BERNALILLO241,26,112,0,2,2,0,1,8,0,228,18,0,2,4,29,35,13,138,316
BERNALILLO242,38,156,1,0,1,0,0,5,2,282,9,2,0,7,26,33,7,194,361
BERNALILLO243,35,182,1,0,1,1,4,4,0,342,12,0,0,2,48,47,11,217,451
BERNALILLO244,109,169,1,2,2,1,3,21,0,455,23,0,1,2,40,64,30,278,585
BERNALILLO245,73,143,0,2,0,0,1,7,0,331,20,1,1,1,21,45,10,216,420
BERNALILLO246,27,52,1,1,2,0,0,4,0,183,8,0,2,4,31,33,8,79,261
BERNALILLO25,144,133,4,6,19,4,13,96,1,574,7,1,10,0,125,471,142,277,1189
BERNALILLO251,74,98,1,0,0,0,1,12,0,280,7,0,1,1,15,49,14,172,353
BERNALILLO252,101,83,2,0,2,1,5,15,0,321,3,0,0,0,37,54,25,184,415
BERNALILLO253,115,156,1,1,5,0,2,27,0,490,12,0,1,3,39,115,36,271,660
BERNALILLO254,115,157,0,2,3,1,12,16,0,442,11,0,1,3,47,101,34,272,605
BERNALILLO255,107,172,2,0,3,1,2,19,2,443,18,1,1,2,48,98,27,279,613
BERNALILLO256,95,140,2,0,2,1,3,11,0,351,12,0,2,0,21,62,19,235,448
BERNALILLO257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BERNALILLO258,7,18,1,0,5,0,3,38,2,99,2,0,15,0,44,174,47,25,336
BERNALILLO26,163,149,2,3,5,3,4,88,0,551,13,0,7,0,123,327,105,312,1021
