precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_ind_COLE,pri_ind_HENDRIX,pri_ind_III,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_DAVIS,pri_rep_FIELDS,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
COLUMBIACHRIST SANCTIFIED,108,2,54,0,0,0,0,5,53,0,216,0,0,0,0,4,27,0,3,0,133,0,251,396,68,1109,692,164,1573
COLUMBIACHRIST THE KING LUTH CH,118,0,40,0,0,0,0,5,40,0,177,0,0,0,1,1,49,0,0,0,197,0,244,414,31,1063,714,158,1508
COLUMBIACHURCH OF OUR SAVIOR,96,1,80,0,0,0,0,1,35,0,161,0,0,0,0,0,27,0,0,0,111,0,236,486,50,876,571,177,1412
COLUMBIACOL CTY BD OF EDU,103,0,54,0,0,0,0,1,40,1,180,0,0,1,0,1,24,0,1,0,128,0,204,399,37,972,581,157,1408
COLUMBIACOL CTY MAIN LIBRARY,128,0,46,0,0,0,0,4,39,1,157,0,0,0,1,0,30,0,2,0,123,0,164,411,33,777,521,174,1221
COLUMBIADAMASCUS BAPTIST CHURCH,12,0,12,1,0,0,0,4,25,1,104,0,0,3,0,0,17,0,0,0,41,0,176,68,11,576,371,25,655
COLUMBIAEUBANK/BLANCHARD CENTER,77,0,25,1,0,0,0,1,36,0,130,0,0,0,0,0,12,0,1,0,56,0,154,208,17,673,390,103,898
COLUMBIAG A APOSTOLIC CHURCH,85,0,35,1,0,0,0,2,31,0,149,0,0,0,0,1,7,0,3,0,67,1,155,256,18,701,416,121,975
COLUMBIAGENESIS CHURCH,73,0,43,0,0,0,0,3,52,0,193,0,0,0,1,1,45,0,1,0,156,0,198,347,48,926,650,116,1321
COLUMBIAGOLD CROSS EMS,68,0,48,1,0,0,0,10,51,2,186,0,0,0,0,1,40,0,0,0,124,0,206,284,53,964,620,117,1301
COLUMBIAGOSPEL WATER BRANCH,111,0,39,1,0,0,0,1,49,0,141,0,0,0,0,1,30,0,0,0,140,0,132,392,31,712,494,151,1135
COLUMBIAGRACE BAPTIST CHURCH,223,0,98,2,0,0,0,1,64,0,241,0,0,0,1,1,46,0,3,0,201,1,247,767,74,1334,806,323,2175
COLUMBIAGREENBRIER HIGH,78,0,44,1,0,0,0,3,74,0,224,0,0,1,0,1,58,0,1,0,198,1,258,387,85,1393,819,123,1865
COLUMBIAGROVETOWN CITY HALL,212,1,83,0,0,0,0,2,36,1,130,0,0,0,0,1,7,0,1,0,71,0,192,812,75,883,441,296,1770
COLUMBIAGROVETOWN METHODIST CHURCH,195,0,70,2,0,0,0,3,17,0,98,0,0,0,0,0,7,0,0,0,64,0,126,600,46,536,315,267,1182
COLUMBIAGROVETOWN MIDDLE SCHOOL,163,2,75,0,0,0,0,0,25,0,139,0,0,0,0,0,20,0,0,0,72,0,136,713,69,695,392,240,1477
COLUMBIAHARLEM BAPTIST CHURCH-10,85,1,19,1,0,0,0,1,11,0,64,0,0,0,0,0,4,0,0,0,20,0,53,219,15,346,153,106,580
COLUMBIAHARLEM BAPTIST CHURCH-12,93,1,13,1,0,0,0,0,7,0,45,0,0,0,0,1,2,0,0,0,22,1,38,204,8,259,116,108,471
COLUMBIAHARLEM MIDDLE SCHOOL-10,20,2,10,0,0,0,0,1,16,0,56,0,0,0,0,0,3,0,2,0,23,0,75,63,12,289,176,32,364
COLUMBIAHARLEM MIDDLE SCHOOL-12,48,0,19,0,0,0,0,1,23,0,109,0,0,0,0,0,2,0,0,0,30,0,142,185,15,601,307,67,801
COLUMBIAJOURNEY COMM. CHURCH,26,0,15,0,0,0,0,1,20,0,98,0,0,0,0,0,14,0,0,0,85,1,121,107,20,459,340,41,586
COLUMBIAKIOKEE BAPTIST CHURCH-10,16,0,11,0,0,0,0,0,16,0,110,0,0,0,0,0,7,0,0,0,43,0,111,52,12,502,287,27,566
COLUMBIAKIOKEE BAPTIST CHURCH-12,38,0,15,0,0,0,0,0,49,0,189,0,0,0,0,3,22,1,0,0,108,0,245,125,35,1022,617,53,1182
COLUMBIALAKESIDE MIDDLE,64,0,57,0,0,0,0,6,38,0,174,0,0,0,0,1,16,0,1,0,112,0,129,349,58,812,477,121,1219
COLUMBIALEWIS METHODIST CHURCH,207,2,91,0,0,0,0,9,104,4,341,0,0,2,0,1,41,0,2,0,322,0,393,861,127,2014,1219,300,3002
COLUMBIAMARTINEZ BAPTIST,84,0,62,0,0,0,0,2,23,0,117,0,0,0,0,1,10,0,1,0,71,0,151,349,45,676,376,146,1070
COLUMBIAMARVIN METHODIST CHURCH,94,2,51,1,0,0,0,2,41,0,139,0,0,0,0,1,21,0,3,0,91,0,173,388,49,770,471,148,1207
COLUMBIAMTZ COL FIRE DEPT #4,98,1,54,2,0,0,0,3,42,0,146,0,0,0,0,1,5,0,0,0,72,0,170,415,61,729,439,155,1205
COLUMBIAMTZ COL FIRE HDQTR,51,0,33,1,0,0,0,0,19,0,89,0,0,1,0,1,4,0,0,0,54,0,111,269,32,491,279,85,792
COLUMBIAPATRIOTS PARK,210,2,110,0,0,0,0,3,98,0,305,0,0,1,0,1,28,0,4,0,231,0,320,1079,150,1753,991,322,2982
COLUMBIAPHILADELPHIA CHURCH,112,1,37,0,0,0,0,0,39,1,160,0,0,2,0,0,13,0,3,0,91,0,116,429,68,750,425,150,1247
COLUMBIAREDEEMER CHURCH,214,1,65,0,0,0,0,4,90,2,356,0,0,0,0,1,54,0,3,0,275,2,372,783,98,1911,1159,280,2792
COLUMBIARIVERSIDE ELEMENTARY,77,1,45,0,0,0,0,0,27,1,137,0,0,0,0,1,20,0,2,0,132,0,99,267,28,624,419,123,919
COLUMBIASECOND MT CARMEL BAPT CHURCH,129,0,12,0,0,0,0,0,5,0,33,0,0,0,0,0,4,0,0,0,16,0,27,286,4,188,85,141,478
COLUMBIASTEVENS CREEK CHURCH,123,0,76,0,0,0,0,2,65,1,267,0,0,1,0,1,63,0,1,0,302,0,300,523,45,1348,1003,199,1916
COLUMBIASTEVENS CREEK ELEM,65,1,20,0,0,0,0,5,35,1,135,0,0,0,0,0,47,0,1,0,168,0,215,290,23,887,607,86,1200
COLUMBIATRINITY BAPT CHURCH,32,0,38,0,0,0,0,1,25,1,102,0,0,0,0,0,7,0,0,0,62,0,147,156,21,596,345,70,773
COLUMBIAWARREN BAPTIST CHURCH - GROVETOWN,141,0,72,3,0,0,0,1,37,0,118,0,0,0,0,0,9,0,0,0,49,1,126,702,51,638,341,216,1391
COLUMBIAWESLEY METHODIST,109,0,40,0,0,0,0,5,60,2,261,0,0,1,0,2,39,0,0,0,224,0,294,452,39,1377,888,149,1868
COLUMBIAWEST ACRES BAPTIST,111,1,63,0,0,0,0,3,75,1,220,0,0,0,0,1,36,0,1,0,187,0,253,411,64,1170,777,175,1645
COLUMBIAWESTSIDE BAPT CHURCH,70,0,41,0,0,0,0,3,63,0,148,0,0,1,1,0,43,0,2,0,125,0,208,275,32,859,594,111,1166
COLUMBIAWOODLAWN BAPTIST CHURCH,54,0,30,0,0,0,0,1,41,0,130,0,0,0,0,1,20,0,0,0,84,0,164,207,26,672,441,84,905
COOKCECIL,178,1,25,0,0,0,0,1,12,4,82,0,0,1,0,0,4,0,2,0,17,0,128,455,13,494,251,204,962
COOKDELLE BEAMGUARD,68,4,46,0,0,0,0,3,54,2,129,0,0,0,0,4,12,0,0,0,68,0,341,280,44,1092,613,118,1416
COOKELM PINE,116,1,22,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,3,261,6,14,8,139,281
COOKLENOX,60,0,17,1,0,0,0,3,21,2,77,0,0,0,0,0,8,0,1,0,44,0,187,165,15,568,343,78,748
COOKMASSEE,28,0,11,0,0,0,0,1,14,1,54,0,0,0,0,1,5,0,0,0,16,0,135,93,10,446,227,39,549
COOKNEW LIFE BAPT. CHURCH,17,2,23,0,0,0,0,2,42,0,78,0,0,1,0,1,6,0,0,0,39,0,188,105,9,665,357,42,779
COOKRIVERBEND,22,0,9,1,0,0,0,4,28,0,57,0,0,0,0,0,6,0,0,0,43,1,187,99,10,703,326,32,812
COOKSPARKS,91,0,18,0,0,0,0,0,6,0,39,0,0,0,0,0,5,0,0,0,13,0,60,295,5,194,123,109,494
COWETAARTS CENTRE,523,1,228,2,0,0,0,16,240,7,734,0,0,3,0,3,208,0,4,0,885,0,1066,2043,239,5098,3166,754,7380
COWETACANNONGATE,101,0,77,1,0,0,0,2,128,1,344,0,0,2,0,2,79,0,2,0,371,0,424,441,126,1982,1355,179,2549
COWETACEDAR CREEK,182,1,111,0,0,0,0,11,90,0,408,0,0,1,0,7,82,1,4,0,392,0,580,655,116,2712,1576,294,3483
COWETACENTRAL,266,0,75,0,0,0,0,1,16,1,24,0,0,0,1,0,11,0,1,0,37,0,61,955,57,260,153,341,1272
COWETACOWETA CENTRAL LIBRARY,56,0,46,0,0,0,0,2,37,1,158,0,0,0,0,0,24,0,1,0,115,0,206,206,34,869,544,102,1109
COWETADRESDEN,35,0,22,1,0,0,0,2,20,0,57,0,0,0,0,2,20,0,4,0,40,2,132,94,23,455,279,58,572
COWETAEXPO CENTER,77,0,44,0,0,0,0,6,25,2,143,0,0,0,0,1,66,0,4,0,161,0,201,306,58,878,609,121,1242
COWETAFISCHER ROAD,155,2,101,0,0,0,0,5,65,1,306,0,0,1,0,2,69,1,3,0,303,1,395,586,126,1941,1152,258,2653
COWETAGRANTVILLE,128,1,47,0,0,0,0,5,43,1,140,0,0,0,0,1,13,0,2,0,84,2,234,457,45,1018,525,176,1520
COWETAGREENTOP,135,2,53,1,0,0,0,5,46,1,159,0,0,1,0,2,42,0,1,0,190,0,224,540,50,1032,671,191,1622
COWETAHARALSON,70,0,39,0,0,0,0,1,36,0,167,0,0,0,0,0,17,0,2,0,108,0,307,217,33,1166,638,109,1416
COWETAJEFFERSON PARKWAY,414,2,233,1,0,0,0,6,73,3,250,0,0,2,0,1,37,0,4,0,272,0,356,2097,187,2025,1004,650,4309
COWETAMADRAS,176,0,117,2,0,0,0,4,63,1,293,0,0,0,0,2,59,0,1,0,240,0,422,748,99,1824,1085,295,2671
COWETAMORELAND,76,1,39,0,0,0,0,3,66,2,189,0,0,0,0,3,29,0,2,0,151,1,374,254,38,1274,820,116,1566
COWETANEWNAN,318,1,108,2,0,0,0,1,36,1,108,0,0,0,0,2,45,0,2,0,114,0,152,1043,64,696,461,429,1803
COWETANORTHSIDE,129,2,75,1,0,0,0,5,47,0,155,0,0,1,0,3,58,0,0,0,175,0,232,473,60,1031,676,207,1564
COWETAPANTHER CREEK,116,2,60,2,0,0,0,6,56,0,185,0,0,0,0,1,39,0,2,0,119,0,365,387,60,1360,773,180,1807
COWETAPINE ROAD,46,1,28,0,0,0,0,1,42,1,173,0,0,0,0,1,25,0,1,0,100,0,267,172,28,1040,611,75,1240
COWETARAYMOND,68,0,41,1,0,0,0,1,55,0,239,0,0,2,0,3,30,0,1,0,109,0,298,234,49,1219,738,110,1502
COWETASENOIA,208,4,89,2,0,0,0,9,108,0,383,0,0,2,1,2,78,0,4,0,354,1,530,716,126,2597,1472,303,3439
COWETASHARPSBURG,131,3,97,1,0,0,0,8,104,0,352,0,0,1,0,5,44,0,3,0,314,0,497,520,127,2350,1328,232,2997
COWETASMOKEY ROAD,158,0,45,1,0,0,0,3,34,0,132,0,0,0,0,4,24,0,0,0,84,0,181,571,45,812,462,204,1428
COWETATHOMAS CROSSROADS,142,3,133,1,0,0,0,11,111,2,451,0,0,0,0,2,75,1,1,0,386,1,635,661,133,2678,1676,279,3472
COWETATURIN,145,2,67,4,0,0,0,4,83,2,297,0,0,0,3,2,51,0,5,0,256,0,431,498,89,2016,1134,218,2603
COWETATURKEY CREEK,78,0,36,0,0,0,0,2,20,0,46,0,0,1,0,0,6,0,2,0,41,0,70,259,25,323,188,114,607
COWETAWELCOME,110,1,77,1,0,0,0,3,64,2,202,0,0,0,1,1,30,0,1,0,138,3,461,379,62,1558,906,189,1999
COWETAWESTSIDE,117,0,13,0,0,0,0,0,7,0,18,0,0,0,0,0,7,0,0,0,7,0,53,317,14,149,92,130,480
COWETAWHITE OAK,199,1,134,1,0,0,0,4,94,2,338,0,0,1,0,4,59,0,6,0,285,0,446,754,122,2170,1239,335,3046
CRAWFORD1A,59,1,7,0,0,0,0,0,14,0,11,0,0,0,0,0,4,0,0,0,14,0,31,135,3,154,74,67,292
CRAWFORD4,32,2,19,0,0,0,0,1,24,0,99,0,0,1,0,0,17,0,0,0,66,1,221,126,16,906,430,53,1048
CRAWFORD5,35,0,16,0,0,0,0,0,31,2,110,0,0,0,0,1,19,0,0,0,51,1,255,110,22,927,470,51,1059
CRISPARABI,28,0,11,3,0,0,0,0,14,0,39,0,0,0,0,1,2,0,0,0,28,0,105,81,6,392,189,42,479
CRISPCONEY,14,0,19,1,0,0,0,1,15,1,79,0,0,0,0,1,13,0,1,0,49,0,155,61,7,579,315,34,647
CRISPCORDELE,650,3,125,2,0,0,0,7,73,2,267,0,0,0,0,3,36,0,1,0,219,4,584,2582,80,2343,1196,780,5005
CRISPJAMESTOWN,21,0,13,0,0,0,0,2,30,1,89,0,0,0,0,1,25,0,0,0,63,0,222,79,13,736,433,34,828
CRISPLISTONIA,18,0,4,0,0,0,0,2,16,0,59,0,0,1,1,1,6,0,0,0,40,0,140,34,20,499,266,22,553
DADEDAVIS,40,0,28,1,0,0,0,1,34,0,112,0,0,1,0,1,7,0,4,0,88,0,247,119,29,967,495,69,1115
DADENEW HOME,14,0,12,2,0,0,0,0,29,0,43,0,0,0,0,1,6,0,1,0,29,0,73,45,13,348,182,28,406
DADENEW SALEM,28,0,48,0,0,0,0,1,38,1,62,0,0,0,0,0,19,0,0,0,93,0,158,140,27,590,372,76,757
DADENORTH DADE,57,0,44,3,0,0,0,2,52,0,89,0,0,0,0,0,15,0,0,0,95,0,192,226,34,815,445,104,1075
DADESOUTH DADE,30,0,16,0,0,0,0,3,22,1,40,0,0,0,0,1,10,0,1,0,32,0,115,94,15,445,225,46,554
DADETRENTON,50,1,55,1,0,0,0,4,75,1,122,0,0,0,0,2,24,0,5,0,185,0,293,210,55,1348,711,107,1613
DADEWEST BROW,23,0,28,0,0,0,0,0,23,0,87,0,0,0,0,1,38,0,1,0,140,0,75,131,53,538,365,51,722
DAWSONCENTRAL,115,2,97,3,0,0,0,12,159,1,690,0,0,2,0,6,67,0,1,0,371,0,1266,476,145,4683,2575,217,5304
DAWSONEAST,106,2,121,1,0,0,0,10,117,2,599,0,0,2,0,1,107,0,3,0,476,0,1014,609,173,3983,2331,230,4765
DAWSONWEST,91,1,51,0,0,0,0,3,35,0,179,0,0,0,0,1,93,0,3,0,247,0,371,363,38,1234,932,143,1635
DECATURATTAPULGUS,276,0,45,2,0,0,0,0,13,0,43,0,0,0,0,0,2,0,0,0,20,0,97,749,11,386,175,323,1146
DECATURBAINBRIDGE-COLISEUM,393,3,113,3,0,0,0,16,85,1,237,0,0,1,0,5,74,0,0,0,262,1,521,1363,40,2165,1203,512,3568
DECATURBRIDGE-FAIRGROUNDS,288,3,86,2,0,0,0,6,30,1,87,0,0,0,0,2,11,0,0,0,82,0,212,920,32,859,431,379,1811
DECATURBRINSON,46,1,12,0,0,0,0,3,12,0,40,0,0,0,0,1,1,0,1,0,27,0,133,132,3,424,218,59,559
DECATURCLIMAX,57,1,12,0,0,0,0,3,21,0,112,0,0,0,0,2,12,0,0,0,34,0,108,154,9,497,292,70,660
DECATURKENDRICK,29,0,14,0,0,0,0,0,10,1,35,0,0,0,0,0,1,0,0,0,17,0,73,77,2,262,137,43,341
DECATURMT PLEASANT,17,0,6,0,0,0,0,1,13,0,45,0,0,0,0,0,6,0,0,0,37,0,100,56,7,379,202,23,442
DECATURRECOVERY,22,0,15,0,0,0,0,1,9,0,45,0,0,0,1,0,4,0,1,0,31,0,99,87,9,362,191,37,458
DECATURWEST BAINBRIDGE,197,0,34,2,0,0,0,4,18,0,59,0,0,0,0,2,1,0,1,0,36,0,191,586,13,686,312,233,1285
DEKALBALLGOOD ELEM,580,0,159,0,0,0,0,1,10,0,30,0,0,0,0,0,11,0,0,0,34,0,35,1584,26,172,121,739,1782
DEKALBASHFORD DUNWOODY RD,301,1,120,0,0,0,0,3,15,1,104,0,0,2,0,1,133,1,1,0,359,1,171,1088,111,898,792,422,2097
DEKALBASHFORD PARK ELEM,169,1,115,1,0,0,0,2,11,0,68,0,0,1,0,1,76,0,4,0,306,0,152,784,125,809,621,286,1718
DEKALBASHFORD PARKSIDE,262,0,159,1,0,0,0,4,19,0,89,0,0,2,0,1,102,1,1,0,326,0,196,1418,105,956,741,422,2479
DEKALBAUSTIN,173,1,87,0,0,0,0,7,28,1,146,0,0,1,0,1,136,1,1,0,457,0,210,786,90,1065,989,261,1941
DEKALBAUSTIN DRIVE,383,1,107,1,0,0,0,0,4,1,9,0,0,0,0,0,1,0,0,0,14,0,11,1110,21,61,40,492,1192
DEKALBAVONDALE,545,2,330,0,0,0,0,4,17,2,86,0,0,1,0,1,90,0,0,0,262,1,120,1486,134,551,584,877,2171
DEKALBAVONDALE HIGH - 04,312,2,240,1,0,0,0,4,6,0,13,0,0,0,1,0,19,0,2,0,71,0,38,954,32,167,154,555,1153
DEKALBAVONDALE HIGH - 05,257,0,195,0,0,0,0,1,4,0,13,0,0,0,1,1,12,1,0,0,38,0,17,850,32,93,88,452,975
DEKALBBETHUNE MIDDLE,863,3,175,1,0,0,0,2,7,0,11,0,0,0,0,1,6,0,0,0,18,0,8,2411,23,81,53,1042,2515
DEKALBBOULDERCREST RD,505,0,100,1,0,0,0,0,2,0,8,0,0,1,0,1,2,0,0,0,4,0,15,1112,11,53,33,606,1176
DEKALBBOULEVARD,839,2,564,1,0,0,0,1,13,1,27,0,0,1,0,0,53,0,1,0,149,0,32,2581,142,236,278,1406,2959
DEKALBBRIAR VISTA ELEM,368,1,237,0,0,0,0,1,10,0,52,0,0,0,0,0,41,0,1,0,170,0,81,1373,100,409,356,606,1882
DEKALBBRIARCLIFF,328,2,214,1,0,0,0,7,17,1,83,0,0,0,0,0,74,0,4,0,268,0,100,1200,87,689,554,545,1976
DEKALBBRIARLAKE ELEM,198,0,135,0,0,0,0,2,21,0,80,0,0,0,0,0,71,0,0,0,226,0,115,709,58,487,515,333,1254
DEKALBBRIARWOOD,223,0,110,0,0,0,0,0,8,0,44,0,0,0,1,0,54,0,2,0,180,0,87,872,93,515,376,333,1480
DEKALBBROCKETT,264,2,214,1,0,0,0,4,31,1,85,0,0,5,0,1,42,0,0,0,141,0,186,971,67,584,496,481,1622
DEKALBBROCKETT ELEM,298,2,176,0,0,0,0,6,24,0,76,0,0,0,1,0,55,0,1,0,181,0,140,1048,62,546,484,476,1656
DEKALBBROOKHAVEN,258,0,159,0,0,0,0,2,19,0,74,0,0,3,0,0,94,0,2,0,355,0,182,1169,142,993,731,417,2304
DEKALBBROWNS MILL ELEM,983,1,202,1,0,0,0,1,4,0,16,0,0,0,0,0,1,0,0,0,22,0,19,2300,36,80,63,1187,2416
DEKALBBURGESS ELEM,503,0,407,1,0,0,0,1,6,0,17,0,0,0,0,0,23,1,4,0,49,0,37,1730,76,133,138,911,1939
DEKALBCANBY LANE ELEM,492,2,69,0,0,0,0,0,2,0,4,0,0,0,0,0,3,0,0,0,2,0,11,1085,8,31,22,563,1124
DEKALBCANDLER,484,5,167,1,0,0,0,0,5,0,14,0,0,0,0,0,7,1,0,0,15,0,12,1518,44,67,54,657,1629
DEKALBCANDLER-MURPHEY CANDLER ELEM,612,0,150,0,0,0,0,1,10,0,27,0,0,0,0,1,5,0,0,0,18,1,47,1705,27,133,110,762,1865
DEKALBCEDAR GROVE ELEM,948,1,179,0,0,0,0,0,9,0,10,0,0,0,2,0,5,0,0,0,13,0,13,2451,33,92,52,1128,2576
DEKALBCEDAR GROVE MIDDLE,326,0,61,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,6,0,3,824,5,23,17,387,852
DEKALBCEDAR GROVE SOUTH,910,0,167,0,0,0,0,1,11,1,9,0,0,0,0,0,4,0,0,0,11,0,23,2239,23,75,60,1077,2337
DEKALBCHAMBLEE,234,3,214,2,0,0,0,1,16,2,92,0,0,2,0,0,30,0,2,0,147,0,122,633,64,361,414,453,1058
DEKALBCHAMBLEE 2,225,1,193,0,0,0,0,0,14,1,68,0,0,1,0,0,75,0,0,0,223,0,126,970,117,687,508,419,1774
DEKALBCHAPEL HILL ELEM,822,1,161,1,0,0,0,1,9,0,9,0,0,0,0,0,3,0,0,0,3,0,8,1913,23,49,33,985,1985
DEKALBCHESNUT ELEM,219,1,154,0,0,0,0,1,14,0,57,0,0,1,1,1,29,0,2,0,108,0,99,934,58,417,313,374,1409
DEKALBCLAIREMONT EAST,640,2,433,4,0,0,0,1,7,1,41,0,0,0,0,0,85,0,1,0,201,1,69,1966,97,351,407,1079,2414
DEKALBCLAIREMONT WEST,695,0,426,1,0,0,0,4,11,0,54,0,0,2,0,2,77,0,2,0,215,0,70,1997,91,329,437,1122,2417
DEKALBCLAIRMONT ROAD,415,1,355,1,0,0,0,8,13,1,77,0,0,1,0,1,50,0,1,0,166,0,73,1424,86,426,391,772,1936
DEKALBCLARKSTON,519,1,232,1,0,0,0,3,12,0,30,0,0,1,1,0,12,1,0,0,64,0,40,2396,53,230,164,753,2679
DEKALBCLIFTON ELEM,362,0,77,0,0,0,0,0,4,0,7,0,0,0,0,0,2,0,0,0,8,0,4,919,14,39,25,439,972
DEKALBCOLUMBIA DRIVE,500,0,97,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,6,0,6,1146,16,37,20,597,1199
DEKALBCOLUMBIA ELEM,246,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,746,14,8,8,300,768
DEKALBCOLUMBIA MIDDLE,325,0,76,1,0,0,0,2,1,0,3,0,0,0,0,0,1,0,0,0,7,0,4,949,16,28,18,402,993
DEKALBCORALWOOD,513,0,296,4,0,0,0,2,33,3,77,0,0,2,2,0,91,0,1,0,326,0,144,1567,117,665,681,813,2349
DEKALBCOVINGTON,202,1,98,0,0,0,0,1,0,0,11,0,0,0,0,0,17,0,0,0,24,0,12,855,32,83,65,301,970
DEKALBCOVINGTON HWY LIBRARY,66,0,33,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,5,349,7,19,10,99,375
DEKALBCROSS KEYS HIGH,170,0,106,0,0,0,0,2,3,0,43,0,0,0,0,0,51,0,1,0,192,0,82,783,89,483,374,276,1355
DEKALBCROSSROADS,651,2,163,0,0,0,0,0,6,0,7,0,0,0,0,0,13,0,0,0,16,0,9,1572,29,78,51,816,1679
DEKALBDORAVILLE NORTH,212,0,164,1,0,0,0,2,14,0,52,0,0,2,0,0,15,0,2,0,86,0,93,1080,66,380,266,377,1526
DEKALBDORAVILLE SOUTH,124,1,105,0,0,0,0,0,7,1,32,0,0,1,0,1,15,0,0,0,41,0,59,489,41,203,157,230,733
DEKALBDRESDEN ELEM,308,0,239,0,0,0,0,3,13,0,57,0,0,0,0,1,32,0,0,0,110,0,93,1905,124,726,309,547,2755
DEKALBDRUID HILLS HIGH,358,2,225,1,0,0,0,2,9,0,37,0,0,0,0,0,60,0,1,0,137,0,46,1567,68,279,292,586,1914
DEKALBDUNAIRE ELEM,348,1,124,0,0,0,0,2,11,0,21,0,0,0,0,0,6,0,0,0,19,0,26,993,19,133,85,473,1145
DEKALBDUNWOODY,240,2,115,1,0,0,0,2,16,1,63,0,0,2,0,0,63,0,2,0,242,0,129,1071,87,723,520,358,1881
DEKALBDUNWOODY HIGH,141,0,89,0,0,0,0,6,20,0,88,0,0,0,0,0,102,0,0,0,329,1,163,664,68,768,709,230,1500
DEKALBDUNWOODY LIBRARY,185,0,89,0,0,0,0,5,19,1,126,0,0,1,0,1,141,1,1,0,451,1,226,780,82,1040,974,274,1902
DEKALBEAST LAKE ELEM,651,1,335,1,0,0,0,2,6,0,17,0,0,0,0,0,26,0,2,0,65,0,35,2121,85,191,153,988,2397
DEKALBEMBRY HILLS,227,0,178,0,0,0,0,4,18,2,94,0,0,0,0,0,34,0,2,0,166,0,96,790,75,509,416,405,1374
DEKALBEMORY ROAD,124,0,95,0,0,0,0,1,5,0,6,0,0,0,0,0,20,0,1,0,38,0,19,674,19,124,90,219,817
DEKALBEMORY SOUTH,435,1,284,0,0,0,0,0,5,0,52,0,0,0,0,0,73,0,0,0,244,0,82,1738,123,473,456,720,2334
DEKALBEPWORTH,831,0,687,1,0,0,0,3,7,1,29,0,0,0,0,0,105,2,0,0,176,1,65,2611,116,282,389,1519,3009
DEKALBEVANSDALE ELEM,313,3,210,0,0,0,0,1,28,1,105,0,0,2,0,1,55,0,3,0,191,0,122,1224,77,510,509,526,1811
DEKALBFAIRINGTON ELEM,667,0,155,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,6,0,10,2253,30,62,25,823,2345
DEKALBFERNBANK ELEM,522,1,258,0,0,0,0,5,0,0,39,0,0,0,0,0,74,0,1,0,142,0,71,1303,63,320,332,781,1686
DEKALBFLAKES MILL FIRE STATION,471,0,85,0,0,0,0,0,7,0,1,0,0,0,0,0,2,0,1,0,5,0,8,1132,10,29,24,556,1171
DEKALBFLAT ROCK ELEM,709,0,180,1,0,0,0,0,8,0,12,0,0,1,0,0,2,0,0,0,9,0,14,1707,26,58,46,890,1791
DEKALBFLAT SHOALS,448,1,70,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,0,7,1099,25,26,13,520,1150
DEKALBFLAT SHOALS ELEM,484,0,70,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,4,1128,15,24,11,554,1167
DEKALBFLAT SHOALS LIBRARY,433,2,88,0,0,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,3,0,4,1194,16,26,21,523,1236
DEKALBFLAT SHOALS PARKWAY,925,1,199,0,0,0,0,0,7,0,8,0,0,0,0,1,1,0,0,0,11,0,16,2085,21,71,44,1125,2177
DEKALBFREEDOM MIDDLE,506,1,118,1,0,0,0,3,3,0,26,0,0,0,1,0,4,0,2,0,25,0,46,1531,25,161,110,626,1717
DEKALBGEORGETOWN SQUARE,271,1,154,0,0,0,0,6,25,2,115,0,0,0,1,0,82,1,3,0,263,0,155,1305,110,853,653,426,2268
DEKALBGLENHAVEN,320,0,78,1,0,0,0,2,6,0,9,0,0,0,0,0,3,0,0,0,8,0,30,808,28,75,58,399,911
DEKALBGLENNWOOD - 04,165,1,147,0,0,0,0,0,6,0,6,0,0,1,0,0,28,0,1,0,60,0,13,559,30,77,115,313,666
DEKALBGLENNWOOD - 05,211,0,137,0,0,0,0,2,3,0,9,0,0,0,0,0,12,0,1,0,38,0,18,719,18,104,83,348,841
DEKALBGLENWOOD ROAD,314,0,76,2,0,0,0,1,5,0,7,0,0,0,0,0,0,0,0,0,6,0,14,969,15,56,33,392,1040
DEKALBGRESHAM ROAD,614,1,264,0,0,0,0,2,4,0,13,0,0,0,1,0,7,0,0,0,28,0,21,1761,57,99,76,879,1917
DEKALBHAMBRICK ELEM,497,2,171,1,0,0,0,2,9,0,30,0,0,0,0,0,11,1,0,0,35,0,36,1653,32,197,124,671,1882
