precinct,pri_dem_CLINTON,pri_dem_SANDERS
WASHOE621400,1,5
WASHOE621600,2,4
WASHOE630000,4,3
WASHOE630100,1,0
WASHOE630200,2,5
WASHOE630300,0,1
WASHOE630600,5,4
WASHOE630700,7,4
WASHOE630800,5,3
WASHOE631000,3,2
WASHOE631100,3,4
WASHOE631300,6,3
WASHOE631400,3,2
WASHOE631800,1,0
WASHOE631900,2,2
WASHOE632000,3,4
WASHOE640000,3,3
WASHOE640300,5,4
WASHOE640500,3,3
WASHOE641100,3,4
WASHOE641300,4,4
WASHOE641500,2,2
WASHOE641600,6,3
WASHOE641800,3,3
WASHOE642200,4,3
WASHOE642300,2,3
WASHOE642500,4,6
WASHOE650000,4,5
WASHOE650100,5,5
WASHOE650300,0,0
WASHOE650800,2,2
WASHOE651100,2,4
WASHOE651300,4,3
WASHOE651400,4,5
WASHOE651600,5,4
WASHOE651900,6,4
WASHOE652000,2,2
WASHOE652100,2,1
WASHOE652200,2,1
WASHOE652400,4,3
WASHOE652500,0,1
WASHOE652600,1,3
WASHOE730000,2,1
WASHOE730200,0,0
WASHOE730400,5,0
WASHOE730600,0,1
WASHOE730700,0,0
WASHOE730800,1,0
WASHOE730900,1,0
WASHOE731200,2,4
WASHOE731300,1,1
WASHOE731400,2,4
WASHOE731500,0,0
WASHOE731600,5,4
WASHOE731700,0,0
WASHOE731800,1,0
WASHOE731900,0,1
WASHOE740000,0,0
WASHOE740200,3,5
WASHOE740400,1,0
WASHOE740700,2,3
WASHOE740800,1,1
WASHOE741000,3,3
WASHOE741200,4,2
WASHOE741300,0,0
WASHOE741400,4,4
WASHOE741500,5,3
WASHOE741600,3,3
WASHOE741700,3,0
WASHOE741800,3,3
WASHOE742400,1,0
WASHOE742500,2,4
WASHOE742600,1,0
WASHOE743000,3,2
WASHOE743100,1,0
WASHOE743300,0,0
WASHOE750000,0,1
WASHOE750100,1,1
WASHOE750200,5,4
WASHOE750300,0,1
WASHOE750400,5,4
WASHOE750500,1,2
WASHOE750600,1,2
WASHOE750700,1,1
WASHOE750800,0,1
WASHOE750900,0,0
WASHOE751200,1,0
WASHOE751300,3,3
WASHOE751400,3,2
WASHOE751600,0,1
WASHOE751700,1,2
WASHOE751900,2,1
WASHOE752000,4,3
WASHOE752100,0,1
WASHOE752200,0,1
WASHOE752300,2,5
WASHOE752400,2,2
WASHOE752500,3,3
WASHOE752600,3,3
WASHOE752700,2,1
WASHOE752800,1,2
WASHOE752900,0,1
WASHOE753100,0,1
WASHOE753200,3,3
WASHOE753300,1,1
WASHOE753400,0,1
WASHOE753600,3,3
WASHOE753700,0,1
WASHOE753900,0,0
WASHOE754000,1,1
WASHOE754100,3,3
WASHOE754300,2,2
WASHOE754400,1,1
WASHOE754700,0,1
WASHOE754800,0,1
WASHOE754900,0,0
WASHOE755000,1,0
WASHOE755200,0,1
WASHOE755300,0,0
WASHOE755600,0,0
WASHOE755700,3,3
WASHOE755800,0,0
WASHOE756300,0,1
WASHOE756500,0,1
WASHOE756900,0,0
WASHOE757000,0,1
WASHOE757100,0,0
WASHOE757200,0,1
WASHOE757300,3,1
WASHOE757500,0,0
WASHOE757600,1,2
WASHOE757700,0,2
WASHOE757800,0,1
WASHOE757900,1,0
WASHOE758100,3,0
WASHOE758200,0,0
WASHOE758400,0,0
WASHOE758600,1,1
WASHOE758700,0,1
WASHOE758800,0,0
WASHOE758900,0,0
WASHOE810000,4,2
WASHOE810100,1,0
WASHOE810200,1,0
WASHOE810300,3,1
WASHOE810400,2,2
WASHOE810500,3,2
WASHOE810600,3,2
WASHOE810700,4,3
WASHOE810800,3,2
WASHOE810900,3,4
WASHOE811000,1,1
WASHOE811100,1,0
WASHOE811200,0,1
WASHOE811400,1,0
WASHOE811500,0,0
WASHOE811600,2,4
WASHOE811700,3,2
WASHOE811800,1,0
WASHOE812500,0,0
WASHOE812800,0,1
WASHOE812900,0,1
WASHOE820000,3,1
WASHOE820100,1,1
WASHOE820200,5,3
WASHOE820300,3,1
WASHOE820400,0,1
WASHOE820500,3,2
WASHOE820600,1,0
WASHOE820700,1,1
WASHOE820800,1,1
WASHOE820900,3,2
WASHOE821000,1,2
WASHOE821100,1,0
WASHOE821200,0,0
WASHOE821300,0,1
WASHOE821400,1,0
WASHOE821500,1,0
WASHOE821600,1,1
WASHOE821700,3,3
WASHOE821800,0,0
