precinct,gen_amd_FUENTE,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP
HUMPHREYSBELZONI SOUTH - 3BS 3010,0,0,322,0,0,0,8
HUMPHREYSBELZONI SOUTH - 5BS 5010,0,0,301,0,0,0,5
HUMPHREYSFOURMILE NORTH - 1FN 1010,0,0,2,0,0,0,34
HUMPHREYSGOODEN LAKE NORTH - 2GN 2030,0,0,6,0,0,0,39
HUMPHREYSISOLA NORTH - 2IN 2010,0,0,416,0,1,2,142
HUMPHREYSLAKE CITY SOUTH - 3LS 3030,0,1,12,0,0,0,83
HUMPHREYSLOUISE SOUTH - 5LS 5030,2,0,322,0,6,1,103
HUMPHREYSMIDNIGHT SOUTH - 5MS 5020,0,0,68,0,1,0,65
HUMPHREYSNAN,4,8,3071,3,12,4,1151
HUMPHREYSPUTNAM SOUTH - 4PS 4030,0,0,42,0,1,0,132
HUMPHREYSSILVER CITY SOUTH - 3SS 3020,0,2,221,0,1,0,105
ISSAQUENAGRACE VOTING PRECINCT,0,0,52,0,1,1,82
ISSAQUENAMAYERSVILLE COURTHOUSE,0,0,157,0,0,0,8
ISSAQUENANAN,1,0,395,0,4,1,298
ITAWAMBAMANTACHIE-3D,0,0,9,0,0,0,138
ITAWAMBANAN,5,36,1117,20,84,5,8470
ITAWAMBASALEM-COPELAND,0,1,32,0,2,0,343
JACKSONNAN,26,168,14657,162,901,24,33629
JACKSONYMBC-DANTZLER,3,1,745,3,14,0,420
JASPERNAN,6,22,4368,6,28,7,4038
JASPERROSS HILL,0,0,163,1,0,0,196
JEFFERSON DAVISHERBON 52,0,0,51,0,0,1,60
JEFFERSON DAVISMEIBA 34,0,0,16,0,0,0,61
JEFFERSON DAVISNAN,2,20,3720,3,21,5,2466
JEFFERSON DAVISNORTH EAST PRENTISS 43,0,0,426,0,1,1,187
JEFFERSONHARRISON,0,0,196,1,0,1,14
JEFFERSONMT.ISRAEL BAPTIST CENTER,1,0,395,1,1,0,44
JEFFERSONNAN,1,7,3337,7,13,5,490
JONESBRATA,0,1,195,0,4,0,159
JONESHEBRON,1,3,329,0,2,0,219
JONESNAN,16,81,7791,53,268,10,20133
JONESSANDERVILLE,0,3,101,1,8,0,501
JONESSPRINGHILL/MAULDIN,1,2,198,1,15,0,894
KEMPERBAND BUILDING,0,1,262,0,2,1,144
KEMPERCOURTHOUSE,0,3,458,1,2,0,172
KEMPERFARMERS MARKET,0,0,63,0,0,0,50
KEMPERFORT STEVENS,0,2,37,0,2,0,103
KEMPERKELLIS STORE,1,0,134,0,1,0,27
KEMPERKEMPER SPRINGS,0,0,119,0,1,0,16
KEMPERLYNVILLE,0,2,124,0,4,0,192
KEMPERLYNWOOD,0,1,88,0,3,0,235
KEMPERMOUNT NEBO,0,0,191,0,1,0,122
KEMPERNAN,1,11,2827,1,18,3,1778
KEMPERPORTERVILLE,0,1,380,0,0,1,114
KEMPERPRESTON,0,0,210,0,0,0,159
KEMPERSATELLITE,0,0,312,0,2,0,205
KEMPERSCOOBA A-L,0,0,232,0,0,1,114
KEMPERSCOOBA M-Z,0,1,217,0,0,0,125
LAFAYETTEANCHOR-TAYLOR 4,0,3,60,0,12,0,409
LAFAYETTEDENMARK-LAF SPRINGS-PINE BLUFF,0,2,57,1,6,0,434
LAFAYETTENAN,15,68,7969,134,577,8,10872
LAMARNAN,13,104,5190,75,452,7,18751
LAMARSUMRALL,1,6,233,9,28,0,2063
LAUDERDALE235 - DALEVILLE,0,4,170,0,5,0,64
LAUDERDALE410 -TEN,0,1,234,3,1,1,54
LAUDERDALE563 - WHYNOT,0,4,66,1,3,0,372
LAUDERDALENAN,11,90,11269,71,307,17,17741
LAWRENCECOOPERS CREEK(A-Z),0,1,34,1,2,0,404
LAWRENCENAN,3,13,2195,15,40,7,4091
LAWRENCEWANILLA,0,0,9,0,0,0,62
LAWRENCEWANILLA 91,0,0,47,0,0,0,6
LEAKENAN,2,24,3584,13,40,4,4782
LEAKEWALNUT GROVE,1,1,560,0,2,0,178
LEEAUBURN,0,1,83,4,12,0,875
LEFLORENAN,7,25,7787,25,78,6,3212
LINCOLNBRIGNAL,1,0,203,1,0,0,32
LINCOLNNAN,12,50,4458,26,89,8,10550
LOWNDESEAST COLUMBUS GYM,2,5,1158,5,12,0,683
LOWNDESIMMANUEL,0,4,234,1,9,0,413
LOWNDESNAN,14,72,11819,95,295,9,13271
LOWNDESPROPST PARIC COMMUNITY HUT,0,1,270,1,2,0,11
LOWNDESTOWSEND PARK,0,1,842,6,6,1,68
MADISONCOUPARLE,0,0,30,0,1,0,16
MADISONFARMHAVEN,0,1,564,1,7,0,91
MADISONGLUCKSTADT AT ST JOE CATHOLIC,2,11,949,10,100,1,2673
MADISONNAN,24,268,20343,133,842,27,28265
MADISONRIDGELAND 1ST METHODIST CHURCH,0,11,567,6,39,0,857
MADISONSUNNYBOOK,0,6,112,4,15,1,372
MADISONVIRILLIA,0,1,64,2,4,0,219
MARIONBALLS MILL,0,1,113,1,5,0,422
MARIONGOSS,0,0,54,1,7,1,339
MARIONKOKOMO,0,0,130,2,5,1,377
MARIONNAN,4,29,3677,32,107,8,7836
MARSHALL2 BARTON,0,6,114,4,11,0,678
MARSHALL2 BYHALIA,0,3,534,7,12,0,810
MARSHALL2 HADSONVILLE,0,0,212,1,3,1,163
MARSHALL4 CHUAHOMA,0,0,391,0,1,0,67
MARSHALL4 MARLANNA,0,4,296,3,1,0,202
MARSHALL5 COMERSVILLE,1,0,6,0,0,0,111
MARSHALLNAN,9,58,8023,55,95,12,6587
MONROE1 AMORY FIRST,0,0,82,1,2,3,564
MONROE3 BARTAHATCHIE,0,0,20,0,1,0,239
MONROE3 HAMILTON,1,5,254,3,10,2,1059
MONROE4 PRAIRIE,0,0,420,1,3,0,59
MONROENAN,6,38,5524,28,110,11,10167
MONTGOMERYMT PISGAH,0,0,20,0,1,0,137
MONTGOMERYNAN,3,14,2115,8,32,6,2818
NESHOBANAN,10,31,2715,20,83,15,7679
NESHOBANORTH BEND,1,4,21,1,1,0,402
NESHOBAPEARL RIVER,1,2,178,2,7,0,51
NESHOBATUCKER - DISTRICT ONE,0,1,43,3,1,0,12
NESHOBATUCKER - DISTRICT THREE,0,1,25,0,3,0,425
NEWTONCHUNKY,2,1,24,0,4,0,370
NEWTONNAN,6,31,2756,22,67,8,6548
NEWTONSCANLAN,0,1,122,0,7,0,478
NOXUBEENAN,0,6,4347,6,12,3,1200
OKTIBBEHAHICKORY GROVE/SOUTHEAST,0,2,536,7,31,0,504
PANOLABATESVILLE #3,1,2,129,1,4,0,422
PANOLAEAST BATESVILLE #4,0,1,123,0,8,1,422
PANOLANORTH BATESVILLE #A,0,4,288,2,9,1,444
PANOLANORTH BATESVILLE #B,0,1,901,0,2,1,85
PANOLANORTH SARDIS,2,3,668,2,3,3,347
PEARL RIVERCAESAR BEAT 3,0,0,11,2,0,0,165
PEARL RIVERMCNEILL BEAT 3,0,10,38,1,5,0,618
PEARL RIVERPICAYUNE BT.1 EASTSIDE ANNEX,0,5,483,3,14,0,487
PEARL RIVERWHITESAND BT 1,0,2,209,1,3,0,122
"PIKE(03)FIRST BAPT. CHURCH, SUMMIT",0,0,301,0,1,0,63
PIKE(09) MAGNOLIA COMM CTR.,3,3,554,3,9,1,228
PIKE(11) LEGGETT COMMUNITY,0,2,219,0,0,1,145
PIKE(18) JOHNSON CHAPEL METH. CHURCH,0,5,107,0,8,1,779
RANKINSOUTH MACLAURIN,0,3,126,5,22,1,687
SCOTTBEAT 1/HARPERVILLE,0,1,409,1,3,0,268
SCOTTBEAT 1/HILLSBORO,0,5,454,2,4,0,279
SCOTTBEAT 1/NORTH FOREST,2,0,549,1,2,2,94
SCOTTBEAT 2/HIGH HILL,1,0,139,0,5,0,141
SCOTTBEAT 2/HOMEWOOD,1,0,59,0,1,0,195
SCOTTBEAT 2/LAKE,0,0,123,0,2,1,137
SCOTTBEAT 2/SOUTH FOREST,0,4,513,2,6,0,298
SCOTTBEAT 2/USRY,0,1,33,0,0,0,240
SCOTTBEAT 3/COOPERVILLE/SPRINGF,0,1,33,0,11,0,535
SCOTTBEAT 4/CLIFTON,0,0,12,0,1,0,80
SCOTTBEAT 4/CONTRELL,0,0,174,1,1,0,78
SCOTTBEAT 4/FORKVILLE,1,0,10,0,2,0,220
SCOTTBEAT 4/LUDLOW,0,0,137,0,3,0,306
SCOTTBEAT 4/NORTH MORTON,0,1,431,3,3,0,274
SCOTTBEAT 5/LANGS MILL,0,1,130,4,4,1,366
SCOTTBEAT 5/NORTHEAST FOREST,0,0,49,1,4,0,373
SCOTTBEAT 5/SALEM,0,0,221,1,3,0,217
SCOTTBEAT 5/SEBASTOPOL,0,0,12,0,3,0,354
SCOTTBEAT 5/STEELE,0,0,288,1,5,0,204
SIMPSONBOWIE,0,2,93,0,0,0,180
SMITHLORENA-SPINOLA,0,3,39,0,4,1,294
SMITHUNION-NEW HOME,0,1,134,2,1,1,334
SUNFLOWER11-INVERNESS,0,2,309,0,2,0,394
SUNFLOWER22-INDIANOLA #2 EAST,3,3,1496,7,3,2,15
SUNFLOWER32-INDIANOLA #3 NORTH,1,1,226,2,0,0,185
TALLAHATCHIELEVERETTE,0,1,43,0,0,0,46
TALLAHATCHIEMURPHREESBORO,1,1,14,0,6,0,131
TUNICATUNICA CO. SUPT. OF EDUC.,0,1,158,2,7,1,88
WALTHALLNORTH KIRKLIN,0,2,247,0,3,0,183
WALTHALLSARTINSVILLE,0,2,58,0,0,0,132
WARREN3-61,0,0,50,0,0,0,78
WARRENNO. 7 FIRE STATION,0,0,604,4,12,0,192
WARRENPLUMBERS & PIPEFITTERS,0,1,358,2,9,2,516
WARRENST. ALOYSIUS,0,0,243,1,2,0,10
WAYNESTRENGTHFORD,0,0,3,0,1,0,159
WINSTONAMERICAN LEGION,1,3,686,4,4,1,108
WINSTONCOUNTY AGENT,0,6,715,3,3,1,142
WINSTONEAST WINSTON,0,0,151,2,4,1,430
WINSTONFAIRGROUND,0,4,539,6,17,0,1015
WINSTONLOVORN TRACTOR,0,1,144,0,0,0,237
WINSTONMARS HILL,0,2,234,1,3,1,339
WINSTONMILL CREEK,1,4,370,8,5,2,699
WINSTONNANIH WAIYA,2,0,178,2,4,0,848
WINSTONNEW NATIONAL GUARD,1,0,83,0,5,0,233
WINSTONNOXAPATER,0,1,250,2,6,0,529
WINSTONSHILOH,0,0,96,0,4,0,285
WINSTONZION RIDGE,2,2,404,2,0,0,45
YALOBUSHAFIVE TILLATOBA,0,0,38,0,2,0,165
YAZOOMOUND ST. BUILDING,0,1,331,0,0,0,3
YAZOON.D. TAYLOR GYM,1,3,1169,0,1,0,21
YAZOOOLD JR. HIGH,0,0,437,1,2,1,87
YAZOOTEEN CENTER,0,4,877,0,4,1,341
YAZOOWASHINGTON ST. FIRE STATION,0,0,180,0,0,0,185
YAZOOWELFARE OFFICE,0,1,209,0,1,1,287
