precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_FUENTE,gen_grn_STEIN,gen_ind_HOEFLING,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_rep_TRUMP
BOONEA106,0,100,0,1,0,2,12,362
BOONEA107,0,88,0,2,0,6,12,230
BOONEA108,0,254,0,4,0,15,43,687
BOONEA109,0,280,0,7,0,11,61,741
BOONEA110,0,100,0,1,0,6,19,438
BOONEA111,0,273,2,6,0,8,36,591
BOONEA112,0,156,0,6,0,10,31,476
BOONEA113,0,263,0,12,0,12,33,632
BOONEA114,0,285,1,8,0,11,60,927
BOONEA115,0,285,0,3,0,5,51,755
BOONEA116,0,135,0,5,0,10,18,410
BOONEA117,0,313,1,7,0,25,58,847
BOONEA118,0,149,0,2,0,7,19,603
BOONEA119,0,90,0,2,0,5,13,265
BOONEA120,0,258,0,2,0,11,44,933
BOONEA121,0,358,1,6,0,26,62,982
BOONEA122,0,139,0,1,0,9,39,481
BOONEA123,0,268,0,6,0,15,51,710
BOONEAB,0,1424,2,21,0,41,162,3291
BOONEB114,0,128,0,2,0,8,25,610
BOONEB115,0,145,0,11,0,10,28,333
BOONEB116,0,188,0,4,0,7,24,485
BOONEB117,0,292,0,3,0,25,52,705
BOONEB118,0,143,0,4,0,6,22,273
BOONEB119,0,163,0,6,0,8,21,317
BOONEB120,0,183,0,1,0,14,21,493
BOONEB121,0,380,1,10,0,21,55,1061
BOONEB122,0,196,0,4,0,6,19,635
BOONEB123,0,366,0,10,0,36,51,940
BOONEB124,0,277,1,2,0,16,44,727
BOONEB125,0,299,0,10,0,28,65,745
BOONEB126,0,147,0,3,0,6,28,635
BOONEB127,0,227,0,12,0,20,42,779
BOONEB128,0,160,0,10,0,9,33,647
BOONEB129,0,253,0,9,0,16,58,667
BOONEB130,0,490,0,13,0,28,65,1300
BOONEB131,0,308,1,16,0,10,50,694
BOONEB132,0,344,3,9,0,15,59,769
BOONEB133,0,301,0,9,0,30,69,705
BOONEB134,0,183,0,5,0,5,22,596
BOONEC102,0,250,0,5,0,8,42,694
BOONEC110,0,304,0,6,0,10,37,645
BOONEC117,0,179,0,1,0,11,23,506
BOONEC121,0,281,0,10,0,15,32,476
BOONEC123,0,137,0,5,0,8,19,233
BOONEC124,0,270,0,5,0,11,20,407
BOONEC125,0,114,0,4,0,2,15,282
BOONEC126,0,138,1,3,0,0,17,136
BOONEC127,0,186,1,7,0,11,18,363
BOONEC128,0,125,1,8,0,8,16,311
BOONEC129,0,174,0,3,0,8,29,350
BOONEC130,0,297,3,9,0,13,27,539
BOONEC131,0,291,0,8,0,14,32,425
BOONEC132,0,222,0,9,0,2,24,419
BOONEC133,0,87,0,4,0,6,8,225
BOONEC134,0,355,0,6,0,13,57,800
BOONEC135,0,222,0,5,0,8,41,456
BOONEC136,0,139,1,3,0,3,18,387
BOONEC137,0,287,0,5,0,16,43,645
BOURBONAB,0,231,1,3,0,8,16,296
BOURBONB101,0,163,0,3,0,7,22,416
BOURBONB103,0,139,1,2,0,5,16,215
BOURBONC101,0,99,0,4,0,6,10,296
BOURBONC102,0,51,0,0,0,3,6,134
BOURBONC103,0,215,0,1,0,4,20,248
BOURBOND101,0,188,0,1,0,6,32,451
BOURBOND103,0,119,0,0,0,6,11,272
BOURBONE101,0,178,0,4,0,8,16,471
BOURBONE103,0,171,0,5,0,4,16,342
BOURBONF101,0,129,0,6,0,8,21,350
BOURBONF102,0,153,0,3,0,11,18,417
BOURBONF103,0,70,0,1,0,6,13,215
BOURBONG101,0,179,0,4,0,5,24,439
BOURBONG102,0,219,0,6,0,3,17,364
BOURBONH101,0,175,1,5,0,5,10,443
BOURBONH102,0,312,1,4,0,1,15,200
BOYDA101,0,194,2,3,0,6,17,296
BOYDA107,0,135,1,1,0,3,9,510
BOYDA108,0,183,0,5,0,8,19,617
BOYDA109,0,164,1,2,0,5,10,496
BOYDA110,0,147,1,7,0,2,9,262
BOYDA111,0,124,0,1,0,4,10,234
BOYDA113,0,109,2,2,0,3,15,274
BOYDA114A,0,51,0,2,0,0,4,68
BOYDA115,0,164,0,8,0,5,8,248
BOYDA116,0,129,1,2,0,4,13,222
BOYDA118,0,121,0,4,0,9,12,597
BOYDA119,0,99,0,2,0,2,9,300
BOYDA121,0,91,0,3,0,3,12,300
BOYDA122,0,1,0,0,0,0,0,8
BOYDAB4,0,526,1,6,0,11,40,918
BOYDAB5,0,80,0,2,0,0,9,233
BOYDB101A,0,138,0,2,0,3,7,195
BOYDB102A,0,152,0,5,0,2,12,245
BOYDB103A,0,129,0,6,0,5,12,203
BOYDB105,0,128,0,10,0,1,7,179
BOYDB106A,0,145,0,7,0,5,12,237
BOYDB107,0,96,0,4,0,3,9,186
BOYDB108,0,115,0,3,0,2,4,273
BOYDB109,0,149,0,5,0,4,7,285
BOYDB110,0,183,0,7,0,3,26,251
BOYDB114,0,158,0,3,0,4,15,209
BOYDB115,0,185,0,3,0,8,13,349
BOYDB116,0,128,0,2,0,1,10,225
BOYDB117,0,103,0,2,0,2,10,199
BOYDB118,0,69,0,2,0,4,4,242
BOYDB119,0,98,0,4,0,4,6,276
BOYDB121A,0,133,0,3,0,1,13,263
BOYDC102,0,87,0,1,0,3,12,273
BOYDC103,0,82,0,5,0,0,7,237
BOYDC104,0,103,0,4,0,9,9,358
BOYDC105,0,123,0,1,0,5,6,303
BOYDC106,0,111,0,4,0,2,11,300
BOYDC107,0,104,0,3,0,6,7,182
BOYDC108,0,118,1,7,0,2,6,242
BOYDC109A,0,83,1,2,0,1,5,137
BOYDC110,0,0,0,0,0,0,0,3
BOYDC111,0,42,0,0,0,0,2,84
BOYDC112,0,118,0,5,0,4,6,306
BOYDC113,0,122,0,6,0,1,7,369
BOYDC114,0,111,0,2,0,6,16,353
BOYDC115,0,178,0,4,0,5,20,425
BOYDC116,0,127,0,2,0,4,7,348
BOYDC117,0,85,0,3,0,3,12,271
BOYLEA101,0,106,1,4,0,2,12,402
BOYLEA102,0,144,0,4,0,9,4,458
BOYLEA103,0,68,0,0,0,0,6,231
BOYLEA104,0,70,0,3,0,3,7,446
BOYLEA105,0,41,0,0,0,5,3,120
BOYLEAB,0,296,0,3,0,16,21,485
BOYLEB101,0,35,0,0,0,2,8,176
BOYLEB102,0,113,0,3,0,5,12,339
BOYLEB103,0,198,0,3,0,10,21,581
BOYLEB104,0,102,0,5,0,4,16,401
BOYLEC101,0,231,1,1,0,6,9,308
BOYLEC102,0,202,1,4,0,3,21,344
BOYLEC103,0,94,0,1,0,2,9,144
BOYLEC104,0,204,0,4,0,4,16,170
BOYLED101,0,291,2,3,0,16,14,387
BOYLED102,0,202,2,3,0,14,24,473
BOYLED103,0,184,0,3,0,3,16,514
BOYLEE101,0,221,0,4,0,12,15,266
BOYLEE102,0,206,1,0,0,5,20,237
BOYLEE103,0,148,0,3,0,6,24,109
BOYLEE104,0,285,0,9,0,5,10,103
BOYLEF101,0,184,1,2,0,3,14,211
BOYLEF102,0,168,0,2,0,5,15,285
BOYLEF103,0,197,0,1,0,11,20,401
BOYLEF104,0,163,1,0,0,8,12,264
BOYLEF105,0,128,0,8,0,10,16,185
BRACKENA101,0,73,1,1,0,3,13,383
BRACKENAB,0,104,1,1,0,9,2,208
BRACKENB101,0,88,0,2,0,3,7,277
BRACKENC101,0,82,1,4,0,2,10,261
BRACKEND101,0,60,0,1,0,1,4,367
BRACKENE101,0,68,1,6,0,8,5,299
BRACKENF101,0,74,0,2,0,2,5,312
BRACKENG101,0,67,0,1,0,3,3,315
BRACKENH101,0,89,1,2,0,4,2,289
BREATHITTABSENTEE MACHINE,0,60,0,2,0,3,7,156
BREATHITTABSENTEE PAPER,0,54,0,1,0,1,2,48
BREATHITTEARLY VOTE PRESIDENT,0,0,0,0,0,0,0,4
BRECKENRIDGEABSENTEE,0,156,0,4,0,5,20,462
BRECKENRIDGEBEWLEYVILLE,0,48,0,2,0,2,8,298
BRECKENRIDGECLOVERPORT 1,0,102,0,2,0,10,9,329
BRECKENRIDGECLOVERPORT 2,0,124,1,3,0,7,12,348
BRECKENRIDGECUSTER,0,82,0,6,0,4,16,374
BRECKENRIDGEGARFIELD,0,133,1,7,0,9,22,538
BRECKENRIDGEGLEN DEAN,0,40,0,2,0,2,6,196
BRECKENRIDGEHARDINSBURG 1,0,230,2,4,0,5,11,527
BRECKENRIDGEHARDINSBURG 2,0,134,0,1,0,12,6,357
BRECKENRIDGEHARNED,0,78,0,0,0,0,7,284
BRECKENRIDGEHUDSON,0,56,1,3,0,1,5,329
BRECKENRIDGEIRVINGTON 1,0,149,0,2,0,9,12,411
BRECKENRIDGEIRVINGTON 2,0,137,0,3,0,3,10,290
BRECKENRIDGEMCDANIELS,0,220,1,2,0,2,14,703
BRECKENRIDGEMCQUADY,0,87,0,2,0,3,17,388
BRECKENRIDGETOTALS,0,1960,6,47,0,80,194,6484
BRECKENRIDGEUNION STAR,0,131,0,3,0,5,11,432
BRECKENRIDGEWESTVIEW,0,53,0,1,0,1,8,218
BULLITTA101,0,21,0,0,0,1,6,116
BULLITTA102,0,116,0,3,0,5,14,382
BULLITTA103,0,177,1,7,0,9,36,366
BULLITTA104,0,125,0,5,0,2,13,374
BULLITTA105,0,180,2,4,0,10,20,770
BULLITTA106,0,197,0,8,0,11,22,772
BULLITTA107,0,226,0,6,0,13,22,839
BULLITTA108,0,123,1,7,0,4,8,317
BULLITTA110,0,22,0,0,0,1,3,69
BULLITTA111,0,178,1,9,0,4,29,467
BULLITTA112,0,200,0,4,0,7,30,739
BULLITTA113,0,150,0,6,0,3,12,541
BULLITTAB,0,418,1,7,0,24,39,1092
BULLITTB101,0,64,0,3,0,4,9,192
BULLITTB102,0,196,0,9,0,9,21,574
BULLITTB103,0,266,0,7,0,11,42,821
BULLITTB104,0,259,0,8,0,8,18,858
BULLITTB108,0,313,1,5,0,18,26,1012
BULLITTB109,0,265,0,5,0,12,35,905
BULLITTB110,0,265,1,11,0,13,29,726
BULLITTB111,0,229,3,5,0,15,29,679
BULLITTB112,0,89,0,5,0,5,17,321
BULLITTB113,0,210,0,5,0,12,16,668
BULLITTB114,0,177,1,8,0,9,30,627
BULLITTC101,0,175,0,3,0,6,26,476
BULLITTC102,0,198,0,2,0,5,18,413
BULLITTC103,0,227,0,8,0,7,19,647
BULLITTC104,0,163,2,4,0,6,11,426
BULLITTC105,0,126,0,2,0,12,11,401
BULLITTC106,0,139,0,11,0,8,16,401
BULLITTC107,0,254,0,8,0,14,37,700
BULLITTC108,0,187,0,0,0,8,12,589
BULLITTC109,0,133,1,1,0,7,18,592
BULLITTC110,0,224,0,3,0,6,28,550
BULLITTC111,0,56,0,1,0,2,4,167
BULLITTC112,0,128,0,7,0,1,11,324
BULLITTC113,0,98,0,0,0,6,8,336
BULLITTD101,0,72,0,0,0,0,15,234
BULLITTD102,0,150,0,7,0,7,19,519
BULLITTD103,0,194,1,3,0,2,21,535
BULLITTD104,0,86,0,5,0,8,15,304
BULLITTD105,0,179,1,10,0,6,33,835
BULLITTD106,0,152,0,8,0,4,23,640
BULLITTD107,0,197,0,9,0,8,27,803
BULLITTD108,0,164,1,7,0,0,15,473
BULLITTD110,0,218,0,6,0,5,12,707
BULLITTD111,0,134,0,6,0,3,18,403
BULLITTD113,0,61,0,3,0,10,14,315
BULLITTD114,0,74,0,2,0,3,7,193
BULTERA110,0,84,0,1,0,4,5,236
BULTERA111,0,119,0,2,0,5,15,339
BULTERAB,0,67,0,0,0,1,6,268
BULTERB106,0,84,0,1,0,3,9,457
BULTERB107,0,143,0,1,0,7,19,541
BULTERC103,0,2,0,0,0,0,2,17
BULTERC106,0,105,0,3,0,9,9,533
BULTERC107,0,75,0,1,0,3,14,371
BULTERD103,0,61,1,1,0,4,14,233
BULTERD105,0,32,0,0,0,3,5,268
BULTERD106,0,55,0,0,0,1,8,278
BULTERE105,0,73,0,0,0,7,19,456
BULTERE106,0,47,0,1,0,6,11,431
CALDWELLA101,0,69,0,3,0,3,10,341
CALDWELLA102,0,38,0,0,0,1,2,290
CALDWELLA103,0,137,1,7,0,3,18,370
CALDWELLAB,0,99,0,1,0,6,12,258
CALDWELLB101,0,81,0,1,0,9,12,448
CALDWELLB102,0,78,0,3,0,5,7,315
CALDWELLB103,0,153,0,3,0,2,10,200
CALDWELLC101,0,97,0,1,0,4,9,415
CALDWELLC102,0,55,0,4,0,6,6,238
CALDWELLC103,0,137,1,2,0,3,6,376
CALDWELLD101,0,49,0,1,0,2,7,309
CALDWELLD102,0,46,0,3,0,1,1,184
CALDWELLD103,0,128,1,3,0,3,11,420
CALDWELLD104,0,93,0,0,0,7,7,343
CALLOWAYA101,0,290,0,13,0,16,16,237
CALLOWAYA102,0,149,0,9,0,4,8,107
CALLOWAYA103,0,223,0,7,0,16,24,823
CALLOWAYA104,0,84,0,1,0,6,15,318
CALLOWAYA105,0,98,0,2,0,6,13,310
CALLOWAYA106,0,105,0,1,0,5,12,365
CALLOWAYAB,0,358,0,8,0,21,27,720
CALLOWAYB101,0,197,1,9,0,4,10,244
CALLOWAYB103,0,120,0,4,0,6,17,327
CALLOWAYB104,0,83,0,3,0,7,5,284
CALLOWAYB105,0,205,0,9,0,13,27,276
CALLOWAYB107,0,93,1,1,0,5,18,325
CALLOWAYB108,0,88,0,2,0,4,6,207
CALLOWAYB109,0,304,0,12,0,9,34,243
CALLOWAYC101,0,215,0,5,0,15,13,356
CALLOWAYC102,0,248,0,1,0,19,34,786
CALLOWAYC103,0,112,0,3,0,4,9,307
CALLOWAYC104,0,94,0,2,0,7,9,345
CALLOWAYC105,0,199,0,5,0,12,17,264
CALLOWAYC106,0,173,0,4,0,8,15,272
CALLOWAYC107,0,92,0,3,0,3,9,173
CALLOWAYC108,0,121,0,2,0,13,19,300
CALLOWAYC109,0,156,0,3,0,8,10,258
CALLOWAYC110,0,70,0,3,0,5,4,140
CALLOWAYD102,0,93,1,0,0,17,21,488
CALLOWAYD103,0,115,2,6,0,10,22,306
CALLOWAYD104,0,86,0,3,0,4,11,293
CALLOWAYD105,0,245,0,10,0,25,27,745
CALLOWAYD106,0,56,1,3,0,2,6,275
CALLOWAYD108,0,277,0,16,0,7,34,273
CAMPBELLA402,0,293,0,7,0,13,31,521
CAMPBELLA403,0,303,0,9,0,13,29,397
CAMPBELLA405,0,232,0,9,0,11,25,319
CAMPBELLA406,0,67,0,0,0,5,2,70
CAMPBELLA408,0,320,0,10,0,17,52,486
CAMPBELLA409,0,255,1,5,0,17,27,336
CAMPBELLA410,0,204,0,4,0,11,22,292
CAMPBELLA411,0,121,0,2,0,7,23,160
CAMPBELLA412,0,229,0,2,0,8,47,384
CAMPBELLA414,0,158,0,4,0,5,21,226
CAMPBELLA415,0,109,0,5,0,6,19,97
CAMPBELLA418,0,349,0,14,0,11,49,482
CAMPBELLA419,0,131,0,2,0,6,17,210
CAMPBELLA502,0,213,0,4,0,9,28,312
CAMPBELLA503,0,69,0,0,0,0,5,167
CAMPBELLA504,0,170,0,4,0,6,15,177
CAMPBELLA601,0,132,0,4,0,1,14,190
CAMPBELLA602,0,134,0,6,0,4,21,252
CAMPBELLA603,0,92,0,6,0,6,15,171
CAMPBELLA604,0,118,0,4,0,9,10,83
CAMPBELLA605,0,335,1,8,0,9,31,481
CAMPBELLA701,0,143,0,4,0,3,27,367
CAMPBELLA703,0,296,0,10,0,11,41,550
CAMPBELLA801,0,148,1,15,0,6,17,532
CAMPBELLA802,0,126,0,6,0,2,26,370
CAMPBELLA803,0,226,0,5,0,11,32,528
CAMPBELLA804,0,177,0,4,0,11,32,570
CAMPBELLAB,0,1102,2,18,0,33,102,1619
CAMPBELLB702,0,202,1,3,0,9,44,471
CAMPBELLB704,0,257,1,2,0,6,23,544
CAMPBELLB705,0,106,0,2,0,6,12,333
CAMPBELLB706,0,445,1,4,0,18,52,823
CAMPBELLB805,0,222,1,10,0,9,31,652
CAMPBELLB806,0,270,1,4,0,20,34,802
CAMPBELLB807,0,141,0,1,0,1,25,455
CAMPBELLB901,0,89,0,1,0,9,19,420
CAMPBELLB902,0,124,0,3,0,4,21,446
CAMPBELLB903,0,214,0,8,0,14,37,842
CAMPBELLB904,0,238,1,15,0,11,36,1041
CAMPBELLB905,0,234,1,7,0,18,40,769
CAMPBELLB906,0,189,0,4,0,8,18,478
CAMPBELLB907,0,99,0,3,0,11,14,373
CAMPBELLB909,0,306,0,7,0,18,28,511
CAMPBELLB910,0,96,0,5,0,2,5,121
CAMPBELLB912,0,131,0,1,0,4,15,248
CAMPBELLB913,0,282,0,6,0,13,29,375
CAMPBELLC101,0,216,0,8,0,6,34,267
CAMPBELLC102,0,275,0,9,0,10,30,357
CAMPBELLC103,0,226,0,8,0,5,21,323
CAMPBELLC201,0,315,0,15,0,13,41,306
CAMPBELLC202,0,217,0,3,0,2,32,274
CAMPBELLC203,0,257,0,7,0,10,32,279
CAMPBELLC204,0,315,0,20,0,3,34,297
CAMPBELLC301,0,342,0,9,0,8,38,188
CAMPBELLC302,0,319,1,7,0,8,34,230
CAMPBELLC303,0,189,0,7,0,3,15,82
CAMPBELLC304,0,247,0,6,0,7,19,162
CAMPBELLC305,0,179,1,5,0,1,9,141
CAMPBELLC306,0,129,0,3,0,0,5,106
CAMPBELLC307,0,125,0,6,0,3,8,133
CAMPBELLC308,0,234,0,12,0,7,33,235
CAMPBELLC309,0,226,0,8,0,5,21,273
CAMPBELLC310,0,200,1,7,0,5,24,204
CAMPBELLC311,0,193,0,7,0,5,22,212
CAMPBELLC401,0,173,0,6,0,14,33,444
CAMPBELLC416,0,208,0,5,0,3,23,264
CAMPBELLC501,0,176,3,9,0,2,18,220
CAMPBELLTOTAL,0,14558,18,424,0,552,1789,25050
CARLISLEA101,0,70,0,0,0,1,7,283
CARLISLEA102,0,67,0,1,0,1,10,296
CARLISLEAB,0,31,0,1,0,4,3,136
CARLISLEB101,0,85,1,0,0,4,11,531
CARLISLEB102,0,27,0,1,0,2,5,224
CARLISLEC101,0,57,0,6,0,4,3,311
CARLISLEC102,0,95,1,3,0,3,3,313
CARROLLA101,0,76,0,0,0,2,6,249
CARROLLA102,0,125,1,3,0,1,8,342
CARROLLA103,0,130,1,3,0,3,20,210
CARROLLAB,0,91,0,3,0,1,8,156
CARROLLB101,0,92,1,1,0,3,5,158
CARROLLB102,0,124,0,1,0,3,7,207
CARROLLB103,0,92,0,2,0,1,9,194
CARROLLB104,0,44,0,1,0,4,4,112
CARROLLC101,0,17,0,0,0,1,0,84
CARROLLC102,0,29,0,0,0,1,4,133
CARROLLC103,0,81,0,6,0,7,8,258
CARROLLC104,0,205,1,4,0,6,21,485
CARTERA101,0,113,0,5,0,11,12,424
CARTERA102,0,63,0,3,0,6,1,206
CARTERA103,0,58,0,2,0,2,5,220
CARTERA104,0,72,0,2,0,5,17,202
CARTERA105,0,118,1,2,0,13,12,372
CARTERAB,0,185,0,4,0,9,15,564
CARTERB101,0,117,0,5,0,5,6,368
CARTERB102,0,53,0,2,0,3,4,223
CARTERB103,0,85,0,2,0,4,10,329
CARTERB104,0,97,0,3,0,3,13,342
CARTERB105,0,97,0,5,0,6,17,249
CARTERC101,0,193,0,3,0,10,11,454
CARTERC102,0,32,0,0,0,2,3,77
CARTERC103,0,98,1,2,0,1,14,369
CARTERC104,0,98,2,1,0,8,15,359
CARTERD101,0,61,0,0,0,2,2,209
CARTERD102,0,31,0,1,0,2,4,100
CARTERD103,0,71,1,0,0,1,5,197
CARTERD104,0,51,0,1,0,2,3,190
CARTERD105,0,56,0,0,0,0,9,86
CARTERD106,0,73,0,0,0,2,9,258
CARTERD107,0,91,1,1,0,1,9,250
CARTERE101,0,50,0,0,0,0,10,156
CARTERE102,0,76,0,4,0,3,8,309
CARTERE103,0,81,1,0,0,3,7,283
CARTERE104,0,88,0,4,0,3,8,408
CARTERE105,0,68,0,6,0,2,8,383
CASEYA101,0,45,0,3,0,4,14,413
CASEYA102,0,28,0,0,0,2,2,252
CASEYA103,0,43,0,5,0,1,9,413
CASEYA104,0,18,0,1,0,2,4,184
CASEYAB,0,85,0,1,0,4,8,382
CASEYB101,0,57,0,1,0,3,4,344
CASEYB102,0,77,0,5,0,0,13,699
CASEYB103,0,57,0,0,0,8,2,209
CASEYC101,0,71,0,2,0,1,10,289
CASEYC102,0,56,0,1,0,4,9,564
CASEYC103,0,27,0,1,0,1,5,274
CASEYC104,0,51,1,1,0,4,11,212
CASEYD101,0,46,0,2,0,1,9,458
CASEYD102,0,30,0,2,0,1,6,227
CASEYD103,0,48,0,3,0,4,11,443
CASEYD104,0,28,0,0,0,0,4,119
CHRISTIANA101,0,133,0,1,0,1,1,40
CHRISTIANA102,0,288,0,3,0,2,1,11
CHRISTIANA103,0,472,0,2,0,2,4,25
CHRISTIANA104,0,233,1,2,0,3,13,238
CHRISTIANA105,0,178,0,1,0,4,5,83
CHRISTIANAB,0,386,1,7,0,14,25,850
CHRISTIANB101,0,417,1,4,0,4,19,310
CHRISTIANB102,0,431,0,3,0,8,10,364
CHRISTIANB103,0,87,0,2,0,0,8,497
CHRISTIANB104,0,68,0,2,0,1,14,242
CHRISTIANC101,0,112,0,2,0,3,11,211
CHRISTIANC102,0,178,0,1,0,1,1,56
CHRISTIANC103,0,133,1,2,0,2,11,219
CHRISTIANC104,0,96,0,4,0,0,12,383
CHRISTIANC105,0,171,0,3,0,12,22,877
CHRISTIANC106,0,157,0,4,0,7,15,426
