precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_FUENTE,gen_grn_STEIN,gen_ind_HOEFLING,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_rep_TRUMP
CHRISTIAND101,0,158,0,2,0,5,11,390
CHRISTIAND102,0,179,1,3,0,12,20,452
CHRISTIAND103,0,130,1,0,0,1,2,394
CHRISTIAND104,0,48,0,2,0,2,10,324
CHRISTIAND105,0,40,0,2,0,0,1,205
CHRISTIAND106,0,34,0,2,0,4,3,193
CHRISTIAND107,0,269,1,4,0,9,19,496
CHRISTIANE101,0,230,0,6,0,3,12,170
CHRISTIANE102,0,230,1,6,0,1,24,370
CHRISTIANE103,0,207,2,3,0,7,17,498
CHRISTIANE104,0,158,0,0,0,3,13,296
CHRISTIANE105,0,115,0,2,0,1,13,224
CHRISTIANF101,0,22,0,1,0,0,0,141
CHRISTIANF102,0,172,0,1,0,1,7,357
CHRISTIANF103,0,22,0,0,0,2,2,152
CHRISTIANF104,0,271,1,8,0,13,43,369
CHRISTIANG101,0,90,0,3,0,7,5,372
CHRISTIANG102,0,195,2,10,0,5,18,186
CHRISTIANG103,0,120,0,5,0,1,12,238
CHRISTIANG104,0,226,0,1,0,8,12,551
CHRISTIANG105,0,70,0,4,0,2,14,144
CHRISTIANG106,0,131,0,2,0,7,7,420
CHRISTIANH101,0,89,0,4,0,6,9,439
CHRISTIANH102,0,148,1,1,0,7,11,770
CHRISTIANH103,0,209,0,1,0,4,9,450
CHRISTIANH104,0,85,0,4,0,4,8,675
CLARKA101,0,257,0,7,0,15,28,702
CLARKA102,0,137,2,1,0,8,20,414
CLARKA103,0,208,0,5,0,8,27,422
CLARKA104,0,209,0,5,0,8,14,588
CLARKAB,0,258,0,6,0,12,32,506
CLARKB101,0,128,0,2,0,9,17,460
CLARKB102,0,213,2,5,0,7,15,593
CLARKB103,0,110,0,6,0,8,12,201
CLARKB104,0,107,0,3,0,3,13,389
CLARKB105,0,132,0,5,0,3,19,432
CLARKC101,0,179,0,3,0,9,18,505
CLARKC102,0,175,0,8,0,1,23,397
CLARKC103,0,163,0,1,0,7,8,645
CLARKC104,0,176,0,2,0,9,16,547
CLARKD101,0,51,0,2,0,3,6,97
CLARKD102,0,300,1,4,0,19,21,568
CLARKD103,0,134,0,1,0,3,12,420
CLARKD104,0,256,0,9,0,5,19,372
CLARKE101,0,114,0,1,0,8,14,274
CLARKE102,0,369,1,9,0,20,44,816
CLARKE103,0,105,0,5,0,6,8,261
CLARKF101,0,183,0,2,0,3,6,65
CLARKF102,0,76,0,3,0,2,8,142
CLARKF103,0,185,0,14,0,13,21,355
CLARKF104,0,175,0,1,0,2,1,42
CLARKF105,0,178,3,9,0,3,18,308
CLARKF106,0,128,0,2,0,9,13,189
CLAYABSENTEE MACHINE,0,39,0,3,0,0,5,209
CLAYABSENTEE PAPER,0,29,0,1,0,2,1,104
CLAYEARLY VOTE PRESIDENT,0,0,0,0,0,0,0,0
CLINTONABSENTEE MACHINE,0,64,1,0,0,4,6,379
CLINTONABSENTEE PAPER,0,30,0,0,0,1,1,151
CLINTONEARLY VOTE PRESIDENT,0,0,0,0,0,0,0,0
CRITTENDENA101,0,47,0,4,0,6,7,249
CRITTENDENA102,0,39,0,1,0,0,4,220
CRITTENDENAB,0,38,0,0,0,1,5,164
CRITTENDENB101,0,58,1,0,0,6,6,361
CRITTENDENB102,0,42,0,3,0,1,1,251
CRITTENDENC101,0,56,0,1,0,4,10,291
CRITTENDENC102,0,25,0,0,0,1,4,91
CRITTENDEND101,0,62,0,5,0,3,4,363
CRITTENDEND102,0,27,0,0,0,4,1,118
CRITTENDENE101,0,58,0,2,0,0,10,273
CRITTENDENE102,0,54,0,0,0,4,7,360
CRITTENDENF101,0,75,0,0,0,5,9,384
CRITTENDENF102,0,36,0,1,0,1,8,165
CUMBERLANDA101,0,46,0,1,0,2,10,312
CUMBERLANDA102,0,46,0,1,0,2,6,369
CUMBERLANDAB,0,51,1,3,0,1,6,170
CUMBERLANDB101,0,31,1,1,0,1,7,150
CUMBERLANDB102,0,22,0,1,0,4,3,179
CUMBERLANDB103,0,14,0,1,0,0,8,264
CUMBERLANDC101,0,45,0,0,0,3,6,232
CUMBERLANDC102,0,56,0,2,0,0,4,225
CUMBERLANDC103,0,49,0,0,0,0,2,55
CUMBERLANDD101,0,45,1,0,0,7,5,324
CUMBERLANDD102,0,54,2,1,0,2,10,222
DAVIESSA101,0,111,1,2,0,6,16,184
DAVIESSA102,0,128,0,8,0,2,12,182
DAVIESSA103,0,223,0,9,0,2,14,238
DAVIESSA104,0,235,0,6,0,4,29,328
DAVIESSA105,0,207,0,6,0,10,22,436
DAVIESSA106,0,186,0,7,0,1,20,216
DAVIESSA107,0,134,0,7,0,2,10,88
DAVIESSA108,0,99,0,5,0,3,14,190
DAVIESSA109,0,200,0,9,0,7,25,194
DAVIESSA110,0,159,0,8,0,5,15,253
DAVIESSA111,0,184,0,5,0,12,18,438
DAVIESSA112,0,251,0,3,0,4,10,105
DAVIESSA113,0,110,0,8,0,5,8,126
DAVIESSA114,0,248,0,6,0,3,14,172
DAVIESSA115,0,160,0,6,0,9,22,417
DAVIESSA116,0,203,1,7,0,15,22,336
DAVIESSA118,0,113,0,6,0,5,17,133
DAVIESSA119,0,162,0,22,0,6,24,196
DAVIESSA120,0,169,0,7,0,9,22,259
DAVIESSA121,0,141,0,8,0,6,19,206
DAVIESSA122,0,111,1,3,0,3,4,110
DAVIESSA123,0,130,1,6,0,3,15,202
DAVIESSA124,0,255,2,6,0,13,25,290
DAVIESSA125,0,124,0,6,0,10,14,234
DAVIESSA126,0,162,0,1,0,11,16,264
DAVIESSA127,0,168,0,4,0,12,21,271
DAVIESSA128,0,152,1,8,0,5,12,224
DAVIESSA129,0,147,0,5,0,4,22,210
DAVIESSA130,0,158,0,8,0,10,17,219
DAVIESSA131,0,137,0,3,0,8,13,185
DAVIESSA132,0,166,0,12,0,9,23,323
DAVIESSA133,0,133,0,2,0,4,7,253
DAVIESSA134,0,176,0,9,0,8,11,317
DAVIESSA135,0,106,0,1,0,3,5,171
DAVIESSA136,0,154,1,4,0,4,18,280
DAVIESSA137,0,145,0,5,0,10,11,203
DAVIESSA138,0,194,1,7,0,11,35,370
DAVIESSA139,0,185,0,7,0,18,23,410
DAVIESSA140,0,131,0,2,0,7,11,262
DAVIESSA141,0,167,0,3,0,15,17,300
DAVIESSA142,0,285,1,6,0,5,18,208
DAVIESSA143,0,140,1,4,0,2,14,154
DAVIESSA144,0,136,0,3,0,4,9,240
DAVIESSA145,0,90,1,2,0,8,10,165
DAVIESSA146,0,237,0,11,0,7,19,524
DAVIESSA147,0,203,0,6,0,8,26,325
DAVIESSA148,0,167,2,3,0,7,12,323
DAVIESSAB,0,915,0,15,0,31,68,1547
DAVIESSB101,0,195,0,7,0,11,21,287
DAVIESSB102,0,300,0,9,0,16,43,752
DAVIESSB103,0,112,0,2,0,10,6,340
DAVIESSB104,0,157,0,8,0,6,21,473
DAVIESSC101,0,288,0,7,0,12,24,802
DAVIESSC102,0,119,0,2,0,10,24,322
DAVIESSD102,0,134,2,2,0,7,7,384
DAVIESSD103,0,77,0,4,0,6,9,230
DAVIESSE101,0,112,1,6,0,2,11,389
DAVIESSE102,0,127,0,5,0,21,20,472
DAVIESSE103,0,150,0,6,0,9,23,493
DAVIESSE104,0,24,0,1,0,2,4,112
DAVIESSF101,0,164,1,5,0,29,17,497
DAVIESSF102,0,246,1,8,0,17,24,707
DAVIESSF103,0,132,1,5,0,9,16,535
DAVIESSF104,0,107,1,6,0,6,8,398
DAVIESSG101,0,71,0,2,0,5,5,352
DAVIESSG102,0,128,0,2,0,4,20,298
DAVIESSG103,0,123,1,8,0,10,16,339
DAVIESSG104,0,140,0,2,0,10,19,435
DAVIESSG105,0,89,0,2,0,5,11,203
DAVIESSH101,0,92,0,2,0,4,5,256
DAVIESSH102,0,205,1,1,0,16,30,557
DAVIESSH103,0,184,0,3,0,23,18,518
DAVIESSH104,0,133,0,0,0,7,17,401
DAVIESSH105,0,178,0,3,0,4,20,389
DAVIESSH106,0,62,1,4,0,7,11,139
DAVIESSH107,0,146,1,0,0,8,12,440
DAVIESSH108,0,55,0,0,0,6,7,269
DAVIESSH109,0,125,0,6,0,13,14,315
DAVIESSH110,0,63,0,2,0,10,4,278
DAVIESSH111,0,207,0,6,0,13,32,468
DAVIESSH112,0,173,1,3,0,11,17,525
DAVIESSH113,0,103,0,6,0,6,13,284
DAVIESSH114,0,94,0,3,0,7,6,256
DAVIESSH115,0,283,2,4,0,20,48,805
DAVIESSH116,0,40,1,6,0,1,11,89
DAVIESSH117,0,328,0,8,0,22,25,817
EDMONSONA101,0,69,0,0,0,1,3,274
EDMONSONA102,0,105,0,4,0,4,9,483
EDMONSONAB,0,83,0,0,0,3,4,270
EDMONSONB101,0,120,0,4,0,2,13,623
EDMONSONC101,0,62,0,0,0,1,10,260
EDMONSONC102,0,94,1,1,0,1,8,410
EDMONSOND101,0,156,1,4,0,5,12,673
EDMONSONE101,0,122,0,6,0,6,8,492
EDMONSONF101,0,168,0,1,0,5,10,650
ELLIOTTA101 SANDY HOOK,0,77,0,6,0,2,1,220
ELLIOTTABS MACHINE,0,40,0,0,0,0,6,115
ELLIOTTB101 SANDY HOOK,0,90,0,2,0,3,8,227
ELLIOTTC101 WALNUT GROVE,0,90,2,0,0,0,6,302
ELLIOTTD101 MOCASSIN A,0,137,2,2,0,9,17,320
ELLIOTTE101 CRACKERSNECK,0,98,0,4,0,4,7,247
ELLIOTTF101 BRUIN,0,83,1,4,0,1,13,260
ELLIOTTG101 ISONVILLE,0,85,3,1,0,2,8,258
ELLIOTTPAPER ABS. BALLOT,0,40,0,0,0,0,1,51
ELLIOTTTOTAL,0,740,8,19,0,21,67,2000
ESTILLA101,0,45,0,1,0,0,11,125
ESTILLA102,0,53,0,2,0,1,5,155
ESTILLA103,0,46,1,2,0,2,4,134
ESTILLA104,0,42,0,1,0,4,4,181
ESTILLA105,0,60,1,2,0,1,12,168
ESTILLA106,0,92,0,1,0,3,14,324
ESTILLAB,0,86,1,1,0,1,10,258
ESTILLB102,0,62,1,5,0,1,10,362
ESTILLB103,0,59,0,4,0,2,5,199
ESTILLB104,0,43,0,1,0,4,6,188
ESTILLB105,0,155,2,2,0,3,7,484
ESTILLB106,0,46,0,1,0,0,2,167
ESTILLC103,0,105,0,2,0,8,18,467
ESTILLC104,0,69,0,1,0,2,7,334
ESTILLC105,0,50,0,1,0,1,5,261
ESTILLC106,0,95,1,3,0,2,9,429
FAYETTEA101,0,159,0,6,0,5,14,156
FAYETTEA102,0,250,1,8,0,8,26,163
FAYETTEA103,0,168,0,4,0,12,12,225
FAYETTEA104,0,95,0,4,0,3,9,148
FAYETTEA106,0,160,1,0,0,1,10,89
FAYETTEA108,0,90,0,0,0,3,11,109
FAYETTEA109,0,448,0,6,0,0,8,22
FAYETTEA111,0,262,0,13,0,4,10,133
FAYETTEA113,0,215,1,15,0,9,20,168
FAYETTEA114,0,213,0,9,0,4,25,122
FAYETTEA115,0,505,0,2,0,3,5,23
FAYETTEA116,0,201,0,6,0,10,28,173
FAYETTEA117,0,372,1,5,0,4,16,85
FAYETTEA118,0,218,0,3,0,4,11,194
FAYETTEA120,0,248,2,3,0,0,2,17
FAYETTEA121,0,211,0,6,0,5,18,103
FAYETTEA123,0,241,0,3,0,9,14,192
FAYETTEA126,0,313,1,5,0,4,2,61
FAYETTEA128,0,331,1,3,0,11,21,196
FAYETTEA130,0,287,1,4,0,2,2,15
FAYETTEA131,0,191,0,4,0,6,23,128
FAYETTEA132,0,272,0,4,0,11,19,166
FAYETTEA133,0,306,0,9,0,2,6,58
FAYETTEA134,0,210,0,1,0,2,6,45
FAYETTEA135,0,350,1,4,0,6,12,105
FAYETTEA136,0,252,0,22,0,12,21,193
FAYETTEA138,0,297,1,7,0,15,21,316
FAYETTEA139,0,214,2,12,0,8,13,221
FAYETTEA140,0,207,0,5,0,7,11,151
FAYETTEA143,0,219,0,5,0,4,9,78
FAYETTEA144,0,415,1,5,0,5,7,51
FAYETTEA145,0,255,2,7,0,9,15,220
FAYETTEA146,0,345,0,10,0,7,26,124
FAYETTEA148,0,421,1,16,0,11,20,50
FAYETTEA149,0,278,1,5,0,5,10,40
FAYETTEA150,0,408,1,17,0,2,12,51
FAYETTEA151,0,181,3,6,0,10,12,155
FAYETTEA152,0,392,1,3,0,14,30,198
FAYETTEA155,0,448,0,4,0,4,13,45
FAYETTEA156,0,171,0,2,0,3,13,128
FAYETTEA157,0,270,1,5,0,13,19,255
FAYETTEA158,0,143,0,7,0,6,16,359
FAYETTEA161,0,416,0,8,0,4,11,63
FAYETTEA162,0,108,0,2,0,3,2,26
FAYETTEA163,0,272,0,3,0,3,19,88
FAYETTEA164,0,265,2,5,0,3,2,38
FAYETTEA165,0,131,0,0,0,2,4,134
FAYETTEA166,0,215,0,5,0,15,18,286
FAYETTEA167,0,193,0,2,0,5,19,162
FAYETTEA168,0,339,1,4,0,3,15,167
FAYETTEA169,0,237,0,2,0,4,5,155
FAYETTEA170,0,150,0,7,0,3,12,114
FAYETTEA171,0,219,2,6,0,4,17,224
FAYETTEA172,0,215,2,3,0,5,17,144
FAYETTEA173,0,250,0,16,0,8,31,119
FAYETTEA174,0,122,0,5,0,3,2,79
FAYETTEA175,0,74,0,0,0,1,4,85
FAYETTEA176,0,171,1,4,0,10,16,229
FAYETTEA177,0,209,0,7,0,3,10,66
FAYETTEA178,0,109,0,4,0,4,6,97
FAYETTEA179,0,289,0,4,0,0,4,12
FAYETTEA180,0,188,0,6,0,13,21,133
FAYETTEA181,0,280,0,4,0,4,19,195
FAYETTEA182,0,191,0,6,0,9,16,291
FAYETTEA183,0,215,1,10,0,13,23,161
FAYETTEA184,0,121,0,6,0,7,18,67
FAYETTEA185,0,303,1,8,0,10,24,120
FAYETTEA187,0,416,0,6,0,17,34,271
FAYETTEA188,0,213,0,0,0,7,15,236
FAYETTEA189,0,129,0,2,0,7,11,166
FAYETTEA190,0,206,1,3,0,16,28,220
FAYETTEA191,0,415,2,9,0,23,35,335
FAYETTEA192,0,267,0,3,0,14,13,203
FAYETTEA193,0,241,0,4,0,9,21,301
FAYETTEA194,0,250,0,1,0,9,13,174
FAYETTEA195,0,197,0,6,0,11,16,171
FAYETTEA196,0,208,0,8,0,10,19,143
FAYETTEA197,0,243,0,3,0,11,20,185
FAYETTEA198,0,199,0,2,0,20,16,128
FAYETTEA199,0,244,0,6,0,5,21,143
FAYETTEA200,0,435,0,8,0,13,28,234
FAYETTEA201,0,236,0,4,0,7,14,143
FAYETTEA203,0,3,0,0,0,0,0,0
FAYETTEA204,0,190,0,7,0,3,12,117
FAYETTEAB,0,4123,2,53,0,128,252,2959
FAYETTEB101,0,189,1,3,0,9,12,243
FAYETTEB102,0,327,0,15,0,17,32,194
FAYETTEB103,0,173,0,4,0,10,10,210
FAYETTEB104,0,187,0,7,0,10,18,190
FAYETTEB105,0,217,1,5,0,8,13,180
FAYETTEB106,0,212,1,4,0,7,26,240
FAYETTEB108,0,199,0,6,0,9,15,162
FAYETTEB110,0,216,0,4,0,14,25,168
FAYETTEB111,0,286,0,3,0,7,10,109
FAYETTEB112,0,197,0,2,0,5,19,154
FAYETTEB113,0,391,0,16,0,9,29,128
FAYETTEB114,0,196,0,8,0,10,13,186
FAYETTEB117,0,227,1,4,0,19,29,310
FAYETTEB118,0,258,0,12,0,5,23,169
FAYETTEB119,0,183,0,4,0,5,13,102
FAYETTEB120,0,128,0,5,0,4,16,130
FAYETTEB121,0,229,1,2,0,5,14,148
FAYETTEB123,0,181,0,2,0,3,17,261
FAYETTEB125,0,276,0,4,0,10,24,164
FAYETTEB127,0,250,1,7,0,10,29,207
FAYETTEB128,0,195,1,2,0,4,6,155
FAYETTEB129,0,138,1,2,0,15,13,215
FAYETTEB130,0,269,0,6,0,17,31,330
FAYETTEB132,0,242,1,14,0,4,17,106
FAYETTEB133,0,253,0,4,0,16,28,118
FAYETTEB135,0,330,0,13,0,13,43,162
FAYETTEB137,0,255,0,8,0,12,13,197
FAYETTEB138,0,304,0,2,0,10,22,123
FAYETTEB139,0,192,1,4,0,7,12,245
FAYETTEB140,0,238,1,4,0,11,22,206
FAYETTEB141,0,208,4,12,0,19,23,238
FAYETTEB142,0,149,0,4,0,5,5,170
FAYETTEB143,0,257,1,5,0,8,24,186
FAYETTEB146,0,237,1,5,0,11,27,240
FAYETTEB147,0,257,0,6,0,11,17,192
FAYETTEB150,0,180,0,3,0,12,14,259
FAYETTEB151,0,185,1,6,0,3,11,148
FAYETTEB152,0,219,0,1,0,7,22,275
FAYETTEB154,0,160,0,6,0,5,13,222
FAYETTEB155,0,281,1,4,0,4,20,188
FAYETTEB156,0,212,0,4,0,15,10,295
FAYETTEB157,0,190,0,1,0,7,18,119
FAYETTEB158,0,245,0,12,0,4,18,162
FAYETTEB159,0,203,0,10,0,13,15,231
FAYETTEB163,0,235,0,5,0,9,33,310
FAYETTEB164,0,156,0,4,0,10,9,186
FAYETTEB165,0,296,0,12,0,13,28,220
FAYETTEB166,0,214,0,3,0,13,15,193
FAYETTEB167,0,141,2,1,0,8,13,138
FAYETTEB168,0,253,0,4,0,4,16,183
FAYETTEB169,0,140,0,6,0,12,12,177
FAYETTEB170,0,162,0,4,0,9,10,192
FAYETTEB172,0,160,1,2,0,10,6,169
FAYETTEB174,0,250,0,5,0,1,12,48
FAYETTEB179,0,300,0,10,0,15,23,297
FAYETTEB181,0,314,0,7,0,11,31,324
FAYETTEB182,0,125,0,2,0,6,12,97
FAYETTEB183,0,195,0,1,0,6,13,175
FAYETTEB184,0,239,1,6,0,9,16,251
FAYETTEB185,0,243,0,6,0,19,19,367
FAYETTEB186,0,180,0,6,0,14,13,288
FAYETTEB187,0,174,1,5,0,18,15,290
FAYETTEB188,0,218,0,2,0,4,11,273
FAYETTEB189,0,256,2,8,0,5,19,159
FAYETTEB190,0,330,0,8,0,13,23,143
FAYETTEB191,0,177,0,3,0,8,15,221
FAYETTEB192,0,229,0,4,0,11,16,308
FAYETTEB195,0,318,2,13,0,2,28,151
FAYETTEB196,0,211,1,6,0,12,22,176
FAYETTEB197,0,217,0,3,0,5,16,146
FAYETTEB198,0,215,1,2,0,12,21,327
FAYETTEB199,0,204,0,6,0,12,13,236
FAYETTEB200,0,158,1,3,0,12,23,192
FAYETTEB201,0,149,0,2,0,6,13,266
FAYETTEB202,0,251,2,2,0,25,28,263
FAYETTEB203,0,173,0,8,0,21,15,344
FAYETTEB204,0,126,1,3,0,12,15,196
FAYETTEB205,0,237,1,4,0,17,25,372
FAYETTEB206,0,206,0,0,0,12,25,272
FAYETTEB207,0,253,0,10,0,12,25,258
FAYETTEB208,0,147,1,2,0,14,12,253
FAYETTEB209,0,200,0,2,0,17,20,273
FAYETTEB210,0,303,1,5,0,15,31,283
FAYETTEB211,0,276,1,11,0,16,33,178
FAYETTEB212,0,217,0,5,0,20,26,262
FAYETTEB213,0,115,0,5,0,2,10,167
FAYETTEB215,0,180,2,6,0,9,21,297
FAYETTEB216,0,189,0,5,0,12,19,275
FAYETTEB217,0,88,0,3,0,6,17,136
FAYETTEB218,0,199,0,1,0,15,24,277
FAYETTEB219,0,166,0,2,0,5,29,245
FAYETTEB221,0,169,0,3,0,8,11,248
FAYETTEB222,0,224,0,5,0,11,18,257
FAYETTEB223,0,187,0,3,0,13,21,289
FAYETTEB224,0,258,0,1,0,19,18,378
FAYETTEB225,0,230,0,7,0,13,19,258
FAYETTEB226,0,179,0,4,0,13,26,249
FAYETTEB227,0,202,0,4,0,4,29,226
FAYETTEB228,0,112,0,2,0,3,5,96
FAYETTEB229,0,236,1,5,0,10,27,141
FAYETTEB230,0,98,0,0,0,1,11,58
FAYETTEB231,0,381,1,13,0,17,33,365
FAYETTEB232,0,246,1,2,0,9,16,323
FAYETTEC102,0,120,0,1,0,1,17,95
FAYETTEC103,0,361,1,6,0,9,18,131
FAYETTEC105,0,407,1,22,0,8,33,110
FAYETTEC109,0,131,0,3,0,8,11,221
FAYETTEC113,0,358,0,5,0,13,22,162
FAYETTEC114,0,203,2,2,0,7,25,221
FAYETTEC115,0,226,0,13,0,5,8,60
FAYETTEC118,0,162,0,6,0,9,13,246
FAYETTEC120,0,311,0,4,0,13,22,168
FAYETTEC121,0,145,1,2,0,0,8,74
FAYETTEC124,0,348,0,7,0,8,11,149
FAYETTEC125,0,192,1,3,0,12,16,349
FAYETTEC126,0,239,1,6,0,12,21,135
FAYETTEC127,0,233,1,6,0,7,18,198
FAYETTEC128,0,308,2,13,0,9,23,104
FAYETTEC129,0,134,0,4,0,2,18,113
FAYETTEC130,0,206,0,4,0,5,17,143
FAYETTEC132,0,300,0,10,0,7,16,152
FAYETTEC137,0,180,0,2,0,4,8,249
FAYETTEC138,0,387,2,16,0,11,11,118
FAYETTEC140,0,542,0,11,0,11,14,107
FAYETTEC142,0,479,3,14,0,17,19,141
FAYETTEC143,0,255,1,7,0,12,10,128
FAYETTEC144,0,341,0,6,0,5,18,99
FAYETTEC148,0,203,0,9,0,7,13,130
FAYETTEC150,0,220,0,4,0,4,16,101
FAYETTEC151,0,160,1,7,0,3,11,100
FAYETTEC152,0,213,1,5,0,11,13,371
FAYETTEC153,0,150,0,5,0,5,14,204
FAYETTEC154,0,110,0,5,0,8,10,197
FAYETTEC155,0,141,0,1,0,3,5,149
FAYETTEC156,0,248,0,8,0,6,24,185
FAYETTEC157,0,254,1,13,0,5,25,100
FAYETTEC159,0,172,0,4,0,6,16,137
FAYETTEC160,0,96,0,1,0,10,2,195
FAYETTEC161,0,178,2,8,0,8,18,142
FAYETTEC162,0,306,0,7,0,9,22,159
FAYETTEC163,0,133,0,3,0,4,15,280
FAYETTEC164,0,259,1,8,0,17,22,301
FAYETTEC165,0,306,0,3,0,13,23,177
FAYETTEC167,0,310,0,10,0,5,25,197
FAYETTEC170,0,181,1,6,0,3,14,121
FAYETTEC171,0,221,1,7,0,3,13,156
FAYETTEC173,0,244,0,8,0,12,13,279
FAYETTEC174,0,257,0,11,0,5,29,206
FAYETTEC175,0,233,0,4,0,17,20,211
FAYETTEC176,0,259,0,3,0,9,29,255
FAYETTEC177,0,272,2,9,0,11,30,226
FAYETTEC178,0,156,0,1,0,11,23,187
FAYETTEC179,0,222,0,7,0,10,19,144
FAYETTEC180,0,254,0,4,0,22,22,392
FAYETTEC182,0,195,0,4,0,17,22,239
FAYETTEC183,0,187,1,3,0,7,9,69
FAYETTEC184,0,75,0,0,0,1,9,70
FAYETTEC185,0,53,1,3,0,1,5,98
FAYETTEC186,0,275,0,6,0,15,29,180
FAYETTEC187,0,158,0,1,0,9,22,275
FAYETTEC188,0,170,0,2,0,6,11,163
FAYETTEC189,0,278,1,3,0,5,16,94
FAYETTEC190,0,270,1,6,0,7,27,228
FAYETTEC191,0,304,0,15,0,10,34,212
FAYETTEC192,0,183,0,4,0,7,10,271
FAYETTEC193,0,115,0,1,0,3,10,194
FAYETTEC194,0,212,1,2,0,9,19,264
FAYETTEC195,0,234,0,6,0,6,10,202
FAYETTEC196,0,220,0,6,0,13,23,150
FAYETTEC197,0,136,1,5,0,7,11,124
FAYETTEC198,0,185,0,4,0,8,12,134
FAYETTEC199,0,164,0,1,0,9,16,191
FAYETTEC200,0,195,1,3,0,11,22,290
FAYETTEC201,0,116,0,2,0,3,9,184
FAYETTEC203,0,234,0,3,0,16,26,276
FAYETTEC205,0,251,1,5,0,4,22,183
FAYETTEC207,0,310,0,9,0,13,25,203
FAYETTEC208,0,118,1,0,0,11,12,263
FAYETTEC209,0,256,0,5,0,8,17,289
FAYETTEC210,0,183,0,1,0,18,17,309
FAYETTEC211,0,200,1,9,0,4,8,169
FAYETTEC212,0,249,2,8,0,7,19,191
FAYETTEC213,0,148,0,6,0,2,10,118
FAYETTEC215,0,158,0,4,0,12,19,181
FAYETTEC216,0,129,0,2,0,7,9,120
FAYETTEC217,0,220,1,1,0,11,28,262
FAYETTEC218,0,201,0,3,0,5,13,260
FAYETTEC219,0,216,0,3,0,4,13,144
FAYETTEC220,0,156,1,3,0,5,9,125
FAYETTEC221,0,201,1,4,0,12,24,180
FAYETTEC222,0,164,1,6,0,6,9,135
FAYETTEC223,0,259,1,3,0,11,16,306
FAYETTEC224,0,286,0,6,0,14,21,321
FAYETTEC225,0,168,1,5,0,9,16,300
FAYETTEC226,0,183,0,3,0,9,15,117
FAYETTEC227,0,297,0,3,0,12,21,231
FAYETTEC228,0,204,0,2,0,11,21,216
FAYETTEC229,0,103,0,0,0,2,8,180
FAYETTEC230,0,213,0,1,0,16,17,148
FAYETTEC231,0,170,0,1,0,8,11,271
FAYETTEC232,0,208,0,5,0,7,14,255
FAYETTEC233,0,226,0,6,0,9,18,195
FAYETTEC235,0,140,1,2,0,3,16,149
FAYETTEC236,0,122,0,4,0,5,15,184
FAYETTEC237,0,190,0,3,0,9,33,253
FAYETTEC238,0,263,0,5,0,13,20,252
FAYETTEC239,0,342,0,4,0,16,22,403
FLEMINGA101,0,68,0,2,0,5,8,284
FLEMINGA102,0,49,0,0,0,2,0,180
FLEMINGA103,0,90,1,0,0,1,5,239
FLEMINGAB,0,118,2,1,0,3,9,352
FLEMINGB101,0,46,0,3,0,3,7,211
FLEMINGB102,0,99,0,4,0,7,15,379
FLEMINGB103,0,37,1,2,0,6,5,205
FLEMINGC101,0,86,0,0,0,3,2,421
FLEMINGC102,0,115,0,1,0,8,9,370
FLEMINGD102,0,139,1,3,0,2,9,317
FLEMINGD103,0,107,1,0,0,2,6,280
FLEMINGE101,0,89,0,1,0,2,4,196
FLEMINGE102,0,43,1,3,0,0,8,201
FLEMINGE103,0,45,0,0,0,1,4,192
FLEMINGE104,0,22,0,0,0,0,2,137
FLEMINGF102,0,46,0,0,0,1,5,187
FLEMINGF103,0,24,0,0,0,0,1,94
FLEMINGF104,0,90,0,0,0,5,8,269
FLEMINGF105,0,35,0,0,0,0,2,208
FLOYDABSENTEE MACHINE,0,129,1,3,0,5,12,450
FLOYDABSENTEE PAPER,0,169,0,0,0,1,2,151
FLOYDEARLY VOTE PRESIDENT,0,0,0,0,0,0,0,0
FRANKLINA101,0,350,0,7,0,15,23,391
FRANKLINA102A,0,194,0,5,0,5,4,211
FRANKLINA103A,0,264,0,7,0,4,7,64
FRANKLINA104A,0,240,0,3,0,1,6,162
FRANKLINA105A,0,287,0,10,0,8,8,99
FRANKLINA106,0,145,0,8,0,7,27,422
FRANKLINA107A,0,303,0,8,0,6,18,106
FRANKLINA108,0,208,1,5,0,10,24,425
FRANKLINAB,0,688,2,10,0,25,40,570
FRANKLINB101,0,343,0,3,0,13,18,353
FRANKLINB102,0,295,1,8,0,8,12,236
FRANKLINB103A,0,160,0,2,0,10,19,204
FRANKLINB105A,0,148,0,4,0,4,14,216
FRANKLINB106,0,591,0,11,0,32,45,762
FRANKLINB108A,0,223,0,7,0,14,22,293
FRANKLINB109A,0,87,0,2,0,4,8,87
FRANKLINC101A,0,133,0,3,0,6,8,149
FRANKLINC102A,0,223,1,3,0,4,7,105
FRANKLINC105A,0,152,0,1,0,3,11,149
FRANKLINC106A,0,152,0,5,0,6,14,212
FRANKLINC107A,0,406,0,4,0,11,21,340
FRANKLINC108,0,278,2,3,0,10,17,421
FRANKLINC109A,0,366,0,4,0,7,28,280
FRANKLINC110A,0,205,0,6,0,4,15,214
FRANKLIND101,0,145,0,1,0,5,13,246
FRANKLIND102,0,212,1,6,0,9,19,418
FRANKLIND103,0,92,0,1,0,2,17,184
FRANKLIND104,0,129,0,6,0,3,9,256
FRANKLIND105A,0,92,0,9,0,2,9,140
FRANKLIND106A,0,134,0,6,0,1,10,76
