precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_WILLIAMS,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_KENISTON,gen_ind_KOTLIKOFF,gen_ind_MALDONADO,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SCHOENKE,gen_ind_SOLTYSIK,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
BROWNVILLAGE OF ALLOUEZ WARD 5-6,342,0,0,373,2,5,1,474,1,0,1,179,2,10,0,333,0,6,988,11,0,2,0,0,0,0,0,17,2,0,0,85,1134,715,2245
BROWNVILLAGE OF ALLOUEZ WARD 7-9,239,0,0,352,0,1,1,406,0,1,0,84,0,6,0,251,0,3,801,19,0,2,0,0,0,0,0,13,2,0,0,64,926,591,1830
BROWNVILLAGE OF ASHWAUBENON WARDS 1-2,147,0,0,259,10,3,0,185,1,0,1,48,0,9,0,161,0,12,521,19,0,1,0,0,0,0,0,2,1,0,0,69,592,406,1217
BROWNVILLAGE OF ASHWAUBENON WARDS 11-12,220,0,1,285,1,3,2,330,0,0,0,74,1,2,1,220,0,3,735,16,0,1,0,0,0,0,0,7,0,0,0,62,804,506,1628
BROWNVILLAGE OF ASHWAUBENON WARDS 3-4,184,0,2,232,0,1,0,254,1,0,2,43,2,6,0,223,0,10,501,21,0,0,0,0,0,0,0,0,0,0,0,46,668,418,1246
BROWNVILLAGE OF ASHWAUBENON WARDS 5-6,211,0,0,276,2,2,1,312,0,0,0,56,1,5,0,250,0,8,642,14,0,1,0,0,0,0,0,0,0,0,0,60,738,487,1463
BROWNVILLAGE OF ASHWAUBENON WARDS 9-10,274,0,0,270,2,3,0,447,2,0,1,115,0,5,0,338,0,5,721,16,0,0,0,0,0,0,0,5,0,0,0,74,1106,544,1927
BROWNVILLAGE OF BELLEVUE WARDS 7-10,516,0,1,615,4,2,2,952,1,0,1,162,3,13,1,621,0,15,1628,27,0,0,0,0,0,0,3,0,1,0,0,145,2406,1132,4225
BROWNVILLAGE OF SUAMICO WARD 1-4,325,0,0,387,5,1,1,777,1,0,0,136,1,11,0,621,0,11,959,13,0,1,0,0,0,0,0,9,0,0,0,98,2233,712,3324
BROWNVILLAGE OF WRIGHTSTOWN WARDS 1-3,137,0,1,195,1,2,0,314,2,0,0,46,1,9,0,192,0,5,448,12,0,1,0,0,0,0,0,6,1,0,0,61,836,333,1370
BUFFALOCITY OF ALMA WARDS 1-2,63,0,0,82,1,0,0,58,0,0,0,15,1,0,0,62,0,3,176,5,0,0,0,0,0,0,0,1,0,0,0,6,225,145,416
BUFFALOCITY OF BUFFALO CITY WARD 1,72,0,1,104,1,1,0,58,0,0,0,23,1,2,0,118,0,5,251,6,0,0,0,0,0,0,0,0,0,0,0,23,323,177,608
BUFFALOCITY OF FOUNTAIN CITY WARD 1-2,76,0,0,72,1,1,0,45,0,0,0,28,0,0,0,65,0,1,190,5,0,0,0,0,0,0,0,4,0,0,0,12,192,148,404
BUFFALOTOWN OF ALMA WARD 1,29,0,0,29,1,0,0,33,0,0,0,5,0,0,0,31,0,0,79,3,0,1,0,0,0,0,0,0,0,0,0,4,95,58,182
BUFFALOTOWN OF BELVIDERE WARD 1,32,0,1,47,1,0,0,38,0,0,0,13,1,1,0,51,0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,6,149,80,251
BUFFALOTOWN OF BUFFALO WARD 1,32,0,0,79,0,2,1,64,0,0,0,20,0,3,0,63,0,3,151,6,0,1,0,0,0,0,0,1,0,0,0,9,225,111,396
BUFFALOTOWN OF CANTON WARD 1,26,0,0,32,0,2,1,15,0,0,0,6,0,0,0,25,0,0,53,4,0,0,0,0,0,0,0,0,1,0,0,3,80,58,141
BUFFALOTOWN OF CROSS WARD 1,10,0,0,32,0,3,1,19,0,0,0,20,0,0,0,49,0,0,58,4,0,0,0,0,0,0,0,0,0,0,0,7,132,42,201
BUFFALOTOWN OF DOVER WARD 1,22,0,0,35,1,1,0,36,0,0,0,2,0,0,0,37,0,2,84,2,0,0,0,0,0,0,0,0,0,0,0,3,130,57,221
BUFFALOTOWN OF GILMANTON WARD 1,24,0,0,39,0,0,0,26,0,0,0,6,0,1,0,28,0,0,62,3,0,0,0,0,0,0,0,0,0,0,0,10,128,63,203
BUFFALOTOWN OF GLENCOE WARD 1,22,0,1,36,0,0,0,34,0,0,0,23,0,2,0,62,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,3,165,59,232
BUFFALOTOWN OF LINCOLN WARD 1,16,0,0,20,2,1,0,17,0,0,0,8,0,0,0,43,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,5,78,36,123
BUFFALOTOWN OF MAXVILLE WARD 1,14,0,1,16,0,0,0,31,0,0,1,12,0,0,0,51,0,1,37,3,0,0,0,0,0,0,0,1,1,0,0,6,128,31,177
BUFFALOTOWN OF MILTON WARD 1,29,0,0,54,0,0,0,56,0,0,0,15,0,0,0,49,0,2,139,4,0,0,0,0,0,0,0,2,0,0,0,15,173,83,335
BUFFALOTOWN OF MODENA WARD 1,28,0,0,37,0,0,0,32,0,0,0,7,0,0,0,34,0,1,66,1,0,0,0,0,0,0,0,0,0,0,0,2,90,65,160
BUFFALOTOWN OF MONDOVI WARD 1,26,0,0,33,0,0,0,28,0,0,0,8,0,0,0,62,0,1,82,5,0,1,0,0,0,0,0,0,0,0,0,5,157,59,251
BUFFALOTOWN OF MONTANA WARD 1,12,0,0,19,1,0,0,25,0,0,0,5,0,1,0,39,0,3,39,1,0,0,0,0,0,0,0,0,0,0,0,3,95,31,141
BUFFALOTOWN OF NAPLES WARD 1,26,0,0,55,0,1,0,78,0,0,0,15,0,1,0,82,0,3,103,1,0,0,0,0,0,0,0,0,0,0,0,20,240,81,367
BUFFALOTOWN OF NELSON WARD 1,33,0,0,35,0,0,0,58,0,0,0,5,0,0,0,57,0,1,88,4,0,0,0,0,0,0,0,0,0,0,0,11,210,68,314
BUFFALOTOWN OF WAUMANDEE WARD 1,20,0,0,44,0,1,0,35,1,0,0,18,1,5,1,71,0,2,87,2,0,0,0,0,0,0,0,0,1,0,0,10,188,64,290
BUFFALOVILLAGE OF COCHRANE WARD 1,18,0,0,22,0,0,0,30,0,0,0,10,0,2,0,29,0,2,82,2,0,0,0,0,0,0,0,0,0,0,0,8,105,40,199
BUFFALOVILLAGE OF NELSON WARD 1,24,0,0,29,0,0,0,12,0,0,0,6,0,0,0,27,0,1,63,3,0,0,0,0,0,0,0,1,2,0,0,12,88,53,170
BURNETTTOWN OF ANDERSON WARD 1,17,0,0,23,0,3,0,47,0,0,0,3,0,2,0,53,0,0,64,1,0,0,0,0,0,0,0,1,0,0,0,11,172,40,249
BURNETTTOWN OF BLAINE WARD 1,15,0,0,12,0,1,0,20,0,0,0,1,0,0,0,17,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4,66,27,101
BURNETTTOWN OF DANIELS WARD 1,35,0,1,42,0,1,0,58,0,0,0,15,1,2,0,71,0,5,102,3,0,0,0,0,0,0,0,4,1,0,0,11,251,78,377
BURNETTTOWN OF DEWEY WARD 1,28,0,0,52,0,3,0,59,0,0,0,9,0,3,0,49,0,4,94,3,0,1,0,0,0,0,0,0,0,0,0,12,166,80,280
BURNETTTOWN OF GRANTSBURG WARD 1-3,39,0,0,65,0,1,1,86,0,0,0,20,1,1,1,111,0,9,163,6,0,0,0,0,0,0,0,1,1,0,0,18,365,104,563
BURNETTTOWN OF JACKSON WARD 1,78,0,1,58,0,2,0,61,0,1,0,39,0,6,0,107,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,17,321,137,570
BURNETTTOWN OF LA FOLLETTE WARD 1-2,42,0,1,33,0,0,0,41,0,1,0,6,0,0,0,52,0,0,129,3,0,0,0,0,0,0,0,2,0,0,0,7,167,76,308
BURNETTTOWN OF LINCOLN WARD 1,21,0,0,12,0,0,0,22,0,0,0,5,1,0,1,46,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,2,123,33,172
BURNETTTOWN OF MEENON WARD 1-3,45,0,0,42,0,2,1,55,0,0,0,24,0,1,0,122,0,2,164,5,0,0,0,0,0,0,0,0,0,0,0,13,369,87,553
BURNETTTOWN OF OAKLAND WARD 1-2,74,0,0,62,0,1,0,66,0,0,1,25,0,1,0,71,0,0,243,8,0,0,0,0,0,0,0,0,1,0,0,11,312,136,575
BURNETTTOWN OF ROOSEVELT WARD 1,12,0,0,9,0,0,0,17,0,0,1,4,0,1,0,27,0,1,32,1,0,0,0,0,0,0,0,0,0,0,0,2,73,21,109
BURNETTTOWN OF RUSK WARD 1,26,0,0,30,0,0,0,29,0,0,0,13,1,1,0,57,0,0,76,2,0,0,0,0,0,0,0,0,0,0,0,4,163,56,245
BURNETTTOWN OF SAND LAKE WARD 1,20,0,0,55,0,2,0,27,0,0,0,8,0,3,0,49,0,1,118,2,0,0,0,0,0,0,0,1,1,0,0,6,157,75,286
BURNETTTOWN OF SCOTT WARD 1-2,55,0,1,46,0,2,0,42,0,0,0,19,0,4,0,75,0,2,171,0,0,0,0,0,0,0,0,1,1,0,0,10,221,102,406
BURNETTTOWN OF SIREN WARD 1-2,55,0,0,50,0,0,0,65,0,0,2,19,0,4,0,108,0,1,155,4,0,0,0,0,0,0,0,2,0,0,0,14,350,105,526
BURNETTTOWN OF SWISS WARD 1-2,54,0,0,61,0,2,0,32,0,0,0,9,0,4,0,49,0,2,189,8,0,0,0,0,0,0,0,0,0,0,0,13,215,115,427
BURNETTTOWN OF TRADE LAKE WARD 1-2,39,0,0,44,0,3,0,82,0,0,0,21,3,0,0,93,0,4,152,2,0,1,0,0,0,0,0,2,1,0,0,13,331,83,506
BURNETTTOWN OF UNION WARD 1,22,0,0,23,0,0,0,23,0,0,0,10,0,1,0,47,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,2,126,45,204
BURNETTTOWN OF WEBB LAKE WARD 1,39,0,0,19,0,2,0,38,0,0,0,15,0,1,0,52,0,1,99,2,0,0,0,0,0,0,0,0,0,0,0,8,172,58,282
BURNETTTOWN OF WEST MARSHLAND WARD 1-2,11,0,0,18,0,0,0,29,0,0,0,4,0,1,0,42,0,3,42,1,0,0,0,0,0,0,0,0,0,0,0,6,143,29,195
BURNETTTOWN OF WOOD RIVER WARD 1-3,40,0,1,45,0,3,1,90,0,0,1,32,0,3,0,93,0,10,126,5,0,0,0,0,0,0,0,1,0,0,0,15,360,86,517
BURNETTVILLAGE OF GRANTSBURG WARD 1-3,62,0,2,67,2,4,1,106,0,0,0,34,2,3,0,104,0,3,197,4,0,0,0,2,0,0,0,6,1,0,0,19,379,131,611
BURNETTVILLAGE OF SIREN WARDS 1-2,49,0,0,38,0,1,0,37,0,0,0,16,0,1,0,77,0,0,127,2,0,0,0,0,0,0,0,0,0,0,0,11,218,87,358
BURNETTVILLAGE OF WEBSTER WARDS 1-2,40,0,1,30,0,3,0,40,0,0,1,5,0,2,0,57,0,0,122,2,0,0,0,0,0,0,0,0,0,0,0,7,192,71,323
CALUMETCITY OF APPLETON WARD 12,36,0,0,47,0,2,0,43,0,0,1,9,0,1,0,45,0,1,149,2,0,1,0,0,0,0,0,2,0,0,0,11,151,83,317
CALUMETCITY OF APPLETON WARD 13,120,0,1,233,0,0,0,145,0,0,0,32,2,1,0,121,0,6,445,5,0,1,0,0,0,0,0,2,2,0,0,55,424,354,940
CALUMETCITY OF APPLETON WARD 14,101,0,0,120,0,0,0,145,0,0,1,38,0,4,0,76,0,4,362,4,0,1,0,0,0,0,0,4,0,0,0,24,388,221,787
CALUMETCITY OF APPLETON WARD 26,153,0,0,220,1,3,0,206,0,0,0,48,1,4,0,156,0,6,490,14,0,0,0,0,0,0,2,11,4,0,0,68,506,373,1101
CALUMETCITY OF APPLETON WARD 44,141,0,1,251,0,3,1,184,0,0,1,34,0,5,0,152,0,9,484,16,0,1,0,0,0,0,0,6,0,0,0,46,523,393,1085
CALUMETCITY OF APPLETON WARD 45,196,0,0,251,0,5,0,278,1,0,1,104,1,4,0,156,0,11,613,8,0,0,0,0,0,0,0,4,0,0,0,54,564,447,1254
CALUMETCITY OF APPLETON WARD 46,8,0,0,16,0,0,0,31,0,0,0,5,0,1,0,9,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,1,47,24,95
CALUMETCITY OF APPLETON WARD 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALUMETCITY OF KAUKAUNA WARD 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALUMETCITY OF KIEL WARD 7,24,0,0,16,1,0,0,22,1,0,0,3,0,0,0,19,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,80,40,136
CALUMETCITY OF MENASHA WARDS 16-20,199,0,1,273,1,4,0,265,1,0,0,87,2,5,0,237,0,12,662,10,0,0,0,0,0,0,0,10,1,0,0,56,763,473,1514
CALUMETTOWN OF BRILLION WARDS 1-2,59,0,0,131,2,4,0,239,1,0,0,22,2,4,0,122,0,13,195,9,0,0,0,0,0,0,0,2,0,0,0,35,566,190,820
CALUMETTOWN OF BROTHERTOWN WARDS 1-2,62,0,1,102,2,2,0,206,0,0,0,31,0,5,2,151,0,3,186,2,0,0,0,0,0,0,0,3,0,0,0,14,526,165,734
CALUMETTOWN OF CHARLESTOWN WARD 1,44,0,1,56,1,0,0,151,0,1,0,18,0,2,1,90,0,1,123,4,0,0,0,0,0,0,0,4,0,0,0,13,315,101,460
CALUMETTOWN OF RANTOUL WARD 1,28,0,0,40,0,0,0,120,0,0,0,15,0,2,0,72,0,3,87,4,0,0,0,0,0,0,0,2,0,0,0,9,312,68,417
CALUMETTOWN OF WOODVILLE WARD 1,42,0,1,68,0,3,0,155,0,0,0,17,0,2,0,96,0,4,111,5,6,0,0,0,0,0,0,0,1,0,0,22,356,111,505
CALUMETVILLAGE OF HARRISON WARD 15,16,0,0,22,0,0,0,35,0,0,1,7,0,0,0,29,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,4,122,38,170
CALUMETVILLAGE OF HARRISON WARD 16,36,0,0,44,1,1,0,66,0,0,0,14,0,3,0,55,0,1,99,2,0,0,0,0,0,0,0,0,0,0,0,19,179,80,300
CALUMETVILLAGE OF HARRISON WARD 17,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7
CALUMETVILLAGE OF HARRISON WARD 18,9,0,0,7,0,0,0,20,0,0,0,9,0,1,0,13,0,2,155,2,0,0,0,0,0,0,0,3,0,0,0,17,178,16,357
CALUMETVILLAGE OF HARRISON WARDS 11-13,131,0,0,181,2,2,0,311,0,0,0,96,3,4,0,214,0,4,584,9,0,0,0,0,0,0,0,0,0,0,0,61,927,312,1585
CALUMETVILLAGE OF HARRISON WARDS 3-4,105,0,0,125,0,3,1,276,1,0,1,74,0,1,0,152,0,8,406,6,0,1,0,0,0,0,0,0,0,0,0,44,654,230,1119
"CALUMETVILLAGE OF HARRISON WARDS 5-6,10",111,0,0,167,0,0,0,254,0,0,1,47,0,0,0,144,0,4,446,11,0,0,0,0,0,0,0,0,0,0,0,50,658,278,1169
"CALUMETVILLAGE OF HARRISON WARDS 7-9,14",121,0,2,171,0,3,0,260,1,0,0,53,1,2,0,160,0,8,430,8,0,2,0,0,0,0,0,3,0,0,0,65,662,294,1178
CALUMETVILLAGE OF HILBERT WARD 1-2,48,0,0,49,0,4,0,153,1,0,1,17,2,3,0,141,0,2,118,5,0,0,0,0,0,0,0,1,0,0,0,25,380,97,531
CALUMETVILLAGE OF POTTER WARD 1,12,0,0,15,0,2,0,40,0,0,0,2,0,1,0,34,0,1,24,2,0,1,0,0,0,0,0,2,0,0,0,7,109,27,146
CALUMETVILLAGE OF STOCKBRIDGE WARD 1,47,0,0,48,0,0,0,97,0,0,0,21,1,1,0,63,0,3,137,2,0,0,0,0,0,0,0,0,0,0,0,15,237,95,394
CHIPPEWACITY OF BLOOMER WARDS 1-4,211,0,1,261,1,5,1,348,0,1,1,55,2,5,0,381,0,10,577,11,0,0,0,0,0,0,1,3,3,0,0,52,1091,473,1748
CHIPPEWACITY OF CHIPPEWA FALLS WARD 1,117,0,0,207,0,2,0,140,1,0,0,19,1,1,1,115,0,4,377,9,0,1,0,0,0,0,0,1,0,0,0,45,433,324,870
CHIPPEWACITY OF CHIPPEWA FALLS WARD 2,123,0,0,230,0,3,0,144,1,0,0,50,2,2,0,138,0,7,471,12,0,1,0,0,0,0,0,3,1,0,0,57,473,353,1025
CHIPPEWACITY OF CHIPPEWA FALLS WARD 3,182,0,0,231,0,3,2,182,0,0,0,59,3,1,0,138,0,8,504,8,0,0,0,0,0,0,0,7,2,0,0,42,512,413,1083
CHIPPEWACITY OF CHIPPEWA FALLS WARD 3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIPPEWACITY OF CHIPPEWA FALLS WARD 4,117,0,1,233,0,2,0,117,0,0,0,28,1,1,0,97,0,1,380,13,0,1,0,0,0,0,1,6,2,0,0,43,340,351,787
CHIPPEWACITY OF CHIPPEWA FALLS WARD 5,110,0,1,157,3,0,0,113,1,0,2,27,1,7,0,100,0,12,371,20,0,0,0,0,0,0,0,4,1,0,0,54,375,268,837
CHIPPEWACITY OF CHIPPEWA FALLS WARD 6,119,0,0,187,2,4,1,99,0,0,0,15,0,3,1,131,0,5,369,19,0,1,0,0,0,0,0,1,0,0,0,36,415,306,846
CHIPPEWACITY OF CHIPPEWA FALLS WARD 7,178,0,1,138,6,3,2,131,2,0,2,38,0,8,0,141,0,3,462,8,4,1,0,0,0,0,1,4,0,0,0,32,434,317,949
CHIPPEWACITY OF CHIPPEWA FALLS WARD 7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIPPEWACITY OF CORNELL WARDS 1-4,83,0,1,87,6,0,1,105,0,0,0,27,1,0,0,146,0,2,207,5,0,0,0,0,0,0,0,1,0,0,0,14,415,171,644
CHIPPEWACITY OF EAU CLAIRE WARD 16,131,0,1,193,0,1,0,121,0,0,0,20,1,1,0,136,0,7,423,17,0,1,0,0,0,0,0,0,0,0,0,40,416,325,904
CHIPPEWACITY OF EAU CLAIRE WARD 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIPPEWACITY OF EAU CLAIRE WARD 41,7,0,0,12,0,0,0,12,0,0,0,0,0,0,0,7,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,5,32,19,76
"CHIPPEWACITY OF STANLEY WARDS 1-4,6-7",138,0,1,118,0,1,1,147,0,0,0,26,3,4,0,150,0,5,327,17,0,0,0,0,0,0,0,0,0,0,0,27,540,257,916
CHIPPEWATOWN OF ANSON WARD 4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
CHIPPEWATOWN OF ANSON WARDS 1-3,130,0,0,212,2,2,2,258,0,0,0,45,2,1,0,244,0,4,440,5,0,0,2,0,0,0,0,4,2,0,0,65,757,342,1279
CHIPPEWATOWN OF ARTHUR WARD 1,37,0,1,55,0,0,0,70,0,0,0,13,0,3,0,87,0,2,92,2,0,0,0,0,0,0,0,1,0,0,0,10,257,93,364
CHIPPEWATOWN OF AUBURN WARD 1,42,0,0,48,0,0,0,63,0,0,0,11,0,2,0,85,0,2,116,5,0,0,0,0,0,0,0,0,0,0,0,18,221,90,362
CHIPPEWATOWN OF BIRCH CREEK WARD 1,50,0,1,32,1,2,0,59,0,1,1,19,0,0,0,105,0,2,116,0,0,0,0,0,0,0,0,0,0,0,0,4,191,83,313
CHIPPEWATOWN OF CLEVELAND WARD 1,42,0,0,52,0,0,0,100,0,0,0,5,1,0,0,98,0,1,117,1,0,0,0,1,0,0,0,0,0,0,0,15,318,94,453
CHIPPEWATOWN OF COLBURN WARD 1,29,0,0,53,1,0,0,97,0,0,0,12,0,0,0,111,0,1,108,2,0,0,0,0,0,0,0,2,0,0,0,6,295,82,414
CHIPPEWATOWN OF COOKS VALLEY WARD 1,27,0,1,67,0,2,0,100,0,0,0,8,0,1,0,74,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,14,267,95,388
CHIPPEWATOWN OF DELMAR WARD 1,63,0,1,51,1,0,2,97,1,0,0,24,1,1,0,118,0,1,120,1,0,0,0,0,0,0,0,1,0,0,0,17,299,115,439
CHIPPEWATOWN OF ESTELLA WARD 1,15,0,0,32,1,1,0,53,0,0,0,1,0,0,1,52,0,1,59,1,0,0,0,0,0,0,0,0,0,0,0,4,162,47,227
CHIPPEWATOWN OF GOETZ WARD 3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9
CHIPPEWATOWN OF HALLIE WARD 1,14,0,0,23,0,1,0,22,0,0,0,4,0,1,0,13,0,0,48,2,0,1,0,0,0,0,0,0,0,0,0,4,43,37,98
CHIPPEWATOWN OF HOWARD WARD 1,52,0,0,79,1,2,0,75,1,0,0,17,0,1,0,82,0,6,134,2,0,0,0,0,0,0,0,1,0,0,0,28,245,131,416
CHIPPEWATOWN OF LAFAYETTE WARDS 1-9,475,0,1,472,4,8,0,565,1,0,4,139,3,8,0,536,0,13,1380,24,0,0,0,0,0,0,0,0,0,0,0,142,1881,948,3440
CHIPPEWATOWN OF RUBY WARD 1,29,0,1,35,0,0,0,34,1,0,0,12,0,2,0,73,0,1,57,0,0,0,0,0,0,0,0,1,0,0,0,4,158,65,221
CHIPPEWATOWN OF SAMPSON WARD 1,49,0,0,51,0,1,0,111,0,0,0,25,0,3,0,131,0,4,133,2,0,0,0,0,0,0,0,5,0,0,0,15,344,100,503
CHIPPEWATOWN OF WOODMOHR WARDS 1-2,74,0,0,75,1,0,0,128,0,0,0,22,0,2,0,156,0,10,173,6,0,0,0,0,0,0,0,0,1,0,0,15,363,149,568
CHIPPEWAVILLAGE OF BOYD WARD 1,37,0,0,46,0,0,0,35,0,0,0,7,1,1,0,54,0,2,109,2,0,0,0,0,0,0,0,1,1,0,0,12,162,83,289
CHIPPEWAVILLAGE OF LAKE HALLIE WARDS 1-8,425,0,3,522,1,8,0,561,0,0,3,100,4,1,0,555,0,17,1392,29,0,3,0,0,0,0,0,12,1,0,0,164,1837,950,3455
CHIPPEWAVILLAGE OF NEW AUBURN WARD 1,21,0,2,32,0,1,0,45,1,0,0,9,0,1,0,52,0,0,46,0,0,0,0,0,0,0,0,1,0,0,0,12,152,55,211
CLARKCITY OF NEILLSVILLE WARD 1,19,0,0,39,0,0,0,45,0,0,0,6,1,1,0,36,0,0,77,4,0,0,0,0,0,0,0,1,1,0,0,3,109,58,195
CLARKCITY OF NEILLSVILLE WARD 2,23,0,0,56,1,0,0,60,0,0,0,11,0,1,0,46,0,2,106,3,0,1,0,0,0,0,0,1,2,0,0,10,155,79,280
CLARKCITY OF NEILLSVILLE WARD 3,43,0,0,62,1,2,0,40,0,0,0,11,0,2,0,60,0,1,116,2,0,0,0,0,0,0,0,1,0,0,0,7,155,105,282
CLARKCITY OF NEILLSVILLE WARD 4,19,0,0,19,1,0,1,38,0,0,2,4,1,1,0,28,0,0,55,3,0,0,0,0,0,0,0,2,0,0,0,5,109,38,174
CLARKCITY OF NEILLSVILLE WARD 5,19,0,0,23,0,0,0,30,0,0,0,2,0,1,0,21,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,4,67,42,128
CLARKCITY OF STANLEY WARD 5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
CLARKCITY OF STANLEY WARD 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLARKTOWN OF BEAVER WARD 1,26,0,1,32,0,1,0,55,0,0,0,11,2,1,1,53,0,2,66,3,0,0,0,0,0,0,0,0,0,0,0,7,177,59,255
CLARKTOWN OF BUTLER WARD 1,6,0,0,10,0,0,0,8,0,0,0,1,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,36,16,51
CLARKTOWN OF DEWHURST WARD 1,23,0,0,34,0,1,0,25,0,0,0,8,0,0,0,52,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0,5,127,57,200
CLARKTOWN OF FOSTER WARD 1,12,0,0,6,0,0,0,12,0,0,0,6,0,0,0,21,0,0,20,1,0,0,0,0,0,0,0,0,1,0,0,0,53,18,75
CLARKTOWN OF HENDREN WARD 1,24,0,0,35,0,0,1,44,0,0,1,10,1,1,0,44,0,1,63,2,0,0,0,0,0,0,0,0,1,0,0,5,116,59,188
CLARKTOWN OF MEAD WARD 1,20,0,0,22,0,0,0,19,0,0,1,2,0,0,0,36,0,0,45,0,0,0,0,0,0,0,0,0,1,0,0,7,89,42,142
CLARKTOWN OF MENTOR WARD 1,10,0,0,43,0,0,0,29,0,0,0,5,1,0,0,59,0,1,78,2,0,0,0,0,0,0,0,1,0,0,0,15,147,53,244
CLARKTOWN OF PINE VALLEY WARDS 1-2,63,0,0,85,1,1,0,105,0,0,0,20,0,3,0,154,0,1,205,5,0,2,0,0,0,0,0,1,0,0,0,13,400,148,627
CLARKTOWN OF SEIF WARD 1,12,0,0,23,0,0,0,14,0,0,0,2,0,1,0,18,0,0,34,2,0,0,0,0,0,0,0,0,0,0,0,4,62,35,102
CLARKTOWN OF SHERWOOD WARD 1,18,0,0,28,0,0,0,25,0,0,0,5,0,0,0,24,0,1,68,1,0,0,0,0,0,0,0,0,1,0,0,7,72,46,150
CLARKTOWN OF THORP WARD 1,37,0,0,36,0,0,0,62,0,0,0,7,0,1,0,53,0,0,101,2,0,1,0,0,0,0,0,2,0,0,0,5,193,73,304
CLARKTOWN OF UNITY WARD 1,33,0,1,42,0,0,0,53,0,0,0,4,0,0,0,77,0,2,72,4,0,0,0,0,0,0,0,1,1,0,0,11,217,76,308
CLARKTOWN OF WASHBURN WARD 1,10,0,0,13,1,1,0,30,0,0,0,1,0,1,0,43,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,5,108,23,146
CLARKTOWN OF WITHEE WARD 1,37,0,0,32,2,0,0,51,0,0,0,6,0,0,0,62,0,5,78,0,0,0,0,0,0,0,0,0,2,0,0,6,191,69,282
CLARKTOWN OF WORDEN WARD 1,26,0,0,19,0,0,0,67,0,0,1,8,0,3,0,27,0,4,55,4,0,0,0,0,0,0,0,0,0,0,0,5,165,45,233
CLARKVILLAGE OF CURTISS WARD 1,0,0,0,8,0,0,0,18,0,0,0,2,0,0,0,5,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2,32,8,47
CLARKVILLAGE OF DORCHESTER WARD 1,26,0,1,41,2,1,0,59,0,0,0,8,0,1,0,63,0,4,79,1,0,0,0,0,0,0,0,0,0,0,0,14,196,68,294
