precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_WILLIAMS,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_KENISTON,gen_ind_KOTLIKOFF,gen_ind_MALDONADO,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SCHOENKE,gen_ind_SOLTYSIK,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
MILWAUKEECITY OF MILWAUKEE WARD 107,288,0,1,94,0,0,0,5,0,0,0,1,0,0,0,1,0,0,691,4,0,0,0,0,0,0,0,2,0,0,1,4,7,383,709
MILWAUKEECITY OF MILWAUKEE WARD 108,362,0,1,85,1,1,0,4,0,0,0,0,1,0,0,7,0,2,649,2,0,0,0,0,0,0,0,0,0,0,0,2,13,448,668
MILWAUKEECITY OF MILWAUKEE WARD 109,317,0,0,104,1,2,0,4,0,0,0,0,0,0,0,6,0,1,728,1,0,0,0,0,0,0,0,0,2,0,0,0,8,421,740
MILWAUKEECITY OF MILWAUKEE WARD 11,347,0,1,172,0,1,0,79,1,0,0,15,1,5,0,51,0,2,829,8,0,2,0,0,0,0,0,3,0,0,0,10,153,520,1007
MILWAUKEECITY OF MILWAUKEE WARD 110,180,0,2,47,0,0,0,6,0,0,0,0,0,0,0,0,0,0,417,2,0,2,0,0,0,0,0,0,0,0,0,1,3,229,425
MILWAUKEECITY OF MILWAUKEE WARD 111,211,0,1,76,0,0,0,2,1,0,1,0,0,0,0,1,0,0,525,6,0,0,0,0,0,0,0,0,0,0,0,5,6,288,542
MILWAUKEECITY OF MILWAUKEE WARD 112,286,0,0,88,0,0,0,2,0,0,0,1,0,0,0,1,0,0,641,4,0,0,0,0,0,0,0,0,1,0,0,2,13,374,661
MILWAUKEECITY OF MILWAUKEE WARD 113,269,0,0,80,0,1,0,3,0,0,0,2,0,0,0,2,0,1,556,0,0,0,0,0,0,0,0,0,1,0,0,0,10,349,568
MILWAUKEECITY OF MILWAUKEE WARD 114,248,0,0,82,0,0,0,0,0,0,0,0,0,0,0,4,0,0,500,0,0,0,0,0,0,0,0,0,1,0,0,4,7,330,512
MILWAUKEECITY OF MILWAUKEE WARD 115,403,0,0,143,0,1,0,5,0,0,0,1,0,0,0,7,0,0,863,3,0,0,0,0,0,0,0,0,0,0,0,2,13,546,881
MILWAUKEECITY OF MILWAUKEE WARD 116,181,0,0,64,0,0,0,1,0,0,0,0,0,0,0,1,0,0,438,2,0,0,0,0,0,0,0,0,1,0,0,1,10,245,452
MILWAUKEECITY OF MILWAUKEE WARD 117,238,0,1,69,0,0,0,2,0,0,0,0,0,0,0,1,0,0,581,3,0,0,0,0,0,0,0,0,0,0,0,3,5,308,592
MILWAUKEECITY OF MILWAUKEE WARD 118,268,0,0,110,0,1,1,7,0,0,0,0,0,0,0,3,0,1,610,2,0,0,0,0,0,0,0,0,1,0,0,3,16,378,633
MILWAUKEECITY OF MILWAUKEE WARD 119,284,0,0,100,0,1,0,4,0,0,0,4,0,0,0,4,0,0,609,4,0,0,0,0,0,0,0,0,1,0,0,2,14,384,630
MILWAUKEECITY OF MILWAUKEE WARD 12,282,0,3,148,1,2,1,59,0,0,1,8,0,2,0,28,0,3,755,9,0,0,0,0,0,0,0,0,0,0,0,9,104,433,880
MILWAUKEECITY OF MILWAUKEE WARD 120,254,0,0,87,0,0,1,1,0,0,0,1,0,0,0,2,0,1,567,3,0,0,0,0,0,0,0,0,0,0,0,5,11,341,587
MILWAUKEECITY OF MILWAUKEE WARD 121,265,0,0,116,0,1,0,3,0,0,0,0,0,0,0,1,0,0,671,4,0,0,0,0,0,0,0,0,2,0,0,1,10,381,688
MILWAUKEECITY OF MILWAUKEE WARD 122,277,0,1,119,0,2,0,7,0,0,0,5,0,0,0,4,0,1,717,10,0,0,0,0,0,0,0,0,1,0,0,8,29,397,766
MILWAUKEECITY OF MILWAUKEE WARD 123,216,0,0,373,0,1,0,26,0,0,0,6,0,1,0,9,0,0,804,28,0,0,0,0,0,0,0,0,2,0,0,14,54,589,902
MILWAUKEECITY OF MILWAUKEE WARD 124,129,0,0,183,0,0,0,22,1,1,0,11,0,0,0,16,0,1,471,9,0,0,0,0,0,0,0,3,0,0,0,21,56,312,561
