precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,gen_sol_RIVA,gen_sow_KENNEDY,dem_primary_total,general_total
KINGSHL 32-0499,75,27,11,28,25,58,5,206,4,16,152,0,0,102,383
KINGSHL 32-0510,86,89,2,11,9,30,1,408,12,13,98,0,0,175,532
KINGSHL 32-0514,58,36,1,6,28,45,1,262,7,28,121,0,0,94,419
KINGSHL 32-0519,52,31,2,5,4,32,1,231,2,13,79,1,0,83,327
KINGSHL 32-0527,58,90,3,14,7,32,3,390,13,32,97,1,3,148,539
KINGSHL 32-0530,45,14,0,2,7,37,0,153,3,15,64,0,0,59,235
KINGSHL 32-0537,59,24,4,1,16,28,0,188,4,9,66,0,2,83,269
KINGSHL 32-0538,43,54,0,4,3,24,3,259,6,9,65,2,1,97,345
KINGSHL 32-0558,26,45,0,1,4,18,2,173,8,7,37,1,0,71,228
KINGSHL 32-0559,41,33,0,7,7,19,5,160,3,7,61,1,0,74,237
KINGSHL 32-0605,74,44,0,15,8,25,0,254,4,8,66,0,0,118,332
KINGSHL 32-0606,44,43,4,11,7,24,0,230,7,8,74,0,0,87,319
KINGSHL 32-0609,72,41,3,9,4,23,2,205,4,9,66,0,0,113,286
KINGSHL 32-0648,51,63,0,5,4,20,1,305,12,10,62,0,1,114,391
KINGSHL 32-0665,47,50,2,7,12,16,0,273,4,16,65,0,0,97,358
KINGSHL 32-0692,87,71,1,2,9,25,3,349,8,15,95,0,0,158,470
KINGSHL 32-0711,48,35,3,6,2,26,1,214,8,7,57,0,0,83,287
KINGSHL 32-0735,50,40,2,0,0,10,3,190,8,9,32,1,1,90,244
KINGSHL 32-0754,90,71,3,7,13,43,3,411,11,15,114,0,1,161,555
KINGSHL 32-0802,45,62,0,2,10,24,2,265,14,10,55,1,0,107,347
KINGSHL 32-0819,51,60,2,2,4,9,1,270,5,17,42,0,0,111,335
KINGSHL 32-0832,56,37,1,10,5,26,0,211,2,12,66,0,0,93,291
KINGSHL 32-0844,83,49,2,7,11,37,6,296,6,14,71,0,1,132,394
KINGSHL 32-0861,94,93,5,3,8,21,5,425,14,24,94,0,2,187,564
KINGSHL 32-0866,58,54,2,3,2,16,2,256,6,16,71,1,1,112,353
KINGSHL 32-0875,91,98,1,1,4,12,2,387,12,36,48,0,0,189,485
KINGSHL 32-0888,41,26,2,6,2,2,0,179,3,5,29,0,0,67,216
KINGSHL 32-0895,61,65,2,1,2,11,3,300,14,9,40,2,0,126,368
KINGSHL 32-0897,64,56,0,6,3,13,2,298,13,14,55,1,0,120,383
KINGSHL 32-0898,52,26,0,3,5,10,2,190,7,7,49,0,0,78,255
