precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,gen_sol_RIVA,gen_sow_KENNEDY,dem_primary_total,general_total
BENTONHANFORD 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONHANFORD 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONHANFORD 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONHARRINGTON,33,38,7,17,15,121,1,157,5,30,344,1,1,71,539
BENTONHAWTHORNE,26,22,3,9,3,59,1,84,2,16,171,0,0,48,274
BENTONHEDGES,17,16,3,7,3,110,2,83,5,17,289,0,0,33,396
BENTONHORSE HEAVEN,2,5,1,7,0,12,0,12,0,7,37,0,0,7,56
BENTONIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONIVEY,22,19,1,7,3,88,3,78,3,14,235,0,0,41,333
BENTONJEWEL,6,3,1,4,0,12,0,22,0,2,62,0,0,9,86
BENTONKENNEWICK VALLEY,26,34,2,7,3,110,4,130,6,20,302,0,1,60,463
BENTONKIONA,40,60,10,31,10,170,13,160,6,34,490,0,0,100,703
BENTONLEGION,31,23,6,17,6,87,6,98,4,22,239,0,0,54,369
BENTONLIBERTY,0,0,0,0,0,0,0,4,0,0,11,0,0,0,15
BENTONMCBEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONMILLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONMILLS,39,35,7,11,8,154,1,132,7,21,380,0,0,74,541
BENTONOAK,23,16,5,13,7,70,1,61,6,8,179,0,0,39,255
BENTONONION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONORCHARD,5,8,0,0,0,0,0,16,2,3,35,0,0,13,56
BENTONPATERSON,8,2,0,0,0,0,0,11,1,1,22,0,0,10,35
BENTONPEARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONPROSSER NORTH,40,40,3,21,11,85,2,170,4,18,264,1,0,80,459
BENTONRANDY,12,8,2,10,1,47,0,52,1,7,136,0,0,20,196
BENTONRATTLESNAKE,5,5,2,2,0,32,1,22,1,2,75,0,1,10,102
BENTONREATA,21,31,13,25,5,82,4,96,1,31,225,0,0,52,357
BENTONRED MOUNTAIN,16,28,4,31,6,107,5,99,4,24,286,1,0,44,419
BENTONREESE,0,0,0,6,0,17,0,3,0,0,43,0,0,0,46
BENTONRIDGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONRIVERSIDE,39,43,0,25,9,114,4,130,6,16,297,2,2,82,457
BENTONROE,0,0,3,1,0,12,0,2,0,0,22,0,0,0,24
BENTONROZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONSACAGAWEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONSALMON,4,5,0,0,0,0,1,15,2,3,67,0,0,9,88
BENTONSHOCKLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONSOUTH,19,14,5,10,9,83,1,79,2,18,233,0,0,33,333
BENTONSUNNY,7,8,1,5,4,13,3,23,2,7,72,0,0,15,107
BENTONSUSIE,5,4,0,1,3,10,0,18,0,2,27,0,0,9,47
BENTONTUMBLE WEED,0,0,3,6,3,26,0,13,0,2,64,0,0,0,79
BENTONUMATILLA,8,13,4,5,1,41,2,56,2,11,117,0,0,21,188
BENTONVINEYARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONVISTA,7,13,1,9,6,38,3,32,4,15,126,1,1,20,182
BENTONW1 - P645,22,22,1,0,2,32,1,77,7,11,74,0,2,44,172
BENTONW1 - P646,9,23,3,4,1,31,1,106,9,11,146,1,3,32,277
BENTONW1 - P650,45,46,3,14,7,132,0,191,7,21,341,0,2,91,562
BENTONW1 - P651,11,13,1,5,0,27,0,56,2,8,83,0,0,24,149
BENTONW1 - P655,23,16,2,8,3,47,6,81,3,11,156,1,0,39,258
BENTONW1 - P656,15,25,2,5,2,54,2,128,3,26,149,0,4,40,312
BENTONW1 - P657,27,17,1,3,3,68,0,94,3,14,187,1,1,44,300
BENTONW1 - P660,38,37,8,16,6,102,7,165,7,23,293,0,0,75,495
BENTONW1 - P664,62,53,9,19,25,131,9,284,6,64,428,0,2,115,793
BENTONW1 - P665,53,43,11,31,22,147,6,238,5,46,484,1,1,96,781
BENTONW1 - P667,21,33,3,8,5,52,2,66,4,9,104,0,0,54,185
BENTONW1 - P668,70,55,18,24,17,164,7,246,3,34,431,0,2,125,723
BENTONW1 - P669,34,29,1,6,6,73,1,130,4,14,220,0,0,63,369
BENTONW1 - P670,20,35,12,21,14,61,3,128,17,40,258,0,0,55,446
BENTONW1 - P674,13,24,6,7,7,84,4,109,1,24,208,1,0,37,347
BENTONW1 - P675,11,9,3,11,4,39,1,50,3,15,126,0,0,20,195
BENTONW1 - P676,66,32,15,22,12,165,3,187,9,19,359,0,0,98,577
BENTONW1 - P680,30,39,14,25,12,109,4,138,4,27,339,0,1,69,513
BENTONW1 - P681,40,28,6,16,12,77,2,162,6,20,236,0,0,68,426
BENTONW1 - P682,59,40,5,36,19,136,6,177,5,41,413,1,0,99,643
BENTONW1 - P683,47,22,4,10,16,107,0,143,3,22,258,1,1,69,428
BENTONW1 - P685,34,57,3,12,14,118,2,180,4,23,329,0,0,91,538
BENTONW1 - P686,47,25,6,15,12,91,1,146,3,29,255,0,0,72,434
BENTONW1 - P690,69,46,2,22,24,155,5,246,9,39,415,0,2,115,716
BENTONW1 - P691,6,3,2,7,0,26,3,34,0,5,95,0,0,9,137
BENTONW1-P663,25,31,4,12,13,79,3,119,3,19,270,1,2,56,417
BENTONW2 - P560,27,35,2,11,3,48,8,124,2,19,159,1,0,62,313
BENTONW2 - P565,32,28,1,3,3,40,1,126,5,15,137,1,0,60,285
BENTONW2 - P570,23,38,9,10,7,73,4,117,6,20,220,0,1,61,368
BENTONW2 - P575,16,20,1,5,0,45,1,71,1,10,121,0,1,36,205
BENTONW2 - P580,35,17,4,4,9,53,1,101,3,9,138,0,0,52,252
BENTONW2 - P585,17,25,4,5,10,56,1,81,4,9,155,0,1,42,251
BENTONW2 - P590,36,23,2,8,5,68,4,161,3,12,198,0,0,59,378
BENTONW2 - P595,25,32,9,16,5,77,2,112,0,25,222,1,0,57,362
BENTONW2 - P600,27,17,5,9,5,57,4,98,1,22,164,1,0,44,290
BENTONW2 - P601,11,31,2,8,2,58,4,99,3,6,151,0,0,42,263
BENTONW2 - P605,22,25,4,12,6,72,2,95,6,16,215,0,0,47,334
BENTONW2 - P610,39,36,5,8,6,60,0,116,4,13,160,0,1,75,294
BENTONW2 - P615,22,12,0,3,5,36,1,63,7,9,89,3,0,34,172
BENTONW2 - P620,21,11,4,8,4,71,1,94,2,20,207,0,0,32,324
BENTONW2 - P625,48,58,3,10,9,99,4,226,5,38,259,3,1,106,536
BENTONW2 - P626,19,28,1,8,5,52,0,109,3,15,177,0,1,47,305
BENTONW2 - P630,20,39,2,16,8,89,1,123,1,21,244,0,2,59,392
BENTONW2 - P632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONW2 - P633,34,17,6,17,9,109,1,138,3,25,233,0,0,51,400
BENTONW2 - P634,60,31,6,12,27,145,2,170,3,24,325,0,0,91,524
BENTONW2 - P635,32,38,7,17,7,136,6,163,5,22,371,0,0,70,567
BENTONW2 - P636,27,27,5,17,16,106,2,118,4,16,332,0,0,54,472
BENTONW2 - P637,53,17,6,21,15,101,3,165,1,14,315,0,0,70,498
BENTONW2 - P638,17,43,6,25,13,123,6,152,4,38,340,1,3,60,544
BENTONW2 - P639,26,18,1,5,2,78,2,72,3,16,178,0,3,44,274
BENTONW2 - P640,30,30,10,24,7,102,2,127,5,27,321,0,2,60,484
BENTONW2 - P641,35,25,4,17,13,80,3,143,1,30,215,0,1,60,393
BENTONW2-P574,19,27,5,0,6,42,2,74,3,14,144,0,2,46,239
BENTONW3 - P500,8,17,0,3,0,16,2,46,2,5,47,1,0,25,103
BENTONW3 - P505,34,33,1,4,4,65,3,160,6,17,179,0,1,67,366
BENTONW3 - P510,17,27,1,4,0,45,1,112,5,15,134,0,1,44,268
BENTONW3 - P515,31,24,6,4,1,53,5,125,6,11,133,3,3,55,286
BENTONW3 - P520,15,22,0,4,0,28,3,102,2,14,97,1,1,37,220
BENTONW3 - P525,28,37,1,11,6,58,1,142,6,22,167,0,0,65,338
BENTONW3 - P530,52,53,2,7,2,46,1,211,5,20,137,0,2,105,376
BENTONW3 - P535,20,25,6,5,3,43,0,75,2,9,129,0,1,45,216
BENTONW3 - P540,40,31,11,23,3,78,0,168,6,29,241,1,1,71,446
BENTONW3 - P545,16,19,0,5,3,48,0,71,6,10,146,0,1,35,234
BENTONW3 - P550,23,31,3,21,3,111,6,106,3,19,274,0,0,54,408
BENTONW3 - P551,31,23,5,14,9,80,5,139,3,19,270,0,1,54,437
BENTONW3 - P552,16,28,6,13,9,87,2,150,7,34,287,0,2,44,482
BENTONW3 - P553,32,32,3,13,5,83,3,131,5,34,283,0,0,64,456
BENTONW3 - P555,29,23,5,14,6,87,4,105,1,15,206,0,0,52,331
BENTONW3 - P556,36,30,5,13,10,137,3,154,8,28,367,1,0,66,561
BENTONW3 - P557,22,27,14,30,4,98,4,104,4,24,312,0,0,49,448
BENTONW3 - P558,47,35,1,38,7,124,5,140,9,30,388,0,0,82,572
BENTONW3 - P559,29,34,7,17,2,130,11,147,2,38,379,0,0,63,577
BENTONW3 - P560,20,14,7,12,3,51,5,61,3,10,150,0,0,34,229
BENTONW3-P511,4,2,0,3,0,4,0,16,0,0,15,0,0,6,31
BENTONW3-P516,2,4,0,0,0,0,0,12,2,2,18,0,0,6,34
BENTONWALNUT GROVE,35,16,3,15,4,73,3,108,1,15,189,0,0,51,316
BENTONWASHINGTON,12,11,3,5,0,53,0,43,3,5,113,0,0,23,164
BENTONWEIDLE,3,2,0,3,2,21,0,21,0,2,46,0,0,5,69
BENTONWHEAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTONWHITE BLUFFS,34,38,4,27,13,168,0,185,6,48,558,1,1,72,799
BENTONWR 1,18,32,3,6,4,48,2,101,5,14,126,1,3,50,252
BENTONWR 10,0,0,0,3,1,9,0,22,0,0,29,0,0,0,51
BENTONWR 11,24,26,3,11,7,109,0,124,4,50,353,1,0,50,532
BENTONWR 16,12,20,7,9,8,67,3,69,2,25,179,0,0,32,278
BENTONWR 17,25,12,0,19,9,67,2,76,2,18,213,0,1,37,312
BENTONWR 2,20,25,5,5,5,50,0,76,8,22,161,0,0,45,267
BENTONWR 3,13,20,2,3,4,53,3,55,3,19,158,1,0,33,239
BENTONWR 4,36,48,7,24,14,143,2,192,7,40,378,1,0,84,620
BENTONWR 5,16,17,1,7,1,52,3,64,4,11,128,0,0,33,210
BENTONWR 6,33,32,8,21,10,105,12,179,6,50,341,0,1,65,589
BENTONWR 7,39,46,4,12,17,107,4,155,5,31,317,0,0,85,512
BENTONWR 8,55,41,8,30,12,113,6,176,8,46,301,0,0,96,537
BENTONWR 9,27,34,2,15,8,73,2,124,2,37,209,0,1,61,375
BENTONWR12,34,57,8,40,5,114,4,183,7,62,423,0,0,91,679
BENTONWR13,16,16,5,10,3,83,5,72,3,26,233,0,0,32,339
BENTONWR14,65,47,12,32,25,189,4,285,9,83,527,0,0,112,908
BENTONWR15,28,28,3,16,4,90,3,111,2,37,256,0,0,56,409
BENTONYAKIMA,0,0,0,0,0,0,0,5,0,0,7,0,0,0,12
BENTONYELLOWSTONE,22,25,3,1,5,59,0,92,4,10,151,0,0,47,257
CHELAN100,0,0,0,0,0,0,0,4,0,0,7,0,0,0,11
CHELAN110,48,54,6,7,7,102,0,201,6,16,217,0,2,102,442
CHELAN111,17,23,0,1,9,31,3,47,2,6,80,0,2,40,140
CHELAN112,3,7,0,0,0,0,0,15,2,0,25,0,0,10,42
CHELAN113,12,11,0,3,0,33,0,44,3,4,64,0,0,23,115
CHELAN114,64,47,11,11,11,136,7,203,4,30,271,0,0,111,515
CHELAN1149,3,2,1,0,5,14,1,18,0,2,26,0,0,5,47
CHELAN115,24,8,0,3,5,13,2,46,0,3,28,0,0,32,79
CHELAN1150,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0
CHELAN1151,0,0,0,0,0,0,0,4,0,0,7,0,0,0,11
CHELAN1152,5,7,2,3,5,12,0,27,1,2,50,0,0,12,80
CHELAN1153,3,4,0,2,2,8,0,11,0,1,15,0,0,7,27
CHELAN116,19,14,4,5,7,51,2,86,4,9,90,0,1,33,192
CHELAN120,35,41,5,17,11,115,3,159,5,15,310,0,2,76,494
CHELAN121,29,37,5,18,5,110,2,143,8,20,253,0,1,66,427
CHELAN122,27,25,4,13,11,52,0,101,0,8,107,0,0,52,216
CHELAN123,0,0,0,0,0,0,0,15,1,4,34,0,0,0,54
CHELAN124,7,3,2,1,2,27,0,24,0,2,56,0,0,10,82
CHELAN125,118,93,7,36,28,143,1,354,7,27,368,0,0,211,757
CHELAN126,19,27,2,3,0,20,0,76,3,6,39,0,0,46,124
CHELAN127,7,23,2,7,2,43,0,88,4,10,101,0,0,30,203
CHELAN128,4,10,4,2,5,23,0,39,4,1,52,0,1,14,97
CHELAN129,43,32,1,9,16,70,0,158,0,8,150,0,0,75,316
CHELAN1290,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4
CHELAN131,5,13,2,3,2,29,0,31,0,4,45,0,0,18,80
CHELAN132,4,9,0,0,0,0,1,20,0,0,37,0,0,13,58
CHELAN133,36,33,2,10,11,114,1,134,5,24,309,0,1,69,474
CHELAN134,38,47,16,36,16,152,3,206,8,39,488,0,0,85,744
CHELAN135,60,48,6,26,18,195,0,0,0,0,0,0,0,108,0
CHELAN136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHELAN140,39,33,3,6,1,57,0,124,6,13,120,1,1,72,265
CHELAN141,0,0,0,0,0,0,0,10,2,2,9,0,0,0,23
CHELAN142,0,0,0,0,0,0,0,11,0,1,8,0,0,0,20
CHELAN143,0,0,0,0,0,0,0,7,0,0,6,0,0,0,13
CHELAN144,0,0,0,2,0,10,0,7,0,2,27,0,0,0,36
CHELAN145,3,2,0,2,0,15,0,8,2,1,35,0,0,5,46
CHELAN146,12,11,2,4,3,43,1,37,3,4,101,0,1,23,147
CHELAN147,42,53,7,21,8,234,5,178,9,33,497,0,1,95,723
CHELAN148,37,32,9,5,2,66,2,129,4,21,181,0,0,69,337
CHELAN149,19,15,5,7,10,59,1,71,3,22,144,0,0,34,241
CHELAN150,15,5,1,2,1,18,1,41,1,6,38,0,0,20,87
CHELAN151,0,0,0,0,0,0,0,2,0,0,3,0,0,0,5
CHELAN152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHELAN153,101,57,21,36,27,271,4,355,8,43,640,2,0,158,1052
CHELAN154,106,59,4,27,25,213,6,338,8,53,510,0,0,165,915
CHELAN155,27,41,4,4,17,79,1,111,6,19,184,1,0,68,322
CHELAN156,8,10,1,4,1,20,0,41,0,9,50,0,0,18,100
CHELAN157,58,60,2,25,15,206,7,206,12,32,460,1,0,118,718
CHELAN158,16,22,4,2,5,54,2,79,1,10,137,0,0,38,229
CHELAN159,0,0,0,0,0,0,0,2,0,1,8,0,0,0,11
CHELAN161,3,7,0,0,0,0,0,13,0,3,42,0,0,10,58
CHELAN162,11,7,0,0,0,0,1,19,2,1,19,0,0,18,42
CHELAN163,2,3,0,0,0,0,0,12,0,5,25,0,0,5,42
CHELAN164,9,15,2,4,5,71,1,48,0,16,209,0,0,24,274
CHELAN165,13,10,1,9,3,41,0,54,3,3,125,0,0,23,185
CHELAN171,0,0,0,0,0,0,0,6,0,1,14,0,0,0,21
CHELAN172,2,3,0,3,0,10,0,9,0,0,18,0,0,5,27
CHELAN173,7,13,0,1,2,3,1,37,0,2,10,0,0,20,50
CHELAN174,50,46,4,11,12,128,1,155,12,30,282,0,0,96,480
CHELAN175,114,70,8,23,39,190,1,340,8,27,447,0,2,184,825
CHELAN181,73,40,5,11,9,176,0,219,7,23,359,1,0,113,609
CHELAN182,57,54,8,10,15,135,4,229,9,20,290,0,1,111,553
CHELAN183,30,28,5,9,14,65,1,116,8,10,158,0,1,58,294
CHELAN190,10,9,3,9,1,5,1,26,0,5,37,0,0,19,69
CHELAN210,76,88,6,4,15,81,2,316,12,23,198,2,0,164,553
CHELAN220,76,113,11,10,17,118,3,372,15,22,255,1,2,189,670
CHELAN310,37,45,4,9,2,70,1,142,13,16,174,0,0,82,346
CHELAN320,24,24,9,23,14,90,2,135,4,13,262,0,0,48,416
CHELAN330,31,33,8,28,10,108,3,147,4,26,276,2,2,64,460
CHELAN410,46,31,7,14,14,132,2,194,5,23,320,0,1,77,545
CHELAN420,75,65,8,20,22,136,4,260,6,39,357,2,0,140,668
CHELAN430,98,83,16,33,18,195,2,370,14,39,472,0,1,181,898
CHELAN440,112,67,15,30,28,209,6,400,7,34,485,0,0,179,932
CHELAN450,112,84,10,26,27,163,8,401,21,46,467,0,2,196,945
CHELAN460,114,119,13,20,16,168,14,506,18,61,393,1,5,233,998
CHELAN470,99,85,10,24,30,134,4,348,12,49,366,1,0,184,780
CHELAN480,102,131,9,29,20,154,7,502,27,58,445,2,1,233,1042
CHELAN490,52,58,2,13,10,105,0,181,11,31,270,1,0,110,494
CHELAN510,76,84,7,20,6,134,5,315,21,41,326,2,1,160,711
CHELAN520,118,69,15,33,58,276,9,416,10,54,624,0,0,187,1113
CHELAN530,109,92,12,23,21,228,5,374,17,30,521,1,4,201,952
CHELAN540,84,71,6,19,17,189,0,289,11,26,417,0,0,155,743
CHELAN560,105,118,7,33,13,165,7,499,19,44,480,1,4,223,1054
CHELAN580,53,45,7,16,12,143,3,194,6,28,298,1,1,98,531
CHELAN590,88,56,15,16,26,181,3,267,5,19,408,1,0,144,703
CHELAN610,53,42,10,12,8,146,5,142,4,21,342,0,0,95,514
CHELAN710,55,50,12,9,10,113,3,210,5,22,244,1,0,105,485
CHELAN720,80,53,13,17,22,199,3,233,5,26,383,1,1,133,652
CHELAN730,82,102,13,7,16,134,6,340,18,22,360,2,0,184,748
CLALLAMAGNEW 201,91,52,7,17,10,139,0,251,6,23,306,0,0,143,586
CLALLAMBEAVER 204,33,47,3,9,8,143,7,122,8,26,332,2,0,80,497
CLALLAMBELL HILL 207,114,52,9,19,33,201,5,292,5,20,332,0,1,166,655
CLALLAMBELLEVIEW 205,92,75,6,13,9,141,4,265,13,45,417,1,2,167,747
CLALLAMBLACK DIAMOND 208,51,53,4,22,12,78,1,177,10,19,207,1,0,104,415
CLALLAMBLUE MOUNTAIN 209,85,142,9,22,7,170,5,335,10,45,427,0,0,227,822
CLALLAMBLUFFS 210,43,56,2,13,6,95,1,163,11,21,242,0,1,99,439
CLALLAMBLYN 211,79,88,2,11,15,142,4,270,9,27,316,0,1,167,627
CLALLAMBOGACHIEL 212,15,27,3,6,4,86,2,66,4,16,202,0,0,42,290
CLALLAMCARLSBORG 214,98,89,8,19,10,137,4,262,12,31,306,0,2,187,617
CLALLAMCLALLAM BAY 215,40,54,5,3,2,79,0,138,13,10,185,0,0,94,346
CLALLAMCLARK 216,39,49,4,9,3,54,0,139,4,14,148,0,1,88,306
CLALLAMCLINE 217,140,106,10,26,11,129,5,394,10,28,261,0,0,246,698
CLALLAMCOYOTE 218,145,123,11,15,13,184,2,384,19,30,351,0,0,268,786
CLALLAMDEER PARK 220,89,103,8,31,15,128,7,292,13,33,386,0,0,192,731
CLALLAMDIAMOND POINT 221,111,100,7,13,10,157,4,297,10,37,321,0,0,211,669
CLALLAMDRY CREEK 224,76,66,5,11,7,116,2,281,12,24,297,1,0,142,617
CLALLAMDUNGENESS EAST 222,136,103,3,16,26,187,1,350,15,34,351,1,1,239,753
CLALLAMDUNGENESS WEST 223,82,47,1,8,11,89,2,192,18,25,182,0,0,129,419
CLALLAMEAGLE 226,63,75,16,7,20,140,3,248,14,26,279,0,0,138,570
CLALLAMELK 229,24,29,0,4,7,26,0,79,6,10,73,2,1,53,171
CLALLAMELWHA 230,19,26,1,1,3,43,0,91,5,14,139,0,0,45,249
CLALLAMFAIRVIEW 232,91,102,6,17,15,183,5,304,14,46,423,2,1,193,795
CLALLAMFORKS 301,45,45,6,15,8,102,6,132,11,27,243,0,1,90,420
CLALLAMFORKS 302,46,71,5,24,10,132,7,179,7,33,367,0,4,117,597
CLALLAMFRESHWATER BAY 233,104,112,5,39,14,186,17,373,18,24,477,1,4,216,914
CLALLAMHAPPY VALLEY 237,53,58,7,16,7,97,2,175,5,26,220,0,0,111,428
CLALLAMJAMESTOWN 240,87,88,5,12,12,90,4,258,13,17,195,0,0,175,487
CLALLAMJOYCE 241,92,114,12,21,9,188,7,307,27,40,423,0,2,206,806
CLALLAMLOST MOUNTAIN 245,43,68,5,9,12,109,0,172,6,16,261,0,1,111,456
CLALLAMMACLEAY 247,115,90,12,29,14,162,2,302,11,29,372,3,2,205,721
CLALLAMMADISON CREEK 248,19,33,2,4,2,64,0,107,8,15,140,1,0,52,271
CLALLAMMILLER PENINSULA 246,58,88,4,11,7,67,1,201,7,8,150,0,0,146,367
CLALLAMMONTERRA 249,104,86,7,30,9,182,8,302,11,35,340,0,0,190,696
CLALLAMMOUNT ANGELES 250,45,49,1,3,10,71,3,175,8,23,177,1,0,94,387
CLALLAMMOUNT PLEASANT 251,91,71,4,18,14,153,3,257,10,23,331,0,2,162,626
CLALLAMNEAH BAY 252,53,61,3,3,3,20,0,295,7,19,68,1,0,114,390
CLALLAMOBRIEN 253,62,63,5,22,15,160,2,222,11,23,358,0,0,125,616
CLALLAMOLYMPIC 254,81,58,14,14,11,111,6,220,6,15,245,1,0,139,493
CLALLAMPORT ANGELES 101,74,74,7,7,13,94,2,245,15,20,242,1,2,148,527
CLALLAMPORT ANGELES 102,121,139,0,15,11,122,6,494,27,35,322,0,3,260,887
CLALLAMPORT ANGELES 103,126,140,11,14,24,151,6,469,28,46,400,0,2,266,951
CLALLAMPORT ANGELES 104,82,104,12,11,16,86,10,338,10,35,251,0,0,186,644
CLALLAMPORT ANGELES 105,100,153,8,9,13,117,5,413,17,53,278,2,3,253,771
CLALLAMPORT ANGELES 106,83,96,7,12,16,117,4,316,14,39,287,0,1,179,661
CLALLAMPORT ANGELES 107,139,178,9,20,12,119,5,475,38,64,340,1,3,317,926
CLALLAMPORT ANGELES 108,61,84,9,4,6,71,2,251,10,29,194,0,1,145,487
CLALLAMPORT ANGELES 109,133,164,7,17,9,155,5,486,26,69,475,2,0,297,1063
CLALLAMPORT ANGELES 110,28,35,3,4,0,45,2,90,4,12,107,0,1,63,216
CLALLAMPORT ANGELES 111,170,158,7,20,16,153,8,469,18,64,400,0,4,328,963
CLALLAMPORT ANGELES 112,61,54,6,17,14,92,6,222,4,26,229,0,0,115,487
CLALLAMPORT ANGELES 113,64,75,7,10,21,119,3,264,14,27,278,0,1,139,587
CLALLAMPORT WILLIAMS 258,70,65,6,12,10,98,6,194,8,17,184,0,0,135,409
CLALLAMPRAIRIE NORTH 259,101,91,16,24,20,143,1,291,13,25,361,0,0,192,691
CLALLAMPRAIRIE SOUTH 260,105,115,14,19,15,141,8,319,10,34,369,1,0,220,741
CLALLAMQUILEUTE 262,23,31,2,4,1,57,4,131,4,10,115,2,0,54,266
CLALLAMRIVERSIDE 265,116,95,6,22,17,140,1,340,14,24,303,0,0,211,682
CLALLAMROBIN HILL 266,79,97,8,24,12,135,3,250,17,31,320,0,0,176,621
CLALLAMSEQUIM 401,59,79,16,3,8,72,1,219,11,17,191,2,0,138,441
CLALLAMSEQUIM 402,70,96,6,11,10,87,2,285,13,23,223,1,0,166,547
CLALLAMSEQUIM 403,141,98,8,18,17,187,6,371,16,26,349,1,0,239,769
CLALLAMSEQUIM 404,191,151,15,28,27,225,16,476,25,44,459,1,1,342,1022
CLALLAMSEQUIM 405,103,93,16,27,22,135,4,312,15,23,280,0,0,196,634
CLALLAMSEQUIM 406,142,74,12,20,36,148,1,317,13,22,275,0,1,216,629
CLALLAMSUN 269,11,18,3,3,0,73,3,55,4,7,156,0,0,29,225
CLALLAMSUNLAND NORTH 270,158,65,8,19,43,185,3,317,8,24,344,0,0,223,696
CLALLAMSUNLAND SOUTH 271,72,54,4,18,11,108,1,199,7,15,212,0,0,126,434
CLARK100,189,246,1,21,17,88,7,746,39,61,251,2,1,435,1107
CLARK102,126,116,6,11,18,92,4,399,13,29,226,0,1,242,672
CLARK104,158,133,8,14,15,123,0,526,11,29,295,0,1,291,862
CLARK106,134,193,3,8,14,81,2,612,31,31,236,1,0,327,913
CLARK108,140,200,5,6,14,80,6,665,23,46,229,0,2,340,971
CLARK110,160,242,7,14,18,85,10,725,40,62,238,2,0,402,1077
CLARK112,16,10,1,2,0,14,0,64,0,1,31,0,0,26,96
CLARK113,66,107,1,5,1,83,2,356,13,40,236,1,1,173,649
CLARK120,215,219,11,15,26,135,8,781,38,56,339,2,4,434,1228
CLARK130,168,232,10,13,16,90,8,736,28,52,243,2,3,400,1072
CLARK147,89,125,8,20,10,133,9,357,10,30,323,3,1,214,733
CLARK150,91,160,0,8,5,79,5,429,30,31,193,1,4,251,693
CLARK153,89,92,6,18,10,112,3,378,15,39,316,2,1,181,754
CLARK160,88,186,6,3,12,90,3,515,31,38,251,1,1,274,840
CLARK170,111,214,6,8,12,85,3,552,31,53,269,1,1,325,910
CLARK175,85,180,6,18,8,115,7,498,41,38,321,0,3,265,908
CLARK180,120,161,3,22,9,84,6,524,35,48,290,2,0,281,905
CLARK190,164,217,10,11,20,132,2,663,38,60,329,1,0,381,1093
CLARK200,154,188,5,14,9,128,4,693,46,46,306,1,5,342,1101
CLARK220,101,161,2,22,10,82,6,425,19,35,257,0,2,262,744
CLARK225,218,154,6,16,36,187,2,627,16,32,406,0,1,372,1084
CLARK240,198,90,9,18,40,223,4,554,13,58,434,0,1,288,1064
CLARK245,122,129,9,16,34,168,3,446,14,39,410,0,1,251,913
CLARK250,162,205,7,23,24,143,8,610,27,38,410,1,0,367,1094
CLARK255,141,126,6,26,12,122,2,430,18,36,361,1,1,267,849
CLARK257,152,198,12,11,17,146,8,581,23,58,385,5,0,350,1060
CLARK290,147,144,8,15,29,183,2,555,21,64,431,2,5,291,1080
CLARK294,87,106,6,20,19,124,3,393,15,40,326,1,0,193,778
CLARK296,120,106,5,14,20,132,3,392,19,34,314,0,3,226,765
CLARK298,125,63,5,17,8,101,7,285,7,18,216,1,0,188,534
CLARK325,106,107,5,13,25,92,7,396,15,27,261,2,3,213,711
CLARK327,112,111,12,23,13,191,4,441,19,52,447,0,1,223,964
CLARK330,139,125,2,22,11,181,1,493,16,56,461,0,2,264,1029
CLARK335,105,144,5,13,11,114,2,442,18,37,375,5,3,249,882
CLARK337,117,128,6,16,13,142,4,438,28,43,369,1,1,245,884
CLARK338,111,133,2,23,15,167,6,463,18,48,445,2,2,244,984
CLARK340,124,165,8,20,11,150,6,486,21,53,390,1,5,289,962
CLARK350,105,106,7,17,12,140,6,368,17,37,321,0,1,211,750
CLARK360,137,133,14,30,24,172,9,524,24,56,423,2,2,270,1040
CLARK370,106,131,7,17,14,138,5,440,21,41,341,0,3,237,851
CLARK390,155,180,16,22,19,171,6,560,19,57,444,1,3,335,1090
CLARK391,52,25,0,4,4,35,2,138,6,15,93,1,2,77,257
CLARK395,47,58,1,5,2,33,2,204,6,15,103,1,1,105,332
CLARK400,91,98,5,6,11,64,3,318,18,25,186,0,0,189,550
CLARK410,145,177,3,16,16,155,6,529,25,50,354,0,0,322,964
