precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTA,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
CASCADEP19A4,45,52,3,16,17,1,135,2,139,4,26,272,172,97,443
CASCADEP19B1,3,4,0,5,2,2,28,0,12,1,4,55,37,7,72
CASCADEP19B2,114,91,6,18,30,14,341,4,271,9,42,692,409,205,1018
CASCADEP19C,63,45,6,18,16,6,183,0,151,5,30,417,229,108,603
CASCADEP19D,67,45,8,12,14,6,121,5,128,8,31,289,161,112,461
CASCADEP19E,5,4,4,8,10,6,116,0,88,2,15,183,144,9,288
CASCADEP20A,550,376,44,110,226,57,1312,8,1385,21,210,2726,1749,926,4350
CASCADEP20B,190,83,12,25,50,29,405,3,456,10,53,799,521,273,1321
CASCADEP21A,656,487,22,80,71,37,915,17,1549,47,224,2419,1125,1143,4256
CASCADEP21B,58,54,1,5,3,2,70,2,141,12,18,220,81,112,393
CASCADEP22A,472,354,12,64,35,14,585,14,1130,51,196,1492,710,826,2883
CASCADEP22B.,111,98,5,32,14,11,289,5,301,9,69,671,351,209,1055
CASCADEP22C,2,3,0,0,1,2,16,9,12,1,4,27,19,5,53
CASCADEP23,639,426,28,95,57,28,721,11,1534,63,217,1798,929,1065,3623
CASCADEP24,655,536,30,95,66,38,774,19,1599,52,269,2024,1003,1191,3963
CASCADEP25,563,502,13,84,67,28,716,19,1533,70,248,2027,908,1065,3897
CASCADEP26A,400,345,17,54,37,14,487,10,986,45,164,1249,609,745,2454
CASCADEP26B,9,28,0,5,1,1,26,1,101,12,35,200,33,37,349
CASCADEP27,68,40,5,14,10,4,211,2,194,4,31,456,244,108,687
CASCADEP30,33,49,5,12,9,7,174,2,101,5,30,351,207,82,489
CHOUTEAUBIG SANDY 8,28,22,3,15,5,2,76,1,62,0,15,187,101,50,265
CHOUTEAUBIG SANDY 9,32,19,9,19,12,5,129,1,59,5,14,263,174,51,342
CHOUTEAUCARTER 4,17,12,3,6,11,5,111,1,56,5,6,181,136,29,249
