precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTA,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
LEWIS & CLARKPCT 06,0,204,0,38,18,16,223,7,478,20,87,606,295,204,1198
LEWIS & CLARKPCT 07,241,241,0,26,24,15,157,2,573,18,68,362,222,482,1023
LEWIS & CLARKPCT 08,449,368,0,15,31,18,144,6,980,28,75,324,208,817,1413
LEWIS & CLARKPCT 09,306,255,0,42,41,28,144,1,758,28,91,445,255,561,1323
LEWIS & CLARKPCT 10,142,140,0,64,31,15,403,7,391,7,76,996,513,282,1477
LEWIS & CLARKPCT 11,143,140,0,41,19,17,242,4,390,7,118,708,319,283,1227
LEWIS & CLARKPCT 12,63,88,0,27,4,5,180,0,194,14,44,468,216,151,720
LEWIS & CLARKPCT 13,519,463,0,20,47,15,201,5,1213,35,77,514,283,982,1844
LEWIS & CLARKPCT 14,313,318,0,3,9,2,53,3,805,52,51,194,67,631,1105
LEWIS & CLARKPCT 15,92,147,0,17,7,2,136,3,332,18,62,413,162,239,828
LEWIS & CLARKPCT 16,59,67,0,6,16,8,59,1,204,4,51,211,89,126,471
LEWIS & CLARKPCT 16A,39,17,0,8,8,3,27,0,85,1,1,64,46,56,151
LEWIS & CLARKPCT 16B,132,85,0,10,11,6,94,0,316,5,38,252,121,217,611
LEWIS & CLARKPCT 17,246,326,0,23,14,6,86,2,784,27,64,268,129,572,1145
LEWIS & CLARKPCT 18,182,143,0,21,37,14,198,3,451,17,76,513,270,325,1060
LEWIS & CLARKPCT 19,77,79,0,24,13,2,145,3,211,14,52,487,184,156,767
LEWIS & CLARKPCT 20,142,166,0,32,18,9,240,5,392,21,90,633,299,308,1141
LEWIS & CLARKPCT 21,120,127,0,48,25,16,271,2,327,12,74,765,360,247,1180
LEWIS & CLARKPCT 22,159,136,0,13,9,5,42,3,422,21,54,195,69,295,695
LEWIS & CLARKPCT 23,136,158,0,38,34,20,218,5,373,7,73,624,310,294,1082
LEWIS & CLARKPCT 24,265,202,0,43,38,20,216,2,627,25,75,616,317,467,1345
LEWIS & CLARKPCT 25,171,234,0,25,13,11,123,6,552,23,75,405,172,405,1061
LEWIS & CLARKPCT 26,248,289,0,47,42,22,329,5,709,30,108,823,440,537,1675
LEWIS & CLARKPCT 27,105,146,0,63,27,12,292,2,382,18,102,975,394,251,1479
LEWIS & CLARKPCT 28,89,121,0,56,16,14,280,1,281,12,59,741,366,210,1094
LEWIS & CLARKPCT 29,59,70,0,19,15,3,120,2,160,6,20,268,157,129,456
LEWIS & CLARKPCT 30,19,16,0,6,4,2,61,0,47,2,6,114,73,35,169
LEWIS & CLARKPCT 31,60,54,0,14,19,7,237,0,114,6,32,450,277,114,602
LEWIS & CLARKPCT 32,3,5,0,4,3,2,44,0,8,0,7,66,53,8,81
LEWIS & CLARKPCT 33,23,35,0,10,9,2,108,1,64,3,20,248,129,58,336
LEWIS & CLARKPCT 33A,2,4,0,6,0,1,29,0,5,2,1,48,36,6,56
LEWIS & CLARKPCT 33B,16,22,0,9,5,1,53,0,40,1,14,130,68,38,185
LIBERTY#1 PRECINCT - WEST,16,12,2,4,10,4,130,1,42,0,14,226,150,28,283
LIBERTY#2 PRECINCT - NORTH,26,20,7,15,11,0,87,0,66,0,11,159,120,46,236
LIBERTY#3 PRECINCT - SOUTH,18,24,5,12,11,3,82,2,57,2,15,153,113,42,229
LIBERTY#4 PRECINCT - JOPLIN,18,18,6,11,6,4,88,0,41,0,7,160,115,36,208
LINCOLNCITY OF LIBBY,126,118,7,17,21,7,333,9,312,9,56,726,385,244,1112
LINCOLNEUREKA RURAL,90,131,10,31,17,24,550,2,320,20,52,1250,632,221,1644
LINCOLNFORTINE,15,39,3,6,4,1,143,0,80,5,16,344,157,54,445
LINCOLNLIBBY EAST,44,38,4,19,5,2,282,1,97,4,22,537,312,82,661
LINCOLNLIBBY NORTH,46,80,6,18,21,8,294,3,171,3,40,578,347,126,795
LINCOLNLIBBY WEST,64,79,3,38,19,9,378,2,173,9,49,800,447,143,1033
LINCOLNLIBBY/PLUMMER,91,93,11,37,24,5,303,2,245,11,43,657,380,184,958
LINCOLNMC CORMICK,21,31,2,7,6,2,80,0,65,10,11,184,97,52,270
LINCOLNTOWN OF EUREKA,31,39,2,12,9,2,137,2,91,10,21,339,162,70,463
LINCOLNTREGO,19,23,0,5,2,1,88,0,67,2,16,214,96,42,299
LINCOLNTROY COMBINED,41,64,5,10,1,4,107,0,122,4,22,260,127,105,408
LINCOLNTROY NORTH,15,16,0,7,0,2,82,0,61,5,16,184,91,31,266
LINCOLNTROY RURAL,54,85,2,14,10,7,253,1,202,4,29,544,286,139,780
LINCOLNYAAK,11,11,0,12,1,0,45,0,35,0,3,112,58,22,150
MADISONALDER - WARD 2,15,8,2,6,8,3,73,1,36,0,9,145,92,23,191
MADISONENNIS - RURAL,124,106,11,51,55,13,423,3,458,21,56,1111,553,230,1649
MADISONENNIS - TOWN,34,40,11,15,14,12,88,3,158,10,27,287,140,74,485
MADISONHARRISON - WARD 2,18,27,5,20,6,6,107,1,64,5,14,250,144,45,334
MADISONJEFFERSON ISLAND - WARD 1,15,18,3,17,6,8,62,1,36,1,12,161,96,33,211
MADISONSHERIDAN,48,96,8,42,61,17,359,1,210,5,41,702,487,144,959
MADISONTWIN BRIDGES,40,44,8,13,37,7,246,3,152,11,32,539,311,84,737
MADISONVIRGINIA CITY - WARD 1,18,22,0,4,7,2,54,0,66,5,4,102,67,40,177
MCCONEPRECINCT 27,23,14,0,8,7,4,98,0,49,2,11,212,117,37,274
MCCONEPRECINCT 4,22,26,1,10,5,3,159,0,59,3,15,367,178,48,444
MCCONEPRECINCT 8,20,18,0,20,4,3,153,0,46,2,11,283,180,38,342
MEAGHERPRECINCT 5,56,58,9,35,34,10,396,2,193,10,41,729,484,114,975
MINERALALBERTON,23,66,3,5,9,3,77,3,115,19,22,208,97,89,367
MINERALST. REGIS,34,25,6,16,10,3,114,2,80,4,22,230,149,59,338
MINERALSUPERIOR_24,26,28,4,6,8,5,40,1,57,1,14,98,63,54,171
MINERALSUPERIOR_25,37,39,5,26,14,13,151,2,113,6,20,289,209,76,430
MINERALSUPERIOR_30,47,47,6,16,7,15,199,3,133,5,24,385,243,94,550
MINERALWEST END,7,11,0,6,0,1,59,0,21,0,6,120,66,18,147
MISSOULABONNER 89,22,23,0,2,6,1,26,0,57,2,6,65,35,45,130
MISSOULABONNER 92,138,281,6,31,13,4,239,7,527,37,78,679,293,419,1328
MISSOULACHIEF CHARLO 90,195,243,3,28,23,17,171,6,660,24,57,522,242,438,1269
MISSOULACLINTON 89,47,71,2,14,3,1,97,6,145,11,29,270,117,118,461
MISSOULACLINTON 92,61,84,3,21,7,3,132,1,173,10,31,373,166,145,588
MISSOULACOLD SPRINGS 89,177,259,10,28,29,8,242,5,636,25,80,734,317,436,1480
MISSOULACOLD SPRINGS 99,236,245,8,48,41,18,256,2,666,15,74,703,371,481,1460
MISSOULACSPORTER 98,180,359,13,24,18,4,229,6,839,51,107,613,288,539,1616
MISSOULAEAST MSLA 92,70,208,0,11,6,1,112,5,421,30,67,316,130,278,839
MISSOULAEVARO 94,68,87,6,6,2,1,79,1,235,9,22,189,94,155,456
MISSOULAFRANKLIN 100N,144,454,0,15,5,5,74,9,900,66,73,271,99,598,1319
MISSOULAFRANKLIN 100S,87,262,4,13,3,6,54,1,482,42,66,229,80,349,820
MISSOULAFRENCHTWN 14N,12,28,0,16,3,1,43,0,58,2,10,142,63,40,212
MISSOULAFRENCHTWN 14S,21,45,6,12,4,3,58,2,72,3,11,129,83,66,217
MISSOULAFRENCHTWN 94,107,159,5,39,16,11,314,7,350,12,71,814,385,266,1254
MISSOULAFRENCHTWN 96,38,64,2,28,9,0,131,3,128,8,37,382,170,102,558
MISSOULAHAWTHORNE 95,139,321,3,24,10,3,129,7,707,52,83,405,169,460,1254
MISSOULAHAWTHORNE 98N,60,114,3,10,10,2,78,0,296,18,42,213,103,174,569
MISSOULAHAWTHORNE 98S,196,325,3,12,13,11,209,6,701,47,87,587,248,521,1428
MISSOULAHELLGATE 94,273,301,8,31,41,12,249,5,790,27,78,624,341,574,1524
MISSOULAHELLGATE 95,79,154,0,14,9,2,69,1,356,22,51,265,94,233,695
MISSOULAHELLGATE 96E,467,600,15,82,40,36,552,10,1725,73,242,1765,725,1067,3815
MISSOULAHELLGATE 96W,101,88,1,10,15,5,174,1,258,13,42,460,205,189,774
MISSOULAHELLGATE 97,137,183,3,26,14,9,219,0,434,23,59,519,271,320,1035
MISSOULALEWIS CLK 89,50,64,1,0,7,1,23,0,134,4,19,88,32,114,245
MISSOULALEWIS CLK 90E,245,290,2,12,15,17,171,3,853,36,65,421,217,535,1378
MISSOULALEWIS CLK 90W,430,553,11,28,31,13,212,5,1361,54,98,594,295,983,2112
MISSOULALIBRARY 91,263,745,5,8,2,1,74,4,1391,126,85,289,90,1008,1895
MISSOULALOLO 89,54,91,0,18,10,6,136,2,207,10,34,368,170,145,621
MISSOULALOLO 97,288,439,16,97,38,41,591,6,998,42,154,1637,783,727,2837
MISSOULALOWELL 94,180,482,2,5,1,2,53,3,899,76,75,223,63,662,1276
MISSOULALOWELL 95,207,669,3,10,5,3,101,1,1295,125,135,348,122,876,1904
MISSOULAMEADOW HILL 99,253,384,6,25,30,14,212,4,900,31,107,652,287,637,1694
MISSOULAPAXSON 89,326,469,4,5,11,14,55,4,1107,59,69,231,89,795,1470
MISSOULAPETTY CRK 97,27,61,0,14,3,1,76,1,106,6,12,230,94,88,355
MISSOULAPOTOMAC 92,47,116,4,23,13,7,167,3,229,16,46,439,214,163,733
MISSOULARATTLSNK 91E,325,399,5,13,28,14,121,2,984,23,53,330,181,724,1392
MISSOULARATTLSNK 91W,492,567,8,17,29,7,134,1,1414,43,76,351,195,1059,1885
MISSOULARUSSELL 90,74,139,6,8,6,2,37,1,307,34,41,149,59,213,532
MISSOULARUSSELL 99N,123,237,2,8,8,7,100,4,518,25,75,311,125,360,933
MISSOULARUSSELL 99S,202,292,12,28,17,13,174,4,710,30,83,494,244,494,1321
MISSOULASEELEY LK 92,137,172,8,31,25,13,338,2,337,13,70,758,415,309,1180
MISSOULASENIOR CIT 91,164,367,1,7,5,5,24,3,893,47,54,118,42,531,1115
MISSOULASENIOR CIT 95,94,321,0,5,3,2,24,2,561,53,37,121,34,415,774
MISSOULASPRING MDW 94,42,78,1,22,4,5,132,1,165,3,33,435,164,120,637
MISSOULASPRING MDW 96,16,31,0,7,2,2,52,0,67,1,21,145,63,47,234
MISSOULAST JOSEPH 100E,336,547,5,11,10,4,79,4,1293,54,79,237,109,883,1667
MISSOULAST JOSEPH 100W,305,810,4,14,12,6,91,6,1511,99,116,333,127,1115,2065
MISSOULASWAN 92,45,38,5,12,9,5,90,0,88,2,9,236,121,83,335
MISSOULATARGET RNG 97,152,179,3,23,21,7,194,7,459,15,55,490,248,331,1026
MISSOULATARGET RNG 98,291,326,12,42,34,20,302,4,718,27,87,799,410,617,1635
MISSOULAUC CENTR 89,6,92,0,3,0,2,3,4,422,28,66,154,8,98,674
MUSSELSHELLPRECINCT 1,32,23,5,22,10,4,167,1,83,3,23,328,208,55,438
MUSSELSHELLPRECINCT 3,19,16,3,13,9,6,162,0,50,2,14,296,193,35,362
MUSSELSHELLPRECINCT 5,10,24,5,31,5,9,285,1,70,7,24,507,335,34,609
MUSSELSHELLPRECINCT 6,25,45,6,40,15,8,323,3,111,5,29,643,392,70,791
MUSSELSHELLPRECINCT 7,4,6,1,5,2,0,60,0,10,1,2,114,68,10,127
MUSSELSHELLPRECINCT 8,2,2,0,12,3,1,43,0,8,0,2,79,59,4,89
PARK59A NORTH PC,66,62,13,33,31,11,245,1,186,6,39,607,333,128,839
PARK59B N CENTRAL PC,116,149,4,39,21,10,319,4,393,21,53,751,393,265,1222
PARK59C S CENTRAL PC,65,134,3,20,15,11,274,1,286,16,27,620,323,199,950
PARK59D SOUTH PC,106,116,9,23,12,7,154,3,402,29,43,392,205,222,869
PARK60A NW OF LIVINGSTON,65,108,2,23,12,6,187,1,245,9,34,443,230,173,732
PARK60B SW OF LIVINGSTON,70,80,2,17,15,4,163,1,229,13,53,464,201,150,760
PARK60CL NW COL,77,137,9,26,16,8,182,7,317,17,61,525,241,214,927
PARK60DL NE COL,85,171,2,13,5,5,119,3,322,21,48,345,144,256,739
PARK60EL SE COL,81,204,2,11,4,8,93,3,411,27,56,230,118,285,727
PARK60FL SC COL,89,175,0,11,13,2,79,4,360,25,36,251,105,264,676
PARK60GL SW COL,96,185,3,18,14,9,130,3,444,16,50,352,174,281,865
PETROLEUMPRECNCT 1,16,16,3,9,9,6,167,1,30,1,12,278,194,32,322
PHILLIPSPCT 11 - FIRST CREEK - 32/16,4,4,0,4,1,0,18,0,8,1,3,32,23,8,44
PHILLIPSPCT 12-N - MALTA NORTH - 33/17,5,3,0,5,2,0,95,0,16,1,5,131,102,8,153
PHILLIPSPCT 12-S - MALTA SOUTH - 32/16,7,11,0,19,8,4,216,0,27,3,13,338,247,18,381
PHILLIPSPCT 16 - WHITEWATER - 33/17,2,0,0,4,0,0,49,0,6,0,4,72,53,2,82
PHILLIPSPCT 2-N - DODSON NORTH - 33/17,6,9,0,8,2,0,21,0,20,1,0,39,31,15,60
PHILLIPSPCT 2-S - DODSON SOUTH - 32/16,5,7,1,1,0,0,20,0,19,0,2,31,22,12,52
PHILLIPSPCT 5 - ZORTMAN - 32/16,2,3,0,3,3,1,36,0,16,0,1,50,43,5,67
PHILLIPSPCT 6 - LANDUSKY - 32/16,0,0,1,0,3,1,25,0,1,1,0,34,30,0,36
PHILLIPSPCT 7 - LORING - 33/17,0,3,0,2,0,0,38,0,6,2,3,59,40,3,70
PHILLIPSPCT 8-N - SACO NORTH - 33/17,6,7,1,6,6,2,112,0,32,1,6,184,127,13,223
PHILLIPSPCT 8-S - SACO SOUTH - 32/16,0,0,0,0,1,0,3,0,0,0,1,10,4,0,11
PHILLIPSPCT 9-1 - MALTA CITY - 33/17,20,15,11,20,18,9,227,0,78,2,32,378,285,35,490
PHILLIPSPCT 9-2 - MALTA CITY - 33/17,24,29,8,12,28,8,240,2,89,7,29,365,296,53,492
PONDERABRADY_19,30,22,4,7,9,4,131,1,75,2,20,225,155,52,323
PONDERACONRAD RURAL 29,9,4,2,4,8,3,67,0,24,0,7,127,84,13,158
PONDERACONRAD_24,50,36,9,30,24,9,193,2,135,6,31,393,265,86,567
PONDERACONRAD_27,46,34,2,19,13,17,198,2,125,6,32,409,249,80,574
PONDERADUPUYER_23,3,21,1,10,4,0,43,0,14,2,8,91,58,24,115
PONDERAHEART BUTTE_20,77,69,0,4,0,1,7,2,241,10,5,19,12,146,277
PONDERAVALIER (RURAL)_35,33,26,8,19,18,4,183,1,81,4,20,329,232,59,435
PONDERAVALIER_34,9,25,6,8,1,5,109,2,43,4,12,206,129,34,267
POWDER RIVERPRECINCT03,0,2,1,5,1,1,17,0,9,1,2,35,25,2,47
POWDER RIVERPRECINCT04,0,0,0,0,4,0,19,0,3,0,1,40,23,0,44
POWDER RIVERPRECINCT05,6,11,1,2,4,1,61,0,20,0,5,105,69,17,130
POWDER RIVERPRECINCT08,1,0,0,0,1,1,16,0,2,0,0,21,18,1,23
POWDER RIVERPRECINCT09,1,0,1,2,0,1,30,0,15,0,2,43,34,1,60
POWDER RIVERPRECINCT11,11,12,3,21,16,5,208,0,51,0,15,349,253,23,415
POWDER RIVERPRECINCT12,5,9,8,18,15,4,165,0,27,0,14,291,210,14,332
POWELLPRECINCT #1.80,8,3,2,14,5,1,75,0,11,1,2,146,97,11,160
POWELLPRECINCT #10.80,6,1,0,5,0,0,31,1,9,0,3,70,36,7,83
POWELLPRECINCT #11.80,2,8,1,4,0,1,42,0,7,1,3,93,48,10,104
POWELLPRECINCT #12.80,4,13,0,6,2,0,52,0,20,2,8,116,60,17,146
POWELLPRECINCT #14.80,9,16,0,8,5,4,64,0,31,4,7,121,81,25,163
POWELLPRECINCT #16.78,17,12,0,4,1,0,34,1,34,2,13,89,39,29,139
POWELLPRECINCT #2.80,8,8,0,8,3,0,25,0,18,1,4,73,36,16,96
POWELLPRECINCT #3.78,22,38,6,8,5,3,113,2,68,6,26,279,135,60,381
POWELLPRECINCT #4.78,22,23,3,8,2,3,67,0,61,2,12,197,83,45,272
POWELLPRECINCT #5.78,33,35,2,8,12,7,88,1,97,8,26,215,117,68,347
POWELLPRECINCT #6.78,40,34,2,10,8,8,82,1,73,7,27,241,110,74,349
POWELLPRECINCT #7.78,16,38,2,11,3,3,79,4,76,7,22,234,98,54,343
POWELLPRECINCT #8.80,18,22,0,10,5,7,69,0,46,0,10,155,91,40,211
PRAIRIEPRECINCT NO. 1,15,16,2,6,5,6,56,1,41,0,8,125,75,31,175
PRAIRIEPRECINCT NO. 2,20,10,5,10,1,3,57,0,26,1,13,118,76,30,158
PRAIRIEPRECINCT NO. 3,7,8,1,3,1,2,65,0,19,0,1,134,72,15,154
PRAIRIEPRECINCT NO. 4,6,10,3,17,5,4,92,1,14,0,8,179,121,16,202
RAVALLIPCT 01,32,41,1,20,11,1,227,3,122,5,24,461,260,73,615
RAVALLIPCT 02,71,74,5,56,26,14,364,1,211,14,29,754,465,145,1009
RAVALLIPCT 03,37,51,4,35,19,9,201,5,129,6,22,506,268,88,668
RAVALLIPCT 04,59,53,5,32,37,18,233,3,187,6,21,514,325,112,731
RAVALLIPCT 05,112,137,16,54,32,17,375,1,369,17,44,782,494,249,1213
RAVALLIPCT 06,86,85,4,42,21,14,246,4,254,12,39,636,327,171,945
RAVALLIPCT 07,120,138,14,61,48,12,308,4,369,17,52,758,443,258,1200
RAVALLIPCT 08,136,162,14,45,28,19,224,3,492,22,60,575,330,298,1152
RAVALLIPCT 09,106,118,11,28,21,18,195,5,370,13,62,510,273,224,960
RAVALLIPCT 10,69,108,10,51,40,16,347,1,284,19,54,745,464,177,1103
RAVALLIPCT 11,59,77,9,49,53,19,340,3,248,8,49,744,470,136,1052
RAVALLIPCT 12,63,81,11,39,36,10,256,2,232,10,40,565,352,144,849
RAVALLIPCT 13,44,54,5,54,26,11,245,2,166,12,41,610,341,98,831
RAVALLIPCT 14,0,2,3,73,6,7,57,2,3,0,19,213,146,2,237
RAVALLIPCT 15,91,101,4,51,32,14,391,1,299,8,37,771,492,192,1116
RAVALLIPCT 16,55,63,4,31,15,6,234,3,172,6,35,566,290,118,782
RAVALLIPCT 17,78,94,4,50,19,11,261,1,260,13,24,561,345,172,859
RAVALLIPCT 18,77,111,9,58,26,7,286,0,262,11,46,680,386,188,999
RAVALLIPCT 19,95,102,6,51,20,13,297,1,294,9,48,710,387,197,1062
RAVALLIPCT 20,90,90,6,43,27,8,203,5,283,12,53,525,287,180,878
RAVALLIPCT 21,46,57,2,33,14,6,139,0,137,11,31,361,194,103,540
RAVALLIPCT 22,131,112,6,55,26,17,300,2,364,8,41,755,404,243,1170
RAVALLIPCT 23,95,102,1,64,30,8,300,4,324,11,57,798,403,197,1194
RAVALLIPCT 24,114,156,6,60,25,9,285,4,392,11,64,710,385,270,1181
RICHLANDPRECINCT 01,9,9,1,12,7,2,48,1,35,3,22,165,70,18,226
RICHLANDPRECINCT 02,20,18,3,11,7,3,92,0,57,3,15,286,116,38,361
RICHLANDPRECINCT 03,19,22,5,12,8,7,117,1,73,2,26,311,149,41,413
RICHLANDPRECINCT 04,12,4,5,6,4,7,87,0,36,1,13,247,109,16,297
RICHLANDPRECINCT 05,21,11,1,20,7,1,97,1,48,2,14,278,126,32,343
RICHLANDPRECINCT 07,25,11,0,9,4,1,65,1,40,0,13,158,79,36,212
RICHLANDPRECINCT 08,31,16,5,25,18,18,188,0,87,3,35,466,254,47,591
RICHLANDPRECINCT 09,15,9,0,11,10,0,90,0,35,1,8,211,111,24,255
RICHLANDPRECINCT 12,15,24,1,4,4,5,161,0,73,2,25,479,175,39,579
RICHLANDPRECINCT 17,2,4,0,3,5,4,56,0,13,1,5,111,68,6,130
RICHLANDPRECINCT 19,6,8,3,3,5,1,53,1,14,1,2,101,65,14,119
RICHLANDPRECINCT 22,24,5,5,12,7,5,162,0,62,2,32,465,191,29,561
RICHLANDPRECINCT 23,19,17,0,25,23,13,222,1,98,2,29,630,283,36,760
ROOSEVELT02 BAINVILLE,16,12,0,8,2,0,63,1,33,1,15,195,73,28,245
ROOSEVELT10 FROID,11,18,1,1,1,4,69,1,38,1,10,139,76,29,189
ROOSEVELT12 CULBERTSON,38,20,4,4,11,3,159,1,91,0,27,387,181,58,506
ROOSEVELT15 BROCKTON,35,30,0,1,0,0,2,0,138,7,5,14,3,65,164
ROOSEVELT16 EAST POPLAR RURAL,23,32,0,0,1,0,13,1,163,9,6,52,14,55,231
ROOSEVELT17 NORTH POPLAR MINERAL BENCH,5,16,1,2,1,1,39,0,21,1,6,80,44,21,108
ROOSEVELT18 POPLAR,67,79,3,9,2,1,56,6,393,31,23,185,71,146,638
ROOSEVELT22 EAST & NE WOLF POINT RURAL,15,19,2,5,3,3,47,0,57,4,13,116,60,34,190
ROOSEVELT24 WOLF POINT SOUTHSIDE,37,47,0,3,1,2,35,2,183,15,24,135,41,84,359
ROOSEVELT26 WOLF POINT NORTHSIDE,42,73,2,12,2,4,147,2,167,14,42,287,167,115,512
ROOSEVELT27 WEST WOLF POINT RURAL,19,44,1,5,1,1,30,2,262,11,7,100,38,63,382
ROOSEVELT28 NORTH WOLF POINT RURAL (VICTORY),9,9,0,16,1,2,53,0,14,1,2,107,72,18,124
ROSEBUDPRECINCT 10,5,14,1,2,1,1,64,0,11,0,2,126,69,19,139
ROSEBUDPRECINCT 11,0,5,0,9,1,0,36,0,3,1,1,88,46,5,93
ROSEBUDPRECINCT 15,55,73,0,0,1,1,14,9,400,22,16,61,16,128,508
ROSEBUDPRECINCT 17,29,45,2,10,0,1,29,1,150,1,15,103,42,74,270
ROSEBUDPRECINCT 20,10,16,1,6,6,3,109,0,29,0,9,170,125,26,208
ROSEBUDPRECINCT 21,4,11,0,0,4,2,48,0,10,0,5,116,54,15,131
ROSEBUDPRECINCT 26,0,5,1,2,0,0,23,0,4,0,3,60,26,5,67
ROSEBUDPRECINCT 3,58,39,4,12,12,7,133,0,100,2,28,333,168,97,463
ROSEBUDPRECINCT 30,16,34,1,11,1,3,92,1,59,1,16,274,108,50,351
ROSEBUDPRECINCT 32,45,79,4,30,9,11,272,1,138,5,39,592,326,124,775
ROSEBUDPRECINCT 6,27,34,1,7,6,2,126,2,70,1,16,300,142,61,389
ROSEBUDPRECINCT 7,1,8,0,1,0,0,17,1,13,0,2,30,18,9,46
SANDERS1-HERON-HD13,13,40,3,4,2,0,105,0,61,7,5,224,114,53,297
SANDERS2-NOXON-HD13,36,40,2,14,8,2,146,1,88,5,16,332,172,76,442
SANDERS3-TROUT CREEK-HD13,50,87,3,26,31,11,295,1,147,12,27,653,366,137,840
SANDERS4-T FALLS-HD13,77,88,8,31,17,7,318,2,194,7,55,682,381,165,940
SANDERS5-T FALLS-HD13,78,78,5,27,26,14,347,5,196,11,54,707,419,156,973
SANDERS6-PLAINS-HD14,47,62,3,54,22,15,352,1,152,4,50,740,446,109,947
SANDERS7-PLAINS-HD14,46,52,12,40,16,8,253,0,132,10,44,494,329,98,680
SANDERS8-HOT SPRINGS-HD14,41,119,7,11,11,0,139,3,180,31,41,378,168,160,633
SANDERS9-DIXON-HD14,17,27,1,5,7,5,39,0,68,7,7,76,57,44,158
SHERIDAN1 WESTBY,8,11,2,5,3,2,44,1,35,0,5,126,56,19,167
SHERIDAN2 MEDICINE LAKE,40,42,4,5,8,5,112,0,107,2,19,244,134,82,372
SHERIDAN3 PLENTYWOOD WEST,47,28,4,7,10,6,87,1,103,9,16,237,114,75,366
SHERIDAN4 PLENTYWOOD EAST,42,42,1,11,14,6,129,0,131,6,27,337,161,84,501
SHERIDAN5 PLENTYWOOD RURAL WEST,11,10,2,4,7,0,74,0,34,2,10,163,87,21,209
SHERIDAN6 PLENTYWOOD RURAL EAST,23,21,7,5,5,2,54,0,67,1,15,134,73,44,217
SILVER BOWPREC_1,43,53,0,4,0,1,39,1,104,7,14,86,44,96,212
SILVER BOWPREC_10N,35,33,0,1,1,2,16,3,63,5,14,37,20,68,122
SILVER BOWPREC_10S,52,54,0,1,0,1,25,1,106,7,13,52,27,106,179
SILVER BOWPREC_11,46,49,1,1,2,2,18,1,97,4,11,64,24,95,177
SILVER BOWPREC_12E,61,49,1,10,4,0,41,0,113,2,10,100,56,110,225
SILVER BOWPREC_12W,50,37,0,2,1,0,20,4,98,1,17,54,23,87,174
SILVER BOWPREC_14,260,277,3,17,8,10,70,2,639,25,88,307,108,537,1061
SILVER BOWPREC_16,246,250,3,18,19,6,155,8,631,30,65,363,201,496,1097
SILVER BOWPREC_17,163,223,2,11,6,7,90,5,464,36,65,308,116,386,878
SILVER BOWPREC_18,123,135,0,10,1,1,73,4,312,16,42,230,85,258,604
SILVER BOWPREC_19N,87,66,1,2,5,3,55,0,173,7,20,101,66,153,301
SILVER BOWPREC_19S,62,30,0,6,6,1,33,1,113,3,10,83,46,92,210
SILVER BOWPREC_19W,16,21,0,2,5,0,26,0,46,0,9,45,33,37,100
SILVER BOWPREC_21,153,108,3,3,3,3,60,5,319,9,33,157,72,261,523
SILVER BOWPREC_22,291,291,10,26,15,6,194,11,622,32,80,520,251,582,1265
SILVER BOWPREC_26E,23,24,0,3,0,1,46,2,43,1,5,71,50,47,122
SILVER BOWPREC_26W,26,19,0,3,5,3,40,1,57,3,3,107,51,45,171
SILVER BOWPREC_27N,16,9,0,1,1,0,25,0,22,0,5,71,27,25,98
SILVER BOWPREC_27S,65,47,3,9,3,2,75,0,129,1,13,177,92,112,320
SILVER BOWPREC_28,14,12,0,8,3,0,35,0,33,2,5,78,46,26,118
SILVER BOWPREC_29,4,6,0,2,2,1,22,0,16,2,5,53,27,10,76
SILVER BOWPREC_2E,121,106,2,9,3,3,69,6,256,7,28,185,86,227,482
SILVER BOWPREC_2W,134,135,2,2,3,3,86,4,290,5,51,207,96,269,557
SILVER BOWPREC_3,114,91,1,7,2,4,51,2,235,1,20,154,65,205,412
SILVER BOWPREC_4,295,219,5,23,8,13,176,7,570,18,64,356,225,514,1015
SILVER BOWPREC_6,471,374,14,29,28,22,222,7,938,13,104,562,315,845,1624
SILVER BOWPREC_8E,513,307,11,37,32,26,329,4,946,15,100,635,435,820,1700
SILVER BOWPREC_8W,287,249,3,16,10,7,226,8,575,20,75,545,262,536,1223
SILVER BOWPREC_9E,107,102,6,18,17,6,157,4,239,8,38,281,204,209,570
SILVER BOWPREC_9N,198,136,7,21,15,6,188,1,332,12,42,370,237,334,757
SILVER BOWPREC_9W,27,11,0,4,1,0,11,2,38,1,8,17,16,38,66
STILLWATERABSAROKEE PRECINCT 13,56,61,2,39,33,16,290,0,187,11,46,615,380,117,859
STILLWATERCOLUMBUS PRECINCT 1,100,109,16,89,50,31,743,6,363,9,99,1649,929,209,2126
STILLWATERFISHTAIL PRECINCT 11,15,14,1,13,5,2,50,0,46,0,10,133,71,29,189
STILLWATERMOLT PRECINCT 7,0,5,0,4,2,1,26,0,6,0,2,62,33,5,70
STILLWATERNYE PRECINCT 10,15,16,0,5,4,2,43,0,46,2,6,86,54,31,140
STILLWATERPARK CITY PRECINCT 2,86,86,8,44,21,11,362,4,212,9,67,831,446,172,1123
STILLWATERRAPELJE PRECINCT 9,4,9,2,9,6,3,81,0,17,0,9,139,101,13,165
