precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_grn_CHERNEY,pri_grn_CURRY,pri_grn_KREML,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_KAINE,gen_grn_STEIN,gen_ind_BLUMBERG,gen_ind_FEEGBEH,gen_ind_KASICH,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_ROMNEY,gen_ind_RYAN,gen_ind_SANDERS,gen_ind_SCHOENKE,gen_lib_JOHNSON,gen_lib_JOHNSTON,gen_rep_TRUMP,dem_primary_total,general_total
ANDOVER5,411,0,1,303,0,0,0,0,0,5,9,0,55,0,0,0,145,0,1,126,1,274,1257,0,18,0,0,0,0,0,0,0,0,0,0,105,0,758,715,2138
ANDOVER6,307,0,2,318,0,0,0,0,0,4,15,3,53,0,0,1,119,0,0,90,1,275,1207,0,28,0,0,0,0,10,0,0,0,0,0,97,0,842,627,2184
ANDOVER7,318,1,0,221,0,0,0,0,0,3,12,2,58,1,0,1,110,1,2,101,0,177,980,0,12,0,0,0,0,1,0,0,0,0,0,77,0,548,540,1618
ANDOVER7A,87,0,0,66,0,0,0,0,0,1,2,0,9,1,0,0,34,0,1,23,0,58,256,0,1,0,0,0,0,3,0,0,0,0,0,24,0,163,153,447
ANDOVER8,363,1,1,283,0,0,0,0,1,2,4,1,63,0,0,0,144,0,0,131,0,234,1278,0,16,0,0,0,0,11,0,0,0,0,0,99,0,685,648,2089
ANDOVER9,377,0,0,282,0,0,0,0,0,2,11,1,42,1,1,0,151,0,4,141,0,207,1232,0,22,0,0,0,0,6,0,0,0,0,0,95,0,752,659,2107
ANDOVER9A,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,6,15
AQUINNAH1,61,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,232,0,7,0,0,0,0,0,0,0,0,0,0,6,0,34,147,279
ARLINGTON1,254,1,5,250,0,0,0,0,1,2,3,0,4,0,0,0,21,1,1,16,0,50,802,0,19,0,0,0,0,0,0,0,0,0,0,20,0,173,510,1014
ARLINGTON10,465,0,0,333,0,0,0,0,2,2,4,0,13,1,0,0,54,1,0,23,0,65,1129,0,23,0,0,0,0,2,0,0,0,0,0,30,0,192,798,1376
ARLINGTON11,434,1,1,291,0,0,0,0,0,5,9,0,22,2,0,0,59,1,0,37,0,102,1007,0,20,0,0,0,0,0,0,0,0,0,0,28,0,306,727,1361
ARLINGTON12,507,0,2,361,0,0,0,0,0,1,2,1,16,0,0,0,66,0,1,50,0,75,1122,0,20,0,0,0,0,0,0,0,0,0,0,38,0,229,870,1409
ARLINGTON13,365,1,2,217,0,0,0,0,0,5,6,0,29,1,0,0,78,0,2,50,0,153,846,0,8,0,0,0,0,1,0,0,0,0,0,49,0,375,585,1279
ARLINGTON14,363,0,1,296,0,0,0,0,2,0,1,0,14,0,0,1,40,0,1,36,0,57,930,0,16,0,0,0,0,3,0,0,0,0,0,28,0,201,660,1178
ARLINGTON15,432,1,4,286,0,0,0,0,0,3,5,0,16,0,1,0,56,0,1,32,0,99,1000,0,19,0,0,0,0,3,0,0,0,0,0,46,0,271,723,1339
ARLINGTON16,394,0,2,316,0,0,0,0,1,0,3,1,21,0,0,0,45,0,0,37,0,64,924,0,14,0,0,0,0,1,0,0,0,0,0,45,0,199,712,1183
ARLINGTON17,313,0,0,270,0,0,0,0,0,2,4,0,8,0,0,0,30,0,0,24,0,57,908,0,18,0,0,0,0,11,0,0,0,0,0,35,0,193,583,1165
ARLINGTON18,377,0,6,286,0,0,0,1,1,2,2,1,30,0,0,0,64,0,0,48,0,116,958,0,16,0,0,0,0,3,0,0,0,0,0,49,0,323,669,1349
ARLINGTON19,407,1,2,346,0,0,0,0,0,3,0,1,26,2,0,0,33,0,0,39,0,87,1003,0,16,0,0,0,0,2,0,0,0,0,0,34,0,268,756,1323
ARLINGTON2,364,2,3,354,0,0,0,0,0,3,4,1,11,0,1,0,40,0,1,40,0,64,1028,0,21,0,0,0,0,8,0,0,0,0,0,43,0,232,723,1332
ARLINGTON20,374,0,3,337,0,0,0,0,0,4,6,1,9,0,0,0,34,0,0,27,0,63,1014,0,17,0,0,0,0,2,0,0,0,0,0,21,0,225,714,1279
ARLINGTON21,401,1,1,334,0,0,0,0,0,0,2,2,14,2,0,0,46,0,0,39,0,58,999,0,33,0,0,0,0,1,0,0,0,0,0,37,0,159,737,1229
ARLINGTON3,343,0,1,390,0,0,0,0,0,1,2,0,14,0,0,0,31,1,0,44,0,42,1049,0,37,0,0,0,0,6,0,0,0,0,0,31,0,169,734,1292
ARLINGTON4,334,1,2,383,0,0,0,0,1,0,2,1,14,1,0,0,33,0,0,31,1,67,1022,0,24,0,0,0,0,3,0,0,0,0,0,47,0,195,720,1291
ARLINGTON5,299,1,1,309,0,0,0,0,0,2,6,0,9,0,0,1,41,0,0,24,0,61,932,0,33,0,0,0,0,2,0,0,0,0,0,31,0,233,610,1231
ARLINGTON6,338,2,0,335,0,0,0,0,1,2,1,0,13,1,0,0,32,0,0,30,0,58,946,0,20,0,0,0,0,3,0,0,0,0,0,25,0,178,675,1172
ARLINGTON7,305,0,1,325,0,0,0,0,4,3,4,0,9,0,1,0,36,0,1,31,0,64,938,0,22,0,0,0,0,0,0,0,0,0,0,41,0,173,631,1174
ARLINGTON8,498,1,4,365,0,0,0,0,1,1,1,0,13,0,0,0,59,0,0,33,0,51,1169,0,32,0,0,0,0,0,0,0,0,0,0,27,0,153,868,1381
ARLINGTON9,346,1,3,286,0,0,0,0,0,3,4,1,17,1,0,0,39,0,0,34,0,79,813,0,29,0,0,0,0,0,0,0,0,0,0,27,0,205,636,1074
ASHBURNHAM1,359,0,2,703,0,0,0,0,1,10,42,2,84,1,1,3,111,1,2,125,0,357,1439,0,66,0,0,0,0,3,0,0,0,0,0,247,0,1522,1064,3277
ASHBY1,188,0,4,394,0,0,0,0,0,7,19,4,46,1,3,1,61,3,1,72,1,320,722,0,45,0,0,0,0,1,0,0,0,0,0,129,0,974,586,1871
ASHFIELD1,204,0,1,469,0,0,0,0,0,1,6,0,10,0,2,1,41,0,0,23,0,44,836,0,44,0,0,0,0,2,12,0,0,0,0,52,0,184,674,1130
ASHLAND1,335,0,1,291,0,0,0,0,0,1,10,2,34,0,0,0,74,0,1,55,0,133,1121,0,40,0,0,0,0,0,0,0,0,0,0,84,0,536,627,1781
ASHLAND2,333,0,2,257,0,0,0,0,0,3,13,1,44,0,1,1,107,1,7,100,0,183,1166,0,16,0,0,0,0,0,0,0,0,0,0,95,0,588,592,1865
ASHLAND3,342,1,2,302,0,0,0,0,0,2,5,3,15,0,0,0,71,0,0,77,0,174,1139,0,21,0,0,0,0,0,0,0,0,0,0,87,0,565,647,1812
ASHLAND4,345,0,2,285,0,0,0,0,0,4,12,2,16,0,0,0,87,0,1,63,0,163,1147,0,10,0,0,0,0,0,0,0,0,0,0,91,0,576,632,1824
ASHLAND5,309,0,1,268,0,0,0,0,0,4,5,0,31,1,0,0,61,0,1,70,0,155,1111,0,18,0,0,0,0,0,0,0,0,0,0,100,0,503,578,1732
ATHOL1,155,0,2,339,1,1,0,0,0,4,19,2,44,2,0,0,52,0,3,73,0,177,733,0,42,0,0,0,0,0,0,0,0,0,0,126,0,856,496,1757
ATHOL2,122,0,2,296,2,0,0,0,3,2,16,1,41,2,1,0,48,0,3,60,0,169,608,0,45,0,0,0,0,0,0,0,0,0,0,103,0,781,420,1537
ATHOL3,175,0,0,311,0,0,0,0,0,5,18,3,40,0,0,2,55,0,5,49,1,176,735,0,29,0,0,0,0,0,0,0,0,0,0,99,0,698,486,1561
ATTLEBOROA,1176,1,12,1443,0,0,0,0,1,19,81,7,204,6,3,5,229,2,4,329,0,901,4910,0,158,0,0,0,0,0,0,0,0,0,0,504,0,3781,2632,9353
ATTLEBOROB,1257,6,6,1538,0,0,0,0,2,19,70,7,282,3,3,6,320,1,12,465,2,1189,5608,0,163,0,0,0,0,0,0,0,0,0,0,528,0,4790,2807,11089
AUBURN1,255,1,4,281,0,0,0,0,0,3,12,3,42,0,0,1,84,0,1,83,0,207,1868,0,28,0,0,0,0,12,0,0,0,0,0,230,0,1682,541,3820
AUBURN2,282,0,5,323,0,0,0,0,0,8,12,1,40,0,1,0,76,0,1,62,0,200,1918,0,40,0,0,0,0,10,0,0,0,0,0,174,0,1644,610,3786
AUBURN3,305,4,3,280,0,0,0,0,0,7,12,1,63,1,0,0,62,0,1,79,0,210,1936,0,30,0,0,0,0,12,0,0,0,0,0,198,0,1678,592,3854
AUBURN4,220,0,4,331,0,0,0,0,0,0,16,1,38,0,0,0,53,0,3,50,0,211,1660,0,58,0,0,0,0,2,0,0,0,0,0,306,0,1492,555,3518
AUBURN5,237,1,4,229,0,0,0,0,1,2,11,0,47,0,0,0,64,0,2,58,0,187,1610,0,28,0,0,0,0,6,0,0,0,0,0,198,0,1504,471,3346
AVON1,400,4,8,402,0,0,0,0,1,1,11,0,34,1,0,0,56,1,1,69,0,370,1254,0,40,0,0,0,0,1,0,0,0,0,0,79,0,1068,814,2442
AYER1,265,1,0,408,0,0,0,0,0,6,18,2,44,1,1,0,63,0,3,66,0,222,1078,0,43,0,0,0,0,0,0,0,0,0,0,146,0,729,674,1996
AYER2,237,2,2,401,0,0,0,0,0,2,14,3,53,0,0,0,79,0,3,104,0,207,1084,0,22,0,0,0,0,0,0,0,0,0,0,146,0,769,642,2021
BARNSTABLE1,368,1,1,389,0,0,0,0,0,6,15,2,49,3,1,0,154,2,3,123,1,320,2556,0,48,0,0,0,0,4,0,0,0,0,0,91,91,2030,759,4820
BARNSTABLE10,207,1,2,324,0,0,0,0,0,8,16,1,64,1,0,0,62,1,1,69,2,301,1856,0,54,0,0,0,0,3,0,0,0,0,0,98,98,1858,534,3967
BARNSTABLE11,335,0,4,393,0,0,0,0,2,11,25,2,77,1,0,0,132,2,2,99,1,400,2248,0,54,0,0,0,0,5,0,0,0,0,0,100,100,2202,732,4709
