precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_grn_CHERNEY,pri_grn_CURRY,pri_grn_KREML,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_KAINE,gen_grn_STEIN,gen_ind_BLUMBERG,gen_ind_FEEGBEH,gen_ind_KASICH,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_ROMNEY,gen_ind_RYAN,gen_ind_SANDERS,gen_ind_SCHOENKE,gen_lib_JOHNSON,gen_lib_JOHNSTON,gen_rep_TRUMP,dem_primary_total,general_total
BELMONT6,575,1,2,419,0,0,0,0,0,2,2,0,26,0,0,0,80,0,1,64,1,129,2732,0,72,1,0,2,0,15,0,2,0,9,0,104,0,678,997,3615
BELMONT7,464,1,2,448,0,0,0,0,0,4,1,1,16,1,0,0,83,0,2,72,0,129,2678,0,96,0,0,3,0,12,0,10,0,8,0,148,0,690,915,3645
BELMONT8,536,0,5,336,0,1,0,0,1,6,11,1,48,2,0,0,103,1,0,104,0,194,2498,0,56,3,0,3,0,22,0,6,2,9,0,154,0,1088,877,3841
BERKLEY1,175,3,1,250,0,1,0,0,0,1,22,0,52,0,1,0,50,0,1,66,0,270,793,0,32,0,0,0,0,0,0,0,0,0,0,85,0,1003,429,1913
BERKLEY2,155,0,1,203,0,0,0,0,0,2,12,0,43,0,0,1,40,0,1,49,1,250,662,0,19,0,0,0,0,0,0,0,0,0,0,64,0,923,359,1668
BERLIN1,276,0,2,412,0,0,0,0,2,4,13,1,68,3,1,1,93,0,1,98,0,234,1009,0,38,0,0,0,0,3,0,0,0,0,0,124,0,745,690,1919
BERNARDSTON1,143,0,1,374,0,0,0,0,0,6,13,0,14,0,1,0,75,0,0,55,1,96,711,0,27,0,0,0,0,0,0,0,0,0,0,81,0,382,518,1201
BEVERLY1,1680,2,14,2010,0,0,0,0,4,28,41,5,201,1,5,2,409,2,10,452,0,918,6076,0,165,0,0,0,0,28,0,0,0,0,0,562,0,3060,3706,9891
BEVERLY2,2006,6,11,2604,0,0,0,0,3,25,46,6,255,5,3,3,492,2,7,475,2,1201,7109,0,167,0,0,0,0,41,0,0,0,0,0,580,0,3844,4627,11741
BILLERICA1,278,0,2,383,0,0,0,0,0,5,6,3,39,1,1,1,79,0,0,50,1,283,1087,0,30,0,0,0,0,0,0,0,0,0,0,108,0,834,663,2059
BILLERICA10,281,1,2,371,0,0,0,0,1,5,6,0,59,0,1,0,68,0,0,59,0,358,859,0,26,0,0,0,0,0,0,0,0,0,0,80,0,1061,655,2026
BILLERICA11,238,1,3,329,1,0,0,0,0,7,8,1,47,2,0,1,59,0,3,60,0,320,852,0,21,0,0,0,0,0,0,0,0,0,0,87,0,912,571,1872
BILLERICA2,310,2,7,410,0,0,0,0,0,8,12,1,41,0,0,1,62,1,3,69,1,304,999,0,31,0,0,0,0,0,0,0,0,0,0,101,0,930,729,2061
