precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_dem_STEWART,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
NORTH SMITHFIELD 2503,298,1,410,1,68,119,3,371,555,19,1,42,600,561,710,1217
PAWTUCKET 2601,158,0,191,2,11,19,2,68,230,6,0,7,94,100,351,337
PAWTUCKET 2603,182,0,243,2,10,19,0,77,848,9,3,20,351,106,427,1231
PAWTUCKET 2605,208,0,82,1,7,1,0,17,450,3,1,6,69,25,291,529
PAWTUCKET 2608,581,0,575,2,25,45,1,104,1063,23,2,25,231,175,1158,1344
PAWTUCKET 2609,39,0,25,1,0,1,0,4,135,4,0,1,38,5,65,178
PAWTUCKET 2610,158,0,98,1,2,2,0,14,134,3,0,1,19,18,257,157
PAWTUCKET 2611,103,2,73,3,2,2,0,8,490,3,1,6,91,12,181,591
PAWTUCKET 2614,331,0,311,2,12,16,1,75,771,7,2,23,234,104,644,1037
PAWTUCKET 2616,151,3,137,3,10,11,2,68,99,1,1,8,77,91,294,186
PAWTUCKET 2617,88,0,101,0,4,4,1,27,195,7,1,8,59,36,189,270
PAWTUCKET 2618,230,1,247,4,14,29,2,111,871,17,2,48,531,156,482,1469
PAWTUCKET 2620,302,1,376,3,27,36,0,152,886,19,2,54,479,215,682,1440
PAWTUCKET 2623,92,0,146,0,8,18,0,45,236,1,2,9,126,71,238,374
PAWTUCKET 2624,88,0,80,0,3,15,0,43,242,4,0,15,196,61,168,457
PAWTUCKET 2626,119,0,115,0,6,8,0,37,147,1,1,1,14,51,234,164
PAWTUCKET 2627,120,0,140,1,8,8,0,34,610,15,0,19,210,50,261,854
PAWTUCKET 2628,375,0,385,1,27,34,2,196,705,15,1,32,514,259,761,1267
PAWTUCKET 2630,15,0,23,0,2,0,0,9,83,2,1,4,43,11,38,133
PAWTUCKET 2631,90,0,61,0,4,4,0,16,484,9,1,6,96,24,151,596
PORTSMOUTH 2701,13,0,17,0,2,7,0,6,52,3,0,6,39,15,30,100
PORTSMOUTH 2703,356,1,580,1,89,181,7,355,795,26,2,56,542,632,938,1421
PORTSMOUTH 2706,153,0,145,0,38,101,3,150,345,8,0,23,305,292,298,681
