precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
DAVIDSON5-JUN,323,0,355,1,3,0,38,1,0,0,0,24,0,1,72,0,36
DAVIDSON5-MAR,830,2,95,1,4,0,15,0,0,0,0,2,0,0,15,0,18
DAVIDSON5-MAY,335,1,256,1,2,0,19,0,0,0,0,23,0,0,46,0,27
DAVIDSON5-OCT,170,1,46,1,13,0,40,0,1,0,0,5,0,0,22,0,54
DAVIDSON6-JUL,226,1,96,2,17,0,46,0,1,0,0,5,0,0,28,0,78
DAVIDSON6-MAR,293,1,71,0,18,0,38,0,0,0,1,4,0,0,17,0,35
DAVIDSON6-OCT,134,0,39,2,17,0,45,0,0,0,2,10,0,0,39,0,79
DAVIDSONABSENTEE/WRITE-INS,604,13,356,65,52,10,145,2,1,0,6,55,1,2,218,1,246
DICKSON1-APR,171,2,62,0,35,0,112,0,1,0,1,12,0,0,59,1,238
DICKSON1-AUG,129,0,60,5,23,0,81,0,0,1,2,9,0,1,51,0,182
DICKSON1-DEC,64,0,43,2,28,0,108,0,0,0,0,9,0,1,52,0,126
DICKSON1-FEB,45,1,26,0,12,0,88,1,0,0,0,7,0,0,39,0,108
DICKSON1-JAN,81,0,38,3,30,0,91,1,0,0,1,12,0,0,61,0,111
DICKSON1-JUL,101,1,43,6,39,0,143,0,1,0,1,20,0,0,63,0,218
DICKSON1-JUN,62,0,25,2,18,2,69,0,0,0,1,5,0,0,42,0,96
DICKSON1-MAR,41,0,13,1,11,1,30,0,1,0,0,3,0,0,17,0,78
DICKSON1-MAY,85,2,55,0,38,0,148,0,0,0,1,12,0,1,60,0,182
