precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
WILLIAMSON2-MAR,105,0,85,4,59,0,242,1,0,0,0,50,0,2,237,0,224
WILLIAMSON2-MAY,168,4,89,5,90,2,353,1,0,0,0,59,0,3,301,0,299
WILLIAMSON2-NOV,174,0,123,10,66,0,148,0,0,0,4,51,1,3,176,2,177
WILLIAMSON2-OCT,229,2,108,1,57,0,161,1,0,0,0,42,1,0,189,0,170
WILLIAMSON2-SEP,152,2,110,8,59,1,258,1,0,0,1,79,0,2,278,0,295
WILLIAMSON3-APR,175,1,101,8,68,0,299,1,0,0,2,100,1,4,435,0,282
WILLIAMSON3-AUG,166,1,91,7,59,0,251,0,0,0,1,131,0,0,482,0,272
WILLIAMSON3-DEC,111,0,78,5,69,0,290,0,0,0,2,48,0,2,275,0,230
WILLIAMSON3-FEB,135,0,91,11,125,2,363,1,0,0,3,110,0,1,443,1,387
WILLIAMSON3-JAN,71,2,40,0,31,0,142,0,0,0,1,21,0,2,72,0,169
WILLIAMSON3-JUL,221,3,111,20,80,1,282,1,1,3,1,202,0,4,496,1,352
WILLIAMSON3-JUN,155,1,76,15,45,0,181,1,0,0,0,126,0,0,354,0,271
WILLIAMSON3-MAR,72,2,90,6,73,0,262,1,0,0,2,26,0,2,176,0,181
WILLIAMSON3-MAY,111,0,54,7,63,0,226,1,0,0,1,62,1,1,208,0,306
WILLIAMSON3-NOV,178,0,115,8,71,0,331,0,0,0,0,85,0,0,390,1,308
WILLIAMSON3-OCT,145,0,129,5,64,1,290,3,0,0,0,85,0,1,381,0,242
WILLIAMSON3-SEP,171,1,126,13,56,0,328,1,0,0,0,133,1,0,513,1,348
WILLIAMSON4-FEB,51,0,16,7,35,1,116,0,0,0,0,34,0,3,81,0,145
WILLIAMSON4-JAN,32,0,9,0,24,0,84,0,0,0,0,13,0,2,47,1,88
WILLIAMSON4-MAY,127,0,79,11,53,0,270,2,0,0,1,77,0,1,347,1,238
WILLIAMSON4-SEP,85,0,65,4,45,0,156,0,0,0,0,41,0,1,117,0,175
WILLIAMSON5-JAN,54,0,48,8,47,1,159,0,0,0,1,15,0,1,164,0,150
WILLIAMSON5-SEP,48,0,22,2,15,0,86,0,0,0,0,27,0,0,105,0,96
WILSON1-APR,126,1,93,4,75,0,279,0,0,0,1,33,0,1,155,1,387
WILSON1-AUG,159,1,96,5,77,2,283,1,0,1,1,57,0,1,225,2,311
WILSON1-DEC,77,0,28,5,26,0,137,1,0,0,3,17,0,3,67,1,189
WILSON1-FEB,118,0,98,6,79,0,268,0,0,0,0,40,0,1,218,0,240
WILSON1-JAN,163,1,94,3,72,0,259,1,0,0,1,49,0,1,185,1,351
WILSON1-JUL,62,0,27,2,24,1,92,0,0,0,0,7,0,1,47,0,130
WILSON1-JUN,143,0,52,2,46,1,246,0,0,0,2,32,0,0,104,1,281
WILSON1-MAR,156,1,101,10,86,1,335,0,0,0,1,49,0,1,218,2,408
WILSON1-MAY,144,1,64,3,89,0,386,1,0,0,2,65,0,0,195,1,450
WILSON1-NOV,312,4,165,19,91,0,329,0,0,0,0,158,0,1,372,0,459
WILSON1-OCT,154,1,102,5,90,1,286,0,0,0,5,40,0,0,197,0,324
WILSON1-SEP,108,2,48,7,31,0,141,0,0,0,2,15,0,0,64,0,209
WILSON2-APR,24,2,7,2,16,0,42,0,0,0,0,5,0,0,29,0,80
WILSON2-DEC,64,2,39,5,32,1,124,0,0,0,0,13,0,2,52,0,198
WILSON2-JUL,71,1,53,3,30,1,121,0,0,0,1,11,0,0,48,0,159
WILSON2-SEP,26,0,8,0,9,0,74,0,0,0,1,6,0,0,21,0,95
