precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_con_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_JOHNSON,gen_lib_JOHNSON,gen_rep_TRUMP,gen_wep_CLINTON,gen_wor_CLINTON,dem_primary_total,general_total
"QUEENS=""24/24""",152,69,0,8,14,41,0,440152,7,10,7,24925,0,0,221,465101
"QUEENS=""24/25""",97,68,0,8,5,27,0,447173,9,5,2,2005,0,0,165,449194
"QUEENS=""24/26""",178,65,0,1,11,16,0,38092,13,7,2,13711,0,0,243,51825
"QUEENS=""24/27""",94,46,2,22,4,13,0,24010,3,7,5,28118,0,0,140,52143
"QUEENS=""24/28""",119,72,0,6,9,11,0,30895,5,5,2,892,0,0,191,31799
"QUEENS=""24/29""",243,90,0,1,1,1,0,62030,14,2,0,151,0,0,333,62197
"QUEENS=""24/30""",34,50,0,2,5,29,0,18363,9,2,0,13411,0,0,84,31785
"QUEENS=""24/31""",139,45,0,0,2,5,0,52591,4,6,0,651,0,0,184,53252
"QUEENS=""24/32""",88,47,0,0,0,1,0,39073,6,0,1,263,0,0,135,39343
"QUEENS=""24/33""",169,67,0,6,2,7,0,69070,6,2,0,827,0,0,236,69905
"QUEENS=""24/34""",183,141,2,5,3,19,0,642544,19,3,5,13412,0,0,324,655983
"QUEENS=""24/35""",103,68,0,2,5,11,0,37231,6,6,1,1539,0,0,171,38783
"QUEENS=""24/36""",88,152,1,1,3,13,0,558282,22,9,3,945,0,0,240,559261
"QUEENS=""24/37""",174,113,0,2,17,17,0,951385,15,11,9,884,0,0,287,952304
"QUEENS=""24/38""",95,89,0,7,1,5,0,52293,14,2,1,8010,0,0,184,60320
"QUEENS=""24/39""",31,28,0,3,1,3,0,17210,4,3,0,531,0,0,59,17748
"QUEENS=""24/40""",116,41,0,1,1,8,0,406133,12,4,0,1007,0,0,157,407156
"QUEENS=""25/23""",121,48,0,23,5,6,0,32930,1,6,1,18818,0,0,169,51756
"QUEENS=""25/24""",167,97,0,8,17,40,0,468103,4,2,3,28020,0,0,264,496132
"QUEENS=""25/25""",72,51,0,4,3,21,0,375162,5,5,2,1859,0,0,123,377033
"QUEENS=""25/26""",115,52,0,3,6,32,0,37750,3,3,3,16716,0,0,167,54475
"QUEENS=""25/27""",80,33,0,35,2,24,0,10931,2,6,1,39119,0,0,113,50059
"QUEENS=""25/28""",141,107,0,8,11,14,0,517313,18,14,3,12514,0,0,248,529862
"QUEENS=""25/29""",252,108,1,0,2,2,0,619150,13,4,0,104,0,0,360,619271
"QUEENS=""25/30""",63,60,1,5,8,40,0,375112,10,7,1,20819,0,0,123,395949
"QUEENS=""25/31""",143,35,0,3,3,12,0,51890,5,4,2,632,0,0,178,52533
"QUEENS=""25/32""",145,51,0,1,0,0,0,60151,7,2,1,220,0,0,196,60381
"QUEENS=""25/33""",129,53,1,1,1,7,0,599104,3,4,1,854,0,0,182,599966
"QUEENS=""25/34""",266,183,0,4,6,12,0,644602,17,7,2,10314,0,0,449,654942
"QUEENS=""25/35""",281,91,0,3,1,2,0,71983,5,2,0,381,0,0,372,72371
"QUEENS=""25/36""",82,128,0,4,3,9,0,422240,16,11,4,7217,0,0,210,429488
"QUEENS=""25/37""",22,19,0,0,0,0,0,9910,3,2,0,143,0,0,41,10058
"QUEENS=""25/38""",113,80,0,1,3,14,0,501141,13,5,0,817,0,0,193,501976
"QUEENS=""25/39""",83,44,0,4,1,14,0,456100,7,1,2,964,0,0,127,457074
"QUEENS=""25/40""",111,65,0,1,3,10,0,31942,6,2,0,1079,0,0,176,33029
"QUEENS=""26/23""",176,61,0,7,5,21,0,35120,5,5,1,1703,0,0,237,36834
"QUEENS=""26/24""",57,38,0,3,2,7,0,335171,1,6,2,504,0,0,95,335684
"QUEENS=""26/25""",22,12,0,0,2,1,0,6010,2,0,1,181,0,0,34,6194
"QUEENS=""26/26""",189,105,0,2,9,27,0,535141,10,6,2,18421,0,0,294,553580
"QUEENS=""26/27""",65,48,0,34,7,16,0,12973,3,5,6,31120,0,0,113,44107
"QUEENS=""26/28""",56,47,0,1,1,5,0,27590,5,5,2,472,0,0,103,28074
"QUEENS=""26/29""",278,93,1,1,1,2,0,680101,11,8,0,282,0,0,371,680402
"QUEENS=""26/30""",77,76,0,4,9,36,0,356131,7,9,3,21520,0,0,153,377670
"QUEENS=""26/31""",117,53,1,4,4,12,0,47164,4,1,2,11411,0,0,170,58582
"QUEENS=""26/32""",150,53,0,0,0,1,0,45261,4,0,1,102,0,0,203,45368
"QUEENS=""26/33""",104,44,1,2,1,8,0,41230,6,1,0,483,0,0,148,41720
"QUEENS=""26/34""",155,117,0,8,2,11,0,560178,18,7,1,10411,0,0,272,570615
"QUEENS=""26/35""",74,44,0,4,3,18,0,27582,5,2,0,1487,0,0,118,29076
"QUEENS=""26/36""",85,88,0,2,3,12,0,395224,11,2,5,9411,0,0,173,404653
"QUEENS=""26/38""",88,53,0,4,3,12,0,380122,5,5,1,7614,0,0,141,387747
"QUEENS=""26/39""",53,50,1,3,0,3,0,31793,5,5,1,695,0,0,103,32499
"QUEENS=""26/40""",54,38,1,3,1,10,0,30250,3,1,0,918,0,0,92,31172
"QUEENS=""27/23""",59,47,0,39,3,24,0,4800,1,7,2,44731,0,0,106,49541
"QUEENS=""27/24""",233,84,2,0,0,3,0,65001,5,3,0,331,0,0,317,65340
"QUEENS=""27/25""",57,67,1,3,12,35,0,366161,6,7,7,22728,0,0,124,388909
"QUEENS=""27/26""",128,66,0,4,7,34,0,347100,4,4,1,21820,0,0,194,368929
