precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
WARRENST ALOYSIUS,117.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
WAYNESTRENGHTFORD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,50.0
WINTSONAMERICAN LEGION,287.0,2.0,2.0,24.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,28.0
WINTSONCOUNTRY AGENT,249.0,1.0,2.0,27.0,2.0,0.0,1.0,1.0,34.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,1.0,18.0
WINTSONEAST WINSTON,55.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,77.0,0.0,0.0,1.0,16.0,0.0,0.0,10.0,1.0,125.0
WINTSONFAIRGROUND,197.0,0.0,2.0,33.0,0.0,7.0,14.0,0.0,198.0,0.0,0.0,1.0,67.0,1.0,0.0,40.0,1.0,311.0
WINTSONLOVORN TRACTOR,79.0,0.0,0.0,9.0,1.0,0.0,2.0,0.0,51.0,0.0,0.0,1.0,13.0,0.0,0.0,8.0,0.0,46.0
WINTSONMARS HILL,80.0,0.0,0.0,13.0,0.0,1.0,2.0,0.0,85.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0,71.0
WINTSONMILL CREEK,178.0,0.0,1.0,25.0,5.0,1.0,3.0,0.0,130.0,0.0,0.0,4.0,36.0,0.0,1.0,15.0,0.0,170.0
WINTSONNANIH WAIYA,53.0,1.0,1.0,17.0,1.0,2.0,8.0,0.0,140.0,0.0,0.0,0.0,35.0,0.0,0.0,18.0,0.0,175.0
WINTSONNEW NATIONAL GUARD,21.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,43.0,0.0,0.0,1.0,21.0,0.0,0.0,17.0,0.0,56.0
WINTSONNOXAPATER,103.0,0.0,0.0,18.0,1.0,0.0,10.0,0.0,121.0,1.0,0.0,0.0,14.0,0.0,1.0,12.0,0.0,114.0
WINTSONSHILOH,33.0,1.0,1.0,10.0,0.0,0.0,3.0,0.0,55.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,83.0
WINTSONZION RIDGE,197.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,18.0
YALOBUSHAFIVE TILLACOBA,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,72.0
YAZOO3-1 WEST,124.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAZOO3-2 WEST,184.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,29.0
YAZOO3-4 SOUTH,91.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,28.0,0.0,0.0,0.0,4.0,0.0,1.0,7.0,0.0,61.0
YAZOOWARD 2,79.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,57.0,0.0,0.0,0.0,29.0,0.0,0.0,17.0,0.0,71.0
YAZOOWARD 4,382.0,1.0,1.0,31.0,0.0,1.0,1.0,0.0,50.0,0.0,0.0,0.0,29.0,0.0,0.0,21.0,0.0,101.0
YAZOOWARD 5,507.0,0.0,2.0,23.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
