precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
HINDSSPRINGRIDE,613.0,0.0,0.0,109.0,2.0,1.0,6.0,63.0,229.0,0.0,0.0,1.0,0.0,1.0,3.0,24.0,1.0,296.0
HOLMESBEAT 3 COXBURG (A-Z),14.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,53.0
HOLMESBEAT 3 EBENEZER (A-Z),121.0,1.0,0.0,17.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
HOLMESBEAT 4 LEXINGTON (A-Z),118.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,57.0
HOLMESBEAT 4 TCHULA,462.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,24.0
HOLMESBEAT 4 THORNTON (A-Z),122.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
HOLMESBEAT 4WALDEN (A-Z),82.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
HOLMESBEAT 5 CRUGER (A-Z),104.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
ISSAQUENAGRADE VOTING PRECINCT,25.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,27.0
ISSAQUENAMYESVILLE COURTHOUSE,73.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0
ITAWAMBAMANTACHIE 3D,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,35.0
ITAWAMBASALEM - COPELAND,8.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,83.0,1.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,75.0
JACKSONYMBC- DANTZLER,319.0,1.0,1.0,39.0,1.0,0.0,3.0,0.0,99.0,1.0,0.0,0.0,58.0,0.0,0.0,27.0,0.0,117.0
JASPERROSE HILL,90.0,1.0,0.0,14.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,1.0,9.0,0.0,1.0,3.0,0.0,75.0
JEFFERSON DAVISHEBRON 52,27.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,26.0
JEFFERSON DAVISMELBA 34,6.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
JEFFERSON DAVISNORTH EAST PRENSTISS 43,216.0,0.0,0.0,16.0,2.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,45.0
JEFFERSONHARRISTON,109.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
JEFFERSONMT. ISREAL BAPTIST CHURCH,169.0,1.0,1.0,12.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0
JONESERATA,80.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,47.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,59.0
JONESHERBON,127.0,1.0,0.0,30.0,0.0,0.0,5.0,0.0,57.0,0.0,0.0,0.0,7.0,0.0,1.0,10.0,0.0,59.0
JONESSANDERSVILLE,37.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,119.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,0.0,167.0
JONESSPRINGHILL / MAULDIN,85.0,0.0,0.0,23.0,0.0,2.0,5.0,0.0,229.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,252.0
KELLIS STOREKEMPER,58.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0
KEMPER SPRINGSKEMPER,53.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
LAFAYETTEANCHOR - TAYLOR 4,16.0,0.0,0.0,7.0,0.0,0.0,3.0,2.0,93.0,0.0,0.0,2.0,13.0,1.0,0.0,14.0,0.0,99.0
LAFAYETTEDENMARK - LAF SPRINGS - BLUFF,22.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,83.0,0.0,0.0,0.0,14.0,0.0,1.0,13.0,0.0,117.0
LAMARSUMRAIL,85.0,0.0,0.0,21.0,0.0,4.0,26.0,0.0,486.0,0.0,0.0,2.0,67.0,0.0,4.0,54.0,1.0,548.0
LAUDERDALE25 - DALEVILLE,85.0,2.0,0.0,12.0,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,22.0
LAUDERDALE410 - TEN,68.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,24.0
LAUDERDALE565 - WHYNOT,17.0,0.0,0.0,3.0,0.0,2.0,6.0,1.0,73.0,0.0,0.0,1.0,10.0,0.0,0.0,6.0,0.0,132.0
LAWRENCECOOPERS CREEK (A-Z),7.0,0.0,0.0,9.0,2.0,1.0,3.0,0.0,72.0,0.0,1.0,1.0,10.0,0.0,1.0,7.0,0.0,107.0
LAWRENCEWANILIA,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,14.0
LAWRENCEWANILIA 91,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
LEAKEMALNUT GROVE,261.0,0.0,0.0,31.0,0.0,1.0,2.0,0.0,29.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,46.0
LEEAUBUM,16.0,0.0,0.0,19.0,0.0,0.0,8.0,1.0,221.0,0.0,0.0,5.0,15.0,0.0,0.0,16.0,0.0,192.0
LINCOLNBRINGNAL,91.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0
LOWNDESCOLUMBUS CHRISTIAN ACADEMY,92.0,0.0,0.0,16.0,0.0,1.0,3.0,0.0,93.0,0.0,0.0,1.0,17.0,0.0,0.0,13.0,0.0,111.0
LOWNDESCOLUMBUS HIGH SCHOOL,370.0,1.0,0.0,75.0,0.0,1.0,2.0,1.0,168.0,0.0,0.0,2.0,35.0,0.0,0.0,24.0,0.0,198.0
LOWNDESPROPST PARK COMMUNITY HUT,103.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
LOWNDESTOWNSEND PARK,301.0,1.0,0.0,54.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0,1.0,11.0,0.0,0.0,7.0,0.0,9.0
LYNVILLEKEMPER,45.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,2.0,5.0,0.0,1.0,7.0,0.0,49.0
LYNWOODKEMPER,33.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,57.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,71.0
MADISONCOUPARIE,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
MADISONFAEMHAVEN,298.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,23.0
MADISONGLUCKSTADT @ ST JOE CATHOLIC,314.0,0.0,0.0,79.0,1.0,3.0,18.0,1.0,508.0,0.0,0.0,2.0,244.0,0.0,3.0,148.0,0.0,542.0
MADISONRIDGEL'D 1ST METHODIST CHURCH,191.0,0.0,0.0,56.0,0.0,1.0,10.0,1.0,205.0,0.0,0.0,1.0,99.0,2.0,1.0,62.0,0.0,266.0
MADISONSUNNYBROOK,30.0,0.0,0.0,14.0,0.0,3.0,3.0,2.0,91.0,0.0,0.0,1.0,64.0,0.0,1.0,28.0,0.0,90.0
MADISONVIRLILIA,40.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,79.0
MARIONBELLE HILL,55.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,1.0,3.0,3.0,1.0,8.0,0.0,135.0
MARIONCOSE,27.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,92.0,0.0,0.0,1.0,5.0,0.0,2.0,4.0,0.0,112.0
MARIONKOKOMA,61.0,0.0,0.0,10.0,3.0,1.0,5.0,0.0,62.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,140.0
MARIONWHITE BLUFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0
MARSHALL2 HUDSONVILLE,112.0,2.0,1.0,12.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,31.0
MARSHALL3 BARTON,34.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0,228.0,0.0,1.0,0.0,19.0,0.0,0.0,25.0,0.0,175.0
MARSHALL3 BYHALIA,246.0,1.0,0.0,30.0,0.0,0.0,8.0,0.0,224.0,2.0,0.0,1.0,17.0,0.0,1.0,13.0,1.0,197.0
MARSHALL4 CHULAHOMA,214.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
MARSHALL4 MARIANNA,139.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,40.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,0.0,56.0
MARSHALL5 CORNERSVILLE,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
MONROE1 ARMORY FIRST,14.0,1.0,0.0,10.0,1.0,1.0,8.0,1.0,111.0,0.0,0.0,1.0,47.0,0.0,0.0,30.0,0.0,119.0
MONROE3 BARTHAHATCHIE,9.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,0.0,64.0
MONROE3 HEMILTON,83.0,0.0,3.0,8.0,2.0,3.0,16.0,0.0,187.0,0.0,0.0,1.0,18.0,0.0,0.0,27.0,0.0,281.0
MONROE4 PRAIRLE,185.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0
MONTGOMERYMT. PISGAH,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,48.0
MOUNT NEBOKEMPER,85.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,21.0
NESHOBANORTHBEND,5.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,100.0,0.0,0.0,2.0,4.0,0.0,0.0,7.0,0.0,104.0
NESHOBATUCKER-DISTRICT ONE,14.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NESHOBATUCKER-DISTRICT THREE,3.0,0.0,1.0,7.0,0.0,3.0,11.0,0.0,75.0,0.0,0.0,0.0,23.0,0.0,1.0,9.0,0.0,121.0
NEWTONCHUNCKY,5.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,98.0,0.0,0.0,1.0,13.0,1.0,0.0,12.0,0.0,110.0
NEWTONSCANIAN,47.0,0.0,1.0,6.0,0.0,3.0,8.0,0.0,126.0,0.0,0.0,0.0,27.0,0.0,1.0,18.0,1.0,128.0
OKTIBBEHAHIKORY GROVE/SOUTHEAST,152.0,0.0,0.0,41.0,0.0,1.0,5.0,1.0,113.0,1.0,0.0,1.0,24.0,0.0,0.0,10.0,0.0,119.0
PANOLABATESVILLE # 3,38.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,77.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0.0,134.0
PANOLAEAST BATESVILLE # 4,55.0,0.0,0.0,9.0,0.0,3.0,3.0,1.0,72.0,0.0,0.0,1.0,31.0,0.0,1.0,20.0,0.0,139.0
PANOLAEAST SARDIS,20.0,0.0,0.0,10.0,0.0,2.0,7.0,0.0,50.0,0.0,0.0,1.0,5.0,0.0,0.0,9.0,0.0,97.0
PANOLANORTH BATESVILLE # A,118.0,1.0,0.0,23.0,1.0,0.0,6.0,3.0,91.0,1.0,0.0,2.0,18.0,0.0,0.0,10.0,1.0,142.0
PANOLANORTH BATESVILLE # B,341.0,0.0,2.0,48.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,24.0
PANOLAWEST SARDIS,246.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,12.0
PEARL RIVERCEASAR BEAT 3,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,55.0
PEARL RIVERMONEILL BEAT 3,10.0,0.0,0.0,12.0,0.0,3.0,5.0,0.0,114.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,167.0
PEARL RIVERPICAYUNE BT. 1 EASTSIDE ANNEX,157.0,0.0,2.0,15.0,0.0,1.0,2.0,0.0,79.0,0.0,0.0,1.0,14.0,0.0,0.0,13.0,0.0,121.0
PEARL RIVERWHITESAND BT. 1,108.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,26.0
"PIKE(03) FIRST BAPT. CHURCH, SUMMIT",112.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,16.0
PIKE(09) MAGNOILA COMM. CTR.,195.0,1.0,1.0,17.0,1.0,3.0,1.0,0.0,44.0,0.0,0.0,1.0,20.0,0.0,1.0,6.0,1.0,68.0
PIKE(11) LEGETT COMMUNITY,84.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,42.0
PIKE(18) JOHNSTON CHAPEL METH. CHURCH,31.0,0.0,2.0,12.0,0.0,6.0,2.0,1.0,159.0,0.0,1.0,0.0,29.0,0.0,2.0,15.0,0.0,204.0
PORTERVILLEKEMPER,117.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,31.0
PRESTONKEMPER,99.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,41.0
RANKINSOUTH MCLAURIN,29.0,0.0,0.0,23.0,0.0,1.0,7.0,1.0,127.0,0.0,1.0,0.0,39.0,1.0,4.0,19.0,1.0,238.0
SATELLITEKEMPER,115.0,0.0,1.0,14.0,0.0,0.0,2.0,0.0,34.0,0.0,0.0,1.0,7.0,0.0,0.0,6.0,0.0,75.0
SCOOBA A-LKEMPER,82.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,29.0
SCOOBA M-ZKEMPER,76.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,32.0
SCOTTBEAT 1/ HARPERVILLE,187.0,1.0,2.0,46.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,82.0
SCOTTBEAT 1/ HILLSBORO,220.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,59.0,0.0,0.0,2.0,5.0,0.0,1.0,3.0,0.0,77.0
SCOTTBEAT 1/ NORTH FOREST,270.0,0.0,1.0,26.0,2.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,36.0
