precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,general_total
WASHINGTON01 FALL BRANCH,27,0,35,1,26,1,107,0,1,0,1,12,0,2,67,0,121,115,0,0,0,0,21,0,0,1,0,1,2,631,0,62,771
WASHINGTON02 HARMONY,58,1,43,0,57,2,197,0,0,0,2,20,0,1,109,0,199,206,1,0,1,0,22,1,0,4,0,6,3,1146,0,102,1390
WASHINGTON03 GRAY EAST,73,2,86,6,60,2,252,0,0,0,7,35,0,0,146,0,296,387,5,0,0,0,54,4,0,3,0,9,13,1812,0,161,2287
WASHINGTON04 GRAY CITY,1,0,1,1,4,0,11,0,0,0,0,2,0,0,11,0,14,6,0,0,1,0,3,0,0,0,0,1,0,76,0,2,87
WASHINGTON05 B.C. EAST,45,0,63,2,39,0,113,1,1,0,0,25,0,2,113,0,259,291,0,0,5,0,43,1,0,1,0,3,12,1126,0,108,1482
WASHINGTON06 SULPHUR SPRINGS,99,0,81,12,93,0,319,0,0,1,5,45,0,1,242,1,396,439,3,0,9,0,61,4,0,4,0,7,20,2135,0,180,2682
WASHINGTON07 GRAY WEST,61,0,42,15,56,0,219,1,0,0,1,31,0,1,151,0,248,264,1,0,1,0,56,2,0,4,0,4,10,1407,0,103,1749
WASHINGTON08 B.C. WEST,46,0,52,3,45,0,162,0,0,0,1,22,1,0,109,0,163,243,1,0,0,0,34,2,0,1,0,6,13,928,0,98,1228
WASHINGTON09 B.C. CITY,92,0,80,20,76,3,217,2,0,0,2,88,0,0,295,0,267,639,0,0,2,0,86,1,0,5,0,10,12,1622,0,172,2377
WASHINGTON10 LAKERIDGE,106,2,98,6,71,2,219,0,0,0,2,72,0,0,244,0,257,597,0,0,1,0,70,1,0,3,0,3,11,1493,0,206,2179
