precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,general_total
WASHINGTON25 MILLENNIUM,108,1,249,3,34,0,68,0,0,0,1,22,0,0,87,0,116,750,1,0,5,0,73,3,0,5,0,5,44,648,0,358,1534
WASHINGTON26 NORTH SIDE,132,3,159,6,39,1,88,0,0,0,1,41,0,0,114,0,114,674,0,0,6,0,43,2,0,5,0,5,27,587,0,294,1349
WASHINGTON27 KEYSTONE,55,0,84,0,15,1,76,0,0,0,1,12,0,2,37,0,75,375,0,0,1,0,45,1,0,1,0,8,16,513,0,139,960
WASHINGTON28 SOUTH SIDE,73,0,205,7,15,1,57,0,1,0,1,18,0,1,63,0,88,565,1,0,2,0,53,0,0,2,0,5,39,469,0,278,1136
WASHINGTON29 FAIRHAVEN INSIDE,113,2,130,13,70,2,171,1,0,0,5,32,0,3,177,2,185,591,2,0,4,0,58,4,0,3,0,6,22,1148,0,245,1838
WASHINGTON30 GRACE,133,2,172,4,39,0,127,0,0,0,2,48,0,2,152,2,159,682,0,0,1,0,63,1,0,5,0,9,22,876,0,307,1659
WASHINGTON31 CHEROKEE CITY,7,0,9,0,2,0,20,0,0,0,0,6,0,0,15,0,28,47,0,0,0,0,5,0,0,3,0,2,2,104,0,16,163
WASHINGTON32 CHEROKEE OUT,26,1,40,6,29,1,133,0,0,0,2,20,0,3,76,1,158,177,0,0,4,0,24,0,0,3,0,3,5,775,0,67,991
WASHINGTON33 TELFORD,27,0,50,3,23,0,96,0,0,1,2,5,0,3,43,0,196,160,0,0,1,0,22,0,0,0,0,4,11,760,0,77,958
WASHINGTON34 NEW VICTORY,43,0,40,8,32,1,105,0,0,0,1,27,0,0,104,0,179,205,0,0,2,0,17,0,0,3,0,3,9,769,0,83,1008
WASHINGTON35 LIMESTONE,18,0,12,2,17,0,51,0,1,0,0,2,0,0,45,0,82,66,0,0,1,0,12,0,0,0,0,1,0,337,0,30,417
WASHINGTON36 WEST VIEW,24,2,24,5,20,0,77,0,0,0,2,11,1,1,38,0,123,84,0,0,1,0,14,0,0,2,0,1,2,491,0,50,595
WASHINGTON37 LAMAR,36,1,20,1,22,1,72,0,0,1,1,8,0,0,45,1,157,112,0,0,0,0,14,0,0,0,0,1,2,638,0,57,767
WASHINGTON38 SOUTH CENTRAL,44,1,26,3,16,0,62,0,0,0,1,6,0,2,61,0,191,146,0,0,2,0,9,1,0,3,0,0,9,622,0,71,792
WASHINGTON39 NEW SALEM,23,0,24,0,14,1,61,0,0,0,0,7,0,0,35,0,110,85,0,0,1,0,3,0,0,1,0,0,3,410,0,47,503
WASHINGTON40 EMBREEVILLE,15,0,9,4,9,0,45,0,0,0,1,4,0,1,32,0,99,51,2,0,0,0,7,0,0,0,0,2,2,314,0,24,378
WAYNE1 WAYNESBORO,51,1,23,7,27,0,69,0,0,0,1,7,0,0,44,0,171,139,0,0,2,0,8,0,0,0,0,1,0,757,0,75,907
WAYNE2 CLIFTON,11,0,5,0,5,0,19,0,0,0,1,3,0,0,14,0,43,63,3,0,0,0,4,0,0,0,0,0,2,187,0,16,259
WAYNE3-1 BEECH CREEK,19,0,4,0,4,0,20,0,0,0,0,3,0,0,4,0,63,36,0,0,1,0,3,1,0,0,0,2,1,233,0,23,277
WAYNE3-2 CRAZY HORSE,18,0,11,3,4,0,39,0,0,0,0,1,0,1,11,0,83,49,0,0,0,0,4,1,0,0,0,2,0,356,0,29,412
WAYNE3-3 EAGLE CREEK,11,1,8,1,4,0,8,0,0,0,0,3,0,0,9,0,42,36,0,0,0,0,1,0,0,0,0,1,0,149,0,20,187
WAYNE4-1 COLLINWOOD,8,2,10,1,14,0,51,0,0,0,1,10,0,0,32,0,116,74,0,0,1,0,5,0,0,4,0,0,0,506,0,20,590
WAYNE5-1 BIG CYPRESS,11,0,4,2,21,1,29,0,0,0,0,5,0,1,22,0,92,39,0,0,0,0,1,0,0,0,0,1,2,362,0,15,405
WAYNE5-2 LUTTS,7,0,8,2,15,0,39,0,0,0,1,1,0,0,18,0,58,24,0,0,0,0,5,0,0,1,0,1,1,297,0,15,329
WAYNE5-3 WAYNE CO HIGH,8,0,3,0,12,0,18,0,0,0,0,2,0,0,11,0,43,23,2,0,2,0,3,0,0,0,0,0,0,201,0,11,231
WAYNE6-1 HOLLY CREEK,6,0,7,2,4,0,47,0,0,0,0,3,0,0,17,0,58,31,0,0,1,0,4,0,0,0,0,0,0,263,0,13,299
WAYNE6-2 SOUTH GATE,18,0,6,1,22,1,63,0,0,0,0,3,0,0,36,0,138,62,0,0,2,0,10,0,0,0,0,2,0,611,0,24,687
WAYNE7-1 BUFFALO RIVER,17,0,15,0,8,0,37,0,0,0,0,3,0,0,7,0,78,46,0,0,0,0,5,1,0,0,0,0,0,307,0,32,359
WAYNE7-2 OVILLA,13,0,7,4,12,0,46,0,0,0,1,2,0,1,21,1,106,65,0,0,2,0,2,0,0,0,0,1,0,488,0,20,558
WEAKLEY1A PALMERSVILLE,36,1,31,1,33,0,92,0,0,1,1,7,0,1,25,0,149,117,0,0,2,0,8,1,0,1,0,1,3,621,0,68,754
WEAKLEY1B LATHAM,36,0,21,2,16,0,76,0,0,0,2,5,0,0,44,0,136,102,0,0,1,0,10,1,0,0,0,1,1,599,0,57,715
WEAKLEY2A GLEASON,55,0,27,4,34,1,157,0,0,0,1,15,0,0,64,0,204,203,2,0,4,0,16,2,0,1,0,5,1,1134,0,82,1368
WEAKLEY3A GREENFIELD,86,4,18,5,38,2,116,1,0,0,1,13,0,0,72,0,182,263,0,0,2,0,18,0,0,2,0,3,1,1060,0,108,1349
WEAKLEY4A SHARON,84,1,41,11,52,0,204,0,0,0,4,17,0,1,77,1,285,246,1,0,2,0,26,1,0,7,0,6,4,1242,0,126,1535
WEAKLEY5A MARTIN COC,113,1,85,3,39,2,111,0,1,0,0,24,0,3,81,1,157,405,1,0,1,0,36,0,0,7,0,3,15,761,0,199,1229
WEAKLEY6A TRINITY,77,0,55,1,20,2,48,0,0,0,1,16,0,1,41,0,63,338,0,0,1,0,22,0,0,5,0,3,9,388,0,132,766
WEAKLEY7A MARTIN SHEPHERD'S,116,0,67,4,72,2,149,0,0,0,1,18,2,2,142,0,219,410,0,0,4,0,41,0,0,15,0,5,10,1154,0,183,1639
WEAKLEY8A MARTIN FUMC,126,0,63,3,43,0,123,0,0,0,7,18,0,0,96,0,194,381,0,0,6,0,25,4,0,1,0,6,9,1063,0,189,1495
WEAKLEY9A DRESDEN,131,0,45,3,36,0,134,0,0,0,0,10,0,2,52,0,176,307,1,0,2,0,18,1,0,4,0,6,9,986,0,176,1334
WHITE1-1 SPARTA CIVIC,84,2,53,6,26,1,72,1,0,0,2,10,1,2,35,0,160,237,0,0,4,0,15,5,0,6,0,4,1,602,0,139,874
WHITE1-2 SPARTA CIVIC,32,0,7,0,2,0,28,0,0,0,1,3,0,0,19,0,62,64,0,0,0,0,3,0,0,0,0,1,2,184,0,39,254
WHITE2-1 AG FAIR COMPLEX,70,0,37,4,29,0,62,0,0,0,1,10,0,0,46,1,159,175,0,0,0,0,10,1,0,5,0,2,3,533,0,107,729
WHITE2-2 WOODLAND PARK,47,2,17,2,16,0,58,0,0,0,0,4,0,0,38,1,123,126,0,0,3,0,9,2,0,1,0,1,5,405,0,66,552
WHITE3-1 AG FAIR COMPLEX,83,5,62,3,60,0,189,0,0,0,0,13,0,1,76,0,336,244,0,0,2,2,17,2,0,2,0,8,9,1259,0,150,1545
WHITE4-1 WOODLAND PARK,25,0,12,1,20,0,58,0,0,0,0,8,0,2,34,0,97,70,0,0,1,0,9,0,0,1,0,2,4,394,0,37,481
WHITE4-2 BONDECROFT,79,0,35,2,28,1,88,1,0,0,1,8,0,2,30,0,228,178,0,0,0,0,15,2,0,2,0,3,3,772,0,114,975
WHITE5-1 DOYLE CIVIC,79,1,56,2,26,0,126,0,1,0,2,14,0,1,57,0,263,220,0,0,3,0,13,3,0,1,0,4,4,1009,0,136,1257
WHITE6-1 CENTRAL VIEW,24,0,13,1,12,0,40,0,0,0,2,3,0,0,10,0,80,57,3,0,2,0,8,1,0,0,0,0,4,253,0,37,328
WHITE6-2 CASSVILLE,73,3,38,1,28,1,118,0,1,0,2,9,1,1,53,0,233,178,0,0,3,0,12,0,0,2,0,2,4,923,0,114,1124
WHITE7-1 NORTHFIELD,93,1,72,3,60,0,201,0,0,0,2,13,0,0,99,1,353,296,1,0,4,0,38,6,0,6,0,12,6,1337,0,166,1706
WILSON13-1,125,3,104,12,98,0,275,0,0,0,4,34,0,1,156,2,466,475,0,0,0,0,71,0,0,7,0,9,12,1700,0,232,2274
WILSON14-1,158,0,80,7,73,1,283,0,0,0,2,23,0,1,168,0,403,625,2,0,0,1,70,6,0,12,0,14,16,1817,0,238,2563
WILSON15-1,125,3,53,8,68,1,208,1,0,1,0,12,0,0,90,0,314,342,0,0,2,0,39,3,0,3,0,8,15,1355,0,181,1767
WILSON16-1,148,0,76,5,65,0,228,1,1,1,1,42,0,4,160,0,324,633,3,0,2,1,73,5,0,47,0,9,16,1476,0,224,2265
WILSON17-1,169,3,72,3,58,0,244,0,0,0,3,33,0,2,159,0,332,597,0,0,0,0,72,3,0,9,0,4,23,1502,0,244,2210
WILSON18-1,149,1,108,7,73,0,297,0,0,0,1,48,0,2,159,0,419,396,1,0,3,0,69,0,0,5,0,2,15,1925,0,258,2416
WILSON19-1,130,0,61,4,46,1,179,0,0,0,2,27,0,3,95,0,238,488,0,0,2,0,51,2,0,6,0,8,15,1153,0,191,1725
WILSON20-1,172,2,39,0,8,0,39,0,0,0,0,4,0,0,20,0,80,432,0,0,3,0,23,6,0,0,0,6,15,467,0,213,952
WILSON21-1,103,0,25,2,13,1,48,0,0,0,0,8,0,2,33,0,67,189,2,0,1,0,18,2,0,14,0,5,8,484,0,128,723
WILSON21-2,35,0,22,1,13,0,61,1,0,0,1,7,0,0,41,0,101,125,0,0,0,0,15,1,0,2,0,3,9,465,0,57,620
WILSON22-1,135,1,100,2,59,0,226,0,0,0,0,29,0,1,157,0,327,513,1,0,3,0,87,6,0,11,0,10,17,1426,0,236,2074
WILSON23-1,140,0,72,4,101,1,366,0,0,0,2,70,0,2,255,0,506,706,1,0,2,1,111,3,0,27,0,7,21,1731,0,212,2610
WILSON24-1,129,1,88,8,42,0,135,1,0,0,3,31,1,1,123,1,203,431,0,0,0,0,46,2,0,4,0,7,14,1097,0,218,1601
WILSON25-1,86,0,55,6,28,0,192,0,0,0,1,19,0,1,122,0,219,362,0,0,2,0,68,2,0,13,0,1,13,1122,0,141,1583
WILSON25-2,63,1,31,3,20,1,182,0,0,0,0,23,0,2,81,0,192,299,0,0,4,0,32,1,0,7,0,3,9,809,0,95,1164
WILSONABSENTEE,99,4,41,27,10,7,60,2,1,1,0,13,0,2,44,0,108,397,0,0,4,0,47,3,0,14,0,9,7,661,0,144,1142
WILSONPROVISIONAL,3,0,4,0,3,0,6,0,0,0,0,0,0,0,4,0,6,29,0,0,0,0,6,1,0,1,0,0,0,102,0,7,139
