Missing in Primary
AUTAUGA_160 DOSTER COMMUNITY CTR
AUTAUGA_20 HERITAGE BAPTIST
BALDWIN_BELFOREST COMM CTR
BALDWIN_BON SECOUR MORGAN CHAPEL
BALDWIN_ELLISVILLE COMM CENTER
BALDWIN_FAIRHOPE - 3 CIRCLE CHURCH
BALDWIN_GULF SHORES CIVIC CENTER
BALDWIN_MAG SPGS WESLEYAN CH
BALDWIN_MIFLIN COMMUNITY CTR
BALDWIN_ORANGE BEACH COMM
BALDWIN_PERDIDO VOL FIRE DEPT
BALDWIN_SILVERHILL COMMUNITY CENTER
BALDWIN_SPANISH FORT CHURCH OF CHRIST
BALDWIN_SPANISH FORT COMMUNITY CENTER
BALDWIN_VAUGHN COMM CENTER
BALDWIN_WHITEHOUSE FORK VFD
BUTLER_FOREST HOME - VOTING HOUS
BUTLER_MONTEREY - OLD SCHOOL HOU
CALHOUN_1ST UNITED METH - WEAVER
CALHOUN_ANNISTON 1ST PRSBY CH
CALHOUN_ANNISTON MEETING CTR
CALHOUN_ANNISTON THANKFUL BAPT
CALHOUN_BOILING SPRINGS BAPT CH
CALHOUN_BYNUM COMMUNITY CTR
CALHOUN_CALHOUN CO HEALTH DEPT
CALHOUN_CALHOUN CO HWY DEPT
CALHOUN_CHOCCOLOCCO COMM CTR
CALHOUN_DEARMANVILLE UNITED METH
CALHOUN_FOUR MILE METHODIST CH
CALHOUN_GLENWOOD MEADOWS MTG RM
CALHOUN_JACKSONVILLE WESTSIDE BAPT
CALHOUN_LEATHERWOOD RD CIVIL DEF
CALHOUN_MENTAL HEALTH CTR
CALHOUN_MT VIEW BAPTIST
CALHOUN_OAK GROVE BAPTIST CH
CALHOUN_OHATCHEE 1ST BAPTIST CH
CALHOUN_OXFORD LAKE PARK CIVIC CTR
CALHOUN_PIEDMONT REC BUILDING
CALHOUN_S HIGHLAND COMMUNITY CTR
CALHOUN_TRINITY MISSIONARY BAPT
CALHOUN_WHITE PLAINS VFD
CALHOUN_WIGGINS COMMUNITY CTR
CHEROKEE_BROOMTOWN FIRE DEPT
CHEROKEE_FRIENDSHIP BAPT FELLOWSHIP
CHEROKEE_LEESBURG FEMA BLDG
CHEROKEE_MT WEISNER FIRE HALL
CHEROKEE_SPRING GARDEN FIRE STN
CHILTON_ABSENTEE
CHILTON_AMERICAN LEGION POST
CHILTON_CANE CREEK - GAP OF MTN
CHILTON_CLANTON RECREATION
CHILTON_COLLINS CHAPEL FIRE STATION
CHILTON_COURTHOUSE
CHILTON_ENTERPRISE FIRE STATION
CHILTON_FAIRVIEW FIRE STATION
CHILTON_ISABELLA FIRE STATIONS
CHILTON_JEMISON CITY HALL
CHILTON_LIBRARY
CHILTON_MAPLESVILLE LIBRARY
CHILTON_MARS HILL - W CHILTON FS SPLIT
CHILTON_PROVIDENCE BAPTIST CHURCH
CHILTON_PROVIDENCE E CHILTON FS
CHILTON_PROVISIONAL
CHILTON_SOUTH CHILTON FIRE
CHILTON_THORSBY TOWN HALL
CHILTON_UNION GROVE FIRE STATION
CHILTON_VERBENA FIRE STATION
CLARKE_ANTIOCH FIRE DEPT
CLARKE_CHOCTAW BLUFF FIRE STN
CLARKE_COFFEEVILLE TOWN HALL
CLARKE_GOSPORT FIRE DEPT
CLARKE_JACKSON-SKIPPER FIRE STN
CLARKE_SALITPA FIRE DEPT
CLARKE_SPARE
CLARKE_SPRINGFIELD METH CHURCH
CLARKE_THOMASVILLE NAT'L GUARD
CLARKE_WALKER SPR OVERSTREET GRO
CLARKE_WINN FIRE DEPT
CLEBURNE_EDWARDSVILLE COMM_
CLEBURNE_HEFLIN RECREATIONAL CTR_
CLEBURNE_PLAINVIEW COMMUNITY CTR_
COFFEE_EPRISE STATE COMM COLLEGE
COFFEE_MT PLEASANT SR_ CTR_
COFFEE_NEW BROCKTON SR_ CTR_
COFFEE_PINE LEVEL SR_ CTR_
COFFEE_PROVISIONAL
COFFEE_ZION CHAPEL SR_ CTR_
COLBERT_COUNTY HIGHWAY DEPT_
COLBERT_EAST COLBERT SEN_ CTR
COLBERT_FIRST SOUTHERN BAPTIST CH
COLBERT_GATMAN PARK & REC_ CTR_
COLBERT_LA GRANGE FIRE DEPT
COLBERT_LEIGHTON CIVIC CTR
COLBERT_MARGERUM COMMUNITY CH
COLBERT_NEW BETHEL FIRE DEPT
COLBERT_PARKVIEW BAPTIST CHURCH
COLBERT_SHEFF BOARD OF ED BLDG_
