precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_HARTNELL,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_lib_JOHNSON,gen_nlp_SOLTYSIK,gen_rep_TRUMP
JACKSONLEONI TOWNSHIP 4,6,461,25,0,0,0,0,0,0,0,65,2,830
JACKSONLIBERTY TOWNSHIP 1,7,300,6,0,0,2,0,0,1,0,44,1,676
JACKSONLIBERTY TOWNSHIP 2,2,208,7,0,0,0,0,0,2,0,18,0,481
JACKSONNAPOLEON TOWNSHIP 1,11,325,12,0,0,0,0,0,2,0,41,0,659
JACKSONNAPOLEON TOWNSHIP 2,3,358,18,0,0,0,0,0,1,0,55,2,653
JACKSONNAPOLEON TOWNSHIP 3,9,428,14,0,0,0,0,0,1,0,45,0,800
JACKSONNORVELL TOWNSHIP 1,5,217,7,0,0,0,0,0,0,0,37,2,459
JACKSONNORVELL TOWNSHIP 2,0,278,10,0,0,0,0,0,0,0,25,0,550
JACKSONPARMA TOWNSHIP 1,6,379,13,0,0,0,0,0,2,0,68,0,789
JACKSONPULASKI TOWNSHIP 1,3,212,3,0,0,0,0,0,0,0,37,0,640
JACKSONRIVES TOWNSHIP 1,3,367,11,0,0,0,0,0,3,0,51,0,821
JACKSONRIVES TOWNSHIP 2,6,282,6,0,0,0,0,0,0,0,47,1,676
JACKSONSANDSTONE TOWNSHIP 1,4,227,8,0,0,0,0,0,1,0,45,0,577
JACKSONSANDSTONE TOWNSHIP 2,3,139,11,0,0,0,0,0,0,0,21,1,438
JACKSONSANDSTONE TOWNSHIP 3,1,169,5,0,0,0,0,0,0,0,30,0,339
JACKSONSPRING ARBOR TOWNSHIP 1,18,521,24,0,0,1,0,0,18,0,91,1,1306
JACKSONSPRING ARBOR TOWNSHIP 2,13,503,7,0,0,1,0,0,6,0,72,0,1120
JACKSONSPRINGPORT TOWNSHIP 1,5,203,12,0,0,0,0,0,0,0,53,1,647
JACKSONSUMMIT TOWNSHIP 1,3,564,12,0,0,0,0,0,5,0,34,0,577
JACKSONSUMMIT TOWNSHIP 2,4,616,7,0,0,0,0,0,8,0,53,0,960
JACKSONSUMMIT TOWNSHIP 3,6,652,8,0,0,0,0,0,2,0,55,2,742
JACKSONSUMMIT TOWNSHIP 4,3,525,13,0,0,0,0,0,6,0,54,1,931
JACKSONSUMMIT TOWNSHIP 5,6,475,13,0,0,0,0,0,5,0,72,0,918
JACKSONSUMMIT TOWNSHIP 6,3,366,8,0,0,0,0,0,0,0,45,0,533
JACKSONSUMMIT TOWNSHIP 7,16,565,19,0,0,0,0,0,5,0,69,0,928
JACKSONSUMMIT TOWNSHIP 8,6,575,17,0,0,0,0,0,1,0,56,0,659
JACKSONTOMPKINS TOWNSHIP 1,5,365,7,0,0,0,0,0,0,0,51,2,841
JACKSONWATERLOO TOWNSHIP 1,2,547,13,0,0,1,0,0,1,0,63,0,834
KALAMAZOO9999,0,0,0,0,1,2,2,22,296,0,0,0,0
KALAMAZOOALAMO TOWNSHIP 1,4,297,8,0,0,0,0,0,0,0,40,0,508
KALAMAZOOALAMO TOWNSHIP 2,9,480,12,0,0,0,0,0,0,0,46,0,794
KALAMAZOOBRADY TOWNSHIP 1,2,451,11,0,0,0,0,0,0,0,59,0,761
KALAMAZOOBRADY TOWNSHIP 2,5,277,4,0,0,0,0,0,0,0,60,0,765
KALAMAZOOCHARLESTON TOWNSHIP 1,6,355,16,0,0,0,0,0,0,0,41,2,624
KALAMAZOOCLIMAX TOWNSHIP 1,2,348,13,0,0,0,0,0,0,0,42,0,808
KALAMAZOOCOMSTOCK TOWNSHIP 1,9,480,19,0,0,0,0,0,0,0,65,0,753
KALAMAZOOCOMSTOCK TOWNSHIP 2,4,469,18,0,0,0,0,0,0,0,58,2,465
KALAMAZOOCOMSTOCK TOWNSHIP 3,3,223,7,0,0,0,0,0,0,0,31,0,245
KALAMAZOOCOMSTOCK TOWNSHIP 4,2,471,7,0,0,0,0,0,0,0,50,0,539
KALAMAZOOCOMSTOCK TOWNSHIP 5,6,354,3,0,0,0,0,0,0,0,42,1,566
KALAMAZOOCOMSTOCK TOWNSHIP 6,3,624,19,0,0,0,0,0,0,0,58,0,508
KALAMAZOOCOMSTOCK TOWNSHIP 7,2,348,10,0,0,0,0,0,0,0,35,1,195
KALAMAZOOCOMSTOCK TOWNSHIP 8,2,513,8,0,0,0,0,0,0,0,42,1,529
KALAMAZOOCOOPER TOWNSHIP 1,6,297,7,0,0,0,0,0,0,0,23,0,411
KALAMAZOOCOOPER TOWNSHIP 2,6,391,7,0,0,0,0,0,0,0,47,0,477
KALAMAZOOCOOPER TOWNSHIP 3,8,762,28,0,0,0,0,0,0,0,88,0,765
KALAMAZOOCOOPER TOWNSHIP 4,6,617,5,0,0,0,0,0,0,0,74,1,1026
KALAMAZOOCOOPER TOWNSHIP 5,0,210,8,0,0,0,0,0,0,0,25,1,155
KALAMAZOOKALAMAZOO TOWNSHIP 1,1,124,8,0,0,0,0,0,0,0,12,0,117
KALAMAZOOKALAMAZOO TOWNSHIP 10,11,641,21,0,0,0,0,0,0,0,43,1,285
KALAMAZOOKALAMAZOO TOWNSHIP 11,10,473,14,0,0,0,0,0,0,0,43,1,196
KALAMAZOOKALAMAZOO TOWNSHIP 12,3,793,16,0,0,0,0,0,0,0,44,0,296
KALAMAZOOKALAMAZOO TOWNSHIP 2,4,399,15,0,0,0,0,0,0,0,33,1,301
KALAMAZOOKALAMAZOO TOWNSHIP 3,7,1064,27,0,0,0,0,0,0,0,73,1,617
KALAMAZOOKALAMAZOO TOWNSHIP 4,0,422,15,0,0,0,0,0,0,0,19,1,140
KALAMAZOOKALAMAZOO TOWNSHIP 5,3,954,19,0,0,0,0,0,0,0,69,1,365
KALAMAZOOKALAMAZOO TOWNSHIP 7,4,638,21,0,0,0,0,0,0,0,39,0,273
KALAMAZOOKALAMAZOO TOWNSHIP 8,2,310,3,0,0,0,0,0,0,0,15,1,85
KALAMAZOOKALAMAZOO TOWNSHIP 9,3,888,21,0,0,0,0,0,0,0,71,0,657
KALAMAZOOOSHTEMO TOWNSHIP 1,8,398,9,0,0,0,0,0,0,0,40,1,547
KALAMAZOOOSHTEMO TOWNSHIP 10,4,296,11,0,0,0,0,0,0,0,26,0,291
KALAMAZOOOSHTEMO TOWNSHIP 2,9,787,10,0,0,0,0,0,0,0,80,0,762
KALAMAZOOOSHTEMO TOWNSHIP 3,1,717,11,0,0,0,0,0,0,0,43,0,413
KALAMAZOOOSHTEMO TOWNSHIP 4,6,771,14,0,0,0,0,0,0,0,60,2,439
KALAMAZOOOSHTEMO TOWNSHIP 5,1,718,21,0,0,0,0,0,0,0,42,2,173
KALAMAZOOOSHTEMO TOWNSHIP 6,3,640,13,0,0,0,0,0,0,0,57,0,377
KALAMAZOOOSHTEMO TOWNSHIP 7,4,619,15,0,0,0,0,0,0,0,39,0,390
KALAMAZOOOSHTEMO TOWNSHIP 8,0,424,17,0,0,0,0,0,0,0,34,0,272
KALAMAZOOOSHTEMO TOWNSHIP 9,3,924,19,0,0,0,0,0,0,0,55,0,529
KALAMAZOOPARCHMENT CITY 1,6,487,16,0,0,0,0,0,0,0,55,0,353
KALAMAZOOPAVILION TOWNSHIP 1,3,536,14,0,0,0,0,0,0,0,68,0,806
KALAMAZOOPAVILION TOWNSHIP 2,3,274,8,0,0,0,0,0,0,0,35,0,484
KALAMAZOOPAVILION TOWNSHIP 3,6,374,15,0,0,0,0,0,0,0,35,1,409
KALAMAZOOPRAIRIE RONDE TOWNSHIP 1,3,435,13,0,0,0,0,0,0,0,58,0,874
KALAMAZOORICHLAND TOWNSHIP 1,6,684,9,0,0,0,0,0,0,0,81,0,930
KALAMAZOORICHLAND TOWNSHIP 2,2,458,4,0,0,0,0,0,0,0,65,0,611
KALAMAZOORICHLAND TOWNSHIP 3,2,765,13,0,0,0,0,0,0,0,85,3,830
KALAMAZOOROSS TOWNSHIP 1,6,554,14,0,0,0,0,0,0,0,79,0,834
KALAMAZOOROSS TOWNSHIP 2,2,604,4,0,0,0,0,0,0,0,40,1,885
KALAMAZOOSCHOOLCRAFT TOWNSHIP 1,2,467,10,0,0,0,0,0,0,0,49,2,582
KALAMAZOOSCHOOLCRAFT TOWNSHIP 2,1,287,7,0,0,0,0,0,0,0,27,0,429
KALAMAZOOSCHOOLCRAFT TOWNSHIP 3,3,680,18,0,0,0,0,0,0,0,85,0,917
KALAMAZOOSCHOOLCRAFT TOWNSHIP 4,5,295,5,0,0,0,0,0,0,0,20,0,524
KALAMAZOOTEXAS TOWNSHIP 1,4,575,10,0,0,0,0,0,0,0,60,0,840
KALAMAZOOTEXAS TOWNSHIP 2,4,562,13,0,0,0,0,0,0,0,61,0,790
KALAMAZOOTEXAS TOWNSHIP 3,1,571,4,0,0,0,0,0,0,0,50,1,509
KALAMAZOOTEXAS TOWNSHIP 4,3,839,5,0,0,0,0,0,0,0,73,0,848
KALAMAZOOTEXAS TOWNSHIP 5,6,855,16,0,0,0,0,0,0,0,76,0,857
KALAMAZOOTEXAS TOWNSHIP 6,9,722,7,0,0,0,0,0,0,0,75,0,928
KALAMAZOOWAKESHMA TOWNSHIP 1,3,161,5,0,0,0,0,0,0,0,31,1,430
KALKASKA9999,0,1,0,0,0,0,0,0,9,0,0,0,2
KALKASKABEAR LAKE TOWNSHIP 1,3,142,8,0,0,0,0,0,0,0,11,0,269
KALKASKABLUE LAKE TOWNSHIP 1,3,114,3,0,0,0,0,0,0,0,6,0,153
KALKASKABOARDMAN TOWNSHIP 1,0,156,5,0,0,0,0,0,0,0,22,0,528
KALKASKACLEARWATER TOWNSHIP 1,2,432,22,0,0,0,0,0,0,0,54,0,903
KALKASKACOLD SPRINGS TOWNSHIP 1,1,213,6,0,0,0,0,0,0,0,33,1,536
KALKASKAEXCELSIOR TOWNSHIP 1,1,116,4,0,0,0,0,0,0,0,12,0,338
KALKASKAGARFIELD TOWNSHIP 1,1,118,3,0,0,0,0,0,0,0,13,0,342
KALKASKAKALKASKA TOWNSHIP 1,1,261,18,0,0,0,0,0,0,0,53,1,878
KALKASKAKALKASKA TOWNSHIP 2,9,281,26,0,0,0,0,0,0,0,40,1,740
KALKASKAOLIVER TOWNSHIP 1,0,39,3,0,0,0,0,0,0,0,3,0,109
KALKASKAORANGE TOWNSHIP 1,0,113,7,0,0,0,0,0,0,0,14,0,470
KALKASKARAPID RIVER TOWNSHIP 1,2,128,8,0,0,0,0,0,0,0,7,0,407
KALKASKASPRINGFIELD TOWNSHIP 1,1,166,5,0,0,0,0,0,0,0,15,0,441
KENT9999,0,0,0,2,6,9,14,101,1422,9,0,0,0
KENTADA TOWNSHIP 1,5,388,12,0,0,0,0,0,0,0,49,0,440
KENTADA TOWNSHIP 2,1,766,5,0,0,0,0,0,0,0,96,0,839
KENTADA TOWNSHIP 3,6,375,5,0,0,0,0,0,0,0,42,0,562
KENTADA TOWNSHIP 4,1,299,6,0,0,0,0,0,0,0,22,0,508
KENTADA TOWNSHIP 5,6,505,13,0,0,0,0,0,0,0,81,0,884
KENTADA TOWNSHIP 6,0,284,5,0,0,0,0,0,0,0,34,0,320
KENTADA TOWNSHIP 7,3,371,8,0,0,0,0,0,0,0,33,1,439
KENTADA TOWNSHIP 8,5,336,6,0,0,0,0,0,0,0,36,0,449
KENTALGOMA TOWNSHIP 1,5,238,5,0,0,0,0,0,0,0,52,0,621
KENTALGOMA TOWNSHIP 2,12,318,8,0,0,0,0,0,0,0,41,0,789
KENTALGOMA TOWNSHIP 3,8,315,7,0,0,0,0,0,0,0,53,2,831
KENTALGOMA TOWNSHIP 4,2,408,10,0,0,0,0,0,0,0,66,0,708
KENTALGOMA TOWNSHIP 5,5,474,12,0,0,0,0,0,0,0,69,1,917
KENTALPINE TOWNSHIP 1,7,279,4,0,0,0,0,0,0,0,23,0,467
KENTALPINE TOWNSHIP 2,9,388,16,0,0,0,0,0,0,0,45,0,469
KENTALPINE TOWNSHIP 3,11,670,28,0,0,0,0,0,0,0,76,2,864
KENTALPINE TOWNSHIP 4,7,471,15,0,0,0,0,0,0,0,63,3,805
KENTALPINE TOWNSHIP 5,4,224,6,0,0,0,0,0,0,0,29,0,491
KENTALPINE TOWNSHIP 6,5,532,21,0,0,0,0,0,0,0,61,1,255
KENTBOWNE TOWNSHIP 1,11,414,12,0,0,0,0,0,0,0,84,0,1354
KENTBYRON TOWNSHIP 1,11,395,8,0,0,0,0,0,0,0,90,0,1357
KENTBYRON TOWNSHIP 2,5,555,5,0,0,0,0,0,0,0,84,2,1396
KENTBYRON TOWNSHIP 3,12,522,22,0,0,0,0,0,0,0,75,0,685
KENTBYRON TOWNSHIP 4,23,270,5,0,0,0,0,0,0,0,46,1,1194
KENTBYRON TOWNSHIP 5,10,344,10,0,0,0,0,0,0,0,83,0,1428
KENTBYRON TOWNSHIP 6,9,312,5,0,0,0,0,0,0,0,62,0,783
KENTBYRON TOWNSHIP 7,11,380,10,0,0,0,0,0,0,0,62,0,977
KENTBYRON TOWNSHIP 8,8,579,14,0,0,0,0,0,0,0,68,1,1015
KENTCALEDONIA TOWNSHIP 1,4,280,11,0,0,0,0,0,0,0,66,0,467
KENTCALEDONIA TOWNSHIP 2,4,649,28,0,0,0,0,0,0,0,98,0,1370
KENTCALEDONIA TOWNSHIP 3,9,617,10,0,0,0,0,0,0,0,101,0,1506
KENTCALEDONIA TOWNSHIP 4,3,303,6,0,0,0,0,0,0,0,32,0,696
KENTCALEDONIA TOWNSHIP 5,7,439,11,0,0,0,0,0,0,0,84,0,1085
KENTCANNON TOWNSHIP 1,7,525,13,0,0,0,0,0,0,0,56,0,936
KENTCANNON TOWNSHIP 2,7,415,18,0,0,0,0,0,0,0,77,1,911
KENTCANNON TOWNSHIP 3,4,479,6,0,0,0,0,0,0,0,60,0,752
KENTCANNON TOWNSHIP 4,5,555,9,0,0,0,0,0,0,0,71,0,1031
KENTCANNON TOWNSHIP 5,4,354,10,0,0,0,0,0,0,0,54,0,794
KENTCANNON TOWNSHIP 6,8,440,14,0,0,0,0,0,0,0,60,0,888
KENTCASCADE TOWNSHIP 1,0,406,8,0,0,0,0,0,0,0,46,0,670
KENTCASCADE TOWNSHIP 2,9,633,15,0,0,0,0,0,0,0,89,1,1032
KENTCASCADE TOWNSHIP 3,2,910,16,0,0,0,0,0,0,0,99,0,1149
KENTCASCADE TOWNSHIP 4,9,853,18,0,0,0,0,0,0,0,74,0,971
KENTCASCADE TOWNSHIP 5,5,353,11,0,0,0,0,0,0,0,43,0,622
KENTCASCADE TOWNSHIP 6,2,466,15,0,0,0,0,0,0,0,52,0,614
KENTCASCADE TOWNSHIP 7,5,501,15,0,0,0,0,0,0,0,45,0,517
KENTCASCADE TOWNSHIP 8,3,502,11,0,0,0,0,0,0,0,58,1,678
KENTCEDAR SPRINGS CITY 1,10,388,22,0,0,0,0,0,0,0,83,3,729
KENTCOURTLAND TOWNSHIP 1,9,493,13,0,0,0,0,0,0,0,46,2,920
KENTCOURTLAND TOWNSHIP 2,6,428,16,0,0,0,0,0,0,0,68,0,1037
KENTCOURTLAND TOWNSHIP 3,8,444,17,0,0,0,0,0,0,0,60,0,1064
KENTEAST GRAND RAPIDS CITY 1 WARD 1,2,675,12,0,0,0,0,0,0,0,55,0,405
KENTEAST GRAND RAPIDS CITY 2 WARD 1,1,673,13,0,0,0,0,0,0,0,34,0,463
KENTEAST GRAND RAPIDS CITY 3 WARD 2,0,674,6,0,0,0,0,0,0,0,45,0,452
KENTEAST GRAND RAPIDS CITY 4 WARD 2,3,661,14,0,0,0,0,0,0,0,48,0,373
KENTEAST GRAND RAPIDS CITY 5 WARD 3,0,708,4,0,0,0,0,0,0,0,45,1,377
KENTEAST GRAND RAPIDS CITY 6 WARD 3,2,755,15,0,0,0,0,0,0,0,37,0,342
KENTGAINES TOWNSHIP 1,8,320,9,0,0,0,0,0,0,0,57,0,1118
KENTGAINES TOWNSHIP 2,2,451,15,0,0,0,0,0,0,0,53,0,617
KENTGAINES TOWNSHIP 3,5,406,21,0,0,0,0,0,0,0,72,0,909
KENTGAINES TOWNSHIP 4,12,633,36,0,0,0,0,0,0,0,65,2,681
KENTGAINES TOWNSHIP 5,6,641,24,0,0,0,0,0,0,0,63,0,432
KENTGAINES TOWNSHIP 6,9,458,9,0,0,0,0,0,0,0,54,0,995
KENTGAINES TOWNSHIP 7,9,559,14,0,0,0,0,0,0,0,75,1,1225
KENTGAINES TOWNSHIP 8,11,465,12,0,0,0,0,0,0,0,74,0,965
KENTGAINES TOWNSHIP 9,4,582,7,0,0,0,0,0,0,0,37,0,611
KENTGRAND RAPIDS CITY 1 WARD 1,4,705,44,0,0,0,0,0,0,0,88,3,377
KENTGRAND RAPIDS CITY 10 WARD 1,1,612,21,0,0,0,0,0,0,0,52,2,467
KENTGRAND RAPIDS CITY 11 WARD 1,2,304,10,0,0,0,0,0,0,0,32,0,327
KENTGRAND RAPIDS CITY 12 WARD 1,6,531,24,0,0,0,0,0,0,0,41,1,211
KENTGRAND RAPIDS CITY 13 WARD 1,3,583,16,0,0,0,0,0,0,0,48,2,313
KENTGRAND RAPIDS CITY 14 WARD 1,7,668,53,0,0,0,0,0,0,0,78,2,537
KENTGRAND RAPIDS CITY 15 WARD 1,1,708,8,0,0,0,0,0,0,0,20,1,93
KENTGRAND RAPIDS CITY 16 WARD 1,0,700,11,0,0,0,0,0,0,0,20,0,110
KENTGRAND RAPIDS CITY 17 WARD 1,14,679,34,0,0,0,0,0,0,0,73,1,450
KENTGRAND RAPIDS CITY 18 WARD 1,2,439,7,0,0,0,0,0,0,0,13,0,35
KENTGRAND RAPIDS CITY 19 WARD 1,8,635,36,0,0,0,0,0,0,0,64,2,374
KENTGRAND RAPIDS CITY 2 WARD 1,3,375,12,0,0,0,0,0,0,0,42,1,145
KENTGRAND RAPIDS CITY 20 WARD 1,7,747,23,0,0,0,0,0,0,0,52,0,856
KENTGRAND RAPIDS CITY 21 WARD 1,7,552,10,0,0,0,0,0,0,0,69,0,817
KENTGRAND RAPIDS CITY 22 WARD 1,1,274,5,0,0,0,0,0,0,0,7,0,45
KENTGRAND RAPIDS CITY 23 WARD 1,3,594,20,0,0,0,0,0,0,0,64,0,737
KENTGRAND RAPIDS CITY 24 WARD 1,1,555,8,0,0,0,0,0,0,0,13,1,53
KENTGRAND RAPIDS CITY 25 WARD 2,0,605,37,0,0,0,0,0,0,0,43,2,128
KENTGRAND RAPIDS CITY 26 WARD 2,3,652,23,0,0,0,0,0,0,0,47,1,376
KENTGRAND RAPIDS CITY 27 WARD 2,1,520,28,0,0,0,0,0,0,0,35,0,253
KENTGRAND RAPIDS CITY 28 WARD 2,7,714,33,0,0,0,0,0,0,0,71,3,404
KENTGRAND RAPIDS CITY 29 WARD 2,7,569,30,0,0,0,0,0,0,0,48,0,228
KENTGRAND RAPIDS CITY 3 WARD 1,3,870,23,0,0,0,0,0,0,0,79,1,411
KENTGRAND RAPIDS CITY 30 WARD 2,5,821,41,0,0,0,0,0,0,0,67,3,336
KENTGRAND RAPIDS CITY 31 WARD 2,8,765,44,0,0,0,0,0,0,0,94,0,427
KENTGRAND RAPIDS CITY 32 WARD 2,3,489,13,0,0,0,0,0,0,0,51,1,186
KENTGRAND RAPIDS CITY 33 WARD 2,9,532,13,0,0,0,0,0,0,0,27,0,166
KENTGRAND RAPIDS CITY 34 WARD 2,10,835,23,0,0,0,0,0,0,0,62,0,419
KENTGRAND RAPIDS CITY 35 WARD 2,5,738,18,0,0,0,0,0,0,0,67,1,624
KENTGRAND RAPIDS CITY 36 WARD 2,7,356,12,0,0,0,0,0,0,0,35,1,230
KENTGRAND RAPIDS CITY 37 WARD 2,7,909,34,0,0,0,0,0,0,0,91,0,705
KENTGRAND RAPIDS CITY 38 WARD 2,6,957,55,0,0,0,0,0,0,0,78,2,345
KENTGRAND RAPIDS CITY 39 WARD 2,2,499,11,0,0,0,0,0,0,0,24,0,96
KENTGRAND RAPIDS CITY 4 WARD 1,7,861,18,0,0,0,0,0,0,0,49,1,238
KENTGRAND RAPIDS CITY 40 WARD 2,1,953,39,0,0,0,0,0,0,0,58,0,181
KENTGRAND RAPIDS CITY 41 WARD 2,7,782,23,0,0,0,0,0,0,0,102,2,725
KENTGRAND RAPIDS CITY 42 WARD 2,8,782,37,0,0,0,0,0,0,0,67,0,511
KENTGRAND RAPIDS CITY 43 WARD 2,4,563,25,0,0,0,0,0,0,0,64,2,504
KENTGRAND RAPIDS CITY 44 WARD 2,7,630,16,0,0,0,0,0,0,0,64,0,604
KENTGRAND RAPIDS CITY 45 WARD 2,14,740,18,0,0,0,0,0,0,0,88,0,676
KENTGRAND RAPIDS CITY 46 WARD 2,8,795,12,0,0,0,0,0,0,0,66,1,476
KENTGRAND RAPIDS CITY 47 WARD 2,8,754,14,0,0,0,0,0,0,0,43,0,475
KENTGRAND RAPIDS CITY 48 WARD 2,5,634,29,0,0,0,0,0,0,0,41,0,174
KENTGRAND RAPIDS CITY 49 WARD 2,0,931,38,0,0,0,0,0,0,0,74,0,195
KENTGRAND RAPIDS CITY 5 WARD 1,3,456,21,0,0,0,0,0,0,0,47,3,215
KENTGRAND RAPIDS CITY 50 WARD 2,3,1130,40,0,0,0,0,0,0,0,75,1,229
KENTGRAND RAPIDS CITY 51 WARD 3,5,724,9,0,0,0,0,0,0,0,44,0,281
KENTGRAND RAPIDS CITY 52 WARD 3,2,444,18,0,0,0,0,0,0,0,13,0,60
KENTGRAND RAPIDS CITY 53 WARD 3,6,819,13,0,0,0,0,0,0,0,82,2,773
KENTGRAND RAPIDS CITY 54 WARD 3,3,551,11,0,0,0,0,0,0,0,47,0,450
KENTGRAND RAPIDS CITY 55 WARD 3,7,864,21,0,0,0,0,0,0,0,67,1,587
KENTGRAND RAPIDS CITY 56 WARD 3,8,787,15,0,0,0,0,0,0,0,67,1,533
KENTGRAND RAPIDS CITY 57 WARD 3,5,566,7,0,0,0,0,0,0,0,31,0,264
KENTGRAND RAPIDS CITY 58 WARD 3,3,712,15,0,0,0,0,0,0,0,46,0,479
KENTGRAND RAPIDS CITY 59 WARD 3,7,1030,23,0,0,0,0,0,0,0,87,0,458
KENTGRAND RAPIDS CITY 6 WARD 1,5,761,19,0,0,0,0,0,0,0,59,0,788
KENTGRAND RAPIDS CITY 60 WARD 3,2,1205,41,0,0,0,0,0,0,0,59,0,167
KENTGRAND RAPIDS CITY 61 WARD 3,4,459,14,0,0,0,0,0,0,0,21,0,117
KENTGRAND RAPIDS CITY 62 WARD 3,1,821,14,0,0,0,0,0,0,0,30,1,115
KENTGRAND RAPIDS CITY 63 WARD 3,6,809,14,0,0,0,0,0,0,0,34,0,120
KENTGRAND RAPIDS CITY 64 WARD 3,5,817,20,0,0,0,0,0,0,0,54,0,227
KENTGRAND RAPIDS CITY 65 WARD 3,4,779,16,0,0,0,0,0,0,0,43,3,286
KENTGRAND RAPIDS CITY 66 WARD 3,1,980,17,0,0,0,0,0,0,0,9,1,52
KENTGRAND RAPIDS CITY 67 WARD 3,2,1131,10,0,0,0,0,0,0,0,16,0,89
KENTGRAND RAPIDS CITY 68 WARD 3,2,899,10,0,0,0,0,0,0,0,39,0,199
KENTGRAND RAPIDS CITY 69 WARD 3,3,506,7,0,0,0,0,0,0,0,37,0,477
KENTGRAND RAPIDS CITY 7 WARD 1,2,271,5,0,0,0,0,0,0,0,28,0,333
KENTGRAND RAPIDS CITY 70 WARD 3,2,741,3,0,0,0,0,0,0,0,14,1,24
KENTGRAND RAPIDS CITY 71 WARD 3,7,798,10,0,0,0,0,0,0,0,49,0,154
KENTGRAND RAPIDS CITY 72 WARD 3,2,411,24,0,0,0,0,0,0,0,25,0,159
KENTGRAND RAPIDS CITY 73 WARD 3,4,493,16,0,0,0,0,0,0,0,42,1,256
KENTGRAND RAPIDS CITY 74 WARD 3,4,569,20,0,0,0,0,0,0,0,43,0,243
KENTGRAND RAPIDS CITY 75 WARD 3,1,564,18,0,0,0,0,0,0,0,29,0,83
KENTGRAND RAPIDS CITY 76 WARD 3,2,649,24,0,0,0,0,0,0,0,25,0,52
KENTGRAND RAPIDS CITY 77 WARD 3,7,612,10,0,0,0,0,0,0,0,56,0,257
KENTGRAND RAPIDS CITY 8 WARD 1,3,549,14,0,0,0,0,0,0,0,49,1,390
KENTGRAND RAPIDS CITY 9 WARD 1,2,637,18,0,0,0,0,0,0,0,57,2,198
KENTGRAND RAPIDS TOWNSHIP 1,1,453,5,0,0,0,0,0,0,0,45,2,660
KENTGRAND RAPIDS TOWNSHIP 2,10,605,16,0,0,0,0,0,0,0,70,0,716
KENTGRAND RAPIDS TOWNSHIP 3,0,670,13,0,0,0,0,0,0,0,50,0,698
KENTGRAND RAPIDS TOWNSHIP 4,1,235,11,0,0,0,0,0,0,0,13,0,220
KENTGRAND RAPIDS TOWNSHIP 5,0,496,9,0,0,0,0,0,0,0,36,0,442
KENTGRAND RAPIDS TOWNSHIP 6,4,553,11,0,0,0,0,0,0,0,42,0,748
KENTGRAND RAPIDS TOWNSHIP 7,10,298,7,0,0,0,0,0,0,0,20,0,396
KENTGRAND RAPIDS TOWNSHIP 8,3,596,2,0,0,0,0,0,0,0,65,0,741
KENTGRAND RAPIDS TOWNSHIP 9,7,643,15,0,0,0,0,0,0,0,70,0,853
KENTGRANDVILLE CITY 1,8,393,12,0,0,0,0,0,0,0,69,1,669
KENTGRANDVILLE CITY 2,4,479,18,0,0,0,0,0,0,0,92,2,765
KENTGRANDVILLE CITY 3,10,463,16,0,0,0,0,0,0,0,80,0,994
KENTGRANDVILLE CITY 4,4,523,14,0,0,0,0,0,0,0,98,0,971
KENTGRANDVILLE CITY 5,12,527,16,0,0,0,0,0,0,0,71,0,1020
KENTGRANDVILLE CITY 6,2,434,14,0,0,0,0,0,0,0,75,0,781
KENTGRATTAN TOWNSHIP 1,7,274,7,0,0,0,0,0,0,0,53,0,722
KENTGRATTAN TOWNSHIP 2,7,417,11,0,0,0,0,0,0,0,48,0,675
KENTKENTWOOD CITY 1 WARD 1,4,611,14,0,0,0,0,0,0,0,39,1,522
KENTKENTWOOD CITY 10 WARD 2,4,923,15,0,0,0,0,0,0,0,88,1,680
KENTKENTWOOD CITY 11 WARD 2,8,1005,10,0,0,0,0,0,0,0,72,1,876
KENTKENTWOOD CITY 12 WARD 2,8,1211,19,0,0,0,0,0,0,0,62,1,558
KENTKENTWOOD CITY 13 WARD 2,3,663,16,0,0,0,0,0,0,0,41,1,589
KENTKENTWOOD CITY 14 WARD 2,9,1001,33,0,0,0,0,0,0,0,84,1,634
KENTKENTWOOD CITY 15 WARD 2,6,1018,23,0,0,0,0,0,0,0,48,0,345
KENTKENTWOOD CITY 16 WARD 2,5,979,18,0,0,0,0,0,0,0,66,1,900
KENTKENTWOOD CITY 2 WARD 1,10,887,32,0,0,0,0,0,0,0,101,1,821
KENTKENTWOOD CITY 3 WARD 1,10,526,9,0,0,0,0,0,0,0,50,0,492
KENTKENTWOOD CITY 4 WARD 1,3,367,10,0,0,0,0,0,0,0,39,1,305
KENTKENTWOOD CITY 5 WARD 1,4,307,9,0,0,0,0,0,0,0,29,1,329
KENTKENTWOOD CITY 6 WARD 1,5,644,20,0,0,0,0,0,0,0,44,2,588
KENTKENTWOOD CITY 7 WARD 1,6,679,18,0,0,0,0,0,0,0,52,1,444
KENTKENTWOOD CITY 8 WARD 1,9,797,20,0,0,0,0,0,0,0,93,1,798
KENTKENTWOOD CITY 9 WARD 1,4,755,23,0,0,0,0,0,0,0,51,2,496
KENTLOWELL CITY 1,7,427,12,0,0,0,0,0,0,0,62,1,528
