precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
BALDWINNORTH MILLEDGEVILLE,240,3,90,1,3,34,0,76,0,0,3,21,0,1,123,1,221,669,33,757,334,1459
BALDWINSCOTTSBORO,69,0,21,1,3,22,1,42,0,0,0,2,0,0,23,0,102,219,8,386,91,613
BALDWINSOUTH MILLEDGEVILLE,200,1,44,0,1,5,0,8,0,0,0,6,0,0,26,0,24,524,24,131,245,679
BALDWINWEST BALDWIN,225,1,45,3,2,29,1,78,1,0,1,24,0,0,77,0,153,539,31,608,274,1178
BALDWINWEST HARDWICK,569,0,78,1,7,21,0,37,0,0,0,1,0,0,45,0,92,1337,24,366,648,1727
BANKSANDERSON,23,1,30,0,1,31,0,106,3,0,3,16,0,1,54,1,232,84,17,737,54,838
BANKSBALDWIN,14,0,16,0,2,17,0,85,0,0,3,12,0,0,38,1,95,67,8,433,30,508
BANKSBERLIN,6,1,6,0,0,9,0,30,0,0,1,4,0,0,12,0,73,17,1,188,13,206
BANKSBUSHVILLE,5,0,10,0,0,25,0,57,1,0,0,3,0,0,22,0,107,29,11,374,15,414
BANKSCOLUMBIA,0,0,5,0,2,8,1,55,0,0,0,0,0,0,8,0,67,21,4,224,5,249
BANKSDAVIDS,30,3,18,1,5,39,0,141,0,0,0,5,0,1,79,1,235,103,27,821,52,951
BANKSGOLDEN HILL,11,0,16,0,0,12,0,69,0,0,2,6,0,0,18,0,127,57,8,410,27,475
BANKSGROVE RIVER,4,0,6,0,0,5,0,53,0,0,1,2,0,1,14,0,116,21,4,309,10,334
BANKSHOLLINGSWORTH,10,0,10,0,0,17,0,47,0,0,1,4,0,1,19,0,112,48,6,368,20,422
BANKSHOMER,28,0,14,0,1,19,3,132,0,0,4,7,0,1,62,1,214,80,16,746,42,842
BANKSNAN,172,7,169,3,15,251,7,1050,6,0,22,84,1,6,444,5,1809,684,132,6134,351,6950
BANKSPOPLAR SPRINGS,24,1,19,2,2,42,2,158,1,0,1,11,1,1,51,0,250,79,18,839,46,936
BANKSWASHINGTON,10,0,9,0,1,14,1,69,0,0,5,10,0,0,30,1,91,48,8,343,19,399
BANKSWILMONTS,7,1,10,0,1,13,0,48,1,0,1,4,0,0,37,0,90,30,4,342,18,376
BARROW01 BETHLEHEM COMMUNITY CENTER,76,1,70,1,1,39,0,204,0,0,1,10,1,7,130,2,304,365,73,1339,148,1777
BARROW02 BETHABRA BAPTIST CHURCH,80,1,50,1,3,72,0,285,2,0,1,49,0,2,200,1,389,423,61,1775,132,2259
BARROW03 BRAMLETT ELEMENTARY SCHOOL,56,1,64,0,2,34,0,229,1,0,1,16,0,1,112,0,294,337,74,1318,121,1729
BARROW04 WESTSIDE MIDDLE SCHOOL,50,0,52,2,2,28,1,199,1,0,2,12,1,0,73,0,265,284,62,1117,104,1463
BARROW05 FIRE STATION 1 (STATHAM),178,0,85,3,7,84,3,363,2,1,2,47,1,1,231,0,415,645,95,2009,266,2749
