precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
COBBHIGHTOWER 01,241,0,216,0,10,44,1,238,2,0,1,153,0,2,576,0,418,1149,196,1713,457,3058
COBBKELL 01,82,0,106,2,2,31,0,136,0,0,1,47,0,5,203,0,197,462,102,842,190,1406
COBBKEMP 01,84,0,69,1,3,37,0,158,0,0,0,40,0,0,253,1,224,336,66,943,154,1345
COBBKEMP 02,285,2,162,2,8,69,0,258,1,0,0,61,0,5,348,0,407,980,104,1645,451,2729
COBBKEMP 03,177,0,102,0,6,57,0,327,1,0,3,95,0,2,423,1,420,633,98,2035,279,2766
COBBKENNESAW 1A,128,0,149,3,1,20,0,119,0,0,1,33,0,3,144,0,175,655,76,689,280,1420
COBBKENNESAW 2A,199,0,153,0,2,52,0,218,0,1,1,34,0,5,220,1,253,938,116,1252,352,2306
COBBKENNESAW 3A,389,0,269,2,2,43,0,149,1,0,0,46,0,2,235,0,262,1913,160,1232,660,3305
COBBKENNESAW 4A,212,2,203,1,6,40,1,179,3,0,1,43,0,3,235,0,240,1005,122,1157,418,2284
COBBKENNESAW 5A,436,0,254,0,5,60,0,304,3,0,0,86,0,7,460,0,382,1716,206,1794,690,3716
COBBLASSSITER 01,182,1,111,1,0,53,0,259,1,0,1,93,0,3,437,0,328,844,124,1609,295,2577
COBBLEWIS 01,77,0,56,0,3,22,0,128,3,0,0,25,1,0,153,0,170,325,46,771,133,1142
COBBLINDLEY 01,644,3,269,0,2,31,0,120,0,0,1,38,0,2,220,0,147,2178,107,798,916,3083
COBBLOST MOUNTAIN 01,236,1,96,0,5,48,0,293,0,0,1,64,0,2,340,0,375,739,81,1569,333,2389
COBBLOST MOUNTAIN 02,165,2,115,0,1,64,1,321,1,0,1,108,0,0,525,1,427,685,126,2116,282,2927
COBBLOST MOUNTAIN 03,308,0,145,2,3,78,2,384,0,0,4,76,0,5,503,0,466,1081,141,2346,455,3568
COBBLOST MOUNTAIN 04,125,1,58,0,4,49,0,188,3,0,1,49,0,4,288,0,267,560,69,1239,184,1868
COBBMABLETON 01,640,3,214,2,2,50,0,160,1,2,1,33,1,2,157,0,289,1805,81,983,859,2869
COBBMABLETON 02,277,0,97,1,0,13,0,65,1,0,2,6,0,0,63,0,153,952,29,506,375,1487
COBBMABLETON 03,250,1,133,0,3,38,0,134,1,0,0,25,1,1,158,0,231,910,85,833,384,1828
COBBMABLETON 04,125,0,77,0,1,17,2,100,0,1,0,37,0,3,155,0,139,471,69,537,202,1077
COBBMABRY 01,79,0,65,1,4,27,0,143,1,0,1,64,0,3,229,0,175,394,66,798,145,1258
COBBMACLAND 01,479,1,131,0,2,21,2,122,0,1,0,32,0,1,117,0,172,1556,55,744,611,2355
COBBMARIETTA 1A,249,1,199,1,5,5,1,64,1,0,0,24,0,0,116,0,120,1192,107,498,450,1797
COBBMARIETTA 2A,139,1,115,1,3,41,1,159,1,0,0,49,0,2,330,0,214,539,91,948,256,1578
COBBMARIETTA 2B,385,1,179,0,8,44,0,183,1,0,0,64,0,2,355,0,273,1495,107,1071,565,2673
COBBMARIETTA 3A,521,0,345,1,13,64,0,205,4,2,1,90,1,4,464,0,340,2103,177,1501,867,3781
COBBMARIETTA 4A,116,2,50,1,7,36,1,143,1,1,0,61,0,1,399,1,272,372,70,1009,169,1451
COBBMARIETTA 4B,135,1,99,1,3,21,0,91,0,0,0,57,0,1,183,0,111,615,73,627,236,1315
COBBMARIETTA 4C,199,1,95,0,9,37,2,203,1,0,0,73,0,2,399,0,258,651,61,1233,295,1945
COBBMARIETTA 5A,294,2,139,0,0,14,1,34,0,0,2,16,0,1,93,0,69,1298,61,383,435,1742
COBBMARIETTA 5B,189,0,117,1,1,9,0,34,0,0,0,10,0,0,50,0,57,921,53,293,307,1267
COBBMARIETTA 6A,152,1,136,0,1,17,1,47,0,0,0,11,0,1,47,0,58,914,66,309,289,1289
COBBMARIETTA 6B,259,0,128,1,6,35,1,139,2,0,1,63,0,0,320,1,163,930,80,915,388,1925
COBBMARIETTA 7A,234,1,156,0,2,6,1,38,0,1,0,17,1,2,46,1,70,1222,52,275,391,1549
COBBMARS HILL 01,116,0,78,1,2,54,0,232,1,0,0,49,1,2,258,0,385,472,71,1639,195,2182
COBBMARS HILL 02,143,0,127,0,6,44,0,198,0,0,1,20,0,1,159,0,218,648,79,1029,270,1756
COBBMCCLESKEY 01,101,0,70,0,1,39,0,125,0,0,0,62,0,0,181,0,199,442,52,753,171,1247
COBBMCCLURE 01,82,0,66,1,2,30,0,138,1,0,2,23,1,1,188,0,151,326,50,748,149,1124
COBBMCEACHERN 01,350,1,113,1,2,30,0,187,0,0,0,26,0,1,156,0,259,1105,50,1003,465,2158
COBBMOUNT BETHEL 01,255,2,151,1,11,57,0,187,1,0,0,174,0,1,611,0,392,1177,152,1671,409,3000
COBBMOUNT BETHEL 03,182,0,122,0,0,35,0,124,2,0,0,108,0,1,364,1,283,959,74,1182,304,2215
COBBMOUNT BETHEL 04,169,0,122,0,6,35,4,173,1,0,0,118,0,0,421,0,268,809,103,1238,291,2150
COBBMURDOCK 01,224,1,183,0,4,58,1,273,0,2,4,133,1,4,484,1,411,1039,173,1614,408,2826
COBBNAN,39509,137,22520,86,511,5157,116,23749,112,25,129,8491,22,287,38769,40,34789,160121,14466,152912,62252,327499
COBBNICHOLSON 01,125,0,152,1,4,43,0,193,0,0,1,26,0,3,198,0,214,571,87,977,278,1635
COBBNICKAJACK 01,466,2,269,2,3,19,0,60,2,0,0,41,0,3,238,1,110,2104,155,704,739,2963
COBBNORTH COBB 01,152,1,84,0,2,39,0,131,0,0,0,22,0,3,152,0,210,597,71,788,237,1456
COBBNORTON PARK 01,338,2,202,1,5,45,1,168,0,0,2,34,0,4,238,1,269,1415,135,1074,543,2624
COBBOAKDALE 01,347,1,185,0,4,25,2,138,1,0,0,72,0,4,299,0,213,1384,103,1086,533,2573
COBBOREGON 01,93,1,63,0,8,20,1,142,0,1,0,31,0,0,219,1,174,389,55,762,157,1206
COBBOREGON 02,495,0,164,1,2,17,0,102,0,0,1,24,0,1,145,0,139,2309,110,861,660,3280
COBBOREGON 03,284,1,151,0,3,23,0,88,0,0,0,23,0,4,86,0,133,1188,69,577,436,1834
COBBOREGON 04,738,1,302,0,3,43,2,172,1,0,1,24,0,2,157,0,267,1776,72,725,1041,2573
COBBOREGON 05,410,1,167,0,8,54,2,230,0,0,0,55,0,2,281,0,256,1281,109,1133,578,2523
COBBPALMER 01,122,0,128,1,3,32,1,197,1,0,3,27,0,7,188,0,247,588,101,1043,251,1732
COBBPEBBLEBROOK 01,800,3,242,3,2,23,0,88,0,0,1,7,0,1,50,0,122,2291,70,501,1048,2862
COBBPINE MOUNTAIN 01,161,0,78,0,6,46,1,199,0,0,0,57,0,0,497,1,280,685,102,1608,239,2395
COBBPINE MOUNTAIN 02,110,0,69,0,3,50,1,236,0,0,1,79,0,2,513,0,316,504,76,1600,179,2180
COBBPITNER 01,134,0,148,1,3,38,1,163,1,0,2,48,0,0,242,0,238,648,92,1089,283,1829
COBBPOPE 01,192,1,138,1,2,42,1,201,0,0,0,66,0,2,368,0,299,800,107,1317,332,2224
COBBPOST OAK 01,183,3,167,0,4,53,0,285,4,0,1,98,0,1,444,1,347,850,131,1631,353,2612
COBBPOWDER SPRINGS 1A,513,1,183,1,0,37,0,176,1,0,1,44,0,1,202,0,212,1639,87,928,698,2654
COBBPOWDER SPRINGS 2A,488,2,131,2,0,18,0,72,1,1,0,7,0,1,53,0,114,1456,62,415,623,1933
COBBPOWDER SPRINGS 3A,465,4,166,1,2,26,3,86,0,1,1,18,0,2,101,0,186,1450,56,624,636,2130
COBBPOWERS FERRY 01,204,1,202,0,8,49,1,191,0,1,0,51,0,4,294,0,260,965,118,1102,407,2185
COBBRIVERSIDE 01,269,0,73,0,0,3,0,19,0,0,0,1,0,0,8,0,24,910,24,85,342,1019
COBBROCKY MOUNTAIN 01,185,1,140,0,5,40,2,229,2,0,2,64,0,1,347,0,311,854,111,1383,326,2348
COBBROSWELL 01,351,3,257,0,8,76,2,326,3,0,0,193,0,2,848,1,499,1534,186,2293,611,4013
COBBROSWELL 02,190,1,133,0,0,40,2,202,1,1,0,130,0,2,556,1,309,1043,143,1453,324,2639
COBBSANDY PLAINS 01,182,3,144,0,3,40,4,207,1,0,1,48,0,2,229,0,237,851,105,1053,329,2009
COBBSEWELL MILL 01,211,0,160,0,1,48,0,194,0,0,1,85,0,0,408,0,307,979,110,1272,371,2361
COBBSEWELL MILL 03,293,1,260,0,2,36,3,192,1,1,1,72,1,4,325,1,280,1376,132,1213,554,2721
COBBSHALLOWFORD FALL 01,221,1,186,1,4,25,0,216,0,0,2,121,0,3,514,0,310,920,112,1403,409,2435
COBBSIMPSON 01,89,0,64,0,1,21,1,94,1,0,1,72,0,0,236,0,155,537,58,768,153,1363
COBBSMYRNA 1A,378,1,203,0,3,17,1,72,1,1,1,35,0,1,141,0,104,1596,104,489,582,2189
COBBSMYRNA 2A,490,1,307,2,3,28,0,103,0,0,3,61,0,2,180,0,154,2208,153,787,800,3148
COBBSMYRNA 3A,546,4,305,0,4,40,0,159,1,0,1,97,0,4,388,0,303,2253,220,1376,855,3849
COBBSMYRNA 4A,536,0,278,1,9,64,1,272,1,0,2,137,0,4,552,0,379,2070,237,1770,815,4077
COBBSMYRNA 5A,339,1,216,0,5,23,1,98,1,0,2,33,0,6,141,0,159,1370,86,684,556,2140
COBBSMYRNA 6A,528,2,341,1,8,31,2,227,0,0,1,124,0,2,555,1,362,2168,215,1641,872,4024
COBBSMYRNA 7A,765,2,262,1,5,27,2,170,0,0,0,125,1,2,485,1,224,2628,191,1358,1030,4177
COBBSOPE CREEK 01,128,1,90,1,0,32,0,141,1,0,1,96,0,3,350,0,240,585,81,978,220,1644
COBBSOPE CREEK 02,300,1,162,0,2,45,1,209,1,0,0,139,1,2,465,1,335,1364,150,1491,463,3005
COBBSOPE CREEK 03,145,2,104,0,0,33,2,132,1,0,1,108,0,2,368,0,305,723,86,1228,251,2037
COBBSWEETWATER 01,320,0,137,1,2,32,1,153,1,0,1,23,0,3,129,0,223,1151,50,897,458,2098
COBBSWEETWATER 02,277,0,113,2,2,11,0,56,0,0,1,17,1,0,65,1,89,1145,39,383,392,1567
COBBTERRELL MILL 01,361,0,240,0,2,39,1,145,1,0,1,81,0,0,239,0,186,1999,157,873,601,3029
COBBTIMBER RIDGE 01,174,1,98,1,5,29,1,146,0,0,0,117,1,1,388,0,225,768,88,1002,274,1858
COBBVAUGHN 01,145,2,99,0,4,45,0,324,0,1,3,63,1,0,328,0,320,599,100,1541,246,2240
COBBVININGS 01,201,2,106,0,1,19,0,72,1,0,0,62,0,0,194,0,113,861,65,585,309,1511
COBBVININGS 02,446,2,302,0,2,32,2,120,1,0,3,108,1,1,378,1,242,2240,184,1227,750,3651
COBBVININGS 03,345,3,191,0,5,28,0,114,0,1,0,81,0,1,332,0,202,1605,122,992,539,2719
COBBVININGS 04,199,1,140,0,12,27,0,162,3,0,2,170,0,2,455,0,232,1018,96,1273,340,2387
COBBWADE GREEN 02,348,1,212,0,4,71,1,257,2,0,1,57,0,8,302,1,297,1364,159,1417,561,2940
COBBWILEO 01,167,1,135,1,5,35,3,169,1,0,1,98,0,2,432,0,250,752,110,1257,304,2119
COFFEEAMBROSE,59,0,13,1,2,33,0,79,0,0,2,3,0,0,35,0,287,230,18,1008,73,1256
COFFEEBRIDGETOWN,24,0,2,0,1,7,0,18,1,0,0,0,0,0,3,0,40,50,1,151,26,202
COFFEEBROXTON,118,1,38,0,6,55,0,114,0,0,2,8,0,1,72,0,284,371,28,1105,157,1504
COFFEEDOUGLAS,824,8,224,7,23,267,1,537,1,2,9,103,1,0,410,0,1497,3173,172,5975,1063,9320
COFFEENAN,1094,10,309,8,36,411,2,876,2,2,16,120,1,1,580,0,2472,4094,233,9588,1421,13915
COFFEENICHOLLS,53,0,15,0,0,22,0,78,0,0,2,2,0,0,25,0,204,225,7,797,68,1029
COFFEEWEST GREEN,16,1,17,0,4,27,1,50,0,0,1,4,0,0,35,0,160,45,7,552,34,604
COLQUITTAUTREYVILLE,24,0,11,1,3,38,0,97,0,0,1,4,0,1,49,0,176,147,13,627,36,787
COLQUITTBRIDGECREEK,16,0,16,0,3,26,0,95,0,0,2,12,0,1,49,0,206,76,11,689,32,776
COLQUITTCROSLAND,20,0,1,0,1,3,0,19,0,0,0,1,0,0,7,0,35,38,3,104,21,145
COLQUITTDOERUN,57,0,10,0,5,22,0,26,0,0,3,5,0,0,7,0,102,149,6,251,67,406
COLQUITTFUNSTON,28,0,13,0,7,28,0,92,0,0,6,16,0,0,37,0,178,86,8,573,41,667
COLQUITTHAMILTON,9,1,22,0,3,17,0,53,0,0,1,3,0,2,26,0,123,51,5,399,32,455
COLQUITTHARTSFIELD,2,0,4,0,0,20,0,45,0,0,0,0,1,0,18,0,83,23,1,265,6,289
COLQUITTHOPEWELL,35,0,13,2,4,44,0,115,0,0,0,13,0,1,89,0,243,139,13,805,50,957
COLQUITTLEE,20,2,13,0,1,13,0,64,0,0,0,8,0,0,16,1,154,75,10,483,35,568
COLQUITTMILLCREEK,5,0,5,0,10,10,0,33,0,1,0,1,0,0,11,0,85,27,6,245,10,278
COLQUITTMONK,50,2,13,0,1,20,0,100,0,0,0,4,0,0,36,0,251,131,15,745,65,891
COLQUITTMOULTRIE,252,0,69,3,23,115,4,198,3,0,2,90,0,0,203,3,390,901,71,1522,324,2494
COLQUITTMURPHY,20,1,8,0,5,32,2,78,2,0,2,15,0,1,82,0,141,62,15,559,29,636
COLQUITTNAN,1035,12,302,11,82,509,11,1400,5,2,21,199,1,7,773,4,2968,3463,240,9898,1360,13601
COLQUITTNORMAN PARK,72,1,34,0,9,51,1,149,0,0,1,14,0,0,53,0,282,279,26,1007,107,1312
COLQUITTROBINSON,21,0,17,0,1,21,2,67,0,1,1,3,0,1,27,0,140,82,8,431,38,521
COLQUITTSHAW,380,4,33,4,2,13,1,48,0,0,1,5,0,0,17,0,95,1089,20,317,421,1426
COLQUITTTHIGPEN,3,0,4,0,0,5,0,22,0,0,0,2,0,0,13,0,40,17,1,128,7,146
COLQUITTTYTY,1,1,5,0,1,13,0,30,0,0,1,1,0,0,9,0,79,22,2,254,7,278
COLQUITTWARRIOR,20,0,11,1,3,18,1,69,0,0,0,2,0,0,24,0,165,69,6,494,32,569
COLUMBIAABILENE BAPTIST,95,1,57,0,1,49,5,154,0,0,2,16,0,2,62,0,225,343,40,880,153,1263
COLUMBIAAUGUSTA CHRISTIAN,79,0,71,1,3,49,0,172,2,0,0,24,0,2,124,0,216,423,58,967,151,1448
COLUMBIABELAIR BAPTIST CHURCH,137,0,67,1,2,58,1,220,0,2,1,22,0,2,170,0,228,457,60,1039,205,1556
COLUMBIABESSIE THOMAS CENTER,30,0,29,1,1,47,0,226,0,0,1,9,0,1,72,0,249,160,26,1074,60,1260
COLUMBIABLANCHARD PARK,63,0,44,0,2,46,0,152,0,1,1,9,0,2,96,0,181,257,39,822,107,1118
COLUMBIABLUE RIDGE ELEMENTARY,88,0,68,2,2,60,0,153,0,0,1,21,0,1,131,0,183,420,66,989,158,1475
COLUMBIACHRIST CHURCH,93,0,57,0,1,81,0,299,0,0,0,53,0,2,215,0,267,441,97,1381,150,1919
COLUMBIACHRIST SANCTIFIED,108,2,54,0,5,53,0,216,0,0,4,27,0,3,133,0,251,396,68,1109,164,1573
COLUMBIACHRIST THE KING LUTH CH,118,0,40,0,5,40,0,177,0,1,1,49,0,0,197,0,244,414,31,1063,158,1508
COLUMBIACHURCH OF OUR SAVIOR,96,1,80,0,1,35,0,161,0,0,0,27,0,0,111,0,236,486,50,876,177,1412
COLUMBIACOL CTY BD OF EDU,103,0,54,0,1,40,1,180,1,0,1,24,0,1,128,0,204,399,37,972,157,1408
COLUMBIACOL CTY MAIN LIBRARY,128,0,46,0,4,39,1,157,0,1,0,30,0,2,123,0,164,411,33,777,174,1221
COLUMBIADAMASCUS BAPTIST CHURCH,12,0,12,1,4,25,1,104,3,0,0,17,0,0,41,0,176,68,11,576,25,655
COLUMBIAEUBANK/BLANCHARD CENTER,77,0,25,1,1,36,0,130,0,0,0,12,0,1,56,0,154,208,17,673,103,898
COLUMBIAG A APOSTOLIC CHURCH,85,0,35,1,2,31,0,149,0,0,1,7,0,3,67,1,155,256,18,701,121,975
COLUMBIAGENESIS CHURCH,73,0,43,0,3,52,0,193,0,1,1,45,0,1,156,0,198,347,48,926,116,1321
COLUMBIAGOLD CROSS EMS,68,0,48,1,10,51,2,186,0,0,1,40,0,0,124,0,206,284,53,964,117,1301
COLUMBIAGOSPEL WATER BRANCH,111,0,39,1,1,49,0,141,0,0,1,30,0,0,140,0,132,392,31,712,151,1135
COLUMBIAGRACE BAPTIST CHURCH,223,0,98,2,1,64,0,241,0,1,1,46,0,3,201,1,247,767,74,1334,323,2175
COLUMBIAGREENBRIER HIGH,78,0,44,1,3,74,0,224,1,0,1,58,0,1,198,1,258,387,85,1393,123,1865
COLUMBIAGROVETOWN CITY HALL,212,1,83,0,2,36,1,130,0,0,1,7,0,1,71,0,192,812,75,883,296,1770
COLUMBIAGROVETOWN METHODIST CHURCH,195,0,70,2,3,17,0,98,0,0,0,7,0,0,64,0,126,600,46,536,267,1182
COLUMBIAGROVETOWN MIDDLE SCHOOL,163,2,75,0,0,25,0,139,0,0,0,20,0,0,72,0,136,713,69,695,240,1477
COLUMBIAHARLEM BAPTIST CHURCH-10,85,1,19,1,1,11,0,64,0,0,0,4,0,0,20,0,53,219,15,346,106,580
COLUMBIAHARLEM BAPTIST CHURCH-12,93,1,13,1,0,7,0,45,0,0,1,2,0,0,22,1,38,204,8,259,108,471
COLUMBIAHARLEM MIDDLE SCHOOL-10,20,2,10,0,1,16,0,56,0,0,0,3,0,2,23,0,75,63,12,289,32,364
COLUMBIAHARLEM MIDDLE SCHOOL-12,48,0,19,0,1,23,0,109,0,0,0,2,0,0,30,0,142,185,15,601,67,801
COLUMBIAJOURNEY COMM. CHURCH,26,0,15,0,1,20,0,98,0,0,0,14,0,0,85,1,121,107,20,459,41,586
COLUMBIAKIOKEE BAPTIST CHURCH-10,16,0,11,0,0,16,0,110,0,0,0,7,0,0,43,0,111,52,12,502,27,566
COLUMBIAKIOKEE BAPTIST CHURCH-12,38,0,15,0,0,49,0,189,0,0,3,22,1,0,108,0,245,125,35,1022,53,1182
COLUMBIALAKESIDE MIDDLE,64,0,57,0,6,38,0,174,0,0,1,16,0,1,112,0,129,349,58,812,121,1219
COLUMBIALEWIS METHODIST CHURCH,207,2,91,0,9,104,4,341,2,0,1,41,0,2,322,0,393,861,127,2014,300,3002
COLUMBIAMARTINEZ BAPTIST,84,0,62,0,2,23,0,117,0,0,1,10,0,1,71,0,151,349,45,676,146,1070
COLUMBIAMARVIN METHODIST CHURCH,94,2,51,1,2,41,0,139,0,0,1,21,0,3,91,0,173,388,49,770,148,1207
COLUMBIAMTZ COL FIRE DEPT #4,98,1,54,2,3,42,0,146,0,0,1,5,0,0,72,0,170,415,61,729,155,1205
COLUMBIAMTZ COL FIRE HDQTR,51,0,33,1,0,19,0,89,1,0,1,4,0,0,54,0,111,269,32,491,85,792
COLUMBIANAN,4806,23,2338,24,112,2126,26,8051,16,8,37,1134,1,54,5751,8,9181,18887,2270,43085,7191,64242
COLUMBIAPATRIOTS PARK,210,2,110,0,3,98,0,305,1,0,1,28,0,4,231,0,320,1079,150,1753,322,2982
COLUMBIAPHILADELPHIA CHURCH,112,1,37,0,0,39,1,160,2,0,0,13,0,3,91,0,116,429,68,750,150,1247
COLUMBIAREDEEMER CHURCH,214,1,65,0,4,90,2,356,0,0,1,54,0,3,275,2,372,783,98,1911,280,2792
COLUMBIARIVERSIDE ELEMENTARY,77,1,45,0,0,27,1,137,0,0,1,20,0,2,132,0,99,267,28,624,123,919
COLUMBIASECOND MT CARMEL BAPT CHURCH,129,0,12,0,0,5,0,33,0,0,0,4,0,0,16,0,27,286,4,188,141,478
COLUMBIASTEVENS CREEK CHURCH,123,0,76,0,2,65,1,267,1,0,1,63,0,1,302,0,300,523,45,1348,199,1916
COLUMBIASTEVENS CREEK ELEM,65,1,20,0,5,35,1,135,0,0,0,47,0,1,168,0,215,290,23,887,86,1200
COLUMBIATRINITY BAPT CHURCH,32,0,38,0,1,25,1,102,0,0,0,7,0,0,62,0,147,156,21,596,70,773
COLUMBIAWARREN BAPTIST CHURCH - GROVETOWN,141,0,72,3,1,37,0,118,0,0,0,9,0,0,49,1,126,702,51,638,216,1391
COLUMBIAWESLEY METHODIST,109,0,40,0,5,60,2,261,1,0,2,39,0,0,224,0,294,452,39,1377,149,1868
COLUMBIAWEST ACRES BAPTIST,111,1,63,0,3,75,1,220,0,0,1,36,0,1,187,0,253,411,64,1170,175,1645
COLUMBIAWESTSIDE BAPT CHURCH,70,0,41,0,3,63,0,148,1,1,0,43,0,2,125,0,208,275,32,859,111,1166
COLUMBIAWOODLAWN BAPTIST CHURCH,54,0,30,0,1,41,0,130,0,0,1,20,0,0,84,0,164,207,26,672,84,905
COOKCECIL,178,1,25,0,1,12,4,82,1,0,0,4,0,2,17,0,128,455,13,494,204,962
COOKDELLE BEAMGUARD,68,4,46,0,3,54,2,129,0,0,4,12,0,0,68,0,341,280,44,1092,118,1416
COOKELM PINE,116,1,22,0,0,1,0,3,0,0,0,0,1,0,0,0,3,261,6,14,139,281
COOKLENOX,60,0,17,1,3,21,2,77,0,0,0,8,0,1,44,0,187,165,15,568,78,748
COOKMASSEE,28,0,11,0,1,14,1,54,0,0,1,5,0,0,16,0,135,93,10,446,39,549
COOKNAN,580,8,171,2,14,178,9,519,2,0,6,46,1,3,240,1,1229,1753,112,4176,761,6041
COOKNEW LIFE BAPT. CHURCH,17,2,23,0,2,42,0,78,1,0,1,6,0,0,39,0,188,105,9,665,42,779
COOKRIVERBEND,22,0,9,1,4,28,0,57,0,0,0,6,0,0,43,1,187,99,10,703,32,812
COOKSPARKS,91,0,18,0,0,6,0,39,0,0,0,5,0,0,13,0,60,295,5,194,109,494
COWETAARTS CENTRE,523,1,228,2,16,240,7,734,3,0,3,208,0,4,885,0,1066,2043,239,5098,754,7380
COWETACANNONGATE,101,0,77,1,2,128,1,344,2,0,2,79,0,2,371,0,424,441,126,1982,179,2549
COWETACEDAR CREEK,182,1,111,0,11,90,0,408,1,0,7,82,1,4,392,0,580,655,116,2712,294,3483
COWETACENTRAL,266,0,75,0,1,16,1,24,0,1,0,11,0,1,37,0,61,955,57,260,341,1272
COWETACOWETA CENTRAL LIBRARY,56,0,46,0,2,37,1,158,0,0,0,24,0,1,115,0,206,206,34,869,102,1109
COWETADRESDEN,35,0,22,1,2,20,0,57,0,0,2,20,0,4,40,2,132,94,23,455,58,572
COWETAEXPO CENTER,77,0,44,0,6,25,2,143,0,0,1,66,0,4,161,0,201,306,58,878,121,1242
COWETAFISCHER ROAD,155,2,101,0,5,65,1,306,1,0,2,69,1,3,303,1,395,586,126,1941,258,2653
COWETAGRANTVILLE,128,1,47,0,5,43,1,140,0,0,1,13,0,2,84,2,234,457,45,1018,176,1520
COWETAGREENTOP,135,2,53,1,5,46,1,159,1,0,2,42,0,1,190,0,224,540,50,1032,191,1622
COWETAHARALSON,70,0,39,0,1,36,0,167,0,0,0,17,0,2,108,0,307,217,33,1166,109,1416
COWETAJEFFERSON PARKWAY,414,2,233,1,6,73,3,250,2,0,1,37,0,4,272,0,356,2097,187,2025,650,4309
COWETAMADRAS,176,0,117,2,4,63,1,293,0,0,2,59,0,1,240,0,422,748,99,1824,295,2671
COWETAMORELAND,76,1,39,0,3,66,2,189,0,0,3,29,0,2,151,1,374,254,38,1274,116,1566
COWETANAN,4359,30,2235,25,127,1809,31,6451,18,6,56,1327,3,63,5831,11,9600,16583,2235,42533,6649,61351
COWETANEWNAN,318,1,108,2,1,36,1,108,0,0,2,45,0,2,114,0,152,1043,64,696,429,1803
COWETANORTHSIDE,129,2,75,1,5,47,0,155,1,0,3,58,0,0,175,0,232,473,60,1031,207,1564
COWETAPANTHER CREEK,116,2,60,2,6,56,0,185,0,0,1,39,0,2,119,0,365,387,60,1360,180,1807
COWETAPINE ROAD,46,1,28,0,1,42,1,173,0,0,1,25,0,1,100,0,267,172,28,1040,75,1240
COWETARAYMOND,68,0,41,1,1,55,0,239,2,0,3,30,0,1,109,0,298,234,49,1219,110,1502
COWETASENOIA,208,4,89,2,9,108,0,383,2,1,2,78,0,4,354,1,530,716,126,2597,303,3439
COWETASHARPSBURG,131,3,97,1,8,104,0,352,1,0,5,44,0,3,314,0,497,520,127,2350,232,2997
COWETASMOKEY ROAD,158,0,45,1,3,34,0,132,0,0,4,24,0,0,84,0,181,571,45,812,204,1428
COWETATHOMAS CROSSROADS,142,3,133,1,11,111,2,451,0,0,2,75,1,1,386,1,635,661,133,2678,279,3472
COWETATURIN,145,2,67,4,4,83,2,297,0,3,2,51,0,5,256,0,431,498,89,2016,218,2603
COWETATURKEY CREEK,78,0,36,0,2,20,0,46,1,0,0,6,0,2,41,0,70,259,25,323,114,607
COWETAWELCOME,110,1,77,1,3,64,2,202,0,1,1,30,0,1,138,3,461,379,62,1558,189,1999
COWETAWESTSIDE,117,0,13,0,0,7,0,18,0,0,0,7,0,0,7,0,53,317,14,149,130,480
COWETAWHITE OAK,199,1,134,1,4,94,2,338,1,0,4,59,0,6,285,0,446,754,122,2170,335,3046
CRAWFORD1A,59,1,7,0,0,14,0,11,0,0,0,4,0,0,14,0,31,135,3,154,67,292
CRAWFORD1B,143,0,21,0,0,12,0,17,0,0,0,1,0,0,17,0,64,389,10,225,164,624
CRAWFORD2,179,2,25,2,2,23,1,62,0,0,3,6,0,2,32,0,171,507,24,548,208,1079
CRAWFORD3,45,1,32,2,2,35,1,97,0,0,1,13,0,0,69,0,191,154,31,875,80,1060
CRAWFORD4,32,2,19,0,1,24,0,99,1,0,0,17,0,0,66,1,221,126,16,906,53,1048
CRAWFORD5,35,0,16,0,0,31,2,110,0,0,1,19,0,0,51,1,255,110,22,927,51,1059
CRAWFORDNAN,493,6,120,4,5,139,4,396,1,0,5,60,0,2,249,2,933,1421,106,3635,623,5162
CRISPARABI,28,0,11,3,0,14,0,39,0,0,1,2,0,0,28,0,105,81,6,392,42,479
CRISPCONEY,14,0,19,1,1,15,1,79,0,0,1,13,0,1,49,0,155,61,7,579,34,647
CRISPCORDELE,650,3,125,2,7,73,2,267,0,0,3,36,0,1,219,4,584,2582,80,2343,780,5005
CRISPJAMESTOWN,21,0,13,0,2,30,1,89,0,0,1,25,0,0,63,0,222,79,13,736,34,828
CRISPLISTONIA,18,0,4,0,2,16,0,59,1,1,1,6,0,0,40,0,140,34,20,499,22,553
CRISPNAN,731,3,172,6,12,148,4,533,1,1,7,82,0,2,399,4,1206,2837,126,4549,912,7512
DADEDAVIS,40,0,28,1,1,34,0,112,1,0,1,7,0,4,88,0,247,119,29,967,69,1115
DADENAN,242,1,231,7,11,273,3,555,1,0,6,119,0,12,662,0,1153,965,226,5051,481,6242
DADENEW HOME,14,0,12,2,0,29,0,43,0,0,1,6,0,1,29,0,73,45,13,348,28,406
DADENEW SALEM,28,0,48,0,1,38,1,62,0,0,0,19,0,0,93,0,158,140,27,590,76,757
