precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HEWES,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_COOK,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
APACHEALPINE,15,0,0,2,20,1,0,0,0,0,0,0,37,0,0,0,13,0,0,2,0,55,60,2,13,216,38,291
APACHECANYON,351,3,4,4,143,9,0,0,2,3,3,1,22,0,1,0,0,0,3,5,0,13,1387,32,72,143,514,1634
APACHECHINLE,178,0,0,5,79,1,0,0,4,1,0,0,12,0,0,0,7,0,0,2,1,13,678,17,38,93,263,826
APACHECONCHO,42,3,1,2,73,1,0,4,0,4,0,0,157,1,0,0,16,0,0,8,0,285,228,11,44,1135,122,1418
APACHECORNFIELDS,129,0,2,2,53,4,0,0,0,1,0,0,5,0,0,1,2,0,0,1,1,1,349,3,16,33,190,401
APACHECOTTONWOOD,202,0,1,1,52,8,0,0,2,0,3,0,6,1,0,0,0,0,0,0,1,4,589,11,26,47,264,673
APACHEDENNEHOTSO,135,1,3,3,29,1,0,0,6,2,3,1,10,1,1,1,2,0,1,0,1,5,430,9,16,40,172,495
APACHEEAGAR,49,3,10,7,78,4,0,0,5,13,0,0,272,1,0,0,48,0,3,24,0,211,141,7,22,762,151,932
APACHEGANADO,287,3,2,3,93,7,0,0,1,0,0,0,12,0,0,0,2,0,0,1,0,9,801,19,43,88,395,951
APACHEGREER,7,1,0,0,9,0,0,0,0,0,0,0,13,0,0,0,5,0,0,0,0,23,34,0,1,87,17,122
APACHEHOUCK,162,4,5,2,72,3,0,0,1,2,0,0,14,0,1,0,0,0,0,1,0,7,407,9,47,102,248,565
APACHEKINLICHEE,192,1,2,2,61,5,0,0,1,2,2,1,2,0,1,0,0,0,0,0,0,2,520,8,27,42,263,597
APACHEKLAGETOH,129,3,1,4,55,3,0,0,1,3,0,0,6,1,0,1,0,0,0,1,0,5,359,12,35,54,195,460
APACHELUKACHUKAI,175,1,2,5,40,1,0,0,1,0,0,0,5,0,2,0,1,0,0,2,0,2,710,14,44,47,224,815
APACHELUPTON,107,1,0,1,43,1,0,0,1,1,0,0,4,1,0,0,0,0,0,1,0,2,261,8,12,50,153,331
APACHEMANY,265,3,7,1,69,4,0,0,2,0,0,0,6,0,0,0,0,0,0,2,0,1,732,7,45,51,349,835
APACHEMCNARY,19,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,4,11,23,84
APACHEMEXICAN,23,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,87,1,9,5,24,102
APACHENAZLINI,139,1,0,10,66,2,0,0,5,2,0,0,2,0,1,0,1,0,1,0,0,2,430,6,28,45,218,509
APACHENUTRIOSO,13,0,0,2,25,0,1,0,0,0,0,0,24,0,0,0,8,0,0,3,1,51,59,3,4,213,40,279
