precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
26UNIONTOWNWARD2,2,266,3,4,174
26UNIONTOWNWARD3,0,302,4,5,202
26UNIONTOWNWARD4,2,315,4,3,96
26UNIONTOWNWARD5,2,286,4,9,266
26UNIONTOWNWARD6,0,182,2,12,210
26UNIONTOWNWARD7,0,244,9,11,310
26WASHINGTONDISTRICT1,1,416,6,23,772
26WASHINGTONDISTRICT2,1,203,1,11,421
28ANTRIM1,3,237,4,29,1088
28ANTRIM2,5,147,2,9,835
28ANTRIM3,3,154,4,34,897
28ANTRIM4,13,322,12,43,1215
28ANTRIM5,8,417,8,62,1884
28CHAMBERSBURG11,6,455,18,43,663
28CHAMBERSBURG12,4,255,4,24,313
28CHAMBERSBURG21,6,255,12,17,292
28CHAMBERSBURG22,6,420,9,31,721
28CHAMBERSBURG31,4,788,19,53,854
28CHAMBERSBURG41,1,231,8,11,216
28CHAMBERSBURG42,0,198,7,8,348
28CHAMBERSBURG51,1,276,10,18,517
28CHAMBERSBURG52,3,354,7,36,527
28FANNETTCONCORD,0,28,2,4,197
28FANNETTDRYRUN,2,61,1,6,397
28FANNETTSULPHURSPRINGS,0,38,3,11,185
28GREENCASTLE1,11,255,6,26,744
28GREENCASTLE2,1,267,8,36,741
28GREENE1,7,330,11,30,974
28GREENE2,8,451,10,43,906
28GREENE3,14,277,8,30,893
28GREENE4,12,402,15,39,1164
28GREENE5,10,536,6,52,1350
28GREENE6,6,296,4,24,903
28GUILFORD1,13,644,16,53,1543
28GUILFORD2,5,804,8,57,1668
28GUILFORD3,1,130,10,16,694
28GUILFORD4,0,91,2,10,582
28GUILFORD5,1,22,0,3,158
28GUILFORD6,7,306,10,31,755
28HAMILTONDISTRICT1,9,416,9,59,1291
28HAMILTONDISTRICT2,16,503,9,47,1655
28HAMILTONDISTRICT3,5,237,9,30,904
28LETTERKENNYDISTRICT1,5,130,7,11,725
28LETTERKENNYDISTRICT2,1,79,2,5,218
28METAL1,2,20,3,4,266
28METAL2,1,41,2,4,278
28METAL3,0,30,1,2,155
28MONTGOMERY1,1,163,3,15,638
28MONTGOMERY2,1,154,2,11,883
28MONTGOMERY3,3,61,1,9,436
28MONTGOMERY4,1,60,1,11,286
28PETERS1,3,107,3,11,521
28PETERS2,1,129,3,14,493
28PETERS3,1,49,0,13,430
28PETERS4,1,50,5,5,276
28QUINCY1,7,254,4,17,889
28QUINCY2,1,49,0,4,239
28QUINCY3,1,76,3,7,445
28QUINCY4,3,66,3,3,204
28SOUTHAMPTONEAST,2,347,12,26,932
28SOUTHAMPTONMT.ROCK,8,393,9,29,970
28SOUTHAMPTONWEST,10,208,3,21,699
28ST.THOMAS1,1,126,6,13,534
28ST.THOMAS2,4,209,3,22,894
28ST.THOMAS3,7,97,1,14,626
28WASHINGTON1,5,237,5,24,586
28WASHINGTON2,9,430,10,36,1181
28WASHINGTON3,4,271,4,24,728
28WASHINGTON4,11,209,3,28,778
28WASHINGTON5,10,593,12,50,1503
28WAYNESBORO11,2,191,10,27,405
28WAYNESBORO12,2,199,6,24,389
28WAYNESBORO21,2,159,5,19,237
28WAYNESBORO22,3,195,7,24,509
28WAYNESBORO31,5,192,8,23,376
28WAYNESBORO32,5,216,4,30,434
28WAYNESBORO33,2,190,4,17,404
2ASPINWALLDISTRICT1,2,399,4,17,201
2ASPINWALLDISTRICT2,0,267,2,8,149
2ASPINWALLDISTRICT3,1,434,2,17,191
2AVALONWARD1,4,438,7,30,226
2AVALONWARD2-1,5,301,7,23,169
2AVALONWARD2-2,1,182,2,4,138
2AVALONWARD3-1,2,137,1,8,95
2AVALONWARD3-2,2,187,6,16,119
2AVALONWARD3-3,2,184,5,9,123
2BALDWINDISTRICT1,1,548,3,35,464
2BALDWINDISTRICT10,0,381,10,15,199
2BALDWINDISTRICT11,1,441,6,12,213
2BALDWINDISTRICT12,2,231,4,15,220
2BALDWINDISTRICT13,1,231,5,12,297
2BALDWINDISTRICT14,1,204,2,11,237
2BALDWINDISTRICT15,1,282,2,12,285
2BALDWINDISTRICT16,2,333,4,14,294
2BALDWINDISTRICT17,2,240,3,12,261
2BALDWINDISTRICT18,2,366,3,20,331
2BALDWINDISTRICT2,7,687,12,32,589
2BALDWINDISTRICT3,1,302,7,14,279
2BALDWINDISTRICT4,0,268,3,14,293
2BALDWINDISTRICT5,1,297,7,10,258
2BALDWINDISTRICT6,2,263,1,13,284
2BALDWINDISTRICT7,4,275,1,14,289
2BALDWINDISTRICT8,0,274,2,12,262
2BALDWINDISTRICT9,3,292,3,15,256
2BELLEVUEWARD1-1,4,385,8,36,218
2BELLEVUEWARD1-2,2,418,5,20,185
2BELLEVUEWARD2-1,2,447,12,22,237
2BELLEVUEWARD2-2,3,370,6,27,233
2BELLEVUEWARD3-1,5,400,10,29,217
2BELLEVUEWARD3-2,2,362,10,27,245
2BENAVONDISTRICT1,0,243,3,18,124
2BENAVONDISTRICT2,2,416,4,32,272
2BETHELPARKWARD1-1,1,299,8,21,345
2BETHELPARKWARD1-2,0,302,5,20,272
2BETHELPARKWARD1-3,0,267,3,12,328
2BETHELPARKWARD2-1,2,256,1,16,323
2BETHELPARKWARD2-2,1,297,1,12,413
2BETHELPARKWARD2-3,3,358,8,29,423
2BETHELPARKWARD3-1,2,276,2,11,365
2BETHELPARKWARD3-2,2,286,6,21,411
2BETHELPARKWARD3-3,0,357,4,33,448
2BETHELPARKWARD4-1,1,428,3,28,545
2BETHELPARKWARD4-2,0,259,3,18,293
2BETHELPARKWARD4-3,1,276,5,12,365
2BETHELPARKWARD5-1,0,199,4,9,276
2BETHELPARKWARD5-2,2,216,4,8,233
2BETHELPARKWARD5-3,2,493,6,36,517
2BETHELPARKWARD6-1,0,408,7,24,531
2BETHELPARKWARD6-2,4,354,2,25,378
2BETHELPARKWARD6-3,3,262,5,16,329
2BETHELPARKWARD7-1,4,389,9,26,490
2BETHELPARKWARD7-2,3,343,4,41,341
2BETHELPARKWARD7-3,4,257,3,14,299
2BETHELPARKWARD8-1,1,183,3,13,196
2BETHELPARKWARD8-2,0,215,1,12,153
2BETHELPARKWARD8-3,6,440,5,26,493
2BETHELPARKWARD8-4,4,152,3,5,180
2BETHELPARKWARD9-1,1,191,0,14,256
2BETHELPARKWARD9-2,2,230,0,18,267
2BETHELPARKWARD9-3,3,439,7,28,583
2BLAWNOXDISTRICT1,3,392,11,19,302
2BRACKENRIDGEWARD1,0,160,4,1,135
2BRACKENRIDGEWARD2,2,224,9,22,264
2BRACKENRIDGEWARD3,2,164,4,12,251
2BRADDOCKHILLSDISTRICT1,0,344,4,14,165
2BRADDOCKHILLSDISTRICT2,1,262,7,7,121
2BRADDOCKWARD1,1,308,6,2,34
2BRADDOCKWARD2,0,306,4,1,38
2BRADDOCKWARD3,0,219,2,2,12
2BRENTWOODDISTRICT1,0,218,8,13,184
2BRENTWOODDISTRICT10,1,173,5,17,211
2BRENTWOODDISTRICT2,6,250,3,16,262
2BRENTWOODDISTRICT3,2,223,4,10,200
2BRENTWOODDISTRICT4,0,256,13,20,257
2BRENTWOODDISTRICT5,0,268,4,24,183
2BRENTWOODDISTRICT6,0,248,10,13,174
2BRENTWOODDISTRICT7,2,257,3,22,256
2BRENTWOODDISTRICT8,2,259,4,16,273
2BRENTWOODDISTRICT9,0,200,2,8,218
2BRIDGEVILLEDISTRICT1,0,276,3,29,266
2BRIDGEVILLEDISTRICT2,2,280,9,23,277
2BRIDGEVILLEDISTRICT3,0,271,9,19,326
2BRIDGEVILLEDISTRICT4,3,332,5,15,316
2CARNEGIEWARD1-1,3,169,2,5,151
2CARNEGIEWARD1-2,0,406,8,29,346
2CARNEGIEWARD1-3,5,286,9,8,272
2CARNEGIEWARD1-4,0,126,1,8,81
2CARNEGIEWARD2-1,1,231,1,20,174
2CARNEGIEWARD2-2,2,200,1,9,142
2CARNEGIEWARD2-3,1,193,3,6,191
2CARNEGIEWARD2-4,0,348,2,15,229
2CASTLESHANNONDISTRICT1,1,392,4,18,250
2CASTLESHANNONDISTRICT2,1,315,6,25,246
2CASTLESHANNONDISTRICT3,3,303,2,18,250
2CASTLESHANNONDISTRICT4,1,275,4,20,184
2CASTLESHANNONDISTRICT5,0,265,6,15,180
2CASTLESHANNONDISTRICT6,4,249,5,12,234
2CASTLESHANNONDISTRICT7,0,281,7,20,285
2CASTLESHANNONDISTRICT8,1,223,4,10,199
2CHESWICKDISTRICT1,0,217,3,11,255
2CHESWICKDISTRICT2,3,200,2,12,277
2CHURCHILLDISTRICT1,1,377,2,15,168
2CHURCHILLDISTRICT2,1,345,2,16,169
2CHURCHILLDISTRICT3,2,306,3,4,196
2CHURCHILLDISTRICT4,0,305,1,6,228
2CLAIRTONWARD1-1,1,130,4,3,79
2CLAIRTONWARD1-2,2,132,5,8,102
2CLAIRTONWARD1-3,0,98,1,7,118
2CLAIRTONWARD2-1,0,75,1,1,3
2CLAIRTONWARD2-2,0,184,2,0,13
2CLAIRTONWARD2-3,0,258,1,1,38
2CLAIRTONWARD3-1,2,183,5,2,118
2CLAIRTONWARD3-2,1,162,0,1,74
2CLAIRTONWARD3-3,1,176,0,3,68
2CLAIRTONWARD4-1,0,212,1,2,26
2CLAIRTONWARD4-2,0,184,2,1,45
2CLAIRTONWARD4-3,1,148,2,5,132
2COLLIERWARD1,3,362,5,19,492
2COLLIERWARD2,4,366,7,29,582
2COLLIERWARD3,2,429,2,16,425
2COLLIERWARD4,0,301,4,16,262
2COLLIERWARD5,3,207,0,13,483
2COLLIERWARD6,3,348,5,27,348
2CORAOPOLISWARD1-1,0,219,2,10,93
2CORAOPOLISWARD1-2,1,204,4,10,141
2CORAOPOLISWARD2,0,285,1,11,183
2CORAOPOLISWARD3-1,4,228,3,6,180
2CORAOPOLISWARD3-2,5,194,5,24,185
2CORAOPOLISWARD4-1,0,153,5,11,127
2CORAOPOLISWARD4-2,1,183,7,18,161
2CRAFTONWARD1-1,0,368,7,28,225
2CRAFTONWARD1-2,0,261,4,20,160
2CRAFTONWARD2-1,1,258,5,18,171
2CRAFTONWARD2-2,3,353,6,9,187
2CRAFTONWARD3-1,2,379,6,31,259
2CRAFTONWARD3-2,1,213,12,18,183
2CRESCENTWARD1,1,341,5,28,439
2CRESCENTWARD2,1,191,2,17,284
2DORMONTDISTRICT1,1,338,3,20,178
2DORMONTDISTRICT10,1,311,5,18,142
2DORMONTDISTRICT2,0,242,5,17,150
2DORMONTDISTRICT3,0,404,15,32,175
2DORMONTDISTRICT4,1,285,3,12,166
2DORMONTDISTRICT5,2,491,14,19,220
2DORMONTDISTRICT6,2,218,4,19,121
2DORMONTDISTRICT7,2,277,1,10,93
2DORMONTDISTRICT8,0,191,2,9,120
2DORMONTDISTRICT9,0,253,8,13,109
2DRAVOSBURGDISTRICT1,1,152,6,4,217
2DRAVOSBURGDISTRICT2,2,106,2,2,172
2DRAVOSBURGDISTRICT3,2,84,0,4,84
2DUQUESNEWARD1-1,0,217,1,5,103
2DUQUESNEWARD1-2,0,230,2,1,46
2DUQUESNEWARD1-3,1,143,1,0,21
2DUQUESNEWARD1-4,1,76,1,1,28
2DUQUESNEWARD2-1,0,190,2,1,21
2DUQUESNEWARD2-2,3,214,2,0,33
2DUQUESNEWARD2-3,0,207,2,5,74
2DUQUESNEWARD3-1,1,135,1,0,8
2DUQUESNEWARD3-2,0,97,1,0,15
2DUQUESNEWARD3-3,3,271,0,1,81
2EASTDEERWARD1,0,91,1,6,106
2EASTDEERWARD2,2,179,3,8,206
2EASTMCKEESPORTDISTRICT1,1,146,1,7,145
2EASTMCKEESPORTDISTRICT2,0,220,2,9,150
2EASTMCKEESPORTDISTRICT3,1,163,2,4,170
2EASTPITTSBURGHWARD1,1,182,0,2,46
2EASTPITTSBURGHWARD2,1,182,3,5,52
2EASTPITTSBURGHWARD3,0,216,1,1,58
2EDGEWOODDISTRICT1,0,607,5,20,110
2EDGEWOODDISTRICT2,2,562,5,22,127
2EDGEWOODDISTRICT3,1,541,9,17,82
2EDGEWORTHDISTRICT1,2,272,1,25,221
2EDGEWORTHDISTRICT2,0,295,5,19,240
2ELIZABETHWARD1-1,1,166,2,14,261
2ELIZABETHWARD1-2,2,244,6,4,481
2ELIZABETHWARD2,0,320,6,25,652
2ELIZABETHWARD3,0,360,5,16,616
2ELIZABETHWARD4-1,2,230,2,14,420
2ELIZABETHWARD4-2,2,127,1,7,222
2ELIZABETHWARD5-1,2,96,2,2,216
2ELIZABETHWARD5-2,1,217,5,12,365
2ELIZABETHWARD6-1,2,127,3,10,319
2ELIZABETHWARD6-2,5,169,2,10,357
2ELIZABETHWARD7,2,362,4,22,560
2EMSWORTHDISTRICT1,2,285,3,29,258
2EMSWORTHDISTRICT2,3,362,7,25,296
2ETNAWARD1,2,324,4,13,229
2ETNAWARD2,4,230,9,12,191
2ETNAWARD3,2,222,7,20,251
2FAWNDISTRICT1,1,114,3,12,256
2FAWNDISTRICT2,6,190,11,16,457
2FINDLAYDISTRICT1,0,257,5,16,521
2FINDLAYDISTRICT2,0,457,7,38,696
2FINDLAYDISTRICT3,5,371,4,21,498
2FORESTHILLSDISTRICT1,0,356,2,11,134
2FORESTHILLSDISTRICT2,2,327,2,17,140
2FORESTHILLSDISTRICT3,2,287,3,17,177
2FORESTHILLSDISTRICT4,1,376,3,5,140
2FORESTHILLSDISTRICT5,2,321,5,13,194
2FORESTHILLSDISTRICT6,0,324,3,8,119
2FORESTHILLSDISTRICT7,5,370,3,16,146
2FORESTHILLSDISTRICT8,2,316,2,12,214
2FORWARDDISTRICT1,4,66,2,2,200
2FORWARDDISTRICT2,1,197,5,7,404
2FORWARDDISTRICT3,0,87,1,1,197
2FORWARDDISTRICT4,2,124,1,8,220
2FOXCHAPELDISTRICT1,2,369,4,17,220
2FOXCHAPELDISTRICT2,2,408,8,25,285
2FOXCHAPELDISTRICT3,0,279,3,25,231
2FOXCHAPELDISTRICT4,3,520,3,22,355
2FOXCHAPELDISTRICT5,1,338,1,17,305
2FRANKLINPARKWARD1-1,5,317,4,33,498
2FRANKLINPARKWARD1-2,1,406,6,22,482
2FRANKLINPARKWARD1-3,0,476,4,27,495
2FRANKLINPARKWARD2-1,0,377,4,32,397
2FRANKLINPARKWARD2-2,4,390,2,25,505
2FRANKLINPARKWARD2-3,1,487,2,37,516
2FRANKLINPARKWARD3-1,1,437,2,39,504
2FRANKLINPARKWARD3-2,1,297,2,26,304
2FRANKLINPARKWARD3-3,1,418,5,35,486
2FRAZERDISTRICT1,1,188,3,13,389
2GLASSPORTDISTRICT1,1,148,3,6,236
2GLASSPORTDISTRICT2,2,89,2,4,110
2GLASSPORTDISTRICT3,0,168,4,11,154
2GLASSPORTDISTRICT4,0,50,1,0,83
2GLASSPORTDISTRICT5,0,119,4,7,205
2GLASSPORTDISTRICT6,0,111,3,2,166
2GREENTREEDISTRICT1,1,303,5,22,317
2GREENTREEDISTRICT2,1,430,6,33,413
2GREENTREEDISTRICT3,0,411,1,17,333
2GREENTREEDISTRICT4,1,336,4,25,265
2HAMPTONDISTRICT1,0,394,8,29,482
2HAMPTONDISTRICT10,3,477,3,34,591
2HAMPTONDISTRICT11,3,587,5,35,695
2HAMPTONDISTRICT12,2,328,2,20,331
2HAMPTONDISTRICT13,4,262,1,15,309
2HAMPTONDISTRICT2,7,374,3,30,550
2HAMPTONDISTRICT3,2,407,6,29,560
2HAMPTONDISTRICT4,2,199,2,18,257
2HAMPTONDISTRICT5,6,238,3,29,282
2HAMPTONDISTRICT6,3,215,0,16,253
2HAMPTONDISTRICT7,1,407,1,30,583
2HAMPTONDISTRICT8,2,345,4,17,387
2HAMPTONDISTRICT9,3,404,3,27,551
2HARMARDISTRICT1,1,438,0,17,539
2HARMARDISTRICT2,2,191,4,23,260
2HARMARDISTRICT3,0,100,0,6,156
2HARRISONWARD1-1,0,91,1,7,134
2HARRISONWARD1-2,0,188,3,11,249
2HARRISONWARD1-3,6,179,3,16,279
2HARRISONWARD2-1,0,111,4,2,103
2HARRISONWARD2-2,1,171,3,5,171
2HARRISONWARD3-1,1,318,7,17,431
2HARRISONWARD3-2,1,209,5,16,253
2HARRISONWARD4-1,2,191,2,9,294
2HARRISONWARD4-2,2,168,2,5,230
2HARRISONWARD5-1,0,158,8,5,99
2HARRISONWARD5-2,1,193,4,14,332
2HEIDELBERGDISTRICT1,3,297,7,23,273
2HOMESTEADWARD1-1,0,250,2,1,70
2HOMESTEADWARD1-2,0,211,1,2,17
2HOMESTEADWARD2-1,1,221,2,0,21
2HOMESTEADWARD2-2,0,187,1,1,10
2HOMESTEADWARD3-1,2,243,2,3,39
2HOMESTEADWARD3-2,0,167,1,4,10
2INDIANADISTRICT1,4,311,3,16,359
2INDIANADISTRICT2,1,276,1,19,367
2INDIANADISTRICT3,4,349,2,17,485
2INDIANADISTRICT4,2,390,2,36,403
2INDIANADISTRICT5,1,337,5,20,352
2INGRAMDISTRICT1,5,331,7,20,221
2INGRAMDISTRICT2,0,248,2,8,166
2INGRAMDISTRICT3,3,376,6,13,272
2JEFFERSONHILLSDISTRICT1,3,467,7,18,721
2JEFFERSONHILLSDISTRICT2,5,214,0,17,394
2JEFFERSONHILLSDISTRICT3,1,210,4,13,274
2JEFFERSONHILLSDISTRICT4,1,191,3,6,251
2JEFFERSONHILLSDISTRICT5,1,558,8,35,914
2JEFFERSONHILLSDISTRICT6,2,196,2,14,523
2JEFFERSONHILLSDISTRICT7,1,99,2,5,172
2JEFFERSONHILLSDISTRICT8,3,358,2,25,510
2KENNEDYDISTRICT1,3,520,7,17,629
2KENNEDYDISTRICT2,2,305,4,17,295
2KENNEDYDISTRICT3,1,363,3,12,400
2KENNEDYDISTRICT4,1,183,2,5,143
2KENNEDYDISTRICT5,2,479,9,21,545
2KENNEDYDISTRICT6,0,288,1,8,337
2KENNEDYDISTRICT7,1,177,0,4,242
2LEETDISTRICT1,2,152,2,16,142
2LEETDISTRICT2,0,275,5,22,267
2LEETSDALEDISTRICT1,2,304,8,19,281
2LIBERTYDISTRICT1,0,227,1,10,429
2LIBERTYDISTRICT2,3,224,2,15,351
2MARSHALLDISTRICT1,0,304,2,23,353
2MARSHALLDISTRICT2,0,299,3,25,488
2MARSHALLDISTRICT3,2,258,0,14,320
2MARSHALLDISTRICT4,0,371,1,19,438
2MARSHALLDISTRICT5,4,389,5,27,534
2MARSHALLDISTRICT6,2,340,5,28,376
2MCCANDLESSWARD1-1,2,349,2,22,466
2MCCANDLESSWARD1-2,0,327,3,13,266
2MCCANDLESSWARD1-3,2,385,11,29,435
2MCCANDLESSWARD2-1,4,512,8,33,488
2MCCANDLESSWARD2-2,3,285,5,26,362
2MCCANDLESSWARD2-3,2,311,8,11,347
2MCCANDLESSWARD3-1,3,360,6,23,356
2MCCANDLESSWARD3-2,3,383,4,29,437
2MCCANDLESSWARD3-3,4,358,2,31,437
2MCCANDLESSWARD4-1,7,492,11,45,631
2MCCANDLESSWARD4-2,4,316,7,25,353
2MCCANDLESSWARD4-3,3,264,2,22,305
2MCCANDLESSWARD5-1,0,261,8,21,377
2MCCANDLESSWARD5-2,5,450,5,25,473
2MCCANDLESSWARD5-3,7,374,1,22,332
2MCCANDLESSWARD6-1,2,168,6,13,194
2MCCANDLESSWARD6-2,1,343,5,20,448
2MCCANDLESSWARD6-3,2,626,9,37,646
2MCCANDLESSWARD7-1,2,536,6,31,567
2MCCANDLESSWARD7-2,3,368,4,25,397
2MCCANDLESSWARD7-3,0,196,3,13,200
2MCDONALDDISTRICT5,0,49,4,3,94
2MCKEESPORTWARD1,0,5,0,0,0
2MCKEESPORTWARD10-1,0,92,5,4,80
2MCKEESPORTWARD10-2,0,107,1,2,95
2MCKEESPORTWARD11-1,1,135,1,8,130
2MCKEESPORTWARD11-2,2,104,3,3,147
2MCKEESPORTWARD11-3,0,120,2,1,69
2MCKEESPORTWARD12-1,3,81,1,2,107
2MCKEESPORTWARD12-2,1,107,3,3,157
2MCKEESPORTWARD12-3,2,169,3,4,259
2MCKEESPORTWARD2,0,68,1,2,21
2MCKEESPORTWARD3-1,0,160,1,0,5
2MCKEESPORTWARD3-2,0,67,1,0,1
2MCKEESPORTWARD4,1,134,3,1,4
2MCKEESPORTWARD5,2,222,0,4,36
2MCKEESPORTWARD6-1,0,131,1,2,48
2MCKEESPORTWARD6-2,1,132,1,1,28
2MCKEESPORTWARD7-1,1,269,1,4,39
2MCKEESPORTWARD7-2,0,164,3,1,8
2MCKEESPORTWARD7-3,1,147,1,5,43
2MCKEESPORTWARD7-4,0,211,2,0,47
2MCKEESPORTWARD7-5,0,249,4,3,93
2MCKEESPORTWARD7-6,1,225,4,5,79
2MCKEESPORTWARD7-7,0,193,3,1,20
2MCKEESPORTWARD8-1,0,90,2,1,83
2MCKEESPORTWARD8-2,1,224,5,2,109
2MCKEESPORTWARD8-3,1,242,3,4,73
2MCKEESPORTWARD8-4,1,146,2,5,170
2MCKEESPORTWARD8-5,0,254,3,3,14
2MCKEESPORTWARD8-6,0,71,3,1,71
2MCKEESPORTWARD9-1,1,156,1,5,131
2MCKEESPORTWARD9-2,2,208,4,10,150
2MCKEESPORTWARD9-3,1,148,1,4,117
2MCKEESROCKSWARD1-1,0,128,1,0,3
2MCKEESROCKSWARD1-2,1,221,3,4,89
2MCKEESROCKSWARD2-1,2,262,1,7,119
2MCKEESROCKSWARD2-2,2,223,2,6,94
2MCKEESROCKSWARD3-1,0,256,7,10,193
2MCKEESROCKSWARD3-2,1,212,5,2,102
2MCKEESROCKSWARD3-3,2,210,2,3,104
2MILLVALEDISTRICT1,3,196,7,9,129
2MILLVALEDISTRICT2,0,143,7,7,121
2MILLVALEDISTRICT3,2,164,6,7,97
2MILLVALEDISTRICT4,1,137,6,7,131
2MILLVALEDISTRICT5,5,219,8,11,142
2MONROEVILLEWARD1-1,0,258,0,8,222
2MONROEVILLEWARD1-2,1,223,4,12,258
2MONROEVILLEWARD1-3,3,378,2,17,271
2MONROEVILLEWARD1-4,3,387,4,12,178
2MONROEVILLEWARD2-1,2,394,6,12,304
2MONROEVILLEWARD2-2,3,387,7,22,351
2MONROEVILLEWARD2-3,0,423,2,15,394
2MONROEVILLEWARD3-1,2,407,5,18,445
2MONROEVILLEWARD3-2,3,211,1,7,290
2MONROEVILLEWARD3-3,4,385,5,17,391
2MONROEVILLEWARD3-4,1,166,0,11,150
2MONROEVILLEWARD4-1,0,211,2,14,275
2MONROEVILLEWARD4-2,3,342,5,21,367
2MONROEVILLEWARD4-3,2,358,3,22,370
2MONROEVILLEWARD5-1,1,193,3,4,274
2MONROEVILLEWARD5-2,3,360,3,22,186
2MONROEVILLEWARD5-3,1,329,3,15,253
2MONROEVILLEWARD5-4,1,235,4,8,140
2MONROEVILLEWARD6-1,1,262,6,15,340
2MONROEVILLEWARD6-2,0,272,3,12,278
2MONROEVILLEWARD6-3,1,427,5,10,238
2MONROEVILLEWARD6-4,0,132,1,2,79
2MONROEVILLEWARD7-1,0,596,6,22,393
2MONROEVILLEWARD7-2,1,416,5,10,185
2MONROEVILLEWARD7-3,1,248,2,5,197
2MOONDISTRICT1,3,438,3,33,437
2MOONDISTRICT10,4,264,1,18,286
2MOONDISTRICT11,3,409,4,22,577
2MOONDISTRICT12,1,356,6,30,384
2MOONDISTRICT13,0,209,2,18,313
2MOONDISTRICT2,1,575,9,39,698
2MOONDISTRICT3,2,447,9,23,431
2MOONDISTRICT4,2,228,3,17,309
2MOONDISTRICT5,3,759,7,47,959
2MOONDISTRICT6,3,668,10,33,918
2MOONDISTRICT7,2,460,6,35,454
2MOONDISTRICT8,1,315,3,19,399
2MOONDISTRICT9,6,461,3,33,729
2MT.LEBANONWARD1-1,0,341,8,22,260
2MT.LEBANONWARD1-2,2,338,6,17,124
2MT.LEBANONWARD1-3,1,328,2,8,164
2MT.LEBANONWARD1-4,1,379,4,9,210
2MT.LEBANONWARD1-5,4,306,4,15,160
2MT.LEBANONWARD1-6,3,439,5,15,313
2MT.LEBANONWARD1-7,0,403,3,27,159
2MT.LEBANONWARD2-1,1,481,3,19,234
2MT.LEBANONWARD2-2,2,307,3,10,161
2MT.LEBANONWARD2-3,1,350,1,23,143
2MT.LEBANONWARD2-4,0,272,4,8,135
2MT.LEBANONWARD2-5,1,326,1,14,156
2MT.LEBANONWARD2-6,1,263,6,13,166
2MT.LEBANONWARD2-7,2,319,2,9,176
2MT.LEBANONWARD2-8,3,396,4,10,325
2MT.LEBANONWARD3-1,0,294,3,16,183
2MT.LEBANONWARD3-2,2,409,3,25,235
2MT.LEBANONWARD3-3,0,278,1,17,215
2MT.LEBANONWARD3-4,4,299,4,20,205
2MT.LEBANONWARD3-5,1,332,9,28,172
2MT.LEBANONWARD3-6,2,216,5,9,121
2MT.LEBANONWARD3-7,2,328,7,12,281
2MT.LEBANONWARD3-8,0,151,1,6,89
2MT.LEBANONWARD4-1,1,365,5,16,174
2MT.LEBANONWARD4-2,0,420,8,23,194
2MT.LEBANONWARD4-3,1,305,3,15,196
2MT.LEBANONWARD4-4,1,296,4,12,221
2MT.LEBANONWARD4-5,2,300,4,11,175
2MT.LEBANONWARD4-6,6,347,6,22,169
2MT.LEBANONWARD4-7,1,384,3,8,179
2MT.LEBANONWARD5-1,3,289,6,19,145
2MT.LEBANONWARD5-2,1,185,4,7,86
2MT.LEBANONWARD5-3,0,278,5,13,157
2MT.LEBANONWARD5-4,0,272,6,12,165
2MT.LEBANONWARD5-5,1,336,2,18,141
2MT.LEBANONWARD5-6,0,223,0,17,131
2MT.LEBANONWARD5-7,0,398,2,10,190
2MT.LEBANONWARD5-8,3,469,7,22,202
2MT.OLIVERDISTRICT1,1,276,5,8,72
2MT.OLIVERDISTRICT2,3,342,2,7,102
2MT.OLIVERDISTRICT3,3,197,5,2,96
2MT.OLIVERDISTRICT4,0,142,2,9,74
2MUNHALLDISTRICT1,0,161,2,6,120
2MUNHALLDISTRICT10,1,182,1,10,162
2MUNHALLDISTRICT11,2,359,8,16,335
2MUNHALLDISTRICT12,4,200,4,10,233
2MUNHALLDISTRICT2,1,212,1,5,51
2MUNHALLDISTRICT3,1,256,3,7,66
2MUNHALLDISTRICT4,2,198,1,3,76
2MUNHALLDISTRICT5,1,252,3,14,222
2MUNHALLDISTRICT6,1,274,4,14,219
2MUNHALLDISTRICT7,5,444,5,21,374
2MUNHALLDISTRICT8,0,249,1,6,238
2MUNHALLDISTRICT9,1,274,5,5,220
2NEVILLEWARD1,3,56,2,13,108
2NEVILLEWARD2,1,67,1,3,58
2NEVILLEWARD3,1,103,4,3,94
2NORTHBRADDOCKWARD1-1,0,101,1,2,61
2NORTHBRADDOCKWARD1-2,0,216,1,8,110
2NORTHBRADDOCKWARD1-3,0,236,2,7,88
2NORTHBRADDOCKWARD2-1,2,203,5,1,56
2NORTHBRADDOCKWARD2-2,1,287,4,6,92
2NORTHBRADDOCKWARD3-1,1,219,2,2,7
2NORTHBRADDOCKWARD3-2,0,296,1,1,35
2NORTHFAYETTEDISTRICT1,2,501,6,31,893
2NORTHFAYETTEDISTRICT2,3,655,5,42,808
2NORTHFAYETTEDISTRICT3,4,673,9,30,816
2NORTHFAYETTEDISTRICT4,5,245,1,18,429
2NORTHFAYETTEDISTRICT5,2,597,8,29,980
2NORTHVERSAILLESWARD1-1,2,208,1,12,247
2NORTHVERSAILLESWARD1-2,1,228,3,11,277
2NORTHVERSAILLESWARD2-1,2,221,1,8,237
2NORTHVERSAILLESWARD2-2,0,80,1,4,60
2NORTHVERSAILLESWARD3-1,0,170,0,13,195
2NORTHVERSAILLESWARD3-2,1,207,2,9,202
2NORTHVERSAILLESWARD4-1,1,148,1,9,181
2NORTHVERSAILLESWARD4-2,2,129,2,4,160
