precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP
37NEWCASTLE,1567,27,1006,10,11,315,191,8,877
37NORTHBEAVER,198,5,160,3,3,210,141,1,411
37PERRY,97,5,92,2,1,85,43,1,247
37PULASKI,213,6,111,2,4,99,70,4,279
37SCOTT,96,7,89,1,4,110,93,4,304
37SHENANGO,479,13,328,8,8,259,142,8,696
37SLIPPERYROCK,120,4,134,3,4,137,72,9,360
37UNION,449,12,278,1,3,85,77,1,374
37WAYNE,173,9,139,2,4,92,51,4,247
37WILMINGTON,95,2,92,2,3,120,94,2,245
38ANNVILLE,163,4,220,8,13,170,116,9,345
38BETHEL,105,4,126,1,9,277,84,2,629
38HEIDELBERG,86,2,91,3,13,246,93,5,353
38JACKSON,259,11,245,10,20,461,238,8,1043
38LEBANON,827,13,747,15,33,551,292,13,1180
38MYERSTOWN,71,2,92,4,15,141,62,2,302
38NORTHCORNWALL,303,5,274,9,8,377,237,13,715
38NORTHLEBANON,396,11,372,5,20,519,295,12,1379
38NORTHLONDONDERRY,372,7,349,13,28,661,506,16,1120
38PALMYRA,255,2,339,6,24,385,223,9,714
38SOUTHLEBANON,405,11,320,16,21,492,317,12,1064
38SOUTHLONDONDERRY,298,3,306,6,20,524,309,11,897
38UNION,59,2,81,1,5,157,36,5,439
39ALLENTOWN,5823,45,4740,32,61,1212,855,58,2746
39BETHLEHEM,1537,14,1482,9,17,408,290,12,859
39CATASAUQUA,340,5,378,2,5,140,77,4,330
39COPLAY,258,6,237,2,3,54,39,2,192
39EMMAUS,698,9,857,11,18,397,261,13,727
39FOUNTAINHILL,303,4,414,2,0,90,34,2,171
39LOWERMACUNGIE,1991,17,1584,26,34,1167,1354,32,2760
39LYNN,208,0,182,1,8,234,118,3,506
39NORTHWHITEHALL,795,13,763,12,12,616,459,16,1588
39SALISBURY,981,11,814,6,17,470,414,11,1168
39SLATINGTON,161,3,164,2,4,77,43,3,255
39SOUTHWHITEHALL,1549,21,1236,7,11,648,660,21,1534
39UPPERMACUNGIE,1183,7,1062,19,21,680,706,16,1768
39UPPERMILFORD,458,7,441,4,9,385,286,7,731
39UPPERSAUCON,892,14,788,10,18,605,548,20,1369
39WASHINGTON,298,5,319,6,8,224,111,4,735
