precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
LUBBOCK132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK142,2,0,0,0,0,0,1,0,0,2,0,8,0,0,0,0,0,0,4,0,8
LUBBOCK144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK151,36,1,0,0,0,0,18,1,7,26,1,264,1,0,0,1,7,0,41,1,105
LUBBOCK155,26,0,1,0,0,2,33,0,11,54,6,419,1,0,0,0,21,2,164,0,240
LUBBOCK31,28,0,0,0,0,0,19,0,8,36,0,251,1,0,0,3,13,0,49,1,103
LUBBOCK33,44,1,0,0,0,0,31,0,18,69,2,486,3,0,0,3,23,5,148,0,254
LUBBOCK34,11,0,0,0,1,0,4,0,3,6,0,60,0,0,0,1,1,0,17,0,40
LUBBOCK35,20,0,0,0,0,0,11,1,2,22,0,96,1,0,1,1,7,0,27,0,71
LUBBOCK36,80,1,1,0,0,0,32,0,8,30,2,270,0,0,0,2,18,0,99,1,162
LUBBOCK38,93,2,0,1,0,0,32,1,3,6,0,102,1,0,0,1,5,1,28,0,46
LUBBOCK39,41,1,0,0,1,0,27,0,6,37,3,338,0,0,0,0,21,0,94,2,210
LUBBOCK41,98,2,0,0,0,2,35,0,8,39,1,341,0,0,0,4,15,1,96,1,167
LUBBOCK43,5,0,0,0,0,0,10,0,4,5,0,89,1,0,0,0,3,0,13,0,44
