precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH
HAMBLEN2-11,58.0,0.0,0.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,385.0,0.0
HAYWOOD1-1,429.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,64.0,0.0
HAYWOOD1-10,450.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,438.0,0.0
HAYWOOD1-2,362.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,184.0,0.0
HAYWOOD1-3,331.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,3.0,139.0,0.0
HAYWOOD1-4,426.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,354.0,0.0
HAYWOOD1-5,201.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,461.0,0.0
HAYWOOD1-6,281.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,478.0,0.0
HAYWOOD1-7,443.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,258.0,0.0
HAYWOOD1-8,379.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,324.0,0.0
HAYWOOD1-9,150.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0
HAYWOOD2-9,259.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,241.0,0.0
HENRYEARLY VOTING - WRITE-INS,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
HUMPHREYS4-5 NJMC,293.0,2.0,0.0,3.0,0.0,25.0,1.0,0.0,1.0,0.0,7.0,0.0,773.0,0.0
JACKSON1-1,130.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,272.0,0.0
