precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
BUTLERAHG,5.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,16.0,2.0,0.0,44.0
PIKEAAM,27.0,0.0,20.0,2.0,5.0,1.0,25.0,1.0,0.0,74.0,9.0,0.0,122.0
